"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","previousCatalogNumber","typeStatus","coordinatePrecision","geoFlag","individualCount"
"11","2020-12-11 11:42:06-03","UFMG","BHCB","154159","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Solanum","carautae","Solanum carautae","Carvalho","Giacomin, LL; Almeida, TE","1697","2012","01","27","Southern America","Brasil","Rio de Janeiro","Parati","Estrada não pavimentada de acesso a Parati-Mirim, Margens da estrada, cerca de 2km após a BR-101","-44.671944","-23.268556","62",NA,"Arvore, 10m, crescendo em barranco. Pétalas alvas, estames amarelos. Fruto alongado, completamente coberto pelo cálice.&nf;Prensado em álcool; Arvore, 10 cm. Pétalas alvas, estames amarelos. Fruto alongado, completamente coberto pelo cá","BHCB023755","BHCB023755",NA,"62",NA,NA,NA,"-44.671944","-23.268556",NA,NA,NA,NA,NA,NA
"12","2015-02-02 05:14:00-02","MO","MOBOT","2306107","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Solanum","carautae","Solanum carautae","Carvalho","Dorothy Araujo|M.C. Vianna|R.F. de Oliveira|Jorge P. Carauta","Araujo 1421","1976","12","8","South America","Brazil","Rio de Janeiro",NA,"Mun. Parati, Parati-Mirim, à beira da estrada.",NA,NA,NA,NA,NA,NA,NA,"L.d'A. Freire de Carvalho",NA,NA,NA,NA,NA,NA,NA,NA,"Isotype",NA,NA,NA
"13","2020-11-18 11:41:39-03","UERJ","HRJ","11682","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Solanum","carautae","Solanum carautae","Carvalho","?","s.n.",NA,NA,NA,NA,"Brasil","Rio de Janeiro","Angra dos Reis","Ilha Grande.","-44.3180999755859","-23.0067005157471",NA,NA,NA,"HRJ00011632",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32988","auto",NA
"14","2020-11-18 11:41:39-03","UERJ","HRJ","12111","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Solanum","carautae","Solanum carautae","Carvalho","?","s.n.","2010","06","09",NA,"Brasil","Rio de Janeiro","Paraty","Paraty - Cunha.","-44.7131004333496","-23.2178001403809",NA,NA,NA,"HRJ00012658",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34470","auto",NA
"15","2020-11-18 11:41:39-03","UERJ","HRJ","12474","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Solanum","carautae","Solanum carautae","Carvalho","S.J. Silva Neto; W. Silva, C.L. Oliveira, D.C. Paiva","s.n.","2012","02","08",NA,"Brasil","Rio de Janeiro","Angra dos Reis","Ilha Grande.","-44.3180999755859","-23.0067005157471",NA,NA,NA,"HRJ00012657",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32988","auto",NA
"16","2020-09-12 05:00:02-03","US","US","3711388","PreservedSpecimen","Plantae",NA,"Solanales","Solanaceae","Solanum","carautae","Solanum carautae","Carvalho","D. Araujo, M. C. Vianna, R. Oliveira & J. P. P. Carauta","1421","1976","12","8","South America - Neotropics","Brazil","Rio de Janeiro",NA,"Brasil, Rio de Janeiro, Parati. Parati-Mirim; a beira da estrada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,"Isotype",NA,NA,"1"
"17","2016-08-23 10:22:58-03","NHMLondon","NHM-LONDON-BOT","BM001120444","S","Plantae",NA,NA,"Solanaceae","Solanum","carautae","Solanum carautae","Carvalho","L.L.Giacomin; Thaís Elias Almeida; Universidade Federal de Minas Gerais; T.E.Almeida","1683","2012","01","23",NA,"Brasil","São Paulo",NA,"Parque Estadual Serra do Mar, núcleo Picinguaba, margens da BR-101, próximo a entrada da sede do p","-44.826944","-23.365",NA,NA,NA,NA,NA,"L.L.Giacomin",NA,"2012",NA,NA,"-44.826944","-23.365",NA,"NHMUK:ecatalogue:4343015",NA,NA,NA,NA
"18","2021-02-23 13:23:08-03","MN","R-TIPOS","140259c","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Solanum","carautae","Solanum carautae","Carvalho","Barbosa, M.R.","31","1980","04","20",NA,"Brasil","Rio de Janeiro","Angra dos Reis","Ilha Grande","-44.3180999755859","-23.0067005157471",NA,NA,NA,"R000140259c","R000140259c_001","Barbará",NA,"1993","10","22",NA,NA,NA,NA,"Isoparatypus","32988","auto",NA
"19","2021-02-23 13:23:08-03","MN","R-TIPOS","140259b","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Solanum","carautae","Solanum carautae","Carvalho","Barbosa, M.R.","31","1980","04","20",NA,"Brasil","Rio de Janeiro","Angra dos Reis","Ilha Grande","-44.3180999755859","-23.0067005157471",NA,NA,NA,"R000140259b","R000140259b_001","Barbará",NA,"1993","10","22",NA,NA,NA,NA,"Isoparatypus","32988","auto",NA
"20","2021-02-23 13:23:08-03","MN","R-TIPOS","140259","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Solanum","carautae","Solanum carautae","Carvalho","Barbosa, M.R.","31","1980","04","20",NA,"Brasil","Rio de Janeiro","Angra dos Reis","Ilha Grande","-44.3180999755859","-23.0067005157471",NA,NA,NA,"R000140259","R000140259_001","Barbará",NA,"1993","10","22",NA,NA,NA,NA,"Isoparatypus","32988","auto",NA
"21","2021-02-23 13:23:08-03","MN","R-TIPOS","140259a","PreservedSpecimen","Plantae",NA,NA,"Solanaceae","Solanum","carautae","Solanum carautae","Carvalho","Barbosa, M.R.","31","1980","04","20",NA,"Brasil","Rio de Janeiro","Angra dos Reis","Ilha Grande","-44.3180999755859","-23.0067005157471",NA,NA,NA,"R000140259a","R000140259a_001","Barbará",NA,"1993","10","22",NA,NA,NA,NA,"Isoparatypus","32988","auto",NA
"22","2021-02-08 12:45:45-03","UFRGS","ICN","190929","S","Plantae","Dicotyledon",NA,"Solanaceae","Solanum","carautae","Solanum carautae","Carvalho","Giacomin, LL; Almeida, TE","1683","2012","01","25","América do Sul","Brasil","SP","Ubatuba","Parque Estadual da Serra do Mar, núcleo Picinguaba, margens BR-101, próximo a entrada da sede do parque,","-44.826944","-23.365","10",NA,"Doação BHCB 154145. Material prensado em álcool.; Arbusto ereto de 3 m, ramos apicais escandentes, flores alvas.; Floresta Ombrófila Secundária marginal a estrada","ICN00035762",NA,NA,"10",NA,NA,NA,"-44.826944","-23.365",NA,NA,NA,NA,NA,NA
"23","2021-02-08 12:45:45-03","UFRGS","ICN","190935","S","Plantae","Dicotyledon",NA,"Solanaceae","Solanum","carautae","Solanum carautae","Carvalho","Giacomin, LL; Almeida, TE","1697","2012","01","27","América do Sul","Brasil","RJ","Paraty","Estrada não-pavimentada de acesso a Parati-Mirim, cerca de 2km após a BR-101.","-44.671944","-23.268611","62",NA,"Doação BHCB 154159. Material prensado em álcool.; Árvore, 10m altura, pétalas alvas, estames amarelos, frutos alongado, completamente coberto pelo cálice.; Margem da estrada, em fragmento de floresta ciliar (ombrófila densa) secundária.","ICN00035765",NA,NA,"62",NA,NA,NA,"-44.671944","-23.268611",NA,NA,NA,NA,NA,NA
"24","2020-02-06 10:42:04-03","IBt","SP","79429","S","Plantae",NA,NA,"Solanaceae","Solanum","carautae","Solanum carautae","Carvalho","Kuhlmann, M","2627","1951","03","19",NA,"Brasil","Rio de Janeiro","Angra dos Reis","Fazenda Japuhyba","-44.3180999755859","-23.0067005157471",NA,NA,NA,"SP116084","SP116084","Carvalho, LAF",NA,"1994","10",NA,NA,NA,NA,NA,NA,"32988","auto",NA
"25","2020-10-22 10:13:53-03","IBt","SP","488505","S","Plantae",NA,NA,"Solanaceae","Solanum","carautae","Solanum carautae","Carvalho","Araújo, D; Vianna, MC; Oliveira, RF; Carauta, JPP","1421","1976","12","08",NA,"Brasil","Rio de Janeiro","Parati","Parati-mirim","-44.7131004333496","-23.2178001403809",NA,NA,NA,"SP003650","SP003650","Giacomin, LL",NA,"2014","01",NA,NA,NA,NA,NA,"Isotype","34470","auto",NA
