"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","individualCount","relatedCatalogItem","typeStatus","fieldNumber","sex"
"11","2021-02-07 08:35:14-03","MN","R","225670","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","drepanocarpa","Vriesea drepanocarpa","(Baker) Mez","Alves, R.J.V.","7832","2007","04","01",NA,"Brasil","Rio de Janeiro","Arraial do Cabo","Ilha do Cabo Frio","-42.0278015136719","-22.966100692749",NA,NA,NA,NA,"R010001964,R010001965,R010001968","R010001964 R010001965 R010001968","Costa, A.F.","25964","auto","2007","04",NA,NA,"18",NA,NA,NA,NA,NA,NA
"12","2021-02-07 08:35:14-03","MN","R","212950","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","drepanocarpa","Vriesea drepanocarpa","(Baker) Mez","Fontoura, T.","451","2000","04","21",NA,"Brasil","Bahia","Una","Próxima à fazenda do Sr. José Raimundo.","-39.0752983093262","-15.2932996749878",NA,NA,NA,NA,"R010011978","R010011978","Loyola, R.","36070","auto","2010","03",NA,NA,"22",NA,NA,NA,NA,NA,NA
"13","2019-08-20 09:59:17-03","UNICAMP","UEC","121349","S","Plantae","Liliopsida",NA,"Bromeliaceae","Vriesea","drepanocarpa","Vriesea drepanocarpa","(Baker) Mez","Romão, GO; Souza, VC; Rodrigues, RR; Pereira, M; Tamashiro, JY; Herrerias, C; Zevallos, P","652","2001","04","16",NA,"Brazil","São Paulo","Itanhaém","Parque Estadual da Serra do Mar - Núcleo, Entrono do Vale do Rio Mambu","-46.830556","-24.419444","30","100",NA,"fruto, Epífita, frutos esverdeados com ápice castanho. Floresta Ombrófila Densa Baixomontana.","UEC083962","UEC083962",NA,NA,NA,NA,NA,"-46.830556","-24.419444",NA,NA,NA,NA,NA,NA,NA
"14","2021-03-01 16:19:09-03","UNICAMP","UEC","138834","S","Plantae","Liliopsida",NA,"Bromeliaceae","Vriesea","drepanocarpa","Vriesea drepanocarpa","(Baker) Mez","Breier, TB; Budke, JC","415","2002","08","17",NA,"Brazil","São Paulo","Sete Barras","Parque Estadual Carlos Botelho, Parcelas permanentes.","-47.916667","-24.166667",NA,NA,NA,"Na parcela permanente sobre árvore número 7953.","UEC083959","UEC083959","Breier, TB",NA,NA,"2004","09","-47.916667","-24.166667",NA,NA,NA,NA,NA,NA,NA
"15","2020-04-22 16:26:03-03","UFPB","JPB","50239","PreservedSpecimen","Plantae","Angiosperma","Monocotyledon","Bromeliaceae","Vriesea","drepanocarpa","Vriesea drepanocarpa","(Baker) Mez","Macedo, GEL; Neri, M; Borge, D","2102",NA,NA,NA,"Southern America","Brasil","Bahia","Jequié","Comunidade Estreito, Fazenda Artur Pereira, subindo pelo lado direito da Barragem Criciúma sentido Jequié - Ipiaú a 8 km da BR 330.","-40.041667","-13.987222",NA,NA,NA,"; HABITAT: Floresta Estacional- Mata fria. Interior da mata.; DESC: Epifita. Folha simples, verde, membranacea. Flor em espiga verde.","JPB0050239",NA,"Moura, R",NA,NA,"2016","12","-40.041667","-13.987222","16",NA,NA,NA,NA,NA,NA
"16","2020-04-27 16:09:08-03","UFES","VIES","17809","S","Plantae",NA,NA,"Bromeliaceae","Vriesea","drepanocarpa","Vriesea drepanocarpa","(Baker) Mez","Gomes, J.M.L.; Carvalho, A.","2724","1999","11","23",NA,"Brasil","Espírito Santo","Cariacica","Duas Bocas.","-40.4199981689453","-20.2639007568359",NA,NA,NA,NA,"VIES017809","VIES017809","Sousa, L.O.F. de","18507","auto","2005","07",NA,NA,"21",NA,NA,NA,NA,NA,NA
"17","2020-04-27 16:09:08-03","UFES","VIES","10641","S","Plantae",NA,NA,"Bromeliaceae","Vriesea","drepanocarpa","Vriesea drepanocarpa","(Baker) Mez","Gomes, J.M.L.","2528","1999","06","16",NA,"Brasil","Espírito Santo","Cariacica","Reserva Biológica de Duas Bocas.","-40.4199981689453","-20.2639007568359",NA,NA,NA,NA,"VIES010641","VIES010641","Coser, T.S.","18507","auto","2011","06",NA,NA,"03",NA,NA,NA,NA,NA,NA
"18","2020-12-21 16:19:33-03","MBM","MBM","167515","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","drepanocarpa","Vriesea drepanocarpa","(Baker) Mez","Hatschbach, G.","60972","1994","05","15","Southern America","Brazil","Espírito Santo","Domingos Martins","Chapéu","-40.6591987609863","-20.3633003234863",NA,NA,NA,NA,"MBM167515","MBM167515","Leme, E.M.C.","48150","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-12-21 16:19:33-03","MBM","MBM","281539","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","drepanocarpa","Vriesea drepanocarpa","(Baker) Mez","Borgo, M.; et al.; et al.","2367","2003","03","10","Southern America","Brazil","Paraná","Antonina","Reserva Natural Cachoeira, Trilha Gervásio","-48.7118988037109","-25.4286003112793",NA,NA,NA,NA,"MBM281539","MBM281539","Borgo, M.","38300","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-12-21 16:19:33-03","MBM","MBM","187140","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","drepanocarpa","Vriesea drepanocarpa","(Baker) Mez","Amorim, A.M.; et al.; et al.","777","1992","09","24","Southern America","Brazil","Bahia","Una","Reserva Biológica do Mico-leão","-39.0752983093262","-15.2932996749878",NA,NA,NA,NA,"MBM187140","MBM187140",NA,"36070","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-12-11 11:43:36-03","UFMG","BHCB","86630","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Vriesea","drepanocarpa","Vriesea drepanocarpa","(Baker) Mez","Lombardi, JA; Salino, A; Mota, RC da; Almeida, TE; Viana, PL","5906","2004","03","07","Southern America","Brasil","Minas Gerais","Santa Maria do Salto","Fazenda Duas Barras","-40.049278","-16.413889","820","820",NA,"Interior e borda de mata hidrófila em encosta e pasto adjacente. Erva epífita, flores brancas, frutos imaturos verdes. Coordenadas originais: 16°24'50S; 40°02'57,4W",NA,NA,NA,NA,NA,NA,NA,"-40.049278","-16.413889",NA,NA,NA,NA,NA,NA,NA
"22","2021-02-11 17:18:25-03","UFPR","UPCB","93065","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","drepanocarpa","Vriesea drepanocarpa","(Baker) Mez","Völtz, R.R. | Pajewski, F.F.","1899","2017","03","03",NA,"Brasil","Paraná","Guaraqueçaba","RPPN Salto Morato","-48.292778","-25.1575","300","300",NA,"Floresta Ombrófila Densa Submontana de topo de morro. Erva epífita a 0,5 m alt.; inflorescência com brácteas verdes, flores com pétalas e estames alvos.","UPCB0037550","UPCB0037550","Völtz, R.R.",NA,NA,"2018","10","-48.292778","-25.157500",NA,NA,NA,NA,NA,NA,NA
"23","2021-02-11 17:18:25-03","UFPR","UPCB","41702","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","drepanocarpa","Vriesea drepanocarpa","(Baker) Mez","Petean, M.P.",NA,"1999","03","15",NA,"Brasil","Paraná","Paranaguá","Estação Ecológica Ilha do Mel","-48.5092010498047","-25.5200004577637",NA,NA,NA,"Epífita baixa, inflorescência verde, fruto em formação. Floresta ombrófila densa de terras baixas..",NA,NA,"Kaehler, M.","24916","auto","1999","04",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-02-11 17:18:25-03","UFPR","UPCB","32120","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","drepanocarpa","Vriesea drepanocarpa","(Baker) Mez","Silva, S.M.",NA,"1997","09","24",NA,"Brasil","Paraná","Paranaguá","Ilha do Mel, Estação Ecológica","-48.5092010498047","-25.5200004577637",NA,NA,NA,"Epífita a 1,6m do solo, brácteas esverdeadas, com frutos. Floresta paludosa da planície litorânea.",NA,NA,"Kaehler, M.","24916","auto","1997","10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-02-11 17:18:25-03","UFPR","UPCB","40586","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","drepanocarpa","Vriesea drepanocarpa","(Baker) Mez","Gatti, G.","502","1999","05","20",NA,"Brasil","Paraná","Guaraqueçaba","Reserva Natural Salto Morato, Fazenda Nova","-48.3288993835449","-25.3066997528076",NA,NA,NA,"Epífita sobre fuste a 2m de altura, botões verdes. Floresta ombrófila densa submontana, floresta secundária, local sombreado..",NA,NA,"Kaehler, M.","37295","auto","1999","05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2018-06-22 05:25:00-03","MO","MOBOT","2454166","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","drepanocarpa","Vriesea drepanocarpa","(Baker) Mez","Pe. Raulino Reitz","Reitz 3703",NA,NA,NA,"South America","Brazil","Santa Catarina",NA,"Brusque. Morro de Santa Luzia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-08-31 09:20:19-03","INPA","INPA","105154","S","Plantae","Monocotyledon","Poales","Bromeliaceae","Vriesea","drepanocarpa","Vriesea drepanocarpa","(Baker) Mez","Calderón, CE","2392","1976","04","24","Southern America","Brasil","Bahia","Una","road Una-Olivença, 12 Km N of Una, faz. de Clovis de Matos Piris.","-39.0752983093262","-15.2932996749878","75","75",NA,NA,"INPA0105154","INPA0105154 INPA0105154_e","Nogueira, MGC","36070","auto","2015","11",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-07-10 09:44:44-03","MBML","MBML-HERBARIO","10235",NA,"Plantae",NA,NA,"Bromeliaceae","Vriesea","drepanocarpa","Vriesea drepanocarpa","(Baker) Mez","I. G. Varassin; et al","62","1999","03","23",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,NA,NA,"Epífita. Ombrófila. Brácteas florais verdes, flores brancas. Flor com forte perfume cítrico.","MBML010235","MBML010235","A. Costa/21-08-2001",NA,NA,NA,NA,"40W31'49","19S58'17",NA,NA,NA,NA,NA,NA,NA
"29","2020-07-10 09:44:44-03","MBML","MBML-HERBARIO","16333",NA,"Plantae",NA,NA,"Bromeliaceae","Vriesea","drepanocarpa","Vriesea drepanocarpa","(Baker) Mez.","L. Kollmann; et al","5658","2002","03","13",NA,"Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075",NA,NA,NA,"Epífita na sombra. Brácteas e séplas verdes.","MBML016333","MBML016333","L. Kollmann/24-04-2002",NA,NA,NA,NA,"40W33'11","19S54'27",NA,NA,NA,NA,NA,NA,NA
"30","2020-07-10 09:44:44-03","MBML","MBML-HERBARIO","16648",NA,"Plantae",NA,NA,"Bromeliaceae","Vriesea","drepanocarpa","Vriesea drepanocarpa","(Baker) Mez","L. Kollmann; et al","3067","2000","08","15",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,NA,NA,"Epífita na sombra. Flores secas. Brácteas escapais verdes. Floresceu em cultivo em 04/2002.","MBML016648","MBML016648",NA,NA,NA,NA,NA,"40W31'49","19S58'17",NA,NA,NA,NA,NA,NA,NA
"31","2020-07-10 09:44:44-03","MBML","MBML-HERBARIO","17137",NA,"Plantae",NA,NA,"Bromeliaceae","Vriesea","drepanocarpa","Vriesea drepanocarpa","(Baker) Mez","R.R. Vervloet; et al","570","2002","07","30",NA,"Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075",NA,NA,NA,"Epífita, meia encosta, local íngrime, folhas de cor verde com a parte externa da base com tom vinho, brácteas escapais e florais longas, tipo as folhas escapo de cor vinho, frutos imaturos de cor verde.","MBML017137","MBML017137","L. Kollmann/17-09-2002",NA,NA,NA,NA,"40W33'11","19S54'27",NA,NA,NA,NA,NA,NA,NA
"32","2020-07-10 09:44:44-03","MBML","MBML-HERBARIO","17395",NA,"Plantae",NA,NA,"Bromeliaceae","Vriesea","drepanocarpa","Vriesea drepanocarpa","(Baker) Mez","R.R. Vervloet; et al","728","2002","08","27",NA,"Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075",NA,NA,NA,"Terrestre, meia encosta, dossel 20m, folhas com base de cor vinho, parte mediana e ápice verde parte dorsal vinho, brácteas florais e escapais da mesma cor, frutos imaturos de cor verde, sépalas verdes, escapo de cor vinho, altitude 82","MBML017395","MBML017395","L. Kollmann/04-12-2002",NA,NA,NA,NA,"40W33'11","19S54'27",NA,NA,NA,NA,NA,NA,NA
"33","2020-07-10 09:44:44-03","MBML","MBML-HERBARIO","20150",NA,"Plantae",NA,NA,"Bromeliaceae","Vriesea","drepanocarpa","Vriesea drepanocarpa","(Baker) Mez","R.R. Vervloet; et al","2043","2003","03","25",NA,"Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075",NA,NA,NA,"Terrestre, local rochoso, brácteas escapo e frutos de cor verde, folhas com a parte dorsal vinho, ventral verde. Topo de morro, dossel 6m.","MBML020150","MBML020150","L. Kollmann/12-11-2004",NA,NA,NA,NA,"40W33'11","19S54'27",NA,NA,NA,NA,NA,NA,NA
"34","2020-07-10 09:44:44-03","MBML","MBML-HERBARIO","20758",NA,"Plantae",NA,NA,"Bromeliaceae","Vriesea","drepanocarpa","Vriesea drepanocarpa","(Baker) Mez","R.R. Vervloet; et al","2352","2003","05","06",NA,"Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075",NA,NA,NA,"Rupícola, folhas cor verde com base vinho, escapo, brácteas e frutos de cor verde. Topo de morro, dossel 8m.","MBML020758","MBML020758","L. Kollmann/12-11-2004",NA,NA,NA,NA,"40W33'11","19S54'27",NA,NA,NA,NA,NA,NA,NA
"35","2020-07-10 09:44:44-03","MBML","MBML-HERBARIO","22464",NA,"Plantae",NA,NA,"Bromeliaceae","Vriesea","drepanocarpa","Vriesea drepanocarpa","(Baker) Mez","L. Kollmann; et al","6679","2004","04","26",NA,"Brasil","Espírito Santo","Castelo","Fazenda Forno grande","-41.057778","-20.514722",NA,NA,NA,"Epífita na sombra. Flores brancas.","MBML022464","MBML022464","L. Kollmann/26-04-2004",NA,NA,NA,NA,"41W3'28","20S30'53",NA,NA,NA,NA,NA,NA,NA
"36","2020-07-10 09:44:44-03","MBML","MBML-HERBARIO","22635",NA,"Plantae",NA,NA,"Bromeliaceae","Vriesea","drepanocarpa","Vriesea drepanocarpa","(Baker) Mez","L. Kollmann","6678","2004","04","26",NA,"Brasil","Espírito Santo","Santa Maria de Jetibá","Belem, Terreno de Paulo Seick","-40.697222","-20.043333",NA,NA,NA,"Epífita na sombra. Floração em cultivo. Frutos verdes, tinha flores brancas.","MBML022635","MBML022635","L. Kollmann/26-04-2004",NA,NA,NA,NA,"40W41'50","20S2'36",NA,NA,NA,NA,NA,NA,NA
"37","2020-07-10 09:44:44-03","MBML","MBML-HERBARIO","25522",NA,"Plantae",NA,NA,"Bromeliaceae","Vriesea","drepanocarpa","Vriesea drepanocarpa","(Baker) Mez","L. Kollmann; et al","8813","2006","03","24",NA,"Brasil","Espírito Santo","Santa Teresa","Santo Anselmo","-40.573056","-19.836944",NA,NA,NA,"Epífita na sombra, frutos verdes.","MBML025522","MBML025522","L. Kollmann/2006",NA,NA,NA,NA,"40W34'23","19S50'13",NA,NA,NA,NA,NA,NA,NA
"38","2020-07-10 09:44:44-03","MBML","MBML-HERBARIO","29828",NA,"Plantae",NA,NA,"Bromeliaceae","Vriesea","drepanocarpa","Vriesea drepanocarpa","(Baker) Mez","L. Kollmann","9637","2007","04","24",NA,"Brasil","Espírito Santo","Muqui","Santa Mônica, Torres de celular da Claro","-41.289167","-20.918611",NA,NA,NA,"Epífita na sombra, frutos e brácteas verdes.","MBML029828","MBML029828","L. Kollmann/24-04-2007",NA,NA,NA,NA,"41W17'21","20S55'7",NA,NA,NA,NA,NA,NA,NA
"39","2020-07-10 09:44:44-03","MBML","MBML-HERBARIO","42023",NA,"Plantae",NA,NA,"Bromeliaceae","Vriesea","drepanocarpa","Vriesea drepanocarpa","(Baker) Mez","L. Kollmann; C.Fraga & A.P.Fontana","12304","2011","08","03",NA,"Brasil","Espírito Santo","Santa Teresa","25 de Julho, Julhão","-40.538056","-19.747222",NA,NA,NA,"Epifita na sombra, frutos verdes.","MBML042023","MBML042023",NA,NA,NA,NA,NA,"40W32'17","19S44'50",NA,NA,NA,NA,NA,NA,NA
"40","2021-03-04 11:04:43-03","UFRB","HURB","22200","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","drepanocarpa","Vriesea drepanocarpa","Mez","Souza, E.H.","458","2018","03","01",NA,"Brasil","Bahia","Itacaré","Campo Cheiroso; 14km ao norte de Sera Grande, Rodovia Itacará/Ilhéus, entra ao lado direito","-39.033611","-14.383611",NA,NA,NA,"Acesso incorporado ao BGP458.","HURB000022200",NA,NA,NA,NA,NA,NA,"39º02'01W","14º23'1S",NA,NA,NA,NA,NA,NA,NA
"41","2020-06-15 15:29:42-03","UNESP-RC","HRCB","36270","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","drepanocarpa","Vriesea drepanocarpa","(Baker) Mez","Guilherme, F.A.G.","329","2002","06",NA,NA,"Brasil","São Paulo","Sete Barras","Parque Estadual Intervales","-48.083333","-24.233333",NA,NA,NA,"Epífita de aprox. 2m de altura do solo; flores com cálice persistente verde-escuro; frutos verdes.",NA,NA,"Dittrich, V.A.O.",NA,NA,"2002","06","48º05'W","24º14'S",NA,NA,NA,NA,NA,NA,NA
"42","2020-06-17 15:24:58-03","UNESP-RC","HRCB","9998","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","drepanocarpa","Vriesea drepanocarpa","(Baker) Mez","Furlan, A.",NA,NA,NA,NA,NA,"Brasil","São Paulo","Ubatuba","Picinguaba","-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,NA,NA,"A. Costa","34265","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-09-12 05:00:02-03","US","US","2104776","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Vriesea","drepanocarpa","Vriesea drepanocarpa","(Baker) Mez","R. Reitz","s.n.","1952","3","2","South America - Neotropics","Brazil","Santa Catarina","Brusque","Morro S. Luzia","-48.9174995422363","-27.0981006622314",NA,NA,NA,NA,"US01914136","US01914136_01",NA,"19684","auto",NA,NA,NA,NA,NA,"Monocotyledonae","1",NA,NA,NA,NA
"44","2020-09-12 05:00:02-03","US","US","2104777","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Vriesea","drepanocarpa","Vriesea drepanocarpa","(Baker) Mez","R. Reitz","s.n.",NA,NA,NA,"South America - Neotropics","Brazil","Santa Catarina","Brusque","Morro S. Luzia","-48.9174995422363","-27.0981006622314",NA,NA,NA,NA,"US01914134","US01914134_01",NA,"19684","auto",NA,NA,NA,NA,NA,"Monocotyledonae","1",NA,NA,NA,NA
"45","2020-09-12 05:00:02-03","US","US","3367423","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Vriesea","drepanocarpa","Vriesea drepanocarpa","(Baker) Mez","A. M. Amorim, S. C. Sant' Ana & J. Jardim","777","1992","9","24","South America - Neotropics","Brazil","Bahia","Una","Una","-39.08","-15.15",NA,NA,NA,NA,"US01914132","US01914132_01",NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae","1",NA,NA,NA,NA
"46","2020-09-12 05:00:02-03","US","US","2104888","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Vriesea","drepanocarpa","Vriesea drepanocarpa","(Baker) Mez","S.C.","4009","1951","4","25","South America - Neotropics","Brazil","Santa Catarina","Brusque","Morro S. Luzia","-48.9174995422363","-27.0981006622314","200",NA,NA,NA,"US01914133","US01914133_01",NA,"19684","auto",NA,NA,NA,NA,NA,"Monocotyledonae","1",NA,NA,NA,NA
