"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","identifiedBy","coordinatePrecision","geoFlag","class","relatedCatalogItem","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","fieldNumber","typeStatus"
"11","2020-11-04 11:02:43-03","ESALQ","ESA","79655","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Vernonia","lindbergii","Vernonia lindbergii","Baker","Savassi, A.P.; Silva, F.D.; Campos, L.M.; Duarte, A.R.; Arango, B.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Franco, G.C.; Forster, W.; Ivanauskas, N.M.","251.0","2002","04","21",NA,"Brasil","São Paulo","Sete Barras","Parque Estadual de Carlos Botelho, Núcleo Sete Barras. Estrada Estadual São Miguel Arcanjo - Sete Barras (SP139, Km69). Floresta Ombrófila Densa Montana ao longo e no entorno do Rio Bonito.","-475.939","-240.829",NA,NA,NA,"Arbusto de 2m coletado na borda da mata. Frutos bege.","ESA079655","ESA079655",NA,"Semir, J.",NA,NA,NA,NA,NA,"-475,939","-240,829",NA,NA,NA,NA
"12","2020-11-04 11:02:43-03","ESALQ","ESA","68927","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Vernonia","lindbergii","Vernonia lindbergii","Baker","Ivanauskas, N.M.; Pereira, V.C.; Souza, P.C.A.; Stella, A.; Muniz, M.; Silva, P.P.V.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.","4505.0","2000","04","18",NA,"Brasil","São Paulo","São Sebastião","P.E.Serra do Mar, Estrada Intermediária, km 30. Floresta Ombrófila Densa de encosta, com perturbação. Borda","-453.706","-234.132",NA,NA,NA,"arbusto com capitulos brancos e lilas, 1m de altura","ESA068927","ESA068927",NA,"Semir, J.",NA,NA,NA,NA,NA,"-453,706","-234,132",NA,NA,NA,NA
"13","2020-11-04 11:02:43-03","ESALQ","ESA","68914","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Vernonia","lindbergii","Vernonia lindbergii","Baker","Ivanauskas, N.M.; Fonseca, M.G.; Matteo, B.C.; Giarola, N.; Silva, L.N.; Passold, A.J.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.","4586.0","2000","04","22",NA,"Brasil","São Paulo","São Sebastião","Barra do Una, Boracéia, Estrada de acesso a fazenda Águas do Bento. Restinga alta, área aberta","-454.601","-234.354",NA,NA,NA,"Arbusto com aproximadamente 1,7m de altura. Pétalas roseas","ESA068914","ESA068914",NA,"Semir, J.",NA,NA,NA,NA,NA,"-454,601","-234,354",NA,NA,NA,NA
"14","2020-11-04 11:02:43-03","ESALQ","ESA","72599","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Vernonia","lindbergii","Vernonia lindbergii","Baker","Krieger, L.","10331.0","1971","04","04",NA,"Brasil","Rio de Janeiro","Rio das Ostras",NA,"-41.9449996948242","-22.5268993377686",NA,NA,NA,NA,"ESA072599","ESA072599",NA,"Semir, J.","17620","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-11-04 11:02:43-03","ESALQ","ESA","69787","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Vernonia","lindbergii","Vernonia lindbergii","Baker","Franco, G.A.D.C. et al.","2916.0","2000","04","18",NA,"Brasil","São Paulo","Caraguatatuba",NA,"-45.4099998474121","-23.6200008392334",NA,NA,NA,NA,"ESA069787","ESA069787",NA,"Semir, J.","30093","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-11-04 11:02:43-03","ESALQ","ESA","75228","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Vernonia","lindbergii","Vernonia lindbergii","Baker","Romão, G.O.; Herrerias, C.; Pereira, M.; Zevallos, P.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Gandolfi, S.; Souza, J.P.; Ivanauskas, N.M.; Nave, A.G.; Furlan, E.","577.0","2001","04","10",NA,"Brasil","São Paulo","São Paulo","Parque Estadual da Serra do Mar, Núcleo Curucutu. Trilha do Campo. 23o59'S, 46o44'W. 800 m.s.m. Floresta de neblina com campo adjacente.","-46.6300010681152","-23.5400009155273",NA,NA,NA,"Subarbusto, ca. 1m alt. Capítulos alvo-arroxeados. Mata ciliar","ESA075228","ESA075228",NA,"Semir, J.","53584","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-11-04 11:02:43-03","ESALQ","ESA","50909","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Vernonia","lindbergii","Vernonia lindbergii",NA,"Coelho, R.L.G.","84.0","2005","04","03",NA,"Brasil","São Paulo","Cananéia",NA,"-47.9199981689453","-25.0100002288818",NA,NA,NA,NA,"ESA050909","ESA050909",NA,"Coelho, R.L.G.","37574","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-11-04 11:02:43-03","ESALQ","ESA","20329","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Vernonia","lindbergii","Vernonia lindbergii","Baker","Ivanauskas, N.M.","129.0","1995","04","19",NA,"Brasil","São Paulo","Pariquera-açu",NA,"-47.8800010681152","-24.7099990844727",NA,NA,NA,NA,"ESA020329","ESA020329",NA,"Moraes, M.D.","17990","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-11-04 11:02:43-03","ESALQ","ESA","75093","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Vernonia","lindbergii","Vernonia lindbergii",NA,"Souza, F.M.; Duarte, A.R.; Sampaio, D.; Bernhardt, R.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Gandolfi, S.; Oliveira, A.A.; Souza, J.P.; Ivanauskas, N.M.; Furlan, E.","188.0","2001","04","17",NA,"Brasil","São Paulo","Itanhaém","Parque Estadual da Serra do Mar, Núcleo Curucutu. Floresta Ombrófila Densa Baixomontana e Montana no entorno do Vale dos Rios Mambu e dos Macacos. 24o02'28,4S; 46o49'27,9W. 30-180msm.","-46.7799987792969","-24.1800003051758",NA,NA,NA,"Arbusto, ca. 2,5m alt. Capítulos róseos.","ESA075093","ESA075093",NA,"Semir, J.","26998","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-01 16:25:33-03","UNICAMP","UEC","73100","S","Plantae","Magnoliopsida",NA,"Asteraceae","Vernonanthura","lindbergii","Vernonanthura lindbergii","(Baker) H.Rob.","Leitão Filho, HF","33043a","1995","02","12",NA,"Brazil","São Paulo","Pariquera-Açu","Brasil, São Paulo, Paríquera-Açú, E.E. IAC.","-47.880417","-24.613944",NA,NA,NA,"Herbácea, flores lílases.","UEC162051","UEC162051",NA,"Esteves, R",NA,NA,NA,NA,"2012","-47.880417","-24.613944","06",NA,NA,NA
"21","2021-03-01 16:25:57-03","UNICAMP","UEC","74074","S","Plantae","Magnoliopsida",NA,"Asteraceae","Vernonia","lindbergii","Vernonia lindbergii","Baker","Ivanauskas, NM","129","1995","04","19",NA,"Brazil","São Paulo","Pariquera-Açu","Estação Experimental do IAC","-47.885","-24.608333",NA,NA,NA,"Herbácea, 1,5 m de altura. Capítulos lilases; Mata Atlântica","UEC126867","UEC126867",NA,"Castro, MS",NA,NA,NA,NA,"2016","-47.885","-24.608333","06","09",NA,NA
"22","2021-03-01 16:25:57-03","UNICAMP","UEC","60357","S","Plantae","Magnoliopsida",NA,"Asteraceae","Vernonia","lindbergii","Vernonia lindbergii","Baker","Freitas, AVL","23195","1990","04","14",NA,"Brazil","São Paulo","São Bernardo Do Campo","Ribeiração das Pedras (no alto da serra).","-46.560001373291","-23.6900005340576",NA,NA,NA,"porte arbustivo; até 3 metros, flores vináceas.","UEC138046","UEC138046",NA,NA,"31119","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-11-05 16:46:05-03","UFOP","OUPR","21554","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Vernonanthura","lindbergii","Vernonanthura lindbergii","(Baker) H.Rob.","Badini, J.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Mariana","Bento Rodrigues","-43.4160995483398","-20.377799987793",NA,NA,NA,"Brejo. Arbustivo. Flores violáceas",NA,NA,NA,"Almeida, G.; Soares, P.N.","33524","auto",NA,NA,"2012",NA,NA,NA,NA,NA,NA
"24","2019-11-05 16:46:05-03","UFOP","OUPR","3772","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Vernonanthura","lindbergii","Vernonanthura lindbergii","(Baker) H.Rob.","Badini, J.","s.n.","1974","02","13",NA,"Brasil","Minas Gerais","Mariana","Fazenda Macaquinhos","-43.4160995483398","-20.377799987793",NA,NA,NA,NA,NA,NA,NA,"Almeida, G.; Soares, P.N.","33524","auto",NA,NA,"2012",NA,NA,NA,NA,NA,NA
"25","2019-11-05 16:46:05-03","UFOP","OUPR","21556","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Vernonanthura","lindbergii","Vernonanthura lindbergii","(Baker) H.Rob.","Badini, J.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Mariana","Fazenda Macaquinhos","-43.4160995483398","-20.377799987793",NA,NA,NA,"Brejo. Arbustivo. Flores violáceas",NA,NA,NA,"Almeida, G.; Soares, P.N.","33524","auto",NA,NA,"2012",NA,NA,NA,NA,NA,NA
"26","2019-11-05 16:46:05-03","UFOP","OUPR","19461","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Vernonanthura","lindbergii","Vernonanthura lindbergii","(Baker) H.Rob.","Badini, J.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Ouro Preto","Botafogo","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Cerrado. Arbusto. Flores violáceas",NA,NA,NA,"Almeida, G.; Soares, P.N.","44599","auto",NA,NA,"2012",NA,NA,NA,NA,NA,NA
"27","2019-11-05 16:46:05-03","UFOP","OUPR","2595","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Vernonanthura","lindbergii","Vernonanthura lindbergii","(Baker) H.Rob.","Lisboa, M.A.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Ouro Preto","Falcão","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,NA,NA,NA,"Almeida, G.; Soares, P.N.","44599","auto",NA,NA,"2012",NA,NA,NA,NA,NA,NA
"28","2019-11-05 16:46:05-03","UFOP","OUPR","15991","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Vernonanthura","lindbergii","Vernonanthura lindbergii","(Baker) H.Rob.","Matteuzzo, M.C.M.","s.n.","2003","05","09",NA,"Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Lagoa intermitente. Área de influência da lagoa. Arbustiva",NA,NA,NA,"Almeida, G.; Soares, P.N.","44599","auto",NA,NA,"2012",NA,NA,NA,NA,NA,NA
"29","2019-11-05 16:46:05-03","UFOP","OUPR","15966","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Vernonanthura","lindbergii","Vernonanthura lindbergii","(Baker) H.Rob.","Messias, M.C.T.B.","s.n.","2003","05","09",NA,"Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Lagoa intermitente. Área de influência da lagoa. Arbustiva",NA,NA,NA,"Almeida, G.; Soares, P.N.","44599","auto",NA,NA,"2012",NA,NA,NA,NA,NA,NA
"30","2019-11-05 16:46:05-03","UFOP","OUPR","2112","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Vernonanthura","lindbergii","Vernonanthura lindbergii","(Baker) H.Rob.","Lisboa, M.A.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Ouro Preto","Rua das Lajes","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,NA,NA,NA,"Almeida, G.; Soares, P.N.","44599","auto",NA,NA,"2012",NA,NA,NA,NA,NA,NA
"31","2019-11-05 16:46:05-03","UFOP","OUPR","2596","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Vernonanthura","lindbergii","Vernonanthura lindbergii","(Baker) H.Rob.","Lisboa, M.A.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Ouro Preto","Serra de Lavras Novas","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,NA,NA,NA,"Almeida, G.; Soares, P.N.","44599","auto",NA,NA,"2012",NA,NA,NA,NA,NA,NA
"32","2020-12-21 16:17:40-03","MBM","MBM","188056","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Vernonanthura","lindbergii","Vernonanthura lindbergii","(Baker) H. Rob.","Augusto, J.","s.n.","1970","05","06","Southern America","Brazil","Minas Gerais","Lagoa Santa","Lundcéia","-43.8897018432617","-19.6271991729736",NA,NA,NA,NA,"MBM188056","MBM188056",NA,"Rennó, L.","12338","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-12-21 16:17:40-03","MBM","MBM","267216","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Vernonanthura","lindbergii","Vernonanthura lindbergii","(Baker) H. Rob.","Gottsberger, I.","21-175A","1977","05","17","Southern America","Brazil","São Paulo","Botucatu","Botucatu","-48.439998626709","-22.8799991607666",NA,NA,NA,NA,"MBM267216","MBM267216",NA,"Barroso, G.M.","40412","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2015-09-04 05:21:15-03","MNHN","RECOLNAT_MNHN_P","P02512456","PreservedSpecimen",NA,NA,NA,"Asteraceae","Vernonia","lindbergii","Vernonia lindbergii","Baker","Saint-Hilaire, A.",NA,"1816","1","1",NA,"Brasil","Minas Gerais",NA,"Brésil, province.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02512456' target='other'> <mi>dwc_moreinfo</mi></a>","P02512456","P02512456_01",NA,"Nakajima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2015-09-04 05:21:15-03","MNHN","RECOLNAT_MNHN_P","P02512458","PreservedSpecimen",NA,NA,NA,"Asteraceae","Vernonia","lindbergii","Vernonia lindbergii","Baker","Saint-Hilaire, A.",NA,"1816","1","1",NA,"Brasil","Minas Gerais",NA,"Brésil. Province de Minas Geraes.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02512458' target='other'> <mi>dwc_moreinfo</mi></a>","P02512458","P02512458_01",NA,"Nakajima",NA,NA,NA,NA,NA,NA,NA,NA,NA,"550",NA
"36","2020-12-11 11:33:44-03","UFMG","BHCB","18146","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Vernonia","lindbergii","Vernonia lindbergii","Baker","Oliveira, AB","s.n.","1988","02","02","Southern America","Brasil",NA,NA,"BR 040.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-12-11 11:33:44-03","UFMG","BHCB","2139","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Vernonia","lindbergii","Vernonia lindbergii","Baker","Augusto, J","s.n.","1970","05","06","Southern America","Brasil","Minas Gerais","Lagoa Santa","Lundcéia.","-43.8897018432617","-19.6271991729736",NA,NA,NA,"Cerrado.",NA,NA,NA,NA,"12338","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-12-11 11:33:44-03","UFMG","BHCB","398","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Vernonia","lindbergii","Vernonia lindbergii vestita","Baker","Rennó, LR","s.n.","1954",NA,NA,"Southern America","Brasil","Minas Gerais","Belo Horizonte","Represa da Pampulha.","-43.937801361084","-19.9207992553711",NA,NA,NA,"Campo; margem da represa.",NA,NA,"vestita",NA,"17082","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2009-07-17 17:34:00-03","MO","MOBOT","3386610","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Vernonanthura","lindbergii","Vernonanthura lindbergii","(Baker) H. Rob.","Per Dusén","Dusén 16178","1914",NA,NA,"South America","Brazil","Paraná",NA,"Jaguariahyba.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2015-08-20 11:24:20-03","CPQBA","CPMA","1027","S","Plantae","Magnoliophyta","Asterales","Asteraceae¹","Vernonia","lindbergii","Vernonia lindbergii","Baker","Narciso",NA,"1982","04","24",NA,"Brasil","São Paulo","Piruquê",NA,NA,NA,NA,NA,NA,"só no herbário",NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,NA,"CPQBA 591",NA
"41","2019-09-04 19:37:53-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Asteraceae","Vernonia","lindbergii","Vernonia lindbergii vestita",NA,"J. E. B. Warming","697","1864","2","27","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,"vestita",NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,"Type [status unknown]"
"42","2019-01-25 15:38:50-02","IAC","IAC","21324","S","Plantae",NA,NA,"Asteraceae","Vernonia","lindbergii","Vernonia lindbergii","Baker","M. Kuhlmann","s/nº","1959","04","17",NA,"Brasil","São Paulo","Itanhaém",NA,"-46.7889","-24.1831",NA,NA,NA,NA,NA,NA,NA,"H.F. Leitão Filho",NA,NA,NA,NA,"1970","-46.7889","-24.1831","10","15",NA,NA
"43","2019-01-25 15:38:50-02","IAC","IAC","35590","S","Plantae",NA,NA,"Asteraceae","Vernonia","lindbergii","Vernonia lindbergii","Baker","N.M. Ivanauskas","129","1995","04","19",NA,"Brasil","São Paulo","Pariquera-Açu","Estação Experimental do IAC","-47.8850001","-24.6083333",NA,NA,NA,"Coordenadas do material: 24°36#?#30S, 47°53#?#06W",NA,NA,NA,"D.M. Moraes",NA,NA,NA,NA,"1996","-47.8850001","-24.6083333","10","27",NA,NA
"44","2019-01-25 15:38:50-02","IAC","IAC","5640","S","Plantae",NA,NA,"Asteraceae","Vernonia","lindbergii","Vernonia lindbergii","Baker","A.C. Smith","109","1940","03","30",NA,"Brasil","São Paulo","Ubatuba","IAC, Estação Experimental (Horto)","-45.0711","-23.4339",NA,NA,NA,NA,NA,NA,NA,"J.M.F. Toledo",NA,NA,NA,NA,"1941","-45.0711","-23.4339","10","21",NA,NA
"45","2017-09-11 17:08:38-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Asteraceae","Vernonia","lindbergii","Vernonia lindbergii","(Baker) H.Rob.","Lindberg, GA","62",NA,NA,NA,"Southern America","Brazil",NA,NA,"Habitat in prov. S. Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2021-02-25 09:37:53-03","IBt","SP","43694","S","Plantae",NA,NA,"Asteraceae","Vernonanthura","lindbergii","Vernonanthura lindbergii","(Baker) H.Rob.","Mello Barreto","3900",NA,NA,NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2019-11-21 10:01:33-03","IBt","SP","278788","S","Plantae",NA,NA,"Asteraceae","Vernonanthura","lindbergii","Vernonanthura lindbergii","(Baker) H.Rob.","Bernacci, LC; Cardoso, EG; Camargo, O; Falivene, SMP","192","1994","05","17",NA,"Brasil","São Paulo","Pariquera-Açu","E.E. Pariquera-Açu, beira da mata","-47.8800010681152","-24.7099990844727",NA,NA,NA,NA,NA,NA,NA,"Simão Bianchini, R","17990","auto",NA,NA,"2016",NA,NA,"01","15",NA,NA
"48","2019-11-21 10:01:33-03","IBt","SP","253678","S","Plantae",NA,NA,"Asteraceae","Vernonanthura","lindbergii","Vernonanthura lindbergii","(Baker) H.Rob.","Kawall, M","156","1992","05","16",NA,"Brasil","São Paulo","Praia Grande","Área na beira da Rodovia Pedro Taques","-46.4000015258789","-24",NA,NA,NA,NA,NA,NA,NA,"Simão Bianchini, R","22363","auto",NA,NA,"2016",NA,NA,"01","15",NA,NA
