"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","individualCount","previousCatalogNumber"
"11","2020-12-11 11:33:23-03","UFMG","BHCB","178230","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Piptolepis","imbricata","Piptolepis imbricata","(Gardner) Sch.Bip.","Augsten, M; Meyer, PB","390","2010","04","03","Southern America","Brasil","Minas Gerais","Serro","Monumento Natural Estadual Várzea do Lajeado, Lajeado de Milho Verde","-43.4899","-18.469842","1078","1078",NA,NA,"BHCB031368",NA,NA,NA,NA,NA,NA,NA,NA,"-43.4899","-18.469842",NA,NA,NA
"12","2014-02-23 21:21:00-03","MO","MOBOT","3364715","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Piptolepis","imbricata","Piptolepis imbricata","(Gardner) Sch. Bip.","Edmundo Pereira","Pereira 1732","1955",NA,NA,"South America","Brazil","Minas Gerais",NA,"Diamantina.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2008-05-27 22:02:00-03","MO","MOBOT","3364810","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Piptolepis","imbricata","Piptolepis imbricata","(Gardner) Sch. Bip.","Gert G. Hatschbach","Hatschbach 27399","1971",NA,NA,"South America","Brazil","Minas Gerais",NA,"Guinda (mun. Diamantina).",NA,NA,"1300.00000000",NA,NA,NA,NA,NA,NA,"E.M.Zardini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2009-08-07 05:41:00-03","MO","MOBOT","2492004","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Vernonia","imbricata","Vernonia imbricata","Gardner","Émile Hassler","Hassler 1861",NA,NA,NA,"South America","Paraguay","Cordillera",NA,"Ad marginem silvae pr. Peribebuy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-08-31 08:53:06-03","INPA","INPA","105889","S","Plantae","Dicotyledon Asterids","Asterales","Asteraceae","Piptolepis","imbricata","Piptolepis imbricata","(Gardner) Sch.Bip.","Hatschbach, GG","27399","1971","09","07","Southern America","Brasil","Minas Gerais","Diamantina","Guinda. Campo arenoso.","-43.6002998352051","-18.2493991851807","1300","1300",NA,NA,"INPA0105889","INPA0105889 INPA0105889_e",NA,"Zardini, EM","101169","auto","1979",NA,NA,NA,NA,NA,NA,NA
"16","2020-09-12 05:00:02-03","US","US","2818794","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Piptolepis","imbricata","Piptolepis imbricata","(Gardner) Sch. Bip.","W. Anderson, M. Stieber & J. H. Kirkbride","35435","1972","2","5","South America - Neotropics","Brazil","Minas Gerais",NA,"Planalto do Brasil, Serra do Espinhaco, ca 5 km SW of Diamantina, Municipio de Diamantina, km 350 on mG 259",NA,NA,"1300",NA,NA,NA,"US01635390","US01635390_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"17","2020-09-12 05:00:02-03","US","US","2931790","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Piptolepis","imbricata","Piptolepis imbricata","(Gardner) Sch. Bip.","G. Hatschbach","27399","1971","9","7","South America - Neotropics","Brazil","Minas Gerais",NA,"Guinda (mun. Diamantina)",NA,NA,"1300",NA,NA,NA,"US01635391","US01635391_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"18","2019-11-13 11:16:30-03","USP","SPF","214830","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Piptolepis","imbricata","Piptolepis imbricata","(Gardner) Sch.Bip.","Loeuille, B","581","2011","11","17",NA,"Brasil","Minas Gerais","Serro","Capivari","-43.389083","-18.397667","1212","1212",NA,NA,"SPF00214830",NA,NA,"Cândido, JB",NA,NA,"2019","09",NA,"-43.389083","-18.397667",NA,NA,NA
"19","2019-10-07 09:11:55-03","UEFS","HUEFS","68018","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Piptolepis","imbricata","Piptolepis imbricata","(Gardner) Sch.Bip.","Queiroz, L.P.de","7573","2003","01","08",NA,"Brasil","Minas Gerais","Diamantina","Ca. 7 km E de Diamantina na estrada para Canto de Magalhães de Minas.","-43.5625","-18.181667","1294","1294",NA,"Campo rupestre.","HUEFS0068018","HUEFS0068018",NA,"B.Loeuille",NA,NA,"2011","11",NA,"43W33'45''","18S10'54''","Asteranae",NA,NA
"20","2019-09-05 15:30:04-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Asteraceae","Vernonia","imbricata","Vernonia imbricata",NA,"B. Balansa","963","1875","3","25","South America","Paraguay",NA,NA,NA,"-58.1689","-23.2025",NA,NA,NA,NA,NA,NA,"Type [status unknown]",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA
"21","2019-09-04 18:19:44-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Asteraceae","Vernonia","imbricata","Vernonia imbricata",NA,"G. Gardner","4751","1842",NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,"Isotype",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA
"22","2019-01-22 18:56:40-02","F","FMNH-SEEDPLANTS","V0051836F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Asteraceae","Vernonia","imbricata","Vernonia imbricata",NA,"B. Balansa","963","1875","3","25","South America","Paraguay",NA,NA,NA,"-58.1689","-23.2025",NA,NA,NA,NA,"V0051836F","V0051836F_01","Type [status unknown]",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA
"23","2016-08-23 10:58:54-03","NHMLondon","NHM-LONDON-BOT","BM000939726","S","Plantae",NA,NA,"Asteraceae","Piptolepis","imbricata","Piptolepis imbricata","(Gardner) Sch.Bip.","George Gardner; b.1812; d.1849; Gardner","4751","1840","08",NA,NA,"Brasil","Minas Gerais",NA,NA,"-44.096503","-19.690239",NA,NA,NA,"<a href=http://www.nhm.ac.uk/services/media-store/asset/42d13935b22bb9c28c5c20e4e4bd73e5627e7ca4/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Holotype","João Semir; b.1937; Semir",NA,NA,"1992","11",NA,"-44.096503","-19.690239",NA,NA,"NHMUK:ecatalogue:725470"
"24","2019-11-01 14:54:23-03","UnB","UB","45484","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Piptolepis","imbricata","Piptolepis imbricata","(Gardner) Sch.Bip.","King, RM","8562","1981","01","19","Southern America","Brasil","Minas Gerais",NA,"15km from Diamantina along road NE to Mendanha",NA,NA,NA,NA,NA,"Plant 0,5m. Flor blue",NA,NA,NA,"Loeuille, B",NA,NA,"2011",NA,NA,NA,NA,NA,NA,NA
"25","2019-11-01 14:54:23-03","UnB","UB","45486","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Piptolepis","imbricata","Piptolepis imbricata","(Gardner) Sch.Bip.","Duarte, AP","10518","1967","10","17","Southern America","Brasil","Minas Gerais",NA,"Diamantina para Mendanha",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Loeuille, B",NA,NA,"2011",NA,NA,NA,NA,NA,NA,NA
"26","2019-08-08 09:59:28-03","UFU","HUFU","24994","S","Plantae",NA,NA,"Asteraceae","Piptolepis","imbricata","Piptolepis imbricata","(Gardner) Sch.Bip.","Nakajima, J.N.; Romero, R.","3081","2001","03","29",NA,"Brasil","Mato Grosso do Sul","Serro","Pedra do Cruzeiro, Estrada para Distrito de Capivari.","-43.451389","-18.462778","1250","1250",NA,"Arbusto, ca. 0,5 m. Brácteas involucrais esverdeadas, corola e ramos do estilete púrpuras.; Campo rupestre.","HUFU00049242","HUFU00049242",NA,NA,NA,NA,NA,NA,NA,"-43.451389","-18.462778",NA,NA,NA
"27","2019-05-10 16:39:37-03","UFU","HUFU","76204","S","Plantae",NA,NA,"Asteraceae","Piptolepis","imbricata","Piptolepis imbricata","(Gardner) Sch.Bip.","Costa, F.N.; Sano, P.T.; Silva, R.R. & Fonseca, S.N.","1849","2016","04","28",NA,"Brasil","Minas Gerais","Olhos d'Água","Parque Nacional das Sempre Vivas, Trilha do Telégrafo, Campo João Alves. Bacia do Rio Jequitinhonha.","-43.699444","-17.732778","1134","1134",NA,"Arbusto com flores lilases.; Campo rupestre.","HUFU00073979","HUFU00073979",NA,"Nakajima, J.N.",NA,NA,"2018","05",NA,"-43.699444","-17.732778",NA,NA,NA
"28","2017-09-11 17:08:21-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Asteraceae","Piptolepis","imbricata","Piptolepis imbricata","(Gardner) Sch.Bip.","Gardner, G","4571",NA,NA,NA,"Southern America","Brazil",NA,NA,"Habitat prov. Minas Geraes in Serro Frio prope urbem Milho Verde",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
