"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","coordinatePrecision","imagecode","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","individualCount","typeStatus","relatedCatalogItem"
"11","2020-09-12 05:00:02-03","US","US","2220531","PreservedSpecimen","Plantae",NA,"Ebenales","Symplocaceae","Symplocos","neglecta","Symplocos neglecta","Brand",NA,"R. M. Klein","1328","1955","4","22","South America","Brazil","Santa Catarina",NA,"Morro da Fazenda, Itajai. Mata.",NA,NA,"100",NA,NA,NA,"US03135811",NA,"US03135811_01",NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA
"12","2019-11-13 11:32:25-03","USP","SPF","194003","PreservedSpecimen","Plantae",NA,NA,"Symplocaceae","Symplocos","neglecta","Symplocos neglecta","Brand","Perdiz, RO","Perdiz, RO","405","2009","06","17",NA,"Brasil","Bahia","Camacan",NA,"-39.565278","-12.391667","835","835",NA,NA,"SPF00194003",NA,NA,NA,"2009","07","-39.565278","-12.391667",NA,NA,NA,NA,NA
"13","2019-11-13 11:32:25-03","USP","SPF","215683","PreservedSpecimen","Plantae",NA,NA,"Symplocaceae","Symplocos","neglecta","Symplocos neglecta","Brand",NA,"Jardim, AB","207","2008","12","21",NA,"Brasil","Bahia","Arataca","RPPN do IESB.","-39.358333","-15.178333",NA,NA,NA,NA,"SPF00215683",NA,NA,NA,NA,NA,"-39.358333","-15.178333",NA,NA,NA,NA,NA
"14","2019-10-07 09:13:04-03","UEFS","HUEFS","108935","PreservedSpecimen","Plantae","Angiospermae","Ericales","Symplocaceae","Symplocos","neglecta","Symplocos neglecta","Brand",NA,"Amorim, A.M.","4799","2005","02","07",NA,"Brasil","Bahia","Barro Preto","Serra da Pedra Lascada, 13,7 km de Barro Preto, na estrada que passa pela Fazenda São Miguel, em direção à serra.","-39.202778","-14.770278","600","900",NA,"Montana.","HUEFS0108935",NA,"HUEFS0108935",NA,NA,NA,"39W12'10''","14S46'13''",NA,"Asteranae",NA,NA,NA
"15","2019-10-07 09:13:04-03","UEFS","HUEFS","9748","PreservedSpecimen","Plantae","Angiospermae","Ericales","Symplocaceae","Symplocos","neglecta","Symplocos neglecta","Brand",NA,"Hatschbach, G.","18998","1968","04","10",NA,"Brasil","Paraná","São José dos Pinhais",NA,"-49.2064018249512","-25.5347003936768","50","50",NA,NA,"HUEFS0009748","45291","HUEFS0009748","auto",NA,NA,NA,NA,NA,"Asteranae",NA,NA,NA
"16","2019-10-07 09:13:04-03","UEFS","HUEFS","11643","PreservedSpecimen","Plantae","Angiospermae","Ericales","Symplocaceae","Symplocos","neglecta","Symplocos neglecta","Brand","A.Q.B.Jardim","Queiroz, L.P.de","2816","1991","07","15",NA,"Brasil","São Paulo","Brotas","Mata ciliar próxima ao viveiro de produção de mudas da prefeiura.","-48.1199989318848","-22.2800006866455",NA,NA,NA,NA,"HUEFS0011643","26585","HUEFS0011643","auto","2006","04",NA,NA,NA,"Asteranae",NA,NA,NA
"17","2019-01-23 12:24:47-02","F","FMNH-SEEDPLANTS","V0044557F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Symplocaceae","Symplocos","neglecta","Symplocos neglecta",NA,NA,"F. Sellow",NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0044557F",NA,"V0044557F_01",NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,"Isotype",NA
"18","2020-07-23 12:23:43-03","CEPLAC","CEPEC","57513","PreservedSpecimen","Plantae",NA,NA,"Symplocaceae","Symplocos","neglecta","Symplocos neglecta",NA,"A. Jardim","L. P. de Queiroz","2816","1991","07","15",NA,"Brasil","São Paulo","BROTAS","Mata próxima ao viveiro de produção de mudas da prefeitura.","-48.1199989318848","-22.2800006866455",NA,NA,NA,NA,NA,"26585",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,"11/04/2006"
"19","2021-03-04 15:42:50-03","IF","SPSF","14497","PreservedSpecimen","Plantae","Magnoliophyta","Ebenales","Symplocaceae","Symplocos","neglecta","Symplocos neglecta",NA,NA,"G. Hatschbach & C. Koczicki","18998","1968","04","18","América do Sul","Brasil","PR","Guaraqueçaba","Serrinha","-48.3288993835449","-25.3066997528076",NA,NA,NA,"COLETA: XLS: SPSFAntigo;",NA,"37295",NA,"auto",NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA
"20","2020-11-19 09:30:08-03","IBt","SP","358435","S","Plantae",NA,NA,"Symplocaceae","Symplocos","neglecta","Symplocos neglecta","Brand",NA,"Queiroz, LP","2816","1991","07","15",NA,"Brasil","São Paulo","Brotas",NA,"-48.1199989318848","-22.2800006866455",NA,NA,NA,NA,NA,"26585",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
