"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","locality","day","fieldNumber","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","identifiedBy","individualCount","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude"
"11","2015-09-05 01:55:43-03","MNHN","RECOLNAT_MNHN_P","P05086053","PreservedSpecimen",NA,NA,NA,"Plantaginaceae","Ildefonsia","bibracteata","Ildefonsia bibracteata","Gardner",NA,"Glaziou, A.",NA,NA,NA,NA,"Brasil","Rio de Janeiro","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05086053' target='other'> <mi>dwc_moreinfo</mi></a>","P05086053","P05086053_01","Corcovado (Lagoinha).",NA,"9546",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2015-09-05 01:55:43-03","MNHN","RECOLNAT_MNHN_P","P05086054","PreservedSpecimen",NA,NA,NA,"Plantaginaceae","Ildefonsia","bibracteata","Ildefonsia bibracteata","Gardner",NA,"Gaudichaud",NA,NA,NA,NA,"Brasil","Rio de Janeiro","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05086054' target='other'> <mi>dwc_moreinfo</mi></a>","P05086054","P05086054_01",NA,NA,"440",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2015-09-05 01:55:43-03","MNHN","RECOLNAT_MNHN_P","P05086052","PreservedSpecimen",NA,NA,NA,"Plantaginaceae","Ildefonsia","bibracteata","Ildefonsia bibracteata","Gardner",NA,"Glaziou, A.",NA,"1878","1",NA,"Brasil","Rio de Janeiro","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05086052' target='other'> <mi>dwc_moreinfo</mi></a>","P05086052","P05086052_01","Corcovado (Lagoinha).","29","9546","Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","auto",NA,NA,NA,NA,NA,NA,NA
"14","2015-09-05 01:55:42-03","MNHN","RECOLNAT_MNHN_P","P05086044","PreservedSpecimen",NA,NA,NA,"Plantaginaceae","Ildefonsia","bibracteata","Ildefonsia bibracteata","Gardner",NA,"Glaziou, A.|Schwacke|Ule",NA,"1887","8",NA,"Brasil","Rio de Janeiro","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05086044' target='other'> <mi>dwc_moreinfo</mi></a>","P05086044","P05086044_01","Serra da Bica, prés de Cascadura.","20","17173","Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","auto",NA,NA,NA,NA,NA,NA,NA
"15","2014-04-08 10:32:00-03","MO","MOBOT","3012697","PreservedSpecimen","Plantae",NA,NA,"Plantaginaceae","Ildefonsia","bibracteata","Ildefonsia bibracteata","Gardner",NA,"George Gardner","Gardner 6556","1836","9","South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,"Corcorado.",NA,NA,NA,NA,NA,NA,NA,"V.C. Souza","1",NA,NA,NA,NA,NA
"16","2017-09-11 17:12:33-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Plantaginaceae","Ildefonsia","bibracteata","Ildefonsia bibracteata","Gardner",NA,"?","s.n.",NA,NA,"Southern America","Brazil",NA,NA,NA,NA,"P08P1N0052","In colibus umbrosis humidiusculis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2017-09-11 17:12:33-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Plantaginaceae","Ildefonsia","bibracteata","Ildefonsia bibracteata","Gardner",NA,"Widgren, JF","s.n.",NA,NA,"Southern America","Brazil","Minas Gerais",NA,"Pl. Dryas",NA,"P08P1N0052","in prov. Minarum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2017-09-11 17:12:33-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Plantaginaceae","Ildefonsia","bibracteata","Ildefonsia bibracteata","Gardner",NA,"Wied-Neuwied, MAP Prince","s.n.",NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,NA,NA,"P08P1N0052","prope Cabo Frio",NA,NA,"Cabo Frio","-42.0186","-22.8794","40069","auto",NA,NA,NA,NA,NA,NA,NA
"19","2017-09-11 17:12:33-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Plantaginaceae","Ildefonsia","bibracteata","Ildefonsia bibracteata","Gardner",NA,"Riedel, L","s.n.",NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,NA,NA,"P08P1N0052","M. Corcovado prope Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2017-09-11 17:12:33-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Plantaginaceae","Ildefonsia","bibracteata","Ildefonsia bibracteata","Gardner",NA,"Gaudichaud Beaupré, C","s.n.",NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,NA,NA,"P08P1N0052","M. Corcovado prope Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2017-09-11 17:12:33-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Plantaginaceae","Ildefonsia","bibracteata","Ildefonsia bibracteata","Gardner",NA,"Widgren, JF","s.n.",NA,NA,"Southern America","Brazil","Minas Gerais",NA,"Floret Octbr. Novbr.",NA,"P08P1N0052","in prov. Minarum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2014-09-23 10:59:44-03","G","G","G00356770","S","Plantae",NA,NA,"Scrophulariaceae","Ildefonsia","bibracteata","Ildefonsia bibracteata","Gardner","ISOTYPUS of Ildefonsia bibracteata Gardner","Gardner, G.","101","1836",NA,"AMERIQUE DU SUD","Brazil","Rio de Janeiro",NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site","G00356770",NA,NA,"00",NA,NA,"-42.9125","-22.48222222",NA,NA,"Souza, V. C.",NA,"2001","01","01","-42.9125","-22.48222222"
"23","2014-09-23 10:59:44-03","G","G","G00356771","S","Plantae",NA,NA,"Scrophulariaceae","Ildefonsia","bibracteata","Ildefonsia bibracteata","Gardner","ISOTYPUS of Ildefonsia bibracteata Gardner","Gardner, G.","101","1836",NA,"AMERIQUE DU SUD","Brazil","Rio de Janeiro",NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site","G00356771",NA,NA,"00",NA,NA,"-42.9125","-22.48222222",NA,NA,"Souza, V. C.",NA,"2001","01","01","-42.9125","-22.48222222"
