"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","typeStatus","yearIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","fieldNumber","individualCount"
"11","2019-08-16 08:41:26-03","UTFPR","HCF","20978","S","Plantae",NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch & Seub.","E.D. Lozano","E.D. Lozano","1767",NA,NA,NA,NA,"Brasil","PR","Campo Mourão","Bairro Lar Paraná, arredores do Polo","-52.430278","-24.0725",NA,NA,NA,"cespitosa, 80 cm, flores amarelas, campo úmido. Cerrado de Campo Mourão. Coletada em XI/2013.",NA,NA,NA,NA,"2014","52°25'49 W","24°04'21 S",NA,NA,NA,NA,NA,NA
"12","2019-08-16 08:41:26-03","UTFPR","HCF","20979","S","Plantae",NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch & Seub.","E.D. Lozano","E.D. Lozano","2266","2013","12","11",NA,"Brasil","PR","Guarapuava","Rodovia BR-277, em frente à","-51.500556","-25.373333",NA,NA,NA,"cespitosa, 60 cm, flores amarelas, campo úmido. Campos de Guarapuava.",NA,NA,NA,NA,"2014","51°30'02 W","25°22'24 S",NA,NA,NA,NA,NA,NA
"13","2019-08-16 08:41:26-03","UTFPR","HCF","21063","S","Plantae",NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch & Seub.","E.D. Lozano","E.D. Lozano","2283","2013","12","12",NA,"Brasil","PR","Candói","Fazenda Capão Redondo","-52.0558013916016","-25.5722007751465",NA,NA,NA,"cespitosa, 70 cm, flores amarelas, margem de rio lajeado de basalto. Campos de Guarapuava.",NA,NA,NA,NA,"2014",NA,NA,"42664","auto",NA,NA,NA,NA
"14","2020-12-14 16:14:45-03","UFC","EAC","28066","PreservedSpecimen","Plantae","Monocotyledon",NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch ex Seub.","Lozano, E.D.","Félix, L.P.","7909","1997","05","20","Southern America","Brasil","Piauí","Gilbués",NA,"-45.3438987731934","-9.83166980743408",NA,NA,NA,"Erva, flor amarela.; Terrenos brejosos, nascento do rio Uruçuí.","EAC0028066","EAC0028066",NA,NA,"2018",NA,NA,"69776","auto","09","19",NA,NA
"15","2020-12-21 16:47:49-03","MBM","MBM","386287","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Kunth","Lozano, E.D.","Smith, L.B.; Klein, R.M.; Klein, R.M.","14883","1965","01","20","Southern America","Brazil","Paraná","Ponta Grossa","Vila Velha","-50.033333","-25.216667","800","920",NA,"bog (by road below)","MBM386287","MBM386287",NA,NA,"2013","-50.033333","-25.216667",NA,NA,NA,NA,NA,NA
"16","2020-12-21 16:47:49-03","MBM","MBM","401677","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Kunth","Lozano, E.D.","Lozano, E.D.; Siqueira, E.L.; Siqueira, E.L.","1767","2013","11",NA,"Southern America","Brazil","Paraná","Campo Mourão","Bairro Lar Paraná, arredores do Polo Industrial","-52.430278","-24.0725",NA,NA,NA,"Cespitosa, 80 cm, flores amarelas, campo úmido; Cerrado de Campo Mourão.","MBM401677","MBM401677",NA,NA,"2014","-52.430278","-24.0725",NA,NA,NA,NA,NA,NA
"17","2020-12-21 16:47:49-03","MBM","MBM","401678","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Kunth","Lozano, E.D.","Lozano, E.D.; Engels, M.E.; Engels, M.E.","2283","2013","12","12","Southern America","Brazil","Paraná","Candói","Fazenda Capão Redondo","-51.803056","-25.423333",NA,NA,NA,"Cespitosa, 70 cm, flores amarelas, margem de rio lajeado de basalto.; Campos de Guarapuava.","MBM401678","MBM401678",NA,NA,"2014","-51.803056","-25.423333",NA,NA,NA,NA,NA,NA
"18","2020-12-21 16:47:49-03","MBM","MBM","401680","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Kunth","Lozano, E.D.","Lozano, E.D.; Engels, M.E.; Engels, M.E.","2266","2013","12","11","Southern America","Brazil","Paraná","Guarapuava","Rodovia BR-277, em frente à concessionária da John Deere","-51.500556","-25.373333",NA,NA,NA,"Cespitosa, 60 cm, flores amarelas, campo úmido.; Campos de Guarapuava.","MBM401680","MBM401680",NA,NA,"2014","-51.500556","-25.373333",NA,NA,NA,NA,NA,NA
"19","2020-12-21 16:47:49-03","MBM","MBM","171074","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Klotzch ex Seub.","Wanderley, M.G.L.","Amorim, A.M.; et al.; et al.","563","1992","06","12","Southern America","Brazil","Bahia","Barreiras","Estrada para Brasília, Rod. BR-242","-44.9900016784668","-12.1527996063232",NA,NA,NA,NA,"MBM171074","MBM171074",NA,NA,NA,NA,NA,"152720","auto",NA,NA,NA,NA
"20","2020-12-21 16:47:49-03","MBM","MBM","429228","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Klotzch ex Seub.","Lozano, E.D.","Lozano, E.D.; Canestraro, B.K.; Canestraro, B.K.","4104","2018","01","16","Southern America","Brazil","Paraná","Candói","Estrada para a Fazenda Capão Redondo","-51.8025","-25.425333",NA,NA,NA,"Herbácea, cespitosa com poucos indivíduos, 80 cm, flores amarelas, margem de rio lajeado.; Campos de Guarapuava.","MBM429228",NA,NA,NA,"2018","-51.8025","-25.425333",NA,NA,NA,NA,NA,NA
"21","2020-12-21 16:47:49-03","MBM","MBM","401679","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Kunth","Lozano, E.D.","Lozano, E.D.; Engels, M.E.; Engels, M.E.","2267","2013","12","12","Southern America","Brazil","Paraná","Candói","Rodovia PR-560, estrada para Santa Clara","-52.998611","-25.557222",NA,NA,NA,"Cespitosa, 70 cm, flores amarelas, campo úmido. Único indivíduo encontrado.; Campos de Guarapuava.","MBM401679","MBM401679",NA,NA,"2014","-52.998611","-25.557222",NA,NA,NA,NA,NA,NA
"22","2015-09-03 21:06:58-03","MNHN","RECOLNAT_MNHN_P","P01679869","PreservedSpecimen",NA,NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch & Seub.",NA,"Burchell, W.J.",NA,"1827","1","1",NA,"Brésil","São Paulo",NA,"Brésil. São Paulo",NA,NA,NA,NA,"hb","Catalogus Geographicus Plantarum Brasiliae Tropicae <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01679869' target='other'> <mi>dwc_moreinfo</mi></a>","P01679869","P01679869_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4187",NA
"23","2015-09-03 21:06:58-03","MNHN","RECOLNAT_MNHN_P","P01679870","PreservedSpecimen",NA,NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch & Seub.",NA,"Gaudichaud",NA,"1833","1","1",NA,"Brasil","São Paulo",NA,"Brésil. Province de San-Paolo. São Paulo, Sudeste, Brasil, América do Sul",NA,NA,NA,NA,"hb","Herbier Impérial du Brésil. . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01679870' target='other'> <mi>dwc_moreinfo</mi></a>","P01679870","P01679870_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"148",NA
"24","2020-10-01 14:27:09-03","JBB","HEPH","13679","S","Plantae","Monocotyledon","Poales","Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch ex Seub.","Munhoz, CBR","Munhoz, CBR","484","1997","08","10","Southern America","Brasil","Goiás","Alto Paraíso de Goiás","BR 010 8Km a direita de Alto Paraíso sentido Teresina Água Fria 1","-47.509167","-14.0725","460","460",NA,NA,NA,NA,NA,NA,"1997","-47.509167","-14.0725",NA,NA,NA,NA,NA,NA
"25","2020-12-11 11:45:35-03","UFMG","BHCB","149231","PreservedSpecimen","Plantae","Monocotyledon",NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch ex Seub.",NA,"Carmo, FF","3125","2008","07","01","Southern America","Brasil","Minas Gerais","Catas Altas","Chapada de Canga","-43.405278","-20.137361","910","910",NA,"Coletado em lagoa. Afloramento de canga.","BHCB035290",NA,NA,NA,"2011","-43.405278","-20.137361",NA,NA,"05","10",NA,NA
"26","2021-02-11 17:22:10-03","UFPR","UPCB","60973","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch & Seub.","Lozano, E.D.","Kozera, C.","2816","2006","01","05",NA,"Brasil","Paraná","Balsa Nova","Ponte dos Arcos.","-49.6356010437012","-25.5839004516602",NA,NA,NA,"Herbácea, com flores amarelas, touceiras na várzea..",NA,NA,NA,NA,"2014",NA,NA,"27346","auto",NA,NA,NA,NA
"27","2008-05-27 22:02:00-03","MO","MOBOT","3002747","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch & Seub.",NA,"* WEIDGREN","WEIDGREN s.n.",NA,NA,NA,"South America","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2008-05-27 22:02:00-03","MO","MOBOT","3002776","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch & Seub.",NA,"* WEIDGREN","WEIDGREN s.n.","1845",NA,NA,"South America","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-12-19 11:20:43-03","UFG","UFG","8738","S","Plantae",NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch ex Seub.","Wanderley","Rizzo, J.A.","8671","1972","12","15",NA,"Brasil","Goiás","Jataí","Estrada de Jataí para Serranópolis. A 20km do ribeirão Ariranha. Campo.","-51.7144012451172","-17.8813991546631",NA,NA,NA,"Herbácea de 40cm, corola amarela.",NA,NA,NA,NA,NA,NA,NA,"75073","auto",NA,NA,NA,NA
"30","2019-12-19 11:20:43-03","UFG","UFG","5970","S","Plantae",NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch ex Seub.","Wanderley","Rizzo, J.A.","5870","1971","01","08",NA,"Brasil","Goiás","Pirenópolis","Serra dos Pireneus, Alto da Serra dos Pireneus, na base dos três picos. Campo rupestre. Ocorre mata ciliar.","-48.9592018127441","-15.852499961853",NA,NA,NA,"Herbácea, corola amarela.",NA,NA,NA,NA,NA,NA,NA,"40887","auto",NA,NA,NA,NA
"31","2019-12-19 11:20:43-03","UFG","UFG","44026","S","Plantae",NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch ex Seub.","Mota, N.F.O.; Paula, L.F.A.","Mota, N.F.O.; Viana, P.L.","1574","2010","06","06",NA,"Brasil","Goiás","Alto Paraiso de Goiás","Parque Nacional da Chapada dos Veadeiros","-47.817778","-14.1475","916","916",NA,NA,"UFG0044026","UFG0044026",NA,NA,"2000","-47.817778","-14.1475",NA,NA,"10",NA,NA,NA
"32","2019-12-19 11:20:43-03","UFG","UFG","44028","S","Plantae",NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch ex Seub.","Viana, P.L.; Mota, N.F.O.","Mota, N.F.O.; Viana, P.L.","1579","2010","06","06",NA,"Brasil","Goiás","Alto Paraiso de Goiás","Parque Nacional da Chapada dos Veadeiros","-47.817778","-14.1475","916","916",NA,NA,"UFG0044028","UFG0044028",NA,NA,"2010","-47.817778","-14.1475",NA,NA,"06","06",NA,NA
"33","2019-12-19 11:20:43-03","UFG","UFG","7842","S","Plantae",NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch ex Seub.","Wanderley","Rizzo, J.A.","7567","1972","02","04",NA,"Brasil","Goiás","Alto Paraíso","Chapada dos Veadeiros, Campo rupestre. Cerrado. Úmido.",NA,NA,NA,NA,NA,"15cm, corola amarela.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2019-12-19 11:20:43-03","UFG","UFG","8198","S","Plantae",NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch ex Seub.","Costa; Silva, M.B.","Rizzo, J.A.","8188","1972","07","08",NA,"Brasil","Goiás","Alto Paraíso","Chapada dos Veadeiros, Campo rupestre.",NA,NA,NA,NA,NA,"Corola amarela.",NA,NA,NA,NA,"1998",NA,NA,NA,NA,"05","22",NA,NA
"35","2021-02-04 10:30:34-03","UFRPE","HST","6543","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch ex Seub.",NA,"L.P.Félix","7909","1997","05","20",NA,"Brasil","Piauí","Gilbués",NA,"-45.3438987731934","-9.83166980743408",NA,NA,NA,"Erva; flores amarelas.","HST006543",NA,NA,NA,NA,NA,NA,"69776","auto",NA,NA,NA,NA
"36","2020-09-12 05:00:02-03","US","US","2587165A","PreservedSpecimen","Plantae",NA,"Commelinales","Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch & Klotzsch",NA,"H. S. Irwin, R. Souza & R. R. Santos","7998","1965","9","5","South America - Neotropics","Brazil","Distrito Federal",NA,"Chapada da Contagem, ca. 20 Km NE of Brasília",NA,NA,"1000",NA,NA,NA,"US01916054","US01916054_01","Monocotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"37","2020-09-12 05:00:02-03","US","US","2280610","PreservedSpecimen","Plantae",NA,"Commelinales","Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch & Klotzsch",NA,"E. Y. Dawson","14238","1956","4","15","South America - Neotropics","Brazil","Goiás","São João d´Aliança","20 km N of Sao Joao da . Region of the Chapada dos Veadeiros","-47.5","-14.5",NA,NA,NA,NA,"US01916057","US01916057_01","Monocotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"38","2020-09-12 05:00:02-03","US","US","2587164A","PreservedSpecimen","Plantae",NA,"Commelinales","Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch & Klotzsch",NA,"H. S. Irwin & T. R. Soderstrom","5230","1964","8","17","South America - Neotropics","Brazil","Distrito Federal",NA,"Chapada da Contagem, ca. 20 km E of Brasília",NA,NA,NA,NA,NA,NA,"US01916053","US01916053_01","Monocotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"39","2020-09-12 05:00:02-03","US","US","1280355","PreservedSpecimen","Plantae",NA,"Commelinales","Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch & Klotzsch",NA,"-- Widgren","s.n.",NA,NA,NA,"South America - Neotropics","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"US01916055","US01916055_01","Monocotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"40","2020-09-12 05:00:02-03","US","US","2121706","PreservedSpecimen","Plantae",NA,"Commelinales","Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch & Klotzsch",NA,"M. Barreto","4360","1934","9","27","South America - Neotropics","Brazil","Minas Gerais","Belo Horizonte","Lagoa Secca","-43.937801361084","-19.9207992553711",NA,NA,NA,NA,"US01916056","US01916056_01","Monocotyledonae",NA,NA,NA,NA,"17082","auto",NA,NA,NA,"1"
"41","2020-09-12 05:00:02-03","US","US","2573042","PreservedSpecimen","Plantae",NA,"Commelinales","Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch & Klotzsch",NA,"L. Smith & R. M. Klein","14883","1965","1","20","South America - Neotropics","Brazil","Paraná","Ponta Grossa","Vila Velha","-50.03","-25.22","800","920",NA,NA,"US01916052","US01916052_01","Monocotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"42","2020-09-02 16:40:49-03","Cenargen","CEN","22179","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch & Seub.","M. G. L. Wanderley","Terezinha Aparecida Borges Dias","209","1992","06","25",NA,"Brasil","DF","BRASILIA","Área de preservação da Caesb - Chapada da Contagem. 20 km do CENARGEN pela DF-001.","-47.9296989440918","-15.7797002792358","1000","1000","Exsicatas","Brácteas castanha-escura; flores amarelas.","CEN00022179","CEN00022179",NA,NA,"1996","-4786667.0","-1568333.0","70570","auto","10",NA,NA,"4"
"43","2020-09-02 16:40:49-03","Cenargen","CEN","56562","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch & Seub.",NA,"Taciana Barbosa Cavalcanti","2830","2002","06","15",NA,"Brasil","TO","MATEIROS","Entorno do Parque Estadual do Jalapão. Estrada Mateiros - Ponte Alta, a 2 km do Rio Novo.","-46.4211006164551","-10.5474996566772","400","400","Exsicatas",NA,"CEN00056562","CEN00056562",NA,NA,NA,"-4676972.0","-1055778.0","87923","auto",NA,NA,NA,"4"
"44","2019-10-07 09:22:44-03","UEFS","HUEFS","38045","PreservedSpecimen","Plantae","Angiospermae","Poales","Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch ex Seub.","M.G.L.Wanderley","Félix, L.P.","7909","1997","05","20",NA,"Brasil","Piauí","Gilbués",NA,"-45.3438987731934","-9.83166980743408",NA,NA,NA,"terrenos brejosos, nascente do Uruçuí.","HUEFS0038045","HUEFS0038045","Lilianae",NA,"2003",NA,NA,"69776","auto","11",NA,NA,NA
"45","2021-03-04 11:16:16-03","UEFS","HUEFS","179029","PreservedSpecimen","Plantae","Angiospermae","Poales","Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch ex Seub.","M.G.L.Wanderley","Felix, L.P.","7909","1997","05","20",NA,"Brasil","Piauí","Gilbués","Terrenos brejosos, nascente do Uruçuí.","-45.3438987731934","-9.83166980743408",NA,NA,NA,NA,"HUEFS0179029","HUEFS0179029 HUEFS0179029_e1","Lilianae",NA,"2003",NA,NA,"69776","auto","11",NA,NA,NA
"46","2021-02-12 15:02:28-03","UFSCar","SPSC","4569","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch ex Seub.",NA,"M. H. A. O. Souza","15","1973","12","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2021-02-12 15:02:28-03","UFSCar","SPSC","3009","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch ex Seub.",NA,"M. H. A. O. Souza",NA,"1977","11","28",NA,"Brasil","São Paulo","Itirapina","Represa do Lobo. Margem esquerda",NA,NA,NA,NA,NA,"32.;",NA,NA,NA,NA,NA,"9999","9999",NA,NA,NA,NA,NA,NA
"48","2021-02-12 15:02:28-03","UFSCar","SPSC","4568","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch ex Seub.",NA,"M. H. A. O. Souza",NA,"1973","12","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.1.;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2019-11-01 15:17:39-03","UnB","UB","203277","PreservedSpecimen","Plantae","Monocotyledonae",NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Klotzsch ex Seub.","Wanderley, MGL","Irwin, HS; Souza, R; Santos, RR","9209","1965","10","14","Southern America","Brasil","Distrito Federal","Brasília","Chapada da Contagem, ca. 20km E of Brasília","-47.9296989440918","-15.7797002792358","1000","1000",NA,"Leaves medium green. Fruit dried","UB0031466","UB0031466",NA,NA,"2013",NA,NA,"70570","auto","04","09",NA,NA
"50","2019-05-06 12:03:00-03","UFU","HUFU","5222","S","Plantae",NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Kunth","Kral, R.","Nakajima, J.N.; Romero, R.","146","1994","02","21",NA,"Brasil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, 2 km da sede, estrada para Sacramento.","-46.3657989501953","-20.2453002929688",NA,NA,NA,"Herbácea, ca. 0,40 m. Brácteas marrom, pétalas e estames amarelos.; Campo rupestre.","HUFU00033996","HUFU00033996",NA,NA,"1996",NA,NA,"57119","auto","04",NA,NA,NA
"51","2019-05-06 12:03:00-03","UFU","HUFU","41564","S","Plantae",NA,NA,"Xyridaceae","Xyris","metallica","Xyris metallica","Kunth",NA,"Oliveira, G.C.","2266","2003","01","21",NA,"Brasil","Minas Gerais","Uberlândia","Fazenda Pinsplan, A 6 km da BR 050, na altura do km 25.","-48.2771987915039","-18.9186000823975",NA,NA,NA,"Herbácea, ca. 0,4 m. Amarela.; Vereda.","HUFU00033228","HUFU00033228",NA,NA,NA,NA,NA,"58223","auto",NA,NA,NA,NA
