"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","monthIdentified","continentOcean","dayIdentified","class","order"
"11","2019-11-21 14:39:39-03","UFJF","CESJ","35402","PreservedSpecimen","Plantae","Angiosperma","Melastomataceae","Miconia","mendoncae","Miconia mendoncae","Cogn.","R. Goldenberg","2002","R.M. Castro; D.S. Pifano","700","2001","12","01","Brasil","Minas Gerais","Descoberto","Reserva Biológica da Represa do Grama","-42.9674987792969","-21.4596996307373",NA,NA,NA,NA,"Arbusto na mata ciliar na beira do rio do Grama. Frutos imaturos esverdeados. A meia luz.","CESJ035402",NA,"11991","auto","03","América do Sul",NA,NA,NA
"12","2019-09-23 10:16:17-03","UNICAMP","UEC","96340","S","Plantae","Magnoliopsida","Melastomataceae","Miconia","mendoncae","Miconia mendoncae","Cogn.","Rezende, AR","2011","Mexia, Y","5161",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"fruto","UEC038562","UEC038562",NA,NA,"07",NA,"21",NA,NA
"13","2019-08-20 10:19:13-03","UNICAMP","UEC","35770","S","Plantae","Magnoliopsida","Melastomataceae","Miconia","mendoncae","Miconia mendoncae","Cogn.","Rezende, AR","2011","Kuhlmann, JG","s.n.","1935","10","15","Brazil","Minas Gerais","Viçosa","ESAO","-42.8819007873535","-20.7539005279541",NA,NA,NA,NA,"flor","UEC038560","UEC038560","13937","auto","07",NA,"21",NA,NA
"14","2019-09-23 10:16:17-03","UNICAMP","UEC","91462","S","Plantae","Magnoliopsida","Melastomataceae","Miconia","mendoncae","Miconia mendoncae","Cogn.","Goldenberg, R","1996","Kuhlmann, JG","s.n.","1934","12","07","Brazil","Minas Gerais","Viçosa","Escola de Agricultura","-42.8819007873535","-20.7539005279541",NA,NA,NA,NA,"flor, Arbusto.","UEC038559","UEC038559","13937","auto","07",NA,NA,NA,NA
"15","2021-02-11 17:20:03-03","UFPR","UPCB","66365","PreservedSpecimen","Plantae",NA,"Melastomataceae","Miconia","mendoncae","Miconia mendoncae","Cogn.","Goldenberg, R.","2009","Serafim, H.","88","2009","04","09","Brasil","São Paulo","São José do Barreiro","Fazenda Atibaia. Acesso pelo Km 258&nf; da Rodovia dos Tropeiros (SP-068). Borda de mata próximo da lagoa.","-44.65","-22.633333","-44.65","-22.633333","504","504","Árvore, 4m alt, 18cm de perímetro à altura do peito. Duas faces das folhas brilhantes..","UPCB0016369","UPCB0016369",NA,NA,"01",NA,"01",NA,NA
"16","2021-02-11 17:20:03-03","UFPR","UPCB","46230","PreservedSpecimen","Plantae",NA,"Melastomataceae","Miconia","mendoncae","Miconia mendoncae","Cogn.","Goldenberg, R.","2002","Mourthé, I.",NA,"2002","06","11","Brasil","Minas Gerais","Caratinga","Estação Biolõgica de Caratinga, Mata do Jaó","-42.1391983032227","-19.7896995544434",NA,NA,NA,NA,"Arbóreo, frutos imaturos..","UPCB0016332","UPCB0016332","49886","auto","01",NA,"01",NA,NA
"17","2021-02-11 17:20:03-03","UFPR","UPCB","88600","PreservedSpecimen","Plantae",NA,"Melastomataceae","Miconia","mendoncae","Miconia mendoncae","Cogn.","Goldenberg, R.","2011","Fonseca, R.S. | Simão M.V.C.","869","2011","01","09","Brasil","Minas Gerais","Viçosa","Estação de Pesquisa, Treinamento e Educação Ambiental Mata do Paraíso, Trilha do Aceiro","-42.8819007873535","-20.7539005279541",NA,NA,NA,NA,"Floresta Estacional Semidecidual; área sombreada; arbusto +/- 2m; folhas com bordo serrado; frutos maduros carnosos e atropurpúreos..","UPCB0031993","UPCB0031993","13937","auto",NA,NA,NA,NA,NA
"18","2021-02-11 17:20:03-03","UFPR","UPCB","45092","PreservedSpecimen","Plantae",NA,"Melastomataceae","Miconia","mendoncae","Miconia mendoncae","Cogn.","Goldenberg, R.","2002","Castro, R.M.de","700","2001","12","01","Brasil","Minas Gerais","Descoberto","Reserva Biológica da Represa do Grama","-42.9674987792969","-21.4596996307373",NA,NA,NA,NA,"Arbusto, frutos imaturos esverdeados, a meia luz. Mata ciliar na beira do Rio do Grama..","UPCB0016359","UPCB0016359","11991","auto","01",NA,"01",NA,NA
"19","2021-02-11 17:20:03-03","UFPR","UPCB","43667","PreservedSpecimen","Plantae",NA,"Melastomataceae","Miconia","mendoncae","Miconia mendoncae","Cogn.","Goldenberg, R.","2001","Salino, A.","5897","2000","11","14","Brasil","Minas Gerais","Santa Rita de Jacutinga","Usina Hidrelétrica Henrique Portugal, Rio Bananal","-44.0950012207031","-22.1494007110596",NA,NA,NA,NA,"Árvore 6m, frutos imaturos verdes..","UPCB0016327","UPCB0016327","20148","auto","01",NA,"01",NA,NA
"20","2019-05-06 11:59:46-03","UFU","HUFU","28386","S","Plantae",NA,"Melastomataceae","Miconia","mendoncae","Miconia mendoncae","Cogn.","Rezende, A.R.","2011","Araújo, G.M.","s.n.","2002","10","04","Brasil","Minas Gerais","Lagamar","Reserva Vegetal da Companhia Mineira de Metais","-46.8074989318848","-18.1783008575439",NA,NA,NA,NA,"Arbusto 0,8 m. Flor branca.; Cerradão.","HUFU00063508","HUFU00063508","53279","auto","10",NA,"09",NA,NA
"21","2019-05-06 11:59:46-03","UFU","HUFU","57106","S","Plantae",NA,"Melastomataceae","Miconia","mendoncae","Miconia mendoncae","Cogn.","Goldenberg, R.","1996","Kuhlmann, J.G.","1613","1996","07","02","Brasil","Minas Gerais","Viçosa","Escola de Agricultura","-42.8819007873535","-20.7539005279541",NA,NA,NA,NA,"Arbusto.","HUFU00063516","HUFU00063516","13937","auto","07",NA,"02",NA,NA
"22","2013-11-06 12:32:46-02","CAS","CAS-BOT","319833","PreservedSpecimen","Plantae","Magnoliophyta","Melastomataceae","Miconia","mendoncae","Miconia mendoncae","Cogn.",NA,NA,"Mexia, Ynes","5244","1930","11",NA,"Brazil","Minas Gerais","Vicosa","Fazenda do Deserto; Varje",NA,NA,NA,NA,"690",NA,"Shrub 3 m. high; green to reddish fruit. Frequent. Quaresminha.",NA,NA,NA,NA,NA,"South America",NA,"Magnoliopsida","Myrtales"
"23","2013-11-06 12:32:23-02","CAS","CAS-BOT","319832","PreservedSpecimen","Plantae","Magnoliophyta","Melastomataceae","Miconia","mendoncae","Miconia mendoncae","Cogn.",NA,NA,"Mexia, Ynes","4201","1930","1",NA,"Brazil","Minas Gerais","Vicosa","Agricultural college lands, near east boundary.",NA,NA,NA,NA,"700",NA,"Shrub, spreading. 2 m. high. Fruit reddish. Occasional.",NA,NA,NA,NA,NA,"South America",NA,"Magnoliopsida","Myrtales"
"24","2013-11-06 12:31:59-02","CAS","CAS-BOT","319831","PreservedSpecimen","Plantae","Magnoliophyta","Melastomataceae","Miconia","mendoncae","Miconia mendoncae","Cogn.",NA,NA,"Mexia, Ynes","4571","1930","4",NA,"Brazil","Minas Gerais","Vicosa","Road to São Miguel; beyond km. 4.",NA,NA,NA,NA,NA,NA,"Shrub 3 m. high, bushy with reddish fruit when young. Occasional.",NA,NA,NA,NA,NA,"South America",NA,"Magnoliopsida","Myrtales"
