"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","coordinatePrecision","geoFlag","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount"
"11","2021-03-15 16:37:00-03","NY","NYBG","00754536","PreservedSpecimen","Plantae","Phyllanthaceae","Margaritaria","nobilis","Margaritaria nobilis","G. T. Prance","7341","1968","09","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=551751' target='other'> <mi>dwc_moreinfo</mi></a>","NY00754536","Magnoliophyta","Malpighiales","L.f.","L. J. Gillespie","Acre","Tarauacá","Road from Tarauacá to Feijó, km 18.","-70.6","-8.18","NY00754536_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","01451665","PreservedSpecimen","Plantae","Phyllanthaceae","Margaritaria","nobilis","Margaritaria nobilis","B. A. Krukoff","5896a","1934","08","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1695125' target='other'> <mi>dwc_moreinfo</mi></a>","NY01451665","Magnoliophyta","Malpighiales","L.f.","M. H. Nee","Pará",NA,"near Antonio Lemos.",NA,NA,"NY01451665_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","01451669","PreservedSpecimen","Plantae","Phyllanthaceae","Margaritaria","nobilis","Margaritaria nobilis","N. A. Rosa","1004","1976","10","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1695129' target='other'> <mi>dwc_moreinfo</mi></a>","NY01451669","Magnoliophyta","Malpighiales","L.f.","G. L. Webster","Amapá",NA,"Margem direita do Rio Cupixi","-52.1051931","0.644017","NY01451669_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00754539","PreservedSpecimen","Plantae","Phyllanthaceae","Margaritaria","nobilis","Margaritaria nobilis","G. T. Prance","11996","1971","04","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=551753' target='other'> <mi>dwc_moreinfo</mi></a>","NY00754539","Magnoliophyta","Malpighiales","L.f.","W. Punt","Acre","Mâncio Lima","Rio Moa, above and below Maita","-72.8956","-7.6144","NY00754539_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","527253","PreservedSpecimen","Plantae","Phyllanthaceae","Margaritaria","nobilis","Margaritaria nobilis","R. P. Belém","931","1965","04","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=551704' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527253","Magnoliophyta","Malpighiales","L.f.","M. H. Nee","Bahia","Aurelino Leal","Rodovia Ubaitaba - Lages, 3 km S de Ubaitaba. Plantaçao de cacau","-39.32","-14.31","NY00527253_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","482578","PreservedSpecimen","Plantae","Phyllanthaceae","Margaritaria","nobilis","Margaritaria nobilis","D. G. Campbell","8982","1986","10","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=551726' target='other'> <mi>dwc_moreinfo</mi></a>","NY00482578","Magnoliophyta","Malpighiales","L.f.","D. C. Daly","Acre","Mâncio Lima","Margin of Río Azul","-73.65","-7.48","NY00482578_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","527277","PreservedSpecimen","Plantae","Phyllanthaceae","Margaritaria","nobilis","Margaritaria nobilis","A. Schinini","27897","1993","03","24","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=551692' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527277","Magnoliophyta","Malpighiales","L.f.","A. Schinini","Guairá",NA,"Cerro Nelville, 5 km E de Mbocayaty","-56.42","-25.7",NA,"280","280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","01451670","PreservedSpecimen","Plantae","Phyllanthaceae","Margaritaria","nobilis","Margaritaria nobilis","D. C. Daly","1925","1981","12",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1326594' target='other'> <mi>dwc_moreinfo</mi></a>","NY01451670","Magnoliophyta","Malpighiales","L.f.","M. J. Huft","Pará",NA,"Serra dos Carajás: Azul, near camp at Serra Norte (22 km NW, then 10-15 km SW).","-50.47","-5.98","NY01451670_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","01451686","PreservedSpecimen","Plantae","Phyllanthaceae","Margaritaria","nobilis","Margaritaria nobilis","D. F. Austin","7050","1979","10","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1695312' target='other'> <mi>dwc_moreinfo</mi></a>","NY01451686","Magnoliophyta","Malpighiales","L.f.","M. J. Huft","Amapá",NA,"Estrada entre Mazagão Novo e Rio Preto.",NA,NA,"NY01451686_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","01451687","PreservedSpecimen","Plantae","Phyllanthaceae","Margaritaria","nobilis","Margaritaria nobilis","G. L. Sobel","4735","1984","10","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1695313' target='other'> <mi>dwc_moreinfo</mi></a>","NY01451687","Magnoliophyta","Malpighiales","L.f.","J. A. Kallunki","Pará",NA,"Ilha do Marajó, Sitio Campina on river Pracuuba-mirím, ca. 1 hour by boat upstream from São Sebastião de Boa Vista","-49.6395457","-1.6123151","NY01451687_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","870619","PreservedSpecimen","Plantae","Phyllanthaceae","Margaritaria","nobilis","Margaritaria nobilis","P. Claussen","743","1838",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1192671' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870619","Magnoliophyta","Malpighiales","L.f.","M. H. Nee","Minas Gerais",NA,"Brésil (Minas-Geraes)",NA,NA,"NY00870619_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","527260","PreservedSpecimen","Plantae","Phyllanthaceae","Margaritaria","nobilis","Margaritaria nobilis","T. S. dos Santos","367","1969","03","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=551739' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527260","Magnoliophyta","Malpighiales","L.f.","S. A. Mori","Bahia","Ilhéus","CEPEC","-39.2281","-14.7536","NY00527260_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","01451666","PreservedSpecimen","Plantae","Phyllanthaceae","Margaritaria","nobilis","Margaritaria nobilis","B. A. Krukoff","6564","1934","10","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1695127' target='other'> <mi>dwc_moreinfo</mi></a>","NY01451666","Magnoliophyta","Malpighiales","L.f.","G. L. Webster","Amazonas","Humaitá","Basin of Rio Madeira, near Livramento, on Rio Livramento.","-63.03","-7.52","NY01451666_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","3107983","PreservedSpecimen","Plantae","Phyllanthaceae","Margaritaria","nobilis","Margaritaria nobilis","J. L. Clark","7930","2003","05","12","South America","Ecuador","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2907604' target='other'> <mi>dwc_moreinfo</mi></a>","NY03107983","Magnoliophyta","Malpighiales","L.f.",NA,"El Oro","Piñas","Parroquia: Moromoro. Reserva Biologica Buenaventura. Remnant patch of forest south of Entrada la Virgin","-79.74","-3.6508","NY03107983_01","1000","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","1188550","PreservedSpecimen","Plantae","Phyllanthaceae","Margaritaria","nobilis","Margaritaria nobilis","C. Figueiredo","638","1995","01","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=139089' target='other'> <mi>dwc_moreinfo</mi></a>","NY01188550","Magnoliophyta","Malpighiales","L.f.","H.-J. Esser","Acre","Porto Acre","Reserva Florestal de Humaitá. Travessão da direita.","-67.63","-9.75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","702923","PreservedSpecimen","Plantae","Phyllanthaceae","Margaritaria","nobilis","Margaritaria nobilis","C. Figueiredo","651","1995","01","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=551783' target='other'> <mi>dwc_moreinfo</mi></a>","NY00702923","Magnoliophyta","Malpighiales","L.f.",NA,"Acre","Porto Acre","Reserva Florestal de Humaitá. Próximo á casa do vigilante.","-67.63","-9.75","NY00702923_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","527275","PreservedSpecimen","Plantae","Phyllanthaceae","Margaritaria","nobilis","Margaritaria nobilis","P. Núñez","5251","1986","06","22","South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=551770' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527275","Magnoliophyta","Malpighiales","L.f.","M. J. Huft","Puno","Sandia","Between Rio Azata-Colorado",NA,NA,NA,"1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","527268","PreservedSpecimen","Plantae","Phyllanthaceae","Margaritaria","nobilis","Margaritaria nobilis","R. M. Klein","1611","1955","09","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=551762' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527268","Magnoliophyta","Malpighiales","L.f.","L. B. Smith","Santa Catarina","Itajaí","Cunhas, Itajaí","-48.6617","-26.9081","NY00527268_01","15","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","527250","PreservedSpecimen","Plantae","Phyllanthaceae","Margaritaria","nobilis","Margaritaria nobilis","R. P. Belém","1421","1965","07","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=551745' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527250","Magnoliophyta","Malpighiales","L.f.","G. L. Webster","Bahia",NA,"Rodovia Camacan - Itabuna. Plantaçao de Cacau",NA,NA,"NY00527250_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","527251","PreservedSpecimen","Plantae","Phyllanthaceae","Margaritaria","nobilis","Margaritaria nobilis","R. P. Belém","2902","1966","11","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=551703' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527251","Magnoliophyta","Malpighiales","L.f.","M. H. Nee","Bahia","Almadina","Almadina. Plantaçao de cacau","-39.63","-14.7","NY00527251_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","527261","PreservedSpecimen","Plantae","Phyllanthaceae","Margaritaria","nobilis","Margaritaria nobilis","G. G. Hatschbach","12939","1965","10","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=551763' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527261","Magnoliophyta","Malpighiales","L.f.","L. B. Smith","Paraná","Maringá","Orto Florestal","-51.9383","-23.4256","NY00527261_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","754515","PreservedSpecimen","Plantae","Phyllanthaceae","Margaritaria","nobilis","Margaritaria nobilis","L. Coêlho","1875","1982","12","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=893541' target='other'> <mi>dwc_moreinfo</mi></a>","NY00754515","Magnoliophyta","Malpighiales","L.f.","L. Coêlho","Acre","Rio Branco","Margem do Iago Amapá.","-67.81","-9.97472","NY00754515_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","230199","PreservedSpecimen","Plantae","Phyllanthaceae","Margaritaria","nobilis","Margaritaria nobilis","M. Silveira","1498","1996","11","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=551731' target='other'> <mi>dwc_moreinfo</mi></a>","NY00230199","Magnoliophyta","Malpighiales","L.f.","D. C. Daly","Acre","Manoel Urbano","Rio Purus, margem esquerda, seringal Itatinga, colocaçao do Sr. Raimundo Cesar de Oliveira.","-69.439675","-9.022628","NY00230199_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","01451689","PreservedSpecimen","Plantae","Phyllanthaceae","Margaritaria","nobilis","Margaritaria nobilis","B. A. Krukoff","6281","1934","09","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1695317' target='other'> <mi>dwc_moreinfo</mi></a>","NY01451689","Magnoliophyta","Malpighiales","L.f.","G. L. Webster","Amazonas","Humaitá","Basin of Rio Madeira, near Tres Casas.","-62.6839542","-6.9876421","NY01451689_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","527257","PreservedSpecimen","Plantae","Phyllanthaceae","Margaritaria","nobilis","Margaritaria nobilis","S. A. Mori","11038","1978","11","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=551785' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527257","Magnoliophyta","Malpighiales","L.f.",NA,"Bahia","Uruçuca","Nova estrada que liga Uruçuca a Serra Grande, a 4 km de Uruçuca. Folha SD-24 (15-39a)","-39.2842","-14.5933","NY00527257_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","01451671","PreservedSpecimen","Plantae","Phyllanthaceae","Margaritaria","nobilis","Margaritaria nobilis","M. G. da Silva","3565","1978","05","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1695241' target='other'> <mi>dwc_moreinfo</mi></a>","NY01451671","Magnoliophyta","Malpighiales","L.f.","M. H. Nee","Pará","Tucuruí","Rio Tocantins, Vila do Repartimento.","-49.6725","-3.76611","NY01451671_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","1018148","PreservedSpecimen","Plantae","Phyllanthaceae","Margaritaria","nobilis","Margaritaria nobilis","S. de V. A. Pessôa","827","1995","09","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1249457' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018148","Magnoliophyta","Malpighiales","L.f.",NA,"Rio de Janeiro","Silva Jardim","Reserva Biológica de Poço das Antas, Mata do rio Pau Preto.","-42.3917","-22.6508","NY01018148_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","527259","PreservedSpecimen","Plantae","Phyllanthaceae","Margaritaria","nobilis","Margaritaria nobilis","S. A. Mori","14004","1981","05","13","South America","Brazil","sheet",NA,"Voucher for ecological study of forest diversity <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=551720' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527259","Magnoliophyta","Malpighiales","L.f.","S. A. Mori; B. M. Boom","Bahia","Una","Maruim, border of the Fazendas Maruim and Dois de Julho, 33 km SW of Olivença on the road from Olivença to Buerarema. Point 124-c","-39.1202492","-15.1148921","NY00527259_01","100","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","1018136","PreservedSpecimen","Plantae","Phyllanthaceae","Margaritaria","nobilis","Margaritaria nobilis","S. de V. A. Pessôa","699","1994","05","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1249438' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018136","Magnoliophyta","Malpighiales","L.f.",NA,"Rio de Janeiro","Silva Jardim","Reserva Biológica de Poço das Antas, Regia proxima a BR-101. Próxima a parcela 4.","-42.3917","-22.6508","NY01018136_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","1183654","PreservedSpecimen","Plantae","Phyllanthaceae","Margaritaria","nobilis","Margaritaria nobilis","D. C. Zappi","1105","2008","02","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1452100' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183654","Magnoliophyta","Malpighiales","L.f.","W. Milliken","Mato Grosso","Novo Mundo","Parque Estadual Cristalino, lagoa abaixo da pousada.","-55.842","-9.445672","NY01183654_01","264","264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","02703029","PreservedSpecimen","Plantae","Phyllanthaceae","Margaritaria","nobilis","Margaritaria nobilis","J. L. Clark","12269","2011","05","27","South America","Ecuador","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2900855' target='other'> <mi>dwc_moreinfo</mi></a>","NY02703029","Magnoliophyta","Malpighiales","L.f.",NA,"El Oro","Piñas","Parroquia: Moromoro. Reserva Biologica Buenaventura (Fundación de Conservación Jocotoco). Remnant patch of forest south of Entrada la Virgin del Cisne along old highway to Piñas, near main highway Machala - Piñas.","-79.7422","-3.6547","NY02703029_01","914","980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","01451658","PreservedSpecimen","Plantae","Phyllanthaceae","Margaritaria","nobilis","Margaritaria nobilis","G. T. Prance","2419","1966","09","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1324732' target='other'> <mi>dwc_moreinfo</mi></a>","NY01451658","Magnoliophyta","Malpighiales","L.f.","G. L. Webster","Amazonas","Boca do Acre","Swamp around Lago do Cobra. Rio Purus, north bank opposite Boca do Acre.","-67.3978","-8.7522","NY01451658_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","870618","PreservedSpecimen","Plantae","Phyllanthaceae","Margaritaria","nobilis","Margaritaria nobilis","P. Claussen","743","1838",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1192669' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870618","Magnoliophyta","Malpighiales","L.f.","M. H. Nee","Minas Gerais",NA,"Brésil (Minas-Geraes)",NA,NA,"NY00870618_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
