"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","stateProvince","locality","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","minimumElevationInMeters","maximumElevationInMeters","imagecode","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","infraspecificEpithet","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount"
"11","2021-03-15 16:37:00-03","NY","NYBG","1006697","PreservedSpecimen","Plantae","Anacardiaceae","Anacardium","humile","Anacardium humile","M. Aparecida da Silva","1998","08","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1116699' target='other'> <mi>dwc_moreinfo</mi></a>","NY01006697","Goiás","Reserva Particular do Patrimônio Natural (RPPN). Pousada da Araras. Cerca 39 km da cidade. Fazenda Pedreiras. Sitio arqueológico Manoel Braga. FOLHA: SE-22-Y-BII.","Magnoliophyta","Sapindales","A.St.-Hil.","J. D. Mitchell","3888","495","495","NY01006697_01","Serranópolis","-52.0036","-18.4403",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","1030480","PreservedSpecimen","Plantae","Anacardiaceae","Anacardium","humile","Anacardium humile","S. A. Mori","1984","07","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117275' target='other'> <mi>dwc_moreinfo</mi></a>","NY01030480","Distrito Federal","On road to Gama, DF16, 3-7 km from junction with BR040.","Magnoliophyta","Sapindales","A.St.-Hil.","J. D. Mitchell","16634","1100","1100","NY01030480_01","Brasília","-48.03","-15.97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","1030483","PreservedSpecimen","Plantae","Anacardiaceae","Anacardium","humile","Anacardium humile","F. França","1989","07","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117280' target='other'> <mi>dwc_moreinfo</mi></a>","NY01030483","Distrito Federal","Próximo ao Corpo de Bombeiros, Plano Piloto, Brasília.","Magnoliophyta","Sapindales","A.St.-Hil.",NA,"s.n.",NA,NA,"NY01030483_01","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","1030487","PreservedSpecimen","Plantae","Anacardiaceae","Anacardium","humile","Anacardium humile","E. Guarino","2001","08","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117288' target='other'> <mi>dwc_moreinfo</mi></a>","NY01030487","Distrito Federal","Fazenda Sucupira, na estrada que liga o Riacho Fundo I a antiga Sede do Clube da EMBRAPA.","Magnoliophyta","Sapindales","A.St.-Hil.",NA,"772","1000","1000","NY01030487_01","Brasília","-48.02","-15.87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","1030497","PreservedSpecimen","Plantae","Anacardiaceae","Anacardium","humile","Anacardium humile","P. W. Richards","1967","08","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117315' target='other'> <mi>dwc_moreinfo</mi></a>","NY01030497","Mato Grosso","5 km. S. of Xavantina","Magnoliophyta","Sapindales","A.St.-Hil.","J. D. Mitchell","R.505",NA,NA,"NY01030497_01",NA,"-52.33","-14.73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","1030456","PreservedSpecimen","Plantae","Anacardiaceae","Anacardium","humile","Anacardium humile","L. Cobra","1964","10","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117183' target='other'> <mi>dwc_moreinfo</mi></a>","NY01030456","Goiás","Entre Sto. Antônio e Cidade Eclética.","Magnoliophyta","Sapindales","A.St.-Hil.","J. D. Mitchell","290",NA,NA,"NY01030456_01","Santo Antônio do Descoberto","-48.255","-15.9397",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","1030492","PreservedSpecimen","Plantae","Anacardiaceae","Anacardium","humile","Anacardium humile","B. Maguire","1963","08","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117305' target='other'> <mi>dwc_moreinfo</mi></a>","NY01030492","Mato Grosso","15-120 km beyond Alto Araguaia, road to Cuiaba. Brasilia-Acre Highway.","Magnoliophyta","Sapindales","A.St.-Hil.","J. D. Mitchell","56290",NA,NA,"NY01030492_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","1018248","PreservedSpecimen","Plantae","Anacardiaceae","Anacardium","humile","Anacardium humile","J. M. de Rezende","2004","08","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1252941' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018248","Tocantins","Mateiros. Parque Est. do Jalapão. Vereda do Bebedourp. Transição entre o Campo Limpo e o Cerrdo.","Magnoliophyta","Sapindales","A.St.-Hil.","J. D. Mitchell","994",NA,NA,"NY01018248_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","1006699","PreservedSpecimen","Plantae","Anacardiaceae","Anacardium","humile","Anacardium humile","M. L. Fonseca","1998","08","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1116703' target='other'> <mi>dwc_moreinfo</mi></a>","NY01006699","Goiás","Pousada das Araras; Fazenda Pedraria, Proprietário Manoel Braga, ca. 39 km. da cidade; Córrego das Pedreiras.","Magnoliophyta","Sapindales","A.St.-Hil.","J. D. Mitchell","1987","495","495","NY01006699_01","Serranópolis","-52.0036","-18.4403",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","436560","PreservedSpecimen","Plantae","Anacardiaceae","Anacardium","humile","Anacardium humile","R. M. Harley","1988","11","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=222715' target='other'> <mi>dwc_moreinfo</mi></a>","NY00436560","Bahia","Cachoeira da Fraga do rio Brumado, arredores da cidade. Beira do rio.","Magnoliophyta","Sapindales","A.St.-Hil.","J. D. Mitchell","25911","900","1000","NY00436560_01","Rio de Contas","-41.77","-13.62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","1030459","PreservedSpecimen","Plantae","Anacardiaceae","Anacardium","humile","Anacardium humile","S. A. Mori","1984","07","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117192' target='other'> <mi>dwc_moreinfo</mi></a>","NY01030459","Mato Grosso","Poconé-Pirizal H'wy, 4 km E of Poconé.","Magnoliophyta","Sapindales","A.St.-Hil.",NA,"16775","100","100","NY01030459_01","Poconé","-56.6228","-16.2569",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","1030662","PreservedSpecimen","Plantae","Anacardiaceae","Anacardium","humile","Anacardium humile","Collector unknown","1991","07","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1120104' target='other'> <mi>dwc_moreinfo</mi></a>","NY01030662","Minas Gerais","Veredas de Botumirim","Magnoliophyta","Sapindales","A.St.-Hil.",NA,"462",NA,NA,"NY01030662_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","1030514","PreservedSpecimen","Plantae","Anacardiaceae","Anacardium","humile","Anacardium humile","M. Aparecida da Silva","2001","09","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117346' target='other'> <mi>dwc_moreinfo</mi></a>","NY01030514","Distrito Federal","Gama, Parque Municipal do Gama. Prainha. Próximo ao loteamento Boa Vista II, Goiás.","Magnoliophyta","Sapindales","A.St.-Hil.","M. Aparecida da Silva","6008","1090","1090","NY01030514_01","Brasília","-48.05","-16.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","1030471","PreservedSpecimen","Plantae","Anacardiaceae","Anacardium","humile","Anacardium humile","M. G. da Silva","1979","06","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117218' target='other'> <mi>dwc_moreinfo</mi></a>","NY01030471","Mato Grosso","Aripuanã, arredores do campo do aviação.","Magnoliophyta","Sapindales","A.St.-Hil.","J. D. Mitchell","5007",NA,NA,"NY01030471_01","Aripuanã","-59.4592","-10.1669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","1280828","PreservedSpecimen","Plantae","Anacardiaceae","Anacardium","humile","Anacardium humile","A. A. dos Santos","2002","08","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1622898' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280828","Goiás","Campo sujo á frente dos alojamentos; esquerda da casa escritório.","Magnoliophyta","Sapindales","A.St.-Hil.","J. D. Mitchell","1395",NA,NA,"NY01280828_01","Cristalina","-47.3336","-16.2233",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","1006693","PreservedSpecimen","Plantae","Anacardiaceae","Anacardium","humile","Anacardium humile","A. F. M. Glaziou",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1116689' target='other'> <mi>dwc_moreinfo</mi></a>","NY01006693","Minas Gerais",NA,"Magnoliophyta","Sapindales","A.St.-Hil.","J. D. Mitchell","1441",NA,NA,"NY01006693_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","1030493","PreservedSpecimen","Plantae","Anacardiaceae","Anacardium","humile","Anacardium humile","B. Maguire","1963","08","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117307' target='other'> <mi>dwc_moreinfo</mi></a>","NY01030493","Mato Grosso","15-120 km beyond Alto Araguaia, road to Cuiaba. Brasilia-Acre Highway.","Magnoliophyta","Sapindales","A.St.-Hil.","J. D. Mitchell","56281",NA,NA,"NY01030493_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","1030509","PreservedSpecimen","Plantae","Anacardiaceae","Anacardium","humile","Anacardium humile","B. A. S. Pereira","1996","07","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117333' target='other'> <mi>dwc_moreinfo</mi></a>","NY01030509","Goiás","Km 35 da estrada Niquelândia/Colinas do Sul.","Magnoliophyta","Sapindales","A.St.-Hil.","B. A. S. Pereira","3104","650","650","NY01030509_01","Niquelândia","-48.5","-14.417",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","1030498","PreservedSpecimen","Plantae","Anacardiaceae","Anacardium","humile","Anacardium humile","L. Cobra","1964","10","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117316' target='other'> <mi>dwc_moreinfo</mi></a>","NY01030498","Distrito Federal","Estrada da Fercal.","Magnoliophyta","Sapindales","A.St.-Hil.","J. D. Mitchell","291",NA,NA,"NY01030498_01","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","1006689","PreservedSpecimen","Plantae","Anacardiaceae","Anacardium","humile","Anacardium humile","H. S. Irwin","1966","06","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1116648' target='other'> <mi>dwc_moreinfo</mi></a>","NY01006689","Mato Grosso","Ca. 95 km. N. of Xavantina. Serra do Roncador.","Magnoliophyta","Sapindales","A.St.-Hil.","J. D. Mitchell","16588","550","550","NY01006689_01",NA,"-52.07","-13.85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","1006695","PreservedSpecimen","Plantae","Anacardiaceae","Anacardium","humile","Anacardium humile","F. C. A. Oliveira","1997","11","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1116696' target='other'> <mi>dwc_moreinfo</mi></a>","NY01006695","Goiás","Área do Exército. Córrego Tapetinga.","Magnoliophyta","Sapindales","A.St.-Hil.","J. D. Mitchell","804",NA,NA,"NY01006695_01","Formosa","-47.3","-15.57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","1030452","PreservedSpecimen","Plantae","Anacardiaceae","Anacardium","humile","Anacardium humile","J. M. Pires","1978","08","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117172' target='other'> <mi>dwc_moreinfo</mi></a>","NY01030452","Mato Grosso","Sararé, RADAMBRASIL; folha SD 21-YB, ponto 5.","Magnoliophyta","Sapindales","A.St.-Hil.","J. D. Mitchell","16440",NA,NA,"NY01030452_01",NA,"-58.5","-14.83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","1006683","PreservedSpecimen","Plantae","Anacardiaceae","Anacardium","humile","Anacardium humile","H. S. Irwin","1964","10","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1116627' target='other'> <mi>dwc_moreinfo</mi></a>","NY01006683","Goiás","Ca. 60 km. S. of Caiapônia on rd. to Jataí. Serra do Caiapó.","Magnoliophyta","Sapindales","A.St.-Hil.","J. D. Mitchell","7446","800","1000","NY01006683_01","Jataí","-51.75","-17.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","1030454","PreservedSpecimen","Plantae","Anacardiaceae","Anacardium","humile","Anacardium humile","S. G. da Fonsêca","1968","10","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117175' target='other'> <mi>dwc_moreinfo</mi></a>","NY01030454","Mato Grosso","Lago Leo, Acampamento da Expedição inglêsa.","Magnoliophyta","Sapindales","A.St.-Hil.","J. D. Mitchell","1450",NA,NA,"NY01030454_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","1030453","PreservedSpecimen","Plantae","Anacardiaceae","Anacardium","humile","Anacardium humile","B. Maguire","1960","08","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117174' target='other'> <mi>dwc_moreinfo</mi></a>","NY01030453","Minas Gerais","slopes below (north) Grao Mogul.","Magnoliophyta","Sapindales","A.St.-Hil.","J. D. Mitchell","49280",NA,NA,"NY01030453_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","1030472","PreservedSpecimen","Plantae","Anacardiaceae","Anacardium","humile","Anacardium humile","B. Maguire","1963","08","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117219' target='other'> <mi>dwc_moreinfo</mi></a>","NY01030472","Mato Grosso","50 km west of Diamantino. Brasilia-Acre Highway.","Magnoliophyta","Sapindales","A.St.-Hil.","J. D. Mitchell","56420","700","900","NY01030472_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","1030460","PreservedSpecimen","Plantae","Anacardiaceae","Anacardium","humile","Anacardium humile","S. A. Mori","1984","07","18","South America","Brazil","sheet",NA,"Dug out and photographed. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117195' target='other'> <mi>dwc_moreinfo</mi></a>","NY01030460","Goiás","1 km W of Jaraquá.","Magnoliophyta","Sapindales","A.St.-Hil.",NA,"16853","800","800","NY01030460_01","Jaraguá","-49.3342","-15.7569",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","1030467","PreservedSpecimen","Plantae","Anacardiaceae","Anacardium","humile","Anacardium humile","A. Macedo","1951","07","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117213' target='other'> <mi>dwc_moreinfo</mi></a>","NY01030467","Goiás","Balsam.","Magnoliophyta","Sapindales","A.St.-Hil.","J. D. Mitchell","3322",NA,NA,"NY01030467_01","Jataí","-51.7142","-17.8817",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","1006704","PreservedSpecimen","Plantae","Anacardiaceae","Anacardium","humile","Anacardium humile","G. T. Prance","1964","09","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1116713' target='other'> <mi>dwc_moreinfo</mi></a>","NY01006704","Mato Grosso","Serra do Roncador.","Magnoliophyta","Sapindales","A.St.-Hil.","J. D. Mitchell","59086",NA,NA,"NY01006704_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","02692962","PreservedSpecimen","Plantae","Anacardiaceae","Anacardium","humile","Anacardium humile","S. A. Mori","1984","07","18","South America","Brazil","sheet",NA,"Voucher for study of leaf variability. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2973043' target='other'> <mi>dwc_moreinfo</mi></a>","NY02692962","Goiás","1 km W of Jaraguá.","Magnoliophyta","Sapindales","A.St.-Hil.","J. D. Mitchell","16870","800","800",NA,"Jaraguá","-49.3342","-15.7569",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","1030503","PreservedSpecimen","Plantae","Anacardiaceae","Anacardium","humile","Anacardium humile","H. S. Irwin","1964","08","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1117325' target='other'> <mi>dwc_moreinfo</mi></a>","NY01030503","Minas Gerais","Between Cabeceiras, MG & MG-Goiás border.","Magnoliophyta","Sapindales","A.St.-Hil.","J. D. Mitchell","5564",NA,NA,"NY01030503_01",NA,"-46.4302778","-15.6171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","436570","PreservedSpecimen","Plantae","Anacardiaceae","Anacardium","humile","Anacardium humile","G. G. Hatschbach","1968","10","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=222721' target='other'> <mi>dwc_moreinfo</mi></a>","NY00436570","Paraná","Chapadao S. Antonio.","Magnoliophyta","Sapindales","A.St.-Hil.","G. G. Hatschbach","19978",NA,NA,"NY00436570_01","Arapoti","-49.8267","-24.1581",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","436565","PreservedSpecimen","Plantae","Anacardiaceae","Anacardium","humile","Anacardium humile","I. Silberbauer-Gottsberger","1971","11","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=222720' target='other'> <mi>dwc_moreinfo</mi></a>","NY00436565","São Paulo","18 km N of Botucatu, (14 km E of Sao Manuel). Along the Sao Manuel-Piracicaba highway. Near ex-PR station 13 de Maio.","Magnoliophyta","Sapindales","A.St.-Hil.","I. Silberbauer-Gottsberger","2006","550","550","NY00436565_01","Botucatu","-48.42","-22.75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
