"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","infraspecificEpithet","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","typeStatus","individualCount","sex"
"25","2021-03-15 16:37:00-03","NY","NYBG","00980958","PreservedSpecimen","Plantae","Fabaceae","Andira","humilis","Andira humilis","E. P. Heringer","9844","1964","09","10","South America","Brazil","Distrito Federal","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096778' target='other'> <mi>dwc_moreinfo</mi></a>","NY00980958","Magnoliophyta","Fabales","Mart. ex Benth.","R. T. Pennington","Brasília",NA,"-47.9294","-15.7797",NA,NA,"NY00980958_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","00981029","PreservedSpecimen","Plantae","Fabaceae","Andira","humilis","Andira humilis","H. S. Irwin","23384","1969","02","16","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096678' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981029","Magnoliophyta","Fabales","Mart. ex Benth.",NA,NA,"Serra do Espinhaço, ca. 8 km west of Grão Mogol","-42.8944","-16.56475","950","950","NY00981029_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","00981034","PreservedSpecimen","Plantae","Fabaceae","Andira","humilis","Andira humilis","E. Pereira","7154","1962","09","08","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096845' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981034","Magnoliophyta","Fabales","Mart. ex Benth.","R. T. Pennington",NA,"A 35 km de Lambari",NA,NA,NA,NA,"NY00981034_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","00980962","PreservedSpecimen","Plantae","Fabaceae","Andira","humilis","Andira humilis","E. P. Heringer","5411","1980","09","01","South America","Brazil","Distrito Federal","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096798' target='other'> <mi>dwc_moreinfo</mi></a>","NY00980962","Magnoliophyta","Fabales","Mart. ex Benth.","R. T. Pennington","Brasília","Margem direita DF-20","-47.9294","-15.7797",NA,NA,"NY00980962_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","00452364","PreservedSpecimen","Plantae","Fabaceae","Andira","humilis","Andira humilis","J. A. Ratter","R.3599","1976","09","16","South America","Brazil","Distrito Federal","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2964273' target='other'> <mi>dwc_moreinfo</mi></a>","NY00452364","Magnoliophyta","Fabales","Mart. ex Benth.",NA,"Brasília","Close to the campus of the University of Brasília.","-47.9294","-15.7797",NA,NA,"NY00452364_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","00981051","PreservedSpecimen","Plantae","Fabaceae","Andira","humilis","Andira humilis","H. S. Irwin","7544","1964","10","29","South America","Brazil","Goiás","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096656' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981051","Magnoliophyta","Fabales","Mart. ex Benth.","R. T. Pennington","Jataí","Ca. 60 km. S. of Caiapônia on rd. to Jataí. Serra do Caiapó.","-51.75","-17.4","800","1000","NY00981051_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","452367","PreservedSpecimen","Plantae","Fabaceae","Andira","humilis","Andira humilis","G. Eiten","2381","1960","09","22","South America","Brazil","São Paulo","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=88307' target='other'> <mi>dwc_moreinfo</mi></a>","NY00452367","Magnoliophyta","Fabales","Mart. ex Benth.","M. T. K. Arroyo","Moji-Guaçu","Campos das Sete Lagôas. Fazenda Campinha, just north of Moji-Guaçu. ca. 10 km. NNW of Padua Sales. (About 27 km. NW of Moji-Mirim).",NA,NA,NA,NA,"NY00452367_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","00980961","PreservedSpecimen","Plantae","Fabaceae","Andira","humilis","Andira humilis","E. P. Heringer","16202","1976","09","16","South America","Brazil","Distrito Federal","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096790' target='other'> <mi>dwc_moreinfo</mi></a>","NY00980961","Magnoliophyta","Fabales","Mart. ex Benth.","H. C. de Lima","Brasília","Faz. Agua Limpa, UnB","-47.9294","-15.7797",NA,NA,"NY00980961_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","00981076","PreservedSpecimen","Plantae","Fabaceae","Andira","humilis","Andira humilis","H. S. Irwin","7544","1964","10","29","South America","Brazil","Goiás","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096657' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981076","Magnoliophyta","Fabales","Mart. ex Benth.","R. T. Pennington","Jataí","Ca. 60 km. S. of Caiapônia on rd. to Jataí. Serra do Caiapó.","-51.75","-17.4","800","1000","NY00981076_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","452361","PreservedSpecimen","Plantae","Fabaceae","Andira","humilis","Andira humilis","A. Schinini","33470","1997","12","08","South America","Paraguay","Amambay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=88291' target='other'> <mi>dwc_moreinfo</mi></a>","NY00452361","Magnoliophyta","Fabales","Mart. ex Benth.","A. Schinini",NA,"Chiriguelo","-55.83","-22.67","553","553",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","00981033","PreservedSpecimen","Plantae","Fabaceae","Andira","humilis","Andira humilis","L. Riedel","645","1824","09",NA,"South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096824' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981033","Magnoliophyta","Fabales","Mart. ex Benth.","R. T. Pennington",NA,"Ubigui?",NA,NA,NA,NA,"NY00981033_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","452350","PreservedSpecimen","Plantae","Fabaceae","Andira","humilis","Andira humilis","H. S. Irwin","32461","1971","02","18","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=88311' target='other'> <mi>dwc_moreinfo</mi></a>","NY00452350","Magnoliophyta","Fabales","Mart. ex Benth.","R. T. Pennington","Morro do Chapéu","Base of Morro de Chapéu, ca. 6 km. S of town of Morro do Chapéu","-41.1558","-11.5503","1100","1100","NY00452350_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","00981058","PreservedSpecimen","Plantae","Fabaceae","Andira","humilis","Andira humilis","R. Goodland","935","1967",NA,NA,"South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096854' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981058","Magnoliophyta","Fabales","Mart. ex Benth.","R. T. Pennington",NA,"Triángulo region.",NA,NA,NA,NA,"NY00981058_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","452345","PreservedSpecimen","Plantae","Fabaceae","Andira","humilis","Andira humilis","A. M. V. de Carvalho","3891","1992","03","21","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=88315' target='other'> <mi>dwc_moreinfo</mi></a>","NY00452345","Magnoliophyta","Fabales","Mart. ex Benth.","R. T. Pennington","Tucano","Kms. 7 a 10 na estrada de Tucano para Ribeira do Pombal.","-38.7867","-10.9633",NA,NA,"NY00452345_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","452363","PreservedSpecimen","Plantae","Fabaceae","Andira","humilis","Andira humilis","C. E. O. Kuntze","s.n.","1892","07","10","South America","Brazil","Mato Grosso","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=88292' target='other'> <mi>dwc_moreinfo</mi></a>","NY00452363","Magnoliophyta","Fabales","Mart. ex Benth.","M. T. K. Arroyo",NA,NA,NA,NA,NA,NA,"NY00452363_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","452354","PreservedSpecimen","Plantae","Fabaceae","Andira","humilis","Andira humilis","R. Caboriau","s.n.","1949","09","03","South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=88296' target='other'> <mi>dwc_moreinfo</mi></a>","NY00452354","Magnoliophyta","Fabales","Mart. ex Benth.","R. T. Pennington",NA,"Prata, Triângulo Mineiro",NA,NA,NA,NA,"NY00452354_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","00981057","PreservedSpecimen","Plantae","Fabaceae","Andira","humilis","Andira humilis","J. R. Pirani","2189","1988","02","12","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096846' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981057","Magnoliophyta","Fabales","Mart. ex Benth.",NA,"Joaquim Felício","Serra do Cabral. Campos próximos da pequena Capelinha no alto da Serra.","-44.3","-17.7","1160","1160","NY00981057_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","00981005","PreservedSpecimen","Plantae","Fabaceae","Andira","humilis","Andira humilis","H. S. Irwin","23384","1969","02","16","South America","Brazil","Minas Gerais","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1096683' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981005","Magnoliophyta","Fabales","Mart. ex Benth.","M. T. K. Arroyo",NA,"Serra do Espinhaço, ca. 8 km west of Grão Mogol","-42.8944","-16.56475","950","950","NY00981005_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","452346","PreservedSpecimen","Plantae","Fabaceae","Andira","humilis","Andira humilis","R. M. Harley","26967","1988","11","20","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=88316' target='other'> <mi>dwc_moreinfo</mi></a>","NY00452346","Magnoliophyta","Fabales","Mart. ex Benth.","R. T. Pennington","Ibicoara","25 km. ao N de Barra da Estiva, na estrada nova para Mucugé","-41.3","-13.42","1100","1200","NY00452346_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
