"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","typeStatus","recordNumber","continentOcean","locality","preparationType","occurrenceRemarks","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","class","infraspecificEpithet","fieldNumber","individualCount","relatedCatalogItem","previousCatalogNumber","sex"
"21","2021-01-28 09:14:57-03","MN","R","226112","PreservedSpecimen","Plantae","Orchidaceae","Amblostoma","tridactylum","Amblostoma tridactylum","(Lindl.) Rchb. f.",NA,"Alves, R.J.V.","1997","02","10","Brasil","Minas Gerais","Prados","-44.0797004699707","-21.0575008392334",NA,NA,"R010004510","R010004510",NA,NA,NA,"5801",NA,"Serra de São José",NA,NA,NA,NA,NA,NA,"21382","auto",NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-02-15 11:46:54-02","IPA","IPA","8131","S","Plantae","Orchidaceae","Epidendrum","tridactylum","Epidendrum tridactylum","Lindl.","Pessoa, E.","Andrade-Lima","1955","07","17","Brasil","Pernambuco","Floresta","-38.5685997009277","-8.60111045837402",NA,NA,"IPA0008131",NA,"Plantae",NA,NA,"55-2104","Southern America","Serra Negra",NA,"Epífita, botões florais alvos.",NA,NA,"2011","03","87756","auto","29",NA,NA,NA,NA,NA,NA,NA
"23","2019-02-15 11:46:54-02","IPA","IPA","60040","S","Plantae","Orchidaceae","Epidendrum","tridactylum","Epidendrum tridactylum","Lindl.","Pessoa, E.","Silva, A.G. da; Nascimento, L.M.; Pimentel, D.S.; Nascimento, L.M.; Pimentel, D.S.","1999","06","18","Brasil","Pernambuco","Brejo da Madre de Deus","-36.401389","-8.185833","-36.401389","-8.185833","IPA0060040",NA,"Plantae",NA,NA,"109","Southern America","Mata do Cassange, dentro da mata.",NA,"Epífita; flores em botão.; Mata Estacional.","962","1020","2011","03",NA,NA,"29",NA,NA,NA,NA,NA,NA,NA
"24","2019-02-15 11:46:54-02","IPA","IPA","29263","S","Plantae","Orchidaceae","Epidendrum","tridactylum","Epidendrum tridactylum","Lindl.","Pessoa, E.","Andrade-Lima","1972","12","28","Brasil","Pernambuco","Taquaritinga do Norte","-36.0442008972168","-7.90305995941162",NA,NA,"IPA0029263",NA,"Plantae",NA,NA,"72-7130","Southern America","Sítio Cafundó",NA,NA,NA,NA,"2011","03","25558","auto","29",NA,NA,NA,NA,NA,NA,NA
"25","2019-08-27 13:26:31-03","IAP","PACA-AGP","69354","PreservedSpecimen","Plantae","Orchidaceae","Amblostoma","tridactylum","Amblostoma tridactylum","(Lindl.) Rchb. F.","A. Chillány","J. M. Silva","1986","12","04","Brasil","PR","Morretes","-48.834400177002","-25.476900100708",NA,NA,"PACA069354",NA,"Magnoliophyta","Orchidales",NA,"252",NA,"Véu de Noiva",NA,"Habitat: Mata pluvial, epífita Fenofase: flores amarelo-ocre Hábito: epífito",NA,NA,"1988",NA,"30514","auto",NA,"Liliatae",NA,NA,NA,NA,NA,NA
"26","2019-08-27 13:26:31-03","IAP","PACA-AGP","66101","PreservedSpecimen","Plantae","Orchidaceae","Amblostoma","tridactylum","Amblostoma tridactylum","(Lindl.) Rchb. F.","G. Pabst","P. R. Reitz","1954","05","30","Brasil","SC","Brusque","-48.9174995422363","-27.0981006622314",NA,NA,"PACA066101",NA,"Magnoliophyta","Orchidales",NA,"5849",NA,"Santa Luzia",NA,"HBR 10701 Habitat: Rupícola",NA,NA,"1956",NA,"19684","auto",NA,"Liliatae",NA,NA,NA,NA,NA,NA
"27","2019-08-27 13:26:31-03","IAP","PACA-AGP","66103","PreservedSpecimen","Plantae","Orchidaceae","Amblostoma","tridactylum","Amblostoma tridactylum","(Lindl.) Rchb. F.","G. Pabst","Reitz & Klein","1954","06","03","Brasil","SC","Itajaí","-48.6618995666504","-26.9078006744385",NA,NA,"PACA066103",NA,"Magnoliophyta","Orchidales",NA,"1862",NA,"Morro da Fazenda",NA,"HBR 7982 Habitat: Epifíta da mata Fenofase: flor amarelada","150","150","1954",NA,"27253","auto",NA,"Liliatae",NA,NA,NA,NA,NA,NA
"28","2016-07-05 11:14:18-03","FFCLRP","LBMBP","340","S","Plantae","Orchidaceae","Epidendrum","tridactylum","Epidendrum tridactylum","Lindl.","E.R. Pansarin","E.R. Pansarin",NA,NA,NA,"Brasil","São Paulo","Itirapina","-47.816667","-22.25","47°49'W","22°15'S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2016-07-05 11:14:18-03","FFCLRP","LBMBP","341","S","Plantae","Orchidaceae","Epidendrum","tridactylum","Epidendrum tridactylum","Lindl.","E.R. Pansarin","E.R. Pansarin",NA,NA,NA,"Brasil","São Paulo","Itirapina","-47.816667","-22.25","47°49'W","22°15'S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2016-07-05 11:14:18-03","FFCLRP","LBMBP","342","S","Plantae","Orchidaceae","Epidendrum","tridactylum","Epidendrum tridactylum","Lindl.","E.R. Pansarin","E.R. Pansarin",NA,NA,NA,"Brasil","São Paulo","Itirapina","-47.816667","-22.25","47°49'W","22°15'S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
