"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","typeStatus","recordNumber","year","stateProvince","imagecode","identifiedBy","month","day","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount"
"11","2021-03-15 16:37:00-03","NY","NYBG","382638","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","tingoassuiba","Zanthoxylum tingoassuiba","L. Riedel","South America","Brazil","E. gr. in monte Telegraphico, in Morro da Babylonia.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=367798' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382638","Magnoliophyta","Sapindales","A.St.-Hil.",NA,"98",NA,"Rio de Janeiro","NY00382638_01",NA,NA,NA,"Rio de Janeiro","-43.2075","-22.9031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","382764","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","tingoassuiba","Zanthoxylum tingoassuiba","G. G. Hatschbach","South America","Brazil","Palmeira","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=323832' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382764","Magnoliophyta","Sapindales","A.St.-Hil.",NA,"65856","1997","Bahia","NY00382764_01",NA,"01","16","Caetité","-42.47","-14.06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","382637","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","tingoassuiba","Zanthoxylum tingoassuiba","L. Riedel","South America","Brazil","E. gr. in monte Telegraphico, in Morro da Babylonia.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=367797' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382637","Magnoliophyta","Sapindales","A.St.-Hil.",NA,"98",NA,"Rio de Janeiro","NY00382637_01",NA,NA,NA,"Rio de Janeiro","-43.2075","-22.9031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","382766","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","tingoassuiba","Zanthoxylum tingoassuiba","J. R. Pirani","South America","Brazil","Seabra. Mata de Cipo","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=323830' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382766","Magnoliophyta","Sapindales","A.St.-Hil.",NA,"2012","1987","Bahia","NY00382766_01","C. R. Reynel","02","13","Seabra","-41.7703","-12.4186","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","382635","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","tingoassuiba","Zanthoxylum tingoassuiba","S. A. Mori","South America","Brazil","Road from Itanagra to Subaúma, 8 km W of Itanagra.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=367791' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382635","Magnoliophyta","Sapindales","A.St.-Hil.",NA,"14131","1981","Bahia","NY00382635_01",NA,"05","27","Itanagra","-38.0147177","-12.1961899","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","03066017","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","tingoassuiba","Zanthoxylum tingoassuiba","C. Baez","South America","Brazil","Subida para Pedra da Gávea pela Barrinha. Próximo à Pedra do Navio. Parque Nacional da Tijuca","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3287040' target='other'> <mi>dwc_moreinfo</mi></a>","NY03066017","Magnoliophyta","Sapindales","A.St.-Hil.",NA,"548","2016","Rio de Janeiro","NY03066017_01",NA,"03","06","Rio de Janeiro","-43.285","-22.9980555","750","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","382633","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","tingoassuiba","Zanthoxylum tingoassuiba","J. R. Pirani","South America","Brazil","Santo Antônio de Jesus: Rodovia para Sao Miguel das Matas e Amargosa, a 7 km do trevo com a BR 101.","sheet",NA,"Voucher para estudos químicos. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=367795' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382633","Magnoliophyta","Sapindales","A.St.-Hil.",NA,"2700","1983","Bahia","NY00382633_01",NA,"01","30",NA,"-39.33","-13","40","40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","382631","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","tingoassuiba","Zanthoxylum tingoassuiba","W. W. Thomas","South America","Brazil","7.3 km N of Serra Grande on rd to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz. Parcel: 16. Tree # 661.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=367796' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382631","Magnoliophyta","Sapindales","A.St.-Hil.",NA,"7483","1991","Bahia","NY00382631_01",NA,"07","01","Uruçuca","-39.0617","-14.4231",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","02692471","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","tingoassuiba","Zanthoxylum tingoassuiba","J. Braga","South America","Brazil","Aldeia de Setiba, Parque Estadual Paulo César Vinha, Setibão, ca. 30 m da praia.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2987611' target='other'> <mi>dwc_moreinfo</mi></a>","NY02692471","Magnoliophyta","Sapindales","A.St.-Hil.",NA,"5628","1999","Espírito Santo","NY02692471_01",NA,"12","02","Guarapari","-40.5110015869141","-20.6580009460449",NA,NA,"28401","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","382634","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","tingoassuiba","Zanthoxylum tingoassuiba","S. A. Mori","South America","Brazil","Road from Itanagra to Subaúma, 8 km W of Itanagra.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=367790' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382634","Magnoliophyta","Sapindales","A.St.-Hil.",NA,"14118","1981","Bahia","NY00382634_01",NA,"05","26","Itanagra","-38.0147177","-12.1961899","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","382765","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","tingoassuiba","Zanthoxylum tingoassuiba","B. L. Stannard","South America","Brazil","Mata do Criminoso.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=323831' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382765","Magnoliophyta","Sapindales","A.St.-Hil.",NA,"H51989","1992","Bahia","NY00382765_01",NA,"03","18","Abaíra","-41.8","-13.32","1150","1150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-02-18 09:30:42-03","UNESP-IBB","BOTU","8493","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","tingoassuiba","Zanthoxylum tingoassuiba","Ehrendorfer, F.",NA,"Brasil",NA,NA,NA,"Evergreen forest and openings; +- sandy to lateric soil.","BOTU008493",NA,NA,"A. St.-Hil.",NA,"73822-7","1973","São Paulo",NA,NA,"08","22","Botucatu",NA,NA,NA,NA,NA,NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA
"23","2021-02-18 09:30:42-03","UNESP-IBB","BOTU","24875","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","tingoassuiba","Zanthoxylum tingoassuiba","Paschoal, M.E.S.",NA,"Brasil",NA,NA,NA,"Árvore de 6 m de altura, folhas cartáceas, flores branco-esverdeadas; frutos imaturos verdes, ramos armados, caule inerme e lenticelado.","BOTU024875",NA,NA,"A. St.-Hil.",NA,"2347","2000","São Paulo",NA,"Paschoal, M.E.S.","11","28","Agudos",NA,NA,NA,NA,NA,NA,"9999","9999","2001","11","15",NA,NA,NA,NA
"24","2021-04-08 17:43:40-03","EAO","IAN","9771","PreservedSpecimen","Plantae","Rutaceae","Fagara","eichleri","Fagara eichleri","Glaziou, AFM","Southern America","Brasil",NA,NA,NA,NA,"IAN009771","Dicotiledônea",NA,"Engl.",NA,"8617",NA,NA,"IAN009771_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-04-08 17:43:40-03","EAO","IAN","9768","PreservedSpecimen","Plantae","Rutaceae","Fagara","elegans","Fagara elegans","Riedel, L","Southern America","Brasil",NA,NA,NA,NA,"IAN009768","Dicotiledônea",NA,"Engl.",NA,"861",NA,NA,"IAN009768_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-04-08 17:43:40-03","EAO","IAN","9760","PreservedSpecimen","Plantae","Rutaceae","Fagara","glazioviana","Fagara glazioviana","Glaziou, AFM","Southern America","Brasil",NA,NA,NA,NA,"IAN009760","Dicotiledônea",NA,"Engl.",NA,"18976",NA,NA,"IAN009760_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-04-08 17:43:40-03","EAO","IAN","23662","PreservedSpecimen","Plantae","Rutaceae","Fagara","nigra","Fagara nigra","Riedel, L","Southern America","Brasil",NA,NA,NA,NA,"IAN023662","Dicotiledônea",NA,"(Mart.) Engl.",NA,"98",NA,NA,"IAN023662_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-04-08 17:43:40-03","EAO","IAN","56848","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","elegans","Zanthoxylum elegans","Gaudichaud","Southern America","Brasil",NA,NA,NA,NA,"IAN056848","Dicotiledônea",NA,"A.St.-Hil.",NA,"813",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-04-08 17:43:40-03","EAO","IAN","56844","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","lucidum","Zanthoxylum lucidum","Saint-Hilaire","Southern America","Brasil",NA,NA,NA,NA,"IAN056844","Dicotiledônea",NA,"A.St.-Hil.",NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-30 12:48:32-03","EAO","IAN","103871","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","nigrum","Zanthoxylum nigrum","Pessoal do Horto Florestal","Southern America","Brasil","Mata rumo ao Horto Florestal da Gávea.",NA,NA,"Árvore de 6-8m de altura.","IAN103871","Dicotiledônea",NA,"Mart.",NA,"48480","1927","Rio de Janeiro",NA,"Kuhlmann, JG","11","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1943",NA,NA,NA,NA,NA,NA
"31","2021-04-08 17:43:47-03","EAO","IAN","26619","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","tingoassuiba","Zanthoxylum tingoassuiba","Saint-Hilaire","Southern America","Brasil",NA,NA,NA,NA,"IAN026619","Dicotiledônea",NA,"A.St.-Hil.",NA,"s.n.",NA,NA,"IAN026619_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2013-09-13 13:19:52-03","EBDA","BAH","182","S","Plantae","Rutaceae","Fagara","articulata","Fagara articulata","G. Pinto",NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"Engl.",NA,NA,"1950","Bahia",NA,"Aparicio Duarte","05",NA,"Cruz das Almas","-39.1019","-12.67",NA,NA,"14660","auto",NA,NA,"1950","05",NA,NA,NA,NA,NA
"33","2019-10-09 11:24:15-03","UFBA","ALCB","39742","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","articulatum","Zanthoxylum articulatum","Stannard, B; Queiroz, RF","Southern America","Brasil","Chapada Diamantina, Mata do Criminoso",NA,NA,"3m de altura. Frutos verdes.",NA,"Dicotyledon",NA,"Engl.",NA,"PCDs/n","1992","Bahia",NA,"Pirani, JR","03","18","Abaíra","-41.8","-13.316667","1150","1150",NA,NA,"-41.8","-13.316667","1994",NA,NA,NA,NA,NA,NA
"34","2019-10-09 11:24:15-03","UFBA","ALCB","84021","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","articulatum","Zanthoxylum articulatum","Guedes, ML; Gomes, FS","Southern America","Brasil","Serra Geral, Bloco IV, Parcela 1",NA,NA,"de ca 5 m de altura. Folhas com folíolos cartáceos. Frutos cápsula.",NA,"Dicotyledon",NA,"Engl.",NA,"14519","2008","Bahia",NA,"Guedes, ML","05","23","Caetité","-42.518056","-14.023889","1092","1092",NA,NA,"-42.518056","-14.023889","2008","06",NA,NA,NA,NA,NA
"35","2019-10-09 11:24:15-03","UFBA","ALCB","37130","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","nigrum","Zanthoxylum nigrum","Giulietti, AM; Silva, LB da; Harley, RM; Gasson, P; Nic Lughadha, E","Southern America","Brasil","Piemonte da Diamantina, Estrada para Lagoa Nova",NA,NA,"1,50 m. Folhas levemente discolores, pedicelos vináceos. Fruto imaturo verde. Ocasional.; Campos gerais com arbustos densamente dispostos e elementos de caatinga. Solo arenoso.",NA,"Dicotyledon",NA,"Mart.",NA,"PCD6075","1997","Bahia",NA,"Pirani, JR","03","06","Morro do Chapéu","-41.118611","-11.722222","886","886",NA,NA,"-41.118611","-11.722222","1998","07",NA,NA,NA,NA,NA
"36","2020-08-11 00:16:29-03","UFBA","ALCB","71030","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","nigrum","Zanthoxylum nigrum","Conceição, AA; Atkins, S; Woodgyer, EM; Giulietti, AM; Stannard, B","Southern America","Brasil","Piemonte da Diamantina, Fazenda Sta. Maria",NA,NA,"1,50 m. Folhas verdes. Frutos imaturos verdes com pedúnculos vináceos. Ocasional.; Carrasco mostrando uma mistura de caatinga e cerrado degradado. Solo areno-pedregoso.",NA,"Dicotyledon",NA,"Mart.",NA,"PCD2449","1996","Bahia",NA,"Pirani, JR","03","16","Morro do Chapéu","-41.141944","-11.761111","991","991",NA,NA,"-41.141944","-11.761111","1998","07",NA,NA,NA,NA,NA
"37","2019-10-09 11:24:15-03","UFBA","ALCB","041232","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","tingoassuiba","Zanthoxylum tingoassuiba","Orge, MDR; Jesus, NG de","Southern America","Brasil","Litoral Norte",NA,NA,"13,50 m alt. CAP 0,18 m. Caule com acúleos. Folhas compostas, alternas, paripenadas, folíolos 4-8, semicoriáceos, discolores, pecíolo dilatado, aroma cítrico, bordo denteado.",NA,"Dicotyledon",NA,"A.St.-Hil.",NA,"PL654","1998","Bahia",NA,"Pirani, JR; JR","11","28","Entre Rios","-38.083333","-11.933333",NA,NA,NA,NA,"-38.083333","-11.933333","2013","09",NA,NA,NA,NA,NA
"38","2019-10-09 11:24:15-03","UFBA","ALCB","041311","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","tingoassuiba","Zanthoxylum tingoassuiba","Jesus, NG de; Orge, MDR; Jorge, AMS; Amorim, GC","Southern America","Brasil","Litoral Norte",NA,NA,"folhas compostas, alternas, paripenadas, folíolos 2-6, semi-coriáceos, discolores.",NA,"Dicotyledon",NA,"A.St.-Hil.",NA,"PL671","1998","Bahia",NA,"Pirani, JR","11","28","Entre Rios","-38.083333","-11.933333",NA,NA,NA,NA,"-38.083333","-11.933333","2013","09",NA,NA,NA,NA,NA
"39","2021-02-24 18:14:03-03","UFBA","ALCB","041388","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","tingoassuiba","Zanthoxylum tingoassuiba","Guedes, ML; Cabral, L; Maia, H","Southern America","Brasil","Extremo Sul, Brasilndia,  rea da Veracel Celulose, pontos 8-9",NA,NA,"7,0 m alt. CAP 0,27 m. Folhas discolores, bastante óleo essencial.; substrato areno-argiloso.","ALCB063708","Dicotyledon",NA,"A.St.-Hil.",NA,"6342","1999","Bahia",NA,"Pirani, JR","06","22","Belmonte","-38.9","-15.866667",NA,NA,NA,NA,"-38.9","-15.866667","2013","09",NA,NA,NA,NA,NA
"40","2019-10-09 11:24:15-03","UFBA","ALCB","049885","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","tingoassuiba","Zanthoxylum tingoassuiba","Guedes, ML; Gusmão, EF de; et al.","Southern America","Brasil","Litoral Norte, Fazenda Buri, Trilha 07, parcela 11",NA,NA,"ca 20 m alt. fuste de ca. 0,5 m, copa 08 x 04 m. CAP 66,6 cm. Folhas levemente discolores, consistencia cartácea. Material estéril.; Mata ombrofila densa","ALCB063703","Dicotyledon",NA,"A.St.-Hil.",NA,"7707","2000","Bahia",NA,"Pirani, JR","12","12","Entre Rios","-38.083333","-11.933333",NA,NA,NA,NA,"-38.083333","-11.933333","2013","09",NA,NA,NA,NA,NA
"41","2019-10-09 11:24:16-03","UFBA","ALCB","06334","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","tingoassuiba","Zanthoxylum tingoassuiba","Pinto, GCP","Southern America","Brasil","Recôncavo Sul",NA,NA,"Frequente em capoeiras.",NA,"Dicotyledon",NA,"A.St.-Hil.",NA,"s/n","1949","Bahia",NA,"Pirani, JR",NA,NA,"Cruz das Almas","-39.1","-12.666667",NA,NA,NA,NA,"-39.1","-12.666667","1997",NA,NA,NA,NA,NA,NA
"42","2019-10-09 11:24:16-03","UFBA","ALCB","0757","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","tingoassuiba","Zanthoxylum tingoassuiba","Orge, MDR; Jesus, NG de","Southern America","Brasil","Litoral Norte",NA,NA,"13,50 m alt. CAP 0,18 m. Caule com acúleos. Folhas compostas, alternas, paripenadas, folíolos 4-8, semicoriáceos, discolores, pecíolo dilatado, aroma cítrico, bordo denteado.","ALCB063706","Dicotyledon",NA,"A.St.-Hil.",NA,"PL654","1998","Bahia",NA,"Pirani, JR; JR","11","28","Entre Rios","-38.083333","-11.933333",NA,NA,NA,NA,"-38.083333","-11.933333","2013","09",NA,NA,NA,NA,NA
"43","2019-10-09 11:24:16-03","UFBA","ALCB","0774","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","tingoassuiba","Zanthoxylum tingoassuiba","Jesus, NG de; Orge, MDR; Jorge, AMS; Amorim, GC","Southern America","Brasil","Litoral Norte",NA,NA,"folhas compostas, alternas, paripenadas, folíolos 2-6, semi-coriáceos, discolores.","ALCB063704","Dicotyledon",NA,"A.St.-Hil.",NA,"PL671","1998","Bahia",NA,"Pirani, JR","11","28","Entre Rios","-38.083333","-11.933333",NA,NA,NA,NA,"-38.083333","-11.933333","2013","09",NA,NA,NA,NA,NA
"44","2019-10-09 11:24:16-03","UFBA","ALCB","107797","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","tingoassuiba","Zanthoxylum tingoassuiba","Guedes, ML; Mattos Andrade, PE de; Alunos de Botânica III","Southern America","Brasil","Piemonte da Diamantina, à 12 km da Cidade de Morro do Chapéu em direção à Cachoeira do Ferro Doido",NA,NA,"de ca 3 m de altura, espinescente. Frutos imaturos verdes.","ALCB063709","Dicotyledon",NA,"A.St.-Hil.",NA,"20494","2013","Bahia",NA,"Guedes, ML","03","09","Morro do Chapéu","-41.076111","-11.5875","972","972",NA,NA,"-41.076111","-11.5875","2013","03",NA,NA,NA,NA,NA
"45","2019-10-09 11:24:16-03","UFBA","ALCB","130109","PreservedSpecimen","Plantae","Rutaceae","Zanthoxylum","tingoassuiba","Zanthoxylum tingoassuiba","Guedes, ML; Araújo, F; Alunos de Botânica BIOC05","Southern America","Brasil","Paraguaçu, Caminho fazenda Santa Cruz.",NA,NA,"com espinhos no caule. Folhas trifolioladas. Inflorescência com botões cremes.","ALCB045947","Dicotyledon",NA,"A.St.-Hil.",NA,"25983","2017","Bahia","ALCB045947","Guedes, ML","11","18","Lajedinho","-40.9","-12.35",NA,NA,NA,NA,"-40.9","-12.35","2017","12",NA,NA,NA,NA,NA
