"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","stateProvince","county","decimalLongitude","decimalLatitude","imagecode","scientificNameAuthorship","locality","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","fieldNumber","individualCount","typeStatus","relatedCatalogItem"
"14","2016-09-29 20:55:00-03","NY","NYBG","00857128","PreservedSpecimen","Plantae","Lamiaceae","Hyptidendron","asperrimum","Hyptidendron asperrimum","P. Clausen","54","1840",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936826' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857128","Magnoliophyta","Lamiales","Minas Gerais",NA,NA,NA,"NY00857128_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00857130","PreservedSpecimen","Plantae","Lamiaceae","Hyptidendron","asperrimum","Hyptidendron asperrimum","H. S. Irwin","2115","1958","11","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936835' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857130","Magnoliophyta","Lamiales","Minas Gerais","Araponga","-42.5206","-20.6669","NY00857130_01","(Spreng.) Harley","1 km W. of Araponga.",NA,NA,"R. M. Harley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","00857124","PreservedSpecimen","Plantae","Lamiaceae","Hyptidendron","asperrimum","Hyptidendron asperrimum","G. G. Hatschbach","26975","1971","09","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936804' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857124","Magnoliophyta","Lamiales","Minas Gerais","Igarapé","-44.3017","-20.0706","NY00857124_01","(Spreng.) Harley","Rod. Fernão Dias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","00857131","PreservedSpecimen","Plantae","Lamiaceae","Hyptidendron","asperrimum","Hyptidendron asperrimum","R. M. Harley","25264","1988","10","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936838' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857131","Magnoliophyta","Lamiales","Minas Gerais","Jequitinhonha","-41.05","-16.37","NY00857131_01","(Spreng.) Harley","Serra da Areia. Ca. 47 km ao sul de Pedra Azul, na estrada para Jequitinhonha.","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","01017490","PreservedSpecimen","Plantae","Lamiaceae","Hyptidendron","asperrimum","Hyptidendron asperrimum","L. Riedel","390","1824",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1214641' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017490","Magnoliophyta","Lamiales","Minas Gerais",NA,NA,NA,"NY01017490_01","(Spreng.) Harley","Serra do Itacolumi.",NA,NA,"R. M. Harley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","01023630","PreservedSpecimen","Plantae","Lamiaceae","Hyptidendron","asperrimum","Hyptidendron asperrimum","R. C. Forzza","977","1998","08","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1199706' target='other'> <mi>dwc_moreinfo</mi></a>","NY01023630","Magnoliophyta","Lamiales","Minas Gerais","Belo Vale","-43.93","-20.43","NY01023630_01","(Spreng.) Harley","BR-040, km. 14.","1330","1330","R. M. Harley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2016-09-29 20:55:00-03","NY","NYBG","00857125","PreservedSpecimen","Plantae","Lamiaceae","Hyptidendron","asperrimum","Hyptidendron asperrimum","A. F. C. P. Saint-Hilaire","B1-1312","1816",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936810' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857125","Magnoliophyta","Lamiales","Minas Gerais",NA,NA,NA,"NY00857125_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","00499726","PreservedSpecimen","Plantae","Lamiaceae","Hyptidendron","asperrimum","Hyptidendron asperrimum","G. G. Hatschbach","45155","1982","07","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=176509' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499726","Magnoliophyta","Lamiales","Espírito Santo","Iúna","-41.5356","-20.3458","NY00499726_01","(Spreng.) Harley","Rod. BR-262",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","00857126","PreservedSpecimen","Plantae","Lamiaceae","Hyptidendron","asperrimum","Hyptidendron asperrimum","L. Labouriau","1017","1959","07","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936815' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857126","Magnoliophyta","Lamiales","Minas Gerais","Belo Horizonte","-43.9378","-19.9208","NY00857126_01","(Spreng.) Harley","Junto à estrada BR-3.",NA,NA,"R. M. Harley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","00857121","PreservedSpecimen","Plantae","Lamiaceae","Hyptidendron","asperrimum","Hyptidendron asperrimum","B. Maguire","49052","1960","08","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936795' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857121","Magnoliophyta","Lamiales","Minas Gerais",NA,NA,NA,"NY00857121_01","(Spreng.) Harley","Serra do Cipó, Km 112-128.","1200","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","00500851","PreservedSpecimen","Plantae","Lamiaceae","Hyptidendron","asperrimum","Hyptidendron asperrimum","L. S. Rose","30","1948","09","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=176508' target='other'> <mi>dwc_moreinfo</mi></a>","NY00500851","Magnoliophyta","Lamiales","Rio de Janeiro",NA,NA,NA,"NY00500851_01","(Spreng.) Harley","Road from Petropólis to Teresópolis.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2016-09-29 20:55:00-03","NY","NYBG","00857123","PreservedSpecimen","Plantae","Lamiaceae","Hyptidendron","asperrimum","Hyptidendron asperrimum","E. Pereira","9154","1964","09","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936800' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857123","Magnoliophyta","Lamiales","Minas Gerais","Barbacena","-43.7733","-21.2258","NY00857123_01",NA,"BR-3 km. 270.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2016-09-29 20:55:00-03","NY","NYBG","00857132","PreservedSpecimen","Plantae","Lamiaceae","Hyptidendron","asperrimum","Hyptidendron asperrimum","L. Riedel","390","1824","08",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936844' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857132","Magnoliophyta","Lamiales","Minas Gerais",NA,NA,NA,"NY00857132_01",NA,"Serra do Itacolomi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","00499721","PreservedSpecimen","Plantae","Lamiaceae","Hyptidendron","asperrimum","Hyptidendron asperrimum","G. Gardner","5107","1836",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=176513' target='other'> <mi>dwc_moreinfo</mi></a>","NY00499721","Magnoliophyta","Lamiales",NA,NA,NA,NA,"NY00499721_01","(Spreng.) Harley","Brasilia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-11-13 09:20:01-03","UFRJ","RFA","12986","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","asperrima","Hyptis asperrima","E. Pereira","7383a","1963","08","11",NA,"Brasil",NA,NA,"Arbóreo, 5metros, vel. ultra, floribus violaceias.","RFA42283",NA,NA,"Rio de Janeiro","Teresópolis","-42.9655990600586","-22.4122009277344",NA,"(Spreng.) Epling","Via Itaipava",NA,NA,NA,"38539","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-06-29 11:30:55-03","UFRJ","RFA","2027","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","asperrima","Hyptis asperrima","P. Occhioni","1394","1957","08","26",NA,"Brasil",NA,NA,"Árvore pequenaq, flor roxa","RFA42285",NA,NA,"Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232",NA,"(Spreng.) Epling","Serra das Araras","1000","1000","P. Occhioni","57442","auto","1957","09","04",NA,NA,NA,NA,NA,NA,NA
"30","2020-11-13 09:20:01-03","UFRJ","RFA","11968","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","asperrima","Hyptis asperrima","G.G. Hatschbach","26975","1971","09","04",NA,"Brasil",NA,NA,"Arbusto 2 m de altura. Flor azul","RFA42286",NA,NA,"Minas Gerais","Igarapé","-44.301700592041","-20.0702991485596",NA,"(Spreng.) Epling","Rodovia Fernão Dias",NA,NA,"R.M. Harley","8870","auto","1972",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-06-29 11:30:55-03","UFRJ","RFA","12500","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","asperrima","Hyptis asperrima","E. Pereira","9901","1965","09","05",NA,"Brasil",NA,NA,NA,"RFA42287",NA,NA,"Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232",NA,"(Spreng.) Epling","Tataijana - Teresópolis",NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-11-13 09:20:01-03","UFRJ","RFA","24738","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","membranacea","Hyptis membranacea","Lilian M. P. de Carvalho","fev-36","2000","09","25",NA,"Brasil",NA,NA,"Árvore, 5m de altura, DAP 30cm, folha verde.","RFA38325",NA,NA,"Rio de Janeiro","Petrópolis","-43.124722","-22.434167",NA,"Benth.","Distrito de Nogueira, Vale do Colembe.","900","900","M. Bovini",NA,NA,"2001","03","07","43º7'29''W","22º26'3''S",NA,NA,NA,NA,NA
"33","2020-12-15 11:14:43-03","FUNED","FUNED-POL","4822","PreservedSpecimen","Plantae","Lamiaceae","Hyptidendron","asperrimum","Hyptidendron asperrimum","Kamilla Castelan",NA,"2018","09","16",NA,"Brasil",NA,NA,NA,"POL004822",NA,NA,"MG","Mariana","-43.4160995483398","-20.377799987793",NA,NA,"Estrada para Fazenda da Palha",NA,NA,NA,"33524","auto",NA,NA,NA,"43W°24'40.8''","20S°19'07.3''",NA,NA,NA,NA,NA
"34","2020-12-15 11:14:43-03","FUNED","FUNED-POL","3560","PreservedSpecimen","Plantae","Labiatae/Lamiaceae","Hyptis","asperrima","Hyptis asperrima","LAOC",NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,"POL003560",NA,NA,"MG",NA,NA,NA,"POL003560_p01 POL003560_p02 POL003560_p03 POL003560_p04 POL003560_p05 POL003560_p06 POL003560_p07 POL003560_p08 POL003560_p09 POL003560_p10 POL003560_p11 POL003560_p12",NA,"UFV-API",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-30 12:32:45-03","EAO","IAN","93722","PreservedSpecimen","Plantae","Lamiaceae","Hyptidendron","asperrimum","Hyptidendron asperrimum","Glaziou, AFM","15340",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,"IAN093722",NA,NA,NA,NA,NA,NA,NA,"(Spreng.) Harley",NA,NA,NA,"Harley, RM",NA,NA,"2015","04","16",NA,NA,NA,NA,NA,NA,NA
"36","2021-03-30 12:32:45-03","EAO","IAN","94384","PreservedSpecimen","Plantae","Lamiaceae","Hyptidendron","asperrimum","Hyptidendron asperrimum","Glaziou, AFM","19338",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,"IAN094384",NA,NA,"Minas Gerais",NA,NA,NA,NA,"(Spreng.) Harley",NA,NA,NA,"Harley, R",NA,NA,"2016","08","19",NA,NA,NA,NA,NA,NA,NA
"37","2021-03-30 12:32:45-03","EAO","IAN","107673","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","asperrima","Hyptis asperrima","Magalhães, MG","15583","1959","11",NA,"Southern America","Brasil",NA,NA,NA,"IAN107673",NA,NA,"Minas Gerais","Jequitinhonha","-41.0032997131348","-16.4339008331299",NA,"(Spreng.) Epling","Capoeira seca com atalca em colonia. Serra da Sapucaia.",NA,NA,NA,"48921","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-30 12:32:45-03","EAO","IAN","102444","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","asperrima","Hyptis asperrima","Magalhães, MG","522","1940","09","12","Southern America","Brasil",NA,NA,NA,"IAN102444",NA,NA,"Minas Gerais","Lima Duarte","-43.793098449707","-21.8425006866455",NA,"(Spreng.) Epling","Capoeirinha. São José dos Lopes.",NA,NA,"Barreto, M","30417","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-30 12:32:45-03","EAO","IAN","102445","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","asperrima","Hyptis asperrima","Magalhães, MG","541","1942","09","13","Southern America","Brasil",NA,NA,NA,"IAN102445",NA,NA,"Minas Gerais","Lima Duarte","-43.793098449707","-21.8425006866455",NA,"(Spreng.) Epling","Mata secundaria em galeria. Fazenda Tanque. Serra da Ibitijoca.",NA,NA,"Barreto, M","30417","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-30 12:32:45-03","EAO","IAN","72412","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","asperrima","Hyptis asperrima","Mexia, Y","5050","1930","09","14","Southern America","Brasil",NA,NA,NA,"IAN072412",NA,NA,"Minas Gerais","Viçosa","-42.8819007873535","-20.7539005279541",NA,"(Spreng.) Epling","Road to são Miguel, near km 15; bank above stream.",NA,NA,"Epling, C","13937","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-30 12:32:45-03","EAO","IAN","116608","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","asperrima","Hyptis asperrima","Mexia, Y","5050","1930","09","14","Southern America","Brasil",NA,NA,NA,"IAN116608",NA,NA,"Minas Gerais","Viçosa","-42.8819007873535","-20.7539005279541",NA,"(Spreng.) Epling","Road to são Miguel, near km 15; bank above stream.",NA,NA,"Epling, C","13937","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-30 12:32:46-03","EAO","IAN","94385","PreservedSpecimen","Plantae","Lamiaceae","Hyptis","membranacea","Hyptis membranacea","Glaziou, AFM","13099","1831","10","11","Southern America","Brasil",NA,NA,NA,"IAN094385",NA,NA,"Rio de Janeiro","Nova Friburgo","-42.5311012268066","-22.2819004058838",NA,"Benth.",NA,NA,NA,NA,"33190","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-02-08 09:32:24-03","NBC","NL-BOTANY","L.2779124","PreservedSpecimen","Plantae","Labiatae","Hyptis","asperrima","Hyptis asperrima","Sellow F",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2779124 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2779124",NA,"Lamiales",NA,NA,NA,NA,"NL-L2779124","(Spreng.) Epling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"44","2020-02-08 09:32:24-03","NBC","NL-BOTANY","L.2779125","PreservedSpecimen","Plantae","Labiatae","Hyptis","asperrima","Hyptis asperrima","Martius CFP von",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2779125 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2779125",NA,"Lamiales",NA,NA,NA,NA,"NL-L2779125","(Spreng.) Epling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"45","2020-02-08 09:32:24-03","NBC","NL-BOTANY","L.2779126","PreservedSpecimen","Plantae","Labiatae","Hyptis","asperrima","Hyptis asperrima","Martius CFP von",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2779126 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2779126",NA,"Lamiales",NA,NA,NA,NA,"NL-L2779126","(Spreng.) Epling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"46","2020-02-08 09:32:24-03","NBC","NL-BOTANY","U.1353204","PreservedSpecimen","Plantae","Labiatae","Hyptis","asperrima","Hyptis asperrima","Mexia YEJ",NA,"1930","09","14","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1353204 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1353204",NA,"Lamiales",NA,NA,NA,NA,"NL-U1353204","(Spreng.) Epling","State of Minas Geraes, Viçosa, Road to São Miguel, near km 15; bank above stream.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"47","2020-02-08 09:32:24-03","NBC","NL-BOTANY","WAG.1714638","PreservedSpecimen","Plantae","Labiatae","Hyptis","asperrima","Hyptis asperrima","Hatschbach GG",NA,"1977","07","23","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1714638 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1714638",NA,"Lamiales",NA,NA,NA,NA,"NL-WAG1714638","(Spreng.) Epling","Rio Bouradinho (mun. Prata) Minas Gerais.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
