"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","imagecode","previousCatalogNumber"
"11","2020-07-10 09:48:30-03","MBML","MBML-HERBARIO","42463",NA,"Plantae",NA,"Orchidaceae","Pabstiella","lingua","Pabstiella lingua","(Lindl.) Luer","H.L. Silva/17-01-2020","J. Guiard","9716","2009",NA,NA,NA,"Brasil","Espírito Santo","Alfredo Chaves","Córrego da Fortuna","-40.749698638916","-20.6350002288818",NA,NA,"1000","1000","2 plantes","MBML042463",NA,NA,NA,"32447","auto",NA,NA
"12","2020-07-10 09:48:30-03","MBML","MBML-HERBARIO","46427",NA,"Plantae",NA,"Orchidaceae","Pabstiella","lingua","Pabstiella lingua","Luer & Hirtz",NA,"Chiron; Renato Barbosa da Silva","11068",NA,NA,NA,NA,"Brasil","Espírito Santo","Alfredo Chaves","Córrego da Fortuna","-40.749698638916","-20.6350002288818",NA,NA,NA,NA,NA,"MBML046427",NA,NA,NA,"32447","auto",NA,NA
"13","2020-06-15 15:31:06-03","UNESP-RC","HRCB","10799","PreservedSpecimen","Plantae",NA,"Orchidaceae","Pabstiella","lingua","Pabstiella lingua","(Lindl.) Luer","G.M. Marcusso","Furlan",NA,NA,NA,NA,NA,"Brasil","São Paulo","Ubatuba","Picinguaba","-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,NA,NA,NA,NA,NA,"34265","auto",NA,NA
"14","2021-03-01 11:50:09-03","UFPE","UFP","68395","PreservedSpecimen","Plantae",NA,"Orchidaceae","Pabstiella","lingua","Pabstiella lingua","(Lindl.) Luer","Pessoa, E","Pessoa, E; Melo, A; Amorim, BS","522","2010","03","11",NA,"Brasil","Pernambuco","Jaqueira",NA,"-35.843889","-8.72","-35.843889","-8.72","700","700","Epífita diminuta com flores róseas.","UFP068395","2013","04",NA,NA,NA,NA,NA
"15","2020-09-25 10:38:45-03","UFPE","UFP","6891","PreservedSpecimen","Plantae",NA,"Orchidaceae","Specklinia","lingua","Specklinia lingua","(Lindl.) Luer","Pessoa, E","Silva, M","s.n.","1986","06",NA,NA,"Brasil","Pernambuco","Barreiros",NA,"-35.1864013671875","-8.81832981109619",NA,NA,NA,NA,NA,"UFP006891","2012","06","25","24696","auto",NA,NA
"16","2021-03-01 11:50:12-03","UFPE","UFP","78341","PreservedSpecimen","Plantae",NA,"Orchidaceae","Specklinia","lingua","Specklinia lingua","(Lindl.) Luer","Pessoa, E","Pessoa, E; Amorim, BS; Costa-Lima, JL","943","2012","05","30",NA,"Brasil","Pernambuco","Jaqueira",NA,"-35.7933006286621","-8.72667026519775","-35504.3333","-84312",NA,NA,"Epífita com flores alvas com estrias róseas, labelo róseo, fruto verde.","UFP078341",NA,NA,NA,"11830","auto",NA,NA
"17","2016-08-23 09:45:46-03","NHMLondon","NHM-LONDON-BOT","BM000082604","S","Plantae",NA,"Orchidaceae","Pleurothallis","lingua","Pleurothallis lingua","Lindl.",NA,"John Miers; b.1789; d.1879; Miers","s.n.",NA,NA,NA,NA,"Brasil",NA,NA,NA,"-53.08982","-10.773109","-53.08982","-10.773109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4635322"
"18","2015-02-26 09:30:07-03","NHMLondon","NHM-LONDON-BOT","BM000082605","S","Plantae",NA,"Orchidaceae","Pleurothallis","lingua","Pleurothallis lingua","Lindl.",NA,"Francis Polkinghorne Pascoe; b.1813; d.1893","s.n.",NA,NA,NA,NA,"Brasil",NA,NA,NA,"-53.08982","-10.773109","-53.08982","-10.773109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4635323"
"19","2017-09-11 17:12:13-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Orchidaceae","Pleurothallis","lingua","Pleurothallis lingua","Lindl.",NA,"Miers, J","s.n.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,"Habitat in prov. Rio de Janeiro ad Serra dos Orgãos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2017-09-11 17:12:13-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Orchidaceae","Pleurothallis","lingua","Pleurothallis lingua","Lindl.",NA,"Pascoe, FP","s.n.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,"Habitat in prov. Rio de Janeiro ad Serra dos Orgãos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2017-09-11 17:12:13-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Orchidaceae","Pleurothallis","lingua","Pleurothallis lingua","Lindl.",NA,"Moura, JT de","78",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","Teresópolis","in arboribus ad Serra das Araras prope Theresopolis","-42.9656","-22.4122",NA,NA,NA,NA,"Floret Janurario",NA,NA,NA,NA,"38539","auto",NA,NA
"22","2019-11-21 10:13:40-03","IBt","SP","25531","S","Plantae",NA,"Orchidaceae","Pabstiella","lingua","Pabstiella lingua","(Lindl.) Luer","Pessoa, E","Spannagel, C","203","1929","11",NA,NA,"Brasil","Rio de Janeiro","Petrópolis",NA,"-43.1786003112793","-22.5049991607666",NA,NA,NA,NA,NA,NA,"2013","08","08","36524","auto",NA,NA
