"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","recordNumber","locality","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","relationshipType","relatedCatalogItem","individualCount","fieldNumber","sex","infraspecificEpithet"
"11","2021-03-15 16:37:00-03","NY","NYBG","498528","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","lambertii","Podocarpus lambertii","Klotzsch ex Endl.","A. C. Cervi","1989","03","08","Brazil","Paraná","Quatro Barras","-49.0767","-25.3658",NA,NA,"NY00498528","NY00498528_01","A. C. Cervi","1070","1070","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742477' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"2630","Morro Sete",NA,"South America","sheet",NA,"Pinophyta","Podocarpales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","232325","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","lambertii","Podocarpus lambertii","Klotzsch ex Endl.","R. A. Wasum","1997","12","13","Brazil","Rio Grande do Sul","Caçapava do Sul","-53.4914","-30.5122",NA,NA,"NY00232325","NY00232325_01","S. F. Smith","300","300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742471' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"12230","Caçapava do Sul, Arroio do Pessegueiro, Passo Fervor",NA,"South America","sheet",NA,"Pinophyta","Podocarpales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","498549","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","lambertii","Podocarpus lambertii","Klotzsch ex Endl.","A. Kegler","1999","02","01","Brazil","Rio Grande do Sul","Caxias do Sul","-51.094927","-29.108528",NA,NA,"NY00498549","NY00498549_01","S. F. Smith","780","780","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742472' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"163","Ana Rech - Faxinal",NA,"South America","sheet",NA,"Pinophyta","Podocarpales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","16563","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","lambertii","Podocarpus lambertii","Klotzsch ex Endl.","R. A. Wasum","1994","11","24","Brazil","Rio Grande do Sul","Sao Francisco de Paula","-50.395632","-29.433343",NA,NA,"NY00016563","NY00016563_01","S. F. Smith","850","850","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742470' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"10210","RS - Sao Francisco de Paula, Floresta Nacional",NA,"South America","sheet",NA,"Pinophyta","Podocarpales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","431634","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","lambertii","Podocarpus lambertii","Klotzsch ex Endl.","M. Alves","1999","12","20","Brazil","Minas Gerais","Santana do Riacho","-43.7142","-19.1692",NA,NA,"NY00431634","NY00431634_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=440847' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"1729","Estrada para Conceiçao do Mata Dentro, Parque Nacional da Serra do Cipó",NA,"South America","sheet",NA,"Pinophyta","Podocarpales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","498546","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","lambertii","Podocarpus lambertii","Klotzsch ex Endl.","M. Sobral","1985","10",NA,"Brazil","Rio Grande do Sul","Agudo","-53.24","-29.6456",NA,NA,"NY00498546","NY00498546_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742491' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"4410","Cerro do Tigre, Alegrete.",NA,"South America","sheet",NA,"Pinophyta","Podocarpales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","498548","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","lambertii","Podocarpus lambertii","Klotzsch ex Endl.","R. A. Wasum","1988","11","09","Brazil","Rio Grande do Sul","Caxias do Sul","-51.094927","-29.108528",NA,NA,"NY00498548","NY00498548_01","S. F. Smith","700","700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742467' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"s.n.","Caxias do Sul - Ana Rech - Faxinal",NA,"South America","sheet",NA,"Pinophyta","Podocarpales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","498545","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","lambertii","Podocarpus lambertii","Klotzsch ex Endl.","J. C. Lindeman","1966","12","14","Brazil","Rio Grande do Sul","Muitos Capoes","-51.1817","-28.3144",NA,NA,"NY00498545","NY00498545_01","J. C. Lindeman",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742476' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"3666","44 km E. of Lagoa Vermelha",NA,"South America","sheet",NA,"Pinophyta","Podocarpales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","498542","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","lambertii","Podocarpus lambertii","Klotzsch ex Endl.","R. A. Wasum","1988","11","09","Brazil","Rio Grande do Sul","Caxias do Sul","-51.094927","-29.108528",NA,NA,"NY00498542","NY00498542_01","S. F. Smith","700","700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742466' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"s.n.","Caxias do Sul - Ana Rech - Faxinal",NA,"South America","sheet",NA,"Pinophyta","Podocarpales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","622292","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","lambertii","Podocarpus lambertii","Klotzsch ex Endl.","J. R. Pirani","1986","01","06","Brazil","Minas Gerais","Cristália","-42.8619","-16.8006",NA,NA,"NY00622292","NY00622292_01","J. R. Pirani","1200","1200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742474' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"CFCR8888","Morro de Chapáu",NA,"South America","sheet",NA,"Pinophyta","Podocarpales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","498537","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","lambertii","Podocarpus lambertii","Klotzsch ex Endl.","L. P. de Queiroz","1990","10","07","Brazil","São Paulo","Campos do Jordao","-45.57","-22.72",NA,NA,"NY00498537","NY00498537_01",NA,"1200","1600","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742490' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"2734","Reserva do Instituto Florestal. Subida para Sao José dos Alpes",NA,"South America","sheet",NA,"Pinophyta","Podocarpales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","498534","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","lambertii","Podocarpus lambertii","Klotzsch ex Endl.","L. B. Smith","1956","12","03","Brazil","Santa Catarina","Lages","-50.3258","-27.8161",NA,NA,"NY00498534","NY00498534_01","L. B. Smith","900","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742480' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"8119","Along the Estrada de Rodagem Federal, south of Lajes",NA,"South America","sheet",NA,"Pinophyta","Podocarpales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","01081239","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","lambertii","Podocarpus lambertii","Klotzsch ex Endl.","J. R. Pirani","2002","06","09","Brazil","Minas Gerais","Santana do Riacho","-43.5581","-19.2636",NA,NA,"NY01081239","NY01081239_01","J. R. Pirani","1309","1309","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1222561' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"5090","Rodovia Belo Horizonte - Conceição do Mato Dentro, MG-010, km 118 atual (antigo 125), Serra do Cipó, APA Morro da Pedreira",NA,"South America","sheet",NA,"Pinophyta","Podocarpales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","498550","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","lambertii","Podocarpus lambertii","Klotzsch ex Endl.","G. F. J. Pabst","1961","10","29","Brazil","Rio Grande do Sul","Canela","-50.8156","-29.3658",NA,NA,"NY00498550","NY00498550_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742487' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"6390","Caracol pr. Canela",NA,"South America","sheet",NA,"Pinophyta","Podocarpales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","498547","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","lambertii","Podocarpus lambertii","Klotzsch ex Endl.","M. Sobral","1985","12",NA,"Brazil","Rio Grande do Sul","Jaguari","-54.6897","-29.4975",NA,NA,"NY00498547","NY00498547_01","M. Sobral",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742463' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"4619","Gruta Linha Um, Jaguari",NA,"South America","sheet",NA,"Pinophyta","Podocarpales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","498535","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","lambertii","Podocarpus lambertii","Klotzsch ex Endl.","D. R. Hunt","1966","07","19","Brazil","Santa Catarina",NA,NA,NA,NA,NA,"NY00498535","NY00498535_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742489' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"6382","Serra Geral, between Bom Jardim and Sao Joaquim",NA,"South America","sheet",NA,"Pinophyta","Podocarpales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","498543","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","lambertii","Podocarpus lambertii","Klotzsch ex Endl.","R. A. Wasum","1999","12","17","Brazil","Rio Grande do Sul","Jaquirana","-50.63","-28.7583",NA,NA,"NY00498543","NY00498543_01","S. F. Smith","830","830","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742473' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"359","Barra do Arroio dos Novilhos",NA,"South America","sheet",NA,"Pinophyta","Podocarpales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","498530","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","lambertii","Podocarpus lambertii","Klotzsch ex Endl.","R. Kummrow","1975","02","14","Brazil","Paraná","Colombo","-49.2242","-25.2919",NA,NA,"NY00498530","NY00498530_01","G. G. Hatschbach",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742482' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"905","Ressaca",NA,"South America","sheet",NA,"Pinophyta","Podocarpales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","498531","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","lambertii","Podocarpus lambertii","Klotzsch ex Endl.","G. G. Hatschbach","1971","11","04","Brazil","Paraná","Colombo","-49.156082","-25.257884",NA,NA,"NY00498531","NY00498531_01","G. G. Hatschbach",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742481' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"27636","Capivari",NA,"South America","sheet",NA,"Pinophyta","Podocarpales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","498540","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","lambertii","Podocarpus lambertii","Klotzsch ex Endl.","F. C. Hoehne","1920","11","19","Brazil","São Paulo","Sao Paulo","-46.63","-23.5403",NA,NA,"NY00498540","NY00498540_01","F. C. Hoehne",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742478' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"4628","Ypiranga",NA,"South America","sheet",NA,"Pinophyta","Podocarpales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","2063277","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","lambertii","Podocarpus lambertii","Klotzsch ex Endl.","R. M. Harley","1992","02","14","Brazil","Bahia","Abaíra","-41.92","-13.25",NA,NA,"NY02063277","NY02063277_01",NA,"1780","1780","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2364926' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"H52037","Campo do Cigano",NA,"South America","sheet",NA,"Pinophyta","Podocarpales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","2063279","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","lambertii","Podocarpus lambertii","Klotzsch ex Endl.","R. M. Harley","1992","02","14","Brazil","Bahia","Abaíra","-41.92","-13.25",NA,NA,"NY02063279","NY02063279_01",NA,"1780","1780","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2364929' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"H52037","Campo do Cigano",NA,"South America","sheet",NA,"Pinophyta","Podocarpales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","622051","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","lambertii","Podocarpus lambertii","Klotzsch ex Endl.","R. M. Harley","1992","01","02","Brazil","Bahia","Abaíra","-41.9","-13.3",NA,NA,"NY00622051","NY00622051_01","A. K. Farjon","1600","1700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742484' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"H50620","Mata do Barbado",NA,"South America","sheet",NA,"Pinophyta","Podocarpales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","498536","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","lambertii","Podocarpus lambertii","Klotzsch ex Endl.","L. R. Landrum","1977","11","22","Brazil","Santa Catarina","Lajes","-50.33","-27.83",NA,NA,"NY00498536","NY00498536_01","G. G. Hatschbach","1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742483' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"2691","Ca 18 km south of Lajes along highway",NA,"South America","sheet",NA,"Pinophyta","Podocarpales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","498533","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","lambertii","Podocarpus lambertii","Klotzsch ex Endl.","D. R. Hunt","1966","07","19","Brazil","Santa Catarina",NA,NA,NA,NA,NA,"NY00498533","NY00498533_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742488' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"6382","Serra Geral, between Bom Jardim and Sao Joaquim",NA,"South America","sheet",NA,"Pinophyta","Podocarpales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","498541","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","lambertii","Podocarpus lambertii","Klotzsch ex Endl.","R. A. Wasum","1988","06","15","Brazil","Rio Grande do Sul","Caxias do Sul","-51.094927","-29.108528",NA,NA,"NY00498541","NY00498541_01","S. F. Smith","700","700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742468' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"s.n.","Caxias do Sul - Ana Rech - Faxinal",NA,"South America","sheet",NA,"Pinophyta","Podocarpales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","621797","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","lambertii","Podocarpus lambertii","Klotzsch ex Endl.","M. Alves","2001","01","09","Brazil","Minas Gerais","Santana do Riacho","-43.7142","-19.1692",NA,NA,"NY00621797","NY00621797_01",NA,"1300","1400","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=440848' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"2186","APA da Serra do Cipó, estrada para Conceiçao do Mato Dentro, entrada para a Cachoeira da Capivara",NA,"South America","sheet",NA,"Pinophyta","Podocarpales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","498532","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","lambertii","Podocarpus lambertii","Klotzsch ex Endl.","G. G. Hatschbach","1966","11","06","Brazil","Paraná","Balsa Nova","-49.769797","-25.530491",NA,NA,"NY00498532","NY00498532_01","L. B. Smith; S. F. Smith",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742465' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"15060","Tamandua",NA,"South America","sheet",NA,"Pinophyta","Podocarpales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","498539","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","lambertii","Podocarpus lambertii","Klotzsch ex Endl.","B. D. Sucre","1968","05","07","Brazil","São Paulo",NA,"-44.601599","-22.775231",NA,NA,"NY00498539","NY00498539_01","B. D. Sucre","1300","1300","Amostra de madeira, frutos na carpoteca, muda para J. Bot <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742475' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"2943","Reserva Florestal da Bocaina, Posses",NA,"South America","sheet",NA,"Pinophyta","Podocarpales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","498538","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","lambertii","Podocarpus lambertii","Klotzsch ex Endl.","R. A. Wasum","1992","10","27","Brazil","São Paulo",NA,"-45.614319","-22.744151",NA,NA,"NY00498538","NY00498538_01","S. F. Smith","1650","1650","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742469' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"s.n.","Campos do Jordao - Santa Cruz",NA,"South America","sheet",NA,"Pinophyta","Podocarpales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","498529","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","lambertii","Podocarpus lambertii","Klotzsch ex Endl.","L. B. Smith","1965","01","22","Brazil","Paraná","Lapa","-49.73","-25.8",NA,NA,"NY00498529","NY00498529_01","L. B. Smith","900","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742479' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"14992","Fazendinha, Rio Passa Dois, 12-15 km southwest of Lapa",NA,"South America","sheet",NA,"Pinophyta","Podocarpales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","778419","PreservedSpecimen","Plantae","Podocarpaceae","Podocarpus","lambertii","Podocarpus lambertii","Klotzsch ex Endl.","A. M. Giulietti","1995","06","05","Brazil","São Paulo",NA,NA,NA,NA,NA,"NY00778419","NY00778419_01","R. J. F. Garcia",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=794053' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"1103","Mun. Piquete. Margem da estrada Piquete - Campos do Jordao Sao Francisco dos Campos a 15 km do Posto Rodoviário do entrocamento com a rodovia.",NA,"South America","sheet",NA,"Pinophyta","Podocarpales",NA,NA,NA,NA,NA,NA,NA,NA,NA
