"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","yearIdentified","monthIdentified","locality","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","continentOcean","preparationType","previousCatalogNumber","minimumElevationInMeters","maximumElevationInMeters","typeStatus","infraspecificEpithet","dayIdentified","class","relatedCatalogItem","fieldNumber","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","03857222","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","foliosa","Utricularia foliosa","L.",NA,"M. A. Lewis","1990","09","15","Bolivia","Santa Cruz","Ñuflo de Chávez","-62.75","-14.75",NA,NA,"NY03857222",NA,"Magnoliophyta","Lamiales",NA,NA,"Perseverancia - Vicinity of Perseverancia, on the banks of the rio Negro 6.0 - 15.0 km down river from the station. N of Santa Cruz 320 km",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4133898' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"37680","South America","sheet",NA,"250",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","01173335","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","foliosa","Utricularia foliosa","L.","P. C. Baleeiro S.","L. V. Ferreira",NA,NA,NA,"Brazil","Amazonas",NA,NA,NA,NA,NA,"NY01173335","NY01173335_01","Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1388347' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"227","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","929820","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","foliosa","Utricularia foliosa","L.","P. G. Taylor","P. von Luetzelburg","1914","08",NA,"Brazil","Piauí","Campo Grande do Piauí","-41.0358","-7.1319",NA,NA,"NY00929820","NY00929820_01","Magnoliophyta","Lamiales",NA,NA,"Lagoa Campo Grande. Caatinga zone.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998040' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"358","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","3857277","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","foliosa","Utricularia foliosa","L.",NA,"J. A. Steyermark","1960","11","09","Venezuela","Delta Amacuro",NA,NA,NA,NA,NA,"NY03857277",NA,"Magnoliophyta","Lamiales",NA,NA,"Downstream from mouth of Yarakita River. Rio, Amacuro, Venezuela-British Guiana frontier. Sierra Imataca",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4133970' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"87476","South America","sheet",NA,"65","80",NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","01173232","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","foliosa","Utricularia foliosa","L.","P. G. Taylor","J. M. Pires",NA,NA,NA,"Brazil","Amapá",NA,NA,NA,NA,NA,"NY01173232","NY01173232_01","Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387545' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"52474","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","3857268","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","foliosa","Utricularia foliosa","L.",NA,"S. McDaniel","1980","05","20","Peru","Loreto","Maynas",NA,NA,NA,NA,"NY03857268",NA,"Magnoliophyta","Lamiales",NA,NA,"Dtto. Iquitos. Río Mapa Cocha",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4133961' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"23766","South America","sheet",NA,"100",NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","686992","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","foliosa","Utricularia foliosa","L.",NA,"R. M. Harley","1980","04","16","Brazil","Bahia",NA,"-43.22","-13.38",NA,NA,"NY00686992","NY00686992_01","Magnoliophyta","Lamiales",NA,NA,"Basin of the Upper São Francisco River. Ca. 28 km SE of Bom Jesus da Lapa, on the Caitité road. F4",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=847614' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"21433","South America","sheet",NA,"500","500",NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","929819","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","foliosa","Utricularia foliosa","L.","C. S. Rosário","L. M. M. Carreira","1983","05","08","Brazil","Mato Grosso","Vila Bela de Santíssima Trindade",NA,NA,NA,NA,"NY00929819","NY00929819_01","Magnoliophyta","Lamiales",NA,NA,"Vila Bela da SS. Trindade, Estrada para Fazenda Formosa, Km 12.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998034' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"926","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","929816","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","foliosa","Utricularia foliosa","L.","L. B. Smith","F. E. Drouet","1935","11","07","Brazil","Ceará","Maranguape","-38.6856","-3.8908",NA,NA,"NY00929816","NY00929816_01","Magnoliophyta","Lamiales",NA,NA,"South end of Lagoa Jarí",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998022' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"2687","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","1759002","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","foliosa","Utricularia foliosa","L.","L.A. Gomes","A. P. do N. Prata","2010","07","04","Brazil","Sergipe","Santa Luzia do Itanhy","-37.4372","-11.35175",NA,NA,"NY01759002","NY01759002_01","Magnoliophyta","Lamiales",NA,NA,"RPPN Mata do Crasto, Borda da Mata. Pequeno Vale de Águas Lênticas.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2046860' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"2297","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","01173241","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","foliosa","Utricularia foliosa","L.","P. G. Taylor","C. C. Berg","1973","08","26","Brazil","Amazonas",NA,"-62.0761","-4.6608",NA,NA,"NY01173241","NY01173241_01","Magnoliophyta","Lamiales",NA,NA,"Paraná do Autaz-Mirim, Lago do Caioé.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387569' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"P19745","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","3857250","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","foliosa","Utricularia foliosa","L.",NA,"J. S. de la Cruz","1922","09","03","Guyana",NA,NA,NA,NA,NA,NA,"NY03857250",NA,"Magnoliophyta","Lamiales",NA,NA,"Vicinity of Bartica, on the Essequibo River",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4133943' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"1942","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","01173242","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","foliosa","Utricularia foliosa","L.","P. G. Taylor","D. G. Campbell","1974","04","21","Brazil","Amazonas","Maués","-57.71833","-3.38361",NA,NA,"NY01173242","NY01173242_01","Magnoliophyta","Lamiales",NA,NA,"In front of Guaraná factory.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387571' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"P22046","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","929817","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","foliosa","Utricularia foliosa","L.","L. B. Smith","F. E. Drouet","1935","10","24","Brazil","Ceará","Fortaleza","-38.5431","-3.7172",NA,NA,"NY00929817","NY00929817_01","Magnoliophyta","Lamiales",NA,NA,"Lagoa Piauí, Mecejana",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998023' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"2650","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","929813","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","foliosa","Utricularia foliosa","L.","J. A. Kallunki","G. T. Prance","1979","06","15","Brazil","Mato Grosso",NA,NA,NA,NA,NA,"NY00929813","NY00929813_01","Magnoliophyta","Lamiales",NA,NA,"Transpantaneira Highway, Fazenda Jofre",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998010' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"26232","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","3857224","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","foliosa","Utricularia foliosa","L.",NA,"A. Fuentes C.","1995","06","04","Bolivia","Santa Cruz","Andrés Ibáñez","-80.5333","-47.1667",NA,NA,"NY03857224",NA,"Magnoliophyta","Lamiales",NA,NA,"municipio Ayacucho (Porongo). Laguna Capibara y alrededores, aproximadamente a 7 km al W de Santa Cruz",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4133900' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"711","South America","sheet",NA,"440",NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","01173240","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","foliosa","Utricularia foliosa","L.",NA,"R. Spruce",NA,NA,NA,"Brazil","Pará",NA,NA,NA,NA,NA,"NY01173240","NY01173240_01","Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387567' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"310","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","01173344","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","foliosa","Utricularia foliosa","L.","P. C. Baleeiro S.","S. Tsugaru",NA,NA,NA,"Brazil","Amazonas",NA,NA,NA,NA,NA,"NY01173344","NY01173344_01 NY01173344_02","Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1388363' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"B-996","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","01173239","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","foliosa","Utricularia foliosa","L.","P. G. Taylor","G. T. Prance","1971","09","18","Brazil","Amazonas",NA,"-61.37","-3.63",NA,NA,"NY01173239","NY01173239_01","Magnoliophyta","Lamiales",NA,NA,"Rio Solimoes, Iauara",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387563' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"14748","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","1145103","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","foliosa","Utricularia foliosa","L.","P. G. Taylor","P. J. Edwards","1987","03","06","Brazil","Roraima","Alto Alegre","-61.4975","2.8958",NA,NA,"NY01145103",NA,"Magnoliophyta","Lamiales",NA,NA,"Reserva ecológica de Maracá. Borrow pit linear pond, NW part. Secretária Especial do Meio Ambiente (SEMA) research station.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1305792' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"2474","South America","sheet",NA,"80","80",NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","00400670","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","foliosa","Utricularia foliosa","L.","P. G. Taylor","A. J. Henderson","1985","05","15","Brazil","Amazonas",NA,"-62.83","-7.33",NA,NA,"NY00400670","NY00400670_01","Magnoliophyta","Lamiales",NA,NA,"Humaitá, right bank of Rio Madeira, Lago do Purusinho, 1 1/2 hours north from Humaitá",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=592418' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"464","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","01173238","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","foliosa","Utricularia foliosa","L.","P. G. Taylor","G. T. Prance","1971","06","19","Brazil","Amazonas",NA,"-62.878443","-4.995765",NA,NA,"NY01173238","NY01173238_01","Magnoliophyta","Lamiales",NA,NA,"Rio Purus between Campina and Tambaqui.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387561' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"13397","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","929815","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","foliosa","Utricularia foliosa","L.","L. B. Smith","F. E. Drouet","1935","10","14","Brazil","Ceará","Maranguape","-38.6856","-3.8908",NA,NA,"NY00929815","NY00929815_01","Magnoliophyta","Lamiales",NA,NA,"Kagado",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998019' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"2609","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","3857282","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","foliosa","Utricularia foliosa","L.",NA,"R. L. Liesner","1981","04","09","Venezuela","Bolívar",NA,"-63.28","7.47",NA,NA,"NY03857282",NA,"Magnoliophyta","Lamiales",NA,NA,"5 km north of Ciudad Piar. Pond formed by road damming morichal",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4133975' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"11428","South America","sheet",NA,"350",NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","01091770","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","foliosa","Utricularia foliosa","L.","C. M. Panfet-Valdés","J. G. Jardim","2001","04","02","Brazil","Bahia","Malhada","-43.7539","-14.3617",NA,NA,"NY01091770","NY01091770_01","Magnoliophyta","Lamiales",NA,NA,"Rod. para o Distrito de Cana Brava, 3.5 k ao S da cidade. Áreas alagadiças dos Baixadões do Rio São Francisco",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1217301' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"3392","South America","sheet",NA,"450","450",NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","3857226","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","foliosa","Utricularia foliosa","L.",NA,"N. Ritter","1998","12","07","Bolivia","Santa Cruz","Angel Sandoval","-57.9481","-17.67",NA,NA,"NY03857226",NA,"Magnoliophyta","Lamiales",NA,NA,"Puesto Gonzalo. Situated along a side channel of the Río Pando, near to the Bolivian-Brazilian border",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4133902' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"4502","South America","sheet",NA,"90",NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","3857251","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","foliosa","Utricularia foliosa","L.",NA,"J. S. de la Cruz","1927","07",NA,"Guyana","Pomeroon-Supenaam",NA,NA,NA,NA,NA,"NY03857251",NA,"Magnoliophyta","Lamiales",NA,NA,"Moruka River",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4133944' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"4513","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","01173245","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","foliosa","Utricularia foliosa","L.","P. G. Taylor","G. A. Black",NA,NA,NA,"Brazil","Pará",NA,NA,NA,NA,NA,"NY01173245","NY01173245_01","Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387577' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"48-2214","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","929818","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","foliosa","Utricularia foliosa","L.","L. B. Smith; D. H. Nicolson","G. Eiten","1962","05","22","Brazil","Maranhão","Lorêto","-45.1408","-7.0844",NA,NA,"NY00929818","NY00929818_01","Magnoliophyta","Lamiales",NA,NA,"Ilha de Balsas region between the Balsas & Parnaíba Rivers. Ca. 35 km S of Lorêto. 3 km E of main house of Fazenda Morros, at dammed pond of Sambaíba:.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998026' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"4635","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","01173243","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","foliosa","Utricularia foliosa","L.","N. A. Rosa","N. A. Rosa",NA,NA,NA,"Brazil","Amapá",NA,NA,NA,NA,NA,"NY01173243","NY01173243_01","Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387573' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"4303","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","3857278","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","foliosa","Utricularia foliosa","L.",NA,"G. S. Bunting","1981","07","07","Venezuela","Zulia","Mara",NA,NA,NA,NA,"NY03857278",NA,"Magnoliophyta","Lamiales",NA,NA,"vía que conduce entre Carrasquero y Playa Bonita, al borde de la vía, en zona de bosque deciduo ahora muy alterado",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4133971' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"9965","South America","sheet",NA,NA,"50",NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","400663","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","foliosa","Utricularia foliosa","L.","P. G. Taylor","R. M. Harley","1974","02","07","Brazil","Bahia",NA,"-41.42","-13.03",NA,NA,"NY00400663","NY00400663_01","Magnoliophyta","Lamiales",NA,NA,"9 km SW of Mucugé, on road from Cascavel.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=592420' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"16117","South America","sheet",NA,"950","950",NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","01173234","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","foliosa","Utricularia foliosa","L.","P. G. Taylor","G. Martinelli",NA,NA,NA,"Brazil","Pará",NA,NA,NA,NA,NA,"NY01173234","NY01173234_01","Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387550' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"7378","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
