"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relationshipType","relatedCatalogItem","individualCount","fieldNumber","minimumDepthInMeters","maximumDepthInMeters"
"11","2021-02-08 11:08:59-03","UNESP-IBB","BOTU","15624","PreservedSpecimen","Plantae","Fabaceae","Ulex","europaeus","Ulex europaeus","L.",NA,NA,NA,NA,"Amaral Jr., A.","99","1982","02","17","Brasil","São Paulo","Campos do Jordão",NA,"-45.5","-22.751389","45°30'w","22°45'5s",NA,NA,NA,"BOTU015624",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-06-29 11:30:46-03","UFRJ","RFA","28062","PreservedSpecimen","Plantae","Fabaceae","Ulex","europaeus","Ulex europaeus","L.","L. B. Smith",NA,NA,NA,"H. P. Veloso",NA,"1960","04","06","Brasil","Paraná","Ponta Grossa",NA,"-50.1618995666504","-25.0949993133545",NA,NA,NA,NA,"Flores amarelas","RFA19890",NA,NA,NA,NA,NA,"46557","auto",NA,NA,NA,NA,NA,NA,NA
"13","2020-11-24 17:10:44-03","UTFPR","DVPR","3494","PreservedSpecimen","Plantae","Fabaceae","Ulex","europaeus","Ulex europaeus","L.","Kranz, WM","2002","10","29","Kranz, WM; Cassiano, J","810","2002","10","29","Brasil","Paraná","Palmeira","Witmarsum","-50.0064010620117","-25.4293994903564",NA,NA,NA,NA,"Arbusto invasora exótica, 2,5 m alt., flor amarela, fruto preto.; Campo nativo","DVPR003494",NA,"Magnoliophyta",NA,NA,NA,"35166","auto",NA,NA,NA,NA,NA,NA,NA
"14","2021-04-08 17:42:10-03","EAO","IAN","45417","PreservedSpecimen","Plantae","Leguminosae-Pap.","Ulex","europaeus","Ulex europaeus","L.",NA,NA,NA,NA,"Black, GA","4734","1940","03","18","Estados Unidos","Califórnia",NA,"Sonora.",NA,NA,NA,NA,NA,NA,"Arbusto.","IAN045417",NA,"Dicotiledônea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-04-08 17:42:10-03","EAO","IAN","59220","PreservedSpecimen","Plantae","Leguminosae-Pap.","Ulex","europaeus","Ulex europaeus","L.",NA,NA,NA,NA,"Rambo, B","47165","1950","06","21","Brasil","Rio Grande do Sul",NA,"Piaí, próx. Caxias.",NA,NA,NA,NA,NA,NA,NA,"IAN059220",NA,"Dicotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-02-27 21:09:09-03","PUCPR","HUCP","1330","S","Plantae","Fabaceae","Ulex","europaeus","Ulex europaeus","Bittencourt","Acra, LA","1984","09","08","Campello, R","s.n.",NA,NA,NA,"Brasil","Paraná","Castro","Fazenda Boa Vista","-50.0119018554688","-24.7910995483398",NA,NA,NA,NA,NA,"HUCP00011877","HUCP00011877","Eudicotiledonea",NA,NA,NA,"50779","auto",NA,NA,NA,NA,NA,NA,NA
"17","2020-02-27 21:09:09-03","PUCPR","HUCP","11760","S","Plantae","Fabaceae","Ulex","europaeus","Ulex europaeus","Bittencourt","Oliveira, VC",NA,NA,NA,"Vieira, A","024","1996","08","08","Brasil","Paraná","Curitiba",NA,"-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,"HUCP00011918","HUCP00011918","Eudicotiledonea",NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA
"18","2020-02-27 21:09:09-03","PUCPR","HUCP","1206","S","Plantae","Fabaceae","Ulex","europaeus","Ulex europaeus","Bittencourt","Acra, LA","1984","10","24","Miranda, EJ","021",NA,NA,NA,"Brasil","Paraná","Curitiba","Parque Barigui","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,"HUCP00011866","HUCP00011866","Eudicotiledonea",NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA
"19","2020-02-27 21:09:09-03","PUCPR","HUCP","12705","S","Plantae","Fabaceae","Ulex","europaeus","Ulex europaeus","Bittencourt","Jaszczerski, JC",NA,NA,NA,"Martins, LM","012","2000","05","13","Brasil","Paraná","Curitiba","Parque Iguaçu","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,"HUCP00011981","HUCP00011981","Eudicotiledonea",NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA
"20","2020-02-27 21:09:09-03","PUCPR","HUCP","12892","S","Plantae","Fabaceae","Ulex","europaeus","Ulex europaeus","Bittencourt","Libsch, D",NA,NA,NA,"Silva, GM","024","1999","05","22","Brasil","Paraná","Curitiba","Parque Iguaçu","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,"HUCP00011375","HUCP00011375","Eudicotiledonea",NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA
"21","2020-02-27 21:09:09-03","PUCPR","HUCP","15476","S","Plantae","Fabaceae","Ulex","europaeus","Ulex europaeus","Bittencourt","Jaszczerski, JC",NA,NA,NA,"Souza, AR","014","2000","05","28","Brasil","Paraná","Curitiba","Quartel do Boqueirão","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,"HUCP00011970","HUCP00011970","Eudicotiledonea",NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA
"22","2020-02-27 21:09:09-03","PUCPR","HUCP","6570","S","Plantae","Fabaceae","Ulex","europaeus","Ulex europaeus","Bittencourt",NA,NA,NA,NA,"Koproviski, R","002","1984","09","16","Brasil","Paraná","Curitiba","Rua Vicente Machado","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,"HUCP00011273","HUCP00011273","Eudicotiledonea",NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA
"23","2020-02-27 21:09:09-03","PUCPR","HUCP","12704","S","Plantae","Fabaceae","Ulex","europaeus","Ulex europaeus","Bittencourt","Jaszczerski, JC",NA,NA,NA,"Negri, MFN","007","2000","05","13","Brasil","Paraná","Piraquara",NA,"-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,NA,"HUCP00011933","HUCP00011933","Eudicotiledonea",NA,NA,NA,"12577","auto",NA,NA,NA,NA,NA,NA,NA
"24","2020-02-27 21:09:09-03","PUCPR","HUCP","4578","S","Plantae","Fabaceae","Ulex","europaeus","Ulex europaeus","Bittencourt","Jaszczerski, JC","1990","10","06","Wisniewska.;","020",NA,NA,NA,"Brasil","Paraná","Piraquara",NA,"-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,NA,"HUCP00012040","HUCP00012040","Eudicotiledonea",NA,NA,NA,"12577","auto",NA,NA,NA,NA,NA,NA,NA
"25","2020-02-27 21:09:09-03","PUCPR","HUCP","22571","S","Plantae","Fabaceae","Ulex","europaeus","Ulex europaeus","Bittencourt","Belão, M",NA,NA,NA,"Belão, M","010","2011","04","24","Brasil","Paraná","Piraquara","Laranjeiras","-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,NA,"HUCP00011205","HUCP00011205","Eudicotiledonea",NA,NA,NA,"12577","auto",NA,NA,NA,NA,NA,NA,NA
"26","2020-02-27 21:09:09-03","PUCPR","HUCP","1791","S","Plantae","Fabaceae","Ulex","europaeus","Ulex europaeus","Bittencourt","Jaszczerski, JC","1988","10","30","Chules, MR","003",NA,NA,NA,"Brasil","Paraná","São José dos Pinhais","Centro","-49.2064018249512","-25.5347003936768",NA,NA,NA,NA,NA,"HUCP00011929","HUCP00011929","Eudicotiledonea",NA,NA,NA,"45291","auto",NA,NA,NA,NA,NA,NA,NA
"27","2020-02-27 21:09:09-03","PUCPR","HUCP","15951","S","Plantae","Fabaceae","Ulex","europaeus","Ulex europaeus","Bittencourt","Selusniaki, M",NA,NA,NA,"Selusniaki, M","101","2004","09","07","Brasil","Paraná","Curitiba","Cidade Industrial","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,"HUCP00011936","HUCP00011936","Eudicotiledonea",NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA
"28","2020-02-27 21:09:09-03","PUCPR","HUCP","4522","S","Plantae","Fabaceae","Ulex","europaeus","Ulex europaeus","Bittencourt","Jaszczerski, JC","1991","05","14","Abrata, LF","004",NA,NA,NA,"Brasil","Paraná","Curitiba","Guabirotuba","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,"HUCP00011911","HUCP00011911","Eudicotiledonea",NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA
"29","2020-02-27 21:09:09-03","PUCPR","HUCP","1270","S","Plantae","Fabaceae","Ulex","europaeus","Ulex europaeus","Bittencourt","Acra, LA","1986","10","18","Passos, SR","009",NA,NA,NA,"Brasil","Paraná","Curitiba","Pilarzinho","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,"HUCP00011423","HUCP00011423","Eudicotiledonea",NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA
"30","2020-02-27 21:09:09-03","PUCPR","HUCP","4610","S","Plantae","Fabaceae","Ulex","europaeus","Ulex europaeus","Bittencourt","Jaszczerski, JC","1987","10","16","Sens, SL","006",NA,NA,NA,"Brasil","Paraná","Morretes","Estrada da Graciosa","-48.834400177002","-25.476900100708",NA,NA,NA,NA,NA,"HUCP00011910","HUCP00011910","Eudicotiledonea",NA,NA,NA,"30514","auto",NA,NA,NA,NA,NA,NA,NA
"31","2020-02-27 21:09:09-03","PUCPR","HUCP","3767","S","Plantae","Fabaceae","Ulex","europaeus","Ulex europaeus","Bittencourt","Jaszczerski, JC","1990","05","06","Baggio, R","s.n.",NA,NA,NA,"Brasil","Paraná","Piraquara",NA,"-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,NA,"HUCP00011973","HUCP00011973","Eudicotiledonea",NA,NA,NA,"12577","auto",NA,NA,NA,NA,NA,NA,NA
"32","2020-02-27 21:09:09-03","PUCPR","HUCP","5912","S","Plantae","Fabaceae","Ulex","europaeus","Ulex europaeus","Bittencourt","Jaszczerski, JC",NA,NA,NA,"Bertassoni, L","008","1989","08","21","Brasil","Paraná","Piraquara",NA,"-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,NA,"HUCP00011962","HUCP00011962","Eudicotiledonea",NA,NA,NA,"12577","auto",NA,NA,NA,NA,NA,NA,NA
"33","2020-02-27 21:09:09-03","PUCPR","HUCP","3895","S","Plantae","Fabaceae","Ulex","europaeus","Ulex europaeus","Bittencourt","Jaszczerski, JC","1990","05","20","Palmiquist, ACS","002",NA,NA,NA,"Brasil","Paraná","Piraquara","Chácara Oito Irmãos","-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,NA,"HUCP00011985","HUCP00011985","Eudicotiledonea",NA,NA,NA,"12577","auto",NA,NA,NA,NA,NA,NA,NA
"34","2020-02-27 21:09:09-03","PUCPR","HUCP","12718","S","Plantae","Fabaceae","Ulex","europaeus","Ulex europaeus","Bittencourt","Acra, LA",NA,NA,NA,"Silva, A","011","2000","06","20","Brasil","Paraná","São José dos Pinhais",NA,"-49.2064018249512","-25.5347003936768",NA,NA,NA,NA,NA,"HUCP00011257","HUCP00011257","Eudicotiledonea",NA,NA,NA,"45291","auto",NA,NA,NA,NA,NA,NA,NA
"35","2020-02-27 21:09:09-03","PUCPR","HUCP","1310","S","Plantae","Fabaceae","Ulex","europaeus","Ulex europaeus","Bittencourt","Jaszczerski, JC","1986","08","17","Becker, LH","002",NA,NA,NA,"Brasil","Paraná","São José dos Pinhais",NA,"-49.2064018249512","-25.5347003936768",NA,NA,NA,NA,NA,"HUCP00011859","HUCP00011859","Eudicotiledonea",NA,NA,NA,"45291","auto",NA,NA,NA,NA,NA,NA,NA
"36","2020-02-27 21:09:09-03","PUCPR","HUCP","12237","S","Plantae","Fabaceae","Ulex","europaeus","Ulex europaeus","Bittencourt","Jaszczerski, JC",NA,NA,NA,"Possebon, GC","003","1999","05","22","Brasil","Paraná","Campo Magro","Campo ao lado da estrada.","-49.4514007568359","-25.3686008453369",NA,NA,NA,NA,NA,"HUCP00011846","HUCP00011846","Eudicotiledonea",NA,NA,NA,"24260","auto",NA,NA,NA,NA,NA,NA,NA
"37","2020-02-27 21:09:09-03","PUCPR","HUCP","4124","S","Plantae","Fabaceae","Ulex","europaeus","Ulex europaeus","Bittencourt","Goltz, M","1985","10","29","Goltz, M","014",NA,NA,NA,"Brasil","Paraná","Curitiba","Jardim Schaffer","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,"HUCP00011963","HUCP00011963","Eudicotiledonea",NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA
"38","2020-02-27 21:09:09-03","PUCPR","HUCP","6483","S","Plantae","Fabaceae","Ulex","europaeus","Ulex europaeus","Bittencourt",NA,NA,NA,NA,"Rodrigues, AC","001","1984","08","23","Brasil","Paraná","Morretes","Estrada da Graciosa, Ao lado do Parque Castelo Branco.","-48.834400177002","-25.476900100708",NA,NA,NA,NA,NA,"HUCP00011966","HUCP00011966","Eudicotiledonea",NA,NA,NA,"30514","auto",NA,NA,NA,NA,NA,NA,NA
"39","2020-02-27 21:09:09-03","PUCPR","HUCP","4583","S","Plantae","Fabaceae","Ulex","europaeus","Ulex europaeus","Bittencourt","Jaszczerski, JC","1990","05","20","Soares, JF","s.n.",NA,NA,NA,"Brasil","Paraná","Piraquara","Chácara Oito Irmãos","-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,NA,"HUCP00011858","HUCP00011858","Eudicotiledonea",NA,NA,NA,"12577","auto",NA,NA,NA,NA,NA,NA,NA
"40","2020-02-27 21:09:09-03","PUCPR","HUCP","17334","S","Plantae","Fabaceae","Ulex","europaeus","Ulex europaeus","Bittencourt","Selusniaki, M",NA,NA,NA,NA,"012","2005","10","02","Brasil","Paraná","São José dos Pinhais",NA,"-49.2064018249512","-25.5347003936768",NA,NA,NA,NA,NA,"HUCP00011884","HUCP00011884","Eudicotiledonea",NA,NA,NA,"45291","auto",NA,NA,NA,NA,NA,NA,NA
"41","2020-02-27 21:09:09-03","PUCPR","HUCP","17410","S","Plantae","Fabaceae","Ulex","europaeus","Ulex europaeus","Bittencourt","Jaszczerski, JC",NA,NA,NA,"Goncho, M","034","1999","07","09","Brasil","Paraná","São José dos Pinhais",NA,"-49.2064018249512","-25.5347003936768",NA,NA,NA,NA,NA,"HUCP00011988","HUCP00011988","Eudicotiledonea",NA,NA,NA,"45291","auto",NA,NA,NA,NA,NA,NA,NA
"42","2020-02-27 21:09:09-03","PUCPR","HUCP","6569","S","Plantae","Fabaceae","Ulex","europaeus","Ulex europaeus","Bittencourt","Juliato, E",NA,NA,NA,"Juliato, E","013","1985","05","12","Brasil","Paraná","São José dos Pinhais","Colônia Mergulhão","-49.2064018249512","-25.5347003936768",NA,NA,NA,NA,NA,"HUCP00012018","HUCP00012018","Eudicotiledonea",NA,NA,NA,"45291","auto",NA,NA,NA,NA,NA,NA,NA
"43","2021-02-08 21:32:23-03","UFBA","ALCB","12815","PreservedSpecimen","Plantae","Fabaceae","Ulex","europaeus","Ulex europaeus","L.",NA,NA,NA,NA,"s.col.","PHs/n","1827","04",NA,"Suiça",NA,"Zurich",NA,NA,NA,NA,NA,NA,NA,NA,"ALCB012996","ALCB012996","Dicotyledon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-02-08 21:32:23-03","UFBA","ALCB","13911","PreservedSpecimen","Plantae","Fabaceae","Ulex","europaeus","Ulex europaeus","L.",NA,NA,NA,NA,"s.col.","PHs/n","1827","04","19","França",NA,"Mendon",NA,NA,NA,NA,NA,NA,NA,NA,"ALCB014407","ALCB014407","Dicotyledon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2019-10-09 11:17:24-03","UFBA","ALCB","04983","PreservedSpecimen","Plantae","Fabaceae","Ulex","europaeus","Ulex europaeus","L.","Noblick, LR","1979","11",NA,"Gusmão, EF de","443","1976","10","10","Brasil","Paraná","Curitiba",NA,"-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,"ALCB033211","ALCB033211","Dicotyledon",NA,"Southern America",NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA
"46","2020-02-08 09:15:12-03","NBC","NL-BOTANY","AMD.85590","PreservedSpecimen","Plantae","Leguminosae-Pap.","Ulex","europaeus","Ulex europaeus","L.",NA,NA,NA,NA,"Herter WG",NA,"1931","09","06","Uruguay",NA,NA,"Dep. de San José, Dict. Rincón Gallinas.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/AMD.85590 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-AMD85590","NL-AMD85590",NA,"Fabales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"47","2020-02-08 09:15:12-03","NBC","NL-BOTANY","L.3889451","PreservedSpecimen","Plantae","Leguminosae-Pap.","Ulex","europaeus","Ulex europaeus","L.",NA,NA,NA,NA,"Scur L",NA,"1999","11","18","Brazil",NA,NA,"RS - Mun. de Caxias do Sul em beira da estrada.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3889451 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3889451","NL-L3889451",NA,"Fabales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"48","2020-02-08 09:15:12-03","NBC","NL-BOTANY","U.1345081","PreservedSpecimen","Plantae","Leguminosae-Pap.","Ulex","europaeus","Ulex europaeus","L.",NA,NA,NA,NA,"Unreadable",NA,"1969","01","26","Brazil",NA,NA,"São Francisco de Paula-RGS.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1345081 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1345081","NL-U1345081",NA,"Fabales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"49","2020-02-08 09:15:12-03","NBC","NL-BOTANY","U.1345082","PreservedSpecimen","Plantae","Leguminosae-Pap.","Ulex","europaeus","Ulex europaeus","L.",NA,NA,NA,NA,"Lindeman JC; Haas JH de",NA,"1966","09","12","Brazil",NA,NA,"Flora Brasiliae Australis. Est. Paraná. Curitiba; ruderal grassy place.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1345082 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1345082","NL-U1345082",NA,"Fabales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"50","2020-02-08 09:15:12-03","NBC","NL-BOTANY","U.1345084","PreservedSpecimen","Plantae","Leguminosae-Pap.","Ulex","europaeus","Ulex europaeus","L.",NA,NA,NA,NA,"Herter WG",NA,"1931","09","06","Uruguay",NA,NA,"Dep. de San José, Dict. Rincón Gallinas.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1345084 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1345084","NL-U1345084",NA,"Fabales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"51","2020-11-04 11:10:59-03","ESALQ","ESA","10971","PreservedSpecimen","Plantae","Fabaceae","Ulex","europaeus","Ulex europaeus","L.","Souza, V.C.","1993","08","20","Barreto, K.D. et al.","1061.0","1993","08","25","Brasil","São Paulo","Piracicaba",NA,"-47.6399993896484","-22.7199993133545",NA,NA,NA,NA,NA,"ESA010971","ESA010971","Magnoliophyta",NA,NA,NA,"44778","auto",NA,NA,NA,NA,NA,NA,NA
"52","2015-07-02 14:02:04-03","JBP","HPL","3691","S","Plantae","Fabaceae-Faboideae","Ulex","europaeus","Ulex europaeus","Brot","H. Lorenzi","2000","02","01","E.R. Salviani & H. Lorenzi","1279","2000","02","01","Brasil","RS","Pelotas","Coletada na periferia da cidade.","-52.3425","-31.7719",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51462","auto",NA,NA,NA,NA,NA,NA,NA
"53","2019-12-19 08:15:18-03","FPS","FPS","989","MachineObservation","Plantae","Fabaceae","Ulex","europaeus","Ulex europaeus","L.","Schwirkowski, P.","2015","10","30","Schwirkowski, P.","1254","2015","10","30","Brasil","Santa Catarina","São Bento do Sul","Bairro Progresso. Pátio da Associação dos Funcionários do SAMAE","-49.356181","-26.239998","-49.356181","-26.239998",NA,NA,"<ll>dwc_commonname:</ll> Tojo","FPS00989,FURB49322","FPS00989_v01 FPS00989_v02 FPS00989_v03 FPS00989_v04 FPS00989_v05 FPS00989_v06 FPS00989_v07 FURB49322",NA,NA,NA,NA,NA,NA,NA,"voucher","FURB 49322",NA,NA,NA,NA
"54","2019-02-22 11:47:09-03","IPA","IPA","11049","S","Plantae","Leguminosae-Pap.","Ulex","europaeus","Ulex europaeus","L.",NA,NA,NA,NA,"Andrade-Lima","57-2627","1957","04",NA,"Inglaterra","Surrey","Richmond","Sheen Common",NA,NA,NA,NA,NA,NA,"Arbusto 1,50m. Flor amarela","IPA0011049",NA,"Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","2019-02-22 11:47:09-03","IPA","IPA","51043","S","Plantae","Leguminosae-Pap.","Ulex","europaeus","Ulex europaeus","L.","Klein, R.M.","1981",NA,NA,"Coura Neto, A.B.; Moreno, J.A.; Moreno, J.A.","64","1980","11","06","Brasil","Rio Grande do Sul","Herval","Indo para Arroiio Grande, 5km após Herval","-53.3955993652344","-32.0236015319824",NA,NA,NA,NA,"Arbusto espinhoso com flores amarelas. Cultivado","IPA0051043",NA,"Plantae",NA,"Southern America",NA,"51680","auto",NA,NA,NA,NA,NA,NA,NA
