"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","dayIdentified","individualCount","class"
"11","2019-11-21 14:39:30-03","UFJF","CESJ","69301","PreservedSpecimen","Plantae","Angiosperma",NA,"Melastomataceae","Leandra","vesiculosa","Leandra vesiculosa","Cogn.","G.B. Oliveira; M.A. Manhães; A. Cabral; F.R.G. Salimena; P.H. Nobre","375","2017","02","18","América do Sul","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Nanofloresta Nebular, Gruta dos Três Arcos, 15-20m da entrada da gruta","-43.8825","-21.678056",NA,"Arbusto ca. 2 m, flor com cálice esverdeado, interior de mata","CESJ069301",NA,"L.L. Justino","1671","1671","2017",NA,NA,"06","-43.8825","-21.678056",NA,NA,NA,NA,NA
"12","2019-11-21 14:39:30-03","UFJF","CESJ","62632","PreservedSpecimen","Plantae","Angiosperma",NA,"Melastomataceae","Leandra","vesiculosa","Leandra vesiculosa","Cogn.","K. Antunes; R.J.V. Alves","440","2013","04","23","América do Sul","Brasil","Minas Gerais","Rio Preto","Serra Negra, Trilha para Antena","-43.8278007507324","-22.0891990661621",NA,"Árvore, 2,5m alt, na borda da mata nebular. Frutos imaturos verde e maduros roxo. Folhas discolores","CESJ062632",NA,"L.L. Justino",NA,NA,"2015","20815","auto","02",NA,NA,NA,NA,NA,NA,NA
"13","2019-11-21 14:39:30-03","UFJF","CESJ","68535","PreservedSpecimen","Plantae","Angiosperma",NA,"Melastomataceae","Leandra","vesiculosa","Leandra vesiculosa","Cogn.","B. Moreira; M.C. Delgado","201","2015","03","20","América do Sul","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Nanofloresta nebular, trilha da janela do céu, próxima ao areal","-43.878056","-21.679444",NA,"Árvore, ca. 3m, flor branca. Borda de mata","CESJ068535",NA,"B. Moreira","1600","1600","2016",NA,NA,NA,"-43.878056","-21.679444",NA,NA,NA,NA,NA
"14","2019-11-21 14:39:30-03","UFJF","CESJ","68580","PreservedSpecimen","Plantae","Angiosperma",NA,"Melastomataceae","Leandra","vesiculosa","Leandra vesiculosa","Cogn.","B. Moreira; L.C.D. Dias","246","2015","05","22","América do Sul","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Nanofloresta nebular, trilha da janela do céu, próxima ao areal","-43.878056","-21.679444",NA,"Arvoreta, frutos imaturos verdes, 3m. Interior de mata","CESJ068580",NA,"B. Moreira","1600","1600","2016",NA,NA,NA,"-43.878056","-21.679444",NA,NA,NA,NA,NA
"15","2016-07-27 15:43:08-03","MNHN","RECOLNAT_MNHN_P","P00115656","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Leandra","vesiculosa","Leandra vesiculosa","Cogn.","Glaziou, A.",NA,"1873","1","24",NA,"Brésil",NA,NA,"Rio de Janeiro, haut Itatiaia, dans les bois",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00115656' target='other'> <mi>dwc_moreinfo</mi></a>","P00115656","P00115656_01","Wurdack",NA,NA,NA,NA,NA,NA,NA,NA,"isotype","6527",NA,NA,NA
"16","2015-09-04 20:52:48-03","MNHN","RECOLNAT_MNHN_P","P00115657","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Leandra","vesiculosa","Leandra vesiculosa","Cogn.","Glaziou, A.",NA,"1873","1","24",NA,"Brésil",NA,NA,"Rio de Janeiro, haut Itatiaia, dans les bois",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00115657' target='other'> <mi>dwc_moreinfo</mi></a>","P00115657","P00115657_01","Wurdack",NA,NA,NA,NA,NA,NA,NA,NA,"isotype","6527",NA,NA,NA
"17","2021-02-11 17:19:50-03","UFPR","UPCB","62597","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Leandra","vesiculosa","Leandra vesiculosa","Cogn.","Viana, P.L.","3835","2008","03","11",NA,"Brasil","Minas Gerais","Aiuruoca","Parque Estadual do Papagaio, mata nebular no Retiro dos Pedros.","-44.666667","-22.05",NA,"Flores brancas..","UPCB0014687","UPCB0014687","Goldenberg, R.","1900","1900","2008",NA,NA,"01","-44.666667","-22.05",NA,NA,"01",NA,NA
"18","2021-02-11 17:19:50-03","UFPR","UPCB","84283","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Leandra","vesiculosa","Leandra vesiculosa","Cogn.","Reginato, M.","1447","2013","02","10",NA,"Brasil","Rio de Janeiro","Itatiaia","P. N. do Itatiaia, Agulhas negras","-44.62904","-22.385714",NA,"Arbusto 1,5m. Borda da Mata Nebular. Pétalas e estames alvos..","UPCB0014671","UPCB0014671",NA,NA,NA,NA,NA,NA,NA,"-44.62904","-22.385714",NA,NA,NA,NA,NA
"19","2021-02-11 17:19:50-03","UFPR","UPCB","93912","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Leandra","vesiculosa","Leandra vesiculosa","Cogn.","Braga, J. M. A.","2091","1995","02","17",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia. Estrada para Mirantão.","-44.5633010864258","-22.4960994720459",NA,"Mata alterada. Arbusto cerca de 3,5 metros de altura, umbrófilo. Folhas membranaceas. Flores alvas. Frutos imaturas verdes.","UPCB0041141","UPCB0041141","Baumgrats, J. F. A.",NA,NA,"2019","19648","auto",NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-02-11 17:19:50-03","UFPR","UPCB","72952","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Leandra","vesiculosa","Leandra vesiculosa","Cogn.","Reginato, M.","1345","2012","02","16",NA,"Brasil","Rio de Janeiro","Itatiaia","P.N. do Itatiaia. Trilha para o Agulhas Negras","-44.5633010864258","-22.4960994720459",NA,"Arbusto 2m. Flores com pétalas e estames alvos, borda da mata alto-montana.","UPCB0014686","UPCB0014686","Reginato, M.",NA,NA,"2012","19648","auto","03",NA,NA,NA,NA,"01",NA,NA
"21","2018-04-26 12:05:00-03","MO","MOBOT","101041803","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Leandra","vesiculosa","Leandra vesiculosa","Cogn.","Marcelo Reginato|F.S. Meyer","Reginato 1345","2012","2","16","South America","Brazil","Rio de Janeiro","Itatiaia","P.N. do Itatiaia, Agulhas Negras.","-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,"M. Reginato",NA,NA,NA,"19648","auto",NA,NA,NA,NA,NA,NA,"1",NA
"22","2018-04-26 13:18:00-03","MO","MOBOT","101041851","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Leandra","vesiculosa","Leandra vesiculosa","Cogn.","Marcelo Reginato|et al.","Reginato 1447","2013","2","10","South America","Brazil","Rio de Janeiro","Itatiaia","P.N. do Itatiaia, Agulhas Negras. -22.385714, -44.62904.","-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,"M. Reginato",NA,NA,NA,"19648","auto",NA,NA,NA,NA,NA,NA,"1",NA
"23","2019-08-06 13:26:00-03","MO","MOBOT","101147906","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","vesiculosa","Miconia vesiculosa","(Cogn.) R. Goldenb.","Auguste F.M. Glaziou","Glaziou 6527",NA,"1",NA,"South America","Brazil","Minas Gerais",NA,"Habitat in sylvis ad Serra d'ltatiaia",NA,NA,NA,NA,NA,NA,"fide Michelangeli et al.",NA,NA,NA,NA,NA,NA,NA,NA,"Original Material",NA,NA,"1",NA
"24","2020-09-12 05:00:02-03","US","US","1540548","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Leandra","vesiculosa","Leandra vesiculosa","Cogn.","L. B. Smith","1766","1929","1","9","South America - Neotropics","Brazil","Rio de Janeiro","Itatiaia","Vicinity of Macieiras, Mt. Itatiaya, Estação Biológica","-44.67","-22.43",NA,NA,"US01904797","US01904797_01 US01904797_02",NA,"1960",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae"
"25","2020-09-12 05:00:02-03","US","US","2755567","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Leandra","vesiculosa","Leandra vesiculosa","Cogn.","P. Occhioni","7038","1975","3","14","South America - Neotropics","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, estrada para o Planalto, km 14 próximo as macieiras","-44.5633010864258","-22.4960994720459",NA,NA,"US01904796","US01904796_01 US01904796_02",NA,NA,NA,NA,"19648","auto",NA,NA,NA,NA,NA,NA,"1","Dicotyledonae"
"26","2020-09-12 05:00:02-03","US","US","2623326","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Leandra","vesiculosa","Leandra vesiculosa","Cogn.","P. Campos Porto","2831","1936","1","15","South America - Neotropics","Brazil","Rio de Janeiro","Itatiaia","Retiro Serra Negra.","-44.5633010864258","-22.4960994720459",NA,NA,"US01904798","US01904798_01 US01904798_02",NA,NA,NA,NA,"19648","auto",NA,NA,NA,NA,NA,NA,"1","Dicotyledonae"
"27","2019-09-04 19:15:38-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Melastomataceae","Leandra","vesiculosa","Leandra vesiculosa",NA,"A. Glaziou","6527",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type [status unknown]",NA,NA,NA,"Dicotyledoneae"
"28","2018-04-04 16:44:46-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Melastomataceae","Leandra","vesiculosa","Leandra vesiculosa",NA,"A. C. Brade","15150",NA,NA,NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"RRC ID Flag",NA,NA,NA,NA,NA,NA,NA,NA,NA,"15150",NA,NA,"Dicotyledoneae"
"29","2015-03-07 08:52:52-03","F","FMNH-SEEDPLANTS","V0139129F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Melastomataceae","Leandra","vesiculosa","Leandra vesiculosa",NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0139129F","V0139129F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae"
"30","2021-02-23 13:22:45-03","MN","R-TIPOS","10029a","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Leandra","vesiculosa","Leandra vesiculosa","Cogn.","Glaziou, A.F.M.","6527","1873","01","24",NA,"Brasil","Rio de Janeiro","Itatiaia",NA,"-44.5633010864258","-22.4960994720459",NA,NA,"R000010029a","R000010029a_001",NA,NA,NA,NA,"19648","auto",NA,NA,NA,"Isotypus",NA,NA,NA,NA
"31","2021-02-23 13:22:45-03","MN","R-TIPOS","10029","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Leandra","vesiculosa","Leandra vesiculosa","Cogn.","Glaziou, A.F.M.","6527","1873","01","24",NA,"Brasil","Rio de Janeiro","Itatiaia",NA,"-44.5633010864258","-22.4960994720459",NA,NA,"R000010029","R000010029_001",NA,NA,NA,NA,"19648","auto",NA,NA,NA,"Isotypus",NA,NA,NA,NA
"32","2020-08-20 14:57:50-03","UFSC","FLOR","48098","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Leandra","vesiculosa","Leandra vesiculosa","Cogn.","Mansano, V.F.; et alii","179","2003","12","22",NA,"Brasil","Rio de Janeiro","Resende","Distrito de Engenheiro Passos, descida do planalto.","-44.676111","-22.386944",NA,"árvore, flor cálice, corola, filetes, anteras e gineceu brancos, 5m altura","FLOR0048098",NA,"Baumgratz, J.F.A.",NA,NA,NA,NA,NA,NA,"44º40'34''W","22º23'13''S",NA,NA,NA,NA,NA
"33","2019-11-21 10:09:54-03","IBt","SP","68344","S","Plantae",NA,NA,"Melastomataceae","Leandra","vesiculosa","Leandra vesiculosa","Cogn.","Bockermann, W","45","1951","09","07",NA,"Brasil","Rio de Janeiro","Itatiaia","Entre Macieira e Agulhas Negras. Campo de Planalto","-44.5633010864258","-22.4960994720459",NA,NA,"SP030167","SP030167","Goldenberg, R","2000","2200","2014","19648","auto","08",NA,NA,NA,NA,"04",NA,NA
"34","2019-11-21 10:09:54-03","IBt","SP","68348","S","Plantae",NA,NA,"Melastomataceae","Leandra","vesiculosa","Leandra vesiculosa","Cogn.","Bockermann, W","46","1951","03","06",NA,"Brasil","Rio de Janeiro","Itatiaia","Macieiras","-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,"Souza, MLD; Baumgratz, JF","1600","1900","2005","19648","auto",NA,NA,NA,NA,NA,NA,NA,NA
"35","2019-11-21 10:09:54-03","IBt","SP","14364","S","Plantae",NA,NA,"Melastomataceae","Leandra","vesiculosa","Leandra vesiculosa","Cogn.","Luederwaldt, H","s.n.","1905","03","01",NA,"Brasil","São Paulo","Itatinga",NA,"-48.6100006103516","-23.1000003814697",NA,NA,NA,NA,"Souza, MLD; Baumgratz, JF",NA,NA,"2005","28219","auto",NA,NA,NA,NA,NA,NA,NA,NA
"36","2019-11-21 10:09:54-03","IBt","SP","4754","S","Plantae",NA,NA,"Melastomataceae","Leandra","vesiculosa","Leandra vesiculosa","Cogn.","Loefgren, A","CGG3443","1896","12","27",NA,"Brasil","São Paulo","São Francisco","Mata","-50.689998626709","-20.3500003814697",NA,"Arbusto lenhoso, ereto, folhas glabras, flores alvas","SP006819","SP006819","Baumgratz, JFA; Souza",NA,NA,"2005","9856","auto",NA,NA,NA,NA,NA,NA,NA,NA
"37","2014-09-23 10:58:41-03","G","G","G00353648","S","Plantae",NA,NA,"Melastomataceae","Leandra","vesiculosa","Leandra vesiculosa","Cogn.","Glaziou, A. F. M.","6527","1876",NA,"00","AMERIQUE DU SUD","Brazil","Rio de Janeiro",NA,NA,"-42.9125","-22.48222222",NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site","G00353648",NA,"Martin, C.",NA,NA,"2005",NA,NA,"01","-42.9125","-22.48222222","ISOTYPUS of Leandra vesiculosa Cogn.",NA,"01",NA,NA
