"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","stateProvince","county","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","typeStatus","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","phylum","scientificNameAuthorship","identifiedBy","coordinatePrecision","geoFlag","imagecode","class","order","yearIdentified","monthIdentified","dayIdentified","individualCount","infraspecificEpithet"
"16","2015-07-02 14:00:08-03","JBP","HPL","9950","S","Plantae","Alstroemeriaceae","Alstroemeria","caryophyllaea","Alstroemeria caryophyllaea","A. Campos-Rocha","2007","11","01",NA,"Brasil","SP","Nova Odessa","Coletado e cultivado no Instituto Plantarum.",NA,NA,NA,NA,"83",NA,"-47.29","-22.77",NA,NA,NA,NA,NA,NA,"A. Campos-Rocha","8440","auto",NA,NA,NA,"2012","10","01",NA,NA
"17","2015-07-02 14:00:08-03","JBP","HPL","9836","S","Plantae","Alstroemeriaceae","Alstroemeria","caryophyllaea","Alstroemeria caryophyllaea","H. Lorenzi","1995","06","25",NA,"Brasil","SP","Piracicaba","Coletado em jardim residencial; cultivado como ornamental.",NA,NA,NA,NA,"1893",NA,"-47.64","-22.72",NA,NA,NA,NA,NA,"Jacq.","H. Lorenzi","44778","auto",NA,NA,NA,"1995","06","25",NA,NA
"18","2019-02-15 11:32:19-02","IPA","IPA","9146","S","Plantae","Alstroemeriaceae","Alstroemeria","caryophyllaea","Alstroemeria caryophyllaea","Pickel, B.","1941","06","11","Southern America","Brasil","São Paulo","São Paulo","Horto Florestal",NA,NA,"Cultivada","IPA0009146","5318",NA,"-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"Plantae","Jacq.","Assis, M.C.","53584","auto",NA,NA,NA,"2000","12",NA,NA,NA
"19","2020-12-20 21:15:20-03","UFV","VIC","017250","PreservedSpecimen","Plantae","Amaryllidaceae","Alstroemeria","caryophyllaea","Alstroemeria caryophyllaea","Carvalho, A.F.","1997","05","08",NA,"Brasil","Minas Gerais","Viçosa","Vila Gianeti, Entre folhas",NA,NA,"Erva de flores vermelhas e bulbosas.","VIC017250","401",NA,"-42.8819007873535","-20.7539005279541",NA,NA,NA,NA,NA,"Jacq.",NA,"13937","auto","VIC017250",NA,NA,NA,NA,NA,NA,NA
"20","2019-11-27 13:45:33-03","UFS","ASE","24561","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","caryophyllaea","Alstroemeria caryophyllaea","Matos, GMA","2011","07","27","Southern America","Brasil","Sergipe","Nossa Senhora da Glória","Povoado Boa Sorte, Área de pasto, terreno pedregroso.",NA,NA,"Herbácea. Folhas verdes. Flores rosas com ápice da pétala verde.; Herbácea. Folhas verdes. Flores rosas com ápice da pétala verde.; Caatinga.","ASE0010066","11",NA,"-37.2512","-10.1306","-37.2512","-10.1306",NA,NA,"Magnoliophyta","Jacq.","Matos, GMA",NA,NA,"ASE0010066",NA,NA,"2011","12",NA,NA,NA
"21","2021-03-01 16:18:46-03","UNICAMP","UEC","162144","S","Plantae","Alstroemeriaceae","Alstroemeria","caryophyllaea","Alstroemeria caryophyllaea","Gottsberger, G; Gottsberger, IS","1968","07","16",NA,"Brazil","Espírito Santo","Santa Teresa","Colégio Agrotécnico.&nf;At the west side of the valle.",NA,NA,"Petals vivid red with black spots and green tips, filamente, stigma and style red; production of nectar in the flower.; Well developed secondary forest along a creek.","UEC024534","17-16768",NA,"-40.716667","-19.816667","-40.716667","-19.816667","600","600","Liliopsida","Jacq.","Assis, MC",NA,NA,"UEC024534",NA,NA,"2001","06",NA,NA,NA
"22","2021-03-01 16:18:46-03","UNICAMP","UEC","87722","S","Plantae","Alstroemeriaceae","Alstroemeria","caryophyllaea","Alstroemeria caryophyllaea","Krug, HP","1939","06","02",NA,"Brazil","São Paulo","Campinas","R: Dr. Quirino, 1733",NA,NA,"Herbácea","UEC121244","4517",NA,"-47.060001373291","-22.8999996185303",NA,NA,NA,NA,"Liliopsida","Jacq.","Assis, MC","23900","auto","UEC121244",NA,NA,"2001","10",NA,NA,NA
"23","2019-09-27 18:03:26-03","UFES","VIES","19814","S","Plantae","Alstroemeriaceae","Alstroemeria","caryophyllaea","Alstroemeria caryophyllaea","Pereira, O.J.","2003","04","03",NA,"Brasil","Espírito Santo","Vitória","Parque Estadual da Fonte Grande.",NA,NA,NA,"VIES019814","7122",NA,"-40.3377990722656","-20.3194007873535",NA,NA,NA,NA,NA,"Jacq.","Dutilh","15291","auto","VIES019814",NA,NA,"2015","11","23",NA,NA
"24","2020-04-27 16:08:29-03","UFES","VIES","32158","S","Plantae","Alstroemeriaceae","Alstroemeria","caryophyllaea","Alstroemeria caryophyllaea","Matos, G.M.A.","2011","07","27",NA,"Brasil","Sergipe","Nossa Senhora da Glória","Povoado Boa Sorte.",NA,NA,NA,"VIES032158","11",NA,"-37.4202995300293","-10.2182998657227",NA,NA,NA,NA,NA,"Jacq.","Matos, G.M.A.","39088","auto","VIES032158",NA,NA,"2011","12",NA,NA,NA
"25","2019-08-16 08:38:06-03","UTFPR","HCF","8920","S","Plantae","Alstroemeriaceae","Alstroemeria","caryophyllaea","Alstroemeria caryophyllaea","M.G. Caxambu","2010","07","10",NA,"Brasil","PR","Turvo","Propriedade da família Rickli",NA,NA,"erva ereta, entouceirada, cultivada. Flores de cálice verde e corola vermelha.",NA,"3106",NA,"-51.5297012329102","-25.0428009033203",NA,NA,NA,NA,NA,"Jacq.","E. Barboza & J. Cordeiro","36663","auto",NA,NA,NA,"2011",NA,NA,NA,NA
"26","2020-12-11 11:43:18-03","UFMG","BHCB","83755","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","caryophyllaea","Alstroemeria caryophyllaea","Barreto, HLM","1933","06","07","Southern America","Brasil","Minas Gerais","Leopoldina","Fazenda Niagara - Santa Isabel.",NA,NA,"Frequência: regular.; Herbácea 0,4m.; Mato.","BHCB053862","620",NA,"-42.6431007385254","-21.5319004058838",NA,NA,NA,NA,"Monocotyledon","Jacq.",NA,"26325","auto","BHCB053862",NA,NA,"2000","12",NA,NA,NA
"27","2020-12-11 11:43:18-03","UFMG","BHCB","84830","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","caryophyllaea","Alstroemeria caryophyllaea","Medri, C; Francisco, EM","1998","10","10","Southern America","Brasil","Paraná","Sapopema","Salto das Orquídeas, Beira do rio no passo do meio.",NA,NA,"Herbácea suculenta, flores vermelhas.","BHCB053861","720",NA,"-50.5802993774414","-23.9108009338379",NA,NA,NA,NA,"Monocotyledon","Jacq.",NA,"21990","auto","BHCB053861",NA,NA,"1999","01",NA,NA,NA
"28","2021-02-11 17:17:47-03","UFPR","UPCB","37168","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","caryophyllaea","Alstroemeria caryophyllaea","Dunaiski Jr., A.","1998","11","19",NA,"Brasil","Paraná","Curitiba","Bairro São Lourenço",NA,NA,"Erva de 0,6m, flor vermelha. Nome vulgar: jacinto..",NA,"957",NA,"-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,"Jacq.","Dunaiski Jr., A.","25180","auto",NA,NA,NA,"1998","11",NA,NA,NA
"29","2020-12-17 04:41:00-03","MO","MOBOT","3032140","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","caryophyllaea","Alstroemeria caryophyllaea","M. B. Foster","1951","3","11","South America","Brazil",NA,NA,"Grown in greehouse, Orlando FL.",NA,NA,NA,NA,"Foster 471",NA,NA,NA,NA,NA,NA,NA,NA,"Jacq.","A.W. Meerow",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"30","2009-06-27 14:40:00-03","MO","MOBOT","3032253","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","caryophyllaea","Alstroemeria caryophyllaea","Louis O. Williams","1945","2",NA,"South America","Brazil","Minas Gerais",NA,"Vicinity of Lagôa Seca, 20 km south of Belo Horizonte.",NA,NA,NA,NA,"Williams 5456",NA,NA,NA,NA,NA,NA,NA,NA,"Jacq.","R.E. Gereau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2019-02-19 04:30:00-03","MO","MOBOT","3030225","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","filipendula","Alstroemeria filipendula","C.F.P. Martius","1817",NA,NA,"South America","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,"Martius S.N.",NA,NA,NA,NA,NA,NA,NA,NA,"Seub.","R.E. Gereau",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"32","2019-02-19 04:30:00-03","MO","MOBOT","3030289","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","filipendula","Alstroemeria filipendula","C.F.P. Martius","1817",NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,"Martius 433",NA,NA,NA,NA,NA,NA,NA,NA,"Seub.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-07-08 08:56:00-03","MO","MOBOT","2481515","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","pelegrina","Alstroemeria pelegrina","Hugh Cuming","1832",NA,NA,"South America","Chile","Valparaiso","Valparaiso","Valparaíso",NA,NA,NA,NA,"Cuming 568",NA,NA,NA,NA,NA,NA,NA,NA,"L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"34","2008-05-27 22:02:00-03","MO","MOBOT","2482064","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","pelegrina","Alstroemeria pelegrina","John L. Morrison","1938","12","14","South America","Chile",NA,NA,"Depto. Quillota, Prov. Aconcagua. Cerro Caquis, 15km east of Melón; steep, west-facing talus slopes, porphyry. This plant, one of the showiest Alstromerias seen, is quite colonial, covering whole slopes to the exclusion of other species.",NA,NA,NA,NA,"Morrison 16855",NA,NA,NA,NA,NA,"1400.00000000","1700.00000000",NA,"L.","R.E. Gereau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2009-08-07 05:40:00-03","MO","MOBOT","3028606","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","pelegrina","Alstroemeria pelegrina","Otto Zöllner","1975","10","19","South America","Chile",NA,NA,"Prov. Aconcagua. In Los Molles, grows only near of the coast.",NA,NA,NA,NA,"Zöllner 8342",NA,NA,NA,NA,NA,NA,NA,NA,"L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2009-07-13 11:42:00-03","MO","MOBOT","3029174","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","pelegrina","Alstroemeria pelegrina","Otto Zöllner","1978","11","11","South America","Chile",NA,NA,"In province Choapa in Fundo Totoral km 295 Panamericana Norte.",NA,NA,NA,NA,"Zöllner 10158",NA,NA,NA,NA,NA,NA,NA,NA,"L.","R.E. Gereau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2012-12-04 10:43:00-02","MO","MOBOT","3032041","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","pelegrina","Alstroemeria pelegrina","Carlo L.G. Bertero","1827",NA,NA,"South America","Chile",NA,NA,"In pascuis et sylvaticis collium Quillota.",NA,NA,NA,NA,"Bertero 790",NA,NA,NA,NA,NA,NA,NA,NA,"L.","R.E. Gereau",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"38","2008-05-27 22:02:00-03","MO","MOBOT","3032326","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","pelegrina","Alstroemeria pelegrina","* SAMMLER","1930","10","12","South America","Chile","Valparaiso",NA,"Quebrada del hieurmo.",NA,NA,NA,NA,"SAMMLER s.n.",NA,NA,NA,NA,NA,NA,NA,NA,"L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2008-05-27 22:02:00-03","MO","MOBOT","3032523","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","pelegrina","Alstroemeria pelegrina","Santiago Venturi","1924","5","9","South America","Argentina","Tucumán","Chicligasta","Estancia La Pavas. Habitat: sobre un tronco seco.",NA,NA,NA,NA,"Venturi 3003",NA,NA,NA,NA,NA,"1200.00000000",NA,NA,"L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2015-10-22 10:02:24-02","UNIOESTE","UNOP","4320","S","Plantae","Alstroemeriaceae","Alstroemeria","caryophyllaea","Alstroemeria caryophyllaea","Morelli, M.M.; Souza, M. de; Souza, M. de","2007","11","15",NA,"Brasil","Paraná","Cascavel","Centro da cidade",NA,NA,"Herbácea perene, raíz fibro tuberosas, de 30-45cm. Inflorescências branco-alaranjada.",NA,"27",NA,"-53.4552993774414","-24.9557991027832",NA,NA,NA,NA,NA,"Jacq.",NA,"47841","auto",NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-06-15 15:28:11-03","UNESP-RC","HRCB","48126","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","caryophyllaea","Alstroemeria caryophyllaea","Braga, P.A.","2006","12","30",NA,"Brasil","São Paulo","Rio Claro","Campus UNESp Bela Vista",NA,NA,"Flor avermelhada-alaranjada com manchas marrons, altura 60 cm <ll>dwc_commonname:</ll> Jacinto",NA,"139",NA,"-47.533333","-22.383333","47º32'W","22º23'S","626","626",NA,"Jacq.","Braga, P.A.",NA,NA,NA,NA,NA,"2006","11","20",NA,NA
"42","2021-02-04 10:24:46-03","UFRPE","HST","14283","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","caryophyllaea","Alstroemeria caryophyllaea","C.Medri; V.F.Kinupp et E.M.Francisco","1997","09","27",NA,"Brasil","Paraná","Sapopema","Salto das Orquídeas",NA,NA,"Erva 1 m, flores vermelhas e amarelas; frutos imaturos verdes","HST014283","455",NA,"-50.5802993774414","-23.9108009338379",NA,NA,NA,NA,NA,"Jacq.",NA,"21990","auto",NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-04-06 18:56:45-03","UENF","HUENF","11628","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","caryophyllaea","Alstroemeria caryophyllaea","D.R. Couto; H. Viana; M. Paixão & T. Paixão","2019","05","11",NA,"Brasil","Rio de Janeiro","Campos dos Goytacazes","Ibitioca. Morro do Rato (Floresta Estacional Semidecidual). Maciço do Itaoca",NA,NA,"Erva terrícola, esciófila de subbosque. Lâmina verde discolor. Sépalas verdes na base, alvas para o ápice com máculas marrons e estrias verdes.","HUENF00012518","4415",NA,"-41.449722","-21.793889","41º26'59''W","21º47'38''S","326","326",NA,"Jacq.","A. Campos-Rocha",NA,NA,NA,NA,NA,"2019","05","20",NA,NA
"44","2021-04-06 18:56:45-03","UENF","HUENF","11667","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","caryophyllaea","Alstroemeria caryophyllaea","D.R. Couto; H. Viana; M. Paixão & T. Paixão","2019","05","11",NA,"Brasil","Rio de Janeiro","Campos dos Goytacazes","Ibitioca. Morro do Rato - Floresta Estacional Semidecidual (descendo para pastagem). Maciço do Itaoca",NA,NA,"Erva terrícola, esciófila de subbosque. Lâmina verde discolor. Sépalas verdes na base, alvas para o ápice com máculas marrons e estrias verdes.","HUENF00012546","4454",NA,"-41.453611","-21.794722","41º27'13''W","21º47'41''S","277","277",NA,"Jacq.","D.R. Couto",NA,NA,NA,NA,NA,"2019","05","20",NA,NA
"45","2020-09-12 05:00:02-03","US","US","530321","PreservedSpecimen","Plantae","Amaryllidaceae","Alstroemeria","pelegrina","Alstroemeria pelegrina","G. Hastings","1902","1","21","South America","Chile",NA,NA,"Mountains above rio calorado",NA,NA,NA,"US00164467","426",NA,NA,NA,NA,NA,NA,NA,NA,"L.",NA,NA,NA,NA,"Monocotyledonae","Liliales",NA,NA,NA,"1",NA
"46","2020-09-12 05:00:02-03","US","US","1057852","PreservedSpecimen","Plantae","Amaryllidaceae","Alstroemeria","pelegrina","Alstroemeria pelegrina","E. W. D. Holway & M. M. Holway","1919","9","19","South America","Chile",NA,NA,"Papudo",NA,NA,NA,"US00164466","53",NA,NA,NA,NA,NA,NA,NA,NA,"L.",NA,NA,NA,NA,"Monocotyledonae","Liliales",NA,NA,NA,"1",NA
"47","2020-09-12 05:00:02-03","US","US","1421438","PreservedSpecimen","Plantae","Amaryllidaceae","Alstroemeria","pelegrina","Alstroemeria pelegrina","S. Venturi","1924","5","9","South America","Argentina","Tucumán","Chicligasta","Estancia las Pavas",NA,NA,NA,"US00164465","3003",NA,NA,NA,NA,NA,"1500","1500",NA,"L.",NA,NA,NA,NA,"Monocotyledonae","Liliales",NA,NA,NA,"1",NA
"48","2020-09-12 05:00:02-03","US","US","3543818","PreservedSpecimen","Plantae","Amaryllidaceae","Alstroemeria","pelegrina","Alstroemeria pelegrina","A. Garaventa H.","1934","10","7","South America","Chile","Valparaíso (V)","Marga Marga","Laguna Verde, Limache.",NA,NA,NA,"US01047358","3262",NA,NA,NA,NA,NA,NA,NA,NA,"L.",NA,NA,NA,NA,"Monocotyledonae","Liliales",NA,NA,NA,"1",NA
"49","2020-09-12 05:00:02-03","US","US","1545187","PreservedSpecimen","Plantae","Amaryllidaceae","Alstroemeria","pelegrina","Alstroemeria pelegrina","S. Venturi","1924","5","9","South America","Argentina","Tucumán","Chicligasta","Estancia las Pavas",NA,NA,NA,"US00164464","3003",NA,NA,NA,NA,NA,"1500","1500",NA,"L.",NA,NA,NA,NA,"Monocotyledonae","Liliales",NA,NA,NA,"1",NA
"50","2020-10-15 09:53:47-03","UFPR","EFC","9456","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","caryophyllaea","Alstroemeria caryophyllaea","Medri, C.; Kinupp, V.F.; Francisco, E.M.","1997","09","27",NA,"Brasil","Paraná","Sapopema","Salto das Orquídeas",NA,NA,"Erva 1m, flores vermelhas e amarelas; frutos imaturos verdes. Beira do rio","EFC009456","455",NA,"-50.6046","-23.921","-50.6046","-23.9210","700","700",NA,"Jacq.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","2020-10-15 09:53:47-03","UFPR","EFC","10988","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","caryophyllaea","Alstroemeria caryophyllaea","Dunaiski Jr., A.","2009","10","04",NA,"Brasil","Paraná","Rio Branco do Sul","Limoeiro",NA,NA,"Erva de1,0m.,com flores alaranjadas. __COMMOM_NAME__: Jacinto","EFC010988","3804",NA,"-49.3142013549805","-25.1900005340576",NA,NA,NA,NA,NA,"Jacq.","Dunaiski Jr., A.","37352","auto",NA,NA,NA,"2009","10","05",NA,NA
"52","2014-04-04 18:26:00-03","PNFM","IRAI","830","S","Plantae","Alstroemeriaceae","Alstroemeria","caryophyllaea","Alstroemeria caryophyllaea","Cansi, L.S.","2009","08","09",NA,"Brasil","Santa Catarina","Rio do Sul",NA,NA,NA,"Herbácea, flor vermelha, ornamental, cultivada","IRAI00000830","023",NA,NA,NA,NA,NA,NA,NA,"Magnoliophyta","Jacq.","Cordeiro, J.",NA,NA,NA,NA,NA,"2011","01","01",NA,NA
"53","2019-09-04 18:36:18-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Amaryllidaceae","Alstroemeria","filipendula","Alstroemeria filipendula",NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"Type [status unknown]","-52.8731","-10.8339",NA,NA,NA,NA,"Spermatophyta",NA,NA,NA,NA,NA,"Monocotyledoneae",NA,NA,NA,NA,NA,NA
