"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","phylum","order","continentOcean","preparationType","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus"
"11","2021-03-15 16:37:00-03","NY","NYBG","558283","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","multiceps","Tibouchina multiceps","(Naudin) Cogn.","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","39731","1977","01","25","Brazil","Paraná","Antonina","Rio do Nunes","-48.790772","-25.33685",NA,NA,NA,NA,"NY00558283","NY00558283_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=412478' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","558282","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","multiceps","Tibouchina multiceps","(Naudin) Cogn.","F. Markgraf",NA,NA,NA,"R. Reitz","5598","1953","02","05","Brazil","Santa Catarina","Palhoça","Campo do Massiambu","-48.62515","-27.834087",NA,NA,"5","5","NY00558282","NY00558282_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=412471' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"13","2016-09-29 12:36:00-03","NY","NYBG","558289","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","multiceps","Tibouchina multiceps",NA,"F. C. Hoehne",NA,NA,NA,"F. C. Hoehne","28728","1932","12","28","Brazil","São Paulo","Sao Paulo","Jardim Botanico","-46.618358","-23.646109",NA,NA,NA,NA,"NY00558289","NY00558289_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=412476' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"14","2016-09-29 12:36:00-03","NY","NYBG","558290","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","multiceps","Tibouchina multiceps",NA,"F. C. Hoehne",NA,NA,NA,"F. C. Hoehne","28728","1932","12","28","Brazil","São Paulo","Sao Paulo","Jardim Botanico","-46.618358","-23.646109",NA,NA,NA,NA,"NY00558290","NY00558290_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=412477' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"15","2016-09-29 12:36:00-03","NY","NYBG","558285","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","multiceps","Tibouchina multiceps",NA,"A. C. Brade",NA,NA,NA,"R. M. Klein","1173","1954","02","18","Brazil","Santa Catarina","Itajaí","Avenida Vasconcelos Drumond","-48.661316","-26.91978",NA,NA,"5","5","NY00558285","NY00558285_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=412469' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"16","2016-09-29 12:36:00-03","NY","NYBG","558292","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","multiceps","Tibouchina multiceps",NA,"A. C. Brade",NA,NA,NA,"R. Reitz","6260","1958","01","21","Brazil","Santa Catarina","Garuva","Mina Velha, Garuva, Sao Francisco do Sul","-48.8547","-26.0269",NA,NA,"10","10","NY00558292","NY00558292_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=412470' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","558288","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","multiceps","Tibouchina multiceps","(Naudin) Cogn.","A. Lindeman",NA,NA,NA,"J. C. Lindeman","121","1965","12","27","Brazil","Paraná","Matinhos","Matinhos","-48.560466","-25.76408",NA,NA,NA,NA,"NY00558288","NY00558288_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=412480' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","558284","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","multiceps","Tibouchina multiceps","(Naudin) Cogn.","J. J. Wurdack",NA,NA,NA,"L. T. D. Dombrowski","2843","1968","01",NA,"Brazil","Paraná","Paranaguá","Matinhos","-48.560466","-25.76408",NA,NA,NA,NA,"NY00558284","NY00558284_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=412474' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","558291","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","multiceps","Tibouchina multiceps","(Naudin) Cogn.","J. J. Wurdack",NA,NA,NA,"R. Reitz","9066","1959","09","05","Brazil","Santa Catarina","Sombrio","Pirao Frio","-49.6167","-29.1142",NA,NA,"10","10","NY00558291","NY00558291_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=412473' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","558281","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","multiceps","Tibouchina multiceps","(Naudin) Cogn.","G. G. Hatschbach",NA,NA,NA,"A. C. Cervi","6457","1997","12","03","Brazil","Paraná","Guaraqueçaba","Salto Morato","-48.298003","-25.163809",NA,NA,NA,NA,"NY00558281","NY00558281_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=412479' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","558478","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","trichopoda","Tibouchina trichopoda","(DC.) Baill.","A. C. Brade",NA,NA,NA,"A. C. Brade","16089","1938","06","14","Brazil","Rio de Janeiro","Rio de Janeiro","Restinga de Sernambetiba (Distrito Federal)","-43.475747","-23.031229",NA,NA,NA,NA,"NY00558478","NY00558478_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=150299' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","558471","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","trichopoda","Tibouchina trichopoda","(DC.) Baill.","M. L. D. R. Souza",NA,NA,NA,"R. Negrelle","A240","1992","06","27","Brazil","Santa Catarina","Itapoá","Reserva Volta Velha","-48.6158","-26.1169",NA,NA,NA,NA,"NY00558471","NY00558471_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=150297' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","558479","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","trichopoda","Tibouchina trichopoda tibouchinoides","(DC.) Cogn.","J. J. Wurdack",NA,NA,NA,"Restinga I","1485","1953",NA,NA,"Brazil","Rio de Janeiro","Cabo Frio",NA,"-42.0183","-22.8794",NA,NA,NA,NA,"NY00558479","NY00558479_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742945' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet","tibouchinoides",NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","558466","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","trichopoda","Tibouchina trichopoda","(DC.) Baill.",NA,NA,NA,NA,"L. Riedel","s.n.",NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"NY00558466","NY00558466_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=150298' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","514845","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","trichopoda","Tibouchina trichopoda","(DC.) Baill.","F. S. Meyer",NA,NA,NA,"W. Hoehne","5785","1964","07","16","Brazil","Rio de Janeiro","Rio de Janeiro","Prox. Recreio dos Bandeirantes","-43.482796","-23.016442",NA,NA,NA,NA,"NY00514845","NY00514845_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=365843' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","1015055","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","trichopoda","Tibouchina trichopoda","(DC.) Baill.","J. F. A. Baumgratz",NA,NA,NA,"B. A. Abbas","85","2003","02","14","Brazil","Rio de Janeiro","Silva Jardim","Reserva Biológica de Poço das Antas, margem da estrada p/Juturnaíba, após a trilha p/ casa dos morcegos.","-42.3917","-22.6508",NA,NA,NA,NA,"NY01015055","NY01015055_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1099253' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","558472","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","trichopoda","Tibouchina trichopoda","(DC.) Baill.","S. A. C. Chiea",NA,NA,NA,"J. A. Correa","103","1975","01","07","Brazil","São Paulo","Sao Paulo","Reserva Biológica do Parque Estadual das Fontes do Ipiranga. Area 16","-46.621883","-23.654505",NA,NA,NA,NA,"NY00558472","NY00558472_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=150302' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","778204","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","trichopoda","Tibouchina trichopoda","(DC.) Baill.","J. J. Wurdack",NA,NA,NA,"G. G. Hatschbach","16010","1967","02","18","Brazil","Paraná","Antonina","Cacatu","-48.746413","-25.311204",NA,NA,"10","10","NY00778204","NY00778204_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=150303' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","1016002","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","trichopoda","Tibouchina trichopoda","(DC.) Baill.","S. A. C. Chiea",NA,NA,NA,"F. de Barros","1977","1990","12","02","Brazil","São Paulo","Cananéia","Ilha do Cardoso. Restinga do Pereirinha.","-47.912273","-25.064431",NA,NA,NA,NA,"NY01016002","NY01016002_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1115992' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","558480","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","trichopoda","Tibouchina trichopoda","(DC.) Baill.","A. C. Brade",NA,NA,NA,"A. C. Brade","16089","1938","06","14","Brazil","Rio de Janeiro","Rio de Janeiro","Restinga de Sernambetiba (Distrito Federal)","-43.475747","-23.031229",NA,NA,NA,NA,"NY00558480","NY00558480_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=150300' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","558465","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","trichopoda","Tibouchina trichopoda","(DC.) Baill.",NA,NA,NA,NA,"L. Riedel","s.n.",NA,NA,NA,"Brazil",NA,NA,"{From protologue: Ad Serra da Piedade]",NA,NA,NA,NA,NA,NA,"NY00558465","NY00558465_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=150307' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","558467","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","trichopoda","Tibouchina trichopoda","(DC.) Baill.","J. J. Wurdack",NA,NA,NA,"L. Riedel","s.n.","1823","03",NA,"Brazil","Rio de Janeiro","Petrópolis","Brasilia. In montibus altis Serra Estrella","-43.1783","-22.505",NA,NA,NA,NA,"NY00558467","NY00558467_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=150305' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","558468","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","trichopoda","Tibouchina trichopoda tibouchinoides","(DC.) Cogn.","C. A. Cogniaux",NA,NA,NA,"J. B. E. Pohl","s.n.",NA,NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"NY00558468","NY00558468_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742944' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet","tibouchinoides",NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","558470","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","trichopoda","Tibouchina trichopoda","(DC.) Baill.",NA,NA,NA,NA,"C. A. F. Moura","s.n.","1965","07","16","Brazil","São Paulo","Pariquera-Açu","Km. 18 da Estrada Registro-Pariqueraçu","-47.88","-24.71",NA,NA,NA,NA,"NY00558470","NY00558470_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=150308' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","558482","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","trichopoda","Tibouchina trichopoda","(DC.) Baill.","J. J. Wurdack",NA,NA,NA,"G. G. Hatschbach","41831","1979","01","04","Brazil","Paraná","Antonina","Manduira","-48.800146","-25.465922",NA,NA,NA,NA,"NY00558482","NY00558482_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=150304' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","558474","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","trichopoda","Tibouchina trichopoda","(DC.) Baill.",NA,NA,NA,NA,"L. B. Smith","1981","1929","02","23","Brazil","São Paulo","Santo André","Estaçao Biologica, Campo Grande","-46.33","-23.77",NA,NA,"800","900","NY00558474","NY00558474_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=150310' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","685409","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","trichopoda","Tibouchina trichopoda","(DC.) Baill.","R. Goldenberg",NA,NA,NA,"R. Goldenberg","781","2005","10","21","Brazil","São Paulo","Pariquera-Açu","Estação Experimental do IAC","-47.88","-24.71",NA,NA,NA,NA,"NY00685409","NY00685409_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=894798' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","558473","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","trichopoda","Tibouchina trichopoda","(DC.) Baill.","S. A. C. Chiea",NA,NA,NA,"C. A. F. Moura","s.n.","1965","07","15","Brazil","São Paulo","Registro","Registro, nas adjacencidas do aeroporto","-47.84168","-24.531728",NA,NA,NA,NA,"NY00558473","NY00558473_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=150301' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","558475","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","trichopoda","Tibouchina trichopoda","(DC.) Baill.",NA,NA,NA,NA,"O. Handro","769","1958","04","29","Brazil","São Paulo","Salesópolis",NA,"-45.84","-23.5303",NA,NA,NA,NA,"NY00558475","NY00558475_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=150309' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","558386","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","trichopoda","Tibouchina trichopoda","(DC.) Baill.","F. S. Meyer",NA,NA,NA,"P. K. H. Dusén","13897","1912","03","19","Brazil","Paraná","Paranaguá","Porto Dom Pedro II","-48.5092","-25.5203",NA,NA,NA,NA,"NY00558386","NY00558386_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=492010' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","558476","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","trichopoda","Tibouchina trichopoda","(DC.) Baill.",NA,NA,NA,NA,"L. B. Smith","2002","1929","02","25","Brazil","São Paulo","Praia Grande","Road between Sao Vicente and Itaipu","-46.4","-24",NA,NA,NA,"20","NY00558476","NY00558476_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=150311' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","558506","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","trichopoda","Tibouchina trichopoda","(DC.) Baill.","P. J. F. Guimarães",NA,NA,NA,"R. de Lemos Fróes","20205","1943","02","15","Brazil","Bahia","Mucugê","Entre Brejao e Iracema. Regiao da Serra de Sincorá","-41.3706","-13.0056",NA,NA,NA,NA,"NY00558506","NY00558506_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=636784' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","558477","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","trichopoda","Tibouchina trichopoda tibouchinoides","(DC.) Cogn.","J. J. Wurdack",NA,NA,NA,"S. F. da Silva","145","1972","02","25","Brazil","Rio de Janeiro","Rio de Janeiro","Guanabara, Restinga de Jacarepaguá","-43.397161","-23.010952",NA,NA,NA,NA,"NY00558477","NY00558477_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742946' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet","tibouchinoides",NA,NA,NA,NA,NA,NA,NA
"44","2021-02-18 09:30:11-03","UNESP-IBB","BOTU","26227","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","trichopoda","Tibouchina trichopoda","Baill.","Goldenberg, R.","1999",NA,NA,"Cervi, A.C.","2639","1989","03","15","Brasil","Santa Catarina","Itaajaí",NA,NA,NA,"9999","9999",NA,NA,"BOTU026227",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2021-02-08 11:09:29-03","UNESP-IBB","BOTU","28750","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","trichopoda","Tibouchina trichopoda","Baill.","Souza, M.L.D.R.","2012","07",NA,"Gonzatti, F.","417","2012","03","10","Brasil","Rio Grande do Sul","Cidreira",NA,"-50.242222","-30.053056","50°14'32w","30°03'11s",NA,NA,"BOTU028750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2021-02-08 11:09:29-03","UNESP-IBB","BOTU","30948","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","trichopoda","Tibouchina trichopoda","Baill.",NA,NA,NA,NA,"Bicudo, L.R.H.","1835","1996","06","11","Brasil","São Paulo","Botucatu","Mata do Moro da Igreja de Santo Antonio Rubião, distrito de Rubião Júnior","-48.916667","-22.916667","48°55'w","22°55's",NA,NA,"BOTU030948",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
