"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","day","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","individualCount"
"11","2021-03-01 16:33:58-03","UNICAMP","UEC","40373","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Huberia","minutifolia","Huberia minutifolia","Bochorny & R.Goldenb.","Souza, HC; Andrade, DM","8851","1986","10",NA,"Brazil","Minas Gerais","Lima Duarte","Parque de Ibitipoca.","-43.793098449707","-21.8425006866455",NA,NA,NA,"Arbusto + - 60 cm de altura. Pétalas brancas, estames amarelos.; Campo rupestre (de altitude) rico em gramíneas.","UEC004507","UEC004507","Romero, R","16","30417","auto","1996","06",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-01 16:33:58-03","UNICAMP","UEC","109437","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Huberia","minutifolia","Huberia minutifolia","Bochorny & R.Goldenb.","Freitas, L","748","1999","11",NA,"Brazil","São Paulo","São José do Barreiro","Limite entre floresta ombrófila mista altomontanae campo de altitude. Lado direito Guarita do Ibama.","-44.5699996948242","-22.6399993896484",NA,NA,NA,"Arbusto/ca. 1 m. Flores: corola branca, filetes e gineceu verde amarelado, anteras amarelo vivo.","UEC007335","UEC007335",NA,"17","30784","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-01 16:33:58-03","UNICAMP","UEC","104863","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Huberia","minutifolia","Huberia minutifolia","Bochorny & R.Goldenb.","Freitas, L; Ravetta, AL","463","1998","11",NA,"Brazil","São Paulo","São José do Barreiro","Margem da cachoeira Sto. Isidro.","-44.5699996948242","-22.6399993896484",NA,NA,NA,"Arbusto, 1 m. Corola branco, anteras amarelo vivo a vermelho (velhas).; Floresta mista aluvial.","UEC004510","UEC004510","Martins, AB","07","30784","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-06-29 09:31:05-03","UFRRJ","RBR","46308","S","Plantae",NA,NA,"Melastomataceae","Behuria","parvifolia","Behuria parvifolia","Cogn.","J.F.A. Baumgratz; M.G. Bovini, M. Nadruz","1350","2014","06",NA,"Brasil","São Paulo","São José do Barreiro","Trilha para Cachoeira São Isidro.","-44.615278","-22.7475","1469","1469",NA,NA,"RBR00046308","RBR00046308","J.F.A. Baumgratz","04",NA,NA,"2014","07",NA,NA,"44º36'55''W","22º44'51''S",NA,NA,NA
"15","2020-06-29 09:31:05-03","UFRRJ","RBR","36072","S","Plantae",NA,NA,"Melastomataceae","Behuria","parvifolia","Behuria parvifolia","Cogn.","J.F.A. Baumgratz","1169","2011","10",NA,"Brasil","São Paulo","São José do Barreiro","Parque Nacional da Serra da Bocaina","-44.5699996948242","-22.6399993896484",NA,NA,NA,NA,"RBR00036072",NA,NA,"06","30784","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2013-07-01 15:01:58-03","MNHN","RECOLNAT_MNHN_P","P00281811","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Behuria","parvifolia","Behuria parvifolia","Cogn.","Glaziou, A.",NA,"1874","9",NA,"Brésil",NA,NA,"près du Rancho do Morro Cavado, environs de Rio de Janeiro",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00281811' target='other'> <mi>dwc_moreinfo</mi></a>","P00281811","P00281811_01 P00281811_02",NA,"25",NA,NA,NA,NA,NA,NA,NA,NA,"isotype","7625",NA
"17","2013-07-01 15:01:58-03","MNHN","RECOLNAT_MNHN_P","P00281812","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Behuria","parvifolia","Behuria parvifolia","Cogn.","Glaziou, A.",NA,"1874","9",NA,"Brésil",NA,NA,"près du Rancho do Morro Cavado, environs de Rio de Janeiro",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00281812' target='other'> <mi>dwc_moreinfo</mi></a>","P00281812","P00281812_01 P00281812_02",NA,"25",NA,NA,NA,NA,NA,NA,NA,NA,"isotype","7625",NA
"18","2021-02-11 17:19:39-03","UFPR","UPCB","63694","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Huberia","minutifolia","Huberia minutifolia","Bochorny & R.Goldenb.","Mota, N.F.O.","965","2007","11",NA,"Brasil","Minas Gerais","Itamonte","Parque Estadual do Papagaio, bairro rural Colina, Campo de altitude antropizado no Alto da Boa Vista.","-44.7575","-22.2975","2152","2152",NA,"Arbusto de 1,5 m de altura. Cálice verde com tricomas vermelhos, corola branca com margens rosadas, filetes e estilete verde-claro, anteras amarelas. Campo de altitude..","UPCB0009865","UPCB0009865","Bochorny,T.","07",NA,NA,"2020","05",NA,NA,"-44.7575","-22.2975",NA,NA,NA
"19","2021-02-11 17:19:39-03","UFPR","UPCB","97024","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Huberia","minutifolia","Huberia minutifolia","Bochorny & R. Goldenb.","Bochorny, T. | Michelangeli, F.","239","2019","07",NA,"Brasil","Minas Gerais","Itamonte","Parque Nacional do Itatiaia, parte alta, trilha Circuito Cinco Lagos","-44.8699989318848","-22.283899307251","2603","2603",NA,"Mata Atlântica. Arbusto, 1m alt. Frutos secos.","UPCB0046934",NA,"Bochorny, T.","05","26914","auto","2019",NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-09-12 05:00:02-03","US","US","2615901","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Behuria","parvifolia","Behuria parvifolia","Cogn.","A. C. Brade","21036","1951","4","South America - Neotropics","Brazil","São Paulo",NA,"Serra da Bocaina",NA,NA,"1700",NA,NA,NA,"US01901154","US01901154_01 US01901154_02",NA,"24",NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1"
"21","2020-09-12 05:00:02-03","US","US","2615898","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Behuria","parvifolia","Behuria parvifolia","Cogn.","F. Markgraf & -. Brade","21274","1952","12","South America - Neotropics","Brazil","Rio de Janeiro","Itatiaia",NA,"-44.5633010864258","-22.4960994720459","2400",NA,NA,NA,"US01901151","US01901151_01 US01901151_02",NA,NA,"19648","auto",NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1"
"22","2020-09-12 05:00:02-03","US","US","2687603","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Behuria","parvifolia","Behuria parvifolia","Cogn.","G. Eiten & L. T. Eiten","6579","1965","11","South America - Neotropics","Brazil","Rio de Janeiro","Itatiaia","East slope of south end of rock outcrop, Prateleiras","-44.68","-22.42","2300",NA,NA,NA,"US01901150","US01901150_01 US01901150_02",NA,"4",NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1"
"23","2020-09-12 05:00:02-03","US","US","2615897","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Behuria","parvifolia","Behuria parvifolia","Cogn.","P. Campos Porto","2720","1935","1","South America - Neotropics","Brazil","Rio de Janeiro",NA,"Itatyaia, Lagoa Bonita",NA,NA,NA,NA,NA,NA,"US01901153","US01901153_01 US01901153_02",NA,"31",NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1"
"24","2020-09-12 05:00:02-03","US","US","2615899","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Behuria","parvifolia","Behuria parvifolia","Cogn.","F. Markgraf & -. Brade","3711","1938","11","South America - Neotropics","Brazil","Rio de Janeiro","Itatiaia","Perto da base das Agulhas","-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,"US01901152","US01901152_01 US01901152_02",NA,"22","19648","auto",NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1"
"25","2021-02-23 13:22:41-03","MN","R-TIPOS","9488","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Behuria","parvifolia","Behuria parvifolia","Cogn.","Glaziou, A.F.M.","7625","1874","09",NA,"Brasil","Minas Gerais",NA,"Morro Cavado",NA,NA,NA,NA,NA,NA,"R000009488","R000009488_001","Baumgratz, J.F.A. & Tavares, R.A.M.","25",NA,NA,"2010",NA,NA,NA,NA,NA,"Isolectotypus",NA,NA
"26","2020-08-20 14:57:41-03","UFSC","FLOR","62932","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Behuria","parvifolia","Behuria parvifolia","Cogn.","Baumgratz, J.F.A.; Mynssen, C.; Pinheiro, F.M.; Meneguzzo, T. & Ribeiro, R.","1169","2011","10",NA,"Brasil","São Paulo","São José do Barreiro","Parque Nacional da Serra da Bocaina, Lageado; Trilha da cachoira São Isidro, em encosta na margem do rio que forma a cachoeira São Isidro (afluente do rio Mambucaba).","-44.615","-22.7475","1478","1478",NA,"Subarbusto ca. 50cm alt.; indumento vinoso; ramos castanhos; pecíolo verde, vinoso face adaxial; folhas verdes subconcolores, margem levemente vinosa; botões florais c/ hipanto e cálice verdes, corola alvo-rosada; frutos senís cinéreo","FLOR0062932","FLOR0062932",NA,"06",NA,NA,NA,NA,NA,NA,"44º36'54''W","22º44'51''S",NA,NA,NA
"27","2020-08-20 14:57:41-03","UFSC","FLOR","53280","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Behuria","parvifolia","Behuria parvifolia","Cogn.","Santos Filho, L.A.F.; Barberena, F.; Pinheiro, F. & Silva, W.","105","2009","04",NA,"Brasil","Rio de Janeiro","Itatiaia","Início da trilha Abrigo Rebouças-Pico das Agulha Negras, Parque Nacional do Itatiaia.","-44.5633010864258","-22.4960994720459","2500","2500",NA,"Subarbusto, 0,5 m de altura, Ramos e pecíolos verdes, flores com o hipanto vinoso-esverdeado, Pétalas alvas, Filetes amarelo-alvacentos, Anteras amarelas, Estilete amarelo com o ápice alvacento. Folhas verdes discolores. Luminosidade:","FLOR0053280",NA,"Santos Filho, L.A.F.","20","19648","auto","2009","09",NA,NA,NA,NA,NA,NA,NA
"28","2020-08-26 10:49:43-03","MCN-FZBRS","HAS","91835","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Melastomataceae","Behuria","parvifolia","Behuria parvifolia","Cogn.","Campos Porto","5749","1915","12",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Itatiaia","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"HAS0091835",NA,"Hoehne",NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-11-21 10:09:33-03","IBt","SP","4424","S","Plantae",NA,NA,"Melastomataceae","Behuria","parvifolia","Behuria parvifolia","Cogn.","Campos Porto, P","5749","1915",NA,NA,"Brasil","Rio de Janeiro","Itatiaia",NA,"-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,NA,NA,"Baumgratz, JFA; Tavares, RAM",NA,"19648","auto","2005",NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-02-04 09:02:29-03","IBt","SP","139917","S","Plantae",NA,NA,"Melastomataceae","Behuria","parvifolia","Behuria parvifolia","Cogn.","Eiten, G; Eiten, LT","6579","1965","11",NA,"Brasil","Rio de Janeiro","Resende","Mt. Itatiáia, planalto. East slope of south end of rock outcrop Prateleiras","-44.4467010498047","-22.468900680542",NA,NA,NA,NA,NA,NA,"Chiea, SAC","04","36089","auto","1986","05",NA,NA,NA,NA,NA,NA,NA
