X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,typeStatus,recordedBy,recordNumber,continentOcean,country,stateProvince,preparationType,previousCatalogNumber,occurrenceRemarks,barcode,phylum,order,scientificNameAuthorship,identifiedBy,year,month,day,county,locality,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,imagecode,coordinatePrecision,geoFlag,verbatimLongitude,verbatimLatitude,yearIdentified,monthIdentified,dayIdentified,infraspecificEpithet,fieldNumber,individualCount,class,relatedCatalogItem,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-51.566667,-20.783333,"20",2021-03-01 16:40:15-03,UNICAMP,UEC,"82152",S,Plantae,Rubiaceae,Rudgea,coronata,Rudgea coronata,NA,"Noronha, MRP","1027",NA,Brazil,São Paulo,NA,NA,"Arbusto, ca. 0,60 alt. alt., frutos maturos brancos; Interior da mata",UEC101112,Magnoliopsida,NA,(Vell.) Müll.Arg.,"Zappi, DC","1995","04","11",Andradina,Rerserva Biológica da Estação Experimental de Zootecnia de Andradina,-51.566667,-20.783333,"355","355",UEC101112,NA,NA,"-51.566667","-20.783333","2007",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.558056,-21.620833,"21",2021-03-01 16:40:15-03,UNICAMP,UEC,"146494",S,Plantae,Rubiaceae,Rudgea,coronata,Rudgea coronata leiocarpoides,NA,"Souza, VC; et al.","5649",NA,Brazil,São Paulo,NA,NA,"Arbusto,1m alt. Frutos maduros alvos; Mata mesófila semidecídua",UEC101114,Magnoliopsida,NA,(Müll.Arg.) Zappi,"Zappi, DC","1994","04","14",Matão,Fazenda Cambuhy,-48.558056,-21.620833,"600","600",UEC101114,NA,NA,"-48.558056","-21.620833","2007",NA,NA,leiocarpoides,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.084167,-23.366389,"23",2021-03-01 16:40:15-03,UNICAMP,UEC,"148870",S,Plantae,Rubiaceae,Rudgea,coronata,Rudgea coronata leiocarpoides,NA,"Aranha, BA","406",NA,Brazil,São Paulo,NA,NA,NA,UEC114061,Magnoliopsida,NA,(Müll.Arg.) Zappi,"Jung-Mendaçolli, SL","2006","08","12",Ubatuba,"Fazenda Capricórnio, Parcela J",-45.084167,-23.366389,"380","380",UEC114061,NA,NA,"-45.084167","-23.366389","2008","10",NA,leiocarpoides,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.853028,-21.227278,"24",2021-03-01 16:40:15-03,UNICAMP,UEC,"195452",S,Plantae,Rubiaceae,Rudgea,coronata,Rudgea coronata ochroleuca,NA,"Bruniera, CP; Groppo, M; Campos, RP","331",NA,Brazil,São Paulo,NA,NA,"Arbusto ca 1,3m alt. Folhas cartáceas, discolores. Botões alvos, flor com cálice esverdeado e corola alva, bastante delicada. Frutos imaturos verdes, maduros carnosos, alvos.; Mata estacional semi decídua.",UEC132234,Magnoliopsida,NA,(Müll.Arg.) Zappi,"Bruniera, CP","2011","04","15",Ribeirão Preto,Estação Ecológica de Ribeirão Preto (Mata Santa Teresa). Trilha anterior a trilha do córrego que divide a Reserva.,-47.853028,-21.227278,"588","588",UEC132234,NA,NA,"-47.853028","-21.227278","2011","04","15",ochroleuca,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.138599395752,-23.8544006347656,"27",2021-03-01 16:40:15-03,UNICAMP,UEC,"45210",S,Plantae,Rubiaceae,Rudgea,coronata,Rudgea coronata,NA,"Tamashiro, JY; et al.","18735",NA,Brazil,São Paulo,NA,NA,"Arbusto até1,8m - Flores creme",UEC101129,Magnoliopsida,NA,(Vell.) Müll.Arg.,"Zappi, DC","1986","11","04",Bertioga,Est. Bertioga - Mogi das Cruzes,-46.138599395752,-23.8544006347656,NA,NA,UEC101129,"37616",auto,NA,NA,"2007",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.1199989318848,-22.2800006866455,"28",2021-03-01 16:40:15-03,UNICAMP,UEC,"77788",S,Plantae,Rubiaceae,Rudgea,coronata,Rudgea coronata,NA,"Zickel, CS","30268",NA,Brazil,São Paulo,NA,NA,"Indicpiduo com 53cm de altura e 0,61 cm de diametro e frutos verdes imaturos",UEC101113,Magnoliopsida,NA,(Vell.) Müll.Arg.,"Zappi, DC","1991","09","07",Brotas,Mata da Fazenda St. Eliza,-48.1199989318848,-22.2800006866455,NA,NA,UEC101113,"26585",auto,NA,NA,"2007",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.8530556,-21.2272223,"60",2017-07-05 15:59:00-03,MO,MOBOT,"100986165",PreservedSpecimen,Plantae,Rubiaceae,Rudgea,coronata,Rudgea coronata ochroleuca,NA,C.P. Bruniera|Milton Groppo|R.P. Campos,Bruniera 330,South America,Brazil,São Paulo,NA,NA,NA,NA,NA,NA,(Müll. Arg.) Zappi,C.P. Bruniera,"2011","4","15",Ribeirão Preto,Estação Ecológica de Rbeirão Preto (Mata de Santa Teresa). Trilha anterior à trilha do córrego que divide a Reserva.,-47.8530556,-21.2272223,"588.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,ochroleuca,NA,"1",NA,NA,"35",São Paulo,SP,Sudeste
-47.8530556,-21.2272223,"61",2017-07-06 08:22:00-03,MO,MOBOT,"100986235",PreservedSpecimen,Plantae,Rubiaceae,Rudgea,coronata,Rudgea coronata ochroleuca,NA,C.P. Bruniera,Bruniera 875,South America,Brazil,São Paulo,NA,NA,NA,NA,NA,NA,(Müll. Arg.) Zappi,C.P. Bruniera,"2012","10","8",Ribeirão Preto,Estação Ecológica de Ribeirão Preto (Mata de Santa Teresa). Trilha anterior à trilha do córrego que divide a Reserva.,-47.8530556,-21.2272223,"588.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,ochroleuca,NA,"1",NA,NA,"35",São Paulo,SP,Sudeste
-45.0699996948242,-23.4300003051758,"64",2020-07-15 14:43:41-03,UNESP-RC,HRCB,"11475",PreservedSpecimen,Plantae,Rubiaceae,Rudgea,coronata,Rudgea coronata,NA,"Furlan, A.",NA,NA,Brasil,São Paulo,NA,NA,NA,NA,NA,NA,(Vell.) Müll. Arg.,Mario Gomes,NA,NA,NA,Ubatuba,Picinguaba - Parque Estadual da Serra do Mar,-45.0699996948242,-23.4300003051758,NA,NA,NA,"34265",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-51.566667,-20.783333,"83",2019-11-13 11:30:32-03,USP,SPF,"110322",PreservedSpecimen,Plantae,Rubiaceae,Rudgea,coronata,Rudgea coronata ochroleuca,NA,"Pereira-Noronha, MR","1027",NA,Brasil,São Paulo,NA,NA,NA,SPF00110322,NA,NA,(Müll.Arg.) Zappi,"Zappi, DC","1995","04","11",Andradina,Reserva Biológica de Andradina,-51.566667,-20.783333,"355","355",NA,NA,NA,"-51.566667","-20.783333","2006",NA,NA,ochroleuca,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
