X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,recordNumber,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,barcode,imagecode,occurrenceRemarks,phylum,order,continentOcean,preparationType,infraspecificEpithet,coordinatePrecision,geoFlag,class,relatedCatalogItem,relationshipType,individualCount,fieldNumber,typeStatus,previousCatalogNumber,sex,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-46.5299987792969,-23.4599990844727,"176",2020-11-04 11:14:07-03,ESALQ,ESA,"5686",PreservedSpecimen,Plantae,Monimiaceae,Mollinedia,schottiana,Mollinedia schottiana,(Spreng.) Perk,"Peeixoto, A.L.","1998","01","01","Gandolfi, S. et al.","8730.0","1984","11","22",Brasil,São Paulo,Guarulhos,NA,-46.5299987792969,-23.4599990844727,NA,NA,NA,NA,ESA005686,ESA005686,NA,Magnoliophyta,NA,NA,NA,NA,"26398",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.9099998474121,-22.5400009155273,"177",2020-11-04 11:14:07-03,ESALQ,ESA,"10061",PreservedSpecimen,Plantae,Monimiaceae,Mollinedia,schottiana,Mollinedia schottiana,(Spreng.) Perk.,"Gandolfi, S.","1992","04","02","Gandolfi, S. et al.","16.0","1991","09","24",Brasil,São Paulo,São Pedro,NA,-47.9099998474121,-22.5400009155273,NA,NA,NA,NA,ESA010061,ESA010061,NA,Magnoliophyta,NA,NA,NA,NA,"19379",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.9199981689453,-24.3799991607666,"178",2020-11-04 11:14:07-03,ESALQ,ESA,"109671",PreservedSpecimen,Plantae,Monimiaceae,Mollinedia,schottiana,Mollinedia schottiana,NA,NA,NA,NA,NA,"Souza, V.C.; Duarte, A.R.; Rando, J.G.; Ferreira, M.P.; et al.","30106.0",NA,NA,NA,Brasil,São Paulo,Sete Barras,Parque Estadual Carlos Botelho. Área do projeto Parcelas Permanentes,-47.9199981689453,-24.3799991607666,NA,NA,NA,NA,ESA109671,ESA109671,NA,Magnoliophyta,NA,NA,NA,NA,"34059",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.9199981689453,-24.3799991607666,"179",2020-11-04 11:14:07-03,ESALQ,ESA,"82485",PreservedSpecimen,Plantae,Monimiaceae,Mollinedia,schottiana,Mollinedia schottiana,NA,"Duarte, A.R.",NA,NA,NA,"Mazine, F.F. Duarte, A.R. ; Gianotti, M.","463.0","2002","10","30",Brasil,São Paulo,Sete Barras,Parque Estadual de Carlos Botelho - Floresta Ombrófila Densa (parcela do Biota),-47.9199981689453,-24.3799991607666,NA,NA,NA,NA,ESA082485,NA,Árvore ca. 8m.,Magnoliophyta,NA,NA,NA,NA,"34059",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.37,-23.41,"180",2020-11-04 11:14:07-03,ESALQ,ESA,"69089",PreservedSpecimen,Plantae,Monimiaceae,Mollinedia,schottiana,Mollinedia schottiana,(Spreng.) Perkins,"Stella, A.",NA,NA,NA,"Oliveira, A.A.; Souza, S.C.P.M.; Siqueira, L.P.; M.C.Sorreano, Scalon, V.R.; Atanasio, C.; V.Bucheaneri, Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.","3600.0","2000","04","18",Brasil,São Paulo,Caraguatatuba,"Parque Estadual da Serra do Mar. Estrada Intermediária, Km 30. Floresta Ombrofila Densa de Planalto, com perturbação. Interior de floresta",-45.37,-23.41,"-45.37","-23.41","600","600",ESA069089,ESA069089,"Árvore, 3m alt. DAP 5cm. Frutos verdes.",Magnoliophyta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.5046997070312,-24.7563991546631,"184",2020-11-04 11:14:07-03,ESALQ,ESA,"95203",PreservedSpecimen,Plantae,Monimiaceae,Mollinedia,schottiana,Mollinedia schottiana,(Spreng.) Perkins,"Lírio, E.J.","2016",NA,NA,"Braidotti, J.C. et al.","38.0","2005","03","24",Brasil,São Paulo,Barra do Turvo,NA,-48.5046997070312,-24.7563991546631,NA,NA,NA,NA,ESA095203,ESA095203,NA,Magnoliophyta,NA,NA,NA,NA,"38172",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.5046997070312,-24.7563991546631,"185",2020-11-04 11:14:07-03,ESALQ,ESA,"101923",PreservedSpecimen,Plantae,Monimiaceae,Mollinedia,schottiana,Mollinedia schottiana,NA,"Rando, J.G.","2005","04","07","Oriani, A.","568.0","2005","03","24",Brasil,São Paulo,Barra do Turvo,NA,-48.5046997070312,-24.7563991546631,NA,NA,NA,NA,ESA101923,ESA101923,NA,Magnoliophyta,NA,NA,NA,NA,"38172",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.9199981689453,-25.0100002288818,"186",2020-11-04 11:14:07-03,ESALQ,ESA,"65205",PreservedSpecimen,Plantae,Monimiaceae,Mollinedia,schottiana,Mollinedia schottiana,NA,"Maltez, H.M.","1999","03","10","Sampaio, D. et al.","129.0","1999","01","08",Brasil,São Paulo,Cananéia,NA,-47.9199981689453,-25.0100002288818,NA,NA,NA,NA,ESA065205,ESA065205,NA,Magnoliophyta,NA,NA,NA,NA,"37574",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.0999984741211,-24.5200004577637,"187",2020-11-04 11:14:07-03,ESALQ,ESA,"93701",PreservedSpecimen,Plantae,Monimiaceae,Mollinedia,schottiana,Mollinedia schottiana,(Spreng.) Perkins,NA,NA,NA,NA,"Destefani, A.C.C. et al.","38.0","2005","03","22",Brasil,São Paulo,Eldorado,NA,-48.0999984741211,-24.5200004577637,NA,NA,NA,NA,ESA093701,ESA093701,NA,Magnoliophyta,NA,NA,NA,NA,"38804",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.0999984741211,-24.5200004577637,"188",2020-11-04 11:14:07-03,ESALQ,ESA,"95298",PreservedSpecimen,Plantae,Monimiaceae,Mollinedia,schottiana,Mollinedia schottiana,(Spreng.) Perkins,"Rando, J.G.",NA,NA,NA,"Destefani, A.C.C. et al.","133.0","2005","03","25",Brasil,São Paulo,Eldorado,NA,-48.0999984741211,-24.5200004577637,NA,NA,NA,NA,ESA095298,ESA095298,NA,Magnoliophyta,NA,NA,NA,NA,"38804",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.5299987792969,-23.4599990844727,"189",2020-11-04 11:14:07-03,ESALQ,ESA,"5687",PreservedSpecimen,Plantae,Monimiaceae,Mollinedia,schottiana,Mollinedia schottiana,(Spreng.) Perk.,"Gandolfi, S.",NA,NA,NA,"Gandolfi, S. et al.","8009.0","1984","01","01",Brasil,São Paulo,Guarulhos,NA,-46.5299987792969,-23.4599990844727,NA,NA,NA,NA,ESA005687,ESA005687,NA,Magnoliophyta,NA,NA,NA,NA,"26398",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.3400001525879,-24.1100006103516,"190",2020-11-04 11:14:07-03,ESALQ,ESA,"11709",PreservedSpecimen,Plantae,Monimiaceae,Mollinedia,schottiana,Mollinedia schottiana,(Spreng.) Perk.,"Souza, V.C.","1997","02","11","Souza, V.C. et al.","4016.0","1993","09","06",Brasil,São Paulo,Itararé,NA,-49.3400001525879,-24.1100006103516,NA,NA,NA,NA,ESA011709,NA,NA,Magnoliophyta,NA,NA,NA,NA,"27729",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.8199996948242,-22.25,"191",2020-11-04 11:14:07-03,ESALQ,ESA,"108270",PreservedSpecimen,Plantae,Monimiaceae,Mollinedia,schottiana,Mollinedia schottiana,NA,"Souza, V.C. et al.",NA,NA,NA,"Cotrim, M.M.",NA,"2007","10","06",Brasil,São Paulo,Itirapina,NA,-47.8199996948242,-22.25,NA,NA,NA,NA,ESA108270,ESA108270,NA,Magnoliophyta,NA,NA,NA,NA,"22843",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.8800010681152,-24.7099990844727,"192",2020-11-04 11:14:07-03,ESALQ,ESA,"28926",PreservedSpecimen,Plantae,Monimiaceae,Mollinedia,schottiana,Mollinedia schottiana,(Spreng.) Perk.,"Ivanauskas, N.M.",NA,NA,NA,"Ivanauskas, N.M.","533.0","1995","11","08",Brasil,São Paulo,Pariquera-Açu,NA,-47.8800010681152,-24.7099990844727,NA,NA,NA,NA,ESA028926,ESA028926,NA,Magnoliophyta,NA,NA,NA,NA,"17990",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.3600006103516,-24.0900001525879,"193",2020-11-04 11:14:07-03,ESALQ,ESA,"84854",PreservedSpecimen,Plantae,Monimiaceae,Mollinedia,schottiana,Mollinedia schottiana,(Spreng.) Perk.,"Toledo, R.M.",NA,NA,NA,"Aguiar, A.C. et al.","162.0","2003","04","17",Brasil,São Paulo,Ribeirão Grande,NA,-48.3600006103516,-24.0900001525879,NA,NA,NA,NA,ESA084854,ESA084854,NA,Magnoliophyta,NA,NA,NA,NA,"25028",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.9900016784668,-23.8700008392334,"194",2020-11-04 11:14:07-03,ESALQ,ESA,"104306",PreservedSpecimen,Plantae,Monimiaceae,Mollinedia,schottiana,Mollinedia schottiana,NA,"Aguiar, O.T.","2002","03","17","Aguiar, O.T.","1098.0","2002","03","12",Brasil,São Paulo,São Miguel Arcanjo,NA,-47.9900016784668,-23.8700008392334,NA,NA,NA,NA,ESA104306,ESA104306,NA,Magnoliophyta,NA,NA,NA,NA,"27904",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.9900016784668,-23.8700008392334,"195",2020-11-04 11:14:07-03,ESALQ,ESA,"66211",PreservedSpecimen,Plantae,Monimiaceae,Mollinedia,schottiana,Mollinedia schottiana,(Spreng.) Perkins,"Lírio, E.J.","2016",NA,NA,"Moraes, P.L.R.","2139.0","2000","04","14",Brasil,São Paulo,São Miguel Arcanjo,NA,-47.9900016784668,-23.8700008392334,NA,NA,NA,NA,ESA066211,ESA066211,NA,Magnoliophyta,NA,NA,NA,NA,"27904",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"196",2020-11-04 11:14:07-03,ESALQ,ESA,"71957",PreservedSpecimen,Plantae,Monimiaceae,Mollinedia,schottiana,Mollinedia schottiana,(Spreng.) Perkins,"Souza, V.C.","2012","06","05","Aragaki, S.","425.0","1994","09","22",Brasil,São Paulo,São Paulo,NA,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,ESA071957,ESA071957,NA,Magnoliophyta,NA,NA,NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.9099998474121,-22.5400009155273,"197",2020-11-04 11:14:07-03,ESALQ,ESA,"10072",PreservedSpecimen,Plantae,Monimiaceae,Mollinedia,schottiana,Mollinedia schottiana,(Spreng.) Perk.,"Gandolfi, S.","1992","04","02","Gandolfi, S. et al.","10.0","1991","09","24",Brasil,São Paulo,São Pedro,NA,-47.9099998474121,-22.5400009155273,NA,NA,NA,NA,ESA010072,ESA010072,NA,Magnoliophyta,NA,NA,NA,NA,"19379",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
