X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,barcode,imagecode,recordNumber,continentOcean,preparationType,previousCatalogNumber,occurrenceRemarks,phylum,order,infraspecificEpithet,typeStatus,coordinatePrecision,geoFlag,class,fieldNumber,individualCount,relatedCatalogItem,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-45.5900001525879,-22.7299995422363,"303",2020-02-10 17:54:59-03,UNICAMP,UEC,"105643",S,Plantae,Melastomataceae,Microlicia,isophylla,Microlicia isophylla,A.DC.,"Martins, E","1991","07",NA,"Teixeira, BC","1970","12","28",Brazil,São Paulo,Campos do Jordão,NA,-45.5900001525879,-22.7299995422363,NA,NA,NA,NA,NA,NA,"331",NA,NA,NA,NA,Magnoliopsida,NA,NA,NA,"21048",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"304",2020-02-10 17:54:59-03,UNICAMP,UEC,"105648",S,Plantae,Melastomataceae,Microlicia,isophylla,Microlicia isophylla,A.DC.,"Martins, E","1999","01",NA,"Sakane, M","1977","05","28",Brazil,São Paulo,Campos do Jordão,A mais ou menos 100 km ao norte de São José dos Campos.,-45.5900001525879,-22.7299995422363,NA,NA,NA,NA,NA,NA,"561",NA,NA,NA,"fruto, Drebácea de mais ou menos 40 cm. Flores liláses-escuras.Ex. Universidade Estadual de Campinas.",Magnoliopsida,NA,NA,NA,"21048",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"305",2020-02-10 17:54:59-03,UNICAMP,UEC,"105644",S,Plantae,Melastomataceae,Microlicia,isophylla,Microlicia isophylla,A.DC.,"Martins, E","1991","07",NA,"Sakane, M","1976","02","09",Brazil,São Paulo,Campos do Jordão,"Área do Sanatório São Francisco Xavier, Vila Matilde.",-45.5900001525879,-22.7299995422363,NA,NA,NA,NA,NA,NA,"469",NA,NA,NA,"flor, Herbácea de 30 cm, flores liláses (cor de maravilha) em pequenos cachos.",Magnoliopsida,NA,NA,NA,"21048",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"306",2020-02-10 17:55:07-03,UNICAMP,UEC,"77339",S,Plantae,Melastomataceae,Microlicia,isophylla,Microlicia isophylla,A.DC.,"Uhlmann, A",NA,NA,NA,"Cordeiro, I; Rossi, L; Pastore, JFB; Lopes Da Silva, E","1994","03","28",Brazil,São Paulo,Campos do Jordão,Estrada para São José dos Alpes,-45.5900001525879,-22.7299995422363,NA,NA,NA,NA,NA,NA,"1302",NA,NA,NA,"flor e fruto, Subarbusto formando touceiras arredondadas, pétalas rosa intenso, antera dos estames maiores rosa-escuro, dos menores amarelas. Campos de altitude entremeados por matas.",Magnoliopsida,NA,NA,NA,"21048",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"307",2020-02-10 17:54:59-03,UNICAMP,UEC,"105646",S,Plantae,Melastomataceae,Microlicia,isophylla,Microlicia isophylla,A.DC.,"Martins, E","1991","08",NA,"Mattos, J","1975","04","25",Brazil,São Paulo,Campos do Jordão,Parque Estadual,-45.5900001525879,-22.7299995422363,NA,NA,NA,NA,NA,NA,"15887",NA,NA,NA,"flor, Touceira em campo sujo, flor rosada.",Magnoliopsida,NA,NA,NA,"21048",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"308",2021-03-01 16:34:56-03,UNICAMP,UEC,"73169",S,Plantae,Melastomataceae,Microlicia,isophylla,Microlicia isophylla,A.DC.,"Uhlmann, A",NA,NA,NA,"Gianotti, E; et al.","1992","06","08",Brazil,São Paulo,Campos do Jordão,Praia São José dos Alpes.,-45.5900001525879,-22.7299995422363,NA,NA,NA,NA,UEC021416,UEC021416,"26709",NA,NA,NA,"Flores lilás-púrpura, campo.",Magnoliopsida,NA,NA,NA,"21048",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.9599990844727,-23.0699996948242,"309",2020-02-10 17:54:59-03,UNICAMP,UEC,"105647",S,Plantae,Melastomataceae,Microlicia,isophylla,Microlicia isophylla,A.DC.,"Martins, E","1991","08",NA,"Kuhlmann, M","1939","03","14",Brazil,São Paulo,Cunha,NA,-44.9599990844727,-23.0699996948242,NA,NA,NA,NA,NA,NA,s.n.,NA,NA,NA,"flor, Planta de até 1 m de altura. Flores róseas. Em terreno de encosta.",Magnoliopsida,NA,NA,NA,"38855",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.7299995422363,-22.6800003051758,"310",2020-02-10 17:55:07-03,UNICAMP,UEC,"70469",S,Plantae,Melastomataceae,Microlicia,isophylla,Microlicia isophylla,A.DC.,"Árbocz, GF","1996","04",NA,"Tamashiro, JY; Belinello, R; Souza, JP; Fernandes, GD; Ivanauskas, NM; Miyagi, PH","1995","04","13",Brazil,São Paulo,São Bento Do Sapucaí,Rampa de vôo da Pedra do Bauzinho,-45.7299995422363,-22.6800003051758,NA,NA,NA,NA,NA,NA,"872",NA,NA,NA,"flor, Erva, flores com pétalas róseas. Campo.",Magnoliopsida,NA,NA,NA,"18089",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.5699996948242,-22.6399993896484,"311",2020-02-10 17:55:07-03,UNICAMP,UEC,"843",S,Plantae,Melastomataceae,Microlicia,isophylla,Microlicia isophylla,A.DC.,"Martins, E","1991","07",NA,"Vieira, AOS; Cólus, JM","1983","01","31",Brazil,São Paulo,São José do Barreiro,Entrada para Aldeia Guaianá,-44.5699996948242,-22.6399993896484,NA,NA,NA,NA,NA,NA,"14398",NA,NA,NA,"flor, Erva em campo. Flores róseas.",Magnoliopsida,NA,NA,NA,"30784",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"312",2020-02-10 17:54:59-03,UNICAMP,UEC,"105645",S,Plantae,Melastomataceae,Microlicia,isophylla,Microlicia isophylla,A.DC.,"Martins, E","1991","08",NA,"Hoehne, FC","1922","01","25",Brazil,São Paulo,São Paulo,Bairro Jabaquara.,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,NA,NA,s.n.,NA,NA,NA,"flor, Flor roxa-clara quase rósea. Campo. Ex. Secção de Botânica -Museu Paulista.",Magnoliopsida,NA,NA,NA,"53584",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.696806,-23.353944,"365",2020-12-21 16:34:55-03,MBM,MBM,"428302",PreservedSpecimen,Plantae,Melastomataceae,Microlicia,isophylla,Microlicia isophylla,DC.,"Lozano, E.D.","2018",NA,NA,"Lozano, E.D.; Fernandes, U.G.; Souza-Buturi, F.O.; Ribeiro, W.; Fernandes, U.G.; Souza-Buturi, F.O.; Ribeiro, W.","2018","08","22",Brazil,São Paulo,Franco da Rocha,"Parque Estadual do Juquery, trilha para o Morro Ovo da Pata",-46.696806,-23.353944,"-46.696806","-23.353944",NA,NA,MBM428302,NA,"4256",Southern America,NA,NA,"Arbusto, 90 cm, flores lilases, em campo sujo.; Campo Cerrado.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"378",2020-12-21 16:34:55-03,MBM,MBM,"235423",PreservedSpecimen,Plantae,Melastomataceae,Microlicia,isophylla,Microlicia isophylla,DC.,"Romero, R.",NA,NA,NA,"Barreto, K.D.; et al.; et al.",NA,NA,NA,Brazil,São Paulo,Campos do Jordão,Parque Ferradura,-45.5900001525879,-22.7299995422363,NA,NA,NA,NA,MBM235423,MBM235423,"1059",Southern America,NA,NA,NA,NA,NA,NA,NA,"21048",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"386",2020-12-21 16:34:55-03,MBM,MBM,"55520",PreservedSpecimen,Plantae,Melastomataceae,Microlicia,isophylla,Microlicia isophylla latifolia,Cogn.,"Wurdack, J.J.",NA,NA,NA,"Occhioni, P.",NA,NA,NA,Brazil,São Paulo,Campos do Jordão,Campos do Jordão,-45.5900001525879,-22.7299995422363,NA,NA,NA,NA,MBM055520,MBM055520,"8017",Southern America,NA,NA,NA,NA,NA,latifolia,NA,"21048",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"392",2020-12-21 16:34:55-03,MBM,MBM,"285096",PreservedSpecimen,Plantae,Melastomataceae,Microlicia,isophylla,Microlicia isophylla,DC.,"Pastore, J.A.",NA,NA,NA,"Xavier, S.; et al.; et al.","1991","02","26",Brazil,São Paulo,Campos do Jordão,Morro do Elefante,-45.5900001525879,-22.7299995422363,NA,NA,NA,NA,MBM285096,MBM285096,"20",Southern America,NA,NA,NA,NA,NA,NA,NA,"21048",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"393",2020-12-21 16:34:55-03,MBM,MBM,"55520",PreservedSpecimen,Plantae,Melastomataceae,Microlicia,isophylla,Microlicia isophylla latifolia,Cogn.,"Wurdack, J.J.",NA,NA,NA,"Occhioni, P.",NA,NA,NA,Brazil,São Paulo,Campos do Jordão,Campos do Jordão,-45.5900001525879,-22.7299995422363,NA,NA,NA,NA,MBM055520,MBM055520,"8017",Southern America,NA,NA,NA,NA,NA,latifolia,NA,"21048",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"395",2019-11-01 15:28:26-03,PUC-RIO,FCAB,"3104",PreservedSpecimen,Plantae,Melastomataceae,Microlicia,isophylla,Microlicia isophylla,DC.,D. Nunes,"2019","03","21",Maria Sakane,"1977","05","28",Brasil,São Paulo,Campos do Jordão,A cerca de 100 km ao norte de São José dos Campos,-45.5900001525879,-22.7299995422363,NA,NA,NA,NA,FCAB003104,NA,"561",NA,NA,NA,"Herbáceo, com cerca de 40 cm. Flores liláses-escuras.",NA,Angiospermae,NA,NA,"21048",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"605",2021-02-11 17:20:13-03,UFPR,UPCB,"48870",PreservedSpecimen,Plantae,Melastomataceae,Microlicia,isophylla,Microlicia isophylla,DC.,"Goldenberg, R.","2004","01","01","Arzolla, F.A.R.D.P.","2004","02","13",Brasil,São Paulo,Campos do Jordão,"Parque Estadual Campos do Jordão, trilha Celestina",-45.5900001525879,-22.7299995422363,NA,NA,NA,NA,UPCB0019307,UPCB0019307,"460",NA,NA,NA,Arbusto com flores lilases..,NA,NA,NA,NA,"21048",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"635",2021-02-08 13:25:37-03,UFBA-IMS,HVC,"5135",PreservedSpecimen,Plantae,Melastomataceae,Microlicia,isophylla,Microlicia isophylla,DC.,"Indriunas,A.","2006","07","26",C.M.Izumizawa,"1998","02","22",Brasil,São Paulo,Campos do Jordão,"Antes de chegar ao Horto, ca. 1700m. Beira de estrada.",-45.5900001525879,-22.7299995422363,NA,NA,NA,NA,HVC00005135,NA,"36",NA,NA,NA,Flores cor-de-rosa com estames amarelos. Habitat: Predominante em áreas abertas Habito: Erva,NA,NA,NA,NA,"21048",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
