X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,locality,occurrenceRemarks,barcode,county,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,imagecode,coordinatePrecision,geoFlag,preparationType,class,order,minimumElevationInMeters,individualCount,maximumElevationInMeters,typeStatus,fieldNumber,dayIdentified,sex,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-46.316667,-23.783333,"34",2019-11-21 10:04:04-03,IBt,SP,"188600",S,Plantae,NA,Euphorbiaceae,Croton,priscus,Croton priscus,Croizat,"Kirizawa, M","1986","06","Custodio Filho, A; Carra, M","1099","1982","12","07",NA,Brasil,São Paulo,E.B. do Alto da Serra de Paranapiacaba,"Árvore 6m alt., frutos verde",NA,Santo André,-46.316667,-23.783333,"-46.316667","-23.783333",NA,NA,NA,NA,NA,NA,"750",NA,"900",NA,NA,"18",NA,"35",São Paulo,SP,Sudeste
-46.316667,-23.783333,"36",2019-11-21 10:04:04-03,IBt,SP,"200922",S,Plantae,NA,Euphorbiaceae,Croton,priscus,Croton priscus,Croizat,"Kirizawa, M","1986","02","Sugiyama, M; Lopes, EA","564","1984","11","20",NA,Brasil,São Paulo,E.B. do Alto da Serra de Paranapiacaba,"Árvore 4m., flores esverdeadas",NA,Santo André,-46.316667,-23.783333,"-46.316667","-23.783333",NA,NA,NA,NA,NA,NA,"750",NA,"900",NA,NA,"26",NA,"35",São Paulo,SP,Sudeste
-46.316667,-23.783333,"37",2019-11-21 10:04:04-03,IBt,SP,"215401",S,Plantae,NA,Euphorbiaceae,Croton,priscus,Croton priscus,Croizat,"Sugiyama, M","1987","03","Sugiyama, M; Kirizawa, M","700","1987","01","08",NA,Brasil,São Paulo,E.B. do Alto da Serra de Paranapiacaba,"Árvore 6,0m., fruto verdes, perto da casa do guarda",NA,Santo André,-46.316667,-23.783333,"-46.316667","-23.783333",NA,NA,NA,NA,NA,NA,"750",NA,"900",NA,NA,"09",NA,"35",São Paulo,SP,Sudeste
-45.8400001525879,-23.5300006866455,"38",2019-11-21 10:04:04-03,IBt,SP,"74924",S,Plantae,NA,Euphorbiaceae,Croton,priscus,Croton priscus,Croizat,"Handro, O","1971","04","Kuhlmann, M","5023","1963","10","16",NA,Brasil,São Paulo,Boracéia. Cabeceira do Rio Guaratuba. Vegetação baixa.,NA,NA,Salesópolis,-45.8400001525879,-23.5300006866455,NA,NA,NA,"18032",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.8400001525879,-23.5300006866455,"39",2019-11-21 10:04:04-03,IBt,SP,"279743",S,Plantae,NA,Euphorbiaceae,Croton,priscus,Croton priscus,Croizat,"Caruzo, MBR","2001","08","Simão Bianchini, R; et al.","513","1994","09","05",NA,Brasil,São Paulo,"Estação Biológica de Boracéia, Estrada para a barragem da SABESP no Rio Guaratuba.",NA,NA,Salesópolis,-45.8400001525879,-23.5300006866455,NA,NA,NA,"18032",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.8400001525879,-23.5300006866455,"40",2019-11-21 10:04:04-03,IBt,SP,"296597",S,Plantae,NA,Euphorbiaceae,Croton,priscus,Croton priscus,Croizat,"Franco, GADC","1988",NA,"Franco, GADC; Custodio Filho, A","703","1988","09","28",NA,Brasil,São Paulo,"Reserva Florestal, Casa Grande. Guaratuba.",NA,NA,Salesópolis,-45.8400001525879,-23.5300006866455,NA,NA,NA,"18032",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.5299987792969,-23.6599998474121,"41",2019-11-21 10:04:04-03,IBt,SP,"1121",S,Plantae,NA,Euphorbiaceae,Croton,priscus,Croton priscus,Croizat,"Handro, O",NA,NA,"Hoehne, FC",s.n.,"1917","12","19",NA,Brasil,São Paulo,Alto da Serra,NA,NA,Santo André,-46.5299987792969,-23.6599998474121,NA,NA,NA,"27258",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.5299987792969,-23.6599998474121,"42",2019-11-21 10:04:04-03,IBt,SP,"2593",S,Plantae,NA,Euphorbiaceae,Croton,priscus,Croton priscus,Croizat,"Handro, O","1946",NA,"Hoehne, FC",s.n.,"1918","12","05",NA,Brasil,São Paulo,Alto da Serra,"Árvore da mata, 2-4 m alt.",SP000662,Santo André,-46.5299987792969,-23.6599998474121,NA,NA,SP000662,"27258",auto,NA,NA,NA,NA,NA,NA,Holotype,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.5299987792969,-23.6599998474121,"43",2019-11-21 10:04:04-03,IBt,SP,"32200",S,Plantae,NA,Euphorbiaceae,Croton,priscus,Croton priscus,Croizat,"Kirizawa, M","2000","06","Kuhlmann, M",s.n.,"1933","11","23",NA,Brasil,São Paulo,"Alto da Serra, Estação Biológica",NA,SP001916,Santo André,-46.5299987792969,-23.6599998474121,NA,NA,SP001916,"27258",auto,NA,NA,NA,NA,NA,NA,Paratype,NA,"26",NA,"35",São Paulo,SP,Sudeste
-46.5299987792969,-23.6599998474121,"44",2019-11-21 10:04:04-03,IBt,SP,"13734",S,Plantae,NA,Euphorbiaceae,Croton,priscus,Croton priscus,Croizat,"Handro, O",NA,NA,"Puttemanns, A",CGG5684,"1902","11","27",NA,Brasil,São Paulo,Campo Grande S.P.R.,NA,SP006008,Santo André,-46.5299987792969,-23.6599998474121,NA,NA,SP006008,"27258",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.5299987792969,-23.6599998474121,"45",2019-11-21 10:04:04-03,IBt,SP,"201170",S,Plantae,NA,Euphorbiaceae,Croton,priscus,Croton priscus,Croizat,"Kirizawa, M","1986","02","Kirizawa, M; Guerra, TP","1376","1985","02","26",NA,Brasil,São Paulo,E.B. do Alto da Serra de Paranapiacaba,"Mata, picada doze, árvore ca. 4,0m alt., fruto verde",NA,Santo André,-46.5299987792969,-23.6599998474121,NA,NA,NA,"27258",auto,NA,NA,NA,NA,NA,NA,NA,NA,"28",NA,"35",São Paulo,SP,Sudeste
-46.5299987792969,-23.6599998474121,"46",2019-11-21 10:04:04-03,IBt,SP,"215534",S,Plantae,NA,Euphorbiaceae,Croton,priscus,Croton priscus,Croizat,"Kirizawa, M","1987","04","Kirizawa, M; Lopes, EA","1838","1987","02","24",NA,Brasil,São Paulo,E.B. do Alto da Serra de Paranapiacaba,"Picada vinte e sete, árvore 4,0m alt.",NA,Santo André,-46.5299987792969,-23.6599998474121,NA,NA,NA,"27258",auto,NA,NA,NA,NA,NA,NA,NA,NA,"01",NA,"35",São Paulo,SP,Sudeste
-46.5299987792969,-23.6599998474121,"47",2019-11-21 10:04:04-03,IBt,SP,"220898",S,Plantae,NA,Euphorbiaceae,Croton,priscus,Croton priscus,Croizat,"Kirizawa, M","1987","11","Kirizawa, M; Lopes, EA","1930","1987","10","27",NA,Brasil,São Paulo,E.B. do Alto da Serra de Paranapiacaba,"Picada doze, mata de encosta, árvore 5,0m alt.",NA,Santo André,-46.5299987792969,-23.6599998474121,NA,NA,NA,"27258",auto,NA,NA,NA,NA,NA,NA,NA,NA,"25",NA,"35",São Paulo,SP,Sudeste
-46.5299987792969,-23.6599998474121,"48",2019-11-21 10:04:04-03,IBt,SP,"220900",S,Plantae,NA,Euphorbiaceae,Croton,priscus,Croton priscus,Croizat,"Kirizawa, M","1987","11","Kirizawa, M; Lopes, EA","1928","1987","10","27",NA,Brasil,São Paulo,E.B. do Alto da Serra de Paranapiacaba,"Picada vinte e sete, árvore 4,0m alt., flores brancas, frutos verdes",NA,Santo André,-46.5299987792969,-23.6599998474121,NA,NA,NA,"27258",auto,NA,NA,NA,NA,NA,NA,NA,NA,"25",NA,"35",São Paulo,SP,Sudeste
-46.5299987792969,-23.6599998474121,"49",2019-11-21 10:04:04-03,IBt,SP,"831",S,Plantae,NA,Euphorbiaceae,Croton,priscus,Croton priscus,Croizat,"Cordeiro, I",NA,NA,"Hoehne, FC",s.n.,"1917","11","03",NA,Brasil,São Paulo,"E.B. do Alto da Serra de Paranapiacaba, Alto da Serra",Árvore da mata de 2-4m alt. fla. alvas,NA,Santo André,-46.5299987792969,-23.6599998474121,NA,NA,NA,"27258",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
