X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,recordedBy,recordNumber,year,month,day,continentOcean,country,preparationType,previousCatalogNumber,occurrenceRemarks,barcode,phylum,order,scientificNameAuthorship,identifiedBy,stateProvince,locality,imagecode,county,decimalLongitude,decimalLatitude,minimumElevationInMeters,yearIdentified,coordinatePrecision,geoFlag,verbatimLongitude,verbatimLatitude,maximumElevationInMeters,monthIdentified,class,dayIdentified,typeStatus,fieldNumber,individualCount,relatedCatalogItem,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-46,-23.58333,"155",2008-05-27 22:02:00-03,MO,MOBOT,"309046",PreservedSpecimen,Plantae,Myrtaceae,Psidium,myrtoides,Psidium myrtoides,A. Custodio Filho|Alwyn H. Gentry,Custodio Filho 4640,"1987","2","4",South America,Brazil,NA,NA,NA,NA,NA,NA,O. Berg,"C. Proenga (UB), May/",São Paulo,"Boraceia, between Moji das Cruzes and Biritiba-Mirim, crest of Serra do Mar. Transect 7",NA,NA,-46,-23.58333,"850.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87-8,"1",NA,"35",São Paulo,SP,Sudeste
-46,-23.58333,"156",2008-05-27 22:02:00-03,MO,MOBOT,"309220",PreservedSpecimen,Plantae,Myrtaceae,Psidium,myrtoides,Psidium myrtoides,A. Custodio Filho|Alwyn H. Gentry,Custodio Filho 4516,"1987","2","3",South America,Brazil,NA,NA,NA,NA,NA,NA,O. Berg,"C. Proenga (UB), May/",São Paulo,"Boraceia, between Moji das Cruzes and Biritiba-Mirim crest of Serra do Mar. Transect 1",NA,NA,-46,-23.58333,"800.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87-1,"1",NA,"35",São Paulo,SP,Sudeste
-48.75166667,-20.63722222,"157",2020-06-22 14:18:55-03,UNESP-IBILCE,SJRP,"33618",PreservedSpecimen,Plantae,Myrtaceae,Psidium,myrtoides,Psidium myrtoides,"Almeida Neto, A. & Ranga, N. T.","364.0","2008","12","02",América do Sul,Brasil,NA,NA,"Árvore, P-B 25, I-125. Biota",NA,Tracheophyta,Myrtales,O.Berg,NA,São Paulo,Fazenda Floresta,NA,Barretos (P7),-48.75166667,-20.63722222,NA,NA,NA,NA,"-48.75166667","-20.63722222",NA,NA,Magnoliopsida,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.9900016784668,-23.8700008392334,"194",2020-06-15 15:31:05-03,UNESP-RC,HRCB,"14750",PreservedSpecimen,Plantae,Myrtaceae,Psidium,myrtoides,Psidium myrtoides,Moraes,NA,NA,NA,NA,NA,Brasil,NA,NA,NA,NA,NA,NA,O. Berg.,C. Proença,São Paulo,P.E.C. Botelho,NA,São Miguel Arcanjo,-47.9900016784668,-23.8700008392334,NA,NA,"27904",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.774444,-23.9,"195",2020-06-15 15:31:06-03,UNESP-RC,HRCB,"19647",PreservedSpecimen,Plantae,Myrtaceae,Psidium,myrtoides,Psidium myrtoides,Godoy,NA,NA,NA,NA,NA,Brasil,NA,NA,NA,NA,NA,NA,O. Berg.,C. Proença,São Paulo,Parelheiros,NA,São Paulo,-46.774444,-23.9,NA,NA,NA,NA,46º46'28W,23º54'00S,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.5299987792969,-23.4599990844727,"232",2020-09-12 05:00:02-03,US,US,"1954378",PreservedSpecimen,Plantae,Myrtaceae,Psidium,myrtoides,Psidium myrtoides,B. Hettfleish,"2467","1946","1","12",South America - Neotropics,Brazil,NA,NA,NA,US01889701,NA,Myrtales,O. Berg,NA,São Paulo,NA,US01889701_01 US01889701_02,Guarulhos,-46.5299987792969,-23.4599990844727,NA,NA,"26398",auto,NA,NA,NA,NA,Dicotyledonae,NA,NA,NA,"1",NA,"35",São Paulo,SP,Sudeste
-46.774444,-23.9,"265",2019-11-13 11:27:22-03,USP,SPF,"101279",PreservedSpecimen,Plantae,Myrtaceae,Psidium,myrtoides,Psidium myrtoides,"Godoy, SAP","471","1995","04","19",NA,Brasil,NA,NA,NA,SPF00101279,NA,NA,O.Berg,"Proença, C",São Paulo,Parelheiros,NA,São Paulo,-46.774444,-23.9,NA,"2010",NA,NA,"-46.774444","-23.9",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.736944,-22.645278,"266",2019-11-13 11:27:22-03,USP,SPF,"200394",PreservedSpecimen,Plantae,Myrtaceae,Psidium,myrtoides,Psidium myrtoides,"Freitas, HS","53","2008","05","19",NA,Brasil,NA,NA,NA,SPF00200394,NA,NA,O.Berg,"Sobral, M",São Paulo,NA,NA,Areias,-44.736944,-22.645278,"731","2009",NA,NA,"-44.736944","-22.645278","731",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.0608,-22.9056,"312",2020-11-23 11:39:25-03,IAC,IAC,"32190",S,Plantae,Myrtaceae-2.Myrtoideae,Psidium,myrtoides,Psidium myrtoides,R.B. Torres,s/nº,"1991","11","21",NA,Brasil,NA,NA,quadra geremias L14 p8,NA,NA,NA,O.Berg,M.E.G. Sobral,São Paulo,NA,NA,Campinas,-47.0608,-22.9056,NA,"2012",NA,NA,"-47.0608","-22.9056",NA,"06",NA,"21",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.086761,-22.863721,"313",2019-01-25 15:35:35-02,IAC,IAC,"39792",S,Plantae,Myrtaceae-2.Myrtoideae,Psidium,myrtoides,Psidium myrtoides,José Carlos R. Macedo,"139","1987","12","22",NA,Brasil,NA,NA,NA,NA,NA,NA,O.Berg,M.E.G. Sobral,São Paulo,"IAC, Fazenda Santa Elisa, Monjolinho, Quadra Neusa Diniz, L15 - p1",NA,Campinas,-47.086761,-22.863721,NA,"2002",NA,NA,"-47.086761","-22.863721",NA,"10",NA,"17",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
