"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","fieldNumber","year","month","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","kingdom","phylum","yearIdentified","monthIdentified","recordNumber","day","continentOcean","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","individualCount","minimumElevationInMeters","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","class","order","dayIdentified","sex"
"11","2021-03-15 18:25:30-03","USP","SPF","209794","PreservedSpecimen","Asteraceae","Lychnocephalus","humillimus","Lychnocephalus humillimus","(Sch.Bip.) Loeuille, Semir & Pirani","Hind, DJN",NA,"Zappi, DC",NA,"2009","07","Brasil","Serra do Cipó, Acesso pela Faz. Inhame. Trilha da Senhorinha, topo da serra.",NA,"Erva decumbente, folhas abaxialmente alvas, flores lilás-rosadas.; Campo limpo com afloramentos rochosos planos a angulosos, entre pedras planas.","SPF00209794",NA,"Plantae",NA,"2010",NA,"2257","27",NA,"Minas Gerais","Santana de Pirapama","-43.744106","-18.934654",NA,NA,NA,"1326","-43.744106","-18.934654","1326",NA,NA,NA,NA
"12","2021-03-15 18:25:30-03","USP","SPF","209818","PreservedSpecimen","Asteraceae","Lychnocephalus","humillimus","Lychnocephalus humillimus","(Sch.Bip.) Loeuille, Semir & Pirani","Loeuille, B",NA,"Zappi, DC",NA,"2009","11","Brasil","Serra do Cipó, Capela de S. José, subida da Senhorinha, segundo platô.",NA,"Arbusto rasteiro, 20 cm alt., crescendo sobre cupinzeiros, DNA.; Campo limpo com Minesia.","SPF00209818",NA,"Plantae",NA,"2016",NA,"2325","11",NA,"Minas Gerais","Santana de Pirapama","-43.757687","-18.947509",NA,NA,NA,"1340","-43.757687","-18.947509","1340",NA,NA,NA,NA
"13","2019-09-04 19:48:13-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Asteraceae","Lychnophora","humillima","Lychnophora humillima",NA,NA,"Holotype","L. Riedel",NA,"1824",NA,"Brazil",NA,NA,NA,NA,NA,"Plantae","Spermatophyta",NA,NA,"1159",NA,"South America",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
"14","2019-01-23 12:22:30-02","F","FMNH-SEEDPLANTS","V0077176F","PreservedSpecimen","Asteraceae","Lychnophora","humillima","Lychnophora humillima",NA,NA,"Isotype","L. Riedel",NA,NA,NA,"Brazil",NA,NA,NA,"V0077176F","V0077176F_01","Plantae","Spermatophyta",NA,NA,"1159",NA,"South America",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
"15","2019-06-24 08:12:32-03","IAC","IAC","25186","S","Asteraceae","Lychnophora","humillima","Lychnophora humillima","Sch.Bip.","L.C. Bernacci",NA,"A. Stella",NA,"1978","11",NA,NA,NA,NA,NA,NA,"Plantae",NA,"2004","05","173","03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27",NA
"16","2019-11-01 14:54:12-03","UnB","UB","200942","PreservedSpecimen","Asteraceae","Lychnophora","humillima","Lychnophora humillima","Sch.Bip.",NA,NA,"Irwin, HS; et al.",NA,"1968","02","Brasil","Serra do Cipó, km 145 (ca. 170km N of Belo Horizonte)",NA,"Shrub 1m. Heads lavender. Leaves on sterile stems considerably larger than those on flowering stems; Sandstone outcrops",NA,NA,"Plantae","Dicotyledoneae",NA,NA,"20643","22","Southern America","Minas Gerais",NA,NA,NA,NA,NA,NA,"1500",NA,NA,"1500",NA,NA,NA,NA
"17","2019-11-01 14:54:12-03","UnB","UB","207543","PreservedSpecimen","Asteraceae","Lychnophora","humillima","Lychnophora humillima","Sch.Bip.","Bringel; Nakajima, JA",NA,"Chaves, DA; Gonçalves, MF; Moreira, PH",NA,"2014","10","Brasil","Cadeia do Espinhaço: Parque Estadual do Rio Preto, área do Módulo PERP 2",NA,"Complexo Rupestre",NA,NA,"Plantae","Dicotyledoneae","2018","03","597","11","Southern America","Minas Gerais","São Gonçalo do Rio Preto","-43.34005","-18.234667",NA,NA,NA,"1615","-43.34005","-18.234667","1615",NA,NA,NA,NA
"18","2019-05-06 11:53:41-03","UFU","HUFU","67257","S","Asteraceae","Lychnophora","humillima","Lychnophora humillima","Sch.Bip.","Nakajima, J.N.",NA,"Ordones, J.; et al.",NA,"2012","04","Brasil","Brumas do Espinhaço e Ermo do Gerais, BrumPPN. Ponto 97 634720 789813 1223 m.",NA,"Capítulos roxos.; Herbáceo Cerrado Campo rupestre. Levantamento florístico do RPPN.","HUFU00047928","HUFU00047928","Plantae",NA,"2013","02","1997","19",NA,"Minas Gerais","Santana do Riacho","-43.7144012451172","-19.1688995361328","26557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-05-06 11:53:41-03","UFU","HUFU","67255","S","Asteraceae","Lychnophora","humillima","Lychnophora humillima","Sch.Bip.","Nakajima, J.N.",NA,"Ordones, J.; et al.",NA,"2012","04","Brasil","Brumas do Espinhaço e Ermo do Gerais, BrumPPN. s/Ponto",NA,"Capítulos roxos; Arbusto Prostrada. Cerrado Campo rupestre. Solo arenoso. Levantamento florístico do RPPN.","HUFU00047927","HUFU00047927","Plantae",NA,"2013","02","1992","19",NA,"Minas Gerais","Santana do Riacho","-43.7144012451172","-19.1688995361328","26557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2017-09-11 17:08:14-03","UnB","HBVIRTFLBRAS",NA,"O","Asteraceae","Lychnophora","humillima","Lychnophora humillima","Sch.Bip.",NA,NA,"Riedel, L",NA,NA,NA,"Brazil","Habitat prov. Minas Geraes in glareosis Serra da Lapa",NA,NA,NA,NA,"Plantae",NA,NA,NA,"s.n.",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2017-09-11 17:08:14-03","UnB","HBVIRTFLBRAS",NA,"O","Asteraceae","Lychnophora","humillima","Lychnophora humillima","Sch.Bip.",NA,NA,"Riedel, L",NA,NA,NA,"Brazil","Habitat prov. Minas Geraes in glareosis Serra da Lapa",NA,NA,NA,NA,"Plantae",NA,NA,NA,"s.n.",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2010-08-16 16:37:36-03","GH","HU-HERB","GH 00009908","PreservedSpecimen","Asteraceae","Lychnophora","humillima","Lychnophora humillima","Schultz Bipontinus",NA,"Isotype","L. Riedel",NA,NA,NA,"Brazil",NA,"Sheet",NA,NA,NA,"Plantae",NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"undetermined"
