"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","locality","recordNumber","occurrenceRemarks","coordinatePrecision","geoFlag","phylum","order","infraspecificEpithet","continentOcean","preparationType","typeStatus","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","previousCatalogNumber"
"18","2021-03-15 16:37:00-03","NY","NYBG","615837","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","myrcioides","Myrceugenia myrcioides acrophylla","(O.Berg) D.Legrand","L. R. Landrum","G. G. Hatschbach","1973","04","06","Brazil","Paraná","Morretes","-48.8342","-25.4769",NA,NA,NA,NA,"NY00615837","NY00615837_01",NA,NA,NA,"Grota Funda","31810","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=530408' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Myrtales","acrophylla","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","615794","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","myrcioides","Myrceugenia myrcioides myrcioides","(Cambess.) O.Berg",NA,"G. G. Hatschbach","1977","09","22","Brazil","Paraná","Tijucas do Sul","-49.1989","-25.9283",NA,NA,NA,NA,"NY00615794","NY00615794_01",NA,NA,NA,"Pirai","40183","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=325550' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Myrtales","myrcioides","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","615838","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","myrcioides","Myrceugenia myrcioides acrophylla","(O.Berg) D.Legrand","G. G. Hatschbach","G. G. Hatschbach","1972","03","21","Brazil","Paraná","Antonina","-48.7117","-25.4286",NA,NA,NA,NA,"NY00615838","NY00615838_01",NA,NA,NA,"Sapitanduva","29330","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=530400' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Myrtales","acrophylla","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","615827","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","myrcioides","Myrceugenia myrcioides acrophylla","(O.Berg) D.Legrand","C. M. D. E. Legrand","R. Reitz","1956","08","16","Brazil","Santa Catarina","Ibirama","-49.5178","-27.0569",NA,NA,"350","350","NY00615827","NY00615827_01",NA,NA,NA,"Hôrto Florestal I. N. P., Ibirama","3595","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=530389' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Myrtales","acrophylla","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","615804","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","myrcioides","Myrceugenia myrcioides myrcioides","(Cambess.) O.Berg","L. R. Landrum","G. G. Hatschbach","1967","07","04","Brazil","Paraná","Campina Grande do Sul","-49.0553","-25.3058",NA,NA,NA,NA,"NY00615804","NY00615804_01",NA,NA,NA,"Sitio do Belizario","16242","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=325547' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Myrtales","myrcioides","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","615792","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","myrcioides","Myrceugenia myrcioides myrcioides","(Cambess.) O.Berg","L. R. Landrum","F. R. Martins","1980","07","11","Brazil","São Paulo","Cunha","-45.052474","-23.263965",NA,NA,NA,NA,"NY00615792","NY00615792_01",NA,NA,NA,"Cunha - Res. Est. Cunha","12367","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=325545' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Myrtales","myrcioides","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","615798","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","myrcioides","Myrceugenia myrcioides myrcioides","(Cambess.) O.Berg","L. R. Landrum","G. G. Hatschbach","1967","08","09","Brazil","Paraná","Guaraqueçaba","-48.3289","-25.3069",NA,NA,NA,NA,"NY00615798","NY00615798_01",NA,NA,NA,"Serrinha","16896","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=325543' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Myrtales","myrcioides","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","615802","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","myrcioides","Myrceugenia myrcioides","(Cambess.) O.Berg","M. Sobral","J. P. P. Carauta","1982","01","20","Brazil","Rio de Janeiro",NA,"-43.261221","-22.96863",NA,NA,"370","370","NY00615802","NY00615802_01",NA,NA,NA,"Estr. Vista Chinesa, km 3-4, Alto da Boa Vista","4129","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=674919' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","615811","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","myrcioides","Myrceugenia myrcioides myrcioides","(Cambess.) O.Berg","C. M. D. E. Legrand","G. G. Hatschbach","1967","08","09","Brazil","Paraná","Guaraqueçaba","-48.3289","-25.3069",NA,NA,NA,NA,"NY00615811","NY00615811_01",NA,NA,NA,"Serrinha","16896","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=325539' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Myrtales","myrcioides","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","615810","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","myrcioides","Myrceugenia myrcioides myrcioides","(Cambess.) O.Berg","C. M. D. E. Legrand","G. G. Hatschbach","1968","04","10","Brazil","Paraná","Guaraqueçaba","-48.3289","-25.3069",NA,NA,"50","50","NY00615810","NY00615810_01",NA,NA,NA,"Serrinha","19005","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=325536' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Myrtales","myrcioides","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","615813","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","myrcioides","Myrceugenia myrcioides acrophylla","(O.Berg) D.Legrand","S. F. Smith","R. A. Wasum","1996","01","16","Brazil","Rio Grande do Sul","Sao Francisco de Paula","-50.395632","-29.433343",NA,NA,"800","800","NY00615813","NY00615813_01",NA,NA,NA,"Sao Francisco de Paula - Floresta Nacional","12100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=530388' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Myrtales","acrophylla","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","615828","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","myrcioides","Myrceugenia myrcioides acrophylla","(O.Berg) D.Legrand",NA,"G. G. Hatschbach","1966","08","02","Brazil","Paraná","Sao José dos Pinhais","-49.2064","-25.5347",NA,NA,NA,NA,"NY00615828","NY00615828_01",NA,NA,NA,"Col. S. Andrade","14602","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=530410' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Myrtales","acrophylla","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","615789","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","myrcioides","Myrceugenia myrcioides","(Cambess.) O.Berg","L. R. Landrum","L. R. Landrum","1982","01","13","Brazil","Rio de Janeiro","Rio de Janeiro","-43.278116","-22.956929",NA,NA,NA,NA,"NY00615789","NY00615789_01",NA,NA,NA,"Floresta da Tijuca, near chapel","4116","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=674925' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","615819","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","myrcioides","Myrceugenia myrcioides acrophylla","(O.Berg) D.Legrand",NA,"L. R. Landrum","1977","12","14","Brazil","Paraná","Guaraqueçaba","-48.5","-25.25",NA,NA,"10","200","NY00615819","NY00615819_01",NA,NA,NA,"Ca. 30-40 km along road to Antonina","2885","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=530409' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Myrtales","acrophylla","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","615826","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","myrcioides","Myrceugenia myrcioides acrophylla","(O.Berg) D.Legrand","L. R. Landrum","R. Reitz","1953","02","04","Brazil","Santa Catarina","Sao José","-48.6272","-27.6156",NA,NA,"1200","1200","NY00615826","NY00615826_01",NA,NA,NA,"Serra da Boa Vista","5483","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=530383' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Myrtales","acrophylla","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","615800","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","myrcioides","Myrceugenia myrcioides myrcioides","(Cambess.) O.Berg","G. M. Barroso","Pessoal do Horto Florestal","1927","04","30","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"NY00615800","NY00615800_01",NA,NA,NA,"Matas das Obras Públicas, próximo do Horto Florestal","s.n.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=325530' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Myrtales","myrcioides","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","719888","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","myrcioides","Myrceugenia myrcioides","(Cambess.) O.Berg",NA,"A. C. Santos-Neta","2008","04","24","Brazil","São Paulo","Santo André","-46.297311","-23.769289",NA,NA,NA,NA,"NY00719888","NY00719888_01",NA,NA,NA,"Paranapiacaba, Trilha da Pontinha","54","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2523997' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","615807","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","myrcioides","Myrceugenia myrcioides myrcioides","(Cambess.) O.Berg","C. M. D. E. Legrand","R. Reitz","1960","05","14","Brazil","Santa Catarina","Sombrio","-49.6167","-29.1142",NA,NA,"30","30","NY00615807","NY00615807_01",NA,NA,NA,"Garapuvu, Vista Alegre, Sombrio","9677","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=325532' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Myrtales","myrcioides","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","615816","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","myrcioides","Myrceugenia myrcioides acrophylla","(O.Berg) D.Legrand","L. R. Landrum","L. R. Landrum","1977","12","14","Brazil","Paraná","Guaraqueçaba","-48.5","-25.25",NA,NA,"10","200","NY00615816","NY00615816_01",NA,NA,NA,"Ca. 30-40 km","2902","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=530394' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Myrtales","acrophylla","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","615818","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","myrcioides","Myrceugenia myrcioides acrophylla","(O.Berg) D.Legrand","L. R. Landrum","L. R. Landrum","1977","12","13","Brazil","Paraná","Morretes","-48.8342","-25.4769",NA,NA,"600","600","NY00615818","NY00615818_01",NA,NA,NA,"Via Graciosa, Grota Funda","2857","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=530396' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Myrtales","acrophylla","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","615824","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","myrcioides","Myrceugenia myrcioides acrophylla","(O.Berg) D.Legrand","C. M. D. E. Legrand","R. Reitz","1958","03","07","Brazil","Santa Catarina","Vidal Ramos","-49.3556","-27.3919",NA,NA,"750","750","NY00615824","NY00615824_01",NA,NA,NA,"Sabiá, Vidal Ramos","6586","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=530393' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Myrtales","acrophylla","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","615814","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","myrcioides","Myrceugenia myrcioides acrophylla","(O.Berg) D.Legrand",NA,"A. Sehnem","1978","02","23","Brazil","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,"NY00615814","NY00615814_01",NA,NA,NA,"Potreiro Novo - Tainhas","15899","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=530404' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Myrtales","acrophylla","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","615803","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","myrcioides","Myrceugenia myrcioides myrcioides","(Cambess.) O.Berg","C. M. D. E. Legrand","R. Reitz","1954","05","14","Brazil","Santa Catarina","Itajaí","-48.6617","-26.9081",NA,NA,"100","100","NY00615803","NY00615803_01",NA,NA,NA,"Morro da Fazenda, Itajaí","1837","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=325533' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Myrtales","myrcioides","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","615795","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","myrcioides","Myrceugenia myrcioides myrcioides","(Cambess.) O.Berg","L. R. Landrum","G. G. Hatschbach","1967","04","07","Brazil","Paraná","Campina da Lagoa","-52.7989","-24.5919",NA,NA,"1100","1100","NY00615795","NY00615795_01",NA,NA,NA,"Sitio do Belizario","16242","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=325542' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Myrtales","myrcioides","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","615788","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","myrcioides","Myrceugenia myrcioides myrcioides","(Cambess.) O.Berg","L. R. Landrum","J. Mattos","1965","08","20","Brazil","São Paulo","Salesópolis","-45.886229","-23.65179",NA,NA,NA,NA,"NY00615788","NY00615788_01",NA,NA,NA,"Salesopolis, Estacao Biologica de Boraceia","12449","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=325540' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliophyta","Myrtales","myrcioides","South America","sheet",NA,NA,NA,NA,NA,NA,NA
