"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","class","identifiedBy","day","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","fieldNumber","individualCount","yearIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","previousCatalogNumber","monthIdentified","dayIdentified"
"11","2015-09-03 19:06:32-03","MNHN","RECOLNAT_MNHN_P","P01752026","PreservedSpecimen",NA,NA,NA,"Lauraceae","Persea","punctata","Persea punctata","Meisn.",NA,"Glaziou, A.",NA,"1893","11",NA,"Brasil","Brésil. Minas, Sabara. Sabará, Minas Gerais, Sudeste, Brasil, América do Sul","hb",". . donné par Mme SIMARD, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01752026' target='other'> <mi>dwc_moreinfo</mi></a>","P01752026","P01752026_01",NA,NA,"27","Minas Gerais","Sabará","-43.79403","-19.87159",NA,NA,"20461",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2015-09-03 19:06:32-03","MNHN","RECOLNAT_MNHN_P","P01752027","PreservedSpecimen",NA,NA,NA,"Lauraceae","Persea","punctata","Persea punctata","Meisn.",NA,"Glaziou, A.",NA,"1888","1",NA,"Brasil","BRÉSIL: (Rio Jan) Teresopolis, au Sommet de L Serra das Araras. Rio de Janeiro, Sudeste, Brasil, América do Sul","hb",". . Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01752027' target='other'> <mi>dwc_moreinfo</mi></a>","P01752027","P01752027_01",NA,NA,"29","Rio de Janeiro",NA,"-42.96643","-22.41233",NA,NA,"17178",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2015-09-03 19:06:32-03","MNHN","RECOLNAT_MNHN_P","P01752028","PreservedSpecimen",NA,NA,NA,"Lauraceae","Persea","punctata","Persea punctata","Meisn.",NA,"Glaziou, A.",NA,"1888","12",NA,"Brasil","Brésil. Itabira do Campo. Itabirito, Minas Gerais, Sudeste, Brasil, América do Sul","hb",". . donné par Mme SIMARD, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01752028' target='other'> <mi>dwc_moreinfo</mi></a>","P01752028","P01752028_01",NA,NA,"20","Minas Gerais","Itabirito","-43.80185","-20.24983",NA,NA,"17727",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-12-07 15:18:00-03","MO","MOBOT","1055351","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Persea","punctata","Persea punctata","Meisn.",NA,"Teodoro Rojas","Rojas 6865","1934","4","South America","Paraguay","Granja Soto",NA,NA,NA,NA,NA,"H. van der Werff (MO)",NA,"Amambay",NA,"-55.6166667","-22.5666667",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-12-07 15:30:00-03","MO","MOBOT","1055284","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Persea","punctata","Persea punctata","Meisn.",NA,"Teodoro Rojas","Rojas 6203","1933","9","South America","Paraguay","Punta Porá; Cabeceras! (Pedro Juan Caballero). Orillas islas de montes.",NA,NA,NA,NA,NA,"H. van der Werff",NA,"Amambay",NA,"-55.6166667","-22.5666667",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2008-05-27 22:02:00-03","MO","MOBOT","1901512","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Persea","punctata","Persea punctata","Meisn.",NA,"Per Dusén","Dusén 9797","1910","4","South America","Brazil","Itararé, in silvula.",NA,NA,NA,NA,NA,"L.E. Kopp (NY)","16","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2011-02-28 15:25:00-03","MO","MOBOT","1901524","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Persea","punctata","Persea punctata","Meisn.",NA,"Peter W. Lund","Lund 1839","1834",NA,"South America","Brazil","In [paladibus]. [Batataes].",NA,NA,NA,NA,NA,NA,NA,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2009-10-26 23:35:00-02","MO","MOBOT","1901527","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Persea","punctata","Persea punctata","Meisn.",NA,"Ludwig Riedel","Riedel 2234",NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,"A. Gentry (MO)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-09-02 16:30:26-03","Cenargen","CEN","31834","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Persea","punctata","Persea punctata","Meisn.",NA,"Bruno Machado Teles Walter","3534","1996","10",NA,"Brasil","Estrada Minaçú - obra de Serra da Mesa. Cerca de 8 km da entrada Norte do Canteiro.","Exsicatas","Área de influência do AHE Serra da Mesa. Folhas discolores, face adaxial verde, abaxial marrom-dourado. Cálice marrom-dourado.","CEN00031834","CEN00031834",NA,"J. B. Baitello","22","GO","MINACU",NA,NA,NA,NA,NA,"4","1999","-4828333.0","-1371667.0","800","800",NA,NA,NA,NA
"20","2019-09-04 18:10:45-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Lauraceae","Persea","punctata","Persea punctata",NA,"Isolectotype","P. W. Lund","s.n.","1834","6","South America","Brazil",NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2015-03-07 01:36:10-03","F","FMNH-SEEDPLANTS","V0170557F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Lauraceae","Persea","punctata","Persea punctata",NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"V0170557F","V0170557F_01","Dicotyledoneae",NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-09-05 15:23:04-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Lauraceae","Persea","punctata","Persea punctata matthewsii",NA,"Holotype","A. Mathews","s.n.","1830",NA,"South America","Peru","Chachapoyas",NA,NA,NA,NA,"Dicotyledoneae",NA,NA,"Amazonas","Chachapoyas","-77.9","-6.2167",NA,NA,NA,NA,NA,NA,NA,NA,NA,"matthewsii",NA,NA,NA
"23","2019-01-23 11:01:12-02","F","FMNH-SEEDPLANTS","V0040339F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Lauraceae","Persea","punctata","Persea punctata matthewsii",NA,"Isotype","A. Mathews","s.n.","1846",NA,"South America","Peru","Chachapoyas",NA,NA,"V0040339F","V0040339F_01","Dicotyledoneae",NA,NA,"Amazonas","Chachapoyas","-77.9","-6.2167",NA,NA,NA,NA,NA,NA,NA,NA,NA,"matthewsii",NA,NA,NA
"24","2016-08-23 09:45:29-03","NHMLondon","NHM-LONDON-BOT","BM001118063","S","Plantae",NA,NA,"Lauraceae","Persea","punctata","Persea punctata","Meisn.",NA,"Hermógenes F. Leitao; Leitao, H.F.; Fernando Roberto Martins; Universidade Estadual de Campinas; b.","10,6","1979","11",NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:2684747",NA,NA
"25","2017-09-11 17:10:22-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Lauraceae","Persea","punctata","Persea punctata","Meisn.",NA,"Riedel, L","2234ex. p.",NA,NA,"Southern America","Brazil","in paludosis prov. S. Pauli ad Araracoara, S. Carlos et Mugy",NA,"m. Nov.--Maj.",NA,"P05P2N0046",NA,NA,NA,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2017-09-11 17:10:22-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Lauraceae","Persea","punctata","Persea punctata","Meisn.",NA,"Lund, PW","s.n.",NA,NA,"Southern America","Brazil","et circa Batataes",NA,"m. Jun.; Pl. Oreas.; HABITAT: Pl. Oreas.",NA,"P05P2N0046",NA,NA,NA,"São Paulo","Batatais","-47.58","-20.89","22006","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2014-09-23 11:01:44-03","G","G-DC","G00135196","S","Plantae",NA,NA,"Lauraceae","Persea","punctata","Persea punctata","Meisn.","HOLOTYPUS of Persea punctata Meisn.","Lund, P. W.",NA,"1839",NA,"AMERIQUE DU SUD","Brazil",NA,NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site","G00135196",NA,NA,"CAT.HERB.PRODR.","00","São Paulo",NA,"-48.65972222","-22.40444444",NA,NA,NA,NA,"2008","-48.65972222","-22.40444444",NA,NA,NA,NA,"01","01"
"28","2019-11-21 10:07:38-03","IBt","SP","10601","S","Plantae",NA,NA,"Lauraceae","Persea","punctata","Persea punctata","Meisn.",NA,"Loefgren, A","CGG847","1888","08",NA,"Brasil","Feijão, linha Rio Claro, capão úmido.",NA,"Árvore pequena, fruto.","SP006402","SP006402",NA,"Kopp, LE","09","São Paulo","Rio Claro","-47.560001373291","-22.4099998474121","21773","auto",NA,NA,"1973",NA,NA,NA,NA,NA,NA,"04",NA
"29","2014-09-23 10:58:11-03","G","G","G00368941","S","Plantae",NA,NA,"Lauraceae","Persea","punctata","Persea punctata","Meisn.","ISOTYPUS of Persea lanceolata Meisn.","Riedel, L.","2234",NA,NA,"AMERIQUE DU SUD","Brazil",NA,NA,"Coordinate uncertainty: Precision at the level of country Image URL: No picture available on the institution's web site","G00368941",NA,NA,"Werff van der, H. H.",NA,NA,NA,"-53.08972222","-10.77305556",NA,NA,NA,NA,"1985","-53.08972222","-10.77305556",NA,NA,NA,NA,"01","01"
