"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","relationshipType","relatedCatalogItem","class","individualCount","typeStatus"
"15","2020-12-21 16:16:27-03","MBM","MBM","423687","PreservedSpecimen","Plantae","Asteraceae","Lessingianthus","reitzianus","Lessingianthus reitzianus","(Cabrera) H. Rob.","Funez, L.A.","2016","12","05","Schwirkowski, P.","2138","2016","11","26","Brazil","Santa Catarina","São Bento do Sul","Minas de Caulin, Próximo às Minas de Caulin","-49.224722","-26.290833","-49.224722","-26.290833","950","1050","Arbusto.; Campo de altitude com capões de FOM Altomontana.","MBM423687",NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-12-21 16:16:27-03","MBM","MBM","99197","PreservedSpecimen","Plantae","Asteraceae","Lessingianthus","reitzianus","Lessingianthus reitzianus","(Cabrera) H. Rob.","Ribas, O.S.",NA,NA,NA,"Hatschbach, G.","48798","1984","12","27","Brazil","Paraná","Balsa Nova","Serra São Luís do Purunã","-49.6356010437012","-25.5839004516602",NA,NA,NA,NA,NA,"MBM099197","MBM099197",NA,NA,"Southern America",NA,"27346","auto",NA,NA,NA,NA,NA
"17","2020-12-21 16:16:27-03","MBM","MBM","243964","PreservedSpecimen","Plantae","Asteraceae","Lessingianthus","reitzianus","Lessingianthus reitzianus","(Cabrera) H. Rob.","Dematteis, M.",NA,NA,NA,"Cordeiro, J.; Silva, J.M.; Ribas, O.S.; Silva, J.M.; Ribas, O.S.","1742","1999","12","28","Brazil","Santa Catarina","Campo Alegre","Serra do Quiriri, próximo a torre de rádio","-49.2655982971191","-26.1924991607666",NA,NA,NA,NA,"= 245285","MBM243964","MBM243964",NA,NA,"Southern America",NA,"37493","auto",NA,NA,NA,NA,NA
"18","2020-12-21 16:16:27-03","MBM","MBM","245285","PreservedSpecimen","Plantae","Asteraceae","Lessingianthus","reitzianus","Lessingianthus reitzianus","(Cabrera) H. Rob.","Dematteis, M.",NA,NA,NA,"Cordeiro, J.; Silva, J.M.; Ribas, O.S.; Silva, J.M.; Ribas, O.S.","1742","1999","11","28","Brazil","Santa Catarina","Campo Alegre","Serra do Quiriri, próximo a torre de rádio","-49.2655982971191","-26.1924991607666",NA,NA,NA,NA,"= 243964","MBM245285","MBM245285",NA,NA,"Southern America",NA,"37493","auto",NA,NA,NA,NA,NA
"19","2020-12-21 16:16:27-03","MBM","MBM","203542","PreservedSpecimen","Plantae","Asteraceae","Lessingianthus","reitzianus","Lessingianthus reitzianus","(Cabrera) H. Rob.","Dematteis, M.",NA,NA,NA,"Ribas, O.S.; Luz, M.F. da; Luz, M.F. da","1543","1996","10","28","Brazil","Paraná","Balsa Nova","Rod. BR-277, Serra São Luís do Purunã","-49.6356010437012","-25.5839004516602",NA,NA,NA,NA,NA,"MBM203542","MBM203542",NA,NA,"Southern America",NA,"27346","auto",NA,NA,NA,NA,NA
"20","2020-12-21 16:16:27-03","MBM","MBM","232034","PreservedSpecimen","Plantae","Asteraceae","Lessingianthus","reitzianus","Lessingianthus reitzianus","(Cabrera) H. Rob.","Robinson, H.",NA,NA,NA,"Silva, J.M.; O.S. Ribas, O.S.; Barboza, E.; O.S. Ribas, O.S.; Barboza, E.","2729","1998","12","29","Brazil","Santa Catarina","Campo Alegre","Serra do Quiriri","-49.2655982971191","-26.1924991607666",NA,NA,NA,NA,NA,"MBM232034","MBM232034",NA,NA,"Southern America",NA,"37493","auto",NA,NA,NA,NA,NA
"21","2020-12-21 16:16:27-03","MBM","MBM","257768","PreservedSpecimen","Plantae","Asteraceae","Lessingianthus","reitzianus","Lessingianthus reitzianus","(Cabrera) H. Rob.","Cordeiro, J.; Ribas, O.S.",NA,NA,NA,"Ribas, O.S.; Poliquesi, C.B.; Costa, E.F.; Poliquesi, C.B.; Costa, E.F.","3339","2001","03","03","Brazil","Santa Catarina","Campo Alegre","Serra do Quiriri","-49.2655982971191","-26.1924991607666",NA,NA,NA,NA,NA,"MBM257768","MBM257768",NA,NA,"Southern America",NA,"37493","auto",NA,NA,NA,NA,NA
"22","2020-12-21 16:17:47-03","MBM","MBM","60215","PreservedSpecimen","Plantae","Asteraceae","Vernonia","reitziana","Vernonia reitziana","Cabrera","Barroso, G.M.",NA,NA,NA,"Hatschbach, G.","3920","1957","03","31","Brazil","Paraná","Piraí do Sul","Serra das Furnas","-49.948600769043","-24.5261001586914",NA,NA,NA,NA,NA,"MBM060215","MBM060215",NA,NA,"Southern America",NA,"37171","auto",NA,NA,NA,NA,NA
"23","2020-12-21 16:17:47-03","MBM","MBM","37566","PreservedSpecimen","Plantae","Asteraceae","Vernonia","reitziana","Vernonia reitziana","Cabrera","Cabrera, A.L.",NA,NA,NA,"Hatschbach, G.; Kummrow, R.; Kummrow, R.","37253","1975","09","28","Brazil","Goiás","Alto Paraíso","Chapada dos Veadeiros",NA,NA,NA,NA,NA,NA,NA,"MBM037566",NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-12-21 16:17:47-03","MBM","MBM","104484","PreservedSpecimen","Plantae","Asteraceae","Vernonia","reitziana","Vernonia reitziana","Cabrera","Cabrera, A.L.",NA,NA,NA,"Ferrucci, M.S.; et al.; et al.","236","1985","01","19","Brazil","Paraná","Balsa Nova","São Luís","-49.6356010437012","-25.5839004516602",NA,NA,NA,NA,NA,"MBM104484","MBM104484",NA,NA,"Southern America",NA,"27346","auto",NA,NA,NA,NA,NA
"25","2020-12-21 16:17:47-03","MBM","MBM","66357","PreservedSpecimen","Plantae","Asteraceae","Vernonia","reitziana","Vernonia reitziana","Cabrera","Robinson, H.",NA,NA,NA,"Hatschbach, G.","39206","1976","11","18","Brazil","Paraná","Piraí do Sul","Joaquim Murtinho","-49.948600769043","-24.5261001586914",NA,NA,NA,NA,NA,"MBM066357","MBM066357",NA,NA,"Southern America",NA,"37171","auto",NA,NA,NA,NA,NA
"26","2021-04-07 14:12:27-03","JBB","HEPH","16979","S","Plantae","Asteraceae","Lessingianthus","reitzianus","Lessingianthus reitzianus","(Cabrera) H.Rob.","Robinson, HE",NA,NA,NA,"Cordeiro, J","1742","1999","12","26","Brasil","Santa Catarina","Campo Alegre","Serra Quiriri próximo a Torre de Rádio","-49.2655982971191","-26.1924991607666",NA,NA,NA,NA,NA,NA,NA,"Dicotyledon","Asterales","Southern America",NA,"37493","auto",NA,NA,NA,NA,NA
"27","2020-12-11 11:33:08-03","UFMG","BHCB","97381","PreservedSpecimen","Plantae","Asteraceae","Lessingianthus","reitzianus","Lessingianthus reitzianus","(Cabrera) H.Rob.",NA,NA,NA,NA,"Linsingen; Sonehara","94","2000","03","06","Brasil","Paraná","Jaguariaíva","Joaquim Murtinho.","-49.7057991027832","-24.2511005401611",NA,NA,NA,NA,"Campo de altitude, acima da Cuesta Devoniana do segundo planalto.",NA,NA,"Dicotyledon",NA,"Southern America",NA,"44368","auto",NA,NA,NA,NA,NA
"28","2020-12-11 11:33:08-03","UFMG","BHCB","59570","PreservedSpecimen","Plantae","Asteraceae","Lessingianthus","reitzianus","Lessingianthus reitzianus","(Cabrera) H.Rob.",NA,NA,NA,NA,"Cordeiro, J; Silva, JM; Barbosa, E; Ribas, OS","1742","1999","12","28","Brasil","Santa Catarina","Campo Alegre","Serra Quiriri., Próximo a torre de rádio.","-49.2655982971191","-26.1924991607666",NA,NA,"1500","1500","Campo de altitude. Capítulo lilás.",NA,NA,"Dicotyledon",NA,"Southern America",NA,"37493","auto",NA,NA,NA,NA,NA
"29","2020-09-12 05:00:02-03","US","US","2858921","PreservedSpecimen","Plantae","Asteraceae","Lessingianthus","reitzianus","Lessingianthus reitzianus","(Cabrera) H. Rob.",NA,NA,NA,NA,"G. Hatschbach","39206","1976","11","18","Brazil","Paraná",NA,"Joaquim Murtinho (mun. Pirai do Sul) Parana",NA,NA,NA,NA,NA,NA,NA,"US01631251","US01631251_01",NA,"Asterales","South America",NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"30","2020-09-12 05:00:02-03","US","US","3062786","PreservedSpecimen","Plantae","Asteraceae","Lessingianthus","reitzianus","Lessingianthus reitzianus","(Cabrera) H. Rob.",NA,NA,NA,NA,"G. Hatschbach","48798","1984","12","27","Brazil","Paraná",NA,"Serra S. Luis (mun. Balsa Nova) Parana",NA,NA,NA,NA,NA,NA,NA,"US01631250","US01631250_01",NA,"Asterales","South America",NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"31","2020-09-12 05:00:02-03","US","US","3381609","PreservedSpecimen","Plantae","Asteraceae","Lessingianthus","reitzianus","Lessingianthus reitzianus","(Cabrera) H. Rob.",NA,NA,NA,NA,"J. M. Silva, O. S. Ribas, J. Cordeiro & E. L. Barbosa","2729","1998","12","29","Brazil","Santa Catarina",NA,"Serra do Quiriri (Mun. Campo Alegre) Santa Catarina",NA,NA,NA,NA,NA,NA,NA,"US01631248","US01631248_01",NA,"Asterales","South America",NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"32","2020-09-12 05:00:02-03","US","US","2554946","PreservedSpecimen","Plantae","Asteraceae","Lessingianthus","reitzianus","Lessingianthus reitzianus","(Cabrera) H. Rob.",NA,NA,NA,NA,"Reitz & Klein, --","17453","1965","12","12","Brazil","Paraná",NA,"Serra de Sao Luiz, Balsa Nova, Parana",NA,NA,NA,NA,"1100",NA,NA,"US01631246","US01631246_01",NA,"Asterales","South America",NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"33","2020-09-12 05:00:02-03","US","US","2268719","PreservedSpecimen","Plantae","Asteraceae","Lessingianthus","reitzianus","Lessingianthus reitzianus","(Cabrera) H. Rob.",NA,NA,NA,NA,"Reitz & Klein, --","6084","1958","1","9","Brazil","Santa Catarina",NA,"Morro do Iquererim, Campo Alegre",NA,NA,NA,NA,"1300",NA,NA,"US01631247","US01631247_01",NA,"Asterales","South America",NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"34","2020-09-12 05:00:02-03","US","US","3473201","PreservedSpecimen","Plantae","Asteraceae","Lessingianthus","reitzianus","Lessingianthus reitzianus","(Cabrera) H. Rob.",NA,NA,NA,NA,"O. S. Ribas, J. Cordeiro & E. L. Barbosa","2287","1998","1","14","Brazil","Santa Catarina",NA,"Serra Quiriri, Pedra da Flor (Mun. Campo Alegre) Santa Catarina",NA,NA,NA,NA,"1100",NA,NA,"US01631249","US01631249_01",NA,"Asterales","South America",NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"35","2020-09-12 05:00:02-03","US","US","2268838","PreservedSpecimen","Plantae","Asteraceae","Vernonia","reitziana","Vernonia reitziana","Cabrera",NA,NA,NA,NA,"R. Reitz & R. M. Klein","6449","1958","5","5","Brazil","Santa Catarina",NA,"Morro de Iquererim; Campo Alegre.",NA,NA,NA,NA,NA,NA,NA,"US00147339","US00147339_01",NA,"Asterales","South America",NA,NA,NA,NA,NA,"Dicotyledonae","1","Isotype"
"36","2021-03-25 13:51:38-03","UNIVILLE","JOI","9234","PreservedSpecimen","Plantae","Asteraceae","Lessingianthus","reitzianus","Lessingianthus reitzianus","(Cabrera) H.Rob.",NA,"2020","11","11","F.C.S. Vieira","1994","2007","11","15","Brasil","Santa Catarina","Garuva","Serra Quiriri, estrada Três Barras em direção ao Rancho Paulo Sales.","-48.8549995422363","-26.0266990661621",NA,NA,"1200","1200","; HABITAT: campo altomontano; HABITO: erva","JOI009234",NA,NA,NA,NA,NA,"22441","auto",NA,NA,NA,NA,NA
"37","2020-08-20 20:38:09-03","UFSC","FLOR","59645","PreservedSpecimen","Plantae","Asteraceae","Lessingianthus","reitzianus","Lessingianthus reitzianus","(Cabrera) H.Rob.","Funez, L.A.","2014",NA,NA,"Funez, L.A.; Trevisan, R.; Ferreira, J.P.R. & Venturi, S.","4041","2014","11","04","Brasil","Santa Catarina","Campo Alegre","Campos do Quiriri.","-48.953333","-26.036667","48º57'12''W","26º2'12''S",NA,NA,"erva, flores róseas","FLOR0059645","FLOR0059645",NA,"Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-02-08 12:36:34-03","UFRGS","ICN","050179","S","Plantae","Asteraceae","Lessingianthus","reitzianus","Lessingianthus reitzianus","(Cabrera) H.Rob.","Loeuille, B",NA,NA,NA,"Goergem, J","s.n.",NA,NA,NA,"Brasil","RS","Tapes","Saco de Tapes Lagoa dos Patos","-51.3958015441895","-30.6732997894287",NA,NA,NA,NA,NA,NA,NA,"Dicotyledon",NA,"América do Sul",NA,"25762","auto",NA,NA,NA,NA,NA
"39","2019-11-21 10:00:55-03","IBt","SP","357642","S","Plantae","Asteraceae","Lessingianthus","reitzianus","Lessingianthus reitzianus","(Cabrera) H.Rob.","Robinson, H","2000",NA,NA,"Cordeiro, J; Silva, JM; Barbosa, E; Ribas, OS","1742","1999","12","28","Brasil","Santa Catarina","Campo Alegre","Serra Quiriri, Próximo à torre de rádio","-49.2655982971191","-26.1924991607666",NA,NA,"150","150",NA,NA,NA,NA,NA,NA,NA,"37493","auto",NA,NA,NA,NA,NA
