"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","class","typeStatus","fieldNumber","individualCount"
"11","2019-11-05 16:44:55-03","UFOP","OUPR","20144","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lepidaploa","gnaphalioides","Lepidaploa gnaphalioides","(Sch.Bip. ex Baker) H.Rob.","Badini, J.","s.n.","1979","06","09",NA,"Brasil","Minas Gerais","Itacolomi","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Campo. Erva. Flore rubras",NA,NA,"Almeida, G.; Dematteis, M.","Ouro Preto",NA,NA,"2012",NA,"44599","auto",NA,NA,NA,NA,NA
"12","2014-10-14 15:56:23-03","BS","M","M-0029322","S","Plantae","Magnoliophyta","Asterales","Asteraceae","Lepidaploa","gnaphalioides","Lepidaploa gnaphalioides","(Sch.Bip. ex Baker) H.Rob.","Martius, C.F.P. von",NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,"M0029322",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida","NOTATYPE",NA,NA
"13","2014-10-14 15:56:23-03","BS","M","M-0029323","S","Plantae","Magnoliophyta","Asterales","Asteraceae","Lepidaploa","gnaphalioides","Lepidaploa gnaphalioides","(Sch.Bip. ex Baker) H.Rob.","Riedel, L.",NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,"M0029323",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida","NOTATYPE",NA,NA
"14","2015-09-04 05:21:33-03","MNHN","RECOLNAT_MNHN_P","P02554187","PreservedSpecimen",NA,NA,NA,"Asteraceae","Vernonia","gnaphalioides","Vernonia gnaphalioides","Sch.Bip. ex Baker","Glaziou, A.",NA,"1884","2","21",NA,"Brasil","Minas Gerais","Brésil, Minas, Serra do Batatal.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02554187' target='other'> <mi>dwc_moreinfo</mi></a>","P02554187","P02554187_01","Nakajima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14985",NA
"15","2015-09-04 05:21:33-03","MNHN","RECOLNAT_MNHN_P","P02554188","PreservedSpecimen",NA,NA,NA,"Asteraceae","Vernonia","gnaphalioides","Vernonia gnaphalioides","Sch.Bip. ex Baker","Glaziou, A.",NA,"1884","2","21",NA,"Brasil","Minas Gerais","Brésil, Minas, Serra do Batatal.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02554188' target='other'> <mi>dwc_moreinfo</mi></a>","P02554188","P02554188_01","Nakajima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14987",NA
"16","2015-09-04 05:21:33-03","MNHN","RECOLNAT_MNHN_P","P02554189","PreservedSpecimen",NA,NA,NA,"Asteraceae","Vernonia","gnaphalioides","Vernonia gnaphalioides","Sch.Bip. ex Baker","Glaziou, A.",NA,"1884","2","21",NA,"Brasil","Minas Gerais","Brésil, Minas, Serra do Batatal.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02554189' target='other'> <mi>dwc_moreinfo</mi></a>","P02554189","P02554189_01","Nakajima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14985",NA
"17","2015-09-04 05:21:33-03","MNHN","RECOLNAT_MNHN_P","P02554191","PreservedSpecimen",NA,NA,NA,"Asteraceae","Vernonia","gnaphalioides","Vernonia gnaphalioides","Sch.Bip. ex Baker","Claussen",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Brésil, Minas-Geraes.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02554191' target='other'> <mi>dwc_moreinfo</mi></a>","P02554191","P02554191_01","Nakajima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50",NA
"18","2015-09-04 05:21:33-03","MNHN","RECOLNAT_MNHN_P","P02554192","PreservedSpecimen",NA,NA,NA,"Asteraceae","Vernonia","gnaphalioides","Vernonia gnaphalioides","Sch.Bip. ex Baker","Claussen",NA,"1841","1","1",NA,"Brasil","Minas Gerais","Brésil, Minas Geraes.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02554192' target='other'> <mi>dwc_moreinfo</mi></a>","P02554192","P02554192_01","Nakajima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50",NA
"19","2015-09-04 05:21:33-03","MNHN","RECOLNAT_MNHN_P","P02554193","PreservedSpecimen",NA,NA,NA,"Asteraceae","Vernonia","gnaphalioides","Vernonia gnaphalioides","Sch.Bip. ex Baker","Claussen",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Brésil, Minas Geraes.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02554193' target='other'> <mi>dwc_moreinfo</mi></a>","P02554193","P02554193_01","Nakajima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50",NA
"20","2018-01-18 14:51:29-02","MNHN","RECOLNAT_MNHN_P","P02703132","PreservedSpecimen",NA,NA,NA,"Asteraceae","Vernonia","gnaphalioides","Vernonia gnaphalioides","Sch.Bip. ex Baker","Gounelle",NA,NA,NA,NA,NA,"Brasil",NA,"Bresil.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02703132' target='other'> <mi>dwc_moreinfo</mi></a>","P02703132","P02703132_01","Nakajima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-12-11 11:33:04-03","UFMG","BHCB","133839","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lepidaploa","gnaphalioides","Lepidaploa gnaphalioides","(Sch.Bip. ex Baker) H.Rob.","Oliveira, CT; Viana, PL","137","2008","10","01","Southern America","Brasil","Minas Gerais","Santuário do Caraça, Pico do Inficionado","-43.451111","-20.134722","2060","2060",NA,"Erva de 40cm, capítulos brancos, brácteas involucrais rosas","BHCB006792",NA,NA,"Catas Altas","-43.451111","-20.134722","2012","03",NA,NA,NA,NA,NA,NA,NA
"22","2020-12-11 11:33:04-03","UFMG","BHCB","133840","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lepidaploa","gnaphalioides","Lepidaploa gnaphalioides","(Sch.Bip. ex Baker) H.Rob.","Oliveira, CT; Arruda, AJ","346","2009","02","17","Southern America","Brasil","Minas Gerais","RPPN do Santuário do Caraça., Pico do Caraça.","-43.470278","-20.091389","1827","1827",NA,"Erva de 60cm, capítulos com flores rosas","BHCB006791",NA,NA,"Catas Altas","-43.470278","-20.091389","2012","03",NA,NA,NA,NA,NA,NA,NA
"23","2020-12-11 11:33:04-03","UFMG","BHCB","133841","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lepidaploa","gnaphalioides","Lepidaploa gnaphalioides","(Sch.Bip. ex Baker) H.Rob.","Oliveira, CT; Giacomin, LL; Viveros, RS","450","2009","04","25","Southern America","Brasil","Minas Gerais","Santuário do Caraça, Pico do Sol","-43.4475","-20.111667","1894","1894",NA,"Arbusto de 60cm, flores rosas","BHCB006790",NA,NA,"Catas Altas","-43.4475","-20.111667","2012","03",NA,NA,NA,NA,NA,NA,NA
"24","2020-12-11 11:33:04-03","UFMG","BHCB","168068","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lepidaploa","gnaphalioides","Lepidaploa gnaphalioides","(Sch.Bip. ex Baker) H.Rob.","Miranda, E; Tomich, S; Machado, TM; Souza, FS","249","2013","04","14","Southern America","Brasil","Minas Gerais","Mina de Conta História","-43.550556","-20.233056","1555","1555",NA,"Erva; Campo Rupestre Ferruginoso Aberto. Litotipo: Hematita compacta e friável","BHCB025288",NA,NA,"Ouro Preto","-43.550556","-20.233056","2015","05",NA,NA,"28",NA,NA,NA,NA
"25","2020-12-11 11:33:04-03","UFMG","BHCB","168446","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lepidaploa","gnaphalioides","Lepidaploa gnaphalioides","(Sch.Bip. ex Baker) H.Rob.","Miranda, E; Tomich, S; Machado, TM; Souza, FS","1058","2013","04","19","Southern America","Brasil","Minas Gerais","Mina de Fábrica","-43.930278","-20.421389","1472","1472",NA,"Arbusto; Campo Rupestre Ferruginoso Aberto. Litotipo: Laterita e detritos ferruginosos não cimentados","BHCB025289",NA,NA,"Congonhas","-43.930278","-20.421389","2015","05",NA,NA,"28",NA,NA,NA,NA
"26","2020-12-11 11:33:04-03","UFMG","BHCB","168506","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lepidaploa","gnaphalioides","Lepidaploa gnaphalioides","(Sch.Bip. ex Baker) H.Rob.","Miranda, E; Tomich, S; Machado, TM; Souza, FS","1142","2013","04","19","Southern America","Brasil","Minas Gerais","Mina de Fábrica","-43.930278","-20.421389","1472","1472",NA,"Erva; Campo Rupestre Ferruginoso Arbustivo. Litotipo: Laterita e detritos ferruginosos não cimentados","BHCB025291",NA,NA,"Congonhas","-43.930278","-20.421389","2015","05",NA,NA,"28",NA,NA,NA,NA
"27","2020-12-11 11:33:04-03","UFMG","BHCB","42313","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lepidaploa","gnaphalioides","Lepidaploa gnaphalioides","(Sch.Bip. ex Baker) H.Rob.","Kawasaki, ML; Mello-Silva, R de; R.; Rapini, A","993","1997","05","26","Southern America","Brasil","Minas Gerais","Serra do Caraça, Trilha do Pico do Inficionado","-43.451389","-20.134722","2000","2000",NA,"Erva. Sistema subterrâneo desenvolvido; folhas glaucas; flores rosadas a lilases; estigma lilás","BHCB023167",NA,NA,"Santa Bárbara","-43.451389","-20.134722","2008","06",NA,NA,"24",NA,NA,NA,NA
"28","2020-12-11 11:33:04-03","UFMG","BHCB","52448","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lepidaploa","gnaphalioides","Lepidaploa gnaphalioides","(Sch.Bip. ex Baker) H.Rob.","Vasconcelos, MF de","s.n.","2000","04","22","Southern America","Brasil","Minas Gerais","Serra do Caraça.","-43.4075012207031","-20.0746994018555","1600","1600",NA,"Erva; Campo rupestre","BHCB023140",NA,NA,"Catas Altas",NA,NA,"2008","06","11966","auto","24",NA,NA,NA,NA
"29","2020-12-11 11:33:04-03","UFMG","BHCB","53697","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lepidaploa","gnaphalioides","Lepidaploa gnaphalioides","(Sch.Bip. ex Baker) H.Rob.","Vasconcelos, MF de","s.n.","2000","03","22","Southern America","Brasil","Minas Gerais","Serra do Caraça, Pico do Inficionado","-43.4075012207031","-20.0746994018555","2050","2050",NA,"Erva; Campo rupestre","BHCB025107",NA,NA,"Catas Altas",NA,NA,"2017","02","11966","auto",NA,NA,NA,NA,NA
"30","2020-12-11 11:33:04-03","UFMG","BHCB","52782","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lepidaploa","gnaphalioides","Lepidaploa gnaphalioides","(Sch.Bip. ex Baker) H.Rob.","Vasconcelos, MF de","s.n.","2000","04","13","Southern America","Brasil","Minas Gerais","Serra do Caraça. Pico do Inficionado.","-43.4075012207031","-20.0746994018555","2030","2030",NA,"Erva; Campo rupestre","BHCB023170",NA,NA,"Catas Altas",NA,NA,"2017","03","11966","auto","02",NA,NA,NA,NA
"31","2020-12-11 11:33:44-03","UFMG","BHCB","107379","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Vernonia","gnaphalioides","Vernonia gnaphalioides","Sch.Bip. ex Baker","Mendes, MS; Brina, AE","s.n.",NA,NA,NA,"Southern America","Brasil","Minas Gerais","Mineração Casa de Pedra - CSN.","-43.8577995300293","-20.4997005462646",NA,NA,NA,"Plantas do Brasil. Campo rupestre. Arbustivo.; campo rupestre, arbustivo","BHCB006800",NA,NA,"Congonhas",NA,NA,"2012","03","16368","auto",NA,NA,NA,NA,NA
"32","2019-05-23 11:07:52-03","UFLA","ESAL","12747","S","Plantae",NA,NA,"Asteraceae","Lepidaploa","gnaphalioides","Lepidaploa gnaphalioides","(Sch.Bip. ex Baker) H.Rob.","D' Angelo Neto, S","422",NA,NA,NA,NA,"Brasil","Minas Gerais",NA,"-43.4883003234863","-16.4757995605469",NA,NA,NA,"erva; 1.0; rosa;",NA,NA,"Mansanares, ME","Francisco Sá",NA,NA,"2016","05","45875","auto","16",NA,NA,NA,NA
"33","2020-09-12 05:00:02-03","US","US","3406771","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Lepidaploa","gnaphalioides","Lepidaploa gnaphalioides","(Sch. Bip. ex Mart.) H. Rob.","M. Vasconcelos","52782?","2000","4","13","South America","Brazil",NA,"Estado MG, Municipio Catas altas, Serra do Caraca",NA,NA,"2030",NA,NA,NA,"US01629571","US01629571_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,"1"
"34","2020-09-12 05:00:02-03","US","US","1280328","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Lepidaploa","gnaphalioides","Lepidaploa gnaphalioides","(Sch. Bip. ex Mart.) H. Rob.","P. K. Dusén","11105","1911","1","10","South America","Brazil","Paraná","Brasilienses, Parana, Guarajunava, in Campo",NA,NA,NA,NA,NA,NA,"US01629574","US01629574_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,"1"
"35","2020-09-12 05:00:02-03","US","US","3420606","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Lepidaploa","gnaphalioides","Lepidaploa gnaphalioides","(Sch. Bip. ex Mart.) H. Rob.","M. L. Kawasaki, R. Mello-Silva & A. Rapini","993","1997","5","26","South America - Neotropics","Brazil","Minas Gerais","Minas Gerais, Santa Barbara, Serra do Caraca, Trilha do Pico do Inficionado",NA,NA,"2000",NA,NA,NA,"US01629572","US01629572_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,"1"
"36","2020-09-12 05:00:02-03","US","US","2830980","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Lepidaploa","gnaphalioides","Lepidaploa gnaphalioides","(Sch. Bip. ex Mart.) H. Rob.","H. S. Irwin, R. M. Harley & E. Onishi","29058","1971","1","25","South America - Neotropics","Brazil","Minas Gerais","Serra do Espinhago, Sandstone summit of Serra da Caraca",NA,NA,NA,NA,NA,NA,"US01629573","US01629573_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,"1"
"37","2019-10-07 09:12:09-03","UEFS","HUEFS","100995","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Vernonia","gnaphalioides","Vernonia gnaphalioides","Sch.Bip. ex Baker","Queiroz, L.P.de","10854","2005","09","06",NA,"Brasil","Bahia",NA,"-42.524722","-9.994167","403","403",NA,"Caatinga. Solo arenoso.","HUEFS0100995","HUEFS0100995 HUEFS0100995_01","G.S.S.Almeida","Pilão Arcado","42W31'29''","9S59'39''","2010","02",NA,NA,NA,"Asteranae",NA,NA,NA
"38","2019-09-04 19:35:50-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Asteraceae","Vernonia","gnaphalioides","Vernonia gnaphalioides",NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae","Type [status unknown]",NA,NA
"39","2019-05-06 11:53:25-03","UFU","HUFU","24007","S","Plantae",NA,NA,"Asteraceae","Lepidaploa","gnaphalioides","Lepidaploa gnaphalioides","(Sch.Bip. ex Baker) H.Rob.","Kawasaki, M.L.; Mello Silva, R. & Rapini, A.","993","1997","05","26",NA,"Brasil","Minas Gerais","Serra do Caraça., Trilha do Pico do Inflicionado.","-43.451389","-20.134722","2000","2000",NA,"Sistema subterrâneo desenvolvido, folhas glaucas, flores rosadas a lilases, estigma lilás.","HUFU00046830","HUFU00046830","Nakajima, J.N.","Santa Bárbara","-43.451389","-20.134722","2016","03",NA,NA,NA,NA,NA,NA,NA
"40","2019-05-06 11:53:25-03","UFU","HUFU","52786","S","Plantae",NA,NA,"Asteraceae","Lepidaploa","gnaphalioides","Lepidaploa gnaphalioides","(Sch.Bip. ex Baker) H.Rob.","Kawasaki, M.L.; Mello-Silva, R. & Rapini, A.","993","1997","05","26",NA,"Brasil","Minas Gerais","Serra do Carçara, Trilha do Pico Inficionado.","-43.451389","-20.134722","200","200",NA,"Erva, folhas glaucas, flores rosadas e lilases, estigma lilás.","HUFU00046829","HUFU00046829","Nakajima, J.N.","Santa Bárbara","-43.451389","-20.134722","2016","03",NA,NA,NA,NA,NA,NA,NA
"41","2019-11-28 15:44:42-03","UFU","HUFU","78447","S","Plantae",NA,NA,"Asteraceae","Lepidaploa","gnaphalioides","Lepidaploa gnaphalioides","(Sch.Bip. ex Baker) H.Rob.","Pedrosa, L.G.","390","2018","06","07",NA,"Brasil","Minas Gerais","Cachoeira das Andorinhas","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Subarbusto, 60 cm. Flores alvas.","HUFU00076980",NA,NA,"Ouro Preto",NA,NA,"2019","06","44599","auto",NA,NA,NA,NA,NA
"42","2017-09-11 17:08:37-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Asteraceae","Vernonia","gnaphalioides","Vernonia gnaphalioides","Sch.Bip. ex Baker","Riedel, L","s.n.",NA,NA,NA,"Southern America","Brazil",NA,"Habitat prov. Minas Geraesn Serra de Itatiaya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2017-09-11 17:08:37-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Asteraceae","Vernonia","gnaphalioides","Vernonia gnaphalioides","Sch.Bip. ex Baker","Riedel, L","s.n.",NA,NA,NA,"Southern America","Brazil",NA,"Habitat prov. Minas Geraesn Serra de Itatiaya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2017-09-11 17:08:37-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Asteraceae","Vernonia","gnaphalioides","Vernonia gnaphalioides","Sch.Bip. ex Baker","Martius, CFP","s.n.",NA,NA,NA,"Southern America","Brazil",NA,"Habitat prov. Minas Geraesn Serra de Itatiaya",NA,NA,NA,NA,NA,"Herb. Fl. Bras. 729",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2017-09-11 17:08:37-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Asteraceae","Vernonia","gnaphalioides","Vernonia gnaphalioides","Sch.Bip. ex Baker","Martius, C","s.n.",NA,NA,NA,"Southern America","Brazil",NA,"Habitat prov. Minas Geraesn Serra de Itatiaya",NA,NA,NA,NA,NA,"Herb. Fl. Bras. 729",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
