"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","infraspecificEpithet","typeStatus","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","relatedCatalogItem","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","individualCount","fieldNumber","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","02339783","PreservedSpecimen","Plantae","Malvaceae","Pavonia","hastata","Pavonia hastata","B. Rambo","41389","1949","05","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2519774' target='other'> <mi>dwc_moreinfo</mi></a>","NY02339783","Magnoliophyta","Malvales","Cav.","Rio Grande do Sul","Canoas","Vasconcellos Jardim.","-51.1833","-29.9181","NY02339783_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","407178","PreservedSpecimen","Plantae","Malvaceae","Pavonia","hastata","Pavonia hastata","M. Sakane","575","1977","05","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=399044' target='other'> <mi>dwc_moreinfo</mi></a>","NY00407178","Magnoliophyta","Malvales","Cav.","São Paulo","Sete Barras","Sete Barras, Reserva Biológica Carlos Botelho","-47.989753","-24.144027","NY00407178_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","02099812","PreservedSpecimen","Plantae","Malvaceae","Pavonia","hastata","Pavonia hastata","F. Sellow","s.n.",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2244145' target='other'> <mi>dwc_moreinfo</mi></a>","NY02099812","Magnoliophyta","Malvales","Cav.",NA,NA,NA,NA,NA,"NY02099812_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","407177","PreservedSpecimen","Plantae","Malvaceae","Pavonia","hastata","Pavonia hastata","B. Rambo","203","1933","01","13","South America","Brazil","sheet",NA,"60598 stamped on specimen <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=399043' target='other'> <mi>dwc_moreinfo</mi></a>","NY00407177","Magnoliophyta","Malvales","Cav.","Rio Grande do Sul","Porto Alegre","Porto Alegre, ad urbem","-51.153181","-30.11284","NY00407177_01",NA,NA,NA,"200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2016-10-19 09:50:00-02","NY","NYBG","407181","PreservedSpecimen","Plantae","Malvaceae","Pavonia","hastata","Pavonia hastata","E. M. Zardini","31010","1992","03","12","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=399039' target='other'> <mi>dwc_moreinfo</mi></a>","NY00407181","Magnoliophyta","Malvales",NA,"Paraguarí",NA,"National Park Ybycu'í; Northeastern area","-56.77","-26.02",NA,NA,NA,"A. Krapovickas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","02099811","PreservedSpecimen","Plantae","Malvaceae","Pavonia","hastata","Pavonia hastata","F. Sellow","1923",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2244144' target='other'> <mi>dwc_moreinfo</mi></a>","NY02099811","Magnoliophyta","Malvales","Cav.",NA,NA,NA,NA,NA,"NY02099811_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","7201","PreservedSpecimen","Plantae","Malvaceae","Pavonia","hastata","Pavonia hastata longifolia","A. F. Regnell","Ser. II No.16",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=727765' target='other'> <mi>dwc_moreinfo</mi></a>","NY00007201","Magnoliophyta","Malvales","Gürke","Minas Gerais","Caldas","Caldas","-46.3858","-21.9236","NY00007201_01","longifolia","isolectotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2016-09-29 18:33:00-03","NY","NYBG","7099","PreservedSpecimen","Plantae","Malvaceae","Pavonia","hastata","Pavonia hastata pubescens","E. Hassler","8760","1905","01",NA,"South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=760193' target='other'> <mi>dwc_moreinfo</mi></a>","NY00007099","Magnoliophyta","Malvales","Hassl.",NA,NA,"In regione collium: Cordillera de Villarica. Prope Villarica..in campis siccis.",NA,NA,"NY00007099_01","pubescens","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-06-29 11:31:17-03","UFRJ","RFA","5324","PreservedSpecimen","Plantae","Malvaceae","Pavonia","hastata","Pavonia hastata","P. Occhioni","1330","1954","04","13",NA,"Brasil",NA,NA,NA,"RFA45003",NA,NA,"Cav.","Rio de Janeiro","Rio de Janeiro","Cultivada no Jardim Botânico do Rio de Janeiro","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-04-08 17:42:27-03","EAO","IAN","21233","PreservedSpecimen","Plantae","Malvaceae","Pavonia","hastata","Pavonia hastata","Nee, MH","s.n.",NA,NA,NA,"Southern America","Uruguai",NA,NA,NA,"IAN021233","Dicotiledônea",NA,"Cav.","Montevideo","Montevideo",NA,NA,NA,"IAN021233_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-12-04 15:25:22-03","PUCPR","HUCP","8748","S","Plantae","Malvaceae","Pavonia","hastata","Pavonia hastata","Gil, D","001","1996","03","10",NA,"Brasil",NA,NA,NA,"HUCP00013350","Eudicotiledonea",NA,"Cav.","Paraná","Curitiba","Jardim Botânico","-49.2731018066406","-25.4277992248535","HUCP00013350",NA,NA,"Acra, LA",NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-12-04 15:25:22-03","PUCPR","HUCP","8734","S","Plantae","Malvaceae","Pavonia","hastata","Pavonia hastata","Sato, A","006","1996","04","05",NA,"Brasil",NA,NA,NA,"HUCP00013250","Eudicotiledonea",NA,"Cav.","Paraná","Curitiba","Jardim Botânico","-49.2731018066406","-25.4277992248535","HUCP00013250",NA,NA,"Acra, LA",NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-10-09 11:19:43-03","UFBA","ALCB","10270","PreservedSpecimen","Plantae","Malvaceae","Pavonia","hastata","Pavonia hastata","Krapovickas, A","9529","1959","01","22","Southern America","Argentina",NA,NA,NA,NA,"Dicotyledon",NA,"C.C.Davis",NA,"Corrientes","Dep. Capital",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-02-08 09:59:38-03","NBC","NL-BOTANY","U.1376645","PreservedSpecimen","Plantae","Malvaceae","Pavonia","hastata","Pavonia hastata","Brooke WMA",NA,"1949","10","04","Southern America","Bolivia",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1376645 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1376645",NA,"Malvales","Cav.",NA,NA,NA,NA,NA,"NL-U1376645",NA,NA,"Krapovickas A",NA,NA,NA,NA,"Magnoliopsidae","U 0086408",NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-02-08 09:59:38-03","NBC","NL-BOTANY","U.1376591","PreservedSpecimen","Plantae","Malvaceae","Pavonia","hastata","Pavonia hastata","Ibarrola TS",NA,NA,NA,NA,"Southern America","Argentina",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1376591 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1376591",NA,"Malvales","Cav.",NA,NA,"Provincia Corrientes. Dep. Capital. Reiachuelo.",NA,NA,"NL-U1376591",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-02-08 09:59:38-03","NBC","NL-BOTANY","U.1376593","PreservedSpecimen","Plantae","Malvaceae","Pavonia","hastata","Pavonia hastata","Rosengurtt B",NA,"1939","11","12","Southern America","Uruguay",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1376593 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1376593",NA,"Malvales","Cav.",NA,NA,"Montevideo. Pajas Blancas.",NA,NA,"NL-U1376593",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-02-08 09:59:38-03","NBC","NL-BOTANY","AMD.89721","PreservedSpecimen","Plantae","Malvaceae","Pavonia","hastata","Pavonia hastata","Herter WG",NA,"1926","03","01","Southern America","Uruguay",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/AMD.89721 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-AMD89721",NA,"Malvales","Cav.",NA,NA,"Miguelete, Departamento de Montevideo.",NA,NA,"NL-AMD89721",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-02-08 09:59:38-03","NBC","NL-BOTANY","L.2364049","PreservedSpecimen","Plantae","Malvaceae","Pavonia","hastata","Pavonia hastata","Pedersen TM",NA,"1969","01","24","Southern America","Argentina",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2364049 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2364049",NA,"Malvales","Cav.",NA,NA,"Plantae Argentinae. Colón Prov. Entre Ríos.",NA,NA,"NL-L2364049",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-02-08 09:59:38-03","NBC","NL-BOTANY","L.2364050","PreservedSpecimen","Plantae","Malvaceae","Pavonia","hastata","Pavonia hastata","Pedersen TM",NA,"1969","01","24","Southern America","Argentina",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2364050 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2364050",NA,"Malvales","Cav.",NA,NA,"Plantae Argentinae. Colón Prov. Entre Ríos.",NA,NA,"NL-L2364050",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-02-08 09:59:38-03","NBC","NL-BOTANY","L.2364051","PreservedSpecimen","Plantae","Malvaceae","Pavonia","hastata","Pavonia hastata","Pedersen TM",NA,"1967","04","06","Southern America","Argentina",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2364051 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2364051",NA,"Malvales","Cav.",NA,NA,"Plants of Argentina. Piedras Blancas. Dep. La Paz. Prov. Entre Rios.",NA,NA,"NL-L2364051",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-02-08 09:59:38-03","NBC","NL-BOTANY","U.1376592","PreservedSpecimen","Plantae","Malvaceae","Pavonia","hastata","Pavonia hastata","Pedersen TM",NA,"1997","01","01","Southern America","Uruguay",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1376592 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1376592",NA,"Malvales","Cav.","Artigas",NA,NA,NA,NA,"NL-U1376592",NA,NA,"Krapovickas A",NA,NA,NA,NA,"Magnoliopsidae","U 0062743",NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-02-08 09:59:38-03","NBC","NL-BOTANY","L.2364052","PreservedSpecimen","Plantae","Malvaceae","Pavonia","hastata","Pavonia hastata","Pedersen TM",NA,"1964","02","16","Southern America","Argentina",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2364052 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2364052",NA,"Malvales","Cav.",NA,NA,"Plantae Argentinae. Estancia ''Santa María''. Dep. Mburucuyá Prov. Corrientes.",NA,NA,"NL-L2364052",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-02-08 09:59:38-03","NBC","NL-BOTANY","L.2364053","PreservedSpecimen","Plantae","Malvaceae","Pavonia","hastata","Pavonia hastata","Pedersen TM",NA,"1971","10","26","Southern America","Argentina",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2364053 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2364053",NA,"Malvales","Cav.",NA,NA,"Plants of Argentina. Near Alcaraz Norte. Dep. La Paz Prov. Entre Ríos.",NA,NA,"NL-L2364053",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-02-08 09:59:38-03","NBC","NL-BOTANY","L.2364054","PreservedSpecimen","Plantae","Malvaceae","Pavonia","hastata","Pavonia hastata","Pedersen TM",NA,"1964","02","06","Southern America","Argentina",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2364054 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2364054",NA,"Malvales","Cav.",NA,NA,"Plants of Argentina. Itati. Prov. Corrientes.",NA,NA,"NL-L2364054",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-02-08 09:59:38-03","NBC","NL-BOTANY","L.2364055","PreservedSpecimen","Plantae","Malvaceae","Pavonia","hastata","Pavonia hastata","Pedersen TM",NA,"1960","04","23","Southern America","Argentina",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2364055 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2364055",NA,"Malvales","Cav.",NA,NA,"Plants of Argentina. Estancia,,Tuyuti''. Dep. Itati. Prov. Corrientes.",NA,NA,"NL-L2364055",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-02-08 09:59:38-03","NBC","NL-BOTANY","L.2364056","PreservedSpecimen","Plantae","Malvaceae","Pavonia","hastata","Pavonia hastata","Pedersen TM",NA,"1964","11","20","Southern America","Argentina",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2364056 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2364056",NA,"Malvales","Cav.",NA,NA,"Plantae Argentinenses. Estancia ''La Selmira''. Dep. Uruguay. Prov. Entre Ríos.",NA,NA,"NL-L2364056",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-02-08 09:59:38-03","NBC","NL-BOTANY","L.2364057","PreservedSpecimen","Plantae","Malvaceae","Pavonia","hastata","Pavonia hastata","Pedersen TM",NA,"1968","01","31","Southern America","Argentina",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2364057 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2364057",NA,"Malvales","Cav.",NA,NA,"Plantae Argentinae. (Estancia ''Fortín del Iberá'' Carambola). Dep. Concepción Prov. Corrientes.",NA,NA,"NL-L2364057",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-02-08 09:59:38-03","NBC","NL-BOTANY","L.2364058","PreservedSpecimen","Plantae","Malvaceae","Pavonia","hastata","Pavonia hastata","Fiebrig K",NA,"1909","01","01","Southern America","Paraguay",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2364058 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2364058",NA,"Malvales","Cav.",NA,NA,"Plantae Paraguayenses. In regione fluminis Alto Paraná.",NA,NA,"NL-L2364058",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-02-08 09:59:38-03","NBC","NL-BOTANY","L.2364059","PreservedSpecimen","Plantae","Malvaceae","Pavonia","hastata","Pavonia hastata","Herzog T",NA,"1911","03","03","Southern America","Bolivia",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2364059 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2364059",NA,"Malvales","Cav.",NA,NA,"Plantae in itinere secundo per Boliviam lectae. Im subalpinen Gebüsch der Cuesta de los Monos.",NA,NA,"NL-L2364059",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-02-08 09:59:38-03","NBC","NL-BOTANY","L.2364060","PreservedSpecimen","Plantae","Malvaceae","Pavonia","hastata","Pavonia hastata","Fiebrig K",NA,"1903","01","31","Southern America","Paraguay",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2364060 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2364060",NA,"Malvales","Cav.",NA,NA,"Plantae Paraguay. Nördlich von Tobati.",NA,NA,"NL-L2364060",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-02-08 09:59:38-03","NBC","NL-BOTANY","L.3922101","PreservedSpecimen","Plantae","Malvaceae","Pavonia","hastata","Pavonia hastata","Scur L",NA,"1999","12","18","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3922101 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3922101",NA,"Malvales","Cav.",NA,NA,"RS-Mun. Caxias do Sul-Hotel Samuara.",NA,NA,"NL-L3922101",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2020-02-08 09:59:38-03","NBC","NL-BOTANY","U.1091199","PreservedSpecimen","Plantae","Malvaceae","Pavonia","hastata","Pavonia hastata","Solomon JC",NA,"1983","04","21","Southern America","Bolivia",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1091199 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1091199",NA,"Malvales","Cav.",NA,NA,"Dpto. Tarija. Prov. Arce, 29.2 km S of Emboroza-Sidras road on road to Bermejo, (12.7 km S of Naranjo Argio).","-64.483333","-22.366667","NL-U1091199",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,"-64.483333","-22.366667",NA,NA,NA,NA,NA,NA
"43","2020-02-08 09:59:38-03","NBC","NL-BOTANY","U.1376586","PreservedSpecimen","Plantae","Malvaceae","Pavonia","hastata","Pavonia hastata","Herter WG",NA,"1926","03","01","Southern America","Uruguay",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1376586 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1376586",NA,"Malvales","Cav.",NA,NA,"Miguelete, Departamento de Montevideo.",NA,NA,"NL-U1376586",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-02-08 09:59:38-03","NBC","NL-BOTANY","U.1376587","PreservedSpecimen","Plantae","Malvaceae","Pavonia","hastata","Pavonia hastata","Meyer T",NA,"1944","03","24","Southern America","Argentina",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1376587 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1376587",NA,"Malvales","Cav.",NA,NA,"Gob. Misiones. Posadas: San Juán.",NA,NA,"NL-U1376587",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-02-08 09:59:38-03","NBC","NL-BOTANY","U.1376588","PreservedSpecimen","Plantae","Malvaceae","Pavonia","hastata","Pavonia hastata","Meyer T",NA,"1944","03","24","Southern America","Argentina",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1376588 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1376588",NA,"Malvales","Cav.",NA,NA,"Gob. Misiones. Posadas: San Juán.",NA,NA,"NL-U1376588",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
