"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","geoFlag","phylum","yearIdentified","verbatimLongitude","verbatimLatitude","imagecode","continentOcean","class","order","monthIdentified","dayIdentified","fieldNumber","preparationType","individualCount"
"11","2020-11-04 11:20:09-03","ESALQ","ESA","64746","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","pentandra",NA,"Symplocos pentandra","(Mattos) Ochhioni ex Aranha","Aranha Filho, J.L.M.",NA,"Souza, V.C.; Souza, J.P.; Forster, W.; Mazine, F.F.","23597.0","2000","02","21","Brasil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó. Trilha entre a Tronqueira e o Terreirão. Campo de altitude.","-41.8683013916016","-20.4333000183105","21645","1970","1970","Arbusto, até 2m alt. Frutos imaturos verdes","ESA064746","auto","Magnoliophyta",NA,NA,NA,"ESA064746",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-01-14 15:33:40-03","MN","R","94138","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","pentandra",NA,"Symplocos pentandra","Occhioni","Aranha Filho, J.L.M.",NA,"Glaziou, A.F.M.; Schwacke, C.A.W.",NA,"1879","09",NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,"R000094138",NA,NA,"2010",NA,NA,"R000094138_001",NA,NA,NA,"06",NA,NA,NA,NA
"13","2021-01-14 15:33:40-03","MN","R","232043","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","pentandra",NA,"Symplocos pentandra","Occhioni","Aranha Filho, J.L.M.",NA,"Mazine, F.F.; Sobral, M. & Forster, W.","199","2010","10","19","Brasil","Espírito Santo","Dores do Rio Preto","Parque Nacional do Caparaó - proximidades da Casa Queimada","-41.8452987670898","-20.6888999938965","23972",NA,NA,NA,"R010036409","auto",NA,"2010",NA,NA,NA,NA,NA,NA,"04",NA,NA,NA,NA
"14","2016-02-02 14:39:16-02","BGBM","B","B 10 0158543","S","Plantae","Symplocaceae","Symplocos","pentandra",NA,"Symplocos pentandra",NA,NA,NA,"Lyman B. Smith & R. M. Klein","13423",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100158543 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100158543",NA,NA,NA,NA,NA,"B100158543","Middle and South America",NA,NA,NA,NA,NA,NA,NA
"15","2016-02-02 14:39:16-02","BGBM","B","B 10 0158545","S","Plantae","Symplocaceae","Symplocos","pentandra",NA,"Symplocos pentandra",NA,NA,NA,"F. Sellow",NA,NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100158545 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100158545",NA,NA,NA,NA,NA,"B100158545","Middle and South America",NA,NA,NA,NA,NA,NA,NA
"16","2016-02-02 14:39:16-02","BGBM","B","B 10 0158542","S","Plantae","Symplocaceae","Symplocos","pentandra",NA,"Symplocos pentandra",NA,NA,NA,"Rambo","56303",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100158542 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100158542",NA,NA,NA,NA,NA,"B100158542","Middle and South America",NA,NA,NA,NA,NA,NA,NA
"17","2016-02-02 14:39:16-02","BGBM","B","B 10 0158544","S","Plantae","Symplocaceae","Symplocos","pentandra",NA,"Symplocos pentandra",NA,NA,NA,"Reitz & Klein","17650",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100158544 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100158544",NA,NA,NA,NA,NA,"B100158544","Middle and South America",NA,NA,NA,NA,NA,NA,NA
"18","2016-02-02 14:39:16-02","BGBM","B","B 10 0158546","S","Plantae","Symplocaceae","Symplocos","pentandra",NA,"Symplocos pentandra",NA,NA,NA,"F. Sellow",NA,NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100158546 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100158546",NA,NA,NA,NA,NA,"B100158546","Middle and South America",NA,NA,NA,NA,NA,NA,NA
"19","2019-08-27 13:28:51-03","IAP","PACA-AGP","34399","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","itatiaiae","var. pentandra","Symplocos itatiaiae var. pentandra","Mattos","A. Bidá",NA,"Hatschbach, G.","358","1946","09","07","Brasil","PR","Piraquara",NA,"-49.0633010864258","-25.4416999816895","12577",NA,NA,"Há possibilidade de ser um typus. Aguardar referências. Habitat: in silvula campestri Fenofase: flor","PACA034399","auto","Magnoliophyta","1996",NA,NA,NA,NA,"Magnoliatae","Ebenales","05","03",NA,NA,NA
"20","2019-08-27 13:28:51-03","IAP","PACA-AGP","69374","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","pentandra",NA,"Symplocos pentandra","Oech.","A. Bidá",NA,"L. C. Schimelpfeng","1439","1987","10","10","Brasil","PR","Curitiba","Centro Politécnico","-49.2731018066406","-25.4277992248535","25180",NA,NA,"Habitat: capão e floresta com araucária","PACA069374","auto","Magnoliophyta","1996",NA,NA,NA,NA,"Magnoliatae","Ebenales","04","03",NA,NA,NA
"21","2019-08-27 13:28:51-03","IAP","PACA-AGP","66513","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","pentandra",NA,"Symplocos pentandra","Oech.","A. Bidá",NA,"Camargo, O. R.","114","1956","09","26","Brasil","RS","São Francisco de Paula","Barragem do Blang","-50.5835990905762","-29.4480991363525","76715",NA,NA,"Habitat: na mata de galeria Ecossistema: MATA","PACA066513","auto","Magnoliophyta","1996",NA,NA,NA,NA,"Magnoliatae","Ebenales","04","06",NA,NA,NA
"22","2019-08-27 13:28:51-03","IAP","PACA-AGP","56303","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","pentandra",NA,"Symplocos pentandra","Oech.","A. Bidá",NA,"Rambo, B.",NA,"1955","01","02","Brasil","RS","Faz. Englert",NA,NA,NA,NA,NA,NA,"fr. sumaturo. Habitat: in silvula paludosa Fenofase: fruto submaturo","PACA056303",NA,"Magnoliophyta","1996",NA,NA,NA,NA,"Magnoliatae","Ebenales","04","06",NA,NA,NA
"23","2019-08-27 13:28:51-03","IAP","PACA-AGP","64322.1","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","pentandra",NA,"Symplocos pentandra","Oech.","A. Bidá",NA,"Mattos","6058","1958","02","17","Brasil","SC","Lages",NA,"-50.326099395752","-27.8160991668701","70701",NA,NA,"ster. Habitat: in dumetosis","PACA064322-1","auto","Magnoliophyta","1996",NA,NA,NA,NA,"Magnoliatae","Ebenales","05","06",NA,NA,NA
"24","2020-12-20 21:19:33-03","UFV","VIC","012851","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","pentandra",NA,"Symplocos pentandra","(Mattos) occwonii ex Aranha",NA,NA,"Brugger, M.C.","s.n.","1977","07","16","Brasil","Minas Gerais",NA,"Serra do Ibitiboca",NA,NA,NA,NA,NA,"Arbusto nos brejos altos, até 1 m, frutos.","VIC012851",NA,NA,NA,NA,NA,"VIC012851",NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-12-20 21:19:33-03","UFV","VIC","034609","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","pentandra",NA,"Symplocos pentandra","(Mattos) occwonii ex Aranha",NA,NA,"Mazine, F.F.; et al.","199",NA,NA,NA,"Brasil","Espírito Santo","Dores do Rio Preto","Parque Nacional do Caparaó, Proximidades da casa queimada.","-41.8452987670898","-20.6888999938965","23972",NA,NA,"Arvoreta de 4 m, flores brancas, em campo.","VIC034609","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-11-21 14:46:19-03","UFJF","CESJ","61746","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","pentandra",NA,"Symplocos pentandra","(Mattos) Occhioni ex Aranha","J.L.M. Aranha Filho",NA,"F.F. Mazine; M. Sobral; W. Forster","199","1999","10","19","Brasil","Espírito Santo","Dores do Rio Preto","Parque Nacional do Caparaó, Proximidades da Casa Queimada.","-41.8452987670898","-20.6888999938965","23972",NA,NA,"Arvoreta, 4m alt.; flores brancas; em campo. (Prensado em álcool 70º)","CESJ061746","auto","Angiosperma","2010",NA,NA,NA,"América do Sul",NA,NA,"04",NA,NA,NA,NA
"27","2019-11-21 14:46:19-03","UFJF","CESJ","63032","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","pentandra",NA,"Symplocos pentandra","(Mattos) Occhioni ex Aranha","J.L.M. Aranha Filho",NA,"V.C. Souza; L.S. Leoni; J. Paula-Souza; F.F. Mazine","12148","1996","09","02","Brasil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó, Caminho entre Tronqueira (1970 m.s.m.) e o Pico da Bandeira (2890 m.s.m., Lat.: 20º 25' 54.0S; Lon.: 41º 48' 27.4W). Campo de altitude.","-41.8683013916016","-20.4333000183105","21645",NA,NA,"Arbusto, ca. 3m alt., botões verdes.","CESJ063032","auto","Angiosperma","2010",NA,NA,"CESJ063032","América do Sul",NA,NA,"04",NA,NA,NA,NA
"28","2019-11-21 14:46:19-03","UFJF","CESJ","15100","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","pentandra",NA,"Symplocos pentandra","(Mattos) Occhioni ex Aranha","J.L.M. Aranha Filho",NA,"L. Krieger","CESJ15100","1977","09","29","Brasil","Minas Gerais",NA,"Serra do Caparaó, 2400m.s.m.",NA,NA,NA,NA,NA,"Arbusto de 1m. Flores creme esverdeadas. Folhas verde-claro.","CESJ015100",NA,"Angiosperma","2010",NA,NA,NA,"América do Sul",NA,NA,"05",NA,NA,NA,NA
"29","2019-11-21 14:46:19-03","UFJF","CESJ","65104","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","pentandra",NA,"Symplocos pentandra","(Mattos) Occhioni ex Aranha","G. Felitto; E. Barboza",NA,"E. Barbosa; J.M. Silva; G. Felitto","3110","2011","08","27","Brasil","Paraná","Tibagi","Parque Estadual do Guartelá","-50.4136009216309","-24.5093994140625","56988",NA,NA,"Arbusto, 2m; flores alvas. Beira de rio encachoeirado.","CESJ065104","auto","Angiosperma","2011",NA,NA,NA,"América do Sul",NA,NA,NA,NA,NA,NA,NA
"30","2021-03-01 16:42:16-03","UNICAMP","UEC","140695","S","Plantae","Symplocaceae","Symplocos","pentandra",NA,"Symplocos pentandra","(Mattos) Occhioni","Aranha, JLM",NA,"Almeda, F; Belinello, R; Aranha, JLM; Fritsch, PW","8779","2004","11","08","Brazil","Minas Gerais","Camanducaia","Monte Verde, Vinicity of the entrance to Monte Verde.","-46.503333","-21.877722",NA,"1400","1400","Openly branched tree to 4m, possibly androdioecious but most plants seen were in fruit. Corolla white, anthers yellow. Young fruit green. Locally common in humus rich soil.; Disturbed cloud forest vegetation with Drimys brasiliensis and Podocarpus la",NA,NA,"Magnoliopsida","2010","-46.503333","-21.877722",NA,NA,NA,NA,"02",NA,NA,NA,NA
"31","2021-03-01 16:42:16-03","UNICAMP","UEC","140696","S","Plantae","Symplocaceae","Symplocos","pentandra",NA,"Symplocos pentandra","(Mattos) Occhioni","Aranha, JLM",NA,"Almeda, F; Fritsch, PW; Aranha, JLM; Belinello, R","8876","2004","11","18","Brazil","Minas Gerais",NA,"Serra do Caraça, Parque do Caraça just below the summit of Pico Inficionado.","-43.477222","-21.416667",NA,"2066","2066","Shrub 0,7m tall (in fruit) but one sterile tree to 3m tall seen downslope. Rare.",NA,NA,"Magnoliopsida","2010","-43.477222","-21.416667",NA,NA,NA,NA,"02",NA,NA,NA,NA
"32","2021-03-01 16:42:16-03","UNICAMP","UEC","144692","S","Plantae","Symplocaceae","Symplocos","pentandra",NA,"Symplocos pentandra","(Mattos) Occhioni","Aranha, JLM",NA,"Aranha, JLM; Barbosa, TDM; Monge, M","53","2006","12","19","Brazil","Minas Gerais","Camanducaia","ca. 2km da entrada do Distrito de Monte Verde.","-46.05","-22.866944",NA,"1555","1555","Arvoreta ca, 4m alt. Fruto jovem verde claro e maduro atropurpúreo; unilocular (houve aborto de 2 carpelos); endocarpo fino.; Floresta ombrófila mista perturbada, em beira de estrada.",NA,NA,"Magnoliopsida","2010","-46.05","-22.866944",NA,NA,NA,NA,"02",NA,NA,NA,NA
"33","2021-03-01 16:42:16-03","UNICAMP","UEC","147215","S","Plantae","Symplocaceae","Symplocos","pentandra",NA,"Symplocos pentandra","(Mattos) Occhioni","Aranha, JLM",NA,"Aranha, JLM","65","2007","10","20","Brazil","Minas Gerais","Camanducaia","Distrito Monte Verde, ca. 500 m de entrada de Monte Verde, beira de estrada.","-46.049167","-22.871111",NA,"1480","1480","Floresta ombrófila mista degradada. Árvore de ca. 5m alt. Flores feminicas. Corola alva, antenas amarelas. Cálice verde claro. Estigma com algum tipo de secreção. Final de floração e início de frutificação, pois muitos indivíduos feminos próximo já a",NA,NA,"Magnoliopsida","2007","-46.049167","-22.871111",NA,NA,NA,NA,"10",NA,NA,NA,NA
"34","2019-08-20 10:27:11-03","UNICAMP","UEC","147216","S","Plantae","Symplocaceae","Symplocos","pentandra",NA,"Symplocos pentandra","(Mattos) Occhioni","Aranha, JLM",NA,"Aranha, JLM","66","2007","10","20","Brazil","Minas Gerais","Camanducaia","Distrito Monte Verde, ca. 500 m de entrada de Monte Verde, beira de estrada.","-46.049167","-22.871111",NA,"1480","1480","Mata de enco",NA,NA,"Magnoliopsida","2007","-46.049167","-22.871111",NA,NA,NA,NA,"10",NA,NA,NA,NA
"35","2021-03-01 16:42:16-03","UNICAMP","UEC","155485","S","Plantae","Symplocaceae","Symplocos","pentandra",NA,"Symplocos pentandra","(Mattos) Occhioni","Aranha, JLM",NA,"Souza, VC; Souza, JP; Forster, W; Mazine, FF","23597","2000","02","21","Brazil","Minas Gerais","Alto Caparaó","Parque Nacional do Capararó, Trilha entre a Tronqueira e o Terreirão.","-41.830556","-20.406944",NA,"1970","2300","Arbusto, até 2m alt. Frutos imaturos verdes.; Campo de Altitude.","UEC070040",NA,"Magnoliopsida","2010","-41.830556","-20.406944","UEC070040",NA,NA,NA,"04",NA,NA,NA,NA
"36","2021-03-01 16:42:16-03","UNICAMP","UEC","155486","S","Plantae","Symplocaceae","Symplocos","pentandra",NA,"Symplocos pentandra","(Mattos) Occhioni","Aranha, JLM",NA,"Souza, VC; Leoni, BS; Souza, JP; Mazine, FF","12148","1996","07","02","Brazil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó, Caminho entre Tronqueira (1970 m.s.m.) e o Pico Bandeira (2890 m.s.m.).","-41.807611","-20.431667",NA,NA,NA,"Arbusto, ca. 3m alt.; botões verdes.; Dcampo de altitude.","UEC070041",NA,"Magnoliopsida","2010","-41.807611","-20.431667","UEC070041",NA,NA,NA,"04",NA,NA,NA,NA
"37","2021-03-01 16:42:16-03","UNICAMP","UEC","155487","S","Plantae","Symplocaceae","Symplocos","pentandra",NA,"Symplocos pentandra","(Mattos) Occhioni","Aranha, JLM",NA,"Mazine, FF; Sobral, M; Forster, W","199","1999","10","19","Brazil","Espírito Santo","Dores do Rio Preto","Parque Nacional do Caparaó., Proximidades da Casa Queimada.","-41.8452987670898","-20.6888999938965","23972",NA,NA,"Arvoreta 4m, flores brancas; em campo. Fixado em Alcool 70%.","UEC070042","auto","Magnoliopsida","2010",NA,NA,"UEC070042",NA,NA,NA,"04",NA,NA,NA,NA
"38","2019-09-02 10:46:30-03","UNICAMP","UEC","135035","S","Plantae","Symplocaceae","Symplocos","pentandra",NA,"Symplocos pentandra","(Mattos) Occhioni","Aranha, JLM",NA,"Aranha, JLM; Meireles, LD; Cardoso, MMR","27","2004","04","29","Brazil","Minas Gerais","Camanducaia","distrito de Monte Verde, Beira de estrada de terra.","-46.1446990966797","-22.7553005218506","22140",NA,NA,"flor, Inflorescência reduzida, com brácteas e catáfilos persistentes. Corola pentâmera. Indivíduo androdióico. Flores e botões florais.",NA,"auto","Magnoliopsida","2010",NA,NA,NA,NA,NA,NA,"02",NA,NA,NA,NA
"39","2019-08-20 10:27:11-03","UNICAMP","UEC","128329","S","Plantae","Symplocaceae","Symplocos","pentandra",NA,"Symplocos pentandra","(Mattos) Occhioni",NA,NA,"Meireles, LD","1256","2002","10","23","Brazil","Minas Gerais","Camanducaia","Monte Verde, Campo de Altitude Impactado","-46.1446990966797","-22.7553005218506","22140",NA,NA,"Arbusto, cc. 1,5m, flores salvas.","UEC087328","auto","Magnoliopsida",NA,NA,NA,"UEC087328",NA,NA,NA,NA,NA,NA,NA,NA
"40","2019-08-20 10:27:11-03","UNICAMP","UEC","14974","S","Plantae","Symplocaceae","Symplocos","pentandra",NA,"Symplocos pentandra","(Mattos) Occhioni","Bidá, A",NA,"Hatschbach, G","30386","1972","09","30","Brazil","Paraná","Curitiba","Rio Iguaçu, Umbará","-49.2731018066406","-25.4277992248535","25180",NA,NA,"flor, Arvoreta flor creme, mata de galeria.",NA,"auto","Magnoliopsida","1996",NA,NA,NA,NA,NA,NA,"06",NA,NA,NA,NA
"41","2019-08-20 10:27:11-03","UNICAMP","UEC","81229","S","Plantae","Symplocaceae","Symplocos","pentandra",NA,"Symplocos pentandra","(Mattos) Occhioni","Bidá, A",NA,"Semir, J; Dutilh, JHA; Stehmann, JR","31925","1994","07","30","Brazil","Paraná","Ponta Grossa","Vila Velha","-50.1618995666504","-25.0949993133545","46557",NA,NA,"flor, Arbusto sobre afloramento rochoso. Flores cremes.",NA,"auto","Magnoliopsida","2000",NA,NA,NA,NA,NA,NA,"02",NA,NA,NA,NA
"42","2021-03-01 16:42:16-03","UNICAMP","UEC","36261","S","Plantae","Symplocaceae","Symplocos","pentandra",NA,"Symplocos pentandra","(Mattos) Occhioni","Aranha, JLM",NA,"Kinoshita, LS; Taroda, N; et al.","16492","1984","09","22","Brazil","São Paulo","Campos do Jordão","Usina do Fojo- Pousada da CPFL.","-45.5900001525879","-22.7299995422363","21048",NA,NA,"Arbusto lenhoso na beira de rio. Flores creme.",NA,"auto","Magnoliopsida","2010",NA,NA,NA,NA,NA,NA,"02",NA,NA,NA,NA
"43","2020-06-06 18:30:42-03","UFPB","JPB","6602","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","pentandra",NA,"Symplocos pentandra","Occh",NA,NA,"Sehnem, A","JPB6602","1965","02","02","Brasil","Rio Grande do Sul","Taimbó",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Angiosperma",NA,NA,NA,NA,"Southern America",NA,"Dicotyledon",NA,NA,NA,NA,NA
"44","2019-11-06 09:57:48-03","UFOP","OUPR","11447","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","pentandra",NA,"Symplocos pentandra","(Mattos) Occhioni ex Aranha","Aranha-Filho, J.L.M.",NA,"Schwacke, C.A.W.","6774",NA,NA,NA,"Brasil","Minas Gerais",NA,"Serra do Caparaó",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010",NA,NA,NA,NA,NA,NA,"05",NA,NA,NA,NA
"45","2019-11-06 09:57:48-03","UFOP","OUPR","24347","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","pentandra",NA,"Symplocos pentandra","(Mattos) Occhioni ex Aranha","Aranha-Filho, J.L.M.",NA,"Aranha-Filho, J.L.M.","66","2007","10","20","Brasil","Minas Gerais","Camanducaia","Monte Verde, 500m da entrada de Monte Verde, beira de estrada","-46.049167","-22.871111",NA,"1480","1480","Floresta ombrófila mista degradada. Árvore de ca. 4 m. Flores masculinas. Corola alva, cálice verde claro e anteras amarelas",NA,NA,NA,"2011","-46.049167","-22.871111",NA,NA,NA,NA,"10",NA,NA,NA,NA
"46","2019-11-06 09:57:48-03","UFOP","OUPR","24348","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","pentandra",NA,"Symplocos pentandra","(Mattos) Occhioni ex Aranha","Aranha-Filho, J.L.M.",NA,"Aranha-Filho, J.L.M.","65","2007","10","20","Brasil","Minas Gerais","Camanducaia","Monte Verde, 500 m da entrada de monte verde, beira da estrada","-46.049167","-22.871111",NA,"1480","1480","Floresta ombrófila mista degradada. Árvore de ca. 5m de altura. Flores femininas. Corola alva, anteras amarelas. Cálice verde claro. Estigma com algum tipo de secreção. Final de floração e inicio de frutificação, pois muitos indivíduos femininos próx",NA,NA,NA,"2011","-46.049167","-22.871111",NA,NA,NA,NA,"10",NA,NA,NA,NA
"47","2019-11-06 09:57:48-03","UFOP","OUPR","24349","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","pentandra",NA,"Symplocos pentandra","(Mattos) Occhioni ex Aranha","Aranha-Filho, J.L.M.",NA,"Aranha-Filho, J.L.M.; Barbosa, T.D.M. & Monge-Egea, M.","53","2006","12","19","Brasil","Minas Gerais","Camanducaia","Monte Verde, 2 km da entrada do distrito de Monte verde","-46.05","-22.866944",NA,"1555","1555","Floresta obrófila mista perturbada, em beira de estrada. Arvoreta ca. 4 m de altura. Fruto jovem verde claro e maduro atropurpúreo; unilocular (houve aborto de 2 carpelos); endocarpo fino",NA,NA,NA,"2011","-46.05","-22.866944",NA,NA,NA,NA,"10",NA,NA,NA,NA
