"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","locality","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","class","fieldNumber","individualCount","relatedCatalogItem","sex"
"13","2021-03-15 16:37:00-03","NY","NYBG","1580656","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Gaya","domingensis","Gaya domingensis","Urb.","S. R. Hill","H. S. Irwin","23241","1969","02","13","South America","Brazil","Minas Gerais",NA,"-43.21845","-16.40385","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1762548' target='other'> <mi>dwc_moreinfo</mi></a>","NY01580656","NY01580656_01","Serra do Espinhaço, ca. 35 km N.E. of Francisco Sá, on road to Salinas","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00942182","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Gaya","domingensis","Gaya domingensis","Urb.","S. R. Hill","W. R. Anderson","9135","1973","04","19","South America","Brazil","Minas Gerais",NA,"-44.45237","-15.56637","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1026351' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942182","NY00942182_01","13 km by road W of Januária on road to Serra das Araras, ca. 2 km E of large limestone hill","575","575",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-02-18 09:30:04-03","UNESP-IBB","BOTU","12683","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Gaya","domingensis","Gaya domingensis","Urb",NA,"Gemtchújnicov, I.D.","2","1968","11","18",NA,"Brasil","São Paulo","Jaboticabal",NA,NA,NA,"Medicinais","BOTU012683",NA,NA,NA,NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-30 12:43:49-03","EAO","IAN","149219","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Malvaceae","Gaya","domingensis","Gaya domingensis","Urb.","Takeuchi, C","Anderson, WR","9135","1973","04","19","Southern America","Brasil","Minas Gerais",NA,NA,NA,NA,"Perennial herb to 1.5 m tall; flowers yellow.","IAN149219",NA,"13 km by road W of Januária on road to Serra das Araras; road cut through tropical forest on sandy soil, apparently over limestone, ca. 2 km E of Large limestone hill.","575","575",NA,NA,"2015","07",NA,NA,NA,NA,NA,NA,NA,NA
"17","2013-07-03 11:10:40-03","EBDA","BAH","2018","S","Plantae",NA,NA,"Malvaceae","Gaya","domingensis","Gaya domingensis","Urb.","C.Takeuchi","Hermínia Freitas Souza","48","1977","04","24",NA,"Brasil","Bahia","Itiúba","-39.8536","-10.6917",NA,"IMPORT. PLANTA: Gênero de uma família predominantemente invasora, cuja despersão se dá principalmente em terrenos arenosos.",NA,NA,NA,NA,NA,NA,NA,"2012","10","37230","auto",NA,NA,NA,NA,NA,NA
"18","2013-07-03 11:10:40-03","EBDA","BAH","4211","S","Plantae",NA,NA,"Malvaceae","Gaya","domingensis","Gaya domingensis","Urb.","C.Takeuchi","Edna L.P.G. de Oliveira","508","1982","11","11",NA,"Brasil","Bahia","Itaberaba","-40.3069","-12.5275",NA,"Erva de flor amarela claro, com centro amarelo escuro, fruto verde inflado.",NA,NA,"Fazenda Serra da Monta, Pasto Buffel.",NA,NA,NA,NA,"2012","10","39857","auto",NA,NA,NA,NA,NA,NA
"19","2013-07-03 11:10:40-03","EBDA","BAH","8705","S","Plantae",NA,NA,"Malvaceae","Gaya","domingensis","Gaya domingensis","Urb.","C.Takeuchi","M.L. Guedes et al","2706","1992","11","28",NA,"Brasil","Bahia","Caetité","-42.475","-14.0694",NA,"Subarbusto de +ou- 1m de altura, flores amarelas.",NA,NA,"Av. 13.",NA,NA,NA,NA,"2012","10","53684","auto",NA,NA,NA,NA,NA,NA
"20","2013-07-03 11:10:40-03","EBDA","BAH","5453","S","Plantae",NA,NA,"Malvaceae","Gaya","domingensis","Gaya domingensis","Urb.","C.Takeuchi","Berenice C. Bastos","313","1982","11","10",NA,"Brasil","Bahia","Itaberaba","-40.3069","-12.5275",NA,"Erva de flor amarela.",NA,NA,"Fazenda Serra da Monta, Pasto Caldeirão.",NA,NA,NA,NA,"2012","10","39857","auto",NA,NA,NA,NA,NA,NA
"21","2013-07-03 11:10:39-03","EBDA","BAH","10132","S","Plantae",NA,NA,"Malvaceae","Gaya","domingensis","Gaya domingensis","Urb.","C.Takeuchi","Jesus, N.G.","854","2000","02","29",NA,"Brasil","Bahia","Pilão Arcado","-42.391389","-9.966389",NA,"Subarbusto, ereto, ramos vilosos. Folhas membranáceas, vilosas. Inflorescência axilar, botões esverdeados, cálice verde, corola amarela. Frutos imaturos verdes, com carpídio inflado.",NA,NA,"Torre da Telemar.",NA,NA,"42W 23' 29","09S 57' 59","2012","10",NA,NA,NA,NA,NA,NA,NA,NA
"22","2013-07-03 11:10:40-03","EBDA","BAH","4095","S","Plantae",NA,NA,"Malvaceae","Gaya","domingensis","Gaya domingensis","Urb.","C.Takeuchi","Edna L.P.G. de Oliveira","472","1982","07","14",NA,"Brasil","Bahia","Itaberaba","-40.3069","-12.5275",NA,"Subarbusto de flores amarelo-claro e estames amarelo-escuro, fruto seco.IMPORT. PLANTA: Inavasora.",NA,NA,"Serra da Monta, Área de Experimento, fundo da Sede do predio dos Pesquisadores.",NA,NA,NA,NA,"2012","10","39857","auto",NA,NA,NA,NA,NA,NA
"23","2013-07-03 11:10:40-03","EBDA","BAH","4213","S","Plantae",NA,NA,"Malvaceae","Gaya","domingensis","Gaya domingensis","Urb.","C.Takeuchi","Edna L.P.G. de Oliveira","509","1982","11","10",NA,"Brasil","Bahia","Itaberaba","-40.3069","-12.5275",NA,"Erva de flor amarelo claro com estames também amarelo.IMPORT. PLANTA: Inavasora.",NA,NA,"Fazenda Serra da Monta, Pasto Caldeirão.",NA,NA,NA,NA,"2012","10","39857","auto",NA,NA,NA,NA,NA,NA
"24","2019-10-09 11:19:19-03","UFBA","ALCB","94996","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malvaceae","Gaya","domingensis","Gaya domingensis","Urb.","Takeuchi, C","Melo, E; Silva, BM; Guedes, ML; Gomes, FS","6952","2009","10","25","Southern America","Brasil","Bahia","São Gabriel","-41.942778","-11.165",NA,"ereto ca. 40 cm alt. Folhas membranáceas. Frutos verdes.; na beira da estrada.","ALCB003992","ALCB003992","Irecê, Estrada para Jussara","770","770","-41.942778","-11.165","2015","07",NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-10-09 11:19:19-03","UFBA","ALCB","02638","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malvaceae","Gaya","domingensis","Gaya domingensis","Urb.","Krapovickas, A","Pinto, GCP","42366","1974","08",NA,"Southern America","Brasil","Bahia","Riachão do Jacuípe","-39.816667","-11.366667",NA,NA,"ALCB063001",NA,"Paraguaçu",NA,NA,"-39.816667","-11.366667","1997","01",NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-10-09 11:19:19-03","UFBA","ALCB","024368","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malvaceae","Gaya","domingensis","Gaya domingensis","Urb.","Krapovickas, A","Guedes, ML","2706","1992","11","26","Southern America","Brasil","Bahia","Caetité","-42.2075","-13.993056",NA,"Ca. de 1 m de alt. Flores amarelas.","ALCB063000",NA,"Serra Geral",NA,NA,"-42.2075","-13.993056","1997","01",NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-10-09 11:19:19-03","UFBA","ALCB","030908","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malvaceae","Gaya","domingensis","Gaya domingensis","Urb.","Krapovickas, A","Ferrucci, MS; Carvalho, AM de; Jardim, JG; Sant'Ana, SC de","1028","1996","08","12","Southern America","Brasil","Bahia","Caetité","-42.2075","-13.993056",NA,"Ereto ca. de 0,50 m alt. Flores amarelo - alaranjadas.","ALCB063004",NA,"Serra Geral, A 3 km de Caetité",NA,NA,"-42.2075","-13.993056","1996",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-10-09 11:19:19-03","UFBA","ALCB","02469","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malvaceae","Gaya","domingensis","Gaya domingensis","Urb.","Krapovickas, A","Mendonça, F","s/n","1943",NA,NA,"Southern America","Brasil","Bahia","Campo Formoso","-40.306944","-10.513611",NA,NA,NA,NA,"Piemonte da Diamantina",NA,NA,"-40.306944","-10.513611","1997","01",NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-10-09 11:19:19-03","UFBA","ALCB","029070","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malvaceae","Gaya","domingensis","Gaya domingensis","Urb.","Takeuchi, C","Silva, MP da","18","1995","12","25","Southern America","Brasil","Bahia","Salvador","-38.5","-12.966667",NA,"Ca. 80 cm de alt. Folhas discolores, estipuladas, flores amarelas, frutos imaturos verde c/ listras vináceos.","ALCB003987","ALCB003987","Região Metropolitana Salvador, Brotas de Macaúbas. Faz. dos Três Reses",NA,NA,"-38.5","-12.966667","2012","10",NA,NA,NA,NA,NA,NA,NA,NA
"30","2019-10-09 11:19:19-03","UFBA","ALCB","046563","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malvaceae","Gaya","domingensis","Gaya domingensis","Urb.","Esteves, GL","Jesus, NG de; Guedes, ML; Fonseca, M; Cavalcanti, G; Nascimento, AFS","854","2000","02","29",NA,NA,NA,NA,NA,NA,NA,"Subarbusto, ereto, ramos vilosos. Folhas membranáceas, vilosas. Inflorescência axilar, botões esverdeados, cálice verde, corola amarela. Frutos imaturos verdes, com carpídios inflado.","ALCB062997",NA,NA,NA,NA,NA,NA,"2011","07",NA,NA,NA,NA,NA,NA,NA,NA
"31","2019-10-09 11:19:19-03","UFBA","ALCB","06569","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malvaceae","Gaya","domingensis","Gaya domingensis","Urb.","Krapovickas, A","Pinto, GCP; Alves, C","52-213","1952","06",NA,NA,"s/localidade",NA,NA,NA,NA,NA,NA,"ALCB063006",NA,NA,NA,NA,NA,NA,"1997","01",NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-10-09 11:19:19-03","UFBA","ALCB","06570","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malvaceae","Gaya","domingensis","Gaya domingensis","Urb.","Kallunki, J","Pinto, GCP; Alves, C","52-278","1952","07",NA,NA,"s/localidade",NA,NA,NA,NA,NA,NA,"ALCB063003",NA,NA,NA,NA,NA,NA,"1997","01",NA,NA,NA,NA,NA,NA,NA,NA
"33","2019-10-09 11:19:19-03","UFBA","ALCB","07348","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malvaceae","Gaya","domingensis","Gaya domingensis","Urb.","Krapovickas, A","Pacheco, LM; Guedes, ML","107","1981","01","20","Southern America","Brasil","Bahia","Maracás","-40.416667","-13.433333",NA,"Ca. de 0,15 m de alt. Folhas membranáceas pilosas. Flores alvas com centro e estames amarelos.","ALCB062996",NA,"Sudoeste, Faz. Tanquinho",NA,NA,"-40.416667","-13.433333","1997","01",NA,NA,NA,NA,NA,NA,NA,NA
"34","2019-10-09 11:19:19-03","UFBA","ALCB","122549","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malvaceae","Gaya","domingensis","Gaya domingensis","Urb.","Santana, A","Santana, A; Borges, RL; Coelho, J; Stadnik, A","07","2015","05","12","Southern America","Brasil","Bahia","Licínio de Almeida","-42.553611","-14.653056",NA,"Arbusto. Folhas discolores. Cálice verde, corola amarela.","ALCB044200",NA,"Xaxá.","944","944","-42.553611","-14.653056","2015","09",NA,NA,NA,NA,NA,NA,NA,NA
"35","2019-10-09 11:19:19-03","UFBA","ALCB","122550","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malvaceae","Gaya","domingensis","Gaya domingensis","Urb.","Santana, A","Santana, A; Borges, RL; Coelho, J; Stadnik, A","08","2015","05","12","Southern America","Brasil","Bahia","Licínio de Almeida","-42.553611","-14.653056",NA,"ca. 30 cm. Folhas concolores. Cálice verde, corola amarela.","ALCB044201",NA,"Xaxá.","944","944","-42.553611","-14.653056","2015","09",NA,NA,NA,NA,NA,NA,NA,NA
"36","2019-10-09 11:19:19-03","UFBA","ALCB","122567","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malvaceae","Gaya","domingensis","Gaya domingensis","Urb.","Santana, A","Santana, A; Borges, RL; Coelho, J; Stadnik, A","27","2015","05","14","Southern America","Brasil","Bahia","Licínio de Almeida","-42.572778","-14.743889",NA,"ca 80 cm. Folhas discolores. Cálice verde, corola amarela.","ALCB044217",NA,"Saco da Onça","993","993","-42.572778","-14.743889","2015","10",NA,NA,NA,NA,NA,NA,NA,NA
"37","2019-10-09 11:19:19-03","UFBA","ALCB","20117","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malvaceae","Gaya","domingensis","Gaya domingensis","Urb.","Krapovickas, A","Costa, AL","s/n","1968","02",NA,"Southern America","Brasil","Bahia","Mundo Novo","-40.466667","-11.85",NA,NA,"ALCB062998",NA,"Paraguaçu, Faz. Aliança",NA,NA,"-40.466667","-11.85","1997","01",NA,NA,NA,NA,NA,NA,NA,NA
"38","2019-10-09 11:19:19-03","UFBA","ALCB","21326","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malvaceae","Gaya","domingensis","Gaya domingensis","Urb.","Krapovickas, A","Orlandi, RP","486","1981","09","01","Southern America","Brasil","Bahia",NA,"-40.616667","-11.033333",NA,"Flores branco - amareladas, com frutos.",NA,NA,"A 8 km de Mirangaba",NA,NA,"-40.616667","-11.033333","1997","01",NA,NA,NA,NA,NA,NA,NA,NA
"39","2019-10-09 11:19:19-03","UFBA","ALCB","53758","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malvaceae","Gaya","domingensis","Gaya domingensis","Urb.","Guedes, ML","Alves, L. de J.; Guedes, ML; Santana, DL; Loureiro, DM","85","2001","04","15","Southern America","Brasil","Bahia","Itaête","-41.048611","-13.119444",NA,"60cm. Folhas membranáceas, discolores, vilosas. Frutos imaturos verdes inflados.","ALCB062999",NA,"Paraguaçu, Assentamento Baixão. Limite da fazenda margeando capoeira. Lote",NA,NA,"-41.048611","-13.119444","2001","08",NA,NA,NA,NA,NA,NA,NA,NA
"40","2019-10-09 11:19:19-03","UFBA","ALCB","59862","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malvaceae","Gaya","domingensis","Gaya domingensis","Urb.","Guedes, ML","Guedes, ML; Loureiro, DM; Guaré, F; et al.","9863","2002","09","07","Southern America","Brasil","Bahia","Morro do Chapéu","-41.15","-11.55",NA,"Ca. de 1,50m. Folhas membranáceas, levemente discolores. Flores amarelas. Fruto imaturo verde.",NA,NA,"Piemonte da Diamantina, Caminho para Ventura, na estrada",NA,NA,"-41.15","-11.55","2002","12",NA,NA,NA,NA,NA,NA,NA,NA
"41","2019-10-09 11:19:19-03","UFBA","ALCB","64533","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malvaceae","Gaya","domingensis","Gaya domingensis","Urb.","Guedes, ML","Guedes, ML; Alunos de Botânica III","10811","2003","10","24","Southern America","Brasil","Bahia","Morro do Chapéu","-41.15","-11.55",NA,"de ca#?#1m. Folhas membranáceas, discolores. Flores amarelas. Fruto com menos de 10 &nf;carpídios, cada carpídio com uma semente.","ALCB063005",NA,"Piemonte da Diamantina",NA,NA,"-41.15","-11.55","2003","12",NA,NA,NA,NA,NA,NA,NA,NA
"42","2019-10-09 11:19:19-03","UFBA","ALCB","89801","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malvaceae","Gaya","domingensis","Gaya domingensis","Urb.","Guedes, ML","Guedes, ML; Gomes, FS; et al.","15728","2009","08","04","Southern America","Brasil","Bahia","Urandi","-42.650833","-14.765278",NA,"Inflorescência em botões e flores com corola branca. Frutos imaturos verdes. Carpídios membranáceos, hialinos inflados.","ALCB003986","ALCB003986","Serra Geral, Caminho para o Rio Raízes. Ponto 01","709","709","-42.650833","-14.765278","2009","09",NA,NA,NA,NA,NA,NA,NA,NA
"43","2019-10-09 11:19:19-03","UFBA","ALCB","94234","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malvaceae","Gaya","domingensis","Gaya domingensis","Urb.","Gomes, FS","Melo, E; Guedes, ML; Gomes, FS; Matos, LP","7423","2009","12","10","Southern America","Brasil","Bahia","Licínio de Almeida","-42.5125","-14.463889",NA,"ereto 50 cm alt. Folhas membranáceas. Flores amarelas. Frutos verdes.; degradada.","ALCB062995",NA,"Serra Geral, Distrito de São Domingos, Fazenda São Domingos","920","920","-42.5125","-14.463889","2010","08",NA,NA,NA,NA,NA,NA,NA,NA
"44","2019-10-09 11:19:19-03","UFBA","ALCB","023900","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malvaceae","Gaya","domingensis","Gaya domingensis","Urb.","Krapovickas, A","Guedes, ML","2706","1992","11","28","Southern America","Brasil","Bahia","Caetité","-42.2075","-13.993056",NA,"Ca. de 1,0 m de alt. Flores amarelas.","ALCB063002",NA,"Serra Geral",NA,NA,"-42.2075","-13.993056","1997","01",NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-11-04 11:12:50-03","ESALQ","ESA","41035","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malvaceae","Gaya","domingensis","Gaya domingensis",NA,"Krapovickas, A.","Souza, V.C.; Souza, J.P.; Capellari, L.; Elias, S.I.; Forster, W.","20855.0","1998","04","05",NA,"Brasil","Minas Gerais","Curvelo","-44.4308013916016","-18.7563991546631",NA,NA,"ESA041035","ESA041035",NA,NA,NA,NA,NA,NA,NA,"57661","auto",NA,NA,NA,NA,NA,NA
"46","2021-04-02 11:40:37-03","UFPI","TEPB","29909","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Gaya","domingensis","Gaya domingensis","Urb.","Bovini, M.","ALENCAR, M. E.","2350","2013","12","15",NA,"Brasil","Pernambuco","Buíque","-37.1557998657227","-8.62306022644043",NA,"Surbarbusto ca. 1,5 m com flores esbrenquiçadas e frutos imaturos. Substrato areno-argiloso. Ambiente: Brejo (Encosta)",NA,NA,"Brejo de são (Pingadeira)",NA,NA,NA,NA,"2014","05","38964","auto","01",NA,NA,NA,NA,NA
"47","2019-07-26 11:40:36-03","IPA","IPA","53672","S","Plantae","Plantae",NA,"Malvaceae","Gaya","domingensis","Gaya domingensis","Urb.","Bovini, M.G.","Bocage, A.","53672","1990","07","11","Southern America","Brasil","Pernambuco","Flores","-37.9747009277344","-7.86806011199951",NA,"Erva ca. 60cm; flores amarelas.; Solo argiloso. Caatinga.","IPA0053672",NA,"Estrada para Triunfo.",NA,NA,NA,NA,"2011","08","33262","auto",NA,NA,NA,NA,NA,NA
"48","2020-12-20 21:18:15-03","UFV","VIC","48707","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Gaya","domingensis","Gaya domingensis","Urb",NA,"Bovini, M.G.; et al.","4121","2015","07","05",NA,"Brasil","Bahia",NA,NA,NA,NA,"Subarbusto ereto ca 1 m, heliófilo, folhas menbranáceas, levemente discolores, flores alvas, estames amarelos.freguente.","VIC048707","VIC048707","Proximidades do Parque nacional da Chapada da Diam, Estrada Ouro Verde Engenho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
