"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","class","relatedCatalogItem","yearIdentified","monthIdentified","fieldNumber","individualCount","infraspecificEpithet","typeStatus"
"11","2019-08-20 10:02:17-03","UNICAMP","UEC","84143","S","Plantae","Magnoliopsida",NA,"Amaranthaceae","Alternanthera","puberula","Alternanthera puberula","D.Dietr.","Senna, LR","Daniel, H","s.n.","1994","06",NA,NA,"Brazil","São Paulo","Teodoro Sampaio","Parque Estadual do Morro do Diabo","-52.1599998474121","-22.5300006866455",NA,NA,NA,"fruto, Arbustive de 1,5 m. fruto seco, beira da trilha.","UEC119256",NA,"54606","auto",NA,NA,"2015","07",NA,NA,NA,NA
"12","2019-11-01 15:27:44-03","PUC-RIO","FCAB","5601","PreservedSpecimen","Plantae",NA,"Angiospermae","Amaranthaceae","Alternanthera","puberula","Alternanthera puberula","(Mart.) Dietr.","Luisa R. Senna","Mendes de Magalhães","260","1940","06","06",NA,"Brasil","Minas Gerais","Indianópolis","Indianópolis","-47.9169006347656","-19.0386009216309",NA,NA,NA,"Flor alva, muito frequente&nf;herbacea, 1m; Ruderal","005601",NA,"30244","auto",NA,NA,"2015","07",NA,NA,NA,NA
"13","2015-09-04 16:41:01-03","MNHN","RECOLNAT_MNHN_P","P04960581","PreservedSpecimen",NA,NA,NA,"Amaranthaceae","Alternanthera","puberula","Alternanthera puberula","(Martius) D.Dietr.",NA,NA,NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04960581' target='other'> <mi>dwc_moreinfo</mi></a>","P04960581","P04960581_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2015-09-04 16:41:01-03","MNHN","RECOLNAT_MNHN_P","P04960582","PreservedSpecimen",NA,NA,NA,"Amaranthaceae","Alternanthera","puberula","Alternanthera puberula","(Martius) D.Dietr.",NA,"Claussen, P.",NA,"1838","1","1",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04960582' target='other'> <mi>dwc_moreinfo</mi></a>","P04960582","P04960582_01",NA,NA,NA,NA,NA,NA,"33",NA,NA,NA
"15","2015-09-04 09:14:55-03","MNHN","RECOLNAT_MNHN_P","P00622578","PreservedSpecimen",NA,NA,NA,"Amaranthaceae","Alternanthera","puberula","Alternanthera puberula","(Martius) D.Dietr.","Mears","Warming, A.",NA,"1892","4","30",NA,"Brésil","minas gerais",NA,"Lagoa Santa",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00622578' target='other'> <mi>dwc_moreinfo</mi></a>","P00622578","P00622578_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2015-09-21 11:04:27-03","MNHN","RECOLNAT_MNHN_P","P00622579","PreservedSpecimen",NA,NA,NA,"Amaranthaceae","Alternanthera","puberula","Alternanthera puberula","(Martius) D.Dietr.","Mears","Warming, A.",NA,"1892","4","30",NA,"Brésil","minas gerais",NA,"Lagoa Santa",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00622579' target='other'> <mi>dwc_moreinfo</mi></a>","P00622579","P00622579_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2013-11-18 13:15:51-02","MNHN","RECOLNAT_MNHN_P","P00622580","PreservedSpecimen",NA,NA,NA,"Amaranthaceae","Alternanthera","puberula","Alternanthera puberula","(Martius) D.Dietr.","Mears","Warming, A.",NA,"1892","4","30",NA,"Brésil","minas gerais",NA,"Lagoa Santa",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00622580' target='other'> <mi>dwc_moreinfo</mi></a>","P00622580","P00622580_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2015-09-04 16:41:01-03","MNHN","RECOLNAT_MNHN_P","P04960576","PreservedSpecimen",NA,NA,NA,"Amaranthaceae","Alternanthera","puberula","Alternanthera puberula","(Martius) D.Dietr.",NA,"Loefgren",NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04960576' target='other'> <mi>dwc_moreinfo</mi></a>","P04960576","P04960576_01",NA,NA,NA,NA,NA,NA,"1265",NA,NA,NA
"19","2015-09-04 16:41:01-03","MNHN","RECOLNAT_MNHN_P","P04960578","PreservedSpecimen",NA,NA,NA,"Amaranthaceae","Alternanthera","puberula","Alternanthera puberula","(Martius) D.Dietr.",NA,"Mexia, Y.",NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04960578' target='other'> <mi>dwc_moreinfo</mi></a>","P04960578","P04960578_01",NA,NA,NA,NA,NA,NA,"5692",NA,NA,NA
"20","2015-09-04 16:41:01-03","MNHN","RECOLNAT_MNHN_P","P04960573","PreservedSpecimen",NA,NA,NA,"Amaranthaceae","Alternanthera","puberula","Alternanthera puberula","(Martius) D.Dietr.",NA,"Smith, L.B.|Klein, R.M.",NA,"1964","12","18",NA,"Brasil","Santa Catarina","Itapiranga","Forest by Rio Peperí-guaçu, Linha Coqueiro.","-53.78333","-27.11667",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04960573' target='other'> <mi>dwc_moreinfo</mi></a>","P04960573","P04960573_01",NA,NA,NA,NA,NA,NA,"14122",NA,NA,NA
"21","2015-09-04 16:41:02-03","MNHN","RECOLNAT_MNHN_P","P04960583","PreservedSpecimen",NA,NA,NA,"Amaranthaceae","Alternanthera","puberula","Alternanthera puberula","(Martius) D.Dietr.",NA,"Claussen",NA,NA,NA,NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04960583' target='other'> <mi>dwc_moreinfo</mi></a>","P04960583","P04960583_01",NA,NA,NA,NA,NA,NA,"33",NA,NA,NA
"22","2015-09-04 16:41:02-03","MNHN","RECOLNAT_MNHN_P","P04960584","PreservedSpecimen",NA,NA,NA,"Amaranthaceae","Alternanthera","puberula","Alternanthera puberula","(Martius) D.Dietr.",NA,"Claussen",NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04960584' target='other'> <mi>dwc_moreinfo</mi></a>","P04960584","P04960584_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2015-09-04 16:41:02-03","MNHN","RECOLNAT_MNHN_P","P04960586","PreservedSpecimen",NA,NA,NA,"Amaranthaceae","Alternanthera","puberula","Alternanthera puberula","(Martius) D.Dietr.",NA,"Pohl",NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04960586' target='other'> <mi>dwc_moreinfo</mi></a>","P04960586","P04960586_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2015-09-04 16:41:01-03","MNHN","RECOLNAT_MNHN_P","P04960572","PreservedSpecimen",NA,NA,NA,"Amaranthaceae","Alternanthera","puberula","Alternanthera puberula","(Martius) D.Dietr.",NA,"Smith, L.B.|Klein, R.",NA,"1957","2","18",NA,"Brasil","Santa Catarina","Joaçaba","Campos of Palmas, 75 km west of Caçador.","-51.5046997070312","-27.1781005859375",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04960572' target='other'> <mi>dwc_moreinfo</mi></a>","P04960572","P04960572_01","18588","auto",NA,NA,NA,NA,"11424",NA,NA,NA
"25","2015-09-04 16:41:01-03","MNHN","RECOLNAT_MNHN_P","P04960577","PreservedSpecimen",NA,NA,NA,"Amaranthaceae","Alternanthera","puberula","Alternanthera puberula","(Martius) D.Dietr.",NA,"Mexia, Y.",NA,"1931","4","22",NA,"Brasil","Minas Gerais","Corinto","Fazenda do Diamante; Corriga do Angico.","-44.4564018249512","-18.3808002471924","600",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04960577' target='other'> <mi>dwc_moreinfo</mi></a>","P04960577","P04960577_01","49021","auto",NA,NA,NA,NA,"5692",NA,NA,NA
"26","2015-09-04 16:41:01-03","MNHN","RECOLNAT_MNHN_P","P04960579","PreservedSpecimen",NA,NA,NA,"Amaranthaceae","Alternanthera","puberula","Alternanthera puberula","(Martius) D.Dietr.",NA,"Hatschbach, G.",NA,"1968","1","19",NA,"Brasil","Paraná","Guarapuava","Rio Campo Real.","-51.4580993652344","-25.395299911499",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04960579' target='other'> <mi>dwc_moreinfo</mi></a>","P04960579","P04960579_01","53832","auto",NA,NA,NA,NA,"18355",NA,NA,NA
"27","2020-12-11 11:31:19-03","UFMG","BHCB","60101","PreservedSpecimen","Plantae","Dicotyledon",NA,"Amaranthaceae","Alternanthera","puberula","Alternanthera puberula","(Mart.) Dietr.",NA,"Homero, MJ","s.n.","2001","05","29","Southern America","Brasil","Minas Gerais","Belo Horizonte",NA,"-43.937801361084","-19.9207992553711",NA,NA,NA,"Folhas papiráceas, avermelhadas, inflorescências brancas.; Cultivada.","BHCB054216","BHCB054216","17082","auto",NA,NA,"2001","05",NA,NA,NA,NA
"28","2020-12-11 11:31:19-03","UFMG","BHCB","55341","PreservedSpecimen","Plantae","Dicotyledon",NA,"Amaranthaceae","Alternanthera","puberula","Alternanthera puberula","(Mart.) Dietr.",NA,"Magalhães, GM","260","1940","06","06","Southern America","Brasil","Minas Gerais","Indianópolis",NA,"-47.9169006347656","-19.0386009216309",NA,NA,NA,"Herbácea, 1m. Flor alva.; Ruderal.","BHCB054212","BHCB054212","30244","auto",NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-12-11 11:31:19-03","UFMG","BHCB","89841","PreservedSpecimen","Plantae","Dicotyledon",NA,"Amaranthaceae","Alternanthera","puberula","Alternanthera puberula","(Mart.) Dietr.",NA,"Echternacht, LA; Dornas, T","406","2004","05","17","Southern America","Brasil","Minas Gerais","Carmópolis de Minas","Estação Ecológica da Mata do Cedro","-44.6349983215332","-20.5414009094238",NA,NA,NA,"Arbustiva, 05,m. Flores brancas.; Beira de Floresta Estacional Semidecidual.","BHCB054215","BHCB054215","18828","auto",NA,NA,"2005","11",NA,NA,NA,NA
"30","2020-12-11 11:31:19-03","UFMG","BHCB","55342","PreservedSpecimen","Plantae","Dicotyledon",NA,"Amaranthaceae","Alternanthera","puberula","Alternanthera puberula","(Mart.) Dietr.",NA,"Barreto, HLM","14","1932","09","12","Southern America","Brasil","Minas Gerais","Santa Luzia","Lagoa Santa","-43.8513984680176","-19.7696990966797",NA,NA,NA,"Muito frequente.; Herbácea, 0,4m. Flor alva.; Ruderal.","BHCB054213","BHCB054213","19939","auto",NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-12-11 11:31:19-03","UFMG","BHCB","55336","PreservedSpecimen","Plantae","Dicotyledon",NA,"Amaranthaceae","Alternanthera","puberula","Alternanthera puberula","(Mart.) Dietr.",NA,"Barreto, HLM","1383","1935","07","04","Southern America","Brasil","Rio de Janeiro","Carmo","Porto Novo. Nas ilhas do rio Parahyba.","-42.6086006164551","-21.9335994720459",NA,NA,NA,"Muito frequente.; Herbácea, 0,5m. Flor alva.","BHCB054214","BHCB054214","21959","auto",NA,NA,NA,NA,NA,NA,NA,NA
"32","2017-08-22 11:08:00-03","MO","MOBOT","100993885","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Alternanthera","puberula","Alternanthera puberula","D. Dietr.","K. Becker","Howard S. Irwin|R. Souza|R. Reis dos Santos","Irwin 8891","1965","10","3","South America","Brazil","Distrito Federal",NA,"Vicinity of Planaltina.",NA,NA,"950.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"33","2011-10-20 17:39:00-02","MO","MOBOT","2344440","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Alternanthera","puberula","Alternanthera puberula","D. Dietr.","Pedersen, T. M., //","Ricardo O. Vanni|D.B. Kurtz|A. Titievsky","Vanni 4038","1997","8","15","South America","Argentina","Misiones","Iguazú","Pto. Esperanza. Antiguo Puerto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-07-10 13:16:00-03","MO","MOBOT","2491115","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Alternanthera","puberula","Alternanthera puberula","D. Dietr.","Pedersen, T. M.","Karl Fiebrig","Fiebrig 5363","1909",NA,NA,"South America","Paraguay","Alto Paraná",NA,"in regione fluminis Alto Paraná","-54.61666","-25.43333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"35","2020-08-31 09:17:46-03","INPA","INPA","48910","S","Plantae","Dicotyledon Superasterids","Caryophyllales","Amaranthaceae","Alternanthera","puberula","Alternanthera puberula","D.Dietr.","Siqueira, JC de","Sagástegui A., A","7678","1973","05","16","Southern America","Peru","Trujillo","La Libertad","Poroto",NA,NA,"800","800",NA,NA,"INPA0048910",NA,NA,NA,NA,NA,"2005","02",NA,NA,NA,NA
"36","2020-06-15 15:28:12-03","UNESP-RC","HRCB","41910","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Alternanthera","puberula","Alternanthera puberula","(Mart.) D. Dietr.","Carniello, M.A.","Cabral, C.D. de O.","19","2003","04",NA,NA,"Brasil","Mato Grosso","Cáceres",NA,"-57.6789016723633","-16.0706005096436",NA,NA,NA,"Herbáceo",NA,NA,"172193","auto",NA,NA,"2003","11",NA,NA,NA,NA
"37","2020-06-15 15:28:12-03","UNESP-RC","HRCB","6469","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Alternanthera","puberula","Alternanthera puberula","(Mart.) Sclinz.","Furlan, A.","Campos, M.J.O.","67","1982","12","21",NA,"Brasil","São Paulo","Corumbataí",NA,"-47.6199989318848","-22.2199993133545",NA,NA,NA,NA,NA,NA,"14989","auto",NA,NA,"1985",NA,NA,NA,NA,NA
"38","2020-06-15 15:28:12-03","UNESP-RC","HRCB","16278","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Alternanthera","puberula","Alternanthera puberula","Dietr.","Furlan, A.","Verardo, S.M.S.","25901","1992","04",NA,NA,"Brasil","Minas Gerais","Juiz de Fora","Campus da UFJF","-43.3502998352051","-21.7642002105713",NA,NA,NA,"Caule ramoso com folhas vermelho-escuras ou vinho, sendo que as do ápice verdes. Inflorescências brancas. Cultivada como medicinal.",NA,NA,"36144","auto",NA,NA,"1993",NA,NA,NA,NA,NA
"39","2020-09-12 05:00:02-03","US","US","940237","PreservedSpecimen","Plantae",NA,"Caryophyllales","Amaranthaceae","Alternanthera","puberula","Alternanthera puberula","(Mart.) D. Dietr.",NA,"A. Regnell","III/212","1865","2","23","South America - Neotropics","Brazil","Minas Gerais","Caldas",NA,"-46.386100769043","-21.9235992431641",NA,NA,NA,NA,"US01333480","US01333480_01","25710","auto","Dicotyledonae",NA,NA,NA,NA,"1",NA,NA
"40","2020-09-12 05:00:02-03","US","US","1615842","PreservedSpecimen","Plantae",NA,"Caryophyllales","Amaranthaceae","Alternanthera","puberula","Alternanthera puberula","(Mart.) D. Dietr.",NA,"Y. Mexia","5692","1931","1","22","South America - Neotropics","Brazil","Minas Gerais","Corinto","Fazenda do Diamante; Corriga do Angico, streambakn in shade.","-44.4564018249512","-18.3808002471924","600",NA,NA,NA,"US01333482","US01333482_01","49021","auto","Dicotyledonae",NA,NA,NA,NA,"1",NA,NA
"41","2020-09-12 05:00:02-03","US","US","2143962","PreservedSpecimen","Plantae",NA,"Caryophyllales","Amaranthaceae","Alternanthera","puberula","Alternanthera puberula","(Mart.) D. Dietr.",NA,"A. A. Beetle","2188","1952","8","22","South America","Brazil","Paraná",NA,"At Iguazu banks of Rio Parana",NA,NA,NA,NA,NA,NA,"US01333481","US01333481_01",NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1",NA,NA
"42","2020-09-12 05:00:02-03","US","US","2820246","PreservedSpecimen","Plantae",NA,"Caryophyllales","Amaranthaceae","Alternanthera","puberula","Alternanthera puberula","(Mart.) D. Dietr.",NA,"H. S. Irwin, R. Souza & R. G. P. Santos","8891","1965","10","3","South America - Neotropics","Brazil","Goiás","Planaltina",NA,"-47.614200592041","-15.4527997970581","950",NA,NA,NA,"US01333389","US01333389_01","61159","auto","Dicotyledonae",NA,NA,NA,NA,"1",NA,NA
"43","2019-11-13 11:14:09-03","USP","SPF","96710","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Alternanthera","puberula","Alternanthera puberula","(Mart.) D.Dietr.","Senna, LR","Tamashiro, JY","T242","1994","06","28",NA,"Brasil","São Paulo","Paulo de Faria","Estação Ecológica.","-49.3800010681152","-20.0300006866455",NA,NA,NA,NA,"SPF00096710",NA,"29574","auto",NA,NA,"2015","07",NA,NA,NA,NA
"44","2020-03-05 14:10:54-03","UNEMAT","HPAN",NA,"PreservedSpecimen","Plantae","Magnoliidae","Caryophyllales","Amaranthaceae","Alternanthera","puberula","Alternanthera puberula","(Mart.) D. Dietr.","Carniello, MA","Cabral, CDO","19","2003","04",NA,"América","Brasil","Mato Grosso","Cáceres","Porto Limão","-57.6789016723633","-16.0706005096436",NA,NA,NA,NA,NA,NA,"172193","auto",NA,NA,"2003","11",NA,NA,NA,NA
"45","2019-10-07 09:18:26-03","UEFS","HUEFS","145859","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Amaranthaceae","Alternanthera","puberula","Alternanthera puberula","D.Dietr.","L.R.Senna","Romaniuc Neto, S.","1365","1993","05","13",NA,"Brasil","São Paulo","Mogi Guaçu","Reserva Biológica e Estação Experimental de Mogi Guaçu.","-46.9421997070312","-22.372200012207",NA,NA,NA,NA,"HUEFS0145859","HUEFS0145859","39309","auto","Caryophyllanae",NA,"2015","07",NA,NA,NA,NA
"46","2019-09-04 18:54:45-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Amaranthaceae","Telanthera","puberula","Telanthera puberula warmingii",NA,NA,"J. E. B. Warming","652","1864","1","25","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,"warmingii","Type [status unknown]"
"47","2020-11-04 17:28:22-03","UEM","HUEM","18581","S","Plantae",NA,NA,"Amaranthaceae","Alternanthera","puberula","Alternanthera puberula","D.Dietr.",NA,"Tanaka, I","21","1999","10","22",NA,"Brasil","Mato Grosso do Sul","Taquarussu","canal Corutuba, margem direita","-53.3513984680176","-22.4878005981445",NA,NA,NA,"Liana; inflorescência col. branca.","HUEM000014969",NA,"63482","auto",NA,NA,NA,NA,NA,NA,NA,NA
"48","2020-11-04 17:28:22-03","UEM","HUEM","7415","S","Plantae",NA,NA,"Amaranthaceae","Alternanthera","puberula","Alternanthera puberula","D.Dietr.","Tanaka, I","Tanaka, I","116","1998","08","26",NA,"Brasil","Mato Grosso do Sul","Taquarussu","rio Paraná, canal Corutuba, Espigão do Macaco.","-53.3513984680176","-22.4878005981445",NA,NA,NA,"Liana; inflorescência col. branca.","HUEM000014970",NA,"63482","auto",NA,NA,NA,NA,NA,NA,NA,NA
"49","2019-04-23 15:26:41-03","UFMT","UFMT","35983","S","Plantae",NA,NA,"Amaranthaceae","Alternanthera","puberula","Alternanthera puberula","D.Dietr.","Carniello, M.A.","Cabral, C.D.O.","19","2003","04",NA,NA,"Brasil","Mato Grosso","Cáceres","Porto Limão.","-57.6789016723633","-16.0706005096436",NA,NA,NA,"herbácea.; Cultiva em quintais e hortas medicinais.",NA,NA,"172193","auto",NA,NA,"2003","09",NA,NA,NA,NA
"50","2017-09-11 17:06:42-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Amaranthaceae","Telanthera","puberula","Telanthera puberula warmingii","Moq.",NA,"Warming, JEB","s.n.",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Lagoa Santa","pr. Lagoa Santa prov. Minarum","-43.8897","-19.6272",NA,NA,NA,NA,NA,NA,"12338","auto",NA,NA,NA,NA,NA,NA,"warmingii",NA
"51","2019-11-21 09:57:57-03","IBt","SP","263240","S","Plantae",NA,NA,"Amaranthaceae","Alternanthera","puberula","Alternanthera puberula","D.Dietr.","Senna, LR","Romaniuc Neto, S; Godoi, JV; Toledo, CB","1365","1993","05","03",NA,"Brasil","São Paulo","Mogi Guaçu","Reserva Biológica e Estação Experimental, Mata da Figueira","-46.9421997070312","-22.372200012207",NA,NA,NA,"Trepadeira, ca. 2 m alt., 10 m distante do rio. Inflorescências alvo-esverdeadas",NA,NA,"39309","auto",NA,NA,"2015","07",NA,NA,NA,NA
