"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","verbatimLongitude","verbatimLatitude","barcode","phylum","decimalLongitude","decimalLatitude","coordinatePrecision","imagecode","geoFlag","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","continentOcean","class","order","individualCount"
"11","2020-12-21 16:38:39-03","MBM","MBM","385482","PreservedSpecimen","Plantae","Orchidaceae","Octomeria","palmyrabellae","Octomeria palmyrabellae","Barb.Rodr.","Ariati, V.","2012","02","07","Ariati, V.","614","2012","02","07","Brasil","Paraná","Ortigueira","UHE Mauá","-50.723333","-24.111389","MBM385482",NA,"-50.723333","-24.111389",NA,NA,NA,"520","750","Resgate de flora da UHE Mauá; Epífita.",NA,NA,NA,NA
"12","2020-12-21 16:38:39-03","MBM","MBM","408969","PreservedSpecimen","Plantae","Orchidaceae","Octomeria","palmyrabellae","Octomeria palmyrabellae","Barb.Rodr.","Barboza, E.","2017","03","31","Silva, J.M.","9302","2016","03","26","Brazil",NA,NA,NA,NA,NA,"MBM408969",NA,NA,NA,NA,"MBM408969",NA,NA,NA,"Epífita, flor de coloração bege.; Cerrado.","Southern America",NA,NA,NA
"13","2020-12-21 16:38:39-03","MBM","MBM","429865","PreservedSpecimen","Plantae","Orchidaceae","Octomeria","palmyrabellae","Octomeria palmyrabellae","Barb.Rodr.","Oliveira, I.J.G.","2020","03","13","Brotto, M.L.","3838","2020","02","25","Brazil","Paraná","Piraí do Sul","Morro Corpo Seco","-50.04","-24.506111","MBM429865",NA,"-50.04","-24.506111",NA,NA,NA,"1110","1110","Erva rupícola, flores amarelo-claro.; Sobre o paredão de arenito.","Southern America",NA,NA,NA
"14","2020-12-21 16:38:39-03","MBM","MBM","50031","PreservedSpecimen","Plantae","Orchidaceae","Octomeria","palmyrabellae","Octomeria palmyrabellae","Barb.Rodr.","Pabst, G.",NA,NA,NA,"Hatschbach, G.","16279","1967","04","09","Brazil","Paraná","Campina Grande do Sul","Sítio do Belizário",NA,NA,"MBM050031",NA,"-49.0553016662598","-25.3055992126465","55154",NA,"auto",NA,NA,NA,"Southern America",NA,NA,NA
"15","2020-12-21 16:38:39-03","MBM","MBM","176597","PreservedSpecimen","Plantae","Orchidaceae","Octomeria","palmyrabellae","Octomeria palmyrabellae","Barb.Rodr.","Kersten, R.","2004","01","15","Kersten, R.","768","2004","01","15","Brazil","Paraná","Piraquara","Haras Santo Antônio",NA,NA,"MBM176597",NA,"-49.0633010864258","-25.4416999816895","12577",NA,"auto",NA,NA,"Epífita, flor creme com listras longitudinais escuras.; Frequente na transição entre Floresta Ombrófila Mista com Floresta Ombrófila Densa.","Southern America",NA,NA,NA
"16","2021-02-11 17:20:58-03","UFPR","UPCB","85881","PreservedSpecimen","Plantae","Orchidaceae","Octomeria","cf. palmyrabellae","Octomeria cf. palmyrabellae","Barb.Rodr.","Ariati, V.",NA,NA,NA,"Bochorny, T.","59","2012","04","10","Brasil","Paraná","Telêmaco Borda","CT Flora",NA,NA,"UPCB0037063",NA,NA,NA,NA,"UPCB0037063",NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-02-11 17:20:58-03","UFPR","UPCB","92855","PreservedSpecimen","Plantae","Orchidaceae","Octomeria","palmyrabellae","Octomeria palmyrabellae","Barb. Rodr.","Santos, T.F.","2017",NA,NA,"Santos, T.F.| Kujaski, K.","275","2017","04","01","Brasil","Paraná","São João do Piraí","Margem do Rio Negro",NA,NA,"UPCB0037242",NA,NA,NA,NA,"UPCB0037242",NA,NA,NA,"Flor amarela, estrias avermelhadas. Floresceu em cultivo na UFPR",NA,NA,NA,NA
"18","2021-02-11 17:20:58-03","UFPR","UPCB","92854","PreservedSpecimen","Plantae","Orchidaceae","Octomeria","palmyrabellae","Octomeria palmyrabellae","Barb. Rodr.","Santos, T.F.","2017",NA,NA,"Santos, T.F.| Kujaski, K.","276","2017","06","16","Brasil","Paraná","São José dos Pinhais","Contenda",NA,NA,"UPCB0037229",NA,"-49.2064018249512","-25.5347003936768","45291","UPCB0037229","auto",NA,NA,"Flor amarela, estrias avermelhadas",NA,NA,NA,NA
"19","2021-02-11 17:20:58-03","UFPR","UPCB","92898","PreservedSpecimen","Plantae","Orchidaceae","Octomeria","palmyrabellae","Octomeria palmyrabellae","Barb. Rodr.","Santos, T.F.","2016","05",NA,"Santos, T.F.| Kersten, R.","140","2016","05","26","Brasil","Paraná","Piraquara","Estação Marumbi. Proximo a entrada do Morro do Canal",NA,NA,"UPCB0038288",NA,"-49.0633010864258","-25.4416999816895","12577","UPCB0038288","auto",NA,NA,"Floresta ombrofila mista. Epífita em Floresta ombrofila mista na beira da estrada",NA,NA,NA,NA
"20","2021-02-11 17:20:58-03","UFPR","UPCB","92876","PreservedSpecimen","Plantae","Orchidaceae","Octomeria","palmyrabellae","Octomeria palmyrabellae","Barb. Rodr.","Santos, T.F.","2017",NA,NA,"Klingelfus, M.",NA,NA,NA,NA,"Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi, Estrada para Goibapa-Açu, divisa do Parque , Lado direito da estrada e direito da trilha, na baixada.",NA,NA,"UPCB0037260",NA,"-40.6002998352051","-19.9356002807617","23813","UPCB0037260","auto",NA,NA,"Floresta Ombrófila Densa. Coletada em 11 de Janeiro de 2017. Floresceu em cultivo na Casa de Vegetação do Depto de Botânica da UFPR.. Flores interiramente amarelas. Difere do amarelo estriado de vermelho normalmente encontrado nesta",NA,NA,NA,NA
"21","2021-02-11 17:20:58-03","UFPR","UPCB","92856","PreservedSpecimen","Plantae","Orchidaceae","Octomeria","palmyrabellae","Octomeria palmyrabellae","Barb. Rodr.","Santos, T.F.","2017",NA,NA,"Santos, T.F.| M-Reis, R.","278","2017","04","02","Brasil","São Paulo","Apiaí","Vale do Ribeira",NA,NA,"UPCB0037244",NA,"-48.8400001525879","-24.5","37738","UPCB0037244","auto",NA,NA,"Flores amarelas, estriada de vermelho",NA,NA,NA,NA
"22","2021-02-11 17:20:58-03","UFPR","UPCB","92857","PreservedSpecimen","Plantae","Orchidaceae","Octomeria","palmyrabellae","Octomeria palmyrabellae","Barb. Rodr.","Santos, T.F.","2017",NA,NA,"Santos, T.F.| M-Reis, R.","277","2017","04","01","Brasil","São Paulo","Guapiara","Vale do Ribeira",NA,NA,"UPCB0037230",NA,"-48.5299987792969","-24.1800003051758","20045","UPCB0037230","auto",NA,NA,"Flores amarelas com estrias avermelhadas",NA,NA,NA,NA
"23","2021-02-11 17:20:58-03","UFPR","UPCB","70030","PreservedSpecimen","Plantae","Orchidaceae","Octomeria","palmyrabellas","Octomeria palmyrabellas","Barb.Rodr.","Mancinelli, W.S.","2010","03","18","Mancinelli, W.S.","1183","2010","03","18","Brasil","Paraná","Tibagi","Canyon do Guartelá",NA,NA,"UPCB0037062",NA,"-50.4136009216309","-24.5093994140625","56988","UPCB0037062","auto",NA,NA,"Epífita, flores amarelas com listras púrpuras, ocorrente em Mata Ciliar. Margens do Rio Iapó..",NA,NA,NA,NA
"24","2021-02-11 17:20:58-03","UFPR","UPCB","59913","PreservedSpecimen","Plantae","Orchidaceae","Octomeria","palmyrabellas","Octomeria palmyrabellas","Barb.Rodr.","Kersten, R.","2004","04","12","Kersten, R.","840","2004","04","12","Brasil","Paraná","Piraquara","Haras Santo Antonio",NA,NA,"UPCB0037068",NA,"-49.0633010864258","-25.4416999816895","12577","UPCB0037068","auto",NA,NA,"Epífita, flores creme/amarelas com listras e máculas vinosas..",NA,NA,NA,NA
"25","2020-07-10 09:48:26-03","MBML","MBML-HERBARIO","21373",NA,"Plantae","Orchidaceae","Octomeria","palmyrabellae","Octomeria palmyrabellae","Barb. Rodr.","W. Forster/Fev.2013",NA,NA,NA,"M. V. S. Berger; et al","117","2003","08","10","Brasil","Espírito Santo","Santa Maria de Jetibá","Pedra do Garrafão","40W55'27","20S10'37","MBML021373",NA,"-40.924167","-20.176944",NA,NA,NA,NA,NA,"Epífita, próximo à capoeira, meia sombra. Com frutos verdes flores vestigiais secas.",NA,NA,NA,NA
"26","2020-09-12 05:00:02-03","US","US","2504724","PreservedSpecimen","Plantae","Orchidaceae","Octomeria","palmyrabellae","Octomeria palmyrabellae","Barb. Rodr.",NA,NA,NA,NA,"R. Reitz","6180","1959","4","1","Brazil","Santa Catarina",NA,NA,NA,NA,"US00438932",NA,NA,NA,NA,"US00438932_01",NA,NA,NA,NA,"South America","Monocotyledonae","Orchidales","1"
"27","2021-03-25 13:53:06-03","UNIVILLE","JOI","15134","PreservedSpecimen","Plantae","Orchidaceae","Octomeria","palmyrabellae","Octomeria palmyrabellae","Barb.Rodr.","Mancinelli, W. S.","2010","04","23","Mancinelli, W.S.","1212","2010","04","23","Brasil","Paraná","Tibagi","Canyon do Guartelá.",NA,NA,"JOI015134",NA,"-50.4136009216309","-24.5093994140625","56988",NA,"auto","850","850","; HABITAT: mata ciliar; HABITO: Epífita",NA,NA,NA,NA
"28","2019-11-21 10:13:37-03","IBt","SP","330931","S","Plantae","Orchidaceae","Octomeria","palmyrabellae","Octomeria palmyrabellae","Barb.Rodr.","Pabst, GFJ","1980",NA,NA,"Barros, F","226","1980","04","28","Brasil","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
