"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","individualCount","relatedCatalogItem","sex"
"11","2020-06-15 15:29:44-03","UNESP-RC","HRCB","14131","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Espostoopsis","dybowskii","Espostoopsis dybowskii","(Rol.-Goss.) Buxb.",NA,"Taylor, N. P.","1384","1991","01","08",NA,"Brasil","Bahia",NA,NA,"Dominant on the outcrop, but solitary individuals also occru in the surrounding caatinga, where they reach larger proportions. Plants on the outcrop tall, upright, many branched from the base, up to 2",NA,NA,NA,NA,"Jaguarari","-40.19580078125","-10.2638998031616",NA,NA,NA,"530","530","60045","auto",NA,NA,NA,NA
"12","2020-06-15 15:29:44-03","UNESP-RC","HRCB","14044","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Espostoopsis","dybowskii","Espostoopsis dybowskii","(Rol.-Goss.) Buxb.",NA,"Taylor, N. P.","1551","1991","02","04",NA,"Brasil","Bahia",NA,NA,"Plants forming large groups with densely-set erect exept for basal branching unbranched stems to 3,5m tall; stems slender, 4-5,5 cm in diam.; cephalium not deeply sunken; fruits exserted when ripe. Th",NA,NA,NA,NA,"Maracás","-40.4308013916016","-13.4411001205444",NA,NA,NA,"300","300","50558","auto",NA,NA,NA,NA
"13","2020-06-15 15:29:44-03","UNESP-RC","HRCB","12055","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Espostoopsis","dybowskii","Espostoopsis dybowskii","(Rol.-Goss.) Buxb.",NA,"Zappi, D.C.","125","1989","07","15",NA,"Brasil","Bahia",NA,NA,"Arbustos sté 5 m alt., ramificados acima do solo, não mucilaginosos, com troncos suberosos até 80 cm dab., extremamente lenhosos. Epiderme verde-escura com estômatos alvos visíveis, ramos 8 cm larg.,",NA,NA,NA,NA,"Jaguarari","-40.19580078125","-10.2638998031616",NA,NA,NA,NA,NA,"60045","auto",NA,NA,NA,NA
"14","2020-09-12 05:00:02-03","US","US","762142","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Espostoopsis","dybowskii","Espostoopsis dybowskii","(Rol.-Goss.) Buxb.","Taylor, N. P.; Zappi, D. C.","J. N. Rose & G. Rose","19785","1915","6","7","South America - Neotropics","Brazil","Bahia",NA,NA,NA,"US00171095","US00171095_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA
"15","2020-09-12 05:00:02-03","US","US","762141","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Espostoopsis","dybowskii","Espostoopsis dybowskii","(Rol.-Goss.) Buxb.","Taylor, N. P.; Zappi, D. C.","J. N. Rose & G. Rose","19785","1915","6","7","South America - Neotropics","Brazil","Bahia",NA,NA,NA,"US00171093","US00171093_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA
"16","2020-09-12 05:00:02-03","US","US","3052771","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Espostoopsis","dybowskii","Espostoopsis dybowskii","(Rol.-Goss.) Buxb.",NA,"J. N. Rose","19785","1915",NA,NA,"South America - Neotropics","Brazil","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA
"17","2020-09-12 05:00:02-03","US","US","762143","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Espostoopsis","dybowskii","Espostoopsis dybowskii","(Rol.-Goss.) Buxb.","Taylor, N. P.; Zappi, D. C.","J. N. Rose & G. Rose","19785","1915","6","7","South America - Neotropics","Brazil","Bahia",NA,NA,NA,"US00171094","US00171094_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA
"18","2019-11-13 11:17:19-03","USP","SPF","80972","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Espostoopsis","dybowskii","Espostoopsis dybowskii","(Rol.-Goss.) Buxb.","Anônimo","Zappi, DC","125","1989","07","15",NA,"Brasil","Bahia","BR 407, 37,8 Km N de Senhor do Bonfim em direção a Juazeiro (localidade de Jaraguari)",NA,NA,"SPF00080972",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-10-07 09:18:38-03","UEFS","HUEFS","84847","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Cactaceae","Espostoopsis","dybowskii","Espostoopsis dybowskii","(Rol.-Goss.) Buxb.",NA,"Machado, M.","211","2004","05","23",NA,"Brasil","Bahia","Sussuarana, Serra Escura, rupícola nos afloramentos de quartzo.",NA,"afloramentos de rocha. quartzo leitoso.","HUEFS0084847","HUEFS0084847",NA,NA,"Tanhaçu","-41.104167","-14.22","41W6'15''","14S13'12''",NA,NA,NA,NA,NA,"Caryophyllanae",NA,NA,NA
"20","2019-07-09 11:05:59-03","F","FMNH-SEEDPLANTS","V0097496F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Cactaceae","Espostoopsis","dybowskii","Espostoopsis dybowskii",NA,NA,"B. E. Dahlgren","s.n.","1940",NA,NA,"South America","Brazil","Bahia",NA,NA,NA,"V0097496F","V0097496F_01",NA,NA,NA,"-42","-11",NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
"21","2020-07-23 12:01:19-03","CEPLAC","CEPEC","50774","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Espostoopsis","dybowskii","Espostoopsis dybowskii",NA,"N. P. Taylor","N. P. Taylor","1384","1991","01","08",NA,"Brasil","Bahia","86Km S Juazeiro, estrada para Sr. Do Bonfim, entre Flamengo e Juacema.",NA,NA,NA,NA,NA,NA,"JAGUARARÍ","-40.19580078125","-10.2638998031616",NA,NA,NA,NA,NA,"60045","auto",NA,NA,"30/12/1991",NA
"22","2020-07-23 12:01:19-03","CEPLAC","CEPEC","51257","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Espostoopsis","dybowskii","Espostoopsis dybowskii",NA,"N. P. Taylor","N. P. Taylor","1551","1991","02","04",NA,"Brasil","Bahia","6-7Km a E de Porto Alegre na estrada para Jequié.",NA,"<ll>dwc_commonname:</ll>",NA,NA,NA,NA,"MARACÁS","-40.4308013916016","-13.4411001205444",NA,NA,NA,NA,NA,"50558","auto",NA,NA,NA,NA
"23","2021-04-05 12:31:28-03","UNIVASF","HVASF","12348","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Espostoopsis","dybowskii","Espostoopsis dybowskii","(Rol.-Goss.) Buxb.","M.V. Meiado","M.V. Meiado","705","2011","07","29","América do Sul","Brasil","Bahia","BR 407, Km 70",NA,"Cacto colunar com cerca de 3 metros de altura. Pseudocefálio longo e branco nas extremidades dos cladódios. Flores e frutos ausentes.","HVASF012348",NA,"2011","07","Jaguarari",NA,NA,"9999.000000","9999.000000","29","504","504",NA,NA,NA,NA,NA,"U"
"24","2021-04-05 12:31:28-03","UNIVASF","HVASF","23055","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Espostoopsis","dybowskii","Espostoopsis dybowskii","(Rol.-Goss.) Buxb.","J.A. Siqueira Filho","J.A. Siqueira Filho","3727","2016","04","22","América do Sul","Brasil","Bahia","BR 407, à direita sentido Senhor do Bonfim - Juazeiro, estrada vicinal por trás de uma das Serras de Jaguarari",NA,"Cacto colunar em solo arenoso, ca. de 3 m alt., pseudocefálio longo esbranquiçado na porção apical do cladódio, flores passadas, frutos ausentes. Espécie ameaçada de extinção na categoria em perigo EN B2ab(iii)","HVASF023055","HVASF023055_v01 HVASF023055_v02 HVASF023055_v03","2016","04","Jaguarari",NA,NA,"9999.000000","9999.000000","22","543","543",NA,NA,NA,NA,NA,"U"
