"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","individualCount"
"11","2019-11-25 12:12:18-03","UFSM","SMDB","18652","S","Plantae",NA,NA,"Myrtaceae","Eugenia","hamiltonii",NA,"Eugenia hamiltonii","(Mattos) Mattos","Figueira, M","Figueira, M; Schindler, B.","381","2015","11","25",NA,"Brasil","Rio Grande do Sul","São Pedro do Sul","Cerro do Itaquatiá","-54.302806","-29.607528",NA,"Arbusto, raro, formando grande aglomerado de indivíduos em campo rupestre, aprox. 1,5 m de alt., botões com globo petalífero alvo; Refúgio vegetacional, em morro arenítico oriundo da formação Botucatu, cercado por campos antrópicos e inserido em zona","SMDB018652",NA,NA,"2015",NA,NA,"11","25","-54.302806","-29.607528",NA,NA,NA,NA
"12","2020-12-21 16:36:30-03","MBM","MBM","47725","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","hamiltonii",NA,"Eugenia hamiltonii","(Mattos) Mattos",NA,"Mattos, J.R.","10571","1962","11","19","Southern America","Brazil","Paraná","Jaguariaíva","Perto da divisa com Arapoti","-49.7057991027832","-24.2511005401611",NA,"No campo limpo. Arbustos de 7-23 cm de altura. Fr. imaturos; Arbusto de 7-23cm de altura. Caule hipógeo. Frutos imaturos.; Campo limpo.","MBM047725","MBM047725",NA,NA,"44368","auto",NA,NA,NA,NA,NA,NA,"ISOTYPE",NA
"13","2020-12-21 16:36:30-03","MBM","MBM","407677","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","hamiltonii",NA,"Eugenia hamiltonii","(Mattos) Mattos","Grizzon, M.","Gonzatti, F.","614","2012","10","13","Southern America","Brazil","Rio Grande do Sul","Cidreira","Fazenda Azaléia","-50.233611","-30.084444",NA,"Arbusto com 1 m de altura.; Em campo sujo.","MBM407677","MBM407677",NA,"2012",NA,NA,"10","31","-50.233611","-30.084444","10","10",NA,NA
"14","2020-12-21 16:36:34-03","MBM","MBM","20885","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","meridionalis",NA,"Eugenia meridionalis","Mattos",NA,"Hatschbach, G.","25812","1970","12","21","Southern America","Brazil","Paraná","Guaraqueçaba","Salto Morato","-48.3288993835449","-25.3066997528076",NA,"Arbusto 2m, flor alva, mata margem rio, base do salto; Arbusto 2m, flor alva.; Mata às margens de rio, base do salto.","MBM020885","MBM020885",NA,NA,"37295","auto",NA,NA,NA,NA,"20","30","HOLOTYPE",NA
"15","2020-12-21 16:36:51-03","MBM","MBM","230972","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Hexachlamys","hamiltonii",NA,"Hexachlamys hamiltonii","Mattos","Sobral, M.","Motta, J.T.","2099","1991","02","09","Southern America","Brazil","Paraná","Jaguariaíva","Fazenda Chapada Santo Antônio","-49.7057991027832","-24.2511005401611",NA,NA,"MBM230972","MBM230972",NA,NA,"44368","auto",NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-12-21 16:36:51-03","MBM","MBM","228003","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Hexachlamys","hamiltonii",NA,"Hexachlamys hamiltonii","Mattos","Soares-Silva, L.H.","Davidse, G.; Scherer Neto, P.; Scherer Neto, P.","11020","1979","12","06","Southern America","Brazil","Paraná","Palmeira","Fazenda Santa Rita","-50.0064010620117","-25.4293994903564",NA,NA,"MBM228003","MBM228003",NA,NA,"35166","auto",NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-12-21 16:36:51-03","MBM","MBM","72372","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Hexachlamys","hamiltonii",NA,"Hexachlamys hamiltonii","Mattos","Mattos, J.","Hatschbach, G.","44348","1981","11","11","Southern America","Brazil","Paraná","Jaguariaíva","Fazenda Cajuru","-49.7057991027832","-24.2511005401611",NA,NA,"MBM072372","MBM072372",NA,NA,"44368","auto",NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-12-21 16:36:51-03","MBM","MBM","236547","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Hexachlamys","hamiltonii",NA,"Hexachlamys hamiltonii","Mattos","Sobral, M.","Motta, J.T.","2073","1990","12","08","Southern America","Brazil","Paraná","Jaguariaíva","Fazenda Chapada Santo Antônio","-49.7057991027832","-24.2511005401611",NA,NA,"MBM236547","MBM236547",NA,NA,"44368","auto",NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-12-21 16:36:51-03","MBM","MBM","9000","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Hexachlamys","hamiltonii",NA,"Hexachlamys hamiltonii","Mattos","Sobral, M.","Hatschbach, G.","20010","1968","10","11","Southern America","Brazil","Paraná","Jaguariaíva","Fazenda das Almas","-49.7057991027832","-24.2511005401611",NA,NA,"MBM009000","MBM009000",NA,NA,"44368","auto",NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-12-21 16:36:51-03","MBM","MBM","241637","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Hexachlamys","hamiltonii",NA,"Hexachlamys hamiltonii","Mattos","Kawasaki, M.L.","Souza, V.C.; et al.; et al.","8726","1995","08","18","Southern America","Brazil","São Paulo","Itapeva","Estação Ecológica de Itapeva","-48.8699989318848","-23.9799995422363",NA,NA,"MBM241637","MBM241637",NA,NA,"42926","auto",NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-12-21 16:36:51-03","MBM","MBM","227991","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Hexachlamys","hamiltonii",NA,"Hexachlamys hamiltonii","Mattos","Soares-Silva, L.H.","Dombrowski, L.T.","12691","1982","09","21","Southern America","Brazil","Paraná","Palmeira","Fazenda Santa Rita","-50.0064010620117","-25.4293994903564",NA,NA,"MBM227991","MBM227991",NA,NA,"35166","auto",NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-12-21 16:36:51-03","MBM","MBM","203694","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Hexachlamys","hamiltonii",NA,"Hexachlamys hamiltonii","Mattos","Kawasaki, M.L.","Souza, V.C.; et al.; et al.","4186","1993","09","06","Southern America","Brazil","São Paulo","Itararé","Fazenda Espinho","-49.3400001525879","-24.1100006103516",NA,NA,"MBM203694","MBM203694",NA,NA,"27729","auto",NA,NA,NA,NA,NA,NA,NA,NA
"23","2008-05-27 22:02:00-03","MO","MOBOT","3187117","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","hamiltonii",NA,"Eugenia hamiltonii","(Mattos) Mattos","F.F.Mazine (ESA)","* HAGELUND","HAGELUND 13707","1981",NA,NA,"South America","Brazil","Rio Grande do Sul",NA,"Fazenda Faxinal Arroio do s Ratos.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2012-02-29 14:21:00-03","MO","MOBOT","2475997","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Hexachlamys","sehnemiana",NA,"Hexachlamys sehnemiana","(Mattos) Mattos",NA,"A. Sehnem","Sehnem 12788",NA,NA,NA,"South America","Brazil","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-06-12 09:07:06-03","UFSM","HDCF","6368","S","Plantae",NA,NA,"Myrtaceae","Eugenia","hamiltonii",NA,"Eugenia hamiltonii","(Mattos) Mattos","Figueira, M","Figueira, M; Kettenhuber, P L W; Diefenthäeler, J R","99","2012","05","14","América","Brasil","Rio Grande do Sul","São Pedro do Sul","Cerro do Itaquatiá","-54.302694","-29.607472",NA,"Arbusto, raro, próximo a base do cerro e exposição norte, aprox. 1,6 m de alt., formando grande touceira, estéril (coletado pela raridade); Refúgio vegetacional, em morro testemunho arenítico oriundo da formação Botucatu, cercado por campos antrópico",NA,NA,NA,"2012",NA,NA,"05","14","-54.302694","-29.607472",NA,NA,NA,NA
"26","2021-01-26 13:56:41-03","IMA","MAC","23570","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","hamiltonii",NA,"Eugenia hamiltonii","(Mattos) Mattos","M.Sobral","V.C.Souza; et al.","7382","1994","11","14",NA,"Brasil","São Paulo","Itararé","Itararé, Estrada de Itararé, Bonsucesso.Fazenda Santa Maria do Espinho.","-49.559167","-24.201944",NA,"Subarbusto ca. de 20 cm de altura. Frutos maduros amarelo-alaranjados.; Mata ciliar","MAC0023570","MAC0023570",NA,"2017",NA,NA,NA,NA,"-49.559167","-24.201944",NA,NA,NA,NA
"27","2020-09-12 05:00:02-03","US","US","2931704","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Eugenia","hamiltonii",NA,"Eugenia hamiltonii","(Mattos)",NA,"G. Hatschbach","44348","1981","11","11","South America - Neotropics","Brazil","Paraná","Jaguariaíva","Fda. Cajuru","-49.7057991027832","-24.2511005401611",NA,NA,"US01898058","US01898058_01 US01898058_02","Dicotyledonae",NA,"44368","auto",NA,NA,NA,NA,NA,NA,NA,"1"
"28","2019-11-13 11:26:43-03","USP","SPF","107454","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","hamiltonii",NA,"Eugenia hamiltonii","(Mattos) Mattos","Mazine, FF","Souza, VC","7382","1994","11","14",NA,"Brasil","São Paulo","Itararé",NA,"-49.263056","-24.261667",NA,NA,"SPF00107454",NA,NA,"2011",NA,NA,"03",NA,"-49.263056","-24.261667",NA,NA,NA,NA
"29","2019-10-07 09:35:20-03","UEFS","HUEFS","87490","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Myrtaceae","Eugenia","meridionalis",NA,"Eugenia meridionalis","Mattos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HUEFS0087490",NA,"Rosanae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holótipo",NA
"30","2019-10-07 09:35:28-03","UEFS","HUEFS","87222","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Myrtaceae","Hexachlamys","hamiltonii",NA,"Hexachlamys hamiltonii","Mattos",NA,"Mattos, J.","10571","1962","11","19",NA,"Brasil","Paraná","Jaguariaíva","Perto da divisa com Arapoti.","-49.7057991027832","-24.2511005401611",NA,NA,"HUEFS0087222",NA,"Rosanae",NA,"44368","auto",NA,NA,NA,NA,NA,NA,"Holótipo",NA
"31","2015-03-07 08:59:43-03","F","FMNH-SEEDPLANTS","V0109561F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Myrtaceae","Eugenia","sehnemiana",NA,"Eugenia sehnemiana",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0109561F","V0109561F_01","Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-11-12 17:01:51-03","UEL","FUEL","16054","PreservedSpecimen","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","hamiltonii",NA,"Eugenia hamiltonii","(Mattos) Mattos","Soares-Silva, LH","Soares-Silva, LH; et al.","531","1995","11","22",NA,"Brasil","Paraná","Teixeira Soares","Campo- Estrada para Pnta Grossa, Estrada para Pnta Grossa.","-50.4606018066406","-25.3682994842529",NA,NA,"FUEL017921",NA,NA,"2016","31767","auto","09",NA,NA,NA,NA,NA,NA,NA
"33","2020-11-12 17:01:51-03","UEL","FUEL","18922","PreservedSpecimen","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","hamiltonii",NA,"Eugenia hamiltonii","(Mattos) Mattos","Soares-Silva, LH","Francisco das Chagas e Silva; Francisco, EM","2104","1996","11","07",NA,"Brasil","Paraná","Tibagi","Canion Guartelá","-50.4136009216309","-24.5093994140625",NA,NA,"FUEL017925",NA,NA,"2016","56988","auto",NA,NA,NA,NA,NA,NA,NA,NA
"34","2019-11-01 15:05:35-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Eugenia","hamiltonii",NA,"Eugenia hamiltonii","(Mattos) Mattos","Soares-Silva, LH","Chagas-e-Silva, F; Francisco, EM","2140","1996","12","03","Southern America","Brasil","Paraná",NA,"Arredores de Teixeira Soares",NA,NA,NA,"Arbusto 0.3m alt; em barranco; fruto imaturo verde",NA,NA,NA,"2016",NA,NA,"09",NA,NA,NA,NA,NA,NA,NA
"35","2019-11-01 15:05:54-03","UnB","UB","151768","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Hexachlamys","hamiltonii",NA,"Hexachlamys hamiltonii","Mattos","Soares-Silva, LH","Chagas; Francisco, EM; Silva, F","2104","1996","11","07","Southern America","Brasil","Paraná ","Tibagi","Cannyon Guartelá, Tibagi","-50.41","-24.51",NA,"Erva de barranco ca. 0,30m alt; frutos imaturos verde-avermelhados",NA,NA,NA,"1997",NA,NA,"05",NA,"-50.41","-24.51",NA,NA,NA,NA
"36","2020-08-20 14:58:18-03","UFSC","FLOR","31220","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Hexachlamys","itararensis",NA,"Hexachlamys itararensis","Mattos",NA,"Mattos, J.","13668","1966","10","19",NA,"Brasil","São Paulo","Capão Bonito","A 14km da cidade na Rodovia Capão Bonito Itararé.","-48.3400001525879","-24",NA,"subarbusto, flor branca, 0,4m altura","FLOR0031220",NA,NA,NA,"39505","auto",NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-08-20 14:58:18-03","UFSC","FLOR","31236","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Hexachlamys","sehnemiana",NA,"Hexachlamys sehnemiana","(Mattos) Mattos",NA,"Silveira, N.","1790","1984","10","13",NA,"Brasil","Rio Grande do Sul","Torres","estrada para Itapeva.","-49.7268981933594","-29.3353004455566",NA,"arbusto, flor branca, 1m altura","FLOR0031236",NA,NA,NA,"20837","auto",NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-04 15:45:28-03","IF","SPSF","20880","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Hexachlamys","hamiltonii",NA,"Hexachlamys hamiltonii",NA,NA,"V.C.Souza","4186","1993","09","06","América do Sul","Brasil","SP","Itararé","Fazenda Espinho","-49.3400001525879","-24.1100006103516",NA,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: campo&nf;;",NA,NA,"Magnoliopsida",NA,"27729","auto",NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-02-08 12:43:54-03","UFRGS","ICN","123668","S","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","hamiltonii",NA,"Eugenia hamiltonii","(Mattos) Mattos","Sobral, M","Motta, JT","2099","1991","02","09","América do Sul","Brasil","PR","Jaguariaíva","Fazenda Chapada Santo Antônio","-49.7057991027832","-24.2511005401611",NA,"Arbusto rasteiro; ramos subterrâneos longos; flores alvas; comum no cerrado.",NA,NA,NA,"2002","44368","auto",NA,NA,NA,NA,"830","830",NA,NA
"40","2021-02-08 12:44:01-03","UFRGS","ICN","123032","S","Plantae","Dicotyledon",NA,"Myrtaceae","Hexachlamys","itararensis",NA,"Hexachlamys itararensis","Mattos","Mattos, J","Mattos, J","13968","1966","10","19","América do Sul","Brasil","SP","Capão Bonito","14 Km de Capão Bonito na rodovia Capão Bonito-Itararé","-48.3400001525879","-24",NA,"No campo sujo. Subarbusto de 40cm de altura. Flores brancas.",NA,NA,NA,NA,"39505","auto",NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-02-08 12:44:01-03","UFRGS","ICN","063507","S","Plantae","Dicotyledon",NA,"Myrtaceae","Hexachlamys","sehnemiana",NA,"Hexachlamys sehnemiana","(Mattos) Mattos","Sobral, M","Stehmann, JR","487","1984","11","20","América do Sul","Brasil","RS","Torres",NA,"-49.7268981933594","-29.3353004455566",NA,"Arbusto.; Butiazal",NA,NA,NA,"1985","20837","auto",NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-02-08 12:44:01-03","UFRGS","ICN","051068","S","Plantae","Dicotyledon",NA,"Myrtaceae","Hexachlamys","sehnemiana",NA,"Hexachlamys sehnemiana","(Mattos) Mattos","Mattos, J","Stehmann, JR","s.n.","1981","10","28","América do Sul","Brasil","RS","Torres",NA,"-49.7268981933594","-29.3353004455566",NA,"Subarbusto.; Butiazal",NA,NA,NA,"1991","20837","auto",NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-02-08 12:44:01-03","UFRGS","ICN","084024","S","Plantae","Dicotyledon",NA,"Myrtaceae","Hexachlamys","sehnemiana",NA,"Hexachlamys sehnemiana","(Mattos) Mattos","Mattos, J","Brack, P","s.n.","1985","09",NA,"América do Sul","Brasil","RS","Caçapava do Sul","Guaritas","-53.4914016723633","-30.5121994018555",NA,"Em campo pedregoso",NA,NA,NA,"1991","50525","auto",NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-02-08 12:44:01-03","UFRGS","ICN","085950","S","Plantae","Dicotyledon",NA,"Myrtaceae","Hexachlamys","sehnemiana",NA,"Hexachlamys sehnemiana","(Mattos) Mattos","Mattos, J","Mattos, J","s.n.",NA,NA,NA,"América do Sul","Brasil","RS","Viamão",NA,"-51.0233001708984","-30.0811004638672",NA,NA,NA,NA,NA,"1991","41667","auto",NA,NA,NA,NA,NA,NA,NA,NA
"45","2021-02-08 12:44:01-03","UFRGS","ICN","083429","S","Plantae","Dicotyledon",NA,"Myrtaceae","Hexachlamys","sehnemiana",NA,"Hexachlamys sehnemiana","(Mattos) Mattos","Mattos, J","Sobral, M; Esposito, K","5410","1986","12",NA,"América do Sul","Brasil","RS","Viamão","Itapuã","-51.0233001708984","-30.0811004638672",NA,"Subarbusto de 0,5 m de altura; frutos maduros alaranjados, até 20 mm.; Em campo na encosta de um morro",NA,NA,NA,"1992","41667","auto",NA,NA,NA,NA,NA,NA,NA,NA
"46","2020-08-26 10:49:56-03","MCN-FZBRS","HAS","91571","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","hamiltonii",NA,"Eugenia hamiltonii","(Mattos) Mattos","Molz, M.","Molz, M.","s.n.","2014","12",NA,NA,"Brasil","Rio Grande do Sul","São Pedro do Sul","Cerro Itaquatiá","-54.275391","-29.591113",NA,"Arbusto com 1 m de altura na encosta do cerro (população); estéril","HAS0091571",NA,NA,"2015",NA,NA,"09","02","-54.275391","-29.591113","183","183",NA,NA
"47","2020-08-26 10:49:55-03","MCN-FZBRS","HAS","48796","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","cf. hamiltonii",NA,"Eugenia cf. hamiltonii","(Mattos) Mattos","Senna, R.M.","Abruzzi, M.L.","5506","2008","12",NA,NA,"Brasil","Rio Grande do Sul","São Pedro do Sul","BR-287, km 285, ponto 10","-54.1789016723633","-29.6205997467041",NA,NA,"HAS0048796",NA,NA,"2020","32227","auto","03","13",NA,NA,NA,NA,NA,NA
"48","2020-08-26 10:49:56-03","MCN-FZBRS","HAS","49717","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","hamiltonii",NA,"Eugenia hamiltonii","(Mattos) Mattos","Grings, M.","Grings, M.","1699","2012","10",NA,NA,"Brasil","Rio Grande do Sul","Viamão","Coxilha das Lombas","-51.0233001708984","-30.0811004638672",NA,"Em campo arenoso de paleoduna, arbusto 0,8m de altura, com flores brancas","HAS0049717",NA,NA,NA,"41667","auto",NA,NA,"66°57'00,85''","50°89'19,06''",NA,NA,NA,NA
"49","2020-08-26 10:49:56-03","MCN-FZBRS","HAS","49716","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","hamiltonii",NA,"Eugenia hamiltonii","(Mattos) Mattos","Grings, M.","Grings, M.","1698","2012","11",NA,NA,"Brasil","Rio Grande do Sul","Viamão","Coxilha das Lombas, próximo Estrada da Pimenta RS040","-51.0233001708984","-30.0811004638672",NA,"Arbusto, 1m de altura, flores brancas e frutos em maturação verdes com vermelho","HAS0049716",NA,NA,NA,"41667","auto",NA,NA,"66°59'87,88''","50°69'31,06''",NA,NA,NA,NA
"50","2020-08-26 10:50:04-03","MCN-FZBRS","HAS","87584","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Hexachlamys","hamiltoni",NA,"Hexachlamys hamiltoni","Mattos",NA,"Mattos, J.","10571","1962","02",NA,NA,"Brasil","Paraná","Jaguariaíva","Perto da divisa com Arapotí","-49.7057991027832","-24.2511005401611",NA,"No campo limpo. Caule hipógeo. Rebentos de 7-23cm de alt. Frutos imaturos verdes-avermelhados.","HAS0087584",NA,NA,NA,"44368","auto",NA,NA,NA,NA,NA,NA,"Isotypus",NA
"51","2019-11-21 10:11:46-03","IBt","SP","305243","S","Plantae",NA,NA,"Myrtaceae","Hexachlamys","hamiltonii",NA,"Hexachlamys hamiltonii","Mattos","Kawasaki, ML","Souza, VC; et al.","4186","1993","09","10",NA,"Brasil","São Paulo","Itararé","Fazenda Espinho, campo","-49.268889","-24.27",NA,"Arbusto ca. 25cm alt., botões róseos, pétalas e estames alvos","SP057175","SP057175",NA,NA,NA,NA,NA,NA,"-49.268889","-24.27","1200","1200",NA,NA
