"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","class","identifiedBy","yearIdentified","monthIdentified","individualCount","fieldNumber","typeStatus","dayIdentified","verbatimLongitude","verbatimLatitude"
"11","2008-05-27 22:02:00-03","MO","MOBOT","1862707","PreservedSpecimen","Plantae",NA,NA,"Blechnaceae","Blechnum","andinum","Blechnum andinum","(Baker) C. Chr.","M. Kessler","Kessler 10511","1997","7","2","South America","Bolivia","La Paz",NA,NA,"-68.76666","-15.18333","2500.00000000",NA,NA,NA,NA,NA,NA,NA,NA,"Smith A.R.",NA,NA,NA,NA,NA,NA,NA,NA
"12","2013-02-21 05:40:00-03","MO","MOBOT","23918","PreservedSpecimen","Plantae",NA,NA,"Blechnaceae","Blechnum","andinum","Blechnum andinum","(Baker) C. Chr.","David N. Smith|Blanca León|Kenneth Young","Smith 13152","1989","5","6","South America","Bolivia","La Paz","Nor Yungas","Entre Cotapata y Chuspipata. Piso superior de la formación Yungas; bosque enano nubloso.","-67.83333","-16.3","3100.00000000",NA,NA,NA,NA,NA,NA,NA,NA,"Robbin C. Moran (MO)",NA,NA,"2","28",NA,NA,NA,NA
"13","2008-05-27 22:02:00-03","MO","MOBOT","2823327","PreservedSpecimen","Plantae",NA,NA,"Blechnaceae","Blechnum","andinum","Blechnum andinum","(Baker) C. Chr.","Otto Buchtien","Buchtien 2779",NA,NA,NA,"South America","Bolivia","La Paz",NA,"Unduavi","-67.9","-16.31666","3300.00000000",NA,NA,NA,NA,NA,NA,NA,NA,"M. Kessler (GOET)",NA,NA,NA,NA,"Holotype",NA,NA,NA
"14","2008-05-27 22:02:00-03","MO","MOBOT","2824020","PreservedSpecimen","Plantae",NA,NA,"Blechnaceae","Blechnum","andinum","Blechnum andinum","(Baker) C. Chr.","Pearce","Pearce s.n.",NA,NA,NA,"South America","Bolivia",NA,NA,NA,NA,NA,"3048.00000000",NA,NA,NA,NA,NA,NA,NA,NA,"M. Kessler, 2005 (GOET)",NA,NA,NA,NA,"Holotype",NA,NA,NA
"15","2012-04-12 05:10:00-03","MO","MOBOT","2996449","PreservedSpecimen","Plantae",NA,NA,"Blechnaceae","Blechnum","andinum","Blechnum andinum","(Baker) C. Chr.","Alfredo F. Fuentes|A.S. Poma C.|E. Monroy","Fuentes Claros 10662","2006","5","17","South America","Bolivia","La Paz","Muñecas","Arroyo Carpa, entre Camata y Cuibaja. Fragmento del bosque montano superior estacional, transicionando a ceja de monte con Weinmannia spp, Escallonia, y Lauraceae. Inventario Fitosociologico Madidi 76. Plantas alcoholizadas.","-68.7702778","-15.3308334","3100.00000000",NA,NA,NA,NA,NA,NA,NA,NA,"I. Jimenez (LPB)",NA,NA,"5","06-37",NA,NA,NA,NA
"16","2010-04-15 17:18:00-03","MO","MOBOT","3281421","PreservedSpecimen","Plantae",NA,NA,"Blechnaceae","Blechnum","andinum","Blechnum andinum","(Baker) C. Chr.","Alexander C. Brade","Brade 14540","1935","5","27","South America","Brazil","Rio de Janeiro",NA,"itatiasia, Agulhas Negras.",NA,NA,"2800.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2012-04-12 05:10:00-03","MO","MOBOT","3297414","PreservedSpecimen","Plantae",NA,NA,"Blechnaceae","Blechnum","andinum","Blechnum andinum","(Baker) C. Chr.","Alfredo F. Fuentes","Fuentes Claros 11876","2007","5","14","South America","Bolivia","La Paz","Franz Tamayo","Parque Nacional Madidi, río Fuente Chullu, camino entre Queara y Mojos. Fragmento del bosque de yungas montano superior pluvial con Clusia y Weinmannia spp, al lado del río. Plantas sin alcoholizar.","-69.05055","-14.69222","2930.00000000",NA,NA,NA,NA,NA,NA,NA,NA,"I. Jimenes (LPB)",NA,NA,"1","07-48",NA,NA,NA,NA
"18","2017-11-18 05:19:00-02","MO","MOBOT","3357054","PreservedSpecimen","Plantae",NA,NA,"Blechnaceae","Blechnum","andinum","Blechnum andinum","(Baker) C. Chr.","Iván Jiménez","Jiménez Pérez 1863","2003","5","4","South America","Bolivia","La Paz","Franz Tamayo","PN-ANMI Madidi, senda Pelechuco-Mojos, localidad Tambo Quernado (lugar para acampar), luego de pasar el 2º rio, abajo de Tambo Quernado. Ceja de Monte y Parámo Yungueño. Bosque nublado, siempreverde, disturbado.","-68.96666","-14.68333","3410.00000000",NA,NA,NA,NA,NA,NA,NA,NA,"I. Jimenez (LPB)",NA,NA,NA,NA,NA,NA,NA,NA
"19","2008-05-27 22:02:00-03","MO","MOBOT","43436","PreservedSpecimen","Plantae",NA,NA,"Blechnaceae","Blechnum","andinum","Blechnum andinum","(Baker) C. Chr.","Alice Fay|Louis Fay","Fay 2999","1990","8","13","South America","Bolivia","La Paz","Nor Yungas","Downhill from Cotapata, on La Paz-Yolosa road. Mossy forest in steep ravine.","-67.84166","-16.275","2800.00000000",NA,NA,NA,NA,NA,NA,NA,NA,"Robbin C. Moran (MO)",NA,NA,"8","90",NA,NA,NA,NA
"20","2019-10-16 11:21:24-03","F","FMNH-PTERIDOPHYTES",NA,"PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Blechnaceae","Blechnum","andinum","Blechnum andinum","(Baker) C. Chr.","B. León","2757","1991","3","12","South America","Peru","Cuzco",NA,NA,"-72.5","-12.5",NA,NA,NA,NA,NA,NA,NA,NA,"Pteridopsida","R. G. Stolze",NA,NA,NA,"2757",NA,NA,NA,NA
"21","2020-09-12 05:00:02-03","US","US","1571187","PreservedSpecimen","Plantae",NA,"Polypodiales","Blechnaceae","Blechnum","andinum","Blechnum andinum","(Baker) C. Chr.","C. Bues","973","1920","10",NA,"South America - Neotropics","Peru",NA,NA,"Cave at Michihsuanuia, Huadequina [interpreted]",NA,NA,"3048",NA,NA,NA,NA,NA,NA,NA,"Pteridophyte",NA,NA,NA,"1",NA,NA,NA,NA,NA
"22","2020-09-12 05:00:02-03","US","US","1516103","PreservedSpecimen","Plantae",NA,"Polypodiales","Blechnaceae","Blechnum","andinum","Blechnum andinum","(Baker) C. Chr.","A. C. Brade","6484","1913","6",NA,"South America - Neotropics","Brazil","Rio de Janeiro",NA,"Sierra de Santiago [interpreted]",NA,NA,"2800",NA,NA,NA,"US01525114","US01525114_01",NA,NA,"Pteridophyte",NA,NA,NA,"1",NA,NA,NA,NA,NA
"23","2020-09-12 05:00:02-03","US","US","3250866","PreservedSpecimen","Plantae",NA,"Polypodiales","Blechnaceae","Blechnum","andinum","Blechnum andinum","(Baker) C. Chr.","A. Fay & L. Fay","2999","1990","8","13","South America - Neotropics","Bolivia","La Paz",NA,"Nor Yungas, Downhill from Cotapata, on La Paz- Yolosa road.","-67.8417","-16.275","2800",NA,NA,NA,"US01525113",NA,NA,NA,"Pteridophyte",NA,NA,NA,"1",NA,NA,NA,NA,NA
"24","2020-09-12 05:00:02-03","US","US","763112","PreservedSpecimen","Plantae",NA,"Polypodiales","Blechnaceae","Blechnum","andinum","Blechnum andinum","(Baker) C. Chr.","J. N. Rose","21281","1915","7","26","South America","Brazil",NA,NA,"Vicinity of Itatiaya.",NA,NA,NA,NA,NA,NA,"US01525115","US01525115_01",NA,NA,"Pteridophyte",NA,NA,NA,"1",NA,NA,NA,NA,NA
"25","2020-09-12 05:00:02-03","US","US","1541664","PreservedSpecimen","Plantae",NA,"Polypodiales","Blechnaceae","Blechnum","andinum","Blechnum andinum","(Baker) C. Chr.","O. Buchtien","8896","1931","10",NA,"South America - Neotropics","Bolivia",NA,NA,"Region Andina. Unduavi in Nordyungas. Lo Moco un focher marrem Boden [interpreted]",NA,NA,"3400",NA,NA,NA,"US01525112",NA,NA,NA,"Pteridophyte",NA,NA,NA,"1",NA,NA,NA,NA,NA
"26","2020-09-12 05:00:02-03","US","US","1571186","PreservedSpecimen","Plantae",NA,"Polypodiales","Blechnaceae","Blechnum","andinum","Blechnum andinum","(Baker) C. Chr.","C. Bues","980","1920","10",NA,"South America - Neotropics","Peru",NA,NA,"Michihuanuinca, Huadquina [interpreted]",NA,NA,NA,NA,NA,NA,"US01525111",NA,NA,NA,"Pteridophyte",NA,NA,NA,"1",NA,NA,NA,NA,NA
"27","2019-01-25 15:38:59-02","IAC","IAC","19223","S","Plantae",NA,NA,"Blechnaceae","Blechnum","andinum","Blechnum andinum","(Baker) C.Chr.","s/col.","s/nº","1967","10","02",NA,"Brasil","Rio de Janeiro","Itatiaia","pico das Agulhas Negras","-44.5633","-22.4961",NA,NA,NA,NA,NA,NA,NA,NA,NA,"s/det.","1967","10",NA,NA,NA,"02","-44.5633","-22.4961"
"28","2020-08-26 10:51:11-03","MCN-FZBRS","HAS","4179","PreservedSpecimen","Plantae","Pteridophyta",NA,"Blechnaceae","Austroblechnum","andinum","Austroblechnum andinum","(Baker) Gasper & V.A.O. Dittrich.","Brade, A.C.","14540","1935","05",NA,NA,"Brasil","Rio de Janeiro","Itatiaia","Agulhas Negras, 2800 m. alt.","-44.5633010864258","-22.4960994720459",NA,NA,NA,"Terrestre.","HAS0004179",NA,"19648","auto",NA,"Senna, R.M.","2018","03",NA,NA,NA,NA,NA,NA
