"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","individualCount","occurrenceRemarks","geoFlag","recordNumber","year","month","day","continentOcean","preparationType","barcode","imagecode","class","typeStatus","infraspecificEpithet","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified"
"11","2020-12-11 11:34:16-03","UFMG","BHCB","202257","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Pilosocereus","fulvilanatus","Pilosocereus fulvilanatus","(Buining & Brederoo) Ritter",NA,"Meyer, PB","Brasil","Minas Gerais","Botumirim","Parque Estadual Botumirim","-43.041944","-17.046944",NA,NA,NA,NA,NA,NA,"3713","2019","10","14","Southern America",NA,"BHCB202257","BHCB202257",NA,NA,NA,"-43.041944","-17.046944",NA,NA,NA
"12","2020-12-11 11:34:16-03","UFMG","BHCB","21334","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Pilosocereus","fulvilanatus","Pilosocereus fulvilanatus","(Buining & Brederoo) Ritter",NA,"Taylor, NP; Zappi, DC","Brasil","Minas Gerais","Grão Mogol",NA,"-42.8897018432617","-16.5594005584717","67219",NA,NA,NA,NA,"auto","s.n.","1991","01","31","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-12-11 11:34:16-03","UFMG","BHCB","21334","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Pilosocereus","fulvilanatus","Pilosocereus fulvilanatus","(Buining & Brederoo) Ritter",NA,"Taylor, NP; Zappi, DC","Brasil","Minas Gerais","Grão Mogol",NA,"-42.8897018432617","-16.5594005584717","67219",NA,NA,NA,NA,"auto","s.n.","1991","01","31","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-04 11:04:46-03","UFRB","HURB","13685","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","fulvilanatus","Pilosocereus fulvilanatus","(Buining & Brederoo) Ritter",NA,"Mendes, D. B.; Machado, M.","Brasil","Minas Gerais","Grão Mogol","Sul da cidade, estradinha de terra margeando o Rio Itacambiruçu, saíndo para leste um pouco acima do entroncamento da MG-307 sentido Cristália com a estrada para Grão Mongol","-42.892","-16.587028",NA,"656","656",NA,"No mesmo local também havia: Brasilimarkgrafii, Discocactus pseudoinsignis, Micranthocereus auriazureus.",NA,"77","2015","11","14",NA,NA,"HURB000013685","HURB000013685 HURB000013685_1",NA,NA,NA,"42º53'31,2W","16º35'13,3S",NA,NA,NA
"15","2020-06-15 15:29:45-03","UNESP-RC","HRCB","13931","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","fulvilanatus","Pilosocereus fulvilanatus","(Buining & Brederoo) Ritter",NA,"Taylor, N. P.","Brasil","Minas Gerais","Grão Mogol","Serra da Bocaina","-42.8897018432617","-16.5594005584717","67219","930","930",NA,NA,"auto","1513","1991","01","31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-09-02 16:22:36-03","Cenargen","CEN","82604","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","fulvilanatus","Pilosocereus fulvilanatus","(Buining & Brederoo) Ritter","M. V. Meiado","Victor Vinícius F. Lima","Brasil","PI","JOÃO COSTA","PARNA Serra da Capivara, estrada para o Baixão da Serra Branca.","-42.4136009216309","-8.51082992553711","47123","426","426","1","Savana estépica. Área prioritária para conservação. CA-420-PARNA Serra da Capivara. - 1 - Extremamente alta. Mandacaru-facheiro. Colunar com cerca de 4 m de altura. Frutos zoocóricos imaturos, presentes. Polpa funicular magenta. Sementes pretas e fotoblásticas positivas. Doação HERBÁRIO VALE DO SÃO FRANCISCO - HVASF - Universidade Federal do Vale do São Francisco nº 15719.","auto","35","2012","06","18",NA,"Exsicatas","CEN00082604","CEN00082604",NA,NA,NA,NA,NA,"2012","07",NA
"17","2019-11-13 11:17:22-03","USP","SPF","30054","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","fulvilanatus","Pilosocereus fulvilanatus","(Buining & Brederoo) F.Ritter","Zappi, DC; Taylor, NP","Mamede, MCH","Brasil","Minas Gerais","Grão Mogol",NA,"-42.916667","-16.533333",NA,"945","945",NA,NA,NA,"CFCR3475","1982","05","22",NA,NA,"SPF00030054",NA,NA,NA,NA,"-42.916667","-16.533333","1989","11",NA
"18","2019-11-13 11:17:22-03","USP","SPF","60305","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","fulvilanatus","Pilosocereus fulvilanatus","(Buining & Brederoo) F.Ritter","Zappi, DC","Zappi, DC","Brasil","Minas Gerais","Grão Mogol",NA,"-42.9","-16.583333",NA,"720","720",NA,NA,NA,"CFCR12046","1988","05","28",NA,NA,"SPF00060305",NA,NA,NA,NA,"-42.9","-16.583333","1989","11",NA
"19","2019-11-13 11:17:22-03","USP","SPF","80877","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","fulvilanatus","Pilosocereus fulvilanatus","(Buining & Brederoo) F.Ritter","Anônimo","Harley, RM","Brasil","Minas Gerais","Grão Mogol",NA,"-42.933333","-16.616667",NA,"750","750",NA,NA,NA,"25071","1988","10","15",NA,NA,"SPF00080877",NA,NA,NA,NA,"-42.933333","-16.616667",NA,NA,NA
"20","2019-11-13 11:17:22-03","USP","SPF","80986","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","fulvilanatus","Pilosocereus fulvilanatus","(Buining & Brederoo) F.Ritter","Anônimo","Assis, MC","Brasil","Minas Gerais","Grão Mogol",NA,"-42.963333","-16.595",NA,"800","800",NA,NA,NA,"CFCR11361","1987","11","02",NA,NA,"SPF00080986",NA,NA,NA,NA,"-42.963333","-16.595",NA,NA,NA
"21","2019-11-13 11:17:22-03","USP","SPF","174197","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","fulvilanatus","Pilosocereus fulvilanatus fulvilanatus","(Buining & Brederoo) F.Ritter","Anônimo","Arruda, ECP","Brasil","Minas Gerais",NA,"Estrada da Usina Irapé para Grão Mogol.","-42.883333","-16.55",NA,NA,NA,NA,NA,NA,"45","2006","03","20",NA,NA,"SPF00174197",NA,NA,NA,"fulvilanatus","-42.883333","-16.55",NA,NA,NA
"22","2019-11-13 11:17:22-03","USP","SPF","174198","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","fulvilanatus","Pilosocereus fulvilanatus fulvilanatus","(Buining & Brederoo) F.Ritter","Anônimo","Arruda, ECP","Brasil","Minas Gerais",NA,"Estrada da Usina Irapé para Grão Mogol.","-42.883333","-16.55",NA,NA,NA,NA,NA,NA,"44","2006","03","20",NA,NA,"SPF00174198",NA,NA,NA,"fulvilanatus","-42.883333","-16.55",NA,NA,NA
"23","2019-11-13 11:17:22-03","USP","SPF","164582","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","fulvilanatus","Pilosocereus fulvilanatus fulvilanatus","(Buining & Brederoo) F.Ritter","Zappi, DC","Arruda, ECP","Brasil","Minas Gerais","Grão Mogol",NA,"-42.8897018432617","-16.5594005584717","67219",NA,NA,NA,NA,"auto","13","2004","08","22",NA,NA,"SPF00164582",NA,NA,NA,"fulvilanatus",NA,NA,"2004","08",NA
"24","2019-11-13 11:17:22-03","USP","SPF","39652","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","fulvilanatus","Pilosocereus fulvilanatus","(Buining & Brederoo) F.Ritter","Zappi, DC","Cavalcanti, TB","Brasil","Minas Gerais","Grão Mogol","Vale do Rio Itacambiruçu","-42.8897018432617","-16.5594005584717","67219",NA,NA,NA,NA,"auto","CFCR8348","1985","09","04",NA,NA,"SPF00039652",NA,NA,NA,NA,NA,NA,"1989","11",NA
"25","2020-04-29 16:29:40-03","UFVJM","HDJF","5289","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Cactaceae","Pilosocereus","fulvilanatus","Pilosocereus fulvilanatus fulvilanatus","(Buining & Brederoo) F. Ritter","Lavor, P","Fantinati, MR; Soffiatti, P","Brasil","Minas Gerais","Cristália","MG 307, à sudoestes, em direção à Cristália","-42.898139","-16.593667",NA,"652","652",NA,NA,NA,"171","2017","01","17","Southern America",NA,"HDJF005289","HDJF005289_01",NA,NA,"fulvilanatus","-42.898139","-16.593667","2017","02","17"
"26","2019-11-01 14:55:53-03","UnB","UB","119037","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Cactaceae","Pilosocereus","fulvilanatus","Pilosocereus fulvilanatus","(Buining & Brederoo) F. Ritter","Zappi, DC","Irwin, HS","Brasil","Minas Gerais",NA,"Ca. 18km west of Grão Mogol",NA,NA,NA,NA,NA,NA,"Fruit green,; Stems erect 2m.",NA,"23676","1969","02","21","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-10-03 10:03:30-03","UFSCar","SORO","6567","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","fulvilanatus","Pilosocereus fulvilanatus",NA,NA,NA,"Brasil","Minas Gerais","Caçaratiba",NA,"-43.079722","-17.2425",NA,"617","617",NA,NA,NA,NA,"2018","10","21",NA,NA,NA,NA,NA,NA,NA,"43°04'47W","17°14'33S",NA,NA,NA
"28","2019-10-03 10:03:30-03","UFSCar","SORO","4917","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","fulvilanatus","Pilosocereus fulvilanatus",NA,NA,NA,"Brasil","Minas Gerais","Terra Branca","S77A5-TER","-43.216667","-16.214694",NA,NA,NA,NA,NA,NA,NA,"2011","09","21",NA,NA,NA,NA,NA,NA,NA,"43°13'W","16°12'52,9S",NA,NA,NA
"29","2019-10-03 10:03:30-03","UFSCar","SORO","2655","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","fulvilanatus","Pilosocereus fulvilanatus","(Buining & Brederoo) Ritter",NA,"Moraes, E.M.; Perez, M.F.; Machado, M.C.; Franco, F.F.","Brasil","Minas Gerais","Barracão","S42-BAO","-42.866667","-16.2",NA,NA,NA,NA,NA,NA,NA,"2011","01","05",NA,NA,NA,NA,NA,NA,NA,"42°52'W","16°12'S",NA,NA,NA
"30","2019-10-03 10:03:30-03","UFSCar","SORO","4534","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","fulvilanatus rasae","Pilosocereus fulvilanatus rasae","(P.J.Braun) Zappi",NA,NA,"Brasil","Minas Gerais","Augusto de Lima",NA,"-44.061611","-18.031806",NA,NA,NA,NA,NA,NA,NA,"2011","09","21",NA,NA,NA,NA,NA,NA,NA,"44°03'41,8W","18°01'54,5S",NA,NA,NA
"31","2019-10-03 10:03:30-03","UFSCar","SORO","4916","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","fulvilanatus rasae","Pilosocereus fulvilanatus rasae",NA,NA,NA,"Brasil","Minas Gerais","Curimatai","S77V36",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2012","11","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
