"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","identifiedBy","yearIdentified","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","eventTime","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","sex"
"11","2020-11-04 11:01:41-03","ESALQ","ESA","23108","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Hatschbachiella","polyclada","Hatschbachiella polyclada","(Dusén ex Malme) R.M.King & H.Rob.",NA,"Giulietti, A.M. et al.",NA,"1994","01","12",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,"ESA023108","ESA023108","São Roque de Minas","-46.3657989501953","-20.2453002929688","Nakajima, J.N.",NA,"57119","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2016-02-02 14:37:55-02","BGBM","B","B 10 0268332","S","Plantae",NA,NA,"Compositae","Hatschbachiella","polyclada","Hatschbachiella polyclada",NA,NA,"J. M. Silva","578","1989",NA,NA,"Middle and South America","Brazil",NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100268332 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100268332","B100268332",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-02-15 11:34:15-02","IPA","IPA","87728","S","Plantae","Plantae",NA,"Asteraceae","Hatschbachiella","polyclada","Hatschbachiella polyclada","(Dusén ex Malme) R.M.King & H.Rob.",NA,"Silva, J.M.; Poliquesi, C.B.; Poliquesi, C.B.","7159","2009","03","27","Southern America","Brasil","Paraná","Cachoeira da Mariquinha",NA,NA,NA,"Subarbusto, 60cm, capítulos alvacentos.; Campo graminoso.","IPA0087728","IPA0087728","Ponta Grossa","-50.1618995666504","-25.0949993133545","Barbosa, E.","2010","46557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-11-21 14:31:52-03","UFJF","CESJ","66813","PreservedSpecimen","Plantae","Angiosperma",NA,"Asteraceae","Hatschbachiella","polyclada","Hatschbachiella polyclada","(Dusén ex Malme) R. M. King & H. Rob.",NA,"R. Goodland","3566","1967","07","29","América do Sul","Brasil","Minas Gerais","57Km of Uberlândia on highway BR-106.",NA,NA,NA,"Cerrado. Semishrub.","CESJ066813","CESJ066813_7","Uberaba","-47.9319000244141","-19.7483005523682",NA,NA,"73879","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-11-21 14:31:52-03","UFJF","CESJ","58497","PreservedSpecimen","Plantae","Angiosperma",NA,"Asteraceae","Hatschbachiella","polyclada","Hatschbachiella polyclada","(Dusén ex Malme) R. M. King & H. Rob.",NA,"J.M. Silva; C.B. Poliquesi","7159","2009","03","27","América do Sul","Brasil","Paraná","Cachoeira da Mariquinha",NA,NA,NA,"Subarbusto, 60cm, capítulos alvacentos. Campo graminoso.","CESJ058497","CESJ058497_6","Ponta Grossa","-50.1618995666504","-25.0949993133545","E. Barbosa","2010","46557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-11-05 16:44:50-03","UFOP","OUPR","17492","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Hatschbachiella","polyclada","Hatschbachiella polyclada","(Dusén ex Malme) R.M.King & H.Rob.",NA,"Roschel, M.B.; Silva, J.L.","s.n.","2003","06","19",NA,"Brasil","Minas Gerais","Horto Florestal da Barreira do Eli - IEF",NA,NA,NA,"Subarbusto ca. 80cm. Flores amareladas. Cerrado.",NA,NA,"Uberaba","-47.9319000244141","-19.7483005523682","Nakajima, J.N.","2019","73879","auto",NA,"03","15",NA,NA,NA,NA,NA,NA
"17","2020-10-14 09:59:09-03","FURB","FURB","26240","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Hatschbachiella","polyclada","Hatschbachiella polyclada","(Dusén ex Malme) R.M.King & H.Rob.",NA,"Silva, J.M.; Ribas, O.S.","6372","2008","04","01",NA,"Brasil","Paraná","Recanto dos Papagaios.",NA,NA,NA,NA,"FURB00806","FURB00806","Palmeira","-50.0064010620117","-25.4293994903564","Hatschbach, G","2008","35166","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-16 17:50:50-03","UCS","HUCS","05928","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Hatschbachiella","polyclada","Hatschbachiella polyclada","(Dusén ex Malme) R.M. King & H. Rob.",NA,"Silva, J.M.","578","1989","03","10",NA,"Brasil","Paraná","Rio dos Papagaios",NA,NA,NA,"Campo limpo",NA,NA,NA,NA,NA,"Hatschbach, G.","1989",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-16 17:50:50-03","UCS","HUCS","36243","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Hatschbachiella","polyclada","Hatschbachiella polyclada","(Dusén ex Malme) R.M. King & H. Rob.",NA,"Silva, J.M.","7159","2009","03","27",NA,"Brasil","Paraná","Cachoeira da Mariquinha",NA,NA,NA,"Herbário MBM; Campo graminoso",NA,NA,"Ponta Grossa","-50.1618995666504","-25.0949993133545","Barbosa, E.","2010","46557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2014-10-14 15:56:23-03","BS","M","M-0029603","S","Plantae","Magnoliophyta","Asterales","Asteraceae","Eupatorium","polycladum","Eupatorium polycladum","Dusén ex Malme","SYNTYPE","Dusén, P.K.H.",NA,"1903","12","31",NA,"Brasil",NA,"Brasilia, Paraná, Capao grande in campo.",NA,NA,NA,NA,"M0029603",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,"21:00",NA,NA,NA,NA,NA
"21","2019-08-16 08:38:33-03","UTFPR","HCF","15655","S","Plantae",NA,NA,"Asteraceae","Hatschbachiella","polyclada","Hatschbachiella polyclada","(Dusén & Malme) R.M.King & H.Rob.",NA,"J.M. Silva","6372","2008","04","01",NA,"Brasil","PR","Recanto dos Papagaios",NA,NA,NA,"subarbusto, 50 cm, capítulo alvo. Campo limpo.",NA,NA,"Palmeira","-50.0064010620117","-25.4293994903564","G. Hatschbach","2008","35166","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-08-16 08:38:33-03","UTFPR","HCF","21402","S","Plantae",NA,NA,"Asteraceae","Hatschbachiella","polyclada","Hatschbachiella polyclada","(Dusén & Malme) R.M.King & H.Rob.",NA,"E. Barboza","3384","2012","03","10",NA,"Brasil","PR","Recanto dos Papagaios",NA,NA,NA,"subarbusto 90 cm, capítulos alvacentos. Campo limpo, seco.",NA,NA,"Palmeira","-50.0064010620117","-25.4293994903564","E. Barboza","2012","35166","auto",NA,"03",NA,NA,NA,NA,NA,NA,NA
"23","2019-08-16 08:38:33-03","UTFPR","HCF","19901","S","Plantae",NA,NA,"Asteraceae","Hatschbachiella","polyclada","Hatschbachiella polyclada","(Dusén & Malme) R.M.King & H.Rob.",NA,"J.M. Silva","7159","2009","03","27",NA,"Brasil","PR","Cachoeira da Mariquinha",NA,NA,NA,"subarbusto, 60 cm, capítulos alvacentos. Campo graminoso.",NA,NA,"Ponta Grossa","-50.1618995666504","-25.0949993133545","E. Barboza","2010","46557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-08-16 08:38:33-03","UTFPR","HCF","19270","S","Plantae",NA,NA,"Asteraceae","Hatschbachiella","polyclada","Hatschbachiella polyclada","(Dusén & Malme) R.M.King & H.Rob.",NA,"J.M. Silva","7613","2010","04","14",NA,"Brasil","PR","Cachoeira Rio São Jorge",NA,NA,NA,"arbusto 50 cm, capítulos alvacentos. Campo graminoso.",NA,NA,"Ponta Grossa","-50.1618995666504","-25.0949993133545","E. Barboza","2010","46557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-12-21 16:16:05-03","MBM","MBM","358132","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Hatschbachiella","polyclada","Hatschbachiella polyclada","(Dusén ex Malme) R.M. King & H. Rob.",NA,"Silva, J.M.; et al.; et al.","7613","2010","04","14","Southern America","Brazil","Paraná","Cachoeira do Rio São Jorge",NA,NA,NA,"Arbusto, 50 cm, capítulos alvascentes. Campo graminoso","MBM358132","MBM358132","Ponta Grossa","-50.1618995666504","-25.0949993133545","Barboza, E.","2010","46557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-12-21 16:16:05-03","MBM","MBM","389137","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Hatschbachiella","polyclada","Hatschbachiella polyclada","(Dusén ex Malme) R.M. King & H. Rob.",NA,"Silva, J.M.; Saridakis, D.P.; Nunes, M.C.; Costa, C.T.A.; Saridakis, D.P.; Nunes, M.C.; Costa, C.T.A.","8513","2014","03","30","Southern America","Brazil","Paraná","Ponte dos Arcos","830","830",NA,"Arbusto de 70cm; capítulos alvacentos.; Estepe Gramíneo-lenhosa (campo).","MBM389137","MBM389137","Balsa Nova","-49.808611","-25.551944","Barboza, E.","2014",NA,NA,NA,"05","14",NA,"-49.808611","-25.551944",NA,NA,NA
"27","2020-12-21 16:16:05-03","MBM","MBM","402031","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Hatschbachiella","polyclada","Hatschbachiella polyclada","(Dusén ex Malme) R.M. King & H. Rob.",NA,"Silva, J.M.; Motta, J.T.; Motta, J.T.","8769","2015","03","04","Southern America","Brazil","Paraná","Recanto dos Papagaios","963","963",NA,"Subarbusto; capítulos alvos.; Campo limpo, borda de paredão.","MBM402031","MBM402031","Palmeira","-49.768889","-25.464722","Barboza, E.","2015",NA,NA,NA,"11","17",NA,"-49.768889","-25.464722",NA,NA,NA
"28","2020-12-21 16:16:05-03","MBM","MBM","402454","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Hatschbachiella","polyclada","Hatschbachiella polyclada","(Dusén ex Malme) R.M. King & H. Rob.",NA,"Ribas, O.S.; Morales, M.; Morales, M.","8258","2009","04","21","Southern America","Brazil","Paraná","Furnas de Itaiacoca","1035","1035",NA,"Arbusto de 1m. Capítulos alvos.; Campo limpo junto a afloramentos areníticos.","MBM402454","MBM402454","Ponta Grossa","-49.955556","-25.146944","Barboza, E.","2014",NA,NA,NA,NA,NA,NA,"-49.955556","-25.146944",NA,NA,NA
"29","2020-12-21 16:16:05-03","MBM","MBM","423310","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Hatschbachiella","polyclada","Hatschbachiella polyclada","(Dusén ex Malme) R.M. King & H. Rob.",NA,"Fortunato, R.H.; Morales, M.; Ribas, O.S.; Morales, M.; Ribas, O.S.","9526","2009","04","18","Southern America","Brazil","Paraná","Recanto dos Papagaios, Camino lateral en direc. a Palmeira",NA,NA,NA,NA,"MBM423310",NA,"Palmeira","-49.766667","-25.466667","Ribas, O.S.","2009",NA,NA,NA,NA,NA,NA,"-49.766667","-25.466667",NA,NA,NA
"30","2020-12-21 16:16:05-03","MBM","MBM","423319","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Hatschbachiella","polyclada","Hatschbachiella polyclada","(Dusén ex Malme) R.M. King & H. Rob.",NA,"Fortunato, R.H.; Morales, M.; Ribas, O.S.; Morales, M.; Ribas, O.S.","9532","2009","04","18","Southern America","Brazil","Paraná","Rio dos Papagaios, Cruce rodovia BR-277 em direc. a Ponta Grossa",NA,NA,NA,NA,"MBM423319",NA,"Palmeira","-49.75","-25.433333","Ribas, O.S.","2009",NA,NA,NA,NA,NA,NA,"-49.75","-25.433333",NA,NA,NA
"31","2020-12-21 16:16:05-03","MBM","MBM","6043","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Hatschbachiella","polyclada","Hatschbachiella polyclada","(Dusén ex Malme) R.M. King & H. Rob.",NA,"Hatschbach, G.","18743","1968","03","14","Southern America","Brazil","Paraná","Barra do Rio Papagaios",NA,NA,NA,NA,"MBM006043","MBM006043","Balsa Nova","-49.6356010437012","-25.5839004516602","Cabrera, A.L.",NA,"27346","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-12-21 16:16:05-03","MBM","MBM","398094","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Hatschbachiella","polyclada","Hatschbachiella polyclada","(Dusén ex Malme) R.M. King & H. Rob.",NA,"Engels, M.E.; Mazziero, F.F.F.; Michelon, C.; Canestraro, B.K.; Mazziero, F.F.F.; Michelon, C.; Canestraro, B.K.","834","2013","03","20","Southern America","Brazil","Paraná","Fazenda São Daniel",NA,NA,NA,"Terrestre. Caule castanho. Folhas verdes. Inflorescência alvacenta.; Em campo.","MBM398094","MBM398094","Carambeí","-50.0971984863281","-24.9178009033203","Barboza, E.","2015","26641","auto",NA,"04","14",NA,NA,NA,NA,NA,NA
"33","2020-12-21 16:16:05-03","MBM","MBM","687","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Hatschbachiella","polyclada","Hatschbachiella polyclada","(Dusén ex Malme) R.M. King & H. Rob.",NA,"Hatschbach, G.","14204","1966","04","14","Southern America","Brazil","Paraná","Carambeí, Rio São João",NA,NA,NA,NA,"MBM000687","MBM000687","Castro","-50.0119018554688","-24.7910995483398",NA,NA,"50779","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-12-21 16:16:05-03","MBM","MBM","17805","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Hatschbachiella","polyclada","Hatschbachiella polyclada","(Dusén ex Malme) R.M. King & H. Rob.",NA,"Hatschbach, G.","26637","1971","04","21","Southern America","Brazil","Paraná","Rio dos Papagaios",NA,NA,NA,NA,"MBM017805","MBM017805","Palmeira","-50.0064010620117","-25.4293994903564",NA,NA,"35166","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-12-21 16:16:05-03","MBM","MBM","128704","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Hatschbachiella","polyclada","Hatschbachiella polyclada","(Dusén ex Malme) R.M. King & H. Rob.",NA,"Silva, J.M.; Cordeiro, J.; Cordeiro, J.","578","1989","03","10","Southern America","Brazil","Paraná","Rio dos Papagaios",NA,NA,NA,NA,"MBM128704","MBM128704","Palmeira","-50.0064010620117","-25.4293994903564","Hatschbach, G.",NA,"35166","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-12-21 16:16:05-03","MBM","MBM","41161","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Hatschbachiella","polyclada","Hatschbachiella polyclada","(Dusén ex Malme) R.M. King & H. Rob.",NA,"Hatschbach, G.","9037","1962","03","25","Southern America","Brazil","Paraná","Rodovia Governador Lupion, rio Tibagi",NA,NA,NA,NA,"MBM041161","MBM041161","Ponta Grossa","-50.1618995666504","-25.0949993133545","Cabrera, A.L.",NA,"46557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-12-21 16:16:05-03","MBM","MBM","41190","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Hatschbachiella","polyclada","Hatschbachiella polyclada","(Dusén ex Malme) R.M. King & H. Rob.",NA,"Hatschbach, G.","6595","1960","03","11","Southern America","Brazil","Paraná","Rio das Cinzas, Barra do Perdizes",NA,NA,NA,"Arbusto flor alva, do cerrado","MBM041190","MBM041190","Arapoti","-49.8266983032227","-24.1578006744385",NA,NA,"41852","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-12-21 16:16:05-03","MBM","MBM","389300","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Hatschbachiella","polyclada","Hatschbachiella polyclada","(Dusén ex Malme) R.M. King & H. Rob.",NA,"Felitto, G.; Lozano, E.D.; Lozano, E.D.","509","2013","03","14","Southern America","Brazil","Paraná","Fazenda Boiada",NA,NA,NA,"Subarbusto de 1m; capítulos alvos.; Campo sujo.","MBM389300","MBM389300","Palmeira","-50.0064010620117","-25.4293994903564","Barboza, E.","2013","35166","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-12-21 16:16:05-03","MBM","MBM","121643","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Hatschbachiella","polyclada","Hatschbachiella polyclada","(Dusén ex Malme) R.M. King & H. Rob.",NA,"Silva, J.M.; Hatschbach, G.; Hatschbach, G.","506","1988","03","24","Southern America","Brazil","Paraná","Rio dos Papagaios",NA,NA,NA,NA,"MBM121643","MBM121643","Palmeira","-50.0064010620117","-25.4293994903564","Robinson, H.",NA,"35166","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-12-21 16:16:05-03","MBM","MBM","41163","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Hatschbachiella","polyclada","Hatschbachiella polyclada","(Dusén ex Malme) R.M. King & H. Rob.",NA,"Hatschbach, G.","3659","1957","03","30","Southern America","Brazil","Paraná","Serra das Furnas",NA,NA,NA,NA,"MBM041163","MBM041163","Piraí do Sul","-49.948600769043","-24.5261001586914","Cabrera, A.L.",NA,"37171","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-12-21 16:16:05-03","MBM","MBM","328929","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Hatschbachiella","polyclada","Hatschbachiella polyclada","(Dusén ex Malme) R.M. King & H. Rob.",NA,"Silva, J.M.; Barboza, E.; Barboza, E.","5585","2007","03","21","Southern America","Brazil","Paraná","Serra das Furnas",NA,NA,NA,"Subarbusto, 1m, capítulo alvacento. Campo cerrado; solo arenoso","MBM328929","MBM328929","Piraí do Sul","-49.948600769043","-24.5261001586914","Nakajima, J.","2009","37171","auto",NA,"09",NA,NA,NA,NA,NA,NA,NA
"42","2015-09-04 05:47:11-03","MNHN","RECOLNAT_MNHN_P","P02406148","PreservedSpecimen",NA,NA,NA,"Asteraceae","Eupatorium","polycladum","Eupatorium polycladum","Dusen ex Malme",NA,"Hatschbach, G.",NA,"1966","4","14",NA,"Brasil","Paraná","Carambei, Rio S. João. Castro, Paraná, Sul, Brasil, América do Sul",NA,NA,"hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02406148' target='other'> <mi>dwc_moreinfo</mi></a>","P02406148","P02406148_01","Castro","-50.0119018554688","-24.7910995483398",NA,NA,"50779","auto",NA,NA,NA,NA,NA,NA,"14204",NA,NA
"43","2020-12-11 11:32:59-03","UFMG","BHCB","171556","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Hatschbachiella","polyclada","Hatschbachiella polyclada","(Dusén. ex Malme) R.M.King & H.Rob.",NA,"Silva, JM; Saridakis, DP; Nunes, MC; Costa, CTA","8513","2014","03","30","Southern America","Brasil","Paraná","Ponte dos Arcos","830","830",NA,"Arbusto de 70cm; capítulos alvacentos.; Estepe Gramíneo-lenhosa (campo).","BHCB016250",NA,"Balsa Nova","-49.808611","-25.551944",NA,"2014",NA,NA,NA,"05","14",NA,"-49.808611","-25.551944",NA,NA,NA
"44","2020-12-11 11:32:59-03","UFMG","BHCB","27480","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Hatschbachiella","polyclada","Hatschbachiella polyclada","(Dusén. ex Malme) R.M.King & H.Rob.",NA,"Hatschbach, G","26637","1971","09","21","Southern America","Brasil","Paraná","Rio dos Papagaios.",NA,NA,NA,"Subarbusto, 0,7m. Capítulos alvos.; Campo, solo pedregoso, úmido.","BHCB051722",NA,"Palmeira","-50.0064010620117","-25.4293994903564",NA,NA,"35166","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2021-02-11 17:18:05-03","UFPR","UPCB","60889","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Hatschbachiella","polyclada","Hatschbachiella polyclada","(Dusen ex Malme) R.M.King & H.Robinson",NA,"Kozera, C.","3098","2006","03","21",NA,"Brasil","Paraná","Ponte dos Arcos.",NA,NA,NA,"Herbácea com ca. 1,5m, flores brancas, campo seco..",NA,NA,"Balsa Nova","-49.6356010437012","-25.5839004516602","Kozera, C.","2006","27346","auto",NA,"01","01",NA,NA,NA,NA,NA,NA
"46","2021-02-11 17:18:05-03","UFPR","UPCB","16136","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Hatschbachiella","polyclada","Hatschbachiella polyclada","(Dusen ex Malme) R.M.King & H.Robinson",NA,"Silva, J.M.","578","1989","03","10",NA,"Brasil","Paraná","Rio dos Papagaios",NA,NA,NA,"Subarbusto 70cm, capítulos alvescentes, campo limpo, solo úmido..",NA,NA,"Palmeira","-50.0064010620117","-25.4293994903564","Hatschbach, G.","1989","35166","auto",NA,"01","01",NA,NA,NA,NA,NA,NA
"47","2021-02-11 17:18:05-03","UFPR","UPCB","17055","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Hatschbachiella","polyclada","Hatschbachiella polyclada","(Dusen ex Malme) R.M.King & H.Robinson",NA,"Silva, J.M.","506","1988","03","24",NA,"Brasil","Paraná","Rio dos Papagaios",NA,NA,NA,"Sublenhosa, até 70cm, capítulos alvos. Campo limpo, seco, próximo a afloramentos de arenito..",NA,NA,"Palmeira","-50.0064010620117","-25.4293994903564","Robinson, H.","1988","35166","auto",NA,"01","01",NA,NA,NA,NA,NA,NA
"48","2011-02-17 08:48:00-02","MO","MOBOT","2649205","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Eupatorium","polycladum","Eupatorium polycladum","Dusén ex Malme","Syntype","Per Dusén","Dusén 9557","1910","2","26","South America","Brazil",NA,"Fortalesa, in campo rupestri.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"P. Dusén",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
