"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","individualCount","typeStatus","fieldNumber","coordinatePrecision","geoFlag"
"11","2019-10-09 11:27:06-03","UFBA","ALCB","130883","PreservedSpecimen","Plantae","Marchantiophyta","Lejeuneaceae","Vitalianthus","bischlerianus","Vitalianthus bischlerianus","(Pôrto & Grolle) R.M.Schust. & Giancotti","Bastos, C","6014","2017","09","28","Southern America","Brasil","Bahia","Wenceslau Guimarães","Povoado de Nova Esperança, Estação Ecológica de Wenceslau Guimarães, Trilha Serra Grande. Corticícola. Floresta ombrófila, Domínio Floresta Atlântica.","-39.720278","-13.595278","583","583",NA,"Corticícola Lejeunea flava (Sw.) Nees ; +",NA,NA,"Bastos, C","-39.720278","-13.595278",NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-11-21 14:50:04-03","UFJF","CESJ","71128","PreservedSpecimen","Plantae","Hepática","Lejeuneaceae","Drepanolejeunea","bischleriana","Drepanolejeunea bischleriana","Porto & Grolle","C. Giancotti","1072","1991","04","04","América do Sul","Brasil","São Paulo","São Paulo","Instituto Agronômico e Geofísico","-46.381111","-23.325","760","760",NA,"Sobre tronco grosso vivo da base até 3m de altura, duplicata SP231635","CESJ071128",NA,NA,"-46.381111","-23.325",NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-08-20 09:58:37-03","UNICAMP","UEC","190267","S","Plantae","Bryophyta","Lejeuneaceae","Vitalianthus","bischlerianus","Vitalianthus bischlerianus","(K.C.Pôrto & Grolle) R.M.Schust. & Giaco","Santos, ND","1859","2009","08","24",NA,"Brazil","São Paulo","Ubatuba","Parcela J12, Núcleo Picinguaba, PE Serra do MarJ12.14 Tronco de palmeira J226","-45.144722","-23.618333","350","400",NA,NA,NA,NA,"Santos, ND","-45.144722","-23.618333","2011","03",NA,NA,NA,NA,NA,NA
"14","2019-05-02 10:53:57-03","IBt","SP-BRYOPHYTA","121963","S","Plantae",NA,"Lejeuneaceae","Drepanolejeunea","bischleriana","Drepanolejeunea bischleriana","Pôrto & Grolle","Vital, D.M.","3092","1974","04","30","Southern America","BRASIL","São Paulo","São Paulo","Parque Estadual das Fontes do Ipiranga","-46.636111","-23.5475","760","760",NA,"Associado a Lophocolea muricata. Growing on base of a tree trunk in a humid secondary forest","SP065572",NA,"Giancotti, C.","-46.636111","-23.5475","1990","05","02",NA,NA,NA,NA,NA
"15","2019-05-02 10:53:57-03","IBt","SP-BRYOPHYTA","208874","S","Plantae",NA,"Lejeuneaceae","Drepanolejeunea","bischleriana","Drepanolejeunea bischleriana","Pôrto & Grolle","Vital, D.M.; Giancotti, C.","13952","1986","08","27","Southern America","BRASIL","São Paulo","São Paulo","Instituto de Botânica","-46.636111","-23.5475","760","760",NA,"Sobre casca de árvore morta caida no chão da mata","SP090709",NA,NA,"-46.636111","-23.5475",NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-05-02 10:54:23-03","IBt","SP-BRYOPHYTA","134093","S","Plantae",NA,"Lejeuneaceae","Vitalianthus","bischlerianus","Vitalianthus bischlerianus","(Pôrto & Grolle) R.M. Schuster & Giancotti","Vital, D.M.","9817","1981","05","21","Southern America","BRASIL","São Paulo","Cananéia","Ilha do Cardoso","-47.939722","-25.016389","20","20",NA,"associado a syrrhopodon incompletus Schwagr. Sobre tronco grosso, junto a ponte de madeira, próximo á casa das Turbinas","SP070794",NA,"Peralta, D.F.","-47.939722","-25.016389","2009","10",NA,NA,NA,NA,NA,NA
"17","2019-05-02 10:54:23-03","IBt","SP-BRYOPHYTA","191052","S","Plantae",NA,"Lejeuneaceae","Vitalianthus","bischlerianus","Vitalianthus bischlerianus","(Pôrto & Grolle) R.M. Schuster & Giancotti","Yano, O.; Wanderley, M.G.L.","8924","1984","06","11","Southern America","BRASIL","São Paulo","Cananéia","Ilha do Cardoso","-47.939722","-25.016389","20","20",NA,"Sobre tronco vivo de Clusia sp, mata de restinga.","SP086038",NA,"Peralta, D.F.","-47.939722","-25.016389","2008","05",NA,NA,NA,NA,NA,NA
"18","2019-05-02 10:54:23-03","IBt","SP-BRYOPHYTA","134152","S","Plantae",NA,"Lejeuneaceae","Vitalianthus","bischlerianus","Vitalianthus bischlerianus","(Pôrto & Grolle) R.M. Schuster & Giancotti","Yano, O.","3070","1980","10","09","Southern America","BRASIL","São Paulo","Cananéia","Ilha do Cardoso","-47.939722","-25.016389","20","20",NA,"sobre tronco de árvore viva, na mata úmida do morro","SP070852",NA,"Peralta, D.F.","-47.939722","-25.016389","2009","10",NA,NA,NA,NA,NA,NA
"19","2019-05-02 10:54:23-03","IBt","SP-BRYOPHYTA","173886","S","Plantae",NA,"Lejeuneaceae","Vitalianthus","bischlerianus","Vitalianthus bischlerianus","(Pôrto & Grolle) R.M. Schuster & Giancotti","Yano, O.","3838","1981","12","10","Southern America","BRASIL","São Paulo","Cananéia","Ilha do Cardoso, junto ao Sambaqui, perto do canal de Ararapira","-47.939722","-25.016389","20","20",NA,"Sobre raizes de Palmeira + Drepanolejeunea orthophylla (Nees & Mont) Brischl.","SP081594",NA,"Peralta, D.F.","-47.939722","-25.016389","2009","12",NA,NA,NA,NA,NA,NA
"20","2019-05-02 10:54:23-03","IBt","SP-BRYOPHYTA","207956","S","Plantae",NA,"Lejeuneaceae","Vitalianthus","bischlerianus","Vitalianthus bischlerianus","(Pôrto & Grolle) R.M. Schuster & Giancotti","Vital, D.M.","13013","1985","04","25","Southern America","BRASIL","São Paulo","Cananéia","Ilha do Cardoso","-47.939722","-25.016389","20","20",NA,"On bark of thin living tree trunk","SP089503",NA,"Peralta, D.F.","-47.939722","-25.016389","2009","12",NA,NA,NA,NA,NA,NA
"21","2010-05-09 06:23:00-03","MO","MOBOT","90099888","PreservedSpecimen","Plantae",NA,"Lejeuneaceae","Vitalianthus","bischlerianus","Vitalianthus bischlerianus","(K.C. Pôrto & Grolle) R.M. Schust. & Giancotti","Alfons Schäfer-Verwimp","Schäfer-Verwimp 13425","1990","12","28","South America","Brazil","Santa Catarina",NA,"Ilha de São Francisco, Ubatuba.","-48.6","-26.23333","5.00000000",NA,NA,NA,NA,NA,"AS-V",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2018-07-10 11:18:00-03","MO","MOBOT","90171301","PreservedSpecimen","Plantae",NA,"Lejeuneaceae","Vitalianthus","bischlerianus","Vitalianthus bischlerianus","(K.C. Pôrto & Grolle) R.M. Schust. & Giancotti","Alfons Schäfer-Verwimp|Inge Verwimp","Schäfer-Verwimp 9505","1988","3","19","South America","Brazil","São Paulo",NA,"Serra do Mar bei Ubatuba, Regenwald (Mata atlantica primaria) der Fazenda Capricornio, epiphytisch am Ufer des Rio Indaia.","-45.0666667","-23.4","70.00000000",NA,NA,NA,NA,NA,"R. Grolle",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"23","2020-07-10 09:47:03-03","MBML","MBML-HERBARIO","18795",NA,"Plantae",NA,"Lejeuneaceae","Vitalianthus","bischlerianus","Vitalianthus bischlerianus","(Pôrto & Grolle) Schust. & Giacontti","R.R. Vervloet; et al","976","2002","09","17",NA,"Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075",NA,NA,NA,"Sobre tronco de árvore.","MBML018795",NA,"D. P. Costa/IX-2002","40W33'11","19S54'27",NA,NA,NA,NA,NA,NA,NA,NA
"24","2014-10-07 15:51:49-03","MNHN","RECOLNAT_MNHN_PC","PC0102473","PreservedSpecimen",NA,NA,"Lejeuneaceae","Drepanolejeunea","bischleriana","Drepanolejeunea bischleriana","K.C.Pôrto & Grolle","Cavalcanti-Porto",NA,"1985","2","26",NA,"Brésil",NA,NA,"Pernambuco, Rio Formoso, Reserva Biologica de Saltinho","-55.75","2.33333","50",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/pc/pc0102473' target='other'> <mi>dwc_moreinfo</mi></a>","PC0102473","PC0102473_01 PC0102473_02",NA,NA,NA,NA,NA,NA,NA,"isotype","62",NA,NA
"25","2017-04-25 15:24:23-03","MNHN","RECOLNAT_MNHN_PC","PC0728024","PreservedSpecimen",NA,NA,"Lejeuneaceae","Drepanolejeunea","bischleriana","Drepanolejeunea bischleriana","K.C.Pôrto & Grolle","Giancotti, C.",NA,"1990","12","18",NA,"Brésil","Sao Paulo",NA,"Brasil, Sao Paulo, Sao Paulo, Instituto de Botanica","-46.38111","-23.325","760",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/pc/pc0728024' target='other'> <mi>dwc_moreinfo</mi></a>","PC0728024",NA,"Giancotti",NA,NA,NA,NA,NA,NA,NA,"876",NA,NA
"26","2015-09-27 17:35:36-03","MNHN","RECOLNAT_MNHN_PC","PC0102472","PreservedSpecimen",NA,NA,"Lejeuneaceae","Drepanolejeunea","bischleriana","Drepanolejeunea bischleriana","K.C.Pôrto & Grolle","Cavalcanti-Porto",NA,"1985","2","26",NA,"Brésil",NA,NA,"Pernambuco, Rio Formoso, Reserva Biologica de Saltinho","-55.75","2.33333","50",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/pc/pc0102472' target='other'> <mi>dwc_moreinfo</mi></a>","PC0102472","PC0102472_01 PC0102472_02",NA,NA,NA,NA,NA,NA,NA,"paratype","41",NA,NA
"27","2021-03-01 11:47:53-03","UFPE","UFP","18148","PreservedSpecimen","Plantae",NA,"Lejeuneaceae","Drepanolejeunea","bischleriana","Drepanolejeunea bischleriana","K.C.Porto & Grolle","Pôrto, KC","s.n.","1985","02","26",NA,"Brasil","Pernambuco","Rio Formoso",NA,"-35.1585998535156","-8.66361045837402",NA,NA,NA,"Substrato: caule vivo.; Substrato: caule vivo.","UFP018148",NA,"Pôrto, KC",NA,NA,NA,NA,NA,NA,NA,NA,"21734","auto"
"28","2021-03-01 11:48:20-03","UFPE","UFP","31506d","PreservedSpecimen","Plantae",NA,"Lejeuneaceae","Vitalianthus","bischlerianus","Vitalianthus bischlerianus","(K.C.Porto & Grolle) R.M. Schust. & Giancotti","Germano, SR","UFP31506d",NA,NA,NA,NA,"Brasil","Pernambuco","Cabo de Santo Agostinho",NA,"-35.0349998474121","-8.28666973114014",NA,NA,NA,NA,"UFP31506d",NA,"Germano, SR",NA,NA,NA,NA,NA,NA,NA,NA,"25282","auto"
"29","2021-03-01 11:48:20-03","UFPE","UFP","18188","PreservedSpecimen","Plantae",NA,"Lejeuneaceae","Vitalianthus","bischlerianus","Vitalianthus bischlerianus","(K.C.Porto & Grolle) R.M. Schust. & Giancotti","Pôrto, KC","41","1985","02","26",NA,"Brasil","Pernambuco","Rio Formoso",NA,"-35.1585998535156","-8.66361045837402",NA,NA,NA,"Substrato: caule vivo.; Substrato: caule vivo.","UFP018188",NA,"Pôrto, KC; Grolle",NA,NA,NA,NA,NA,NA,NA,NA,"21734","auto"
"30","2019-11-13 16:04:06-03","UNISANTA","HUSC","1097","PreservedSpecimen","Plantae",NA,"Lejeuneaceae","Vitalianthus","bischlerianus","Vitalianthus bischlerianus","& GrolleR.M. Schust. & Giancotti","Mello, Z.R.","712","2000","02","24",NA,"Brasil","São Paulo","Bertioga","Praia do Itaguaré, fazenda pintos","-46.138889","-23.855",NA,NA,NA,"Restinga",NA,NA,NA,"-46.138889","-23.855",NA,NA,NA,NA,NA,NA,NA,NA
"31","2019-11-01 15:12:30-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Marchantiophyta","Lejeuneaceae","Vitalianthus","bischlerianus","Vitalianthus bischlerianus","(K.C. Pôrto & Grolle) R.M. Schust. & Giancotti","Yano, O","3838","1981","12","10","Southern America","Brasil","São Paulo","Cananéia","Ilha do Cardoso, junto ao Sambaqui, perto do canal de Ararapira","-47.5623","-25.0059","20","20",NA,"Sobre raizes de Palmeira + Drepanolejeunea orthophylla (Nees & Mont) Brischl.",NA,NA,"Peralta, DF","-47.5623","-25.0059","2009","12",NA,NA,NA,NA,NA,NA
