"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","year","month","day","continentOcean","locality","preparationType","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","relatedCatalogItem"
"26","2019-09-27 18:03:26-03","UFES","VIES","18485","S","Plantae",NA,NA,NA,"Amaryllidaceae","Griffinia","liboniana","Griffinia liboniana","Morren","Campos-Rocha, A.","2015","Faria, M.B.; Oliveira, A.G.","Brasil","Espírito Santo","São Mateus","-39.8588981628418","-18.716100692749","56510",NA,NA,"auto","51","2007","05","05",NA,"Bairro Liberdade.",NA,"VIES018485","VIES018485",NA,NA,"11","23",NA,NA,NA
"27","2019-06-27 10:23:49-03","UFES","VIES","28401","S","Plantae",NA,NA,NA,"Amaryllidaceae","Griffinia","liboniana","Griffinia liboniana","Morren",NA,NA,"Alves-Araújo, A.; et al.","Brasil","Espírito Santo","São Mateus","-39.8588981628418","-18.716100692749","56510",NA,NA,"auto","1727","2012","06","15",NA,"Bairro Liberdade, área de restinga, sob a sombra de arbustos.",NA,"VIES028401","VIES028401",NA,NA,NA,NA,NA,NA,NA
"28","2020-04-27 16:08:29-03","UFES","VIES","12801","S","Plantae",NA,NA,NA,"Amaryllidaceae","Griffinia","liboniana","Griffinia liboniana","Morren","Rodrigues, I.D.","2000","Rodrigues, I.D.","Brasil","Espírito Santo","Serra","-40.3078002929688","-20.1285991668701","16451",NA,NA,"auto","291","2000","03","18",NA,"Nova Almeida.",NA,"VIES012801","VIES012801",NA,NA,"03","18",NA,NA,NA
"29","2020-04-27 16:08:29-03","UFES","VIES","28042","S","Plantae",NA,NA,NA,"Amaryllidaceae","Griffinia","liboniana","Griffinia liboniana","Morren","Amaral, R.M.","2017","Pereira, O.J.; Oliveira, A.G.; Menezes, L.F.T. & Fatin, R.","Brasil","Espírito Santo","São Mateus","-39.8588981628418","-18.716100692749","56510",NA,NA,"auto","7598","2008","03","06",NA,"Bairro Liberdade.",NA,"VIES028042","VIES028042",NA,NA,"11","01",NA,NA,NA
"30","2019-09-27 18:03:26-03","UFES","VIES","28298","S","Plantae",NA,NA,NA,"Amaryllidaceae","Griffinia","liboniana","Griffinia liboniana","Morren","Campos-Rocha, A.","2015","Faria, M.B.; Menezes, L.F.T.; Oliveira, A.G. & Araújo Filho, P.B.","Brasil","Espírito Santo","São Mateus","-39.8588981628418","-18.716100692749","56510",NA,NA,"auto","104","2007","10","20",NA,"Bairro Liberdade.",NA,"VIES028298","VIES028298",NA,NA,"11","23",NA,NA,NA
"31","2019-09-27 18:03:26-03","UFES","VIES","12798","S","Plantae",NA,NA,NA,"Amaryllidaceae","Griffinia","liboniana","Griffinia liboniana","Morren","Rodrigues, I.D.","1999","Rodrigues, I.D.","Brasil","Espírito Santo","Serra","-40.3078002929688","-20.1285991668701","16451",NA,NA,"auto","179","1999","11","29",NA,"Nova Almeida.",NA,"VIES012798","VIES012798",NA,NA,"11","29",NA,NA,NA
"32","2019-09-27 18:03:26-03","UFES","VIES","12799","S","Plantae",NA,NA,NA,"Amaryllidaceae","Griffinia","liboniana","Griffinia liboniana","Morren","Rodrigues, I.D.","1999","Rodrigues, I.D.","Brasil","Espírito Santo","Serra","-40.3078002929688","-20.1285991668701","16451",NA,NA,"auto","185","1999","11","29",NA,"Nova Almeida.",NA,"VIES012799","VIES012799",NA,NA,"11","29",NA,NA,NA
"33","2019-09-27 18:03:26-03","UFES","VIES","12800","S","Plantae",NA,NA,NA,"Amaryllidaceae","Griffinia","liboniana","Griffinia liboniana","Morren","Rodrigues, I.D.","1999","Rodrigues, I.D.","Brasil","Espírito Santo","Serra","-40.3078002929688","-20.1285991668701","16451",NA,NA,"auto","239","1999","12","28",NA,"Nova Almeida.",NA,"VIES012800","VIES012800",NA,NA,"12","28",NA,NA,NA
"34","2019-09-27 18:03:26-03","UFES","VIES","12802","S","Plantae",NA,NA,NA,"Amaryllidaceae","Griffinia","liboniana","Griffinia liboniana","Morren","Rodrigues, I.D.","1999","Rodrigues, I.D.","Brasil","Espírito Santo","Serra","-40.3078002929688","-20.1285991668701","16451",NA,NA,"auto","175","1999","11","29",NA,"Nova Almeida.",NA,"VIES012802","VIES012802",NA,NA,"11","29",NA,NA,NA
"35","2021-03-21 19:39:57-03","UFC","EAC","62370","PreservedSpecimen","Plantae","Monocotyledon",NA,NA,"Amaryllidaceae","Griffinia","liboniana","Griffinia liboniana","Morren",NA,NA,"Souza, A.S.Q.","Brasil","Ceará","Cascavel","-38.2419013977051","-4.13305997848511","42722",NA,NA,"auto","02","2019","05","03","Southern America","em Floricultura",NA,"EAC0062370","EAC0062370",NA,NA,NA,NA,NA,NA,NA
"36","2020-12-11 11:43:19-03","UFMG","BHCB","39986","PreservedSpecimen","Plantae","Monocotyledon",NA,NA,"Amaryllidaceae","Griffinia","liboniana","Griffinia liboniana",NA,NA,"2015","Vasconcelos, MF de","Brasil","Minas Gerais","Itueta","-41.1702995300293","-19.3941993713379","29671",NA,"Herbáceo.; Mata estacional decidual.","auto","s.n.","1997","10","19","Southern America",NA,NA,"BHCB012366","BHCB012366",NA,NA,"06",NA,NA,NA,NA
"37","2020-12-11 11:43:19-03","UFMG","BHCB","36357","PreservedSpecimen","Plantae","Monocotyledon",NA,NA,"Amaryllidaceae","Griffinia","liboniana","Griffinia liboniana",NA,NA,"2015","Brina, AE; Costa, LVC","Brasil","Minas Gerais","Matozinhos","-44.0814018249512","-19.5578002929688","20503",NA,"Mata semidecídua.","auto","s.n.","1995","10","06","Southern America","APA Carste de Lagoa Santa, Municípios de Matozinho e Lagoa Santa.",NA,"BHCB012364","BHCB012364",NA,NA,"06",NA,NA,NA,NA
"38","2020-12-11 11:43:19-03","UFMG","BHCB","33125","PreservedSpecimen","Plantae","Monocotyledon",NA,NA,"Amaryllidaceae","Griffinia","liboniana","Griffinia liboniana",NA,NA,"2015","Lombardi, JA","Brasil","Minas Gerais","Matozinhos","-44.0814018249512","-19.5578002929688","20503",NA,"Erva no sub-bosque.,folhas mosqueadas de verde-claro na face adaxial, tépalas de base verde, meio branco, ápice roxo, ovário verde.; Mata semidecídua próxima ao afloramento de calcário.","auto","1450","1996","10","31","Southern America","Fazenda Cauaia.",NA,"BHCB012365","BHCB012365",NA,NA,"06",NA,NA,NA,NA
"39","2020-12-11 11:43:19-03","UFMG","BHCB","94298","PreservedSpecimen","Plantae","Monocotyledon",NA,NA,"Amaryllidaceae","Griffinia","liboniana","Griffinia liboniana",NA,NA,"2015","Mota, RC da; Lombardi, JA; Stehmann, JR","Brasil","Minas Gerais","Salto da Divisa","-39.9468994140625","-16.002799987793","38813",NA,"Planta florida em residência.; Erva terrestre, ovário verde, perianto roxo-pálido.; Mata seca. Solo meio arenoso.","auto","2955","2005","09","28","Southern America","Fazenda Santana.",NA,"BHCB012367","BHCB012367",NA,NA,"06",NA,NA,NA,NA
"40","2020-07-10 09:43:14-03","MBML","MBML-HERBARIO","39775",NA,"Plantae",NA,NA,NA,"Amaryllidaceae","Griffinia","liboniana","Griffinia liboniana","C.Morren","A. Campos Rocha/12-12-2013",NA,"L. Kollmann; & E. Leme","Brasil","Minas Gerais","Salto da Divisa","-39.9468994140625","-16.002799987793","38813",NA,"Erva na sombra, folhas verdes escuro com listras mais claras, flores brancas.","auto","11893","2010","03","23",NA,"estrada de Salto da Divisa para Santa Maria do Salto, perto do Rio Jequitinhona",NA,"MBML039775","MBML039775",NA,NA,NA,NA,NA,NA,NA
"41","2019-12-19 11:16:56-03","UFG","UFG","28722","S","Plantae",NA,NA,NA,"Amaryllidaceae","Griffinia","liboniana","Griffinia liboniana","E. Morren","Silva, G.P.","2001","Pereira-Silva, G.; et al.","Brasil","Goiás","Colinas do Sul","-48.0783004760742","-14.1513996124268","58154",NA,NA,"auto","5718","2001","10","20",NA,"Reserva Cana Brava",NA,"UFG0028722","UFG0028722",NA,NA,"10",NA,NA,NA,NA
"42","2021-03-01 11:53:11-03","UFPE","UFP","42423","PreservedSpecimen","Plantae",NA,NA,"Asparagales","Amaryllidaceae","Griffinia","liboniana","Griffinia liboniana","C. Morren","Campos-Rocha, A","2015","Alves, M; Alves-Araújo, A","Brasil","Pernambuco","Cabo de Santo Agostinho","-35.0349998474121","-8.28666973114014","25282",NA,"Mantida em cultivo. FLores lilases com faixas longitudinais brancas e base branca. Material submetido a análises anatômicas e palinológicas.; Mantida em cultivo. FLores lilases com faixas longitudinais brancas e base branca. Material s","auto","37","2005","08","31",NA,NA,NA,"UFP042423",NA,NA,NA,"06",NA,NA,NA,NA
