"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","infraspecificEpithet","scientificNameAuthorship","identifiedBy","recordNumber","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","class","individualCount","relatedCatalogItem"
"14","2021-03-15 16:37:00-03","NY","NYBG","00979790","PreservedSpecimen","Plantae","Fabaceae","Senna","angulata","Senna angulata miscadena",NA,"Martii Herbar. Florae Brasil.","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1085743' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979790","Magnoliophyta","Fabales","miscadena","(Vogel) H.S.Irwin & Barneby",NA,"128","1837",NA,NA,"Rio de Janeiro",NA,"Prov. Sebastianopolis",NA,NA,"NY00979790_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00979863","PreservedSpecimen","Plantae","Fabaceae","Senna","angulata","Senna angulata miscadena",NA,"M. A. Lopes","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1085543' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979863","Magnoliophyta","Fabales","miscadena","(Vogel) H.S.Irwin & Barneby","R. C. Barneby","379","1984","04","26","Minas Gerais",NA,"Faz. Montes Claros. Caratinga",NA,NA,"NY00979863_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","582604","PreservedSpecimen","Plantae","Fabaceae","Senna","angulata","Senna angulata miscadena",NA,"G. G. Hatschbach","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426138' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582604","Magnoliophyta","Fabales","miscadena","(Vogel) H.S.Irwin & Barneby",NA,"24025","1970","03","16","Paraná","Morretes","Col. Floresta","-48.8342","-25.4769","NY00582604_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","00979789","PreservedSpecimen","Plantae","Fabaceae","Senna","angulata","Senna angulata miscadena",NA,"L. Riedel","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1085726' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979789","Magnoliophyta","Fabales","miscadena","(Vogel) H.S.Irwin & Barneby",NA,"161","1832","03",NA,NA,NA,"In sylv. montosis Serra Estrella",NA,NA,"NY00979789_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","582598","PreservedSpecimen","Plantae","Fabaceae","Senna","angulata","Senna angulata miscadena",NA,"A. P. Duarte","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426132' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582598","Magnoliophyta","Fabales","miscadena","(Vogel) H.S.Irwin & Barneby",NA,"6703","1962","09","06","Bahia","Porto Seguro","Km. 3 da BR-5","-39.0644","-16.4497",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","582600","PreservedSpecimen","Plantae","Fabaceae","Senna","angulata","Senna angulata miscadena",NA,"J. Spada","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426137' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582600","Magnoliophyta","Fabales","miscadena","(Vogel) H.S.Irwin & Barneby","R. C. Barneby","229","1973","03","22","Espírito Santo","Linhares","Reserva Florestal Linhares CVRD. Próximo a estrada 134, Talhao 301","-40.0719","-19.3911","NY00582600_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","00979763","PreservedSpecimen","Plantae","Fabaceae","Senna","angulata","Senna angulata angulata",NA,"P. Clausen","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1085533' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979763","Magnoliophyta","Fabales","angulata","(Vogel) H.S.Irwin & Barneby",NA,"195B",NA,NA,NA,"Minas Gerais","Ouro Preto","Caxoiera","-43.5081","-20.2878","NY00979763_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","00979888","PreservedSpecimen","Plantae","Fabaceae","Senna","angulata","Senna angulata miscadena",NA,"C. V. Mendonça f°","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1085718' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979888","Magnoliophyta","Fabales","miscadena","(Vogel) H.S.Irwin & Barneby","R. C. Barneby","156","1991","03","23","Minas Gerais",NA,"Faz. Montes Claros, Caratinga. Beira do Matão próximo à lagoa e em direção ao final da estrada à direita",NA,NA,"NY00979888_01 NY00979888_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","00979887","PreservedSpecimen","Plantae","Fabaceae","Senna","angulata","Senna angulata angulata",NA,"P. Clausen","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1085528' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979887","Magnoliophyta","Fabales","angulata","(Vogel) H.S.Irwin & Barneby",NA,"195B",NA,NA,NA,"Minas Gerais","Ouro Preto","Caxoiera","-43.5081","-20.2878","NY00979887_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","582599","PreservedSpecimen","Plantae","Fabaceae","Senna","angulata","Senna angulata miscadena",NA,"G. G. Hatschbach","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426136' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582599","Magnoliophyta","Fabales","miscadena","(Vogel) H.S.Irwin & Barneby","R. C. Barneby","24025","1970","03","16","Paraná","Morretes","Col. Floresta","-48.8342","-25.4769",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","00979839","PreservedSpecimen","Plantae","Fabaceae","Senna","angulata","Senna angulata miscadena",NA,"J. C. Mikan","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1085732' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979839","Magnoliophyta","Fabales","miscadena","(Vogel) H.S.Irwin & Barneby",NA,"s.n.",NA,NA,NA,NA,NA,"Brasilia Tocaia",NA,NA,"NY00979839_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","00979788","PreservedSpecimen","Plantae","Fabaceae","Senna","angulata","Senna angulata angulata",NA,"E. H. G. Ule","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1085535' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979788","Magnoliophyta","Fabales","angulata","(Vogel) H.S.Irwin & Barneby",NA,"2482","1892","04",NA,"Minas Gerais",NA,"Perto de Itabira do Campo",NA,NA,"NY00979788_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","582596","PreservedSpecimen","Plantae","Fabaceae","Senna","angulata","Senna angulata miscadena",NA,"W. W. Thomas","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426139' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582596","Magnoliophyta","Fabales","miscadena","(Vogel) H.S.Irwin & Barneby","R. C. Barneby","9894","1993","05","12","Bahia","Belmonte","Barrolândia, Estação Experimental Gregorio Bondar CEPLAC, 48 km east of BR 101 on road to Belmonte","-39.25","-16.13","NY00582596_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","777861","PreservedSpecimen","Plantae","Fabaceae","Senna","angulata","Senna angulata",NA,"R. P. Lyra-Lemos","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=749058' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777861","Magnoliophyta","Fabales",NA,"(Vogel) H.S.Irwin & Barneby","M. R. de V. Barbosa","6295","2002","03","15","Alagoas","Murici","Serra do Ouro, caminho para estação da Embratel","-35.9431","-9.3069","NY00777861_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","582606","PreservedSpecimen","Plantae","Fabaceae","Senna","angulata","Senna angulata angulata",NA,"J. A. Lombardi","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=379215' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582606","Magnoliophyta","Fabales","angulata","(Vogel) H.S.Irwin & Barneby","R. C. Barneby","917","1995","08","10","Minas Gerais","Belo Horizonte","Campus da UFMG, próximo a Prefeitura","-43.9378","-19.9208","NY00582606_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","00979838","PreservedSpecimen","Plantae","Fabaceae","Senna","angulata","Senna angulata angulata",NA,"J. A. Lombardi","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1085542' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979838","Magnoliophyta","Fabales","angulata","(Vogel) H.S.Irwin & Barneby","R. C. Barneby","713","1995","03","16","Minas Gerais","Belo Horizonte","Campus da UFMG. Estaçao Ecológica","-43.9378","-19.9208","NY00979838_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","00979864","PreservedSpecimen","Plantae","Fabaceae","Senna","angulata","Senna angulata miscadena",NA,"H. W. Schott","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1085733' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979864","Magnoliophyta","Fabales","miscadena","(Vogel) H.S.Irwin & Barneby",NA,"5646",NA,NA,NA,NA,NA,"Tocaia.",NA,NA,"NY00979864_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","582592","PreservedSpecimen","Plantae","Fabaceae","Senna","angulata","Senna angulata miscadena",NA,"A. P. Duarte","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426133' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582592","Magnoliophyta","Fabales","miscadena","(Vogel) H.S.Irwin & Barneby",NA,"6703","1962","06","06","Bahia","Porto Seguro","Km. 3 da BR 5","-39.0644","-16.4497","NY00582592_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","582591","PreservedSpecimen","Plantae","Fabaceae","Senna","angulata","Senna angulata miscadena",NA,"S. A. Mori","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426140' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582591","Magnoliophyta","Fabales","miscadena","(Vogel) H.S.Irwin & Barneby",NA,"9791","1978","03","21","Bahia","Santa Cruz Cabrália","Reserva Biológica Pau-Brasil. A 16 kms ao W de Porto Seguro","-39.1815805","-16.3721094","NY00582591_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","00979814","PreservedSpecimen","Plantae","Fabaceae","Senna","angulata","Senna angulata miscadena",NA,"G. Schüch","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1085730' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979814","Magnoliophyta","Fabales","miscadena","(Vogel) H.S.Irwin & Barneby",NA,"s.n.",NA,NA,NA,NA,NA,"Sebastianopolis.",NA,NA,"NY00979814_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","582595","PreservedSpecimen","Plantae","Fabaceae","Senna","angulata","Senna angulata miscadena",NA,"J. Vidal","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426128' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582595","Magnoliophyta","Fabales","miscadena","(Vogel) H.S.Irwin & Barneby",NA,"s.n.","1943","05","01","Rio de Janeiro","Maricá",NA,"-42.8183","-22.9194","NY00582595_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","582594","PreservedSpecimen","Plantae","Fabaceae","Senna","angulata","Senna angulata miscadena",NA,"J. Vidal","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426127' target='other'> <mi>dwc_moreinfo</mi></a>","NY00582594","Magnoliophyta","Fabales","miscadena","(Vogel) H.S.Irwin & Barneby",NA,"s.n.","1943","03","20","Rio de Janeiro","Cabo Frio","Arraial do Cabo","-42.026055","-22.968776","NY00582594_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-02-18 09:29:49-03","UNESP-IBB","BOTU","12066","PreservedSpecimen","Plantae","Fabaceae","Senna","angulata","Senna angulata",NA,"Gemtchújnicov, I.D.",NA,"Brasil",NA,NA,NA,"BOTU012066",NA,NA,NA,"(Vogel) H.S.Irwin & Barneby","Lima, D.A.",NA,"1972","01","18","Pernambuco","Paranatama",NA,NA,NA,NA,NA,NA,"1972","9999","9999",NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-06-29 11:30:41-03","UFRJ","RFA","17324","PreservedSpecimen","Plantae","Fabaceae","Senna","angulata","Senna angulata",NA,"F.B. Ramalho",NA,"Brasil",NA,NA,"Árvore com ca. 4 m de altura, flores amarelas sem perfume","RFA14445",NA,NA,NA,"(Vogel) H.S.Irwin & Barneby","M.F. Castilhori","165","1973","03","23","Bahia","Casa Nova","Fazenda Lagoa Nova","-40.9707984924316","-9.16193962097168",NA,NA,NA,"2019",NA,NA,"04","02","116505","auto",NA,NA,NA,NA
"38","2020-06-29 11:30:41-03","UFRJ","RFA","19070","PreservedSpecimen","Plantae","Fabaceae","Senna","angulata","Senna angulata",NA,"P. Occhioni",NA,"Brasil",NA,NA,"Arbusto copado de flores amarelo-ouro, ornamental","RFA15975",NA,NA,NA,"(Vogel) H.S.Irwin & Barneby","M.F. Castilhori","8553","1978","05","27","São Paulo","São Paulo","Estrada Raposo Tavares, próximo à Itapetininga","-46.6300010681152","-23.5400009155273",NA,NA,NA,"2019",NA,NA,"04","02","53584","auto",NA,NA,NA,NA
"39","2020-06-29 11:30:41-03","UFRJ","RFA","23801","PreservedSpecimen","Plantae","Fabaceae","Senna","angulata","Senna angulata",NA,"M.C.L Ramos; C.E. dos S. Diniz",NA,"Brasil",NA,NA,"Trepadeira que se divide em vários caulezinhos; flores amarelas vistosas","RFA19308",NA,NA,NA,"(Vogel) H.S.Irwin & Barneby","Haroldo C. de Lima",NA,"1994","04","28",NA,"Brasil",NA,NA,NA,NA,NA,NA,"1995",NA,NA,"02","14",NA,NA,NA,NA,NA,NA
"40","2020-06-29 11:30:41-03","UFRJ","RFA","23802","PreservedSpecimen","Plantae","Fabaceae","Senna","angulata","Senna angulata",NA,"M.C.L.Ramos; P.M.B.Barros",NA,"Brasil",NA,NA,"Escandente com frutos (vagem verde com pequenas sementes pretas)","RFA19310",NA,NA,NA,"(Vogel) H.S.Irwin & Barneby","H.C. de Lima",NA,"1994","08","11",NA,"Brasil",NA,NA,NA,NA,NA,NA,"1995",NA,NA,"02","14",NA,NA,NA,NA,NA,NA
"41","2020-06-29 11:30:41-03","UFRJ","RFA","37534","PreservedSpecimen","Plantae","Fabaceae","Senna","angulata","Senna angulata",NA,"M.S. Wängler; G.F. Mazzoni, F.C. Alzer, A.M. Paiva",NA,"Brasil",NA,NA,"Arbusto 2 m de altura; Folhas alternas, compostas, cálice verde, corola amarela, pentâmera; fruto em vagem verde","RFA47071",NA,NA,NA,"(Vogel) H.S.Irwin & Barneby","M.F. Castilhori","861","2011","09","17","Rio de Janeiro","Paty do Alferes","APA Palmares, zona de Vida Silvestre. Dequinha","-43.391389","-22.448611",NA,NA,NA,"2019","43º23'29''W","22º26'55''S","04","01",NA,NA,NA,NA,NA,NA
"42","2020-06-29 11:30:41-03","UFRJ","RFA","37705","PreservedSpecimen","Plantae","Fabaceae","Senna","angulata","Senna angulata",NA,"M.S. Wängler; F.C. Alzer; G.F. Mazzoni; D.F. Massunaga",NA,"Brasil",NA,NA,"Arbusto 2 m de altura; folha composta; flor pentâmera, cálice verde, corola amarela","RFA47093",NA,NA,NA,"(Vogel) H.S.Irwin & Barneby","M.F. Castilhori","683","2011","06","18","Rio de Janeiro","Paty do Alferes","APA Palmares, zona de Vida Silvestre, Alameda Palmares, propriedade do Sr. Luciano","-43.383333","-22.4475",NA,NA,NA,"2019","43º23'0''W","22º26'51''S","04","01",NA,NA,NA,NA,NA,NA
"43","2020-06-29 11:30:41-03","UFRJ","RFA","37718","PreservedSpecimen","Plantae","Fabaceae","Senna","angulata","Senna angulata",NA,"M.S. Wängler; F.C. Alzer; G.F. Mazzoni; D.F. Massunaga",NA,"Brasil",NA,NA,"Arbusto 2 m de altura; folha composta alterna; inflorescência terminal, flor amarela pentâmera, dialipétala dialissépala","RFA47067",NA,NA,NA,"(Vogel) H.S.Irwin & Barneby","M.F. Castilhori","700","2011","06","19","Rio de Janeiro","Paty do Alferes","APA Palmares, zona de Vida Silvestre, Alameda Palmares, propriedade do Sr. Luciano","-43.3675","-22.4475",NA,NA,NA,"2019","43º22'3''W","22º26'51''S","04","01",NA,NA,NA,NA,NA,NA
