"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","stateProvince","county","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus","infraspecificEpithet"
"11","2021-03-15 16:37:00-03","NY","NYBG","00567861","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Mauritia","flexuosa","Mauritia flexuosa","L.f.","H. Q. B. Fernandes","3206","1997","05","21","South America","Brazil",NA,"-47.7","-20.1903","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617948' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567861","NY00567861_01 NY00567861_02 NY00567861_03",NA,"São Paulo","Buritizal","990","990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","01136901","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Mauritia","flexuosa","Mauritia flexuosa","L.f.","H. T. Beck","524","1987","11","15","South America","Brazil","Ilha de Marajó. Rio Anajás. Above the rio Cururu. Forest on river margin. overhanging water. Two individuals collected along margin of river. Common in groups along river, but patchy distribution along rio Anajás. Not seen in any quantity above the town","-50.183333","-0.7","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1284101' target='other'> <mi>dwc_moreinfo</mi></a>","NY01136901","NY01136901_01",NA,"Pará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","02320927","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Mauritia","flexuosa","Mauritia flexuosa","L.f.","H. Balslev","60749","1985","07","28","South America","Ecuador","Añangu, south bank of Río Napo 95 km downstream from Coca.","-76.38","-0.53","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2531119' target='other'> <mi>dwc_moreinfo</mi></a>","NY02320927","NY02320927_01",NA,"Napo",NA,"300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","02320971","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Mauritia","flexuosa","Mauritia flexuosa","L.f.","J. A. Steyermark","87708","1960","11","21","South America","Venezuela","along Río Amacuro, above San José de Amacuro",NA,NA,"boxed","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2531179' target='other'> <mi>dwc_moreinfo</mi></a>","NY02320971","NY02320971_01 NY02320971_02 NY02320971_03",NA,"Delta Amacuro",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2016-11-07 15:37:00-02","NY","NYBG","02595542","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Mauritia","flexuosa","Mauritia flexuosa",NA,"T. L. P. Couvreur","194","2009","10","20","South America","Bolivia","Ixiamas","-68.06582","-13.12175","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1306120' target='other'> <mi>dwc_moreinfo</mi></a>","NY02595542","NY02595542_01",NA,"La Paz",NA,"188","188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","02320974","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Mauritia","flexuosa","Mauritia flexuosa","L.f.","J. G. Wessels Boer","1645","1963","08","30","South America","Trinidad and Tobago","Aripo savanna","-61.193151","10.611195","boxed","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2531182' target='other'> <mi>dwc_moreinfo</mi></a>","NY02320974","NY02320974_01 NY02320974_02 NY02320974_03 NY02320974_04 NY02320974_05",NA,NA,NA,NA,"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2016-09-30 19:07:00-03","NY","NYBG","02320959","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Mauritia","flexuosa","Mauritia flexuosa",NA,"T. J. Killeen","1409","1985","11","06","South America","Bolivia","Est. Las Madres, 12 km. N of Concepcion.","-62","-16","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2531155' target='other'> <mi>dwc_moreinfo</mi></a>","NY02320959","NY02320959_01 NY02320959_02 NY02320959_03 NY02320959_04 NY02320959_05",NA,"Santa Cruz","Ñuflo de Chávez","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2016-09-30 19:07:00-03","NY","NYBG","02320947","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Mauritia","flexuosa","Mauritia flexuosa",NA,"H. B. Pedersen","104010","1988","03","08","South America","Ecuador","INIAP-Payamino, near Coca at Coca-Loreto rd.","-77.1","-0.47","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2531143' target='other'> <mi>dwc_moreinfo</mi></a>","NY02320947","NY02320947_01",NA,"Napo",NA,"250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","01136887","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Mauritia","flexuosa","Mauritia flexuosa","L.f.","M. J. Balick","921",NA,NA,NA,"South America","Brazil",NA,NA,NA,"boxed","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1298538' target='other'> <mi>dwc_moreinfo</mi></a>","NY01136887","NY01136887_01 NY01136887_02",NA,"Pará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","02320952","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Mauritia","flexuosa","Mauritia flexuosa","L.f.","H. Balslev","4874","1984","02",NA,"South America","Ecuador","Along Rio Aguarico just below inlet of Rio Shushufindi. Tropical rainforest on terra firme along the river and primary swamp forest further inland.","-76.33","-0.3","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2531148' target='other'> <mi>dwc_moreinfo</mi></a>","NY02320952","NY02320952_01 NY02320952_02",NA,"Napo",NA,"300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2016-09-30 19:07:00-03","NY","NYBG","02320929","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Mauritia","flexuosa","Mauritia flexuosa",NA,"Collector unspecified","1231","1990","05","31","South America","Peru","Dtto. Fernando Lores, Río Amazonas, Isla de Aguajal","-72.35","-4.1","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2531121' target='other'> <mi>dwc_moreinfo</mi></a>","NY02320929","NY02320929_01",NA,"Loreto","Maynas","90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","02320934","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Mauritia","flexuosa","Mauritia flexuosa","L.f.","N. L. Britton","270","1920","03","05","South America","Trinidad and Tobago","Aripo Savanna.","-61.193151","10.611195","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2531129' target='other'> <mi>dwc_moreinfo</mi></a>","NY02320934","NY02320934_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2016-09-30 19:07:00-03","NY","NYBG","02320968","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Mauritia","flexuosa","Mauritia flexuosa",NA,"J. G. Wessels Boer","1917","1967","07","31","South America","Venezuela","Along road from Puerto Ayacucho to Sanariapo near crossing with Río Cataniapo","-67.6","5.58","boxed","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2531173' target='other'> <mi>dwc_moreinfo</mi></a>","NY02320968","NY02320968_01 NY02320968_02 NY02320968_03 NY02320968_04",NA,"Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","00567863","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Mauritia","flexuosa","Mauritia flexuosa","L.f.","J. A. Steyermark","90317","1961","12","28","South America","Venezuela","Sierra Ichún, cercanías del Salto María Espuma (Salto Ichún).","-63.3","4.77","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617945' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567863","NY00567863_01 NY00567863_02 NY00567863_03","F. Chávez",NA,NA,"500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","01136894","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Mauritia","flexuosa","Mauritia flexuosa","L.f.","A. J. Henderson","1173","1989","10","24","South America","Brazil","Reserva Ducke, near Manaus on road to Itacoatiara. Seedlings only, common by igarapé.","-59.9281883","-2.9548699","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1284446' target='other'> <mi>dwc_moreinfo</mi></a>","NY01136894","NY01136894_01",NA,"Amazonas","Manaus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","01136898","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Mauritia","flexuosa","Mauritia flexuosa","L.f.","M. J. Balick","916",NA,NA,NA,"South America","Brazil",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1298767' target='other'> <mi>dwc_moreinfo</mi></a>","NY01136898","NY01136898_01",NA,"Pará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2016-09-30 19:07:00-03","NY","NYBG","02320926","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Mauritia","flexuosa","Mauritia flexuosa",NA,"J. L. Luteyn","8707","1982","07","16","South America","Ecuador","Parq. Nac. Yasuni, Anango.","-76.42","-0.5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2531118' target='other'> <mi>dwc_moreinfo</mi></a>","NY02320926","NY02320926_01",NA,"Napo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2016-12-20 16:10:00-02","NY","NYBG","02320986","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Mauritia","flexuosa","Mauritia flexuosa",NA,"R. L. Liesner","19748","1985","11","08","South America","Venezuela","3 km S of El Puaji. Morichal","-61.58","4.5","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2531803' target='other'> <mi>dwc_moreinfo</mi></a>","NY02320986","NY02320986_01",NA,"Bolívar",NA,"900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","00756171","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Mauritia","flexuosa","Mauritia flexuosa","L.f.","M. T. V. do A. Campos","961","1998","09","15","South America","Brazil","Basin of Rio Juruá, Rio Gregório, Comunidade Indígena dos Yawanawá, Area do Mutum","-71.7414","-8.3817","boxed","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617939' target='other'> <mi>dwc_moreinfo</mi></a>","NY00756171","NY00756171_01 NY00756171_02","E. J. Ferreira","Acre","Tarauacá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2016-09-30 19:08:00-03","NY","NYBG","02320982","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Mauritia","flexuosa","Mauritia flexuosa",NA,"Omawale","219",NA,NA,NA,"South America","Guyana","Yaroweabra Highway, East Bank Demerara",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2531756' target='other'> <mi>dwc_moreinfo</mi></a>","NY02320982","NY02320982_01 NY02320982_02 NY02320982_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2016-09-30 19:07:00-03","NY","NYBG","02320972","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Mauritia","flexuosa","Mauritia flexuosa",NA,"M. J. G. Hopkins","174","1983","08","11","South America","Bolivia","Finca of Don Luís Olivarria, 3 km north of Ascención de los Guarayos","-63.08","-15.65","boxed","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2531180' target='other'> <mi>dwc_moreinfo</mi></a>","NY02320972","NY02320972_01 NY02320972_02 NY02320972_03 NY02320972_04 NY02320972_05",NA,"Santa Cruz","Nuflo de Chavez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","02320967","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Mauritia","flexuosa","Mauritia flexuosa","L.f.","E. W. Davis","1174","1981","06","04","South America","Bolivia","Ethnoecological Notes among the Chimane; Rio Chimane-environs Fatima",NA,NA,"boxed","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2531168' target='other'> <mi>dwc_moreinfo</mi></a>","NY02320967","NY02320967_01 NY02320967_02 NY02320967_03 NY02320967_04 NY02320967_05",NA,"El Beni","José Ballivián","320",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","00567864","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Mauritia","flexuosa","Mauritia flexuosa","L.f.","L. R. Noblick","4672","1988","10","27","South America","Brazil","Ponto de Pedra.","-45","-12.13","boxed","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617940' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567864","NY00567864_01 NY00567864_02 NY00567864_03","L. R. Noblick","Bahia","Barreiras","640","640",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2016-10-01 03:18:00-03","NY","NYBG","02622992","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Mauritia","flexuosa","Mauritia flexuosa",NA,"M. J. G. Hopkins","174","1983","08","11","South America","Bolivia","Finca of Don Luís Olivarria, 3 km north of Ascención de los Guarayos","-63.08","-15.65","wood sample","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2939254' target='other'> <mi>dwc_moreinfo</mi></a>","NY02622992",NA,NA,"Santa Cruz","Nuflo de Chavez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","02320931","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Mauritia","flexuosa","Mauritia flexuosa","L.f.","E. P. Killip","27171","1929","08","03","South America","Peru","Iquitos.","-73.287607","-3.762169","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2531123' target='other'> <mi>dwc_moreinfo</mi></a>","NY02320931","NY02320931_01",NA,"Loreto","Maynas","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2016-09-30 19:07:00-03","NY","NYBG","02320930","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Mauritia","flexuosa","Mauritia flexuosa",NA,"Collector unspecified","1282","1990","06","13","South America","Peru","Dtto. Fernando Lores, Río Amazonas, Isla de Aguajal","-72.35","-4.1","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2531122' target='other'> <mi>dwc_moreinfo</mi></a>","NY02320930","NY02320930_01",NA,"Loreto","Maynas","90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2016-09-30 19:07:00-03","NY","NYBG","02320928","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Mauritia","flexuosa","Mauritia flexuosa",NA,"M. J. Jansen-Jacobs","1862","1989","09","27","South America","Guyana","Gunn's, Essequibo River. Forest near airstrip.","-58.63","1.65","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2531120' target='other'> <mi>dwc_moreinfo</mi></a>","NY02320928","NY02320928_01",NA,NA,NA,"240","260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","01136896","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Mauritia","flexuosa","Mauritia flexuosa","L.f.","I. de J. Araujo","23","1973","09","27","South America","Brazil","Estrada Manaus-Caracaraí. Solo arenoso.","-60.6187391","-0.5799481","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1284037' target='other'> <mi>dwc_moreinfo</mi></a>","NY01136896","NY01136896_01",NA,"Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","00877967","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Mauritia","flexuosa","Mauritia flexuosa","L.f.","M. J. Balick","1624","1983","09","13","South America","Brazil","Posto Indígena Sao José, ca 20 km west of Tocantinópolis, (FUNAI Reservation - Apinaje Tribe).","-47.5","-6.5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945354' target='other'> <mi>dwc_moreinfo</mi></a>","NY00877967",NA,NA,"Tocantins","Tocantinópolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","1662622","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Mauritia","flexuosa","Mauritia flexuosa","L.f.","N. L. Britton","s.n.","1921","03","05","South America","Trinidad and Tobago",NA,NA,NA,"boxed","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1952581' target='other'> <mi>dwc_moreinfo</mi></a>","NY01662622","NY01662622_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","02320964","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Mauritia","flexuosa","Mauritia flexuosa","L.f.","Collector unknown","17","1992","07","17","South America","Bolivia","Los Huerferos","-69.22","-11.23","boxed","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2531163' target='other'> <mi>dwc_moreinfo</mi></a>","NY02320964","NY02320964_01 NY02320964_02 NY02320964_03",NA,"Pando","Nicolás Suárez","255",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2016-09-30 19:07:00-03","NY","NYBG","02320953","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Mauritia","flexuosa","Mauritia flexuosa",NA,"T. J. Killeen","3855","1992","04","09","South America","Bolivia","Campamento Santa Rosa, 4-5 horas arriba del Río Tuichi desde Rurrenabaque (por lanche)","-67.88","-14.45","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2531149' target='other'> <mi>dwc_moreinfo</mi></a>","NY02320953","NY02320953_01 NY02320953_02 NY02320953_03 NY02320953_04 NY02320953_05",NA,"La Paz","Franz Tamayo","336",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2016-09-30 19:07:00-03","NY","NYBG","02320955","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Mauritia","flexuosa","Mauritia flexuosa",NA,"J. G. Wessels Boer","662","1963","02","13","South America","Suriname","Brownsweg, near km 114","-55.17","4.92","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2531151' target='other'> <mi>dwc_moreinfo</mi></a>","NY02320955","NY02320955_01 NY02320955_02 NY02320955_03",NA,NA,NA,NA,"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
