"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","county","decimalLongitude","decimalLatitude","class","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount"
"12","2021-03-01 16:43:02-03","UNICAMP","UEC","173837","S","Plantae","Magnoliopsida",NA,"Vochysiaceae","Callisthene","castellanosii","Callisthene castellanosii","H.F.Martins","Martins, HF","Kuhlmann, M","1305","1945","01","25",NA,"Brazil","São Paulo","Entre Bofete e Guareí, Fazenda Cachoeira.",NA,"Árvore muito bonita e comum na região.","UEC089526","UEC089526",NA,NA,NA,NA,NA,"1988",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-01 16:43:02-03","UNICAMP","UEC","173838","S","Plantae","Magnoliopsida",NA,"Vochysiaceae","Callisthene","castellanosii","Callisthene castellanosii","H.F.Martins","Martins, HF","Koscinski, M","252",NA,NA,NA,NA,"Brazil","São Paulo","Serra do Japi.",NA,"Árvore alta, 10-25m alt., 20cm diâmetro.&nf;Nome vulgar: alecrim do mato.","UEC089524","UEC089524",NA,NA,NA,NA,NA,"1988",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-08-20 10:28:04-03","UNICAMP","UEC","173511","S","Plantae","Magnoliopsida",NA,"Vochysiaceae","Callisthene","castellanosii","Callisthene castellanosii","H.F.Martins","Shimizu, GH","Amaral Jr, A","1815","1974","10","24",NA,"Brazil","São Paulo",NA,NA,NA,"UEC089808","UEC089808",NA,"Botucatu","-48.439998626709","-22.8799991607666",NA,"2010","07",NA,"40412","auto",NA,NA,NA,NA,NA
"15","2019-08-20 10:28:04-03","UNICAMP","UEC","173487","S","Plantae","Magnoliopsida",NA,"Vochysiaceae","Callisthene","castellanosii","Callisthene castellanosii","H.F.Martins","Shimizu, GH","Amaral Jr, A","s.n.","1979","10","04",NA,"Brazil","São Paulo",NA,NA,NA,"UEC089784","UEC089784",NA,"Botucatu","-48.439998626709","-22.8799991607666",NA,"2010","07",NA,"40412","auto",NA,NA,NA,NA,NA
"16","2021-03-01 16:43:02-03","UNICAMP","UEC","173835","S","Plantae","Magnoliopsida",NA,"Vochysiaceae","Callisthene","castellanosii","Callisthene castellanosii","H.F.Martins","Shimizu, GH","Medina, JC","21300","1965","09",NA,NA,"Brazil","São Paulo","Rodovia Itú - Cabreúva.",NA,"Na mata.","UEC089523","UEC089523",NA,"Itu","-47.2900009155273","-23.2600002288818",NA,"2000","08",NA,"22309","auto",NA,NA,NA,NA,NA
"17","2021-03-01 16:43:02-03","UNICAMP","UEC","173814","S","Plantae","Magnoliopsida",NA,"Vochysiaceae","Callisthene","castellanosii","Callisthene castellanosii","H.F.Martins","Shimizu, GH","Souza, HM","21355","1970","10","13",NA,"Brazil","São Paulo","Estação Experimental do IAC.",NA,"Árvore ca. 10-12m de alt. Flores amarelas axilares, floresce em Outubro.","UEC089519","UEC089519",NA,"Jundiaí","-46.8800010681152","-23.1800003051758",NA,"2010","07",NA,"17840","auto",NA,NA,NA,NA,NA
"18","2021-03-01 16:43:02-03","UNICAMP","UEC","173839","S","Plantae","Magnoliopsida",NA,"Vochysiaceae","Callisthene","castellanosii","Callisthene castellanosii","H.F.Martins","Shimizu, GH","Souza, HM","s.n.","1970","10","13",NA,"Brazil","São Paulo","Nativa na Estação Experimental de Jundiaí.",NA,"Árvore; 10-12m.; flores amarelas axilares. Floresce em Outubro.","UEC089522","UEC089522",NA,"Jundiaí","-46.8800010681152","-23.1800003051758",NA,"2010","07",NA,"17840","auto",NA,NA,NA,NA,NA
"19","2021-03-01 16:43:02-03","UNICAMP","UEC","145872","S","Plantae","Magnoliopsida",NA,"Vochysiaceae","Callisthene","castellanosii","Callisthene castellanosii","H.F.Martins","Yamamoto, K","Baitello, JB","320","1989","09","24",NA,"Brazil","São Paulo","Serra do Japi, Região da hermida.",NA,"Árvore com aproximadamente 8m.",NA,NA,NA,"Jundiaí","-46.8800010681152","-23.1800003051758",NA,"2007",NA,NA,"17840","auto",NA,NA,NA,NA,NA
"20","2021-01-04 11:58:10-03","UFRPE","PEUFR","39799","PreservedSpecimen","Plantae",NA,NA,"Vochysiaceae","Callisthene","castellanosii","Callisthene castellanosii","H.F.Martins","M.C.H.Mamede","F.C. Hoehne.",NA,"1933","10","04",NA,"Brasil","São Paulo","Serra do Japy",NA,NA,"PEUFR039799","PEUFR039799_1","Isotype","Cabreuva","-47.1300010681152","-23.2999992370605",NA,"2000","10",NA,"16877","auto",NA,NA,NA,NA,NA
"21","2019-12-13 18:23:39-03","UTFPR","HCF","30088","S","Plantae",NA,NA,"Vochysiaceae","Callisthene","castellanosii","Callisthene castellanosii","H.F. Martins","M.L. Brotto","R.R. Völtz","1871","2018","10","09",NA,"Brasil","PR","Rio Tibagi",NA,"árvore 12 m alt. Ritidoma acinzentada, casca interna amarronzada, traçada de fibras mais claras. Botões florais flavos. Flores alvas com máculas amareladas. Borda de floresta.",NA,NA,NA,"Tibagi","-50.384444","-24.583889",NA,"2018","10","12",NA,NA,"50°23'04 W","24°35'02 S","735","735",NA
"22","2020-12-21 16:47:33-03","MBM","MBM","415048","PreservedSpecimen","Plantae",NA,NA,"Vochysiaceae","Callisthene","castellanosii","Callisthene castellanosii","H.F. Martins","Brotto, M.L.","Völtz, R.R.; Brotto, M.L.; Brotto, M.L.","1871","2018","10","09","Southern America","Brazil","Paraná","Rio Tibagi",NA,"Árvore 12 m alt; ritidoma azincentado, casca interna amarronzada, trançada de fibras mais claras; botões florais flavos, flores alvas com mácula amarelada; borda de floresta.; Ecotono Floresta Ombrófila Mista / Floresta Estacional Se","MBM415048","MBM415048",NA,"Tibagi","-50.384444","-24.583889",NA,"2018","10","12",NA,NA,"-50.384444","-24.583889","735","735",NA
"23","2020-06-22 14:18:55-03","UNESP-IBILCE","SJRP","24789","PreservedSpecimen","Plantae","Tracheophyta","Myrtales","Vockysiaceae","Callisthene","castellanosii","Callisthene castellanosii","H.F. Martins","M.C.H. Mamede","F.C. Hoehne",NA,NA,NA,NA,"América do Sul","Brasil","São Paulo","serra do japy",NA,"Nome vulgar: itapiuna;",NA,NA,NA,"Cabreúva","-47.1300010681152","-23.2999992370605","Magnoliopsida",NA,NA,NA,"16877","auto",NA,NA,NA,NA,NA
"24","2020-09-12 05:00:02-03","US","US","3404190","PreservedSpecimen","Plantae",NA,"Polygalales","Vochysiaceae","Callisthene","castellanosii","Callisthene castellanosii","H.F. Martins",NA,"F. C. Hoehne","s.n.","1933","10","4","South America - Neotropics","Brazil","São Paulo","Cabreúva, Serra do Japy.",NA,NA,"US00610833","US00610833_01","Isotype",NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"25","2021-03-23 11:51:26-03","USP","SPF","144000","PreservedSpecimen","Plantae",NA,NA,"Vochysiaceae","Callisthene","castellanosii","Callisthene castellanosii","H.F.Martins","Mamede, MCH","Hoehne, FC","s.n.","1933","10","04",NA,"Brasil","São Paulo","Serra do Japy.",NA,NA,"SPF00144000","SPF00144000","isotype","Cabreúva","-47.1300010681152","-23.2999992370605",NA,"2000","10",NA,"16877","auto",NA,NA,NA,NA,NA
"26","2021-03-25 13:53:48-03","UNIVILLE","JOI","17883","PreservedSpecimen","Plantae",NA,NA,"Vochysiaceae","Callisthene","castellanosii","Callisthene castellanosii","H.F.Martins","Vieira, F.C.S.","Vieira, F.C.S.","2296","2018","12","10",NA,"Brasil","Santa Catarina","Fazenda Cerro Verde.",NA,"Flor Botão Habitat: Floresta Ombrófila Mista Habito: Arbusto","JOI017883",NA,NA,"São Cristovão do Sul",NA,"-27.311389",NA,"2019","01","17",NA,NA,NA,"27º18'41''S","1100","1100",NA
"27","2019-01-25 15:47:29-02","IAC","IAC","14076","S","Plantae",NA,NA,"Vochysiaceae","Callisthene","castellanosii","Callisthene castellanosii","H.F.Martins","G.H. Shimizu","J.A. Cunha","156","1949","10","22",NA,"Brasil","São Paulo","Estação Experimental",NA,"nome popular: Itapiuna",NA,NA,NA,"Monte Alegre do Sul","-46.6808","-22.6819",NA,"2010","07","22",NA,NA,"-46.6808","-22.6819",NA,NA,NA
"28","2020-11-12 17:02:16-03","UEL","FUEL","48885","PreservedSpecimen","Plantae","Tracheophyta","Myrtales","Vochysiaceae","Callisthene","castellanosii","Callisthene castellanosii","H.F.Martins","Costa, NO","Ciello-Filho, R; Lima, CR; Baitello, JB","749","2008","05","29",NA,"Brasil","São Paulo","Estação Ecológica, trilha da vila",NA,NA,"FUEL000232",NA,NA,"Itapeva","-49.766667","-24.752778",NA,"2008","06","02",NA,NA,"-49.766667","-24.752778","750","750",NA
"29","2019-10-16 14:14:12-03","UEL","FUEL","31211","PreservedSpecimen","Plantae","Tracheophyta","Myrtales","Vochysiaceae","Callisthene","castellanosii","Callisthene castellanosii","H.F.Martins","Mamede, MCH","Hoehne, FC","s.n.","1933","10","04",NA,"Brasil","São Paulo","Serra do Japi",NA,NA,"FUEL031211",NA,"isotype","Cabreúva","-47.1300010681152","-23.2999992370605",NA,"2000","10",NA,"16877","auto",NA,NA,NA,NA,NA
"30","2019-11-01 15:11:43-03","UnB","UB","10586","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Vochysiaceae","Callisthene","castellanosii","Callisthene castellanosii","H.F. Martins","Mamede, MCH","Hoehne, FC","s.n.","1933","10","04","Southern America","Brasil","São Paulo","Cabreuva, Serra do Japy",NA,".",NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-08 15:44:12-03","MN","R-TIPOS","112770b","PreservedSpecimen","Plantae",NA,NA,"Vochysiaceae","Callisthene","castellanosii","Callisthene castellanosii","H.F. Martins","Martins, H.F.","Hoehne, F.C.","s.n.","1933","10","04",NA,"Brasil","São Paulo","Serra do Japi",NA,NA,"R000112770b","R000112770b_001","Isotypus","Cabreuva","-47.1300010681152","-23.2999992370605",NA,"2000","04",NA,"16877","auto",NA,NA,NA,NA,NA
"32","2021-03-08 15:44:12-03","MN","R-TIPOS","112770a","PreservedSpecimen","Plantae",NA,NA,"Vochysiaceae","Callisthene","castellanosii","Callisthene castellanosii","H.F. Martins","Martins, H.F.","Hoehne, F.C.","s.n.","1933","10","04",NA,"Brasil","São Paulo","Serra do Japi",NA,NA,"R000112770a","R000112770a_001","Isotypus","Cabreuva","-47.1300010681152","-23.2999992370605",NA,"2000","04",NA,"16877","auto",NA,NA,NA,NA,NA
"33","2021-03-08 15:44:10-03","MN","R-TIPOS","112770","PreservedSpecimen","Plantae",NA,NA,"Vochysiaceae","Callisthene","castellanosii","Callisthene castellanosii","H.F. Martins","Martins, H.F.","Hoehne, F.C.","s.n.","1933","10","04",NA,"Brasil","São Paulo","Serra do Japi",NA,NA,"R000112770","R000112770_001","Isotypus","Cabreuva","-47.1300010681152","-23.2999992370605",NA,"2000","04",NA,"16877","auto",NA,NA,NA,NA,NA
"34","2020-08-20 20:40:52-03","UFSC","FLOR","47393","PreservedSpecimen","Plantae",NA,"Myrtales","Vochysiaceae","Callisthene","castellanosii","Callisthene castellanosii","H.F.Martins","Vianna, M.C.","Klein, R.M.; Bresolin, A.","10727","1973","01","16",NA,"Brasil","Santa Catarina","Serraria Aleides Alves, Imaruí.",NA,"arvoreta, 6m altura","FLOR0047393",NA,NA,"Águas Mornas","-48.823600769043","-27.6938991546631",NA,"2000",NA,NA,"26556","auto",NA,NA,"50","50",NA
"35","2020-08-20 20:40:52-03","UFSC","FLOR","41171","PreservedSpecimen","Plantae",NA,"Myrtales","Vochysiaceae","Callisthene","castellanosii","Callisthene castellanosii","H.F.Martins","Vianna, M.C.","Klein, R.M.; Souza Sobrinho, R.J. de","10478","1972","12","15",NA,"Brasil","Santa Catarina","Bom Retiro.",NA,"árvore, flor branca, 15m altura. Com estípulas pequenas.","FLOR0041171",NA,NA,"Paulo Lopes","-48.6836013793945","-27.9617004394531",NA,"2000",NA,NA,"23385","auto",NA,NA,"400","400",NA
"36","2021-03-04 15:45:40-03","IF","SPSF","39743","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Callisthene","castellanosii","Callisthene castellanosii","H.F.Martins","G.H.Shimizu & K. Yamamoto","R.Cielo-Filho & J.B.Baitello & A.P.Ribeiro","705","2008","03","26","América do Sul","Brasil","SP","Estação Ecológica",NA,"COLETA: Árvore 3,5 m, casca lisa, fruto imaturo verde.;",NA,NA,NA,"Itapeva","-49.068056","-24.075278","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-04 15:45:40-03","IF","SPSF","40176","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Callisthene","castellanosii","Callisthene castellanosii","H.F.Martins","R.S.Almeida","R.Cielo-Filho & C.R.Lima & J.B.Baitello","741","2008","05","29","América do Sul","Brasil","SP","Estação Ecológica",NA,"COLETA: Árvore 12 m, fruto imaturo verde.; GEOGRAFIA: Trilha 01;",NA,NA,NA,"Itapeva","-49.068056","-24.080833","Magnoliopsida","2008","06","02",NA,NA,NA,NA,"700","700",NA
"38","2021-03-04 15:45:40-03","IF","SPSF","40181","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Callisthene","castellanosii","Callisthene castellanosii","H.F.Martins","R.S.Almeida","R.Cielo-Filho & C.R.Lima & J.B.Baitello","746","2008","05","29","América do Sul","Brasil","SP","Estação Ecológica",NA,"COLETA: Árvore 10 m, fruto verde e avermelhado.;",NA,NA,NA,"Itapeva","-49.0675","-24.079444","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-04 15:45:41-03","IF","SPSF","40184","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Callisthene","castellanosii","Callisthene castellanosii","H.F.Martins","N.O.Costa","R.Cielo-Filho & C.R.Lima & J.B.Baitello","749","2008","05","29","América do Sul","Brasil","SP","Estação Ecológica",NA,"COLETA: Arvoreta 2 m, fruto verde.;",NA,NA,NA,"Itapeva","-49.068333","-24.079722","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-04 15:45:41-03","IF","SPSF","42596","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Callisthene","castellanosii","Callisthene castellanosii","H.F.Martins","R.Cielo-Filho","J.B.Baitello & O.T. Aguiar & R.Cielo-Filho","2379","2009","09","22","América do Sul","Brasil","SP","Estação Experimental",NA,"COLETA: Árvore 4m. Flores amarelas perfumadas.; GEOGRAFIA: Trilha do poço da Peroba #?# Lajeado;",NA,NA,NA,"Itapeva","-49.070833","-24.051667","Magnoliopsida","2009","10","30",NA,NA,NA,NA,"700","700",NA
"41","2021-03-04 15:45:41-03","IF","SPSF","44757","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Callisthene","castellanosii","Callisthene castellanosii","H.F.Martins","R.Cielo-Filho","J.B.Baitello & C.R.Lima & R.Cielo-Filho","2532","2010","12","07","América do Sul","Brasil","SP","Estação Experimental",NA,"COLETA: Arbusto 2,5m, fruto negro; GEOGRAFIA: Cerradinho próximo a ponte antiga;",NA,NA,NA,"Itapeva","-49.073333","-24.045833","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-04 15:45:40-03","IF","SPSF","20457","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Callisthene","castellanosii","Callisthene castellanosii",NA,NA,"J.Cordeiro & E.Barbosa","1110","1993","10","21","América do Sul","Brasil","PR","Guartela, Canyon Rio Iapó",NA,"COLETA: XLS: SPSFAntigo&nf;Árvore 3m altura, flores alvas; GEOGRAFIA: mata ciliar, margens do rio.;",NA,NA,NA,"Tibagi","-50.4136009216309","-24.5093994140625","Magnoliopsida",NA,NA,NA,"56988","auto",NA,NA,NA,NA,NA
"43","2021-03-04 15:45:40-03","IF","SPSF","17511","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Callisthene","castellanosii","Callisthene castellanosii","H.F.Martins","G.H.Shimizu","E.L.M.Catharino","863","1986","07","09","América do Sul","Brasil","SP","Passa Cinco",NA,"COLETA: XLS: SPSFAntigo&nf;Margem do Ribeirão Passa Cinco.&nf;Arvoreta 5m altura; frutos.; GEOGRAFIA: Sítio do Sr. Antonio Cicolim&nf;EX-ESA;",NA,NA,NA,"Ipeúna","-47.7099990844727","-22.4300003051758","Magnoliopsida","2011","02","01","12906","auto",NA,NA,NA,NA,NA
"44","2021-03-04 15:45:40-03","IF","SPSF","13155","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Callisthene","castellanosii","Callisthene castellanosii","H.F.Martins","K.Yamamoto","J.B.Baitello","320","1989","09","14","América do Sul","Brasil","SP","Base Ecológica da Serra do Japi",NA,"COLETA: XLS: SPSFAntigo&nf;Árvore 8m. Altura;",NA,NA,NA,"Jundiaí","-46.8800010681152","-23.1800003051758","Magnoliopsida",NA,NA,NA,"17840","auto",NA,NA,NA,NA,NA
"45","2021-03-04 15:45:40-03","IF","SPSF","26265","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Callisthene","castellanosii","Callisthene castellanosii","H.F.Martins","K.Yamamoto","R.Fernandes","2","1999","12","27","América do Sul","Brasil","SP","Recanto das Siriemas",NA,"COLETA: Arvoreta, frutos;",NA,NA,NA,"São Pedro","-47.9099998474121","-22.5400009155273","Magnoliopsida",NA,NA,NA,"19379","auto",NA,NA,NA,NA,NA
"46","2008-07-02 11:11:15-03","CAS","CAS-BOT","795","PreservedSpecimen","Plantae","Magnoliophyta","Polygalales","Vochysiaceae","Callisthene","castellanosii","Callisthene castellanosii","H. F. Martins","F. C. Hoehne","Hoehne, Frederico Carlos","s.n.","1933","10",NA,"South America","Brazil","São Paulo","Cabreúva, Serra do Japy.",NA,"Nome vulgar: Itapiuna. Herb. no. 31011.",NA,NA,"isotype",NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2020-04-30 16:08:01-03","UFMT","CNMT","964","S","Plantae","Angiosperma",NA,"Vochysiaceae","Callisthene","castellanosii","Callisthene castellanosii","H.F.Martins.","Viana,M.C","Brito Pereira,C.E.",NA,"1998","03","27",NA,"Brasil","Mato Grosso",NA,NA,"Botões florais verdes com escamas no caule e no pecíolo.","CNMT000964",NA,NA,"Serra do Cipó","-58.258639","-9.819417",NA,NA,NA,NA,NA,NA,"58°15'31.1W","09°49'09.9S",NA,NA,NA
"48","2019-11-21 10:19:52-03","IBt","SP","31011","S","Plantae",NA,NA,"Vochysiaceae","Callisthene","castellanosii","Callisthene castellanosii","H.F.Martins","Martins, HF","Hoehne, FC","s.n.","1933","10","04",NA,"Brasil","São Paulo","Serra do Japi",NA,NA,"SP001696","SP001696","Holotype","Cabreúva","-47.1300010681152","-23.2999992370605",NA,"1988",NA,NA,"16877","auto",NA,NA,NA,NA,NA
