"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","class","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","typeStatus"
"23","2021-03-21 19:38:56-03","UFC","EAC","32691","PreservedSpecimen","Plantae","Dicotyledon",NA,"Smilacaceae","Smilax","japicanga","Smilax japicanga","Griseb.","Lima-Verde, L.W.; Costa, I.R.","Costa, I.R.","98","2001","11","02","Southern America","Brasil","Ceará","Barbalha","FLONA do Araripe","-39.30419921875","-7.31111001968384",NA,NA,NA,"Cerrado","EAC0032691","EAC0032691","22868","auto",NA,"2001",NA,NA,"11","02",NA
"24","2021-03-21 19:38:56-03","UFC","EAC","32682","PreservedSpecimen","Plantae","Dicotyledon",NA,"Smilacaceae","Smilax","japicanga","Smilax japicanga","Griseb.","Lima-Verde, L.W.; Costa, I.R.","Costa, I.R.","140","2001","01","10","Southern America","Brasil","Ceará","Barbalha","FLONA do Araripe","-39.30419921875","-7.31111001968384",NA,NA,NA,"Cerrado","EAC0032682","EAC0032682","22868","auto",NA,"2001",NA,NA,"01","10",NA
"25","2021-03-21 19:38:56-03","UFC","EAC","20827","PreservedSpecimen","Plantae","Dicotyledon",NA,"Smilacaceae","Smilax","japicanga","Smilax japicanga","Griseb.","Lima-Verde, L.W.","Sá, I.M.B.","121","1993","08","27","Southern America","Brasil","Ceará","Fortaleza","Cidade dos Funcionários","-38.543098449707","-3.71722006797791",NA,NA,NA,"Cipó","EAC0020827","EAC0020827","19924","auto",NA,"1993",NA,NA,NA,NA,NA
"26","2021-03-21 19:38:56-03","UFC","EAC","16271","PreservedSpecimen","Plantae","Dicotyledon",NA,"Smilacaceae","Smilax","japicanga","Smilax japicanga","Griseb.",NA,"Miguel","s.n.","1990","05","02","Southern America","Brasil","Ceará","Fortaleza","Horto de Plantas Medicinais-UFC, Campus do Pici.","-38.543098449707","-3.71722006797791",NA,NA,NA,"Escandente, flor marrom depois azul, ramo florífero, planta medicinal; Canteiro","EAC0016271","EAC0016271","19924","auto",NA,NA,NA,NA,NA,NA,NA
"27","2021-03-21 19:38:56-03","UFC","EAC","32242","PreservedSpecimen","Plantae","Dicotyledon",NA,"Smilacaceae","Smilax","japicanga","Smilax japicanga","Griseb.","Matos, F.J.A.","Matos, F.J.A.","s.n.",NA,NA,NA,"Southern America","Brasil","Ceará","Fortaleza","Horto de Plantas Medicinais-UFC, Campus do Pici., Substrato arenoso, relevo plano","-38.543098449707","-3.71722006797791",NA,NA,NA,"Trepadeira policaulinar, flor creme, planta medicinal; Campo cultivado","EAC0032242","EAC0032242","19924","auto",NA,NA,NA,NA,NA,NA,NA
"28","2020-12-11 11:45:23-03","UFMG","BHCB","16152","PreservedSpecimen","Plantae","Monocotyledon",NA,"Smilacaceae","Smilax","japicanga","Smilax japicanga","Griseb.",NA,"Uscanaldo","s.n.","1986","10",NA,"Southern America","Brasil","Minas Gerais","Sete Lagoas",NA,"-44.2467002868652","-19.465799331665",NA,NA,NA,NA,NA,NA,"22227","auto",NA,NA,NA,NA,NA,NA,NA
"29","2020-03-11 09:01:40-03","URCA","HCDAL","9839","PreservedSpecimen","Plantae",NA,NA,"Smilacaceae","Smilax","japicanga","Smilax japicanga","Griseb.",NA,"Ribeiro, D. .A.","HCDAL9839","2013","01","18",NA,"Brasil","Ceará","Nova Olinda/ Santana do Cariri","Chapada do Araripe.",NA,NA,NA,NA,NA,"Escandente.; Cerrado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-03-11 09:01:36-03","URCA","HCDAL","10154","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Smilax","japicanga","Smilax japicanga","Griseb.",NA,"Macêdo, D. .G.","70","2013","01","31",NA,"Brasil","Ceará","Barbalha","Chapada do Araripe.","-39.30419921875","-7.31111001968384",NA,NA,NA,"Liana; fruto verde.; Cerrado",NA,NA,"22868","auto",NA,NA,NA,NA,NA,NA,NA
"31","2020-08-31 09:20:05-03","INPA","INPA","41267","S","Plantae","Monocotyledon","Liliales","Smilacaceae","Smilax","japicanga","Smilax japicanga","Griseb.",NA,"Prance, GT","17963","1973","09","15","Southern America","Brasil","Amazonas",NA,"Boca of Rio Brancinho, 2 km below, 2 km. from rio Cuieiras at 2 km. below mouth of rio Brancnho. Low forest on sandy soil, terra firme.","-60.540631","-2.941967",NA,NA,NA,NA,"INPA0041267","INPA0041267 INPA0041267_e",NA,NA,NA,NA,"-60.540631","-2.941967",NA,NA,NA
"32","2019-12-11 13:21:46-03","ICAUFMG","MCCA","3246","S","Plantae",NA,NA,"Smilacaceae","Smilax","japicanga","Smilax japicanga","Griseb.",NA,"SILVA, H.I.R.; SILVEIRA, J.E.",NA,"2017","11","12",NA,"Brasil","Minas Gerais","Bonito de Minas","APA Pandeiros Vereda Almescla.","-44.7543983459473","-15.3233003616333",NA,NA,NA,NA,"MCCA03402","MCCA03402","95199","auto",NA,NA,NA,NA,NA,NA,NA
