"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","coordinatePrecision","geoFlag","typeStatus","individualCount","previousCatalogNumber"
"11","2015-09-04 22:18:33-03","MNHN","RECOLNAT_MNHN_P","P00117132","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Leandra","riedeliana","Leandra riedeliana","Cogn.","Wurdack","Glaziou, A.",NA,"1883","1","6",NA,"Brésil",NA,"Prov. Rio de Janeiro, sommet du Morro do Retiro, près de Pétropolis",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00117132' target='other'> <mi>dwc_moreinfo</mi></a>","P00117132","P00117132_01",NA,NA,NA,NA,NA,NA,NA,"13846",NA,NA,NA,NA,NA
"12","2015-09-04 22:18:33-03","MNHN","RECOLNAT_MNHN_P","P00117133","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Leandra","riedeliana","Leandra riedeliana","Cogn.","Wurdack","Glaziou, A.",NA,"1883","1","6",NA,"Brésil",NA,"Prov. Rio de Janeiro, sommet du Morro do Retiro, près de Pétropolis",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00117133' target='other'> <mi>dwc_moreinfo</mi></a>","P00117133","P00117133_01",NA,NA,NA,NA,NA,NA,NA,"13846",NA,NA,NA,NA,NA
"13","2016-07-29 11:38:01-03","MNHN","RECOLNAT_MNHN_P","P00117134","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Leandra","riedeliana","Leandra riedeliana","Cogn.","Wurdack","Glaziou, A.",NA,"1883","1","6",NA,"Brésil",NA,"Prov. Rio de Janeiro, sommet du Morro do Retiro, près de Pétropolis",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00117134' target='other'> <mi>dwc_moreinfo</mi></a>","P00117134","P00117134_01",NA,NA,NA,NA,NA,NA,NA,"13846",NA,NA,NA,NA,NA
"14","2015-09-04 22:22:02-03","MNHN","RECOLNAT_MNHN_P","P05210209","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Leandra","riedeliana","Leandra riedeliana","Cogn.",NA,"Saint-Hilaire",NA,"1816","1","1",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05210209' target='other'> <mi>dwc_moreinfo</mi></a>","P05210209","P05210209_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2015-09-04 22:22:03-03","MNHN","RECOLNAT_MNHN_P","P05210210","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Leandra","riedeliana","Leandra riedeliana","Cogn.",NA,"Glaziou, A.",NA,"1887","12","20",NA,"Brasil","Rio de Janeiro","Alto Macahé.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05210210' target='other'> <mi>dwc_moreinfo</mi></a>","P05210210","P05210210_01",NA,NA,NA,NA,NA,NA,NA,"16919",NA,NA,NA,NA,NA
"16","2015-09-04 22:22:03-03","MNHN","RECOLNAT_MNHN_P","P05210211","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Leandra","riedeliana","Leandra riedeliana","Cogn.",NA,"Glaziou, A.",NA,"1887","12","20",NA,"Brasil","Rio de Janeiro","Alto Macahé.","-42.5311012268066","-22.2819004058838",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05210211' target='other'> <mi>dwc_moreinfo</mi></a>","P05210211","P05210211_01","Nova Friburgo",NA,NA,NA,NA,NA,NA,"16919","33190","auto",NA,NA,NA
"17","2020-12-11 11:38:15-03","UFMG","BHCB","200576","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Leandra","riedeliana","Leandra riedeliana","Cogn.",NA,"Baumgratz, JFA; Nadruz, M; Meneguzzo, T; Gonzaga, DR","1404-A","2015","04","01","Southern America","Brasil","Minas Gerais","APA da Mantiqueira, Serra Fina, caminho para a Toca do Lobo.","-44.908333","-22.463889","1586","1586",NA,"Arbusto ca. 1 m. alt., esciófilo; ramos, pecíolos e inflorescências verdes; folhas verdes discolares; frutos jovens verdes, maduros nigrescentes.; Floresta ombrófila alterada.","BHCB200576",NA,"Passa Quatro",NA,"2015",NA,NA,"-44.908333","-22.463889",NA,NA,NA,NA,NA,NA
"18","2021-02-11 17:19:48-03","UFPR","UPCB","80491","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Leandra","riedeliana","Leandra riedeliana","(Triana) Cogn.","Reginato, M.","Pirani, J.R.","5952","2009","02","10",NA,"Brasil","Minas Gerais","Parque Estadual do Itambé, trilha subindo pela encosta do pico, próximo à Ponte do Rebentão (pequena ponte suspensa). Elev.: 1804m. Campo rupestre e grandes afloramentos rochosos.","-43.341","-18.399",NA,NA,NA,"Arbusto globoso, 1,2m alt. Cálice e pedúnculo ocre-pálico, pétalas e estames alvos..","UPCB0014448","UPCB0014448","Santo Antônio do Itambé",NA,"2016",NA,NA,"-43.341","-18.399",NA,NA,NA,NA,NA,NA
"19","2021-02-11 17:19:48-03","UFPR","UPCB","72961","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Leandra","riedeliana","Leandra riedeliana","(Triana) Cogn.","Reginato, M.","Reginato, M.","1354","2012","02","17",NA,"Brasil","Minas Gerais","P.E. do Ibitipoca. Trilha para a Ponte de Pedra","-43.793098449707","-21.8425006866455",NA,NA,NA,"Arbusto 1m com frutos imaturos, mata de altitude, local úmido..","UPCB0014447","UPCB0014447","Lima Duarte",NA,"2012","03","01",NA,NA,NA,"30417","auto",NA,NA,NA
"20","2008-05-27 22:02:00-03","MO","MOBOT","3231016","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Leandra","riedeliana","Leandra riedeliana","(Triana) Cogn.","V. Norlind","Per Dusén","Dusén 1184a","1914",NA,NA,"South America","Brazil","Paraná","Villa Volha in campo.",NA,NA,"875.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-06-27 17:31:00-03","MO","MOBOT","101138445","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","leariedeliana","Miconia leariedeliana","R. Goldenb.","fide Michelangeli et al.","Peter Clausen","Clausen 6","1840",NA,NA,"South America","Brazil","Minas Gerais","without locality",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Original Material","1",NA
"22","2020-07-10 09:47:25-03","MBML","MBML-HERBARIO","35922",NA,"Plantae",NA,NA,"Melastomataceae","Leandra","riedeliana","Leandra riedeliana","Cogn.","R. Goldenberg/2015","L. Kollmann; A.P. Fontana, C. Fraga & M. Simonelli","10449","2008","01","24",NA,"Brasil","Espírito Santo","Patrimônio da Penha, Parque Nacional do Caparão, Facão de Pedra","-41.791111","-20.618611",NA,NA,NA,"Arbusto 2 m, flores brancas.","MBML035922","MBML035922","Divino de São Lourenço",NA,NA,NA,NA,"41W47'28","20S37'7",NA,NA,NA,NA,NA,NA
"23","2020-09-12 05:00:02-03","US","US","286945","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Leandra","riedeliana","Leandra riedeliana","Cogn.",NA,"Sello, --","s.n.",NA,NA,NA,"South America - Neotropics","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"US01904530","US01904530_01 US01904530_02",NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"24","2020-09-12 05:00:02-03","US","US","1055665","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Leandra","riedeliana","Leandra riedeliana","Cogn.",NA,"P. K. Dusén","7350","1908","12","5","South America - Neotropics","Brazil","Paraná","Serrinha",NA,NA,NA,NA,NA,NA,"US01904531","US01904531_01 US01904531_02",NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"25","2019-09-04 19:30:16-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Melastomataceae","Leandra","riedeliana","Leandra riedeliana",NA,NA,"P. C. D. Clausen","6",NA,NA,NA,"South America","Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,"Type [status unknown]",NA,NA
"26","2015-12-16 13:39:31-02","F","FMNH-SEEDPLANTS","V0133588F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Melastomataceae","Leandra","riedeliana","Leandra riedeliana",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0133588F","V0133588F_01 V0133588F_02",NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2016-08-23 10:59:46-03","NHMLondon","NHM-LONDON-BOT","BM000884503","S","Plantae",NA,NA,"Melastomataceae","Leandra","riedeliana","Leandra riedeliana","(Triana) Cogn.",NA,"P. Claussen","6","1840",NA,NA,NA,"Brasil","Minas Gerais",NA,"-44.096503","-19.690239",NA,NA,NA,"<a href=http://www.nhm.ac.uk/services/media-store/asset/bed641e1a91856388e2093d493969c79b1339a33/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"2005",NA,NA,"-44.096503","-19.690239",NA,NA,NA,"Type",NA,"NHMUK:ecatalogue:4994243"
