"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","fieldNumber","dayIdentified","individualCount","typeStatus","sex"
"11","2020-12-21 16:13:15-03","MBM","MBM","411928","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","parvum","Anthurium parvum","N.E. Br.","Temponi, L.G.","Temponi, L.G.; Poli, L.P.; Coan, A.I.; Lombardi, J.A.; Poli, L.P.; Coan, A.I.; Lombardi, J.A.","975","2011","04","11","Southern America","Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra do Órgãos, Estrada para as trilhas de visitação.","-42.9655990600586","-22.4122009277344",NA,NA,NA,"Erva terreste. Nervura principal cilindrica em ambas as faces, lâmina discolor, nervuras secundárias marcadas na face adaxial e proeminentes na face abaxial, pedúnculo e espádice vináceo.","MBM411928","MBM411928",NA,NA,NA,"2011","04","38539","auto",NA,NA,NA,NA,NA
"12","2020-12-21 16:13:15-03","MBM","MBM","397115","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","parvum","Anthurium parvum","N.E. Br.","Temponi, L.G.","Temponi, L.G.; Cardozo, M.N.; Saka, M.N.; Lombardi, L.A.; Cardozo, M.N.; Saka, M.N.; Lombardi, L.A.","1028","2011","07","12","Southern America","Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos, trilha suspensa","-42.9655990600586","-22.4122009277344",NA,NA,NA,"Erva, terrestre, lâmina cartácea, discolor, nervuras sulcadas na face adaxial e proeminente na abaxial. Pecíolo e pedúnculo avermelhado. Espádice e espata vináceos.","MBM397115",NA,NA,NA,NA,"2011","07","38539","auto",NA,NA,NA,NA,NA
"13","2015-11-19 14:53:38-02","MNHN","RECOLNAT_MNHN_P","P02136474","PreservedSpecimen",NA,NA,NA,"Araceae","Anthurium","parvum","Anthurium parvum","N.E.Br.","Mayo & Andrade","Glaziou, A.F.M.",NA,"1876","11","7",NA,"Brésil",NA,NA,"S. Christovao. R.J.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02136474' target='other'> <mi>dwc_moreinfo</mi></a>","P02136474","P02136474_01 P02136474_02",NA,NA,NA,NA,NA,NA,NA,"9031",NA,NA,NA,NA
"14","2015-09-03 19:08:34-03","MNHN","RECOLNAT_MNHN_P","P02136475","PreservedSpecimen",NA,NA,NA,"Araceae","Anthurium","parvum","Anthurium parvum","N.E.Br.","Mayo & Andrade","Glaziou, A.F.M.",NA,"1876","11","7",NA,"Brésil",NA,NA,"S. Christovao. R.J.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02136475' target='other'> <mi>dwc_moreinfo</mi></a>","P02136475","P02136475_01 P02136475_02",NA,NA,NA,NA,NA,NA,NA,"9031",NA,NA,NA,NA
"15","2015-09-03 19:12:16-03","MNHN","RECOLNAT_MNHN_P","P02136590","PreservedSpecimen",NA,NA,NA,"Araceae","Anthurium","parvum","Anthurium parvum","N.E.Br.","Andrade & Mayo","Engler",NA,NA,NA,NA,NA,"Brasil",NA,NA,"Brasilia meridionalis.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02136590' target='other'> <mi>dwc_moreinfo</mi></a>","P02136590","P02136590_01",NA,NA,NA,NA,NA,NA,NA,"298",NA,NA,NA,NA
"16","2015-12-11 16:42:01-02","MNHN","RECOLNAT_MNHN_P","P02136592","PreservedSpecimen",NA,NA,NA,"Araceae","Anthurium","parvum","Anthurium parvum","N.E.Br.","Andrade & Mayo","Glaziou",NA,"1880","6","29",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02136592' target='other'> <mi>dwc_moreinfo</mi></a>","P02136592","P02136592_01",NA,NA,NA,NA,NA,NA,NA,"11639",NA,NA,NA,NA
"17","2015-09-03 19:12:16-03","MNHN","RECOLNAT_MNHN_P","P02136595","PreservedSpecimen",NA,NA,NA,"Araceae","Anthurium","parvum","Anthurium parvum","N.E.Br.","Andrade & Mayo",NA,NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro","Teresópolis",NA,"-42.9655990600586","-22.4122009277344",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02136595' target='other'> <mi>dwc_moreinfo</mi></a>","P02136595","P02136595_01",NA,NA,NA,NA,NA,"38539","auto",NA,NA,NA,NA,NA
"18","2015-12-11 16:42:01-02","MNHN","RECOLNAT_MNHN_P","P02136593","PreservedSpecimen",NA,NA,NA,"Araceae","Anthurium","parvum","Anthurium parvum","N.E.Br.","Andrade & Mayo","Glaziou, A.",NA,"1879","5","1",NA,"Brasil","Rio de Janeiro","Teresópolis","Brésil, RJ, Theresopolis.","-42.9655990600586","-22.4122009277344",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02136593' target='other'> <mi>dwc_moreinfo</mi></a>","P02136593","P02136593_01",NA,NA,NA,NA,NA,"38539","auto","11639",NA,NA,NA,NA
"19","2015-12-11 16:42:01-02","MNHN","RECOLNAT_MNHN_P","P02136594","PreservedSpecimen",NA,NA,NA,"Araceae","Anthurium","parvum","Anthurium parvum","N.E.Br.","Andrade & Mayo","Glaziou, A.",NA,"1874","5","1",NA,"Brasil","Rio de Janeiro","Teresópolis","Brésil. R.J. Theresopolis. Prob [pire] Nascimento.","-42.9655990600586","-22.4122009277344",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02136594' target='other'> <mi>dwc_moreinfo</mi></a>","P02136594","P02136594_01",NA,NA,NA,NA,NA,"38539","auto","11639",NA,NA,NA,NA
"20","2020-12-11 11:43:22-03","UFMG","BHCB","171082","PreservedSpecimen","Plantae","Monocotyledon",NA,"Araceae","Anthurium","parvum","Anthurium parvum","N.E.Br.",NA,"Dinato, DO; Oliveira, CC; Rissi, MN; Temponi, LG; Saka, MN","21","2012","10","22","Southern America","Brasil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos, Trilha Suspensa.","-43.000833","-22.270833","1146","1146",NA,"Terrícola, folhas papiráceas, discolores, base do pecíolo e do pedúnculo vináceas, pecíolo cilíndrico. Genículo enegrecido, espata vinácea, espádice vinho. Fruto imaturo vináceo.; Mata atlântica.","BHCB015577",NA,NA,"-43.000833","-22.270833","2012","10",NA,NA,NA,NA,NA,NA,NA
"21","2021-02-11 17:17:54-03","UFPR","UPCB","81216","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","parvum","Anthurium parvum","N.E.Br.","Temponi, L.","Dinato, D.O.","21","2012","10","22",NA,"Brasil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos. Trilha Suspensa.","-43.001","-22.271","1146","1146",NA,"PRENSADO EM ÁLCOOL. Amostra em sílica. Mata Atlântica. Terrícola, folhas papiráceas, discolores, base do pecíolo e do pedúnculo vináceas, pecíolo cilíndrico. Genículo enegrecido, espata vinácea, espádice vinho. Fruto imaturo vináceo.","UPCB0030045","UPCB0030045",NA,"-43.001","-22.271","2012","10",NA,NA,NA,NA,NA,NA,NA
"22","2021-02-11 17:17:54-03","UFPR","UPCB","81688","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","parvum","Anthurium parvum","N.E.Br.","Cardozo, A. P.","Cardozo, A.P.","43","2012","05","20",NA,"Brasil","Rio de Janeiro","Macaé de Cima","Sítio Verdum","-42.53","-22.427",NA,NA,NA,"Folhas verdes, coriácea, pecíolo vináceo, espádice jovem vinácea, espata vinácea com estrias esverdeadas.",NA,NA,NA,"-42.530","-22.427","2012","05",NA,NA,NA,"25",NA,NA,NA
"23","2020-05-30 04:37:00-03","MO","MOBOT","362466","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","nanospadix","Anthurium nanospadix","Engl.",NA,"Ernst Üle","Üle 4151","1896","12",NA,"South America","Brazil","Rio de Janeiro",NA,"No alto da Serra dos Orgãos.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2016-09-14 05:18:00-03","MO","MOBOT","2793049","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","parvum","Anthurium parvum","N.E. Br.","T. Croat","Paul J. M. Maas","Maas 3342","1977","10","20","South America","Brazil","Rio de Janeiro",NA,"Mun. Terezopolis, Parque Nacional da Serra dos Orgaõs, Rio Beijaflor, forest.",NA,NA,"1100.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"25","2010-07-19 12:57:00-03","MO","MOBOT","2793056","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","parvum","Anthurium parvum","N.E. Br.","T. Croat","Timothy C. Plowman|Gustavo Martinelli","Plowman 10126","1980","4","22","South America","Brazil","Rio de Janeiro",NA,"Municipio de Petrópolis: Estrada Frazenda Inglesa-Pati de Alferes. Floresta sob Regime de Preservação Permanente do IBDF. Mata úmida.",NA,NA,"1180.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2009-07-27 09:32:00-03","MO","MOBOT","3004963","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","parvum","Anthurium parvum","N.E. Br.",NA,"Auguste F.M. Glaziou","Glaziou 11639","1861",NA,NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-11-10 04:40:00-03","MO","MOBOT","375961","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","parvum","Anthurium parvum","N.E. Br.","T. Croat","H. C. de Lima|et al.","Lima 3604","1989","6","8","South America","Brazil","Rio de Janeiro",NA,"Dist. Macaé de Cima, Sítio Sophronites, picada para a Pedra da Bicuda. Mata baixa de altitude.",NA,NA,"1100.00000000","1350.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2018-12-10 13:05:00-02","MO","MOBOT","101086049","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","parvum","Anthurium parvum","N.E. Br.",NA,"Alexander C. Brade","Brade 16600",NA,NA,NA,"South America","Brazil","Paraíba","Bananeiras",NA,"-35.63330078125","-6.75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19965","auto",NA,NA,NA,NA,NA
"29","2018-12-10 13:05:00-02","MO","MOBOT","101086739","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","parvum","Anthurium parvum","N.E. Br.",NA,"Apparicio P. Duarte","Duarte 3736",NA,NA,NA,"South America","Brazil","Rio de Janeiro","Petrópolis",NA,"-43.1786003112793","-22.5049991607666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36524","auto",NA,NA,NA,NA,NA
"30","2020-05-02 04:38:00-03","MO","MOBOT","101089000","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","parvum","Anthurium parvum","N.E. Br.",NA,"Lívia G. Temponi|et al.","Temponi 316",NA,NA,NA,"South America","Brazil","Rio de Janeiro","Teresópolis",NA,"-42.9655990600586","-22.4122009277344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38539","auto",NA,NA,NA,NA,NA
"31","2018-12-10 13:05:00-02","MO","MOBOT","101086919","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","parvum","Anthurium parvum","N.E. Br.",NA,"Pedro Fiaschi|Adriana Lobão","Fiaschi 3162",NA,NA,NA,"South America","Brazil","Rio de Janeiro","Teresópolis",NA,"-42.9655990600586","-22.4122009277344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38539","auto",NA,NA,NA,NA,NA
"32","2018-12-10 13:05:00-02","MO","MOBOT","101088690","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","parvum","Anthurium parvum","N.E. Br.",NA,"Unknown","Unknown 11473",NA,NA,NA,"South America","Brazil","Rio de Janeiro","Teresópolis",NA,"-42.9655990600586","-22.4122009277344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38539","auto",NA,NA,NA,NA,NA
"33","2016-08-10 07:10:00-03","MO","MOBOT","2946138","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","theresiopolitanum","Anthurium theresiopolitanum","Engl.",NA,"J.H.R. Schenck","Schenck 2604",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Holotype",NA
"34","2008-05-27 22:02:00-03","MO","MOBOT","922889","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","theresiopolitanum","Anthurium theresiopolitanum","Engl.","Graziela","Alexander C. Brade","Brade 9280","1929",NA,NA,"South America","Brazil",NA,NA,"Est. de Rio: Therezopolis Cyrauja Guarany (handwriting hard to read)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2008-05-27 22:02:00-03","MO","MOBOT","922929","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","theresiopolitanum","Anthurium theresiopolitanum","Engl.","T.B. Croat","J. Barria","Barria 110","1970","9","6","South America","Brazil","Rio de Janeiro",NA,"Parque Nacional da Serra dos Orgaos.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2018-09-12 14:47:59-03","UNIOESTE","UNOP","968","S","Plantae",NA,NA,"Araceae","Anthurium","parvum","Anthurium parvum","N.E.Br.","Temponi, L.G.","Grupo Verde; Dinato, D.O.; Oliveira, C.C.; Rissi, M.N.; Temponi, L.; Saka, M.N.; Dinato, D.O.; Oliveira, C.C.; Rissi, M.N.; Temponi, L.; Saka, M.N.","21","2012","10","22",NA,"Brasil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos. Trilha Suspensa.","-22.270833","-43.000833","1146","1146",NA,"PRENSADO EM ÁLCOOL. Amostra sílica. Mata Atlântica. Terricola, folhas papiráceas, discolores, base do pecíolo e do pedúnculo vináceas, pecíolo cilíndrico. Genículo enegrecido, espata vinácea, espádice vinho. Fruto imaturo vináceo.",NA,NA,NA,"-22.270833","-43.000833","2012","10",NA,NA,NA,NA,NA,NA,NA
"37","2015-10-22 10:02:28-02","UNIOESTE","UNOP","6931","S","Plantae",NA,NA,"Araceae","Anthurium","parvum","Anthurium parvum","N.E.Br.","Temponi, L.G.","Temponi, L.G.; et al.; et al.","975","2011","04","11",NA,"Brasil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos, estrada para trilhas de visitação.","-42.9655990600586","-22.4122009277344",NA,NA,NA,"Erva, terrestre. Nervura principal cilíndrica em ambas as faces, lâmina discolor, nervuras secundárias marcadas na adaxial e proeminentes na abaxial, pedúnculo e espádice vináceo.",NA,NA,NA,NA,NA,"2011","04","38539","auto",NA,NA,NA,NA,NA
"38","2015-10-22 10:02:28-02","UNIOESTE","UNOP","7170","S","Plantae",NA,NA,"Araceae","Anthurium","parvum","Anthurium parvum","N.E.Br.","Temponi, L.G.","Temponi, L.G.; et al.; et al.","1033","2011","07","14",NA,"Brasil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos. Trilha para pedra do sino.","-42.9655990600586","-22.4122009277344",NA,NA,NA,"Erva, terrestre. Lâmina cartácea, discolor, nervuras sulcadas na face adaxial e proeminente na abaxial. Pecíolo e pedúnculo avermelhados. Espádice e espata vináceos.",NA,NA,NA,NA,NA,"2011","07","38539","auto",NA,NA,NA,NA,NA
"39","2015-10-22 10:02:28-02","UNIOESTE","UNOP","6927","S","Plantae",NA,NA,"Araceae","Anthurium","parvum","Anthurium parvum","N.E.Br.","Temponi, L.G.","Temponi, L.G.; et al.; et al.","987","2011","04","14",NA,"Brasil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos. Trilha suspensa.","-42.9655990600586","-22.4122009277344",NA,NA,NA,"Erva, terrestre. Nervura principal cilíndrica em ambas as faces, lâmina discolor, nervuras secundárias marcadas na adaxial e proeminentes na abaxial pedúnculo e espádice vináceo.",NA,NA,NA,NA,NA,"2011","04","38539","auto",NA,NA,NA,NA,NA
"40","2015-10-22 10:02:28-02","UNIOESTE","UNOP","7163","S","Plantae",NA,NA,"Araceae","Anthurium","parvum","Anthurium parvum","N.E.Br.","Temponi, L.G.","Temponi, L.G.; et al.; et al.","1028","2011","07","12",NA,"Brasil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos. Trilha suspensa.","-42.9655990600586","-22.4122009277344",NA,NA,NA,"Erva, terrestre. Lâmina cartácea, discolor, nervuras sulcadas na face adaxial. Peciolo e pedúnculo avermelhados. Espádice e espata vináceos.",NA,NA,NA,NA,NA,"2011","07","38539","auto",NA,NA,NA,NA,NA
"41","2020-06-15 15:28:34-03","UNESP-RC","HRCB","58815","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","parvum","Anthurium parvum","N.E.Br.","Grupo Verde & Temponi, L.","Verde (Dinato, D.O.; Oliveira, C.C.; Rissi, M.N.; Temponi, L. & Saka, M.N.)","23","2012","10","22",NA,"Brasil","Rio de Janeiro","Teresópolis","Trilha Suspensa.","-43.000833","-22.270833","1146","1146",NA,"Terrestre, folhas cartáceas, pedúnculo vináceo. Espata verde com máculas vinho, espádice vináceo.",NA,NA,NA,"43º 00' 03 W","22º 16' 15 S","2012","10",NA,NA,NA,NA,NA,NA,NA
"42","2020-06-15 15:28:33-03","UNESP-RC","HRCB","56705","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","parvum","Anthurium parvum","N.E.Br.","Temponi, L.G.","Temponi, L.G.","1033","2011","07","14",NA,"Brasil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos","-42.9655990600586","-22.4122009277344",NA,NA,NA,"Erva, terrestre. Lâmina cartácea, discolor, nervuras sulcadas na face adaxial e proeminente na abaxial. Pecíolo e pedúnculo avermelhados. Espádice e espata vináceos.",NA,NA,NA,NA,NA,"2011","07","38539","auto",NA,NA,NA,NA,NA
"43","2020-06-15 15:28:33-03","UNESP-RC","HRCB","42911","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","parvum","Anthurium parvum","N.E.Br.","Temponi, L.G.","Temponi, L.G.","1028","2011","07","12",NA,"Brasil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos","-42.9655990600586","-22.4122009277344",NA,NA,NA,"Erva, terrestre. Lâmina cartácea, discolor, nervuras sulcadas na face adaxial e proeminente na abaxial. Pecíolo e pedúnculo avermelhados. Espádice e espata vináceos.",NA,NA,NA,NA,NA,"2011","07","38539","auto",NA,NA,NA,NA,NA
"44","2020-06-15 15:28:33-03","UNESP-RC","HRCB","56710","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","parvum","Anthurium parvum","N.E.Br.","Temponi, L.G.","Temponi, L.G.","987","2011","04","14",NA,"Brasil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos","-42.9655990600586","-22.4122009277344",NA,NA,NA,"Erva, terrestre. Nervura principal cilíndrica em ambas as faces, lâmina discolor, nervuras secundárias marcadas na adaxial e proeminentes na abaxial, pedúnculo e espádice vináceo.",NA,NA,NA,NA,NA,"2011","04","38539","auto",NA,NA,NA,NA,NA
"45","2020-06-15 15:28:33-03","UNESP-RC","HRCB","56719","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","parvum","Anthurium parvum","N.E.Br.","Temponi, L.G.","Temponi, L.G.","975","1996","04","11",NA,"Brasil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos","-42.9655990600586","-22.4122009277344",NA,NA,NA,"Erva, terrestre. Nervura principal cilíndrica em ambas as faces, lâmina discolor, nervuras secundárias marcadas na adaxial e proeminentes na abaxial, pedúnculo e espádice vináceo.",NA,NA,NA,NA,NA,"2011","04","38539","auto",NA,NA,NA,NA,NA
"46","2021-03-03 13:56:07-03","UFF","NIT","NIT817","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","parvum","Anthurium parvum","N.E.Br.",NA,"L.G. Quintanilha","186","2013","09","27",NA,"Brasil","Rio de Janeiro","Teresópolis",NA,"-42.9655990600586","-22.4122009277344",NA,NA,NA,NA,"NIT00000816",NA,NA,NA,NA,NA,NA,"38539","auto",NA,NA,NA,NA,NA
"47","2021-03-03 13:56:07-03","UFF","NIT","NIT1184","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","parvum","Anthurium parvum","N.E.Br.","L.Cavagnari","L. Cavagnari","11","2016","10","22",NA,"Brasil","Rio de Janeiro","Teresópolis",NA,"-42.9655990600586","-22.4122009277344",NA,NA,NA,NA,"NIT00001193",NA,NA,NA,NA,NA,NA,"38539","auto",NA,NA,NA,NA,NA
"48","2021-03-03 13:56:07-03","UFF","NIT","NIT471","PreservedSpecimen","Plantae",NA,NA,"Araceae","Anthurium","parvum","Anthurium parvum","N.E.Br.",NA,"A. Lobão","1962","2012","12","15",NA,"Brasil","Rio de Janeiro","Teresópolis",NA,"-42.9655990600586","-22.4122009277344",NA,NA,NA,NA,"NIT00000470",NA,NA,NA,NA,NA,NA,"38539","auto",NA,NA,NA,NA,NA
