"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","recordNumber","coordinatePrecision","geoFlag","phylum","order","individualCount","continentOcean","preparationType","infraspecificEpithet","class","relatedCatalogItem","relationshipType","fieldNumber","typeStatus","previousCatalogNumber","sex"
"11","2021-04-05 14:34:11-03","UNESC","CRI","6278","PreservedSpecimen","Plantae","Solanaceae","Cestrum","bracteatum","Cestrum bracteatum","Link & Otto","R. dos Santos; C. A. Correa e Z. P. Topanotti","1997","09","12","Brasil","Santa Catarina","Criciúma",NA,"-49.370278","-28.678333","49º22'13''W","28º40'42''S","CRI007429","CRI007429","Vanilde Citadini-Zanette",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-05 14:26:08-03","UNESC","CRI","12504","PreservedSpecimen","Plantae","Solanaceae","Cestrum","bracteatum","Cestrum bracteatum","Link & Otto","Alexandre Medeiros","2017","04","19","Brasil","Santa Catarina","Balneário Camboriú","Laranjeiras.","-48.6347007751465","-26.9906005859375",NA,NA,"CRI010711",NA,"Renato Colares & Aline V. Guislon","2017","07","25",NA,NA,"Coleta 48. Habito: Arbustivo",NA,"8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-05 14:34:11-03","UNESC","CRI","12164","PreservedSpecimen","Plantae","Solanaceae","Cestrum","bracteatum","Cestrum bracteatum","Link & Otto","Verdi, M.; Souza, N.L. de; Klemz, G. & Klettenberg, D.H.","2010","04","03","Brasil","Santa Catarina","Pescaria Brava","Laranjeiras.","-48.87","-28.44","48º52'12''W","28º26'24''S","CRI010342","CRI010342","Oliveira, AA de","2010","09","15","246","246","Florística IFFSC 81 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio Médio; interior do fragmento Habito: arbusto; Fruto preto;","4605",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","3555","S","Plantae","Solanaceae","Cestrum","bracteatum","Cestrum bracteatum","Link & Otto","Carlos Alberto Ferreira Júnior; Juliana Ordones","2014","12","14","Brasil","Minas Gerais","Catas Altas","Caminho para Tanque Grande, Serra do Caraça.","-43.4075012207031","-20.0746994018555","43º29'30.4","20º06'02.2",NA,NA,"Carlos A. Ferreira Jr.","2018","06","23","1259","1259","254","CAF1471","11966","auto","Magnoliophyta","Solanales","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","1801854","PreservedSpecimen","Plantae","Solanaceae","Cestrum","bracteatum","Cestrum bracteatum","Link & Otto","L. L. Giacomin","2012","06","08","Brazil","Espírito Santo","Santa Teresa","Comunidade de Santo Antônio. Propriedade do Sr. Boza, margem da estrada de entrada da propriedade.","-40.5906","-19.9089",NA,NA,"NY01801854","NY01801854_01","M. H. Nee",NA,NA,NA,"740",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2040461' target='other'> <mi>dwc_moreinfo</mi></a>","1851",NA,NA,"Magnoliophyta","Solanales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","822624","PreservedSpecimen","Plantae","Solanaceae","Cestrum","bracteatum","Cestrum bracteatum","Link & Otto","J. H. Kirkbride Jr.","1972","04","26","Brazil","Rio de Janeiro",NA,"E. do Rio de Janeiro. At the base of the waterfall 500 m N of the road in montane rain forest, 17 km from praça da Parati on road from Parati to Cunha.",NA,NA,NA,NA,"NY00822624","NY00822624_01","M. Vignoli-Silva",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=920013' target='other'> <mi>dwc_moreinfo</mi></a>","1735",NA,NA,"Magnoliophyta","Solanales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","626793","PreservedSpecimen","Plantae","Solanaceae","Cestrum","bracteatum","Cestrum bracteatum","Link & Otto","L. Riedel","1823","07",NA,"Brazil",NA,NA,"Serra de Argoas.",NA,NA,NA,NA,"NY00626793","NY00626793_01","M. H. Nee",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=438413' target='other'> <mi>dwc_moreinfo</mi></a>","s.n.",NA,NA,"Magnoliophyta","Solanales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","626810","PreservedSpecimen","Plantae","Solanaceae","Cestrum","bracteatum","Cestrum bracteatum","Link & Otto","G. Martinelli","1981","06","27","Brazil","Rio de Janeiro","Petrópolis","Distrito de Araras, propiedade do Dr. Luiz Simoes Lopes, base do Pica da Maria Comprida.","-43.1783","-22.505",NA,NA,"NY00626810","NY00626810_01",NA,NA,NA,NA,"1700","1700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=438431' target='other'> <mi>dwc_moreinfo</mi></a>","7616",NA,NA,"Magnoliophyta","Solanales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","627045","PreservedSpecimen","Plantae","Solanaceae","Cestrum","bracteatum","Cestrum bracteatum","Link & Otto","M. Kuhlmann","1950","06","06","Brazil","Minas Gerais","Delfim Moreira","Sao Francisco dos Campos","-45.2797","-22.5094",NA,NA,"NY00627045","NY00627045_01","J. R. Stehmann",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=438428' target='other'> <mi>dwc_moreinfo</mi></a>","2392",NA,NA,"Magnoliophyta","Solanales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","626808","PreservedSpecimen","Plantae","Solanaceae","Cestrum","bracteatum","Cestrum bracteatum","Link & Otto","L. B. Smith","1964","10","12","Brazil","Santa Catarina","Catanduvas","East of Catanduvas.","-51.75","-27.05",NA,NA,"NY00626808","NY00626808_01","M. H. Nee",NA,NA,NA,"700","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=438407' target='other'> <mi>dwc_moreinfo</mi></a>","12427",NA,NA,"Magnoliophyta","Solanales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","626816","PreservedSpecimen","Plantae","Solanaceae","Cestrum","bracteatum","Cestrum bracteatum","Link & Otto","J. Prado","1993","01","20","Brazil","Paraná","Guaraqueçaba","Morro do Rio das Pacas.","-48.32","-25.27",NA,NA,"NY00626816","NY00626816_01","M. H. Nee",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=438398' target='other'> <mi>dwc_moreinfo</mi></a>","436",NA,NA,"Magnoliophyta","Solanales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","626822","PreservedSpecimen","Plantae","Solanaceae","Cestrum","bracteatum","Cestrum bracteatum","Link & Otto","J. C. Lindeman","1966","01","18","Brazil","Paraná",NA,"Bella Vista, Serra do Mar.",NA,NA,NA,NA,"NY00626822","NY00626822_01","M. H. Nee",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=438400' target='other'> <mi>dwc_moreinfo</mi></a>","385",NA,NA,"Magnoliophyta","Solanales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","626813","PreservedSpecimen","Plantae","Solanaceae","Cestrum","bracteatum","Cestrum bracteatum","Link & Otto","P. K. H. Dusén","1911","03","05","Brazil","Paraná",NA,"Serra da Prata.",NA,NA,NA,NA,"NY00626813","NY00626813_01","M. H. Nee",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=438396' target='other'> <mi>dwc_moreinfo</mi></a>","11477",NA,NA,"Magnoliophyta","Solanales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","626787","PreservedSpecimen","Plantae","Solanaceae","Cestrum","bracteatum","Cestrum bracteatum","Link & Otto","G. G. Hatschbach","1966","09","20","Brazil","Paraná","Quatro Barras","Rio do Corvo.","-49.0767","-25.3658",NA,NA,"NY00626787","NY00626787_01","M. H. Nee",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=438404' target='other'> <mi>dwc_moreinfo</mi></a>","14747",NA,NA,"Magnoliophyta","Solanales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","626817","PreservedSpecimen","Plantae","Solanaceae","Cestrum","bracteatum","Cestrum bracteatum","Link & Otto","A. C. Coletti","1986","10","03","Brazil","Paraná","Londrina","Sitio Santa Ana - proximo a Kambi.","-51.1628","-23.3106",NA,NA,"NY00626817","NY00626817_01","M. H. Nee",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=438408' target='other'> <mi>dwc_moreinfo</mi></a>","s.n.",NA,NA,"Magnoliophyta","Solanales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","626795","PreservedSpecimen","Plantae","Solanaceae","Cestrum","bracteatum","Cestrum bracteatum","Link & Otto","G. Gardner","1837","02",NA,"Brazil","Rio de Janeiro",NA,"Serra dos Orgaos.","-43.073169","-22.496706",NA,NA,"NY00626795","NY00626795_01","M. H. Nee",NA,NA,NA,NA,NA,"Comm. am. Shuttleworth 1838. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=438430' target='other'> <mi>dwc_moreinfo</mi></a>","550",NA,NA,"Magnoliophyta","Solanales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","626812","PreservedSpecimen","Plantae","Solanaceae","Cestrum","bracteatum","Cestrum bracteatum","Link & Otto","P. K. H. Dusén","1911","05","31","Brazil","Santa Catarina",NA,"Rio Uruguay.",NA,NA,NA,NA,"NY00626812","NY00626812_01","M. H. Nee",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=438395' target='other'> <mi>dwc_moreinfo</mi></a>","11791",NA,NA,"Magnoliophyta","Solanales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","01806036","PreservedSpecimen","Plantae","Solanaceae","Cestrum","bracteatum","Cestrum bracteatum","Link & Otto","R. A. X. Borges","2007","01","22","Brazil","Bahia","Camacan","RPPN Serra Bonita. 9,7 km W de Camacã na estrada para Jacarecí, daí 6 km SW na estrada para a RPPN e Torre da Embratel.","-39.5653","-15.3917",NA,NA,"NY01806036","NY01806036_01","M. H. Nee",NA,NA,NA,"835",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2127946' target='other'> <mi>dwc_moreinfo</mi></a>","630A*",NA,NA,"Magnoliophyta","Solanales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","626818","PreservedSpecimen","Plantae","Solanaceae","Cestrum","bracteatum","Cestrum bracteatum","Link & Otto","L. R. M. Souza","1998","07","23","Brazil","Paraná","Carambeí","Fazenda Aurora ao lado do cemitério.","-50.0969","-24.9181",NA,NA,"NY00626818","NY00626818_01","M. H. Nee",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=438409' target='other'> <mi>dwc_moreinfo</mi></a>","s.n.",NA,NA,"Magnoliophyta","Solanales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","911165","PreservedSpecimen","Plantae","Solanaceae","Cestrum","bracteatum","Cestrum bracteatum","Link & Otto","Y. E. J. Mexia","1930","12","19","Brazil","Minas Gerais","Viçosa","Viçosa, Agricultural College lands. Just outside western gate; Rua Nova","-42.868031","-20.7613428",NA,NA,"NY00911165","NY00911165_01","M. H. Nee",NA,NA,NA,"700","700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=991297' target='other'> <mi>dwc_moreinfo</mi></a>","5424",NA,NA,"Magnoliophyta","Solanales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","626804","PreservedSpecimen","Plantae","Solanaceae","Cestrum","bracteatum","Cestrum bracteatum","Link & Otto","P. W. Lund",NA,NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"NY00626804","NY00626804_01","M. H. Nee",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=438394' target='other'> <mi>dwc_moreinfo</mi></a>","s.n.",NA,NA,"Magnoliophyta","Solanales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","626802","PreservedSpecimen","Plantae","Solanaceae","Cestrum","bracteatum","Cestrum bracteatum","Link & Otto","L. Riedel","1835","10",NA,"Brazil",NA,NA,"Corcovado.",NA,NA,NA,NA,"NY00626802","NY00626802_01","M. H. Nee",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=438390' target='other'> <mi>dwc_moreinfo</mi></a>","s.n.",NA,NA,"Magnoliophyta","Solanales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","626826","PreservedSpecimen","Plantae","Solanaceae","Cestrum","bracteatum","Cestrum bracteatum","Link & Otto","Liene","1958","05","28","Brazil","Rio de Janeiro",NA,"Estado da Guanabara, Estrada das Paneiras.",NA,NA,NA,NA,"NY00626826","NY00626826_01","M. H. Nee",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=438392' target='other'> <mi>dwc_moreinfo</mi></a>","3825",NA,NA,"Magnoliophyta","Solanales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","822625","PreservedSpecimen","Plantae","Solanaceae","Cestrum","bracteatum","Cestrum bracteatum","Link & Otto","J. H. Kirkbride Jr.","1972","04","26","Brazil","Rio de Janeiro",NA,"E. do Rio de Janeiro. At the base of the waterfall 500 m N of the road in montane rain forest, 17 km from praça da Parati on road from Parati to Cunha.",NA,NA,NA,NA,"NY00822625","NY00822625_01","M. Vignoli-Silva",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=920015' target='other'> <mi>dwc_moreinfo</mi></a>","1735",NA,NA,"Magnoliophyta","Solanales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","626827","PreservedSpecimen","Plantae","Solanaceae","Cestrum","bracteatum","Cestrum bracteatum","Link & Otto","A. P. Duarte","1959","07","21","Brazil","Rio de Janeiro",NA,"Estado da Guanabara, Sumaré.","-43.226672","-22.945054",NA,NA,"NY00626827","NY00626827_01","M. H. Nee",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=438393' target='other'> <mi>dwc_moreinfo</mi></a>","4905",NA,NA,"Magnoliophyta","Solanales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","626799","PreservedSpecimen","Plantae","Solanaceae","Cestrum","bracteatum","Cestrum bracteatum","Link & Otto","L. Riedel",NA,NA,NA,"Brazil",NA,NA,"Serra da Mantiqueira",NA,NA,NA,NA,"NY00626799","NY00626799_01","M. H. Nee",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=438388' target='other'> <mi>dwc_moreinfo</mi></a>","319",NA,NA,"Magnoliophyta","Solanales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","626801","PreservedSpecimen","Plantae","Solanaceae","Cestrum","bracteatum","Cestrum bracteatum","Link & Otto","L. Riedel","1835","10",NA,"Brazil",NA,NA,"Corcovado.",NA,NA,NA,NA,"NY00626801","NY00626801_01","M. H. Nee",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=438416' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Magnoliophyta","Solanales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","00853871","PreservedSpecimen","Plantae","Solanaceae","Cestrum","bracteatum","Cestrum bracteatum","Link & Otto","M. de J. Robim","1984","10","16","Brazil","São Paulo","Campos do Jordão","Parque Est. de Campos do Jordão - Instituto Florestal.","-45.454379","-22.673246",NA,NA,"NY00853871","NY00853871_01","M. H. Nee",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1093137' target='other'> <mi>dwc_moreinfo</mi></a>","s.n.",NA,NA,"Magnoliophyta","Solanales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","626806","PreservedSpecimen","Plantae","Solanaceae","Cestrum","bracteatum","Cestrum bracteatum","Link & Otto","J. Ball","1882","07","10","Brazil","Rio de Janeiro","Petrópolis","Prope Petrópolis.","-43.1783","-22.505",NA,NA,"NY00626806","NY00626806_01","M. H. Nee",NA,NA,NA,"610","914","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=438424' target='other'> <mi>dwc_moreinfo</mi></a>","s.n.",NA,NA,"Magnoliophyta","Solanales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","720422","PreservedSpecimen","Plantae","Solanaceae","Cestrum","bracteatum","Cestrum bracteatum","Link & Otto","S. J. da Silva Neto","2001","08","29","Brazil","Minas Gerais","Itamonte","Parque Nacional de Itatiaia. Serra Negra, trilha do Matão.","-44.733","-22.358",NA,NA,"NY00720422","NY00720422_01","D. H. R. McClelland",NA,NA,NA,"1686",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2501312' target='other'> <mi>dwc_moreinfo</mi></a>","1448",NA,NA,"Magnoliophyta","Solanales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","01806246","PreservedSpecimen","Plantae","Solanaceae","Cestrum","bracteatum","Cestrum bracteatum","Link & Otto","A. M. Amorim","2006","10","21","Brazil","Bahia","Camacan","RPPN Serra Bonita. 9,7 km de Camacan na estrada para Jacarecí. Daí 6 km SW na estrada para a RPPN e torre da Embratel","-39.5653","-15.3917",NA,NA,"NY01806246","NY01806246_01","M. H. Nee",NA,NA,NA,"900","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2156111' target='other'> <mi>dwc_moreinfo</mi></a>","6490",NA,NA,"Magnoliophyta","Solanales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","626824","PreservedSpecimen","Plantae","Solanaceae","Cestrum","bracteatum","Cestrum bracteatum","Link & Otto","G. G. Hatschbach","1976","04","05","Brazil","Paraná","Adrianópolis","Barra Rio Pardo.","-48.9908","-24.6572",NA,NA,"NY00626824","NY00626824_01","M. H. Nee",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=438410' target='other'> <mi>dwc_moreinfo</mi></a>","38560",NA,NA,"Magnoliophyta","Solanales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","2486233","PreservedSpecimen","Plantae","Solanaceae","Cestrum","bracteatum","Cestrum bracteatum","Link & Otto","H. S. Irwin","1958","12","17","Brazil","Minas Gerais",NA,"State Agricultural School Viçosa.",NA,NA,NA,NA,"NY02486233",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2702389' target='other'> <mi>dwc_moreinfo</mi></a>","2270",NA,NA,"Magnoliophyta","Solanales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-15 16:37:00-03","NY","NYBG","00853870","PreservedSpecimen","Plantae","Solanaceae","Cestrum","bracteatum","Cestrum bracteatum","Link & Otto","M. de J. Robim","1985","10","01","Brazil","São Paulo","Campos do Jordão","Parque Estadual, Instituto Florestal.","-45.59","-22.73",NA,NA,"NY00853870","NY00853870_01","M. H. Nee",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1093140' target='other'> <mi>dwc_moreinfo</mi></a>","319",NA,NA,"Magnoliophyta","Solanales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
