"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","country","stateProvince","county","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","dayIdentified","recordNumber","day","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","geoFlag","barcode","imagecode","continentOcean","typeStatus","class"
"34","2020-12-21 16:19:44-03","MBM","MBM","279110","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Arthrocereus","melanurus","magnus","Arthrocereus melanurus magnus","N.P. Taylor & Zappi",NA,NA,NA,"Valente, A.; et al.; et al.","2001","12","Brazil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca",NA,NA,NA,NA,NA,NA,"87","16","-43.793098449707","-21.8425006866455","30417",NA,"auto","MBM279110","MBM279110","Southern America",NA,NA
"35","2020-12-11 11:34:14-03","UFMG","BHCB","112829","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Arthrocereus","melanurus","melanurus","Arthrocereus melanurus melanurus",NA,NA,"2015","05","Cheib, AL","2007","04","Brasil","Minas Gerais","Tiradentes","Serra de São José","-44.199444","-21.100556","1092","1092","Flor creme, Tricomas amarelados no caule","11","3","21","-44.199444","-21.100556",NA,NA,NA,"BHCB024097",NA,"Southern America",NA,NA
"36","2020-12-11 11:34:14-03","UFMG","BHCB","176197","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Arthrocereus","melanurus","odorus","Arthrocereus melanurus odorus","(F. Ritter) N.P. Taylor & Zappi",NA,"2015","05","Cheib, AL","2007","12","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Distrito Cardeal Mota","-43.620278","-19.349444","804","804","Flor creme","11","4","02","-43.620278","-19.349444",NA,NA,NA,"BHCB024096",NA,"Southern America",NA,NA
"37","2020-12-11 11:34:14-03","UFMG","BHCB","15337","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Arthrocereus","melanurus","magnus","Arthrocereus melanurus magnus","N.P. Taylor & Zappi",NA,"2015","05","Andrade, P; et al.","1987","01","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca",NA,NA,NA,NA,"Erva, pétalas brancas; Campo rupestre","11","s.n.",NA,"-43.793098449707","-21.8425006866455","30417",NA,"auto","BHCB024095",NA,"Southern America",NA,NA
"38","2020-12-11 11:34:14-03","UFMG","BHCB","13446","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Arthrocereus","melanurus",NA,"Arthrocereus melanurus","(Schum.) Dielset al.",NA,NA,NA,"Andrade, PM de; Renato; Hilde","1987","11","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca",NA,NA,NA,NA,NA,NA,"1060","11","-43.793098449707","-21.8425006866455","30417",NA,"auto",NA,NA,"Southern America",NA,NA
"39","2020-12-11 11:34:14-03","UFMG","BHCB","13441","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Arthrocereus","melanurus",NA,"Arthrocereus melanurus","(Schum.) Dielset al.",NA,NA,NA,"Andrade, PM de; Renato; Hilde","1987","11","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca",NA,NA,NA,NA,NA,NA,"1060","11","-43.793098449707","-21.8425006866455","30417",NA,"auto",NA,NA,"Southern America",NA,NA
"40","2020-12-11 11:34:14-03","UFMG","BHCB","13487","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Arthrocereus","melanurus",NA,"Arthrocereus melanurus","(Schum.) Dielset al.",NA,NA,NA,"Tameirão Neto, E","1990","11","Brasil","Minas Gerais","Tiradentes","Serra São José",NA,NA,NA,NA,NA,NA,"594","03","-44.1781005859375","-21.1103000640869","10355",NA,"auto",NA,NA,"Southern America",NA,NA
"41","2020-06-15 15:29:43-03","UNESP-RC","HRCB","11274","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Arthrocereus","melanurus",NA,"Arthrocereus melanurus","(K.Schum.) Diers et al.","Zappi, D.C.","1989","11","Zappi, D.C.","1989","12","Brasil","Minas Gerais","Santana do Riacho",NA,NA,NA,NA,NA,"touceiras até 60cm alt., espinhos dourados. Fr., verde-vináceo com areolas pilosas.","20","193","20","-43.7144012451172","-19.1688995361328","26557",NA,"auto",NA,NA,NA,NA,NA
"42","2018-10-09 16:31:08-03","UFLA","ESAL","24016","S","Plantae",NA,NA,"Cactaceae","Arthrocereus","melanurus",NA,"Arthrocereus melanurus","(K.Schum.) Diers et al.",NA,NA,NA,"Mansanares, ME; Campos, CF; Lasmar, CJ; Pe","2011","10","Brasil","Minas Gerais","Itutinga","Depois da extração de areia, Ponto 7 - afloramento rochoso na beira da estrada para Carrancas, depois da ex","-44.655833","-21.316111",NA,NA,"Projeto CSBC; Crescendo sobre e entre rochas. Flor fechada com tépalas verdes externamente e creme internamente.",NA,"2497","29","-44.655833","-21.316111",NA,NA,NA,NA,NA,NA,NA,NA
"43","2018-10-09 16:31:08-03","UFLA","ESAL","24017","S","Plantae",NA,NA,"Cactaceae","Arthrocereus","melanurus",NA,"Arthrocereus melanurus","(K.Schum.) Diers et al.",NA,NA,NA,"Mansanares, ME; Campos, CF; Lasmar, CJ; Pe","2011","10","Brasil","Minas Gerais","Minduri","Chapada das Perdizes, Ponto 19 - afloramento na beira da estrada antes da plantação de eucalipto","-44.586111","-21.603889",NA,NA,"Projeto CSBC; Planta rupícola. Flor com corola verde com face interna das tépalas creme.",NA,"2483","29","-44.586111","-21.603889",NA,NA,NA,NA,NA,NA,NA,NA
