"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","class","typeStatus","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","fieldNumber","individualCount","infraspecificEpithet"
"11","2020-12-21 16:47:51-03","MBM","MBM","81104","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","sororia","Xyris sororia","Kunth","Smith, L.B.","Heringer, E.P.; et al.; et al.","6928","1981","05","07","Southern America","Brazil","Distrito Federal",NA,"Rod. BR-251",NA,NA,NA,NA,NA,NA,"MBM081104","MBM081104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:47:51-03","MBM","MBM","27168","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","sororia","Xyris sororia","Kunth","Smith, L.B.","Hatschbach, G.","31102","1973","01","10","Southern America","Brazil","Paraná","Jaguariaíva","Rio Cilada","-49.7057991027832","-24.2511005401611",NA,NA,NA,NA,"MBM027168","MBM027168",NA,"44368","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-12-21 16:47:51-03","MBM","MBM","682","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","sororia","Xyris sororia","Kunth","Smith, S.F.; L.B.","Hatschbach, G.","13051","1965","10","22","Southern America","Brazil","Paraná","Palmeira","Rodovia do Café, Rio Tibagi","-50.0064010620117","-25.4293994903564",NA,NA,NA,NA,"MBM000682","MBM000682",NA,"35166","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-12-21 16:47:51-03","MBM","MBM","35987","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","sororia","Xyris sororia","Kunth","Smith, S.F.; L.B.","Hatschbach, G.","13051","1965","10","22","Southern America","Brazil","Paraná","Palmeira","Rodovia do Café, Rio Tibagi","-50.0064010620117","-25.4293994903564",NA,NA,NA,"= 35988","MBM035987",NA,NA,"35166","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-12-21 16:47:51-03","MBM","MBM","2215","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","sororia","Xyris sororia","Kunth","Smith, S.F.; L.B.","Hatschbach, G.; Occhioni, P.; Occhioni, P.","15110","1965","11","09","Southern America","Brazil","Paraná","Ponta Grossa","Parque Vila Velha","-50.1618995666504","-25.0949993133545",NA,NA,NA,NA,"MBM002215","MBM002215",NA,"46557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-12-21 16:47:51-03","MBM","MBM","35988","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","sororia","Xyris sororia","Kunth","Smith, L.B.","Hatschbach, G.","8364","1961","10","23","Southern America","Brazil","Paraná","Arapoti","Rio das Cinzas, Barra do Perdizes","-49.8266983032227","-24.1578006744385",NA,NA,NA,NA,"MBM035988","MBM035988",NA,"41852","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2017-12-29 14:01:58-02","MNHN","RECOLNAT_MNHN_P","P00753730","PreservedSpecimen",NA,NA,NA,"Xyridaceae","Xyris","sororia","Xyris sororia","Kunth",NA,"Sellow, F.",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Brasilia",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00753730' target='other'> <mi>dwc_moreinfo</mi></a>","P00753730","P00753730_01",NA,NA,NA,NA,"isotype",NA,NA,NA,NA,"198",NA,NA
"18","2020-09-12 05:00:02-03","US","US","2829766","PreservedSpecimen","Plantae",NA,"Commelinales","Xyridaceae","Xyris","sororia","Xyris sororia","Kunth",NA,"G. Hatschbach","8364","1961","10","23","South America - Neotropics","Brazil","Paraná","Arapoti","Rio das Cinzas, Barra do Perdizes","-49.8266983032227","-24.1578006744385",NA,NA,NA,NA,"US01916349","US01916349_01",NA,"41852","auto","Monocotyledonae",NA,NA,NA,NA,NA,NA,"1",NA
"19","2020-09-12 05:00:02-03","US","US","2563673","PreservedSpecimen","Plantae",NA,"Commelinales","Xyridaceae","Xyris","sororia","Xyris sororia","Kunth",NA,"G. Hatschbach & P. Occhioni","15110","1966","11","9","South America - Neotropics","Brazil","Paraná","Ponta Grossa","Parque Vila Velha","-50.1618995666504","-25.0949993133545",NA,NA,NA,NA,"US01916346","US01916346_01",NA,"46557","auto","Monocotyledonae",NA,NA,NA,NA,NA,NA,"1",NA
"20","2020-09-12 05:00:02-03","US","US","2026751","PreservedSpecimen","Plantae",NA,"Commelinales","Xyridaceae","Xyris","sororia","Xyris sororia","Kunth",NA,"G. Hatschbach & H. Rodigues Jr.","828","1948","1","6","South America - Neotropics","Brazil","Paraná","Campo Largo","Serra São Luis de Purunã","-49.5283012390137","-25.4585990905762","1150",NA,NA,NA,"US01916348","US01916348_01",NA,"53742","auto","Monocotyledonae",NA,NA,NA,NA,NA,NA,"1",NA
"21","2020-09-12 05:00:02-03","US","US","2782386","PreservedSpecimen","Plantae",NA,"Commelinales","Xyridaceae","Xyris","sororia","Xyris sororia","Kunth",NA,"G. Hatschbach","31102","1973","1","10","South America - Neotropics","Brazil","Paraná","Jaguariaíva","Rio Cilada","-49.7057991027832","-24.2511005401611",NA,NA,NA,NA,"US01916345","US01916345_01",NA,"44368","auto","Monocotyledonae",NA,NA,NA,NA,NA,NA,"1",NA
"22","2020-09-12 05:00:02-03","US","US","2564810","PreservedSpecimen","Plantae",NA,"Commelinales","Xyridaceae","Xyris","sororia","Xyris sororia","Kunth",NA,"G. Hatschbach","13051","1965","10","22","South America - Neotropics","Brazil","Paraná","Palmeira","Rodovia do Café, Rio Tibagi","-50.0064010620117","-25.4293994903564",NA,NA,NA,NA,"US02555070","US02555070_01",NA,"35166","auto","Monocotyledonae",NA,NA,NA,NA,NA,NA,"1",NA
"23","2017-09-11 16:28:55-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Xyridaceae","Xyris","sororia","Xyris sororia euxyris","Kunth",NA,"Sellow, F","s.n.",NA,NA,NA,"Southern America","Brazil",NA,NA,"Brasilia meridionali.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"euxyris"
