"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","yearIdentified","typeStatus","coordinatePrecision","geoFlag","fieldNumber","individualCount","monthIdentified","dayIdentified"
"11","2020-12-21 16:19:38-03","MBM","MBM","40591","PreservedSpecimen","Plantae",NA,NA,"Burmanniaceae","Burmannia","damazii","Burmannia damazii","Beouverd","Hatschbach, G.","Hatschbach, G.","30161","1976","08","10","Southern America","Brazil","Minas Gerais","Datas","Estribo Bandeirinha","-43.6557998657227","-18.4456005096436",NA,NA,NA,NA,"MBM040591","MBM040591",NA,NA,NA,NA,NA,NA,"23532","auto",NA,NA,NA,NA
"12","2015-09-03 19:16:15-03","MNHN","RECOLNAT_MNHN_P","P02086055","PreservedSpecimen",NA,NA,NA,"Burmanniaceae","Burmannia","damazii","Burmannia damazii","Beauverd",NA,"Saint-Hilaire, A.",NA,"1816","1","1",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02086055' target='other'> <mi>dwc_moreinfo</mi></a>","P02086055","P02086055_01",NA,NA,NA,NA,NA,NA,NA,NA,"B1 1719",NA,NA,NA
"13","2015-09-03 21:22:37-03","MNHN","RECOLNAT_MNHN_P","P02190947","PreservedSpecimen",NA,NA,NA,"Burmanniaceae","Burmannia","damazii","Burmannia damazii","Beauverd",NA,"Ratter, J.A.|Fonseca, S.G.",NA,"1976","5","3",NA,"Brasil","Distrito Federal",NA,"Fazenda Água Limpa (University of Brasília field station), near Vargem Bonita, ca. 18 km SSW of Brasília TV Tower",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02190947' target='other'> <mi>dwc_moreinfo</mi></a>","P02190947","P02190947_01",NA,NA,NA,NA,NA,NA,NA,NA,"2978",NA,NA,NA
"14","2015-01-20 11:54:00-02","MO","MOBOT","100771953","PreservedSpecimen","Plantae",NA,NA,"Burmanniaceae","Burmannia","damazii","Burmannia damazii","Beauverd",NA,"James A. Ratter|S.G. da Fonseca","Ratter R2978","1976",NA,NA,"South America","Brazil",NA,NA,"Fazenda Agua Limpa (University of Brasília field station), near Vargem Bonita, c. 18 km. SSW of Brasília TV tower.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"15","2019-12-19 11:17:53-03","UFG","UFG","45156","S","Plantae",NA,NA,"Burmanniaceae","Burmannia","damazii","Burmannia damazii","Beauverd","Resende, I.L.M.","Resende, I.L.M.","332","2008","07","05",NA,"Brasil","Goiás","Bela Vista de Goiás",NA,"-48.7925","-17.0175",NA,NA,NA,NA,"UFG0045156","UFG0045156",NA,"-48.7925","-17.0175",NA,"2010",NA,NA,NA,NA,NA,"01","15"
"16","2019-12-19 11:17:53-03","UFG","UFG","45157","S","Plantae",NA,NA,"Burmanniaceae","Burmannia","damazii","Burmannia damazii","Beauverd","Resende, I.L.M.","Resende, I.L.M.","372","2008","08","05",NA,"Brasil","Goiás","Bela Vista de Goiás",NA,"-48.7925","-17.0175",NA,NA,NA,NA,"UFG0045157","UFG0045157",NA,"-48.7925","-17.0175",NA,"2010",NA,NA,NA,NA,NA,"01","15"
"17","2020-09-12 05:00:02-03","US","US","2059798","PreservedSpecimen","Plantae",NA,"Orchidales","Burmanniaceae","Burmannia","damazii","Burmannia damazii",NA,NA,"A. Macedo","3698","1952","7","28","South America - Neotropics","Brazil","Goiás",NA,"Corumba mun. (?), girineus",NA,NA,NA,NA,NA,NA,"US00225100","US00225100_01","Monocotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"18","2020-09-12 05:00:02-03","US","US","2755522","PreservedSpecimen","Plantae",NA,"Orchidales","Burmanniaceae","Burmannia","damazii","Burmannia damazii",NA,NA,"W. R. Anderson","10412","1973","5","16","South America - Neotropics","Brazil","Goiás",NA,"Ca 15 km (straight line) n of corumba de goias",NA,NA,"1230","1230",NA,NA,"US00225099","US00225099_01","Monocotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"19","2019-10-07 09:20:22-03","UEFS","HUEFS","85261","PreservedSpecimen","Plantae","Angiospermae","Dioscoreales","Burmanniaceae","Burmannia","damazii","Burmannia damazii","Beauverd","P.Wilkin","Borba, E.L.","1883","2004","08","05",NA,"Brasil","Bahia","Mucugê","Subida para Serra da Tesoura.","-41.348056","-13.130556","1264","1264",NA,"Campo rupestre. Substrato arenoso.","HUEFS0085261","HUEFS0085261","Lilianae","41W20'53''","13S7'50''",NA,"2009",NA,NA,NA,NA,NA,"01",NA
"20","2019-11-01 15:13:23-03","UnB","UB","106564","PreservedSpecimen","Plantae","Monocotyledonae",NA,"Burmanniaceae","Burmannia","damazii","Burmannia damazii","Beauverd","Maas, H; Maas, PJM","Kirkbride, MCG","1561","1981","06","10","Southern America","Brasil","Distrito Federal","Brasília","Fazenda Água Limpa. Campo Experimental da UnB. Córrego da Onça, área sempre alagada","-47.9","-15.95","1100","1100",NA,"Erva. Flor roxa; Campo de murundus.","UB0004724","UB0004724",NA,"-47.9","-15.95",NA,"2004",NA,NA,NA,NA,NA,NA,NA
"21","2019-11-01 15:13:23-03","UnB","UB","106573","PreservedSpecimen","Plantae","Monocotyledonae",NA,"Burmanniaceae","Burmannia","damazii","Burmannia damazii","Beauverd","Maas, H; Maas, PJM","Kirkbride, MCG","1513","1981","05","20","Southern America","Brasil","Distrito Federal","Brasília","Fazenda Água Limpa. Campo Experimental da UnB. Córrego da Onça, área sempre alagada","-47.9","-15.95","1100","1100",NA,"Erva. Flor roxa; Campo de murundus.","UB0004727","UB0004727",NA,"-47.9","-15.95",NA,"2004",NA,NA,NA,NA,NA,NA,NA
"22","2019-11-01 15:13:23-03","UnB","UB","37832","PreservedSpecimen","Plantae","Monocotyledonae",NA,"Burmanniaceae","Burmannia","damazii","Burmannia damazii","Beauverd","Maas, H","Pires, JM","9835","1963","07","07","Southern America","Brasil","Goiás","Cristalina","Cristalina","-47.6136","-16.7686",NA,NA,NA,"Flores azuladas; Campo","UB0004676","UB0004676",NA,"-47.6136","-16.7686",NA,"1995",NA,NA,NA,NA,NA,NA,NA
"23","2019-11-01 15:13:23-03","UnB","UB","106565","PreservedSpecimen","Plantae","Monocotyledonae",NA,"Burmanniaceae","Burmannia","damazii","Burmannia damazii","Beauverd","Maas, H; Maas, PJM","Ratter, JA; Fonsêca, SG","2978","1976","05","03","Southern America","Brasil","Distrito Federal","Brasília","Fazenda Água Limpa (University of Brasília field station), near Vargem Bonita, ca. 18km SSW of BrasíliaTV Tower","-47.9296989440918","-15.7797002792358",NA,NA,NA,"Flowers violet below, dark purple at the tip.; Small leafless herb; Growing amongst Xyrids, sedges grasses in damp campo limpo.","UB0004725","UB0004725",NA,NA,NA,NA,"2004",NA,"70570","auto",NA,NA,NA,NA
"24","2019-11-21 10:02:58-03","IBt","SP","144158","S","Plantae",NA,NA,"Burmanniaceae","Burmannia","damazii","Burmannia damazii","Beauverd","Maas, PJM; Benthem, J","Semir, J; et al.","CFSC2802","1972","07","24",NA,"Brasil","Minas Gerais","Jaboticatubas","Serra do Cipó, Km 115","-43.7449989318848","-19.513599395752",NA,NA,NA,NA,"SP044867","SP044867",NA,NA,NA,NA,"1982",NA,"31264","auto",NA,NA,NA,NA
"25","2019-11-21 10:02:58-03","IBt","SP","184504","S","Plantae",NA,NA,"Burmanniaceae","Burmannia","damazii","Burmannia damazii","Beauverd","Cordeiro, I","Forero, E; et al.","7759","1980","09","06",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Km 109 (antigo 114). CFSC 8683","-43.7144012451172","-19.1688995361328","1100","1250",NA,NA,"SP044868","SP044868",NA,NA,NA,NA,NA,NA,"26557","auto",NA,NA,NA,NA
"26","2019-11-21 10:02:58-03","IBt","SP","225586","S","Plantae",NA,NA,"Burmanniaceae","Burmannia","damazii","Burmannia damazii","Beauverd",NA,"Cordeiro, I; et al.","CFSC11179","1988","06","28",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Km 110","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"SP044869","SP044869",NA,NA,NA,NA,NA,NA,"26557","auto",NA,NA,NA,NA
"27","2014-09-23 10:56:58-03","G","G","G00098229","S","Plantae",NA,NA,"Burmanniaceae","Burmannia","damazii","Burmannia damazii","Beauverd","?","Damazio, L. B.","1777","1905","07","23","AMERIQUE DU SUD","Brazil","Minas Gerais",NA,NA,"-45.44222222","-18.78777778",NA,NA,NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=114143&base=img&lang=en","G00098229","G00098229",NA,"-45.44222222","-18.78777778",NA,NA,"HOLOTYPUS of Burmannia damazii Beauverd",NA,NA,NA,NA,NA,NA
