"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","recordNumber","year","month","day","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","class","yearIdentified","monthIdentified","county","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","individualCount"
"11","2020-07-28 11:46:00-03","MO","MOBOT","101209958","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Pleroma","riedelianum","Pleroma riedelianum","(Cogn.) P.J.F. Guim. & Michelang.","Lectotype","Ludwig Riedel","South America","Brazil",NA,NA,NA,NA,"fide Guimarães et al.","Riedel 1426","1833","11",NA,"São Paulo","Habitat in fruticetis, locis humidis siccisque prope Mugi [Mogi]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"12","2008-05-27 22:02:00-03","MO","MOBOT","3274198","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","riedeliana","Tibouchina riedeliana","Cogn.",NA,"Gert G. Hatschbach","South America","Brazil",NA,NA,NA,NA,"Paulo Guimarães","Hatschbach 23220","1969","12","13","Paraná","Fortaleza (mun. Ponta Grossa).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-09-12 05:00:02-03","US","US",NA,"PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Tibouchina","riedeliana","Tibouchina riedeliana","Cogn.",NA,"L. Riedel","South America - Neotropics","Brazil",NA,NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"14","2019-11-13 11:26:01-03","USP","SPF","127644","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","riedeliana","Tibouchina riedeliana","Cogn.",NA,"Pirani, JR",NA,"Brasil",NA,NA,"SPF00127644",NA,"Meyer, FS","3969","1998","01","14","Minas Gerais",NA,"-43.705","-18.182222","1140","1140",NA,"2014","05","Diamantina","-43.705","-18.182222",NA,NA,NA,NA
"15","2019-11-13 11:26:01-03","USP","SPF","162048","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","riedeliana","Tibouchina riedeliana","Cogn.",NA,"Mello-Silva, R",NA,"Brasil",NA,NA,"SPF00162048",NA,"Meyer, FS","2466","2004","01","23","Minas Gerais",NA,"-43.514444","-18.174722","1072","1072",NA,"2014","05","Diamantina","-43.514444","-18.174722",NA,NA,NA,NA
"16","2019-11-13 11:26:01-03","USP","SPF","168490","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","riedeliana","Tibouchina riedeliana","Cogn.",NA,"Pirani, JR",NA,"Brasil",NA,NA,"SPF00168490",NA,"Meyer, FS","5235","2004","01","22","Minas Gerais",NA,"-43.885278","-18.614167","1108","1108",NA,"2014","05","Gouveia","-43.885278","-18.614167",NA,NA,NA,NA
"17","2019-11-13 11:26:01-03","USP","SPF","179063","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","riedeliana","Tibouchina riedeliana","Cogn.",NA,"Pirani, JR",NA,"Brasil",NA,NA,"SPF00179063",NA,"Meyer, FS","5690","2007","01","23","Minas Gerais",NA,"-43.614944","-18.170361","950","950",NA,"2014","05","Diamantina","-43.614944","-18.170361",NA,NA,NA,NA
"18","2019-11-13 11:26:01-03","USP","SPF","203147","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","riedeliana","Tibouchina riedeliana","Cogn.",NA,"Pirani, JR",NA,"Brasil",NA,NA,"SPF00203147",NA,"Meyer, FS","5883","2009","02","08","Minas Gerais",NA,"-43.433333","-18.283333",NA,NA,NA,"2014","05","Diamantina","-43.433333","-18.283333",NA,NA,NA,NA
"19","2019-09-04 19:23:32-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Melastomataceae","Tibouchina","riedeliana","Tibouchina riedeliana",NA,"Type [status unknown]","L. Riedel","South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-11-01 15:04:39-03","UnB","UB","134708","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Melastomataceae","Tibouchina","riedeliana","Tibouchina riedeliana","Cogn.",NA,"Anderson, WR","Southern America","Brasil",NA,"Bracts red in fruit.; Tree 3m.",NA,NA,"Soares, AER","35497","1972","02","05","Minas Gerais","Ca. 14km SW of Diamantina on road to Gouveia",NA,NA,NA,NA,NA,"2009",NA,"Gouvêa",NA,NA,NA,NA,NA,NA
"21","2009-03-26 15:36:24-03","CAS","CAS-BOT","4858","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","riedeliana","Tibouchina riedeliana","Cogn.","isotype","Riedel","South America","Brazil",NA,NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,"unspecified",NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-11-21 10:10:42-03","IBt","SP","491225","S","Plantae",NA,NA,"Melastomataceae","Tibouchina","riedeliana","Tibouchina riedeliana","Cogn.",NA,"Anderson, WR; et al.",NA,"Brasil",NA,NA,"SP043387","SP043387","Soares, AER","35497","1972","02","05","Minas Gerais","Ca. 14 km SW of Diamantina on road to Gouveia","-43.6002998352051","-18.2493991851807","1300","1360",NA,"2009","01","Diamantina",NA,NA,"01","101169","auto",NA
