"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","dayIdentified","fieldNumber","individualCount","sex"
"13","2021-03-30 12:47:55-03","EAO","IAN","78996","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rubiaceae","Hillia","ulei","Hillia ulei","K.Schum.",NA,"Fróes, RL","29459","1953","03","04","Southern America","Brasil","Pará","Rio Mamiá, margem do rio.","-54.7383003234863","-1.94166994094849",NA,NA,NA,"Epifita, à sombra dos ramos das árvores.","IAN078996",NA,"Silva, NT da","Alenquer",NA,NA,"1972","06","394828","auto",NA,NA,NA,NA,NA,NA
"14","2020-02-08 09:24:43-03","NBC","NL-BOTANY","L 0058065","PreservedSpecimen","Plantae",NA,"Gentianales","Rubiaceae","Hillia","ulei","Hillia ulei","K.Krause","isotype","Ule EHG",NA,"1902","08","01","Southern America","Peru","Loreto","Peru, Departamento Loreto. Yurimaguas.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200058065 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0058065","NL-L0058065",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","9101843356",NA,NA,NA,NA
"15","2020-02-08 09:24:43-03","NBC","NL-BOTANY","U.1562113","PreservedSpecimen","Plantae",NA,"Gentianales","Rubiaceae","Hillia","ulei","Hillia ulei","K.Krause",NA,"Krukoff BA",NA,"1939","07","01","Southern America","Bolivia",NA,"Department of La Paz:Province of S. Yungas: Basin of Rio Bopi, San Bartolome (near Calisaya).",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1562113 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1562113","NL-U1562113",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"16","2020-02-08 09:24:43-03","NBC","NL-BOTANY","U 0006041","PreservedSpecimen","Plantae",NA,"Gentianales","Rubiaceae","Hillia","ulei","Hillia ulei","K.Krause","isotype","Egler WA; Irwin HS",NA,"1961","08","26","Southern America","Brazil","Amapá","Territorio Amapa, Rio JariNear Cachoeira Macacoara","-53.35","0.883333",NA,NA,NA,"on branch of tree overhanging water.Only one seen.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200006041 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0006041","NL-U0006041","Taylor CM",NA,"-53.35","0.883333",NA,NA,NA,NA,"Magnoliopsidae","235192 B",NA,NA,NA,NA
"17","2020-02-08 09:24:43-03","NBC","NL-BOTANY","U.1562103","PreservedSpecimen","Plantae",NA,"Gentianales","Rubiaceae","Hillia","ulei","Hillia ulei","K.Krause",NA,"Jansen-Jacobs MJ; Ramharakh G; Haripersaud P; Jubithana H; et al.",NA,"2004","11","27","Southern America","Surinam","Marowijne","Suriname, Marowijne Distr., Lely Mts., Airstrip, Plateau.","-54.733333","4.248056",NA,NA,NA,"S slope, rocky soil. High forest on slope.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1562103 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1562103","NL-U1562103","Delprete PG",NA,"-54.733333","4.248056",NA,NA,NA,NA,"Magnoliopsidae","U 0253510",NA,NA,NA,NA
"18","2020-11-04 11:18:26-03","ESALQ","ESA","74034","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rubiaceae","Hillia","ulei","Hillia ulei","Krause",NA,"Souza, V.C.; Souza, J.P.; Romão, G.O.; Araújo, A.O.; Elias, S.I.","25783.0","2001","07","12",NA,"Brasil","Minas Gerais","Morro da Antena de Televisão. Afloramento rochoso com cerrado adjacente.","-429.283","-167.244","1200","1200",NA,"Arbusto, ca. 1,5 m alt.; frutos imaturos verdes.","ESA074034","ESA074034","Mamede, M.C.H.","Cristália","-429,283","-167,244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-11-04 11:18:26-03","ESALQ","ESA","75769","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rubiaceae","Hillia","ulei","Hillia ulei","K. Krause",NA,"Meireles, L.D.; Gonçalves, A.P.S.; Soares Jr., F.J.; Meneghetti, G.I.P.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Gandolfi, S.; Oliveira, A.A.; Souza, J.P.; Ivanauskas, N.M.; Furlan, E.","202.0","2001","04","17",NA,"Brasil","São Paulo","Parque Estadual da Serra do Mar, Núcleo Curucutu. Floresta Ombrófila Densa Baixomontana e Montana no entorno do Vale dos Rios Mambu e dos Macacos.","-46.7799987792969","-24.1800003051758","30","30",NA,"Epífita. Frutos esverdeados. Beira de rio.","ESA075769","ESA075769","Souza, V.C.","Itanhaém",NA,NA,NA,NA,"26998","auto",NA,NA,NA,NA,NA,NA
"20","2019-03-16 13:31:13-03","UNEMAT","HERBAM","7709","S","Plantae",NA,NA,"Rubiaceae","Hillia","ulei","Hillia ulei","K.Krause",NA,"Soares, C.R.A.; Brito, P.O.S.; Zanin, H.R.W.; Gusmão, E. & Benetti, E.","Triag. 1205311","2012","02","18",NA,"Brasil","Mato Grosso","Terra Firme.","-56.782222","-9.356111","214","214",NA,NA,"HERBAM007709",NA,"Piva, JH","Paranaíta","-56.782222","-9.356111","2012","02",NA,NA,NA,NA,"25",NA,NA,NA
"21","2020-06-29 09:31:59-03","UFRRJ","RBR","44817","S","Plantae",NA,NA,"Rubiaceae","Hillia","ulei","Hillia ulei","K.Krause",NA,"N.M. Corrêa; M.M.S. Murakami","219","2017","09","07",NA,"Brasil","Rio de Janeiro","Guapiaçu. Pastagem ao lado da estrada para a casa de Pesquisa da REGUA, próximo a casa do Sr. Anibal.","-42.748611","-22.425278","95","95",NA,NA,"RBR00044817",NA,"N.M. Corrêa","Cachoeiras de Macacu","42º44'55''W","22º25'31''S","2017","09",NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-05-25 15:13:54-03","FSU","FSU","000078318","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Hillia","ulei","Hillia ulei","K.Krause",NA,"Sidney McDaniel, Manuel Rimachi Y.","25763",NA,NA,NA,NA,"Peru",NA,NA,"-74.38031691","-9.171950831",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2008-05-27 22:02:00-03","MO","MOBOT","522237","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Hillia","ulei","Hillia ulei","K. Krause",NA,"J.E. Lawesson","Lawesson 44421","1983","6","15","South America","Ecuador","Napo","Río Lagarto Cocha. Near Redondo Cocha. Black water inundated forest. Water level very high.","-75.25","-0.58333","190.00000000",NA,NA,NA,NA,NA,"Taylor, C.M. (MO)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2014-03-21 09:51:00-03","MO","MOBOT","536313","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Hillia","ulei","Hillia ulei","K. Schum. ex Üle",NA,"Walter A. Palacios|Galo A. Tipaz|Daniel Rubio|Edgar Gudiño|Milton Aulestia","Palacios Cuenca 9267","1991","11","15","South America","Ecuador","Sucumbíos","Reserva Cuyabeno. Laguna Grande. Bosque húmedo Tropical. Bosque primario sobre suelo bien drenado alrededor de cabañas de NEOTROPIC.","-76.18333",NA,"230.00000000",NA,NA,NA,NA,NA,NA,"Lago Agrio",NA,NA,NA,NA,NA,NA,NA,NA,NA,"91-107","3",NA
"25","2011-06-09 17:21:00-03","MO","MOBOT","519743","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Hillia","ulei","Hillia ulei","K. Krause",NA,"John S. Brandbyge|et al.","Brandbyge 33962","1981","8","23","South America","Ecuador","Sucumbíos","Lagunas de Cuyabeno. Second lake, situated some 3 km W of the first lake. Primary forest with some periodically flooded parts.","-76.18333","-0.01666","300.00000000",NA,NA,NA,NA,NA,"Taylor, C.M. (MO)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2010-10-15 16:21:00-03","MO","MOBOT","100310391","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Hillia","ulei","Hillia ulei","K. Krause",NA,"Boris A. Krukoff","Krukoff 10171","1939","7",NA,"South America","Bolivia","La Paz","San Bartolomé, near Calisaya","-67.1833333","-16.1166667","750.00000000","950.00000000",NA,NA,NA,NA,"R.C. Foster","Sud Yungas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"27","2008-05-27 22:02:00-03","MO","MOBOT","1415087","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Hillia","ulei","Hillia ulei","K. Krause",NA,"Sidney T. McDaniel","McDaniel 25763","1982","3","11","South America","Peru","Loreto","Northeast Peru",NA,NA,NA,NA,NA,NA,NA,NA,"C.Taylor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2008-05-27 22:02:00-03","MO","MOBOT","1563686","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Hillia","ulei","Hillia ulei","K. Krause",NA,"Tom Delinks|G. A. Suárez","Delinks 192","1999","1","14","South America","Ecuador","Napo","Estación Biológica Jatun Sacha, 8 km east of Puerto Misahualli; tropical wet forest; collections are part of an epiphyte survey taken from a mature Phragmotheca tree in primary forest from the canopy walkway 25 m above ground level.","-77.61555","-1.06916","400.00000000","440.00000000",NA,NA,NA,NA,"C.M. Taylor (MO)","Tena",NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","2",NA
"29","2013-10-07 14:11:00-03","MO","MOBOT","3417216","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Hillia","ulei","Hillia ulei","K. Krause",NA,"Luzmila Arroyo P.|M. Muñoz|F. Abasto|N. Ortuño|J. Hajdu|H. Pantoja","Arroyo Padilla 2998","2005","11","6","South America","Bolivia","Santa Cruz","Comunidad de Bella Vista. Camino entre la escuela y el Sendero Cola de Mono. Bosque semideciduo.","-63.6730556","-18.3119444","1200.00000000",NA,NA,NA,NA,NA,"Luzmila Arroyo P","Florida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"30","2014-03-21 09:43:00-03","MO","MOBOT","100248233","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Hillia","ulei","Hillia ulei","K. Schum. ex Üle",NA,"Sidney T. McDaniel|Manuel Rimachi Y.","McDaniel 19953","1975","6","27","South America","Peru","Loreto","Dtto. Iquitos. Rio Nanay above Bellavista, quebrada to Mapa Cocha, innundated tahuampa.",NA,NA,NA,NA,NA,NA,NA,NA,"C.M. Taylor","Maynas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"31","2020-05-14 17:06:00-03","MO","MOBOT","100295320","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Hillia","ulei","Hillia ulei","K. Schum. ex Üle",NA,"Alfredo F. Fuentes|D. Alanes|R. Lipa|Saul Cusi","Fuentes Claros 15328","2009","9","27","South America","Bolivia","La Paz","Parque Nacional Madidi, sector San Guillermo.","-68.8113889","-14.5699723","1045.00000000",NA,NA,NA,NA,NA,"C.M. Taylor (MO)","Franz Tamayo",NA,NA,NA,NA,NA,NA,NA,NA,NA,"09-151","5",NA
"32","2019-01-25 04:36:00-02","MO","MOBOT","100308281","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Hillia","ulei","Hillia ulei","K. Schum. ex Üle",NA,"Rodolfo Vásquez|Christopher Davidson|Sharon R. Christoph|R. Rojas|Luis Valenzuela G.|F. Díaz|Antonio Peña","Vásquez Martínez 34930","2008","11","15","South America","Peru","Loreto","Dist. Parinari. Reserva Nacional Pacaya-Samiria, Atuncocha.","-74.3505556","-4.8952777","111.00000000",NA,NA,NA,NA,NA,"C.M. Taylor (MO)","Loreto",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1071","3",NA
"33","2020-05-30 04:37:00-03","MO","MOBOT","100364668","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Hillia","ulei","Hillia ulei","K. Schum. ex Üle","Isotype","Ernst Üle","Üle 6305",NA,NA,NA,"South America","Peru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C.M. Taylor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"34","2014-03-21 09:57:00-03","MO","MOBOT","100683829","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Hillia","ulei","Hillia ulei","K. Schum. ex Üle",NA,"Douglas C. Daly|E.C. de Oliveira|A. Sánchez|H. M. Oliveira","Daly 13679","2009","5","20","South America","Brazil","Acre","Rio Iquiri, upstream from km 37 (departing from Rio Branco) of BR-364.","-67.5452777","-10.0830556","165.00000000",NA,NA,NA,NA,NA,"C,M. Taylor","Senador Guiomard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"35","2015-04-20 05:25:00-03","MO","MOBOT","100683831","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Hillia","ulei","Hillia ulei","K. Schum. ex Üle",NA,"Pedro Acevedo-Rodríguez|E.C. de Oliveira|H. Medeiro|F. Obermuller","Acevedo-Rodríguez 14998","2009","2","23","South America","Brazil","Acre","Riozinho do Andirá. Along Rio Andirá.","-68.0922222","-9.7122222","160.00000000",NA,NA,NA,NA,NA,"C,M. Taylor","Bujari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"36","2019-01-25 04:36:00-02","MO","MOBOT","100798257","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Hillia","ulei","Hillia ulei","K. Schum. ex Üle",NA,"Luis Valenzuela G.|Jaime Flores","Valenzuela Gamarra 27926","2014","5","9","South America","Peru","Huánuco","Distrito Yuyapichis. CC.NN Tahuantinsuyo. Reserva Comunal el Sira.","-74.7525","-9.4322223","1190.00000000",NA,NA,NA,NA,NA,"C.M. Taylor (MO)","Puerto Inca",NA,NA,NA,NA,NA,NA,NA,NA,NA,"118","3",NA
"37","2016-05-23 15:02:00-03","MO","MOBOT","100911050","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Hillia","ulei","Hillia ulei","K. Schum. ex Üle",NA,"F. Obermuller|E.C. Oliveira|et al.","Obermuller 422","2008","12","20","South America","Brazil","Acre","Riozinho do Andirá.","-68.1288889","-9.7213889",NA,NA,NA,NA,NA,NA,"F.A. Obermüller","Bujari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"38","2014-03-21 09:34:00-03","MO","MOBOT","1153005","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Hillia","ulei","Hillia ulei","K. Schum. ex Üle",NA,"René Guillén V.|Timothy J. Killeen|Pablo Solíz","Guillén Villarroel 4703","1996","10","12","South America","Bolivia","Santa Cruz","Parque Nacional Noel Kempff Mercado, Huanchaca-2, en los alrededores de la parcela 1, bosque de galeria; suelos arcillosos rojizos, con mucha laterita.","-60.7425","-14.3625","700.00000000",NA,NA,NA,NA,NA,NA,"Velasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2014-04-04 05:49:00-03","MO","MOBOT","1239611","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Hillia","ulei","Hillia ulei","K. Schum. ex Üle",NA,"Rodolfo Vásquez|et al.","Vásquez Martínez 25123","1997","12","7","South America","Peru","Cajamarca","Namballe, Vega del Toro. Bosque primario, con tala selectiva.","-79.08361","-4.97944","800.00000000","1000.00000000",NA,NA,NA,NA,NA,"San Ignacio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA
"40","2014-04-04 05:50:00-03","MO","MOBOT","1252391","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Hillia","ulei","Hillia ulei","K. Schum. ex Üle",NA,"Rodolfo Vásquez|et al.","Vásquez Martínez 22600","1997","2","16","South America","Peru","Amazonas","Distrito El Cenepa, Comunidad de Mamayaque, Cerro Sakee-gaig. Bosque primario.","-78.23361","-4.58277","500.00000000",NA,NA,NA,NA,NA,NA,"Condorcanqui",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"41","2014-04-04 05:50:00-03","MO","MOBOT","1253584","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Hillia","ulei","Hillia ulei","K. Schum. ex Üle",NA,"Rodolfo Vásquez|et al.","Vásquez Martínez 23792","1997","5","29","South America","Peru","Amazonas","Distrito Imaza, Comunidad de Yamayakat. Bosque primario. Transecto 2 x 500 m.","-78.33805","-5.05666","600.00000000",NA,NA,NA,NA,NA,NA,"Bagua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA
"42","2014-03-21 09:39:00-03","MO","MOBOT","1415088","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Hillia","ulei","Hillia ulei","K. Schum. ex Üle",NA,"Boris A. Krukoff","Krukoff 10171","1939","7","1","South America","Bolivia","La Paz","North Yungas-Beni-Bolivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2014-03-21 09:40:00-03","MO","MOBOT","1512746","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Hillia","ulei","Hillia ulei","K. Schum. ex Üle",NA,"H. David Clarke","Clarke 4911","1997","5","24","South America","Guyana",NA,"Kamoa Mts.; summit of unnamed outlier, 5 km S of camp on Kassikaityu R.","-58.73833","1.78944","490.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2014-03-21 09:53:00-03","MO","MOBOT","1533843","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Hillia","ulei","Hillia ulei","K. Schum. ex Üle",NA,"Michael H. Nee","Nee 49572",NA,NA,NA,"South America","Bolivia","Santa Cruz","The plain around Santa Cruz that lies within the Flora de la Region del Parque Nacional Amboro","-63.6","-17.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2014-03-21 09:51:00-03","MO","MOBOT","1949456","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Hillia","ulei","Hillia ulei","K. Schum. ex Üle",NA,"Renate Seidel","Seidel 4550","1990","12","4","South America","Bolivia","La Paz",NA,"-67.3333333","-15.5","450.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"46","2014-03-21 09:51:00-03","MO","MOBOT","3109385","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Hillia","ulei","Hillia ulei","K. Schum. ex Üle",NA,"Isau Huamantupa|Nestor Jaramillo","Huamantupa Chuquimaco 5101","2005","2","25","South America","Peru","Loreto","Dist. Mazan, Sucusari, Parcela E, Bosque Primario","-72.51666","-3.15","160.00000000",NA,NA,NA,NA,NA,NA,"Maynas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA
"47","2014-03-21 09:39:00-03","MO","MOBOT","3138674","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Hillia","ulei","Hillia ulei","K. Schum. ex Üle",NA,"Calvin R. Sperling|Steven R. King|I. Lanza C.","Sperling 6639","1982","8","15","South America","Bolivia","Pando","60 km E of Porvernir on the road to Puerto Rico.","-68.2166667","-11.25","250.00000000",NA,NA,NA,NA,NA,NA,"Nicolas Suarez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
