"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","stateProvince","phylum","order","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","imagecode","scientificNameAuthorship","maximumElevationInMeters","identifiedBy","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","typeStatus","individualCount"
"11","2021-03-15 16:37:00-03","NY","NYBG","331082","PreservedSpecimen","Plantae","Rutaceae","Dictyoloma","vandellianum","Dictyoloma vandellianum","B. D. Sucre","5745","1969","07","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=512401' target='other'> <mi>dwc_moreinfo</mi></a>","NY00331082","Espírito Santo","Magnoliophyta","Sapindales","Linhares","Campo nativo de musununga do Quirino, Reserva de Sooretama.","-40.0719","-19.3911",NA,"NY00331082_01","A.Juss.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","331083","PreservedSpecimen","Plantae","Rutaceae","Dictyoloma","vandellianum","Dictyoloma vandellianum","H. C. de Lima","3569","1989","04","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=512402' target='other'> <mi>dwc_moreinfo</mi></a>","NY00331083","Rio de Janeiro","Magnoliophyta","Sapindales","Nova Friburgo","Reserva Ecológica Municipal de Macaé de Cima, Nascente do Rio das Flores. Próximo Faz. Sophronites.","-42.5308","-22.2819","1150","NY00331083_01","A.Juss.","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","02714004","PreservedSpecimen","Plantae","Rutaceae","Dictyoloma","vandellianum","Dictyoloma vandellianum","J. Braga","5339","1999","08","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3005666' target='other'> <mi>dwc_moreinfo</mi></a>","NY02714004","Rio de Janeiro","Magnoliophyta","Sapindales","Rio de Janeiro","Estrada da Vista Chinesa.","-43.257166","-22.971675",NA,"NY02714004_01","A.Juss.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","331067","PreservedSpecimen","Plantae","Rutaceae","Dictyoloma","vandellianum","Dictyoloma vandellianum","J. R. Pirani","2793","1993","05","11","South America","Brazil","sheet",NA,"Material fixado em Carnoy. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=512377' target='other'> <mi>dwc_moreinfo</mi></a>","NY00331067","Espírito Santo","Magnoliophyta","Sapindales","Domingos Martins","BR 262 Km 32, Mata perturbada nos encostas dos morros do Braço Norte do Rio Jucu.","-40.58263","-20.365026",NA,"NY00331067_01","A.Juss.",NA,"J. R. Pirani",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","929262","PreservedSpecimen","Plantae","Rutaceae","Dictyoloma","vandellianum","Dictyoloma vandellianum","Y. E. J. Mexia","4613","1930","04","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1034188' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929262","Minas Gerais","Magnoliophyta","Sapindales","Viçosa","Agricultural College lands; north slope of Barbado.","-42.860644","-20.766686","700","NY00929262_01","A.Juss.","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","331072","PreservedSpecimen","Plantae","Rutaceae","Dictyoloma","vandellianum","Dictyoloma vandellianum","M. Koscinsky","30840","1933","07","14","South America","Brazil","sheet",NA,"Ex.Herv.Serv.Fl.de S.Paulo No. 110 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=512396' target='other'> <mi>dwc_moreinfo</mi></a>","NY00331072","São Paulo","Magnoliophyta","Sapindales","Sao Paulo","Serra da Cantareira, S. P.","-46.63","-23.5403",NA,"NY00331072_01","A.Juss.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","331070","PreservedSpecimen","Plantae","Rutaceae","Dictyoloma","vandellianum","Dictyoloma vandellianum","J. R. Pirani","1971","1987","02","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=512374' target='other'> <mi>dwc_moreinfo</mi></a>","NY00331070","Bahia","Magnoliophyta","Sapindales","Cristópolis","Rodovia BR 020 (Salvador-Brasília), entre Barreiras e Ibotirama, ca. 140 km W de Ibotirama.","-44.42","-12.23",NA,"NY00331070_01","A.Juss.",NA,"J. R. Pirani",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","331073","PreservedSpecimen","Plantae","Rutaceae","Dictyoloma","vandellianum","Dictyoloma vandellianum","A. M. V. de Carvalho","1838","1983","04","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=512389' target='other'> <mi>dwc_moreinfo</mi></a>","NY00331073","Bahia","Magnoliophyta","Sapindales","Caetité","Estrada Caetité/Bom Jesus da Lapa no km 22.","-42.47","-14.06","1100","NY00331073_01","A.Juss.","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","331092","PreservedSpecimen","Plantae","Rutaceae","Dictyoloma","vandellianum","Dictyoloma vandellianum","B. Luschnath",NA,"1835",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=512386' target='other'> <mi>dwc_moreinfo</mi></a>","NY00331092","Rio de Janeiro","Magnoliophyta","Sapindales",NA,"Rio Jan",NA,NA,NA,"NY00331092_01","A.Juss.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","331090","PreservedSpecimen","Plantae","Rutaceae","Dictyoloma","vandellianum","Dictyoloma vandellianum","Martii Herbar. Florae Brasil.","120",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=512406' target='other'> <mi>dwc_moreinfo</mi></a>","NY00331090",NA,"Magnoliophyta","Sapindales",NA,"Brasilia",NA,NA,NA,"NY00331090_01","A.Juss.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","331064","PreservedSpecimen","Plantae","Rutaceae","Dictyoloma","vandellianum","Dictyoloma vandellianum","G. G. Hatschbach","49448","1985","06","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=512373' target='other'> <mi>dwc_moreinfo</mi></a>","NY00331064","Bahia","Magnoliophyta","Sapindales","Nova Viçosa","87 (mun. Nova Viçosa) Bahia","-39.3717","-17.8919",NA,"NY00331064_01","A.Juss.",NA,"J. R. Pirani",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","331089","PreservedSpecimen","Plantae","Rutaceae","Dictyoloma","vandellianum","Dictyoloma vandellianum","J. S. Blanchet","2102",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=512405' target='other'> <mi>dwc_moreinfo</mi></a>","NY00331089",NA,"Magnoliophyta","Sapindales",NA,"Brasilia",NA,NA,NA,"NY00331089_01","A.Juss.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","01271591","PreservedSpecimen","Plantae","Rutaceae","Dictyoloma","vandellianum","Dictyoloma vandellianum","J. M. Pires","10030","1965","07","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1503383' target='other'> <mi>dwc_moreinfo</mi></a>","NY01271591","Acre","Magnoliophyta","Sapindales","Rio Branco","Amapa","-67.8097","-9.9747",NA,"NY01271591_01","A.Juss.",NA,"J. A. Kallunki",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","309625","PreservedSpecimen","Plantae","Rutaceae","Dictyoloma","vandellianum","Dictyoloma vandellianum","M. H. Nee","49730","1998","06","11","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=388664' target='other'> <mi>dwc_moreinfo</mi></a>","NY00309625","Santa Cruz","Magnoliophyta","Sapindales","Ichilo","Along road to Palacios, 2.5 km NNW of Montero-Buena Vista highway.","-63.6","-17.38","295",NA,"A.Juss.","295",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","01271592","PreservedSpecimen","Plantae","Rutaceae","Dictyoloma","vandellianum","Dictyoloma vandellianum","M. H. Nee","34532","1987","03","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=66176' target='other'> <mi>dwc_moreinfo</mi></a>","NY01271592","Rondônia","Magnoliophyta","Sapindales","Costa Marques","9.5 km. E of Forte Principe da Beira. (Between road from Costa Marques to Forte Principe da Beira and Rio Guapore.)","-64.333333","-12.433333","150","NY01271592_01","A.Juss.","150","J. A. Kallunki",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","929261","PreservedSpecimen","Plantae","Rutaceae","Dictyoloma","vandellianum","Dictyoloma vandellianum","Z. A. Trinta","637","1964","03","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1034184' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929261","Minas Gerais","Magnoliophyta","Sapindales",NA,"Inter Barbacena et Barroso.",NA,NA,NA,"NY00929261_01","A.Juss.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","929257","PreservedSpecimen","Plantae","Rutaceae","Dictyoloma","vandellianum","Dictyoloma vandellianum","Z. A. Trinta","1889","1964","04","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1034118' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929257","Minas Gerais","Magnoliophyta","Sapindales","Pedra Azul","Caminho do aeroporto.","-41.241281","-16.052938",NA,"NY00929257_01","A.Juss.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","331063","PreservedSpecimen","Plantae","Rutaceae","Dictyoloma","vandellianum","Dictyoloma vandellianum","R. P. Belém","2198","1966","05","13","South America","Brazil","sheet",NA,"Coleçao de Madeira <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=512382' target='other'> <mi>dwc_moreinfo</mi></a>","NY00331063","Bahia","Magnoliophyta","Sapindales","Itacaré","Rodovia Ubaitaba - Itacaré. Plantaçao de cacau.","-38.9967","-14.2778",NA,"NY00331063_01","A.Juss.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","01271593","PreservedSpecimen","Plantae","Rutaceae","Dictyoloma","vandellianum","Dictyoloma vandellianum","D. C. Daly","6847","1991","06","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=66175' target='other'> <mi>dwc_moreinfo</mi></a>","NY01271593","Acre","Magnoliophyta","Sapindales","Rio Branco","Outskirts of the city, along Brasiléia-Assis Brasil road.","-67.8097","-9.9747",NA,"NY01271593_01","A.Juss.",NA,"J. A. Kallunki",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","331080","PreservedSpecimen","Plantae","Rutaceae","Dictyoloma","vandellianum","Dictyoloma vandellianum","R. M. Harley","19969","1977","03","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=512383' target='other'> <mi>dwc_moreinfo</mi></a>","NY00331080","Bahia","Magnoliophyta","Sapindales",NA,"9 km south of small town of Mato Grosso, on the road to Vila do Rio de Contas.","-41.82","-13.48","1200","NY00331080_01","A.Juss.","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","01271594","PreservedSpecimen","Plantae","Rutaceae","Dictyoloma","vandellianum","Dictyoloma vandellianum","G. T. Prance","5179","1968","06","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1503385' target='other'> <mi>dwc_moreinfo</mi></a>","NY01271594","Rondônia","Magnoliophyta","Sapindales",NA,"between Jaciparaná and Rio Madeira","-64.408483","-9.232415",NA,"NY01271594_01","A.Juss.",NA,"S. R. Hill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","612620","PreservedSpecimen","Plantae","Rutaceae","Dictyoloma","vandellianum","Dictyoloma vandellianum","B. L. Stannard","H-52769","1992","03","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=512376' target='other'> <mi>dwc_moreinfo</mi></a>","NY00612620","Bahia","Magnoliophyta","Sapindales","Abaíra","Guarda Mor, arredores de Catolés.","-41.85","-13.28","1000","NY00612620_01","A.Juss.","1100","J. R. Pirani",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","929263","PreservedSpecimen","Plantae","Rutaceae","Dictyoloma","vandellianum","Dictyoloma vandellianum","L. Emygdio de Mello Filho","3408","1972","07","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1034195' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929263","Minas Gerais","Magnoliophyta","Sapindales",NA,"Gandarela, caminho para mina de linhito.",NA,NA,"1550","NY00929263_01","A.Juss.","1550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","01271587","PreservedSpecimen","Plantae","Rutaceae","Dictyoloma","vandellianum","Dictyoloma vandellianum","M. dos R. Cordeiro","892","1976","04","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1503377' target='other'> <mi>dwc_moreinfo</mi></a>","NY01271587","Rondônia","Magnoliophyta","Sapindales","Guajará-Mirim","Sub-base Proj. RADAM - Estrada do Palheta Front.","-65.3394","-10.7828",NA,"NY01271587_01","A.Juss.",NA,"J. A. Kallunki",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","929265","PreservedSpecimen","Plantae","Rutaceae","Dictyoloma","vandellianum","Dictyoloma vandellianum","L. M. M. Carreira","680","1983","05","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1034207' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929265","Mato Grosso","Magnoliophyta","Sapindales",NA,"Estrada de Pontes e Lacerda a Vila Bela.","-59.6331","-15.1231",NA,"NY00929265_01","A.Juss.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","331076","PreservedSpecimen","Plantae","Rutaceae","Dictyoloma","vandellianum","Dictyoloma vandellianum","A. Euponino","468","1980","05","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=512391' target='other'> <mi>dwc_moreinfo</mi></a>","NY00331076","Bahia","Magnoliophyta","Sapindales","Porto Seguro","Rod. BR-367, a 50 km a W de Porto Seguro. Regiao de Mata Higrófila Sul Baiana. Folha SE-24 (16-39c).","-39.4769159","-16.3896493",NA,"NY00331076_01","A.Juss.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","331084","PreservedSpecimen","Plantae","Rutaceae","Dictyoloma","vandellianum","Dictyoloma vandellianum","D. A. Folli","1","1978","05","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=512392' target='other'> <mi>dwc_moreinfo</mi></a>","NY00331084","Espírito Santo","Magnoliophyta","Sapindales","Linhares","Reserva Florestal da CVRD. Linhares Esp. Santo Est. Flamengo, ant. x-1, km 1,625, talhao 607.","-40.0719","-19.3911",NA,"NY00331084_01","A.Juss.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","411786","PreservedSpecimen","Plantae","Rutaceae","Dictyoloma","vandellianum","Dictyoloma vandellianum","R. C. Forzza","1183","1999","04","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=512380' target='other'> <mi>dwc_moreinfo</mi></a>","NY00411786","Bahia","Magnoliophyta","Sapindales","Rio de Contas","Pico das Almas.","-41.8114","-13.5792",NA,"NY00411786_01","A.Juss.",NA,"J. A. Kallunki",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","309626","PreservedSpecimen","Plantae","Rutaceae","Dictyoloma","vandellianum","Dictyoloma vandellianum","M. H. Nee","49730","1998","06","11","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=388665' target='other'> <mi>dwc_moreinfo</mi></a>","NY00309626","Santa Cruz","Magnoliophyta","Sapindales","Ichilo","Along road to Palacios, 2.5 km NNW of Montero-Buena Vista highway.","-63.6","-17.38","295",NA,"A.Juss.","295",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","331071","PreservedSpecimen","Plantae","Rutaceae","Dictyoloma","vandellianum","Dictyoloma vandellianum","A. M. Amorim","1235","1993","04","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=512378' target='other'> <mi>dwc_moreinfo</mi></a>","NY00331071","Bahia","Magnoliophyta","Sapindales","Una","Reserva Biológica do Mico-leao (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una. Regiao da Mata Higrófila Sul Baiana. Coletas efetuadas na estrada que leva a sede da reserva.","-39.08","-15.15",NA,"NY00331071_01","A.Juss.",NA,"J. A. Kallunki",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","305981","PreservedSpecimen","Plantae","Rutaceae","Dictyoloma","vandellianum","Dictyoloma vandellianum","M. H. Nee","48791","1998","03","28","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=66170' target='other'> <mi>dwc_moreinfo</mi></a>","NY00305981","Santa Cruz","Magnoliophyta","Sapindales","Andrés Ibáñez","One of the most natural pampas grasslands left between Santa Cruz and Pedro Lorenzo, along highway from Santa Cruz to Abapó, 5.4 km S of turnoff at km. 13.","-63.25","-17.92","470",NA,"A.Juss.","470",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","02730710","PreservedSpecimen","Plantae","Rutaceae","Dictyoloma","vandellianum","Dictyoloma vandellianum","S. J. da Silva Neto","1681","2002","03","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3192036' target='other'> <mi>dwc_moreinfo</mi></a>","NY02730710","Rio de Janeiro","Magnoliophyta","Sapindales","Nova Iguaçu","Estrada para Arcádia, após a lagoa das lontras. REBIO do Tinguá","-43.451099395752","-22.7591991424561",NA,"NY02730710_01","A.Juss.",NA,NA,"25743","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","84947","PreservedSpecimen","Plantae","Rutaceae","Dictyoloma","vandellianum","Dictyoloma vandellianum","B. C. Bennett","3791","1989","04","22","South America","Ecuador","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=388668' target='other'> <mi>dwc_moreinfo</mi></a>","NY00084947","Morona-Santiago","Magnoliophyta","Sapindales",NA,"Centro Shuar Yukutais. Chacras south of Centro, within 150m of path","-78.17","-3.5",NA,NA,"A.Juss.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
