"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordNumber","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","recordedBy","year","month","day","locality","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","identifiedBy","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","order","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","previousCatalogNumber"
"57","2021-02-08 12:50:10-03","UFRGS","ICN","037622","S","Plantae","Marchantiophyta","Aytoniaceae","Asterella","venosa","Asterella venosa","A. Evans","1528","América do Sul","Brasil",NA,"sobre barranco umido",NA,NA,"Bueno, RM","1982","04","29","Giruazinho","RS","Giruá","-54.3497009277344","-28.028299331665",NA,NA,"Peralta, DF","2014","08","23862","auto",NA,NA,NA,NA,"01",NA
"58","2021-02-08 12:50:10-03","UFRGS","ICN","005670","S","Plantae","Marchantiophyta","Aytoniaceae","Asterella","venosa","Asterella venosa","A. Evans","s.n.","América do Sul","Brasil",NA,"apresenta escamas roxas",NA,NA,"Irgang, BE","1968","09","09",NA,"RS","Panambi","-53.5017013549805","-28.2924995422363",NA,NA,"Peralta, DF","2014","08","22393","auto",NA,NA,NA,NA,"01",NA
"59","2021-02-08 12:50:10-03","UFRGS","ICN","012158","S","Plantae","Marchantiophyta","Aytoniaceae","Asterella","venosa","Asterella venosa","A. Evans","6587","América do Sul","Brasil",NA,NA,NA,NA,"Lindeman, JC","1971","10","31","Parque Florestal do Turvo","RS","Tenente Portela","-53.75830078125","-27.3710994720459",NA,NA,"Peralta, DF","2014","08","14404","auto",NA,NA,NA,NA,"01",NA
"60","2021-02-08 12:50:10-03","UFRGS","ICN","037002","S","Plantae","Marchantiophyta","Aytoniaceae","Asterella","venosa","Asterella venosa","A. Evans","s.n.","América do Sul","Brasil",NA,"Em barranco úmido, pouco acima do nível do rio Faxinalzinho, formando revestimento denso, contínuo",NA,NA,"Waechter, JL","1978","08","27","Pedra Branca, perto da entrada para Faxinalzinho","SC","Praia Grande","-49.9502983093262","-29.1966991424561",NA,NA,"Peralta, DF","2014","08","21549","auto",NA,NA,NA,NA,"01",NA
"61","2021-02-08 12:50:10-03","UFRGS","ICN","058465","S","Plantae","Marchantiophyta","Aytoniaceae","Asterella","venosa","Asterella venosa","A. Evans","s.n.","América do Sul","Brasil",NA,NA,NA,NA,"Longhi, M","1986","06","07",NA,"RS","Arroio dos Ratos","-51.7291984558105","-30.0771999359131",NA,NA,"Peralta, D","2019",NA,"29956","auto",NA,NA,NA,NA,NA,NA
"62","2021-02-08 12:50:10-03","UFRGS","ICN","039763","S","Plantae","Marchantiophyta","Aytoniaceae","Asterella","venosa","Asterella venosa","A. Evans","2687","América do Sul","Brasil",NA,"em beira de riacho",NA,NA,"Bueno, RM","1981","08","29",NA,"RS","Arroio dos Ratos","-51.7291984558105","-30.0771999359131",NA,NA,"Peralta, DF","2014","08","29956","auto",NA,NA,NA,NA,"01",NA
"63","2021-02-08 12:50:10-03","UFRGS","ICN","039832","S","Plantae","Marchantiophyta","Aytoniaceae","Asterella","venosa","Asterella venosa","A. Evans","2674","América do Sul","Brasil",NA,NA,NA,NA,"Bueno, RM","1981","11","02","estrada para Porto Alegre","RS","Bagé","-54.1068992614746","-31.3313999176025",NA,NA,"Peralta, DF","2014","08","74087","auto",NA,NA,NA,NA,"01",NA
"64","2021-02-08 12:50:10-03","UFRGS","ICN","039759","S","Plantae","Marchantiophyta","Aytoniaceae","Asterella","venosa","Asterella venosa","A. Evans","2683","América do Sul","Brasil",NA,"margem do arroio Sta Maria Chico",NA,NA,"Bueno, RM","1981","11","01","estrada para Porto Alegre","RS","Bagé","-54.1068992614746","-31.3313999176025",NA,NA,"Peralta, DF","2014","08","74087","auto",NA,NA,NA,NA,"01",NA
"65","2021-02-08 12:50:10-03","UFRGS","ICN","039842","S","Plantae","Marchantiophyta","Aytoniaceae","Asterella","venosa","Asterella venosa","A. Evans","3067","América do Sul","Brasil",NA,NA,NA,NA,"Bueno, RM","1982","10","10",NA,"RS","Caçapava do Sul","-53.4914016723633","-30.5121994018555",NA,NA,"Peralta, DF","2014","08","50525","auto",NA,NA,NA,NA,"01",NA
"66","2021-02-08 12:50:10-03","UFRGS","ICN","058607","S","Plantae","Marchantiophyta","Aytoniaceae","Asterella","venosa","Asterella venosa","A. Evans","7607","América do Sul","Brasil",NA,NA,NA,NA,"Vianna, EC","1987","11","16","Rio Camaquã","RS","Caçapava do Sul","-53.4914016723633","-30.5121994018555",NA,NA,"Peralta, DF","2014","08","50525","auto",NA,NA,NA,NA,"01",NA
"67","2021-02-08 12:50:10-03","UFRGS","ICN","036272","S","Plantae","Marchantiophyta","Aytoniaceae","Asterella","venosa","Asterella venosa","A. Evans","3272","América do Sul","Brasil",NA,"bordos de arroio",NA,NA,"Vianna, EC","1976","12","12","Rincão do Inferno","RS","Lavras do Sul","-53.8950004577637","-30.8131008148193",NA,NA,"Peralta, DF","2014","08","76406","auto",NA,NA,NA,NA,"01",NA
"68","2021-02-08 12:50:10-03","UFRGS","ICN","011317","S","Plantae","Marchantiophyta","Aytoniaceae","Asterella","venosa","Asterella venosa","A. Evans","s.n.","América do Sul","Brasil",NA,NA,NA,NA,"Oliveira, P","1969","07","18",NA,"RS","Panambi","-53.5017013549805","-28.2924995422363",NA,NA,"Peralta, DF","2014","08","22393","auto",NA,NA,NA,NA,"01",NA
"69","2021-02-08 12:50:10-03","UFRGS","ICN","036152","S","Plantae","Marchantiophyta","Aytoniaceae","Asterella","venosa","Asterella venosa","A. Evans","3152","América do Sul","Brasil",NA,NA,NA,NA,"Vianna, EC","1976","12","10","Nascente do rio Ijuí","RS","Santiago","-54.8671989440918","-29.1916999816895",NA,NA,"Peralta, DF","2014","08","56006","auto",NA,NA,NA,NA,"01",NA
"70","2021-02-08 12:50:10-03","UFRGS","ICN","036154","S","Plantae","Marchantiophyta","Aytoniaceae","Asterella","venosa","Asterella venosa","A. Evans","3154","América do Sul","Brasil",NA,NA,NA,NA,"Vianna, EC","1976","12","11","Entre São Francisco de Assis e Cacequi, Rio Ibicuí","RS","São Francisco de Assis","-55.1310997009277","-29.5503005981445",NA,NA,"Peralta, DF","2014","08","48310","auto",NA,NA,NA,NA,"01",NA
"71","2021-02-08 12:50:10-03","UFRGS","ICN","037415","S","Plantae","Marchantiophyta","Aytoniaceae","Asterella","venosa","Asterella venosa","A. Evans","384","América do Sul","Brasil",NA,"sobre pedra, local umido",NA,NA,"Bueno, RM","1980","04","18",NA,"RS","São Leopoldo","-51.1472015380859","-29.7602996826172",NA,NA,"Peralta, DF","2014","08","10287","auto",NA,NA,NA,NA,"01",NA
"72","2021-02-08 12:50:10-03","UFRGS","ICN","011688","S","Plantae","Marchantiophyta","Aytoniaceae","Asterella","venosa","Asterella venosa","A. Evans","1034","América do Sul","Brasil",NA,NA,NA,NA,"Sehnem, A","1935","11","08","Fazenda Pedreira","RS","São Leopoldo","-51.1472015380859","-29.7602996826172",NA,NA,"Peralta, DF","2014","08","10287","auto",NA,NA,NA,NA,"01",NA
"73","2021-02-08 12:50:10-03","UFRGS","ICN","037416","S","Plantae","Marchantiophyta","Aytoniaceae","Asterella","venosa","Asterella venosa","A. Evans","385","América do Sul","Brasil",NA,"em local umido, a beira de riacho",NA,NA,"Bueno, RM","1980","04","18","Floresta","RS","São Leopoldo","-51.1472015380859","-29.7602996826172",NA,NA,"Peralta, DF","2014","08","10287","auto",NA,NA,NA,NA,"01",NA
"74","2021-02-08 12:50:10-03","UFRGS","ICN","037624","S","Plantae","Marchantiophyta","Aytoniaceae","Asterella","venosa","Asterella venosa","A. Evans","1568","América do Sul","Brasil",NA,"sobre barranco da ponte velha",NA,NA,"Bueno, RM","1982","05","01","beira do rio Piratini","RS","São Luiz Gonzaga","-54.9608001708984","-28.4083003997803",NA,NA,"Peralta, DF","2014","08","39496","auto",NA,NA,NA,NA,"01",NA
"75","2021-02-08 12:50:10-03","UFRGS","ICN","037262","S","Plantae","Marchantiophyta","Aytoniaceae","Asterella","venosa","Asterella venosa","A. Evans","453","América do Sul","Brasil",NA,"abaixo do barranco do rio Uruguai",NA,NA,"Bueno, RM","1980","07","08","Parque Estadual do Turvo, Salto do Yucumã","RS","Tenente Portela","-53.75830078125","-27.3710994720459",NA,NA,"Peralta, DF","2014","08","14404","auto",NA,NA,NA,NA,"01",NA
"76","2021-02-08 12:50:10-03","UFRGS","ICN","037259","S","Plantae","Marchantiophyta","Aytoniaceae","Asterella","venosa","Asterella venosa","A. Evans","450","América do Sul","Brasil",NA,NA,NA,NA,"Bueno, RM","1980","07","08","Parque Estadual do Turvo, Salto do Yucumã","RS","Tenente Portela","-53.75830078125","-27.3710994720459",NA,NA,"Peralta, DF","2014","08","14404","auto",NA,NA,NA,NA,"01",NA
"77","2021-02-08 12:50:10-03","UFRGS","ICN","011272","S","Plantae","Marchantiophyta","Aytoniaceae","Asterella","venosa","Asterella venosa","A. Evans","s.n.","América do Sul","Brasil",NA,NA,NA,NA,"Oliveira, P","1969","07","23","Parque Florestal do Turvo","RS","Tenente Portela","-53.75830078125","-27.3710994720459",NA,NA,"Peralta, DF","2014","08","14404","auto",NA,NA,NA,NA,"01",NA
"78","2021-02-08 12:50:10-03","UFRGS","ICN","011324","S","Plantae","Marchantiophyta","Aytoniaceae","Asterella","venosa","Asterella venosa","A. Evans","s.n.","América do Sul","Brasil",NA,NA,NA,NA,"Oliveira, P","1969","07","22","Parque Florestal do Turvo","RS","Tenente Portela","-53.75830078125","-27.3710994720459",NA,NA,"Peralta, DF","2014","08","14404","auto",NA,NA,NA,NA,"01",NA
"79","2021-02-08 12:50:10-03","UFRGS","ICN","011334","S","Plantae","Marchantiophyta","Aytoniaceae","Asterella","venosa","Asterella venosa","A. Evans","s.n.","América do Sul","Brasil",NA,NA,NA,NA,"Oliveira, P","1969","07","21","Parque Florestal do Turvo","RS","Tenente Portela","-53.75830078125","-27.3710994720459",NA,NA,"Peralta, DF","2014","08","14404","auto",NA,NA,NA,NA,"01",NA
"80","2021-02-08 12:50:10-03","UFRGS","ICN","039817","S","Plantae","Marchantiophyta","Aytoniaceae","Asterella","venosa","Asterella venosa","A. Evans","2659","América do Sul","Brasil",NA,NA,NA,NA,"Bueno, RM","1980","07","05","Parque Florestal Estadual do Turvo, Porto Garcia","RS","Tenente Portela","-53.75830078125","-27.3710994720459",NA,NA,"Peralta, DF","2014","08","14404","auto",NA,NA,NA,NA,"01",NA
"81","2021-02-08 12:50:10-03","UFRGS","ICN","012327","S","Plantae","Marchantiophyta","Aytoniaceae","Asterella","venosa","Asterella venosa","A. Evans","2327","América do Sul","Brasil",NA,NA,NA,NA,"Vianna, EC","1971","12","05","Rio Ibitiriá","RS","Vacaria","-50.9338989257812","-28.5121994018555",NA,NA,"Peralta, DF","2014","08","63451","auto",NA,NA,NA,NA,"01",NA
"82","2021-02-08 12:50:10-03","UFRGS","ICN","011872","S","Plantae","Marchantiophyta","Aytoniaceae","Asterella","venosa","Asterella venosa","A. Evans","5396","América do Sul","Brasil",NA,NA,NA,NA,"Sehnem, A","1951","01","09",NA,"SC","Lages","-50.326099395752","-27.8160991668701",NA,NA,"Peralta, DF","2014","08","70701","auto",NA,NA,NA,NA,"01",NA
