FID,family,specie,Comparação,id,inst_code,col_code,catalog_n,recordedby,record_n,year,month,day,state,city,locality,longitude,latitude,precision,protocol,categoria,projeto
71,ACANTHACEAE,Justicia kleinii,,54c7cad384158, ,ESA,39571,"Farah, F.T. Gorenstein, M.R.",19,1997,7,26,SP,Itanhaém, ,-46.812912,-24.070898, , ,LC,Livro Vermelho 2013
72,ACANTHACEAE,Justicia kleinii,,54c7cad809328, ,ESA,33128,"Joaquim, G.O. et al.",15,1996,9,7,SP,Itanhaém, ,-46.812912,-24.070898, , ,LC,Livro Vermelho 2013
73,ACANTHACEAE,Justicia laevilinguis,,54c7ca205a8a5, ,RB,35699,"Toledo, F.T. de",546,1913,4,0,SP,São Paulo,SantÂ´Anna.,-46.593792,-23.517736, , ,LC,Livro Vermelho 2013
74,ACANTHACEAE,Justicia lythroides,,54c7ca205acfc, ,ESA,32028,"Souza, V.C. Rodrigues, R.R., Souza, J.P., Sanches, I.D., Astorino, A., Magossi, R., Petrini, M., Tav",11149,1996,6,1,SP,Nazaré Paulista,Estrada em torno da Represa Atibainha. Mata mesófila semidecídua.,-46.357777,-23.1425, , ,LC,Livro Vermelho 2013
75,ACANTHACEAE,Justicia lythroides,,54c7ca205ad7a, ,ESA,19544,"Barreto, K.D. Fernandes, G.D., Vitti, F.X.",2089,1994,3,2,SP,Cabreúva,Mata da Casa Branca. Mata mesófila semidecídua.,-47.014,-23.16, , ,LC,Livro Vermelho 2013
76,ACANTHACEAE,Justicia lythroides,,54c7ca205b7c0, ,HUEFS,38352,"Souza, V.C.",11149,1996,6,1,SP,Nazaré Paulista,Estrada em torno da Represa Atibainha.,-46.357778,-23.1425, , ,LC,Livro Vermelho 2013
77,ACANTHACEAE,Justicia lythroides,,54c7ca205b9db, ,UEC,108904,"Pansarin, E.R.",N97/54,1997,0,20,SP,Jundiaí,"Serra do Japi-Bairro Eloy Chaves, proximo á represa do DAE.",-46.934233,-23.29517, , ,LC,Livro Vermelho 2013
78,ACANTHACEAE,Justicia lythroides,,54c7ca205bf08, ,UEC,70537,"Tamashiro, J.Y.",797,0,0,0,SP,Joanópolis,estrada para bairro Azevedo,-46.189722,-22.895833, , ,LC,Livro Vermelho 2013
79,ACANTHACEAE,Justicia lythroides,,54c7ca205c07d, ,UEC,72168,"Kiyama, C.Y.",84,0,0,0,SP,Jundiaí,Serra do Japi,-46.934233,-23.29517, , ,LC,Livro Vermelho 2013
80,ACANTHACEAE,Justicia lythroides,,54c7ca9aeab45, ,MBM,240052,"Souza, V.C.",11149,1996,6,1,SP,Nazaré Paulista, ,-46.364209,-23.190016, , ,LC,Livro Vermelho 2013
81,ACANTHACEAE,Justicia lythroides,,54c7cac921b5a, ,HRCB,20098,"Kiyama, C.Y.",s.n.,1995,1,1,SP,Jundiaí, ,-46.907097,-23.201207, , ,LC,Livro Vermelho 2013
82,ACANTHACEAE,Justicia lythroides,,54c7cac9a98ab, ,HRCB,19513,"Tamashiro, J.Y.",s.n.,1995,1,1,SP,Joanópolis, ,-46.219195,-22.937108, , ,LC,Livro Vermelho 2013
83,ACANTHACEAE,Justicia lythroides,,54c7cad9349fa, ,ESA,20512,"Tamashiro, J.Y. et al.",797,1995,4,11,SP,Joanópolis, ,-46.219195,-22.937108, , ,LC,Livro Vermelho 2013
84,ACANTHACEAE,Ruellia dissitifolia,,54c7ca20e4124, ,NYBG,492388,W. Hoehne,s.n.,1936,11,10,SP,Iperó,Iperó.,-47.68,-23.35, , ,LC,Livro Vermelho 2013
85,ACANTHACEAE,Ruellia dissitifolia,,54c7ca20e4705, ,SPSF,03028,J.P.Coelho, ,1947,5,22,SP,Sao Paulo,Horto Florestal,-46.633963,-23.462716, , ,LC,Livro Vermelho 2013
86,ACANTHACEAE,Ruellia multifolia,,54c7ca20e56c9, ,SPSF,30511,J.B.Baitello,1235,2002,10,14,SP,Franco da Rocha,P.E.Juqueri,-46.693792,-23.351547, , ,LC,Livro Vermelho 2013
87,ACANTHACEAE,Stenandrium diphyllum,,54c7cb6fdb9e5, ,RB,4133,Lizanem,s.n.,1909,9,27,SP,São José dos Campos, ,-45.913422,-23.153068, , ,LC,Livro Vermelho 2013
88,ALSTROEMERIACEAE,Alstroemeria caryophyllaea,,54c7ca20f0a96, ,IAC,52645,A.F.C. Tombolato, ,2008,5,26,SP,Nazaré Paulista,Centro de Vivência,-46.395,-23.1811, , ,EN,Livro Vermelho 2013
89,ALSTROEMERIACEAE,Alstroemeria caryophyllaea,,54c7ca20f0ba2, ,IPA,9146,"Pickel, B.",5318,1941,6,11,SP,São Paulo,Horto Florestal,-46.633963,-23.462716, , ,EN,Livro Vermelho 2013
90,AMARANTHACEAE,Alternanthera micrantha,,54c7ca217c20a, ,SP,319106,"Bernacci, L.C.",21409,1988,1,25,SP,Atibaia,Fazenda Grota Funda,-46.572982,-23.129536, , ,LC,Livro Vermelho 2013
91,AMARANTHACEAE,Alternanthera micrantha,,54c7ca217c291, ,UEC,54989,"Bernacci, L.C.",21113,1987,0,4,SP,Atibaia,Fazenda Grota Funda.,-46.572982,-23.129536, , ,LC,Livro Vermelho 2013
92,AMARANTHACEAE,Alternanthera paronychioides,,54c7ca217c63e, ,HUEFS,147216,"Bartolomeu, J.G.",SPF15287,1954,3,11,SP,São Paulo,Horto da Fac. Farmácia de São Paulo.,-46.730627,-23.564263, , ,LC,Livro Vermelho 2013
93,AMARANTHACEAE,Alternanthera paronychioides,,54c7ca217c955, ,SP,11092,"Usteri, A.",s.n.,1905,10,17,SP,São Paulo,Barra Funda,-46.593792,-23.517736, , ,LC,Livro Vermelho 2013
94,AMARANTHACEAE,Alternanthera sessilis,,54c7ca217dc0b, ,HUEFS,147187,"Hoehne, W.", ,1932,4,23,SP,São Paulo,Terrenos da F.M.S.P.,-46.593792,-23.517736, , ,LC,Livro Vermelho 2013
95,AMARANTHACEAE,Alternanthera tenella,,54c7ca21825c7, ,HUEFS,145853,"Correa, J.A.",60,1974,5,5,SP,São Paulo,Reserva Biológica do Parque Estadual das Fontes do Ipiranga.,-46.623,-23.654, , ,LC,Livro Vermelho 2013
96,AMARANTHACEAE,Alternanthera tenella,,54c7ca2182645, ,HUEFS,145854,"Kral, R.",75368,1988,10,27,SP,São Paulo,Instituto de BotÃ¢nica.,-46.618201,-23.642075, , ,LC,Livro Vermelho 2013
97,AMARANTHACEAE,Alternanthera tenella,,54c7ca218273b, ,HUEFS,145857,"Silva, J.S.",213,1973,8,15,SP,São Paulo,Parque do Estado e Jardim BotÃ¢nico.,-46.633963,-23.462716, , ,LC,Livro Vermelho 2013
98,AMARANTHACEAE,Alternanthera tenella,,54c7ca21827c1, ,HUEFS,145858,"Sendulsky, T.",1004,1968,8,13,SP,São Paulo,Parque do Estado e Jardim BotÃ¢nico.,-46.633963,-23.462716, , ,LC,Livro Vermelho 2013
99,AMARANTHACEAE,Alternanthera tenella,,54c7ca2182a3b, ,HUEFS,147229,"Hoehne, W.",SPF13054,1946,7,31,SP,São Paulo,Campo de congonhas.,-46.593792,-23.517736, , ,LC,Livro Vermelho 2013
100,AMARANTHACEAE,Alternanthera tenella,,54c7ca2182ab5, ,HUEFS,147230,"Hoehne, W.",SPF11801,1948,5,22,SP,São Paulo,Bairro Pacaembú.,-46.593792,-23.517736, , ,LC,Livro Vermelho 2013
101,AMARANTHACEAE,Alternanthera tenella,,54c7ca2182e0e, ,IAC,28716,"L.C. Bernacci, R.B. Torres & O. Camargo",65,1994,4,12,SP,Jundiaí,"IAC, Estação Experimental",-46.927972,-23.111861, , ,LC,Livro Vermelho 2013
102,AMARANTHACEAE,Alternanthera tenella,,54c7ca218393e, ,INPA,141308,"Sendulsky, T.",1004,0,0,0,SP,S&#227;o Paulo,Jardim Bot&#226;nico e Parque do Estado,-46.633963,-23.462716, , ,LC,Livro Vermelho 2013
103,AMARANTHACEAE,Alternanthera tenella,,54c7ca21861ef, ,NYBG,487056,K. Mizoguchi,1611,1980,7,22,SP,Sao Roque,Linha Sorocabana,-47.13,-23.52, , ,LC,Livro Vermelho 2013
104,AMARANTHACEAE,Alternanthera tenella,,54c7ca2186244, ,NYBG,487057,C. G. Fonseca,56,1961,6,2,SP,Sao Paulo,"Parque do Estado (on old maps """"Parque de Agua Funda""""), grounds of the Instituto de BotÃ¢nica. Ca. 10 km south and ca 1 km east of center of SAO PAULO (Praça da Sé)",-46.6,-23.6, , ,LC,Livro Vermelho 2013
105,AMARANTHACEAE,Alternanthera tenella,,54c7ca220b756, ,SP,11044,"Usteri, A.",s.n.,1905,10,16,SP,São Paulo,Cantareira,-46.645745,-23.444658, , ,LC,Livro Vermelho 2013
106,AMARANTHACEAE,Alternanthera tenella,,54c7ca220b7d0, ,SP,111558,"Fonseca, C.G.",56,1961,6,2,SP,São Paulo,Parque do Estado-Em clareira em capoeirão,-46.633963,-23.462716, , ,LC,Livro Vermelho 2013
107,AMARANTHACEAE,Alternanthera tenella,,54c7ca220b84b, ,SP,111641,"Sendulsky, T.",1004,1968,8,13,SP,São Paulo,"Jardim BotÃ¢nico, Parque do Estado",-46.633963,-23.462716, , ,LC,Livro Vermelho 2013
108,AMARANTHACEAE,Alternanthera tenella,,54c7ca220b8c4, ,SP,120588,"Silva, J.S.",213,1973,8,15,SP,São Paulo,"Jardim BotÃ¢nico, Parque do Estado",-46.633963,-23.462716, , ,LC,Livro Vermelho 2013
109,AMARANTHACEAE,Alternanthera tenella,,54c7ca220baae, ,SP,138210,"CorrÃªa, J.A.",60,1974,5,5,SP,São Paulo,Parque Estadual das Fontes do Ipiranga-Reserva Biológica. área 15,-46.623,-23.654, , ,LC,Livro Vermelho 2013
110,AMARANTHACEAE,Alternanthera tenella,,54c7ca220bb27, ,SP,186502,"Custodio Filho, A.",882,1982,9,13,SP,São Paulo,Parque do Estado,-46.633963,-23.462716, , ,LC,Livro Vermelho 2013
111,AMARANTHACEAE,Alternanthera tenella,,54c7ca220bc94, ,SP,235206,"Kral, R.",75368,1988,10,27,SP,São Paulo,Instituto de BotÃ¢nica. Weedy in clearings around Herbarium,-46.618201,-23.642075, , ,LC,Livro Vermelho 2013
112,AMARANTHACEAE,Alternanthera tenella,,54c7ca220bd84, ,SP,275955,"Garcia, R.J.F.",493,1994,5,25,SP,São Paulo,Parque Ecológico da APA do Carmo. Trilha 8. Capoeira,-46.466667,-23.583333, , ,LC,Livro Vermelho 2013
113,AMARANTHACEAE,Alternanthera tenella,,54c7ca220bef5, ,SP,43004,"Hauff, I.",5,1940,7,0,SP,São Paulo,Brooklin Paulista,-46.676389,-23.626802, , ,LC,Livro Vermelho 2013
114,AMARANTHACEAE,Alternanthera tenella,,54c7ca220c2bd, ,SPSF,42753,S.Honda & R.J.F. Garcia & R.S.Pando & R.Costa,269,2007,12,27,SP,São Paulo,Parque Tizo,-46.593792,-23.517736, , ,LC,Livro Vermelho 2013
