"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","infraspecificEpithet","scientificNameAuthorship","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","imagecode","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","typeStatus","dayIdentified","fieldNumber","individualCount"
"12","2020-02-08 09:00:00-03","NBC","NL-BOTANY","L.3735892","PreservedSpecimen","Plantae","Burmanniaceae","Dictyostega","orobanchoides","Dictyostega orobanchoides orobanchoides","Werff HH van der; Vásquez Chávez R; Francis R",NA,"2005","05","11","Southern America","Peru",NA,NA,"Lowland rain forest.<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3735892 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3735892",NA,"Dioscoreales","orobanchoides",NA,"Pasco","Pasco: Oxapampa. Distr. Palcazu. El Paujil.",NA,NA,"NL-L3735892",NA,"-75.263611","-10.323333",NA,NA,"Maas PJM; Maas-van de Kamer H",NA,NA,"-75.263611","-10.323333","Magnoliopsidae",NA,NA,NA,NA,NA
"13","2020-02-08 09:00:00-03","NBC","NL-BOTANY","U 0000857","PreservedSpecimen","Plantae","Burmanniaceae","Dictyostega","orobanchoides","Dictyostega orobanchoides orobanchoides","Schomburgk RH",NA,"1842","03","01","Southern America","Guyana",NA,NA,"Rich vegetable soil in shady woods.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200000857 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0000857",NA,"Dioscoreales","orobanchoides",NA,NA,"Serra Mey.",NA,NA,"NL-U0000857",NA,NA,NA,NA,NA,"Maas PJM; Maas-van de Kamer H",NA,NA,NA,NA,"Magnoliopsidae","62231 B","isotype",NA,NA,NA
"14","2020-02-08 09:00:00-03","NBC","NL-BOTANY","U.1173315","PreservedSpecimen","Plantae","Burmanniaceae","Dictyostega","orobanchoides","Dictyostega orobanchoides orobanchoides","Duarte AP",NA,"1948","08","06","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1173315 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1173315",NA,"Dioscoreales","orobanchoides",NA,NA,"Distrito Federal: Morro Rucimado.",NA,NA,"NL-U1173315",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"15","2020-02-08 09:00:00-03","NBC","NL-BOTANY","U.1173316","PreservedSpecimen","Plantae","Burmanniaceae","Dictyostega","orobanchoides","Dictyostega orobanchoides orobanchoides","Prance GT; Amaral IL do; et al.",NA,"1984","02","21","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1173316 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1173316",NA,"Dioscoreales","orobanchoides",NA,"Amazonas",NA,NA,NA,"NL-U1173316",NA,"-63.35","0.85",NA,NA,NA,NA,NA,"-63.35","0.85","Magnoliopsidae","U 0034929",NA,NA,NA,NA
"16","2020-02-08 09:00:00-03","NBC","NL-BOTANY","U.1173318","PreservedSpecimen","Plantae","Burmanniaceae","Dictyostega","orobanchoides","Dictyostega orobanchoides orobanchoides","Duarte AP",NA,"1950","04","19","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1173318 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1173318",NA,"Dioscoreales","orobanchoides",NA,NA,"Serro do Cipó, na altura do km 129. Planta da capao, de solo bem umido.",NA,NA,"NL-U1173318",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"17","2020-02-08 09:00:00-03","NBC","NL-BOTANY","U.1173320","PreservedSpecimen","Plantae","Burmanniaceae","Dictyostega","orobanchoides","Dictyostega orobanchoides orobanchoides","Santos Lima J; Brade AC",NA,"1934","03","04","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1173320 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1173320",NA,"Dioscoreales","orobanchoides",NA,NA,"Est. do Rio Sta. M. Magdalena. Mattos do Rio Muribeca.",NA,NA,"NL-U1173320",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"18","2020-02-08 09:00:00-03","NBC","NL-BOTANY","U.1173321","PreservedSpecimen","Plantae","Burmanniaceae","Dictyostega","orobanchoides","Dictyostega orobanchoides orobanchoides","Brade AC",NA,"1931","04","12","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1173321 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1173321",NA,"Dioscoreales","orobanchoides",NA,NA,"Serra Carioca Rio.",NA,NA,"NL-U1173321",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"19","2020-02-08 09:00:00-03","NBC","NL-BOTANY","U.1173322","PreservedSpecimen","Plantae","Burmanniaceae","Dictyostega","orobanchoides","Dictyostega orobanchoides orobanchoides","Brade AC",NA,"1918","06","01","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1173322 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1173322",NA,"Dioscoreales","orobanchoides",NA,NA,"S. Paulo: Iguapé Cainoá.",NA,NA,"NL-U1173322",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"20","2020-02-08 09:00:00-03","NBC","NL-BOTANY","U.1173323","PreservedSpecimen","Plantae","Burmanniaceae","Dictyostega","orobanchoides","Dictyostega orobanchoides orobanchoides","Simonis JE; Martinelli G",NA,"1983","02","10","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1173323 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1173323",NA,"Dioscoreales","orobanchoides",NA,"Rio de Janeiro",NA,NA,NA,"NL-U1173323",NA,NA,NA,NA,NA,"Maas PJM",NA,NA,NA,NA,"Magnoliopsidae","U 0141799",NA,NA,NA,NA
"21","2020-02-08 09:00:00-03","NBC","NL-BOTANY","U.1173324","PreservedSpecimen","Plantae","Burmanniaceae","Dictyostega","orobanchoides","Dictyostega orobanchoides orobanchoides","Hoch AM; et al.",NA,"1996","05","22","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1173324 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1173324",NA,"Dioscoreales","orobanchoides",NA,NA,"ESTADO DE SÃO PAULO. São Paulo, municipio de Iporanga. Fazenda Intervales. Trilha para Base Grande. Mata.",NA,NA,"NL-U1173324",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"22","2020-02-08 09:00:00-03","NBC","NL-BOTANY","U.1173325","PreservedSpecimen","Plantae","Burmanniaceae","Dictyostega","orobanchoides","Dictyostega orobanchoides orobanchoides","Sipman HJM; et al.",NA,"1979","07","15","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1173325 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1173325",NA,"Dioscoreales","orobanchoides",NA,"São Paulo",NA,NA,NA,"NL-U1173325",NA,NA,NA,NA,NA,"Maas PJM",NA,NA,NA,NA,"Magnoliopsidae","U 0118947",NA,NA,NA,NA
"23","2020-02-08 09:00:00-03","NBC","NL-BOTANY","U.1173326","PreservedSpecimen","Plantae","Burmanniaceae","Dictyostega","orobanchoides","Dictyostega orobanchoides orobanchoides","Sousa HC de",NA,"1987","04","08","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1173326 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1173326",NA,"Dioscoreales","orobanchoides",NA,NA,"Mata da Galeria em altitude. Mata Grande - P. Est. do Ibitipoca.",NA,NA,"NL-U1173326",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"24","2020-02-08 09:00:00-03","NBC","NL-BOTANY","U.1173327","PreservedSpecimen","Plantae","Burmanniaceae","Dictyostega","orobanchoides","Dictyostega orobanchoides orobanchoides","Brade AC; Santos Lima J",NA,"1932","04","01","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1173327 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1173327",NA,"Dioscoreales","orobanchoides",NA,NA,"E. do Rio, Sta. Autrio de Imbé.",NA,NA,"NL-U1173327",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"25","2020-02-08 09:00:05-03","NBC","NL-BOTANY","U.1173378","PreservedSpecimen","Plantae","Burmanniaceae","Dictyostega","orobanchoides","Dictyostega orobanchoides orobanchoides","Vásquez Chávez R; et al.",NA,"1996","06","11","Southern America","Peru",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1173378 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1173378",NA,"Dioscoreales","orobanchoides",NA,"Amazonas",NA,NA,NA,"NL-U1173378",NA,"-78.333333","-5.05",NA,NA,"Maas PJM; Maas-van de Kamer H",NA,NA,"-78.333333","-5.05","Magnoliopsidae","U 0048341",NA,NA,NA,NA
"26","2020-02-08 09:00:05-03","NBC","NL-BOTANY","U.1173379","PreservedSpecimen","Plantae","Burmanniaceae","Dictyostega","orobanchoides","Dictyostega orobanchoides orobanchoides","Liesner RL",NA,"1985","10","30","Southern America","Venezuela",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1173379 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1173379",NA,"Dioscoreales","orobanchoides",NA,"Bolívar",NA,NA,NA,"NL-U1173379",NA,"-61.5","4.5",NA,NA,NA,NA,NA,"-61.5","4.5","Magnoliopsidae","U 0034925",NA,NA,NA,NA
"27","2020-02-08 09:00:05-03","NBC","NL-BOTANY","U.1173380","PreservedSpecimen","Plantae","Burmanniaceae","Dictyostega","orobanchoides","Dictyostega orobanchoides orobanchoides","Maguire B; Politi L",NA,"1948","12","12","Southern America","Venezuela",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1173380 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1173380",NA,"Dioscoreales","orobanchoides",NA,NA,"Cerro Sipapo (Paráque), Territorio Amazonas. Savanna on summit.",NA,NA,"NL-U1173380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"28","2020-02-08 09:00:05-03","NBC","NL-BOTANY","U.1173381","PreservedSpecimen","Plantae","Burmanniaceae","Dictyostega","orobanchoides","Dictyostega orobanchoides orobanchoides","Steyermark JA",NA,"1971","09","21","Southern America","Venezuela",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1173381 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1173381",NA,"Dioscoreales","orobanchoides",NA,NA,"TERRITORIO FEDERAL AMAZONAS: Cumbre del Cerro Autana: bosque bordeando la cima de la parte escarpada del lado noreste.",NA,NA,"NL-U1173381",NA,"-67.45","4.866667",NA,NA,NA,NA,NA,"-67.45","4.866667","Magnoliopsidae",NA,NA,NA,NA,NA
"29","2020-02-08 09:00:05-03","NBC","NL-BOTANY","U.1173382","PreservedSpecimen","Plantae","Burmanniaceae","Dictyostega","orobanchoides","Dictyostega orobanchoides orobanchoides","Maguire B; Politi L",NA,"1948","12","01","Southern America","Venezuela",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1173382 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1173382",NA,"Dioscoreales","orobanchoides",NA,NA,"Annual, frequent in mixed mountain forest, along trail.",NA,NA,"NL-U1173382",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"30","2020-02-08 09:00:05-03","NBC","NL-BOTANY","U.1173383","PreservedSpecimen","Plantae","Burmanniaceae","Dictyostega","orobanchoides","Dictyostega orobanchoides orobanchoides","Liesner RL; Carnevali G",NA,"1987","10","25","Southern America","Venezuela",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1173383 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1173383",NA,"Dioscoreales","orobanchoides",NA,NA,"TERR. FED. AMAZONAS. Dpto. RIO NEGRO: Cerro Aracamuni, summit. Proa camp. Savanna with small to large patches of forest especially along streams, in ravines and near edge of tepui.",NA,NA,"NL-U1173383",NA,"-65.816667","1.533333",NA,NA,NA,NA,NA,"-65.816667","1.533333","Magnoliopsidae",NA,NA,NA,NA,NA
"31","2020-02-08 09:00:05-03","NBC","NL-BOTANY","U.1173384","PreservedSpecimen","Plantae","Burmanniaceae","Dictyostega","orobanchoides","Dictyostega orobanchoides orobanchoides","Liesner RL; Delascio Chitty F",NA,"1987","10","16","Southern America","Venezuela",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1173384 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1173384",NA,"Dioscoreales","orobanchoides",NA,NA,"TERR. FED. AMAZONAS. Dpto. RIO NEGRO: Cerro Aracamuni, summit. Popa Camp. Savanna with small to large patches of forest and stream.",NA,NA,"NL-U1173384",NA,"-65.783333","1.433333",NA,NA,NA,NA,NA,"-65.783333","1.433333","Magnoliopsidae",NA,NA,NA,NA,NA
"32","2020-02-08 09:00:05-03","NBC","NL-BOTANY","U.1173385","PreservedSpecimen","Plantae","Burmanniaceae","Dictyostega","orobanchoides","Dictyostega orobanchoides orobanchoides","Liesner RL; Holst BK",NA,"1987","02","26","Southern America","Venezuela",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1173385 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1173385",NA,"Dioscoreales","orobanchoides",NA,NA,"TERR. FED. AMAZONAS: Dpto. Atures. W side of valley of Roi Coro-Coro, 8 km NNW of settlement of Yutaje. Forested slope.",NA,NA,"NL-U1173385",NA,"-66.141667","5.683333",NA,NA,NA,NA,NA,"-66.141667","5.683333","Magnoliopsidae",NA,NA,NA,NA,NA
"33","2020-02-08 09:00:05-03","NBC","NL-BOTANY","U.1173386","PreservedSpecimen","Plantae","Burmanniaceae","Dictyostega","orobanchoides","Dictyostega orobanchoides orobanchoides","Liesner RL",NA,"1984","02","16","Southern America","Venezuela",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1173386 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1173386",NA,"Dioscoreales","orobanchoides",NA,NA,"Territorio Federal Amazonas: Departamento Río Negro. Camp III, Neblina and Massif. NW Plateau (Arm) 13.5 km ENE of Cerro de La Neblina Base Camp.",NA,NA,"NL-U1173386",NA,"-66.116667","0.9",NA,NA,NA,NA,NA,"-66.116667","0.9","Magnoliopsidae",NA,NA,NA,NA,NA
"34","2020-02-08 09:00:05-03","NBC","NL-BOTANY","U.1173387","PreservedSpecimen","Plantae","Burmanniaceae","Dictyostega","orobanchoides","Dictyostega orobanchoides orobanchoides","Steyermark JA; Dunsterville GCK; Dunsterville E",NA,"1963","12","28","Southern America","Venezuela",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1173387 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1173387",NA,"Dioscoreales","orobanchoides",NA,NA,"ESTADO BOLIVAR. CERRO VENAMO (parte Sur-Oeste). Cerca de los Limites con la Guayana Inlgesa. Bosque enano muscoso, Nor-Este del afluente derecho (Oeste), subiendo el Río Venamo, arriba de la ladera escarpada de arenisca.",NA,NA,"NL-U1173387",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"35","2020-02-08 09:00:05-03","NBC","NL-BOTANY","U.1173388","PreservedSpecimen","Plantae","Burmanniaceae","Dictyostega","orobanchoides","Dictyostega orobanchoides orobanchoides","Beck SG",NA,"1979","03","10","Southern America","Venezuela",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1173388 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1173388",NA,"Dioscoreales","orobanchoides",NA,NA,"Dpto, La Paz, Prov. Nor-Yungas, Puerto Linares 39 kms. hacia Caranavi, despues de la cumbra. Bosques montañoso.",NA,NA,"NL-U1173388",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"36","2020-02-08 09:00:05-03","NBC","NL-BOTANY","U.1173389","PreservedSpecimen","Plantae","Burmanniaceae","Dictyostega","orobanchoides","Dictyostega orobanchoides orobanchoides","Quipuscoa S; v; Vílchez T; M",NA,"2001","09","02","Southern America","Peru",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1173389 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1173389",NA,"Dioscoreales","orobanchoides",NA,"San Martín",NA,NA,NA,"NL-U1173389",NA,NA,NA,NA,NA,"Maas PJM; Maas-van de Kamer H",NA,NA,NA,NA,"Magnoliopsidae","U 0085948",NA,NA,NA,NA
"37","2020-02-08 09:00:05-03","NBC","NL-BOTANY","U.1173390","PreservedSpecimen","Plantae","Burmanniaceae","Dictyostega","orobanchoides","Dictyostega orobanchoides orobanchoides","Vásquez Chávez R; Campos J; et al.",NA,"2000","11","09","Southern America","Peru",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1173390 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1173390",NA,"Dioscoreales","orobanchoides",NA,"Cajamarca",NA,NA,NA,"NL-U1173390",NA,"-78.883333","-5.066667",NA,NA,"Maas PJM; Maas-van de Kamer H",NA,NA,"-78.883333","-5.066667","Magnoliopsidae","U 0085949",NA,NA,NA,NA
"38","2020-02-08 09:00:05-03","NBC","NL-BOTANY","U.1173391","PreservedSpecimen","Plantae","Burmanniaceae","Dictyostega","orobanchoides","Dictyostega orobanchoides orobanchoides","Maguire B; Wurdack JJ; Maguire CK",NA,"1957","11","26","Southern America","Venezuela",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1173391 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1173391",NA,"Dioscoreales","orobanchoides",NA,"Amazonas",NA,NA,NA,"NL-U1173391",NA,NA,NA,NA,NA,"Maas PJM; Maas-van de Kamer H",NA,NA,NA,NA,"Magnoliopsidae","U 0118976",NA,NA,NA,NA
"39","2020-02-08 09:00:05-03","NBC","NL-BOTANY","U.1173392","PreservedSpecimen","Plantae","Burmanniaceae","Dictyostega","orobanchoides","Dictyostega orobanchoides orobanchoides","Maguire B; Wurdack JJ",NA,"1952","12","18","Southern America","Venezuela",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1173392 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1173392",NA,"Dioscoreales","orobanchoides",NA,"Bolívar",NA,NA,NA,"NL-U1173392",NA,NA,NA,NA,NA,"Maas PJM; Maas-van de Kamer H",NA,NA,NA,NA,"Magnoliopsidae","U 0118977",NA,NA,NA,NA
"40","2020-02-08 09:00:05-03","NBC","NL-BOTANY","U.1173393","PreservedSpecimen","Plantae","Burmanniaceae","Dictyostega","orobanchoides","Dictyostega orobanchoides orobanchoides","Rodríguez Rodríguez EF; Atamain P; Chavez-Agkuash E; Atamain W",NA,"1996","06","12","Southern America","Peru",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1173393 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1173393",NA,"Dioscoreales","orobanchoides",NA,"Amazonas",NA,NA,NA,"NL-U1173393",NA,"-78.316667","-4.916667",NA,NA,"Maas PJM; Maas-van de Kamer H",NA,NA,"-78.316667","-4.916667","Magnoliopsidae","U 0048351",NA,NA,NA,NA
