"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","coordinatePrecision","geoFlag","typeStatus"
"11","2014-04-04 18:27:45-03","PNFM","IRAI","8147","Carpo","Plantae","Magnoliophyta",NA,"Malvaceae","Abutilon","latipetalum","Abutilon latipetalum","G.L.Esteves & Krapov.","Villagra, B.L.P.","415","2012","09","10",NA,"Brasil","São Paulo","Mogi das Cruzes","Empresa EMBU, Pedreira","-46.206833","-23.498472",NA,"Árvore, 15 m, frutos castanhos, flor rosa. Carpoteca","IRAI00008147",NA,"Villagra, B.L.P.","2012","01","-46.206833","-23.498472","888","888","01",NA,NA,NA
"12","2019-01-25 15:42:16-02","IAC","IAC","39753","S","Plantae",NA,NA,"Malvaceae-8.Malvoideae","Abutilon","latipetalum","Abutilon latipetalum","G.L.Esteves & Krapov.","R.B. Torres; J.B. Paula & C.A. Pereira","1306","2000","08","17",NA,"Brasil","Minas Gerais","Camanducaia","Fragmento do João de Brás, ligado ao do Zé Teixeirinha","-46.059801","-22.73214",NA,"Nome popular: jangadeiro, UTM(23)= 391168 E, 7485710 N, 1282 m.s.m.",NA,NA,"G.L. Esteves","2003","02","-46.059801","-22.732140",NA,NA,"17",NA,NA,NA
"13","2019-01-25 15:42:16-02","IAC","IAC","40191","S","Plantae",NA,NA,"Malvaceae-8.Malvoideae","Abutilon","latipetalum","Abutilon latipetalum","G.L.Esteves & Krapov.","R.B. Torres; J.B. Paula & C.A. Pereira","1402","2000","12","22",NA,"Brasil","Minas Gerais","Camanducaia","Mata do Chico Rei","-46.1447","-22.7553",NA,"UTM(23)= 388730 E e 7483010 N, 1395 m.s.m.",NA,NA,"G.L. Esteves","2003","02","-46.1447","-22.7553",NA,NA,"22",NA,NA,NA
"14","2020-11-12 17:01:24-03","UEL","FUEL","16880","PreservedSpecimen","Plantae","Tracheophyta","Malvales","Malvaceae","Callianthe","latipetala","Callianthe latipetala","(G.L.Esteves & Krapov.) Donnel","Torres, RB; Paula, JB; et al.","1306","2000","08","17",NA,"Brasil","Minas Gerais","Camanducaia","Fragmento do Antonio Cascalho, UTM= 23/ 391168E 7485710N","-46.059722","-22.7325",NA,NA,"FUEL018860",NA,NA,"2014","12","-46.059722","-22.7325","1282","1282","04",NA,NA,NA
"15","2019-11-01 15:03:22-03","UnB","UB","185872","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Malvaceae","Abutilon","latipetalum","Abutilon latipetalum","G.L. Esteves & Krapov.","Kuhlmann, M","2378","1950","06","03","Southern America","Brasil","São Paulo","Lorena","Piquete. Rodovia para Itajubá - Mad. 114.","-45.1199989318848","-22.7299995422363",NA,NA,NA,NA,"Takeuchi, C","2012","03",NA,NA,NA,NA,"26","27246","auto",NA
"16","2019-11-21 10:09:22-03","IBt","SP","345993","S","Plantae",NA,NA,"Malvaceae","Abutilon","latipetalum","Abutilon latipetalum","G.L.Esteves & Krapov.","Esteves, GL; Pastore, JA","2758","2000","05","09",NA,"Brasil","São Paulo","Pindamonhangaba","Na direção de Campos do Jordão, ao lado do viaduto Gavião do Gonzaga","-45.4599990844727","-22.9200000762939",NA,NA,"SP003257","SP003257","Takeuchi, C",NA,NA,NA,NA,NA,NA,NA,"24176","auto","Holotype"
"17","2020-07-23 10:20:57-03","IBt","SP","66074","S","Plantae",NA,NA,"Malvaceae","Callianthe","latipetala","Callianthe latipetala","(G.L.Esteves & Krapov.) Donnell","Kuhlmann, M","2378","1950","06","03",NA,"Brasil","São Paulo","Lorena","Piquete","-45.1199989318848","-22.7299995422363",NA,NA,NA,NA,"Mamede, MCH","2019","06",NA,NA,NA,NA,NA,"27246","auto",NA
"18","2020-07-23 10:20:57-03","IBt","SP","426874","S","Plantae",NA,NA,"Malvaceae","Callianthe","latipetala","Callianthe latipetala","(G.L.Esteves & Krapov.) Donnell","Takeuchi, C; Esteves, GL","64","2009","07","22",NA,"Brasil","São Paulo","Pindamonhangaba","Rodovia Rodrigues Pinheiro, logo após o viaduto Gavião Gonzaga","-45.4599990844727","-22.9200000762939",NA,NA,NA,NA,"Mamede, MCH","2019","06",NA,NA,NA,NA,NA,"24176","auto",NA
"19","2020-07-23 10:20:57-03","IBt","SP","426872","S","Plantae",NA,NA,"Malvaceae","Callianthe","latipetala","Callianthe latipetala","(G.L.Esteves & Krapov.) Donnell","Takeuchi, C; Esteves, GL","62","2009","07","22",NA,"Brasil","São Paulo","Pindamonhangaba","Rodovia Rodrigues Pinheiros a 12 Km de Campos do Jordão","-45.4599990844727","-22.9200000762939",NA,NA,NA,NA,"Mamede, MCH","2019","06",NA,NA,"1100","1100",NA,"24176","auto",NA
"20","2020-07-23 10:20:57-03","IBt","SP","427082","S","Plantae",NA,NA,"Malvaceae","Callianthe","latipetala","Callianthe latipetala","(G.L.Esteves & Krapov.) Donnell","Takeuchi, C; Takeuchi, T","72","2010","05","27",NA,"Brasil","São Paulo","Santo Antonio do Pinhal","Rodovia Rodrigues Pinheiro Km 39","-45.6599998474121","-22.8199996948242",NA,NA,NA,NA,"Mamede, MCH","2019","06",NA,NA,"1100","1100",NA,"10885","auto",NA
"21","2020-07-23 10:20:57-03","IBt","SP","286029","S","Plantae",NA,NA,"Malvaceae","Callianthe","latipetala","Callianthe latipetala","(G.L.Esteves & Krapov.) Donnell","Rossi, L; Catharino, ELM","1563","1994","07","16",NA,"Brasil","São Paulo","São José do Barreiro","Parque Nacional da Bocaina, Estrada da Fazenda Floresta em direção a Posses","-44.5699996948242","-22.6399993896484",NA,NA,NA,NA,"Mamede, MCH","2019","06",NA,NA,NA,NA,NA,"30784","auto",NA
"22","2020-07-23 10:20:57-03","IBt","SP","489426","S","Plantae",NA,NA,"Malvaceae","Callianthe","latipetala","Callianthe latipetala","(G.L.Esteves & Krapov.) Donnell","Freitas, L; et al.","428","1998","07","24",NA,"Brasil","São Paulo","São José do Barreiro","SP 221, Km 17","-44.5699996948242","-22.6399993896484",NA,NA,NA,NA,"Takeuchi, C","2009",NA,NA,NA,NA,NA,NA,"30784","auto",NA
