"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","year","month","day","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount","class"
"11","2020-06-30 18:31:49-03","UFJF","CESJ","67177","PreservedSpecimen","Plantae","Angiosperma",NA,"Apocynaceae","Ditassa","bicolor","Ditassa bicolor","Decne.",NA,"L.V.V. Cruz; T.R. Fonseca","117","América do Sul","Brasil","Minas Gerais",NA,"Liana, flores alvas, latex branco, próximo a campo encharcável","CESJ067177",NA,"C.N. Matozinhos","2016","05","11","2016","01","17","Lima Duarte","Parque Estadual do Ibitipoca, Entorno Lagoa Seca","-43.793098449707","-21.8425006866455","30417","auto",NA,NA,NA,NA,NA,NA,NA
"12","2019-11-21 14:30:21-03","UFJF","CESJ","47029","PreservedSpecimen","Plantae","Angiosperma",NA,"Apocynaceae","Ditassa","bicolor","Ditassa bicolor","Decne.",NA,"P.L. Viana; N.F.O. Mota","1984","América do Sul","Brasil","Minas Gerais",NA,"Planta escandente, em transição mata nebular-campo de altitude. Flores creme.","CESJ047029","CESJ047029","T.U.P. Konno","2006",NA,NA,"2006","02","26","Rio Preto","Serra Negra, Burro de Ouro.","-43.8278007507324","-22.0891990661621","20815","auto",NA,NA,NA,NA,NA,NA,NA
"13","2019-11-21 14:30:21-03","UFJF","CESJ","51878","PreservedSpecimen","Plantae","Angiosperma",NA,"Apocynaceae","Ditassa","bicolor","Ditassa bicolor","Decne.",NA,"C.N. Matozinhos; J. Miloski; J.H.C. Ribeiro; S.M. Dutra; N.L. Abreu","413","América do Sul","Brasil","Minas Gerais",NA,"Liana em ecótono. 1200m de altitude. Frutos imaturos verdes e maduros negros.","CESJ051878","CESJ051878","C.N. Matozinhos","2011","01",NA,"2008","08","30","Rio Preto","Serra Negra, Trilha para cachoeira do Marciano.","-43.8278007507324","-22.0891990661621","20815","auto",NA,NA,NA,NA,NA,NA,NA
"14","2015-09-24 20:14:52-03","MNHN","RECOLNAT_MNHN_P","P00252628","PreservedSpecimen",NA,NA,NA,"Apocynaceae","Ditassa","bicolor","Ditassa bicolor","Decne.",NA,"Lalande, de",NA,NA,"Brésil",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00252628' target='other'> <mi>dwc_moreinfo</mi></a>","P00252628","P00252628_01","Konno",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2015-09-05 07:47:10-03","MNHN","RECOLNAT_MNHN_P","P00634302","PreservedSpecimen",NA,NA,NA,"Apocynaceae","Ditassa","bicolor","Ditassa bicolor","Decne.","isotype","Claussen, P.",NA,NA,"Brésil",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00634302' target='other'> <mi>dwc_moreinfo</mi></a>","P00634302","P00634302_01",NA,NA,NA,NA,"1842",NA,NA,NA,"[In Brasilia prov. Minas Geraes]",NA,NA,NA,NA,NA,NA,NA,NA,"40",NA,NA
"16","2021-03-29 17:00:17-03","MNHN","RECOLNAT_MNHN_P","P00634303","PreservedSpecimen",NA,NA,NA,"Apocynaceae","Ditassa","bicolor","Ditassa bicolor","Decne.","lectotype","Claussen, P.",NA,NA,"Brésil",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00634303' target='other'> <mi>dwc_moreinfo</mi></a>","P00634303","P00634303_01",NA,NA,NA,NA,"1842",NA,NA,NA,"[In Brasilia prov. Minas Geraes]",NA,NA,NA,NA,NA,NA,NA,NA,"40",NA,NA
"17","2021-03-29 17:01:35-03","MNHN","RECOLNAT_MNHN_P","P00634304","PreservedSpecimen",NA,NA,NA,"Apocynaceae","Ditassa","bicolor","Ditassa bicolor","Decne.","isotype","Claussen, P.",NA,NA,"Brésil",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00634304' target='other'> <mi>dwc_moreinfo</mi></a>","P00634304","P00634304_01",NA,NA,NA,NA,"1842",NA,NA,NA,"[In Brasilia prov. Minas Geraes]",NA,NA,NA,NA,NA,NA,NA,NA,"40",NA,NA
"18","2015-09-04 13:18:25-03","MNHN","RECOLNAT_MNHN_P","P04204686","PreservedSpecimen",NA,NA,NA,"Apocynaceae","Ditassa","bicolor","Ditassa bicolor","Decne.",NA,"Pereira, E.",NA,NA,"Brasil","Rio de Janeiro","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04204686' target='other'> <mi>dwc_moreinfo</mi></a>","P04204686","P04204686_01",NA,NA,NA,NA,"1955","3","15",NA,"Maria Madalena.",NA,NA,NA,NA,NA,NA,NA,NA,"1229",NA,NA
"19","2013-01-12 05:18:00-02","MO","MOBOT","100306462","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","bicolor","Ditassa bicolor","Decne.","Holotype","Peter Clausen","Clausen 1958","South America","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"20","2011-08-01 13:25:00-03","MO","MOBOT","2820787","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","bicolor","Ditassa bicolor","Decne.",NA,"Anonymous","Anonymous 15","South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,"T. Konno",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"21","2011-08-01 13:23:00-03","MO","MOBOT","2826072","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","bicolor","Ditassa bicolor","Decne.",NA,"James Bowie|Allan Cunningham","Bowie s.n.","South America","Brazil",NA,NA,NA,NA,NA,"T. Konno",NA,NA,NA,"1814",NA,NA,NA,"In the close thickets of the Mountains. Collected on the [Monti] da Santa Theresa.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
