"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","yearIdentified","monthIdentified","dayIdentified","year","month","day","individualCount","occurrenceRemarks","identifiedBy","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","class","coordinatePrecision","geoFlag","fieldNumber","preparationType","relatedCatalogItem"
"14","2019-10-09 11:28:36-03","UFBA","ALCB","19308","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cattleya","aclandiae","Cattleya aclandiae","2003","03",NA,"1980","08","14",NA,"Flores vistosas com sépalas e pétalas marrom pintalgada, labelo e coluna lilás degradê.","Cruz da","Lindl.","Grupo Pedra do Cavalo","549","Southern America","Brasil","Bahia","Cachoeira","Recôncavo Sul, Vale dos Rios Paraguaçu e Jacuípe. Roncador.","-39.083333","-12.533333","-39.083333","-12.533333","40","40","ALCB007850","ALCB007850 ALCB007850_1",NA,NA,NA,NA,NA,NA
"15","2016-07-05 11:14:16-03","FFCLRP","LBMBP","359","S","Plantae",NA,NA,"Orchidaceae","Cattleya","aclandiae","Cattleya aclandiae",NA,NA,NA,NA,NA,NA,NA,NA,"E.R. Pansarin","Lindl.","E.R. Pansarin",NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2016-07-05 11:14:14-03","FFCLRP","LBMBP","235","S","Plantae",NA,NA,"Orchidaceae","Cattleya","aclandiae","Cattleya aclandiae",NA,NA,NA,NA,NA,NA,NA,NA,"E.R. Pansarin","Lindl.","E.R. Pansarin",NA,NA,"Brasil","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-02-19 11:37:56-03","UESC","UESC","10593","S","Plantae","Angiospermae","Florideophycidae","Orchidaceae","Cattleya","aclandiae","Cattleya aclandiae",NA,NA,NA,"2005","10","14",NA,NA,NA,"Lindl.","João Eduardo dos Santos",NA,NA,"Brasil","Bahia","Itapebi",NA,"-39.5339012145996","-15.9507999420166",NA,NA,NA,NA,"UESC0010593",NA,"Monocotyledoneae","43726","auto",NA,NA,NA
"18","2015-09-15 16:40:00-03","MNHN","RECOLNAT_MNHN_P","P00047513","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Cattleya","aclandiae","Cattleya aclandiae",NA,NA,NA,"1992","8",NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00047513' target='other'> <mi>dwc_moreinfo</mi></a>","Pignal","Lindl.","Pignal, M.",NA,NA,"Brésil","bahia","gameleira","Itaparica",NA,NA,NA,NA,NA,NA,"P00047513","P00047513_01",NA,NA,NA,"187","hb",NA
"19","2020-09-12 05:00:02-03","US","US","762036","PreservedSpecimen","Plantae",NA,"Orchidales","Orchidaceae","Cattleya","aclandiae","Cattleya aclandiae",NA,NA,NA,"1915","5","26","1",NA,NA,NA,"J. N. Rose & P. G. Russell","19647","South America - Neotropics","Brazil","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,"US00424870","US00424870_01","Monocotyledonae",NA,NA,NA,NA,NA
"20","2019-10-07 09:19:52-03","UEFS","HUEFS","51481","PreservedSpecimen","Plantae","Angiospermae","Asparagales","Orchidaceae","Cattleya","aclandiae","Cattleya aclandiae","2001","11",NA,"2001","02","26",NA,"PASTO DE CAATINGA","C.van den Berg","Lindl.","Gomes, D.J.","87",NA,"Brasil","Bahia","Ipecaetá","SERRA DA JIBÓIA FAZENDA RECORDAÇÃO","-39.3074989318848","-12.3000001907349",NA,NA,NA,NA,"HUEFS0051481","HUEFS0051481","Lilianae","14569","auto",NA,NA,NA
"21","2019-10-07 09:19:52-03","UEFS","HUEFS","114605","PreservedSpecimen","Plantae","Angiospermae","Asparagales","Orchidaceae","Cattleya","aclandiae","Cattleya aclandiae",NA,NA,NA,"2006","11","28",NA,"Fragmento de floresta estacional com afloramentos de quartzito.",NA,"Lindl.","Cardoso, D.","1443",NA,"Brasil","Bahia","Anguera","Morro da Fazenda Retiro.","-39.183333","-12.166667","39W11'","12S10'","360","360","HUEFS0114605",NA,"Lilianae",NA,NA,NA,NA,NA
"22","2019-10-07 09:19:52-03","UEFS","HUEFS","133504","PreservedSpecimen","Plantae","Angiospermae","Asparagales","Orchidaceae","Cattleya","aclandiae","Cattleya aclandiae","2013","05",NA,"2007","11","23",NA,"Caatinga.","D.N.Carvalho","Lindl.","Melo, E.","5420",NA,"Brasil","Bahia","Feira de Santana","Fazenda da Chapada.","-39.083889","-12.254444","39W5'2''","12S15'16''",NA,NA,"HUEFS0133504","HUEFS0133504","Lilianae",NA,NA,NA,NA,NA
"23","2019-10-07 09:19:52-03","UEFS","HUEFS","224196","PreservedSpecimen","Plantae","Angiospermae","Asparagales","Orchidaceae","Cattleya","aclandiae","Cattleya aclandiae",NA,NA,NA,"2015","11","02",NA,"Caatinga antropizada.",NA,"Lindl.","Melo, E.","13176",NA,"Brasil","Bahia","Feira de Santana","BA-052, Km 8, ramal a esquerda, Fazenda Chapada.","-39.083056","-12.255556","39W4'59''","12S15'20''","190","190","HUEFS0224196","HUEFS0224196","Lilianae",NA,NA,NA,NA,NA
"24","2019-10-07 09:19:52-03","UEFS","HUEFS","69691","PreservedSpecimen","Plantae","Angiospermae","Asparagales","Orchidaceae","Cattleya","aclandiae","Cattleya aclandiae",NA,NA,NA,"2001","11","25",NA,"Mata seca na encosta da Serra.",NA,"Lindl.","van den Berg, C.","847",NA,"Brasil","Bahia","Feira de Santana","Maria Quitéria Maria Quitéria, Serra de São José","-38.966667","-12.25","38W58'","12S15'",NA,NA,"HUEFS0069691","HUEFS0069691","Lilianae",NA,NA,NA,NA,NA
"25","2019-10-07 09:19:52-03","UEFS","HUEFS","7105","PreservedSpecimen","Plantae","Angiospermae","Asparagales","Orchidaceae","Cattleya","aclandiae","Cattleya aclandiae",NA,NA,NA,"1987","02","10",NA,"Mata decídua de encosta.",NA,"Lindl.","Queiroz, L.P.de","1406",NA,"Brasil","Bahia","Feira de Santana","BA-052, 25km NW do entrocamenrto com a BR-116.","-39.188056","-12.166667","39W11'17''","12S10'","360","400","HUEFS0007105",NA,"Lilianae",NA,NA,NA,NA,NA
"26","2019-10-07 09:19:52-03","UEFS","HUEFS","72404","PreservedSpecimen","Plantae","Angiospermae","Asparagales","Orchidaceae","Cattleya","aclandiae","Cattleya aclandiae",NA,NA,NA,"2003","05","06",NA,NA,NA,"Lindl.","Santos, A.K.A.","118",NA,"Brasil","Bahia","Feira de Santana","Fazenda Jibóia. Plantas coletadas sobre rochas nos Inselbergs.","-39.060833","-12.271944","39W3'39''","12S16'19''",NA,NA,"HUEFS0072404","HUEFS0072404","Lilianae",NA,NA,NA,NA,NA
"27","2020-07-23 12:17:08-03","CEPLAC","CEPEC","26738","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cattleya","aclandiae","Cattleya aclandiae",NA,NA,NA,"1980","08","14",NA,"<ll>dwc_commonname:</ll> Catilea Orquidea","Grupo Pedra do Cavalo",NA,"Grupo Pedra do Cavalo","549",NA,"Brasil","Bahia","CACHOEIRA","Roncador. Vale dos Rios Paraguacu & Jacuipe.",NA,"-12.533333","39S5'0","12S32'0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"30/12/1980"
"28","2017-09-11 17:11:31-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Cattleya","aclandiae","Cattleya aclandiae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lindl.","James","s.n.","Southern America","Brazil","Bahia",NA,"Habitat in arboribus prov. Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2017-09-11 17:11:31-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Cattleya","aclandiae","Cattleya aclandiae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lindl.","Blanchet, JS","s.n.","Southern America","Brazil","Bahia",NA,"Habitat in arboribus prov. Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2017-09-11 17:11:31-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Cattleya","aclandiae","Cattleya aclandiae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lindl.","James","s.n.","Southern America","Brazil","Bahia",NA,"Habitat in arboribus prov. Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2017-09-11 17:11:31-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Cattleya","aclandiae","Cattleya aclandiae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lindl.","Blanchet, JS","s.n.","Southern America","Brazil","Bahia",NA,"Habitat in arboribus prov. Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-11-21 10:12:59-03","IBt","SP","26671","S","Plantae",NA,NA,"Orchidaceae","Cattleya","aclandiae","Cattleya aclandiae","2003","02","14",NA,NA,NA,NA,NA,"Cruz, DT","Lindl.","Hoehne, FC","s.n.",NA,"Brasil","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
