"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","coordinatePrecision","imagecode","geoFlag","class","order","continentOcean","monthIdentified","dayIdentified","typeStatus","individualCount"
"18","2021-03-16 17:54:09-03","UCS","HUCS","25687","PreservedSpecimen","Plantae","Angiospermae","Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","Gonzatti, F.","2018","Wasum, R.A.","2680","2005","04","18","Brasil","Paraná","São Mateus do Sul","Estrada para Três Barras","-50.38075","-25.907083","-50.38075","-25.907083","819","819","em orla da mata secundária",NA,NA,NA,NA,NA,"Picramniales",NA,"09",NA,NA,NA
"19","2021-03-16 17:54:09-03","UCS","HUCS","4037","PreservedSpecimen","Plantae","Angiospermae","Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","Pirani, J.R.","1987","Paciornick, E.F.","353","1986","07","16","Brasil","Paraná","Bocaiúva do Sul","Passa Vinte","-49.1150016784668","-25.2061004638672",NA,NA,NA,NA,"Árvore de 6m, flores bordeauax.",NA,"61623",NA,"auto",NA,"Picramniales",NA,"01",NA,NA,NA
"20","2019-08-16 08:40:30-03","UTFPR","HCF","7654","S","Plantae",NA,"Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","J. Cordeiro & E. Barboza","2009","M.G. Caxambu","2503","2009","02","27","Brasil","PR","Turvo","Propriedade da família Rickli","-51.584417","-25.070472","51°35'03,9 W","25°04'13,7 S","1102","1102","arvoreta ca. 4 m, heliófita. Flores avermelhadas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-08-16 08:40:30-03","UTFPR","HCF","20496","S","Plantae",NA,"Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","G. Hatschbach",NA,"N. Imaguire","3448","1974","05","07","Brasil","PR","Curitiba","Fazenda Experimental de Agronomia","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,"árvore de 10 m. Frutos escuros de tom lilás no meio do bosque, próximo ao hidromórfico.",NA,"25180",NA,"auto",NA,NA,NA,NA,NA,NA,NA
"22","2020-12-21 16:45:12-03","MBM","MBM","113201","PreservedSpecimen","Plantae",NA,"Simaroubaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlmann ex Pirani","Pirani, J.R.",NA,"Saldanha Muniz, J.R.","341",NA,NA,NA,"Brazil","Paraná","Agudos do Sul","Agudos do Sul, arredores","-49.3353004455566","-25.9925003051758",NA,NA,NA,NA,NA,"MBM113201","16165","MBM113201","auto",NA,NA,"Southern America",NA,NA,NA,NA
"23","2020-12-21 16:45:12-03","MBM","MBM","113199","PreservedSpecimen","Plantae",NA,"Simaroubaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlmann ex Pirani","Pirani, J.R.",NA,"Paciornik, E.F.; Hatschbach, G.; Hatschbach, G.","353",NA,NA,NA,"Brazil","Paraná","Bocaiúva do Sul","Passa Vinte","-49.1150016784668","-25.2061004638672",NA,NA,NA,NA,NA,"MBM113199","61623","MBM113199","auto",NA,NA,"Southern America",NA,NA,NA,NA
"24","2020-12-21 16:45:12-03","MBM","MBM","108800","PreservedSpecimen","Plantae",NA,"Simaroubaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlmann ex Pirani","Pirani, J.R.",NA,"Cordeiro, J.","299",NA,NA,NA,"Brazil","Paraná","Curitiba","Parque Iguaçu","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,"MBM108800","25180","MBM108800","auto",NA,NA,"Southern America",NA,NA,NA,NA
"25","2020-12-21 16:45:12-03","MBM","MBM","120427","PreservedSpecimen","Plantae",NA,"Simaroubaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlmann ex Pirani","Hatschbach, G.",NA,"Hatschbach, G.; Silva, J.M.; Silva, J.M.","51258",NA,NA,NA,"Brazil","Paraná","Mandirituba","Ganchinho","-49.326099395752","-25.7789001464844",NA,NA,NA,NA,NA,"MBM120427","20385","MBM120427","auto",NA,NA,"Southern America",NA,NA,NA,NA
"26","2020-12-21 16:45:12-03","MBM","MBM","239760","PreservedSpecimen","Plantae",NA,"Simaroubaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlmann ex Pirani","Vieira, A.O.S.",NA,"Francisco, E.M.; et al.; et al.","s.n.",NA,NA,NA,"Brazil","Paraná","Ortigueira","Sítio do Basílio","-50.9494018554688","-24.2082996368408",NA,NA,NA,NA,NA,"MBM239760","46016","MBM239760","auto",NA,NA,"Southern America",NA,NA,NA,NA
"27","2020-12-21 16:45:12-03","MBM","MBM","136712","PreservedSpecimen","Plantae",NA,"Simaroubaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlmann ex Pirani",NA,NA,"Lindeman, J.; Haas, H.; Haas, H.","4911",NA,NA,NA,"Brazil","Paraná","Pinhão","Rio Iguaçu","-51.6596984863281","-25.6956005096436",NA,NA,NA,NA,NA,"MBM136712","37408","MBM136712","auto",NA,NA,"Southern America",NA,NA,NA,NA
"28","2020-12-21 16:39:28-03","MBM","MBM","36126","PreservedSpecimen","Plantae",NA,"Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","Pirani, J.R.","1988","Hatschbach, G.","3177","1953","05","19","Brazil","Paraná","Rio Negro","Estr. Rio de Várzea-Doce Fino","-49.7975006103516","-26.1058006286621",NA,NA,NA,NA,"Árvore de pequeno porte, flor vermelha. Região de Araucária.; Árvore de pequeno porte, flor vermelha.; Região de Araucaria.","MBM036126","31514","MBM036126","auto",NA,NA,"Southern America",NA,NA,"PARATYPE",NA
"29","2020-12-21 16:39:28-03","MBM","MBM","71759","PreservedSpecimen","Plantae",NA,"Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","Pirani, J.R.","1988","Hatschbach, G.","43938","1981","06","17","Brazil","Paraná","São José dos Pinhais","Contenda","-49.2064018249512","-25.5347003936768",NA,NA,NA,NA,"Arvoreta 5m, fruto vinoso.; Mata com Araucaria.","MBM071759","45291","MBM071759","auto",NA,NA,"Southern America",NA,NA,"PARATYPE",NA
"30","2020-12-21 16:45:12-03","MBM","MBM","120428","PreservedSpecimen","Plantae",NA,"Simaroubaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlmann ex Pirani","Britez, R.M.",NA,"Britez, R.M.; et al.; et al.","1360",NA,NA,NA,"Brazil","Paraná","São Mateus do Sul","Fazenda do Durgo","-50.3828010559082","-25.8742008209229",NA,NA,NA,NA,NA,"MBM120428","31353","MBM120428","auto",NA,NA,"Southern America",NA,NA,NA,NA
"31","2020-12-21 16:39:28-03","MBM","MBM","11526","PreservedSpecimen","Plantae",NA,"Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","Pirani, J.R.","1988","Hatschbach, G.","21671","1969","06","25","Brazil","Paraná","São Mateus do Sul","Tezoura","-50.3828010559082","-25.8742008209229",NA,NA,NA,NA,"Arvoreta 5m, tronco 15 cm de diâmetro, do erval. Frutos vinósos.; Arvoreta 5m, tronco 15cm diâmetro, frutos vinoso.; Do erval.","MBM011526","31353","MBM011526","auto",NA,NA,"Southern America",NA,NA,"PARATYPE",NA
"32","2020-12-21 16:45:12-03","MBM","MBM","113202","PreservedSpecimen","Plantae",NA,"Simaroubaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlmann ex Pirani","Pirani, J.R.",NA,"Hatschbach, G.; Souza, A.; Souza, A.","50883",NA,NA,NA,"Brazil","Paraná","Tijucas do Sul","Saltinho","-49.1988983154297","-25.9281005859375",NA,NA,NA,NA,NA,"MBM113202","25228","MBM113202","auto",NA,NA,"Southern America",NA,NA,NA,NA
"33","2020-12-21 16:39:28-03","MBM","MBM",NA,"PreservedSpecimen","Plantae",NA,"Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","Barboza, E.","2013","Dalmaso, C.A.","84","2013","04","11","Brazil","Paraná","Guamiranga",NA,"-50.76","-25.199997","-50.76","-25.199997",NA,NA,"Árvore.","IFN000224",NA,NA,NA,NA,NA,"Southern America","06","05",NA,NA
"34","2020-12-21 16:45:12-03","MBM","MBM","236646","PreservedSpecimen","Plantae",NA,"Simaroubaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlmann ex Pirani","Silva, S.M.",NA,"Gatti, A.L.S.; et al.; et al.","155",NA,NA,NA,"Brazil","Paraná","Araucária","Novo Nordisk","-49.4103012084961","-25.5930995941162",NA,NA,NA,NA,NA,"MBM236646","21346","MBM236646","auto",NA,NA,"Southern America",NA,NA,NA,NA
"35","2020-12-21 16:45:12-03","MBM","MBM","228017","PreservedSpecimen","Plantae",NA,"Simaroubaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlmann ex Pirani","Hatschbach, G.",NA,"Hatschbach, G.","67928",NA,NA,NA,"Brazil","Paraná","Bocaiúva do Sul","Parque Estadual de Campinhos","-49.1150016784668","-25.2061004638672",NA,NA,NA,NA,NA,"MBM228017","61623","MBM228017","auto",NA,NA,"Southern America",NA,NA,NA,NA
"36","2020-12-21 16:45:12-03","MBM","MBM","260638","PreservedSpecimen","Plantae",NA,"Simaroubaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlmann ex Pirani","Hatschbach, G.",NA,"Souza, A.","s.n.",NA,NA,NA,"Brazil","Paraná","Colombo","Colombo","-49.2242012023926","-25.2917003631592",NA,NA,NA,NA,NA,"MBM260638","13536","MBM260638","auto",NA,NA,"Southern America",NA,NA,NA,NA
"37","2020-12-21 16:45:12-03","MBM","MBM","182930","PreservedSpecimen","Plantae",NA,"Simaroubaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlmann ex Pirani","Hatschbach, G.",NA,"Maschio, W.; et al.; et al.","28",NA,NA,NA,"Brazil","Paraná","Colombo","Embrapa","-49.2242012023926","-25.2917003631592",NA,NA,NA,NA,NA,"MBM182930","13536","MBM182930","auto",NA,NA,"Southern America",NA,NA,NA,NA
"38","2020-12-21 16:45:12-03","MBM","MBM","232640","PreservedSpecimen","Plantae",NA,"Simaroubaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlmann ex Pirani","Hatschbach, G.",NA,"Maschio, W.","206",NA,NA,NA,"Brazil","Paraná","Colombo","Roseira","-49.2242012023926","-25.2917003631592",NA,NA,NA,NA,NA,"MBM232640","13536","MBM232640","auto",NA,NA,"Southern America",NA,NA,NA,NA
"39","2020-12-21 16:45:12-03","MBM","MBM","170334","PreservedSpecimen","Plantae",NA,"Simaroubaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlmann ex Pirani","Hatschbach, G.",NA,"Imaguire, N.","1862",NA,NA,NA,"Brazil","Paraná","Curitiba","Parque da Barreirinha","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,"MBM170334","25180","MBM170334","auto",NA,NA,"Southern America",NA,NA,NA,NA
"40","2020-12-21 16:39:28-03","MBM","MBM","41246","PreservedSpecimen","Plantae",NA,"Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","Pirani, J.R.","1988","Hatschbach, G.","37019","1975","06","27","Brazil","Paraná","Quatro Barras","Borda do Campo","-49.0769004821777","-25.3656005859375",NA,NA,NA,NA,"arvoreta 4m, flores e frutos vinosos. mata com erva mate; Arvoreta 4m, flores e frutos vinosos.; Mata com erva-mate.","MBM041246","17116","MBM041246","auto",NA,NA,"Southern America",NA,NA,"PARATYPE",NA
"41","2020-12-21 16:39:28-03","MBM","MBM","121305","PreservedSpecimen","Plantae",NA,"Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","Pirani, J.R.",NA,"Pirani, J.R.; Yano, O.; Yano, O.","580","1983","04","20","Brazil","Paraná","São Mateus do Sul","Estrada para Irati","-50.3828010559082","-25.8742008209229",NA,NA,NA,NA,"Árvore 7m alt., DAP 20cm. Densa folhagem verde-cinérea porque pilosa, frutos cinéreos, numerosos em toda a copa.; Mata de Araucaria","MBM121305","31353","MBM121305","auto",NA,NA,"Southern America",NA,NA,"ISOTYPE",NA
"42","2020-12-21 16:45:12-03","MBM","MBM","223064","PreservedSpecimen","Plantae",NA,"Simaroubaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlmann ex Pirani","Hatschbach, G.",NA,"Silva, J.M.; Barboza, E.; Abe, L.M.; Barboza, E.; Abe, L.M.","2289",NA,NA,NA,"Brazil","Paraná","Tunas do Paraná","Gruta de Campinhos","-49.0858001708984","-24.9743995666504",NA,NA,NA,NA,NA,"MBM223064","41885","MBM223064","auto",NA,NA,"Southern America",NA,NA,NA,NA
"43","2020-12-11 11:40:06-03","UFMG","BHCB","44642","PreservedSpecimen","Plantae","Dicotyledon","Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani",NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-02-11 17:21:47-03","UFPR","UPCB","14424","PreservedSpecimen","Plantae",NA,"Simaroubaceae","Picramnia","excelsa","Picramnia excelsa","Planch.","Britez, R.M.",NA,"Britez, R.M.","1360","1987","02","25","Brasil","Paraná","São Mateus do Sul","Fazenda do Durgo","-50.3828010559082","-25.8742008209229",NA,NA,NA,NA,"Arvoreta, 4m x 33cm, flor vermelha pequena. Beira de caminho da floresta de Araucaria..",NA,"31353",NA,"auto",NA,NA,NA,NA,NA,NA,NA
"45","2021-02-11 17:21:47-03","UFPR","UPCB","43408","PreservedSpecimen","Plantae",NA,"Simaroubaceae","Picramnia","excelsa","Picramnia excelsa","Planch.","Pirani, J.R.",NA,"Ceccantini, G.C.T.","1361","1999","12","27","Brasil","Paraná","Colombo","Fazenda Roseira","-49.2242012023926","-25.2917003631592",NA,NA,NA,NA,"Arvoreta de 4m, DAP=10cm. Coleta da madeira do tronco AP e ramo a 2m do solo..",NA,"13536",NA,"auto",NA,NA,NA,NA,NA,NA,NA
"46","2021-02-11 17:21:47-03","UFPR","UPCB","43404","PreservedSpecimen","Plantae",NA,"Simaroubaceae","Picramnia","excelsa","Picramnia excelsa","Planch.","Pirani, J.R.",NA,"Ceccantini, G.C.T.","1363","1999","12","27","Brasil","Paraná","Colombo","Fazenda Roseira","-49.2242012023926","-25.2917003631592",NA,NA,NA,NA,"Arvoreta de 5m, DAP=12cm. Coleta da madeira do tronco a 70cm do solo, para evitar lenho de reação. Coleta de ramo a 2m do solo..",NA,"13536",NA,"auto",NA,NA,NA,NA,NA,NA,NA
"47","2021-02-11 17:21:47-03","UFPR","UPCB","43409","PreservedSpecimen","Plantae",NA,"Simaroubaceae","Picramnia","excelsa","Picramnia excelsa","Planch.","Pirani, J.R.",NA,"Ceccantini, G.C.T.","1362","1999","12","27","Brasil","Paraná","Colombo","Fazenda Roseira","-49.2242012023926","-25.2917003631592",NA,NA,NA,NA,"Arvoreta de 4,5m, DAP=8cm. Coleta da madeira do tronco na AP e ramo a 1m do solo..",NA,"13536",NA,"auto",NA,NA,NA,NA,NA,NA,NA
"48","2021-02-11 17:21:47-03","UFPR","UPCB","36543","PreservedSpecimen","Plantae",NA,"Simaroubaceae","Picramnia","excelsa","Picramnia excelsa","Planch.","Silva, S.M.","1998","Gatti, A.L.S.","155","1998","12","14","Brasil","Paraná","Araucária","Novo Nordisk","-49.4103012084961","-25.5930995941162",NA,NA,NA,NA,"Arvoreta 8m, heliófila, com botões florais. No capoeirão, floresta ombrófila mista. Nome vulgar: pau-amargo..",NA,"21346",NA,"auto",NA,NA,NA,"12",NA,NA,NA
"49","2021-02-11 17:21:47-03","UFPR","UPCB","35805","PreservedSpecimen","Plantae",NA,"Simaroubaceae","Picramnia","excelsa","Picramnia excelsa","Planch.","Hatschbach, G.","1998","Hatschbach, G.","67928","1998","05","29","Brasil","Paraná","Bocaiúva do Sul","Parque Estadual de Campinhos","-49.1150016784668","-25.2061004638672",NA,NA,NA,NA,"Árvore, em mata degradada..",NA,"61623",NA,"auto",NA,NA,NA,"01","01",NA,NA
"50","2008-05-27 22:02:00-03","MO","MOBOT","3454973","PreservedSpecimen","Plantae",NA,"Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","J.R. Pirani",NA,"Gert G. Hatschbach","Hatschbach 50883","1987","2","2","Brazil","Paraná",NA,"Saltinho (mun. Tijucas do Sul).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA
"51","2010-05-16 05:46:00-03","MO","MOBOT","3455232","PreservedSpecimen","Plantae",NA,"Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","W.W. Thomas",NA,"Timothy C. Plowman|Abundio Sagástegui A.|José Mostacero L.|F. Mejía C.|F. Peláez P.","Plowman 14286","1986","7","13","Peru","Lambayeque","Lambayeque","Abra de Porculla. Road from Olmos to Pucará, km 45 east of Olmos. Dry forest along presently dry rocky quebrada.",NA,NA,NA,NA,"1920.00000000",NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA
"52","2018-09-12 14:48:24-03","UNIOESTE","UNOP","3033","S","Plantae",NA,"Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","Cordeiro, J.; Barboza, E.","2009","Caxambu, M.G.; et al.; et al.","2503","2009","02","27","Brasil","Paraná","Turvo","Propriedade da família Rickli","-51.584192","-25.070297","-51.584192","-25.070297","1102","1102","Arvoreta ca. 4 m, heliófita. Flores avermelhadas. - Relevo: suave-ondulado - Vegetação: Floresta Ombrófila Mista Montana.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","2021-01-10 20:47:19-03","INPA","INPA","105887","S","Plantae","Dicotyledon Com-Clade","Picramniaceae","Picramnia","excelsa","Picramnia excelsa","Kuhlm. ex Pirani","Pirani, JR","1989","Hatschbach, GG","21671","1969","06","25","Brasil","Paraná","São Mateus do Sul","Tezoura.","-50.3828010559082","-25.8742008209229",NA,NA,NA,NA,NA,"INPA0105887","31353","INPA0105887 INPA0105887_e","auto",NA,"Picramniales","Southern America",NA,NA,NA,NA
